3#app#app26#app2611/P  0.165 0.937  0.021 0.792  -0.024 0.606  -0.024 0.401  -0.024 0.196  -0.024 -0.008  -0.034 -0.209  -0.179 -0.354  -0.213 -0.544  -0.335 -0.699  -0.403 -0.875  -0.403 -1.080  -0.403 -1.285  -0.558 -1.335  -0.762 -1.335  -0.781 -1.521  -0.971 -1.512  -0.961 -1.309  -0.887 -1.118  -0.814 -0.927  -0.740 -0.736  -0.667 -0.545  -0.593 -0.354  -0.520 -0.162  -0.446 0.029  -0.373 0.220  -0.299 0.411  -0.226 0.602  -0.152 0.793  -0.079 0.984  0.029 1.126  0.233 1.126  0.355 1.210  0.454 1.316  0.544 1.201  0.674 1.126  0.733 0.981  0.733 0.776  0.858 0.623  1.036 0.558  1.112 0.430  1.112 0.225  0.952 0.180  0.923 0.005  0.788 -0.144  0.606 -0.199  0.401 -0.199  0.196 -0.199  -0.009 -0.199  -0.024 -0.010
3#app#app26#app2611/l  1.207 1.439  1.079 1.439  0.952 1.439  0.825 1.439  0.786 1.350  0.781 1.228  0.653 1.228  0.576 1.179  0.576 1.051  0.509 0.952  0.419 0.862  0.365 0.757  0.365 0.629  0.298 0.530  0.208 0.440  0.155 0.334  0.155 0.207  0.058 0.177  -0.069 0.177  -0.197 0.177  -0.266 0.119  -0.266 -0.009  -0.368 -0.034  -0.476 -0.053  -0.476 -0.180  -0.521 -0.289  -0.611 -0.379  -0.707 -0.454  -0.835 -0.454  -0.962 -0.454  -1.089 -0.454  -1.107 -0.564  -1.081 -0.665  -0.953 -0.665  -0.826 -0.665  -0.699 -0.665  -0.572 -0.665  -0.444 -0.665  -0.317 -0.665  -0.190 -0.665  -0.062 -0.665  0.065 -0.665  0.155 -0.702  0.155 -0.829  0.237 -0.875  0.364 -0.875  0.454 -0.964  0.544 -1.054  0.576 -1.002  0.576 -0.875
3#app#app26#app2611/a  0.765 0.325  0.999 0.325  1.030 0.528  0.858 0.591  0.624 0.591  0.390 0.591  0.234 0.669  0.187 0.856  -0.047 0.856  -0.281 0.856  -0.515 0.856  -0.749 0.856  -0.937 0.745  -1.103 0.580  -1.268 0.414  -1.357 0.217  -1.434 0.060  -1.622 0.014  -1.622 -0.220  -1.622 -0.454  -1.404 -0.470  -1.170 -0.470  -0.936 -0.470  -0.702 -0.470  -0.468 -0.470  -0.234 -0.470  -0.031 -0.439  -0.031 -0.205  0.203 -0.205  0.234 -0.002  0.406 0.060  0.640 0.060  0.765 0.169  0.765 0.403  0.765 0.544  0.753 0.314  0.588 0.149  0.499 -0.049  0.422 -0.205  0.234 -0.251  0.219 -0.470  -0.015 -0.470  -0.031 -0.688  0.156 -0.735  0.390 -0.735  0.624 -0.735  0.858 -0.735  1.092 -0.735  1.326 -0.735  1.560 -0.735
3#app#app26#app2611/s  1.250 1.057  1.132 1.057  1.013 1.057  0.895 1.057  0.777 1.057  0.659 1.057  0.540 1.057  0.422 1.057  0.304 1.057  0.185 1.057  0.067 1.057  -0.051 1.057  -0.169 1.057  -0.255 0.977  -0.338 0.894  -0.412 0.806  -0.412 0.687  -0.412 0.569  -0.412 0.451  -0.399 0.345  -0.281 0.345  -0.174 0.333  -0.174 0.215  -0.164 0.108  -0.045 0.108  0.063 0.098  0.063 -0.021  0.063 -0.139  0.063 -0.257  0.063 -0.375  0.063 -0.494  0.071 -0.605  0.189 -0.605  0.300 -0.611  0.300 -0.729  0.300 -0.848  0.300 -0.966  0.295 -1.079  0.177 -1.079  0.059 -1.079  -0.059 -1.079  -0.178 -1.079  -0.296 -1.079  -0.414 -1.079  -0.533 -1.079  -0.651 -1.079  -0.769 -1.079  -0.887 -1.079  -1.006 -1.079  -1.124 -1.079
3#app#app26#app2611/s  1.145 1.028  1.048 1.028  0.950 1.028  0.853 1.028  0.756 1.028  0.658 1.028  0.561 1.028  0.464 1.028  0.366 1.028  0.269 1.028  0.172 1.028  0.074 1.028  -0.023 1.028  -0.121 1.028  -0.150 0.960  -0.150 0.863  -0.150 0.765  -0.150 0.668  -0.150 0.571  -0.125 0.484  -0.056 0.415  0.013 0.346  0.082 0.277  0.109 0.191  0.109 0.094  0.109 -0.004  0.109 -0.101  0.109 -0.198  0.109 -0.296  0.109 -0.393  0.109 -0.490  0.109 -0.588  0.109 -0.685  0.109 -0.782  0.109 -0.880  0.109 -0.977  0.079 -1.045  -0.018 -1.045  -0.116 -1.045  -0.213 -1.045  -0.310 -1.045  -0.408 -1.045  -0.505 -1.045  -0.602 -1.045  -0.700 -1.045  -0.797 -1.045  -0.894 -1.045  -0.992 -1.045  -1.089 -1.045  -1.186 -1.045
3#app#app26#app2611/p  0.372 0.763  0.313 0.588  0.255 0.412  0.140 0.314  0.072 0.197  0.069 0.014  -0.105 -0.013  -0.228 -0.147  -0.274 -0.286  -0.378 -0.368  -0.461 -0.519  -0.528 -0.677  -0.654 -0.736  -0.792 -0.850  -0.828 -1.020  -0.948 -1.156  -0.978 -1.329  -1.128 -1.308  -1.128 -1.123  -1.029 -1.036  -0.978 -0.902  -0.959 -0.736  -0.828 -0.682  -0.738 -0.586  -0.678 -0.461  -0.564 -0.323  -0.528 -0.152  -0.378 -0.117  -0.339 0.052  -0.228 0.192  -0.165 0.314  -0.008 0.383  0.123 0.514  0.267 0.613  0.429 0.670  0.560 0.801  0.699 0.913  0.822 0.976  0.919 1.063  1.105 1.063  1.140 0.913  1.272 0.860  1.272 0.675  1.272 0.489  1.159 0.351  1.028 0.220  0.897 0.239  0.742 0.314  0.557 0.314  0.372 0.314
3#app#app26#app2611/l  1.301 1.561  1.220 1.479  1.139 1.398  1.057 1.317  0.976 1.236  0.895 1.154  0.814 1.073  0.732 0.992  0.651 0.911  0.599 0.817  0.599 0.702  0.562 0.625  0.447 0.625  0.342 0.601  0.260 0.520  0.179 0.439  0.084 0.391  -0.031 0.391  -0.102 0.348  -0.102 0.233  -0.130 0.129  -0.212 0.048  -0.293 -0.033  -0.336 -0.130  -0.336 -0.245  -0.386 -0.311  -0.500 -0.311  -0.570 -0.356  -0.570 -0.471  -0.611 -0.545  -0.726 -0.545  -0.841 -0.545  -0.956 -0.545  -1.038 -0.578  -1.038 -0.693  -1.010 -0.779  -0.895 -0.779  -0.780 -0.779  -0.665 -0.779  -0.550 -0.779  -0.435 -0.779  -0.320 -0.779  -0.205 -0.779  -0.090 -0.779  0.025 -0.779  0.140 -0.779  0.255 -0.779  0.370 -0.779  0.484 -0.779  0.599 -0.779
3#app#app26#app2611/a  0.905 0.008  0.991 0.181  1.078 0.355  1.165 0.528  1.010 0.552  0.905 0.640  0.895 0.824  0.701 0.824  0.507 0.824  0.314 0.824  0.120 0.824  -0.074 0.824  -0.243 0.765  -0.380 0.628  -0.542 0.552  -0.736 0.552  -0.930 0.552  -1.087 0.465  -1.224 0.328  -1.361 0.191  -1.498 0.054  -1.544 -0.121  -1.544 -0.315  -1.544 -0.509  -1.377 -0.536  -1.184 -0.536  -0.990 -0.536  -0.796 -0.536  -0.602 -0.536  -0.409 -0.536  -0.215 -0.536  -0.069 -0.421  0.068 -0.284  0.254 -0.264  0.361 -0.177  0.369 0.008  0.563 0.008  0.756 0.008  0.859 0.008  0.666 0.008  0.472 0.008  0.361 -0.074  0.361 -0.268  0.361 -0.462  0.361 -0.656  0.402 -0.808  0.596 -0.808  0.789 -0.808  0.983 -0.808  1.177 -0.808
3#app#app26#app2611/t  1.020 1.470  1.013 1.262  0.812 1.247  0.790 1.053  0.603 1.024  0.566 0.844  0.395 0.800  0.343 0.636  0.127 0.636  -0.023 0.570  -0.096 0.427  -0.289 0.370  -0.440 0.217  -0.449 0.010  -0.649 -0.007  -0.673 -0.199  -0.857 -0.230  -0.857 -0.446  -0.857 -0.662  -0.857 -0.878  -0.857 -1.094  -0.789 -1.242  -0.573 -1.242  -0.357 -1.242  -0.141 -1.242  0.075 -1.242  0.291 -1.242  0.507 -1.242  0.603 -1.122  0.730 -1.033  0.717 -0.938  0.564 -0.786  0.411 -0.633  0.259 -0.480  0.106 -0.327  -0.047 -0.175  -0.200 -0.022  -0.352 0.131  -0.505 0.284  -0.658 0.436  -0.811 0.589  -0.708 0.636  -0.492 0.636  -0.276 0.636  -0.060 0.636  0.156 0.636  0.372 0.636  0.588 0.636  0.804 0.636  1.020 0.636
3#app#app26#app2611/e  -0.605 0.112  -0.435 0.112  -0.265 0.112  -0.095 0.112  0.074 0.112  0.244 0.112  0.340 0.187  0.348 0.348  0.518 0.348  0.655 0.427  0.775 0.547  0.929 0.584  1.048 0.636  1.048 0.805  0.893 0.820  0.723 0.820  0.554 0.820  0.384 0.820  0.214 0.820  0.044 0.820  -0.126 0.820  -0.295 0.820  -0.465 0.820  -0.626 0.799  -0.746 0.679  -0.866 0.559  -0.986 0.439  -1.077 0.307  -1.077 0.137  -1.077 -0.033  -1.077 -0.203  -1.077 -0.373  -1.077 -0.542  -0.961 -0.596  -0.841 -0.646  -0.841 -0.816  -0.687 -0.832  -0.518 -0.832  -0.348 -0.832  -0.178 -0.832  -0.008 -0.832  0.162 -0.832  0.331 -0.832  0.501 -0.832  0.671 -0.832  0.841 -0.832  1.011 -0.832  1.180 -0.832  1.350 -0.832  1.520 -0.832
3#app#app26#app2611/s  0.843 0.994  0.773 1.065  0.702 1.136  0.631 1.207  0.534 1.215  0.433 1.215  0.333 1.215  0.232 1.215  0.132 1.215  0.032 1.215  -0.061 1.195  -0.132 1.124  -0.203 1.053  -0.262 0.978  -0.262 0.877  -0.262 0.777  -0.262 0.677  -0.262 0.576  -0.262 0.476  -0.262 0.375  -0.207 0.330  -0.106 0.330  -0.041 0.295  -0.041 0.195  -0.031 0.099  0.040 0.028  0.111 -0.043  0.180 -0.115  0.180 -0.215  0.180 -0.316  0.180 -0.416  0.180 -0.516  0.180 -0.617  0.180 -0.717  0.180 -0.818  0.180 -0.918  0.180 -1.018  0.180 -1.119  0.179 -1.218  0.078 -1.218  -0.022 -1.218  -0.123 -1.218  -0.223 -1.218  -0.323 -1.218  -0.424 -1.218  -0.524 -1.218  -0.624 -1.218  -0.704 -1.197  -0.704 -1.097  -0.704 -0.996
3#app#app26#app2611/w  -0.541 0.816  -0.403 0.954  -0.489 1.000  -0.541 0.856  -0.696 0.816  -0.725 0.649  -0.851 0.505  -0.909 0.333  -0.998 0.174  -1.137 0.036  -1.275 -0.103  -1.286 -0.289  -1.461 -0.309  -1.429 -0.473  -1.233 -0.473  -1.037 -0.473  -0.841 -0.473  -0.645 -0.473  -0.450 -0.473  -0.357 -0.369  -0.276 -0.207  -0.173 -0.054  -0.111 0.079  0.064 0.132  0.205 0.264  0.379 0.285  0.379 0.414  0.379 0.218  0.322 0.079  0.146 0.031  0.011 -0.109  -0.001 -0.300  -0.139 -0.439  -0.173 -0.620  -0.014 -0.657  0.182 -0.657  0.378 -0.657  0.517 -0.519  0.693 -0.473  0.747 -0.330  0.901 -0.289  1.097 -0.289  1.115 -0.111  1.121 0.079  1.316 0.079  1.483 0.109  1.524 0.264  1.667 0.316  1.713 0.493  1.851 0.632
3#app#app26#app2611/e  -0.838 0.278  -0.826 0.078  -0.681 -0.067  -0.489 -0.096  -0.284 -0.096  -0.079 -0.096  0.096 -0.067  0.143 0.091  0.348 0.091  0.529 0.149  0.680 0.278  0.844 0.318  0.902 0.465  1.085 0.518  1.234 0.651  1.405 0.686  1.353 0.838  1.148 0.838  0.944 0.838  0.739 0.838  0.534 0.838  0.329 0.838  0.171 0.726  -0.003 0.651  -0.207 0.651  -0.412 0.651  -0.465 0.499  -0.635 0.465  -0.652 0.278  -0.838 0.259  -0.875 0.091  -1.025 0.037  -1.097 -0.096  -1.212 -0.186  -1.212 -0.391  -1.212 -0.595  -1.212 -0.800  -1.052 -0.844  -0.847 -0.844  -0.642 -0.844  -0.438 -0.844  -0.233 -0.844  -0.028 -0.844  0.177 -0.844  0.381 -0.844  0.586 -0.844  0.791 -0.844  0.844 -0.693  1.013 -0.657  1.218 -0.657
3#app#app26#app2611/r  0.810 1.471  0.694 1.355  0.579 1.240  0.559 1.085  0.525 0.935  0.410 0.820  0.294 0.704  0.179 0.589  0.063 0.473  -0.052 0.358  -0.168 0.242  -0.284 0.127  -0.399 0.011  -0.445 -0.133  -0.456 -0.286  -0.619 -0.286  -0.696 -0.372  -0.696 -0.536  -0.696 -0.699  -0.771 -0.788  -0.934 -0.788  -0.947 -0.938  -1.010 -1.039  -1.173 -1.039  -1.059 -1.039  -0.947 -0.987  -0.947 -0.824  -0.820 -0.788  -0.696 -0.748  -0.696 -0.585  -0.581 -0.537  -0.425 -0.517  -0.310 -0.402  -0.194 -0.286  -0.079 -0.171  0.037 -0.055  0.192 -0.035  0.308 0.012  0.308 0.176  0.431 0.216  0.559 0.251  0.559 0.415  0.670 0.467  0.833 0.467  0.997 0.467  1.160 0.467  1.323 0.467  1.487 0.467  1.562 0.379  1.562 0.216
3#app#app26#app2611/e  -0.617 0.008  -0.443 0.008  -0.270 0.008  -0.097 0.008  0.077 0.008  0.219 0.083  0.345 0.198  0.518 0.198  0.691 0.198  0.821 0.304  0.943 0.427  1.066 0.549  1.095 0.710  1.095 0.884  0.997 0.959  0.824 0.959  0.650 0.959  0.477 0.959  0.304 0.959  0.130 0.959  -0.043 0.959  -0.046 0.788  -0.200 0.769  -0.373 0.769  -0.426 0.649  -0.529 0.578  -0.678 0.518  -0.800 0.395  -0.807 0.224  -0.954 0.198  -0.997 0.068  -0.997 -0.105  -0.997 -0.279  -0.997 -0.452  -0.997 -0.625  -0.997 -0.799  -0.968 -0.943  -0.795 -0.943  -0.621 -0.943  -0.448 -0.943  -0.275 -0.943  -0.101 -0.943  0.072 -0.943  0.245 -0.943  0.419 -0.943  0.592 -0.943  0.765 -0.943  0.939 -0.943  1.095 -0.926  1.095 -0.753
