2#app#app34#app3491/!  -0.209 1.724  -0.209 1.647  -0.209 1.570  -0.209 1.492  -0.209 1.415  -0.156 1.360  -0.105 1.304  -0.105 1.227  -0.105 1.149  -0.105 1.072  -0.104 0.995  -0.049 0.941  -0.001 0.884  -0.001 0.806  -0.001 0.729  -0.001 0.652  -0.001 0.575  -0.001 0.497  -0.001 0.420  -0.001 0.343  -0.001 0.266  -0.001 0.189  -0.039 0.127  -0.093 0.072  -0.105 -0.000  -0.105 -0.077  -0.098 -0.147  -0.020 -0.147  0.008 -0.204  0.020 -0.281  0.031 -0.357  0.043 -0.433  0.055 -0.510  0.067 -0.586  0.078 -0.662  0.090 -0.739  0.102 -0.815  0.114 -0.891  0.125 -0.967  0.137 -1.044  0.149 -1.120  0.161 -1.196  0.172 -1.273  0.184 -1.349  0.196 -1.425  0.204 -1.499  0.127 -1.499  0.103 -1.445  0.076 -1.395  -0.001 -1.395
2#app#app34#app3491/~  -1.597 -0.492  -1.597 -0.378  -1.552 -0.282  -1.471 -0.201  -1.431 -0.103  -1.425 0.005  -1.310 0.005  -1.265 0.074  -1.247 0.170  -1.133 0.170  -1.019 0.170  -0.934 0.200  -0.934 0.315  -0.841 0.336  -0.727 0.336  -0.612 0.336  -0.498 0.336  -0.399 0.298  -0.319 0.217  -0.224 0.170  -0.109 0.170  -0.106 0.059  -0.046 0.005  0.060 -0.004  0.060 -0.118  0.131 -0.161  0.225 -0.181  0.225 -0.295  0.309 -0.327  0.391 -0.358  0.391 -0.473  0.486 -0.492  0.600 -0.492  0.715 -0.492  0.722 -0.385  0.778 -0.327  0.888 -0.322  0.888 -0.208  0.955 -0.161  1.054 -0.145  1.054 -0.031  1.054 0.084  1.081 0.170  1.196 0.170  1.219 0.261  1.219 0.375  1.219 0.490  1.322 0.502  1.334 0.502  1.219 0.502
2#app#app34#app3491/  -1.527 0.590  -1.440 0.590  -1.354 0.590  -1.267 0.590  -1.181 0.590  -1.095 0.590  -1.008 0.590  -0.922 0.590  -0.835 0.590  -0.821 0.518  -0.821 0.432  -0.821 0.346  -0.821 0.259  -0.821 0.173  -0.821 0.086  -0.821 0.000  -0.821 -0.086  -0.763 -0.115  -0.677 -0.115  -0.590 -0.115  -0.504 -0.115  -0.418 -0.115  -0.331 -0.115  -0.245 -0.115  -0.158 -0.115  -0.072 -0.115  0.014 -0.115  0.101 -0.115  0.187 -0.115  0.274 -0.115  0.360 -0.115  0.446 -0.115  0.533 -0.115  0.619 -0.115  0.706 -0.115  0.792 -0.115  0.879 -0.115  0.965 -0.115  1.051 -0.115  1.138 -0.115  1.224 -0.115  1.296 -0.130  1.296 -0.216  1.296 -0.302  1.296 -0.389  1.296 -0.475  1.296 -0.562  1.296 -0.648  1.296 -0.735  1.296 -0.821
2#app#app34#app3491/_  -1.706 0.044  -1.635 0.044  -1.565 0.044  -1.495 0.044  -1.425 0.044  -1.355 0.044  -1.285 0.044  -1.215 0.044  -1.145 0.044  -1.075 0.044  -1.005 0.044  -0.935 0.044  -0.865 0.044  -0.795 0.044  -0.725 0.044  -0.655 0.044  -0.585 0.044  -0.515 0.044  -0.445 0.044  -0.375 0.044  -0.305 0.044  -0.235 0.044  -0.165 0.044  -0.095 0.044  -0.025 0.044  0.045 0.044  0.115 0.044  0.185 0.044  0.255 0.044  0.325 0.044  0.395 0.044  0.466 0.044  0.536 0.044  0.606 0.044  0.675 0.041  0.738 0.009  0.800 -0.022  0.863 -0.053  0.925 -0.085  0.988 -0.116  1.056 -0.126  1.126 -0.126  1.196 -0.126  1.266 -0.126  1.336 -0.126  1.406 -0.126  1.476 -0.126  1.546 -0.126  1.616 -0.126  1.686 -0.126
2#app#app34#app3491/+  -1.175 -0.245  -1.175 -0.429  -1.175 -0.306  -1.052 -0.245  -0.867 -0.245  -0.701 -0.289  -0.571 -0.420  -0.403 -0.460  -0.219 -0.460  -0.034 -0.460  0.150 -0.460  0.335 -0.460  0.519 -0.460  0.704 -0.460  0.888 -0.460  1.072 -0.460  1.151 -0.400  1.056 -0.242  0.961 -0.084  0.866 0.075  0.772 0.233  0.677 0.391  0.582 0.549  0.487 0.707  0.392 0.865  0.297 1.023  0.202 1.182  0.107 1.340  0.013 1.498  -0.082 1.656  -0.102 1.541  -0.102 1.357  -0.102 1.172  -0.102 0.988  -0.102 0.803  -0.102 0.619  -0.102 0.434  -0.102 0.250  -0.102 0.066  -0.102 -0.119  -0.102 -0.303  -0.130 -0.460  -0.314 -0.460  -0.316 -0.642  -0.316 -0.826  -0.316 -1.011  -0.316 -1.195  -0.316 -1.379  -0.316 -1.564  -0.316 -1.748
2#app#app34#app3491/=  -1.013 0.338  -0.839 0.338  -0.793 0.466  -0.710 0.557  -0.537 0.557  -0.363 0.557  -0.189 0.557  -0.015 0.557  0.137 0.610  0.260 0.733  0.415 0.777  0.589 0.777  0.763 0.777  0.937 0.777  1.111 0.777  1.284 0.777  1.347 0.754  1.186 0.687  1.026 0.621  0.865 0.554  0.705 0.487  0.544 0.420  0.384 0.353  0.224 0.286  0.063 0.219  -0.097 0.153  -0.258 0.086  -0.418 0.019  -0.579 -0.048  -0.739 -0.115  -0.900 -0.182  -1.060 -0.249  -1.220 -0.315  -1.232 -0.482  -1.232 -0.655  -1.162 -0.759  -0.988 -0.759  -0.814 -0.759  -0.640 -0.759  -0.466 -0.759  -0.293 -0.759  -0.119 -0.759  0.055 -0.759  0.229 -0.759  0.374 -0.829  0.497 -0.952  0.659 -0.978  0.833 -0.978  1.007 -0.978  1.181 -0.978
2#app#app34#app3491/[  0.578 1.291  0.516 1.353  0.449 1.404  0.361 1.404  0.273 1.404  0.185 1.404  0.097 1.404  0.014 1.398  0.014 1.310  0.014 1.222  0.014 1.134  0.014 1.046  0.014 0.958  0.014 0.870  0.014 0.783  0.014 0.695  0.014 0.607  0.014 0.519  -0.036 0.452  -0.098 0.390  -0.098 0.302  -0.098 0.214  -0.098 0.126  -0.098 0.038  -0.098 -0.050  -0.098 -0.138  -0.135 -0.211  -0.197 -0.273  -0.211 -0.355  -0.211 -0.443  -0.211 -0.531  -0.211 -0.619  -0.293 -0.625  -0.324 -0.682  -0.324 -0.770  -0.324 -0.858  -0.324 -0.946  -0.324 -1.034  -0.324 -1.122  -0.302 -1.188  -0.214 -1.188  -0.126 -1.188  -0.038 -1.188  0.050 -1.188  0.138 -1.188  0.226 -1.188  0.314 -1.188  0.402 -1.188  0.490 -1.188  0.578 -1.188
2#app#app34#app3491/]  -0.504 1.276  -0.402 1.276  -0.299 1.276  -0.196 1.276  -0.094 1.276  0.009 1.276  0.112 1.276  0.214 1.276  0.217 1.176  0.317 1.173  0.419 1.173  0.423 1.074  0.423 0.972  0.423 0.869  0.325 0.864  0.320 0.767  0.320 0.664  0.320 0.561  0.320 0.458  0.320 0.356  0.320 0.253  0.320 0.150  0.320 0.048  0.320 -0.055  0.320 -0.158  0.320 -0.260  0.320 -0.363  0.320 -0.466  0.320 -0.568  0.320 -0.671  0.320 -0.774  0.320 -0.877  0.229 -0.888  0.217 -0.979  0.217 -1.082  0.127 -1.094  0.050 -1.030  -0.036 -0.991  -0.139 -0.991  -0.242 -0.991  -0.331 -0.958  -0.404 -0.888  -0.507 -0.888  -0.610 -0.888  -0.712 -0.888  -0.814 -0.886  -0.815 -0.785  -0.917 -0.785  -1.020 -0.785  -1.123 -0.785
2#app#app34#app3491/{  0.827 1.512  0.713 1.512  0.599 1.512  0.485 1.512  0.371 1.512  0.278 1.463  0.185 1.412  0.126 1.357  0.126 1.243  0.068 1.154  0.026 1.057  0.026 0.943  0.026 0.829  0.026 0.716  0.032 0.604  0.113 0.524  0.126 0.416  0.126 0.302  0.126 0.188  0.126 0.074  0.090 -0.025  0.003 -0.090  -0.111 -0.090  -0.225 -0.090  -0.275 -0.026  -0.352 0.011  -0.283 0.011  -0.269 -0.090  -0.161 -0.103  -0.081 -0.183  -0.000 -0.264  0.026 -0.367  -0.065 -0.390  -0.079 -0.490  -0.174 -0.508  -0.197 -0.613  -0.275 -0.695  -0.293 -0.790  -0.375 -0.822  -0.375 -0.936  -0.375 -1.050  -0.375 -1.164  -0.288 -1.191  -0.274 -1.291  -0.194 -1.372  -0.088 -1.391  -0.003 -1.462  0.098 -1.491  0.212 -1.491  0.226 -1.391
2#app#app34#app3491/}  -0.579 1.518  -0.445 1.518  -0.311 1.518  -0.176 1.518  -0.042 1.518  0.079 1.503  0.079 1.369  0.079 1.234  0.016 1.126  -0.079 1.031  -0.188 0.969  -0.250 0.897  -0.347 0.860  -0.372 0.750  -0.470 0.713  -0.470 0.579  -0.470 0.444  -0.470 0.310  -0.444 0.202  -0.360 0.151  -0.284 0.092  -0.150 0.092  -0.016 0.092  0.119 0.092  0.188 0.027  0.188 -0.108  0.073 -0.127  -0.031 -0.157  -0.031 -0.292  -0.111 -0.347  -0.037 -0.347  -0.012 -0.456  0.123 -0.456  0.188 -0.525  0.282 -0.566  0.382 -0.650  0.505 -0.676  0.517 -0.798  0.555 -0.895  0.627 -0.958  0.540 -1.005  0.517 -1.117  0.490 -1.224  0.408 -1.276  0.331 -1.334  0.196 -1.334  0.067 -1.345  -0.028 -1.441  -0.123 -1.351  -0.250 -1.334
2#app#app34#app3491/\\  -0.949 1.412  -0.868 1.412  -0.824 1.377  -0.824 1.296  -0.773 1.237  -0.716 1.180  -0.699 1.107  -0.691 1.030  -0.634 0.973  -0.577 0.916  -0.574 0.837  -0.552 0.766  -0.495 0.709  -0.449 0.648  -0.449 0.567  -0.413 0.502  -0.356 0.445  -0.289 0.414  -0.208 0.414  -0.168 0.350  -0.132 0.278  -0.096 0.206  -0.051 0.140  0.006 0.083  0.050 0.021  0.050 -0.059  0.088 -0.124  0.145 -0.180  0.175 -0.249  0.175 -0.329  0.249 -0.335  0.300 -0.365  0.300 -0.445  0.346 -0.506  0.403 -0.563  0.424 -0.635  0.430 -0.710  0.510 -0.710  0.549 -0.751  0.549 -0.831  0.604 -0.889  0.661 -0.946  0.674 -1.021  0.674 -1.101  0.674 -1.181  0.727 -1.209  0.799 -1.217  0.799 -1.298  0.754 -1.334  0.674 -1.334
2#app#app34#app3491/,  -0.565 1.477  -0.565 1.393  -0.565 1.308  -0.565 1.224  -0.527 1.178  -0.443 1.178  -0.358 1.178  -0.274 1.178  -0.267 1.101  -0.267 1.017  -0.267 0.933  -0.236 0.880  -0.151 0.880  -0.067 0.880  0.017 0.880  0.032 0.810  0.032 0.726  0.032 0.641  0.032 0.557  0.032 0.473  0.032 0.388  0.032 0.304  0.076 0.238  0.136 0.179  0.195 0.119  0.255 0.059  0.314 -0.000  0.331 -0.078  0.331 -0.162  0.331 -0.246  0.331 -0.331  0.331 -0.415  0.331 -0.499  0.331 -0.584  0.331 -0.668  0.331 -0.752  0.331 -0.836  0.325 -0.918  0.265 -0.978  0.206 -1.038  0.146 -1.097  0.086 -1.157  0.032 -1.218  0.032 -1.303  0.032 -1.387  0.032 -1.471  -0.014 -1.510  -0.098 -1.510  -0.182 -1.510  -0.267 -1.510
2#app#app34#app3491/  0.557 1.437  0.638 1.437  0.655 1.437  0.575 1.437  0.557 1.374  0.557 1.294  0.557 1.214  0.525 1.148  0.469 1.091  0.429 1.027  0.429 0.947  0.390 0.884  0.333 0.827  0.300 0.761  0.300 0.681  0.300 0.601  0.289 0.525  0.232 0.469  0.176 0.412  0.119 0.356  0.062 0.299  0.043 0.227  0.043 0.147  0.043 0.067  0.018 -0.003  -0.039 -0.059  -0.086 -0.120  -0.086 -0.200  -0.117 -0.267  -0.174 -0.323  -0.214 -0.387  -0.214 -0.467  -0.214 -0.547  -0.220 -0.621  -0.300 -0.621  -0.343 -0.658  -0.343 -0.738  -0.343 -0.818  -0.343 -0.898  -0.343 -0.978  -0.394 -1.007  -0.472 -1.010  -0.472 -1.090  -0.472 -1.170  -0.472 -1.250  -0.537 -1.264  -0.600 -1.281  -0.600 -1.361  -0.600 -1.441  -0.600 -1.521
2#app#app34#app3491/?  -0.127 0.829  -0.127 0.934  -0.040 0.953  -0.003 1.022  0.048 1.077  0.121 1.109  0.135 1.201  0.241 1.201  0.346 1.201  0.369 1.118  0.434 1.077  0.493 1.030  0.521 0.953  0.617 0.943  0.617 0.837  0.617 0.732  0.617 0.626  0.575 0.538  0.500 0.463  0.493 0.360  0.415 0.332  0.369 0.273  0.328 0.208  0.222 0.208  0.121 0.204  0.121 0.098  0.029 0.084  -0.055 0.032  -0.131 -0.040  -0.237 -0.040  -0.316 -0.105  -0.375 -0.186  -0.375 -0.291  -0.375 -0.397  -0.440 -0.476  -0.499 -0.557  -0.499 -0.663  -0.499 -0.769  -0.499 -0.874  -0.428 -0.909  -0.375 -0.962  -0.375 -1.068  -0.375 -1.173  -0.375 -1.279  -0.355 -1.383  -0.334 -1.486  -0.314 -1.590  -0.293 -1.694  -0.272 -1.797  -0.251 -1.901
2#app#app34#app3491/'  -0.383 1.302  -0.305 1.302  -0.227 1.302  -0.149 1.302  -0.071 1.302  0.007 1.302  0.085 1.302  0.163 1.302  0.213 1.274  0.213 1.196  0.213 1.118  0.213 1.039  0.213 0.961  0.213 0.883  0.213 0.805  0.213 0.727  0.213 0.649  0.213 0.571  0.213 0.493  0.213 0.414  0.213 0.336  0.213 0.258  0.213 0.180  0.213 0.102  0.213 0.024  0.213 -0.054  0.213 -0.132  0.213 -0.211  0.213 -0.289  0.213 -0.367  0.213 -0.445  0.189 -0.513  0.134 -0.568  0.078 -0.623  0.023 -0.679  -0.032 -0.734  -0.087 -0.789  -0.143 -0.844  -0.198 -0.900  -0.253 -0.955  -0.308 -1.010  -0.364 -1.065  -0.383 -1.135  -0.383 -1.213  -0.383 -1.291  -0.383 -1.370  -0.383 -1.448  -0.383 -1.526  -0.383 -1.604  -0.383 -1.682
2#app#app34#app3491/\"  -1.071 1.141  -1.071 0.982  -1.071 0.823  -1.071 0.663  -1.071 0.504  -1.047 0.368  -0.887 0.368  -0.728 0.368  -0.684 0.253  -0.684 0.093  -0.684 -0.066  -0.684 -0.226  -0.684 -0.385  -0.684 -0.544  -0.684 -0.704  -0.684 -0.863  -0.684 -1.023  -0.682 -1.173  -0.593 -1.041  -0.505 -0.908  -0.417 -0.776  -0.328 -0.643  -0.240 -0.510  -0.151 -0.378  -0.063 -0.245  0.026 -0.112  0.114 0.020  0.202 0.153  0.291 0.285  0.379 0.418  0.468 0.551  0.556 0.683  0.644 0.816  0.733 0.949  0.821 1.081  0.861 1.054  0.861 0.895  0.861 0.735  0.861 0.576  0.861 0.417  0.861 0.257  0.861 0.098  0.861 -0.062  0.861 -0.221  0.861 -0.380  0.861 -0.540  0.861 -0.699  0.861 -0.859  0.861 -1.018  0.861 -1.177
2#app#app34#app3491/<  1.048 1.494  0.937 1.494  0.893 1.427  0.893 1.316  0.893 1.205  0.803 1.184  0.738 1.138  0.736 1.027  0.658 0.949  0.579 0.870  0.501 0.791  0.420 0.718  0.309 0.718  0.272 0.644  0.251 0.541  0.172 0.463  0.084 0.407  -0.027 0.407  -0.039 0.308  -0.094 0.252  -0.194 0.241  -0.194 0.129  -0.273 0.096  -0.374 0.072  -0.452 -0.006  -0.542 -0.059  -0.653 -0.059  -0.660 -0.163  -0.720 -0.214  -0.816 -0.230  -0.816 -0.341  -0.816 -0.452  -0.816 -0.563  -0.816 -0.674  -0.710 -0.680  -0.660 -0.741  -0.643 -0.835  -0.532 -0.835  -0.421 -0.835  -0.310 -0.835  -0.199 -0.835  -0.194 -0.942  -0.132 -0.991  -0.020 -0.991  0.091 -0.991  0.177 -1.051  0.255 -1.130  0.360 -1.146  0.471 -1.146  0.582 -1.146
2#app#app34#app3491/|  -0.070 1.537  0.001 1.537  0.029 1.494  0.013 1.438  -0.058 1.438  -0.070 1.379  -0.070 1.308  -0.070 1.237  -0.070 1.166  -0.070 1.095  -0.070 1.024  -0.070 0.953  -0.070 0.882  -0.070 0.811  -0.070 0.741  -0.070 0.670  -0.047 0.604  -0.016 0.540  0.016 0.477  0.029 0.409  0.029 0.338  0.029 0.267  0.029 0.196  0.029 0.125  0.029 0.054  0.029 -0.017  0.029 -0.088  0.029 -0.159  0.029 -0.230  0.029 -0.301  0.029 -0.372  0.029 -0.443  0.029 -0.514  0.029 -0.585  0.029 -0.656  0.029 -0.727  0.029 -0.798  0.029 -0.869  0.029 -0.940  0.029 -1.011  0.029 -1.082  0.029 -1.153  0.029 -1.224  0.029 -1.295  0.029 -1.366  0.029 -1.437  0.029 -1.508  0.029 -1.579  0.029 -1.650  0.029 -1.721
2#app#app34#app3491/>  -0.683 1.465  -0.683 1.360  -0.619 1.318  -0.536 1.297  -0.536 1.192  -0.476 1.112  -0.402 1.037  -0.302 1.025  -0.197 1.025  -0.093 1.022  -0.019 0.948  0.057 0.878  0.162 0.878  0.198 0.809  0.226 0.732  0.331 0.732  0.409 0.667  0.483 0.593  0.491 0.491  0.543 0.438  0.638 0.428  0.638 0.323  0.638 0.218  0.615 0.122  0.541 0.048  0.491 -0.036  0.491 -0.141  0.393 -0.148  0.344 -0.205  0.330 -0.295  0.225 -0.295  0.198 -0.373  0.172 -0.467  0.098 -0.542  0.051 -0.627  0.051 -0.732  -0.051 -0.735  -0.096 -0.795  -0.114 -0.882  -0.219 -0.882  -0.243 -0.964  -0.243 -1.069  -0.243 -1.174  -0.346 -1.175  -0.389 -1.237  -0.389 -1.342  -0.389 -1.447  -0.473 -1.469  -0.536 -1.510  -0.536 -1.615
