1d#app#app19#app1919/!  -0.043 1.169  -0.043 1.246  -0.043 1.323  -0.043 1.401  -0.076 1.445  -0.153 1.445  -0.181 1.396  -0.181 1.318  -0.181 1.241  -0.181 1.164  -0.181 1.087  -0.181 1.010  -0.181 0.933  -0.181 0.856  -0.181 0.778  -0.181 0.701  -0.181 0.624  -0.181 0.547  -0.174 0.473  -0.119 0.418  -0.065 0.364  -0.043 0.295  -0.043 0.218  -0.043 0.141  -0.043 0.064  -0.043 -0.013  -0.043 -0.090  -0.043 -0.167  -0.043 -0.245  -0.043 -0.322  -0.043 -0.399  -0.043 -0.476  -0.043 -0.553  -0.043 -0.630  -0.043 -0.708  -0.043 -0.785  -0.043 -0.862  -0.019 -0.931  0.027 -0.993  0.073 -1.055  0.120 -1.116  0.166 -1.178  0.212 -1.240  0.258 -1.301  0.305 -1.363  0.351 -1.425  0.415 -1.451  0.492 -1.451  0.569 -1.451  0.647 -1.451
1d#app#app19#app1919/~  -1.395 -0.871  -1.395 -0.768  -1.349 -0.712  -1.246 -0.712  -1.236 -0.620  -1.211 -0.527  -1.138 -0.454  -1.076 -0.377  -1.076 -0.274  -1.033 -0.189  -0.960 -0.116  -0.887 -0.043  -0.814 0.029  -0.741 0.102  -0.669 0.175  -0.596 0.248  -0.493 0.248  -0.436 0.294  -0.436 0.397  -0.371 0.473  -0.298 0.546  -0.204 0.567  -0.106 0.578  -0.033 0.651  0.040 0.724  0.141 0.727  0.203 0.686  0.203 0.584  0.203 0.481  0.203 0.378  0.203 0.275  0.257 0.194  0.330 0.121  0.363 0.032  0.363 -0.071  0.435 -0.144  0.508 -0.217  0.605 -0.232  0.707 -0.232  0.810 -0.232  0.913 -0.232  1.016 -0.232  1.119 -0.232  1.222 -0.232  1.325 -0.231  1.417 -0.185  1.509 -0.139  1.601 -0.093  1.699 -0.072  1.802 -0.072
1d#app#app19#app1919/  -1.225 -0.593  -1.225 -0.515  -1.225 -0.438  -1.225 -0.360  -1.225 -0.282  -1.225 -0.204  -1.225 -0.126  -1.225 -0.049  -1.225 0.029  -1.225 0.107  -1.179 0.139  -1.101 0.139  -1.023 0.139  -0.945 0.139  -0.867 0.139  -0.790 0.139  -0.712 0.139  -0.634 0.139  -0.556 0.139  -0.478 0.139  -0.401 0.139  -0.323 0.139  -0.245 0.139  -0.167 0.139  -0.089 0.139  -0.012 0.139  0.066 0.139  0.144 0.139  0.222 0.139  0.300 0.139  0.377 0.139  0.455 0.139  0.533 0.139  0.611 0.139  0.689 0.139  0.766 0.139  0.844 0.139  0.922 0.139  0.992 0.119  1.047 0.064  1.102 0.009  1.157 -0.046  1.212 -0.101  1.267 -0.156  1.322 -0.211  1.393 -0.227  1.471 -0.227  1.548 -0.227  1.626 -0.227  1.704 -0.227
1d#app#app19#app1919/_  -1.460 -0.274  -1.460 -0.203  -1.460 -0.133  -1.460 -0.062  -1.460 0.009  -1.395 0.015  -1.324 0.015  -1.253 0.015  -1.182 0.015  -1.112 0.015  -1.041 0.015  -0.970 0.015  -0.899 0.015  -0.829 0.015  -0.758 0.015  -0.687 0.015  -0.616 0.015  -0.546 0.015  -0.475 0.015  -0.404 0.015  -0.333 0.015  -0.262 0.015  -0.192 0.015  -0.121 0.015  -0.050 0.015  0.021 0.015  0.091 0.015  0.162 0.015  0.233 0.015  0.304 0.015  0.374 0.015  0.445 0.015  0.516 0.015  0.587 0.015  0.658 0.015  0.728 0.015  0.799 0.015  0.870 0.015  0.941 0.015  1.011 0.015  1.082 0.015  1.153 0.015  1.224 0.015  1.295 0.015  1.365 0.015  1.436 0.015  1.507 0.015  1.578 0.015  1.648 0.015  1.719 0.015
1d#app#app19#app1919/+  0.492 1.923  0.492 1.755  0.492 1.587  0.492 1.419  0.492 1.251  0.492 1.082  0.492 0.914  0.492 0.746  0.492 0.578  0.492 0.410  0.492 0.242  0.492 0.073  0.514 -0.090  0.589 -0.240  0.665 -0.390  0.711 -0.548  0.711 -0.716  0.711 -0.884  0.711 -1.052  0.639 -1.104  0.489 -1.029  0.339 -0.954  0.188 -0.879  0.038 -0.803  -0.113 -0.728  -0.263 -0.653  -0.413 -0.578  -0.564 -0.503  -0.714 -0.427  -0.865 -0.352  -1.015 -0.277  -1.166 -0.202  -1.316 -0.127  -1.466 -0.051  -1.366 -0.157  -1.243 -0.265  -1.075 -0.265  -0.946 -0.171  -0.827 -0.052  -0.661 -0.046  -0.525 0.031  -0.406 0.150  -0.247 0.173  -0.079 0.173  0.089 0.173  0.257 0.173  0.425 0.173  0.594 0.173  0.762 0.173  0.930 0.173
1d#app#app19#app1919/=  -0.755 1.105  -0.621 1.105  -0.487 1.105  -0.353 1.105  -0.219 1.105  -0.085 1.105  0.045 1.097  0.140 1.003  0.234 0.908  0.340 0.841  0.474 0.841  0.608 0.841  0.742 0.841  0.829 0.794  0.829 0.660  0.879 0.577  1.013 0.577  1.046 0.548  0.933 0.478  0.819 0.407  0.706 0.336  0.592 0.265  0.479 0.194  0.366 0.123  0.252 0.052  0.139 -0.019  0.025 -0.090  -0.088 -0.161  -0.202 -0.232  -0.315 -0.303  -0.429 -0.374  -0.542 -0.444  -0.656 -0.515  -0.769 -0.586  -0.883 -0.657  -0.996 -0.728  -1.018 -0.850  -1.018 -0.983  -0.907 -1.006  -0.773 -1.006  -0.640 -1.006  -0.506 -1.006  -0.372 -1.006  -0.238 -1.006  -0.104 -1.006  0.030 -1.006  0.163 -1.006  0.297 -1.006  0.431 -1.006  0.565 -1.006
1d#app#app19#app1919/[  0.801 0.900  0.789 0.988  0.713 1.011  0.678 1.075  0.578 1.075  0.479 1.075  0.387 1.044  0.298 0.999  0.201 0.988  0.102 0.988  0.005 0.982  -0.066 0.911  -0.161 0.900  -0.260 0.900  -0.354 0.886  -0.424 0.816  -0.522 0.812  -0.604 0.794  -0.604 0.695  -0.575 0.607  -0.500 0.549  -0.428 0.520  -0.400 0.433  -0.334 0.359  -0.289 0.270  -0.240 0.185  -0.170 0.114  -0.099 0.044  -0.077 -0.046  -0.077 -0.146  -0.074 -0.244  -0.004 -0.315  0.011 -0.408  0.011 -0.508  0.011 -0.607  0.002 -0.705  -0.029 -0.800  -0.060 -0.894  -0.077 -0.991  -0.077 -1.090  -0.077 -1.190  -0.077 -1.289  -0.077 -1.389  -0.060 -1.471  0.040 -1.471  0.139 -1.471  0.239 -1.471  0.338 -1.471  0.438 -1.471  0.537 -1.471
1d#app#app19#app1919/]  -0.790 1.107  -0.699 1.107  -0.698 1.196  -0.610 1.199  -0.519 1.199  -0.453 1.139  -0.376 1.107  -0.285 1.107  -0.194 1.107  -0.103 1.107  -0.049 1.069  -0.013 1.014  0.078 1.014  0.169 1.014  0.228 0.983  0.228 0.892  0.209 0.809  0.144 0.745  0.136 0.657  0.101 0.574  0.061 0.493  0.043 0.406  0.043 0.315  0.043 0.224  0.043 0.133  0.043 0.042  0.043 -0.049  0.043 -0.140  0.043 -0.231  0.071 -0.310  0.135 -0.374  0.136 -0.465  0.175 -0.547  0.216 -0.628  0.228 -0.716  0.228 -0.807  0.228 -0.898  0.228 -0.989  0.268 -1.063  0.321 -1.133  0.321 -1.224  0.321 -1.315  0.309 -1.394  0.219 -1.394  0.128 -1.394  0.037 -1.394  -0.049 -1.389  -0.053 -1.301  -0.144 -1.301  -0.235 -1.301
1d#app#app19#app1919/{  0.224 1.566  0.134 1.582  0.102 1.657  -0.004 1.657  -0.047 1.593  -0.047 1.487  -0.047 1.381  -0.032 1.281  0.043 1.205  0.054 1.104  0.129 1.029  0.134 0.924  0.152 0.825  0.224 0.749  0.224 0.643  0.224 0.537  0.224 0.430  0.224 0.324  0.224 0.218  0.180 0.122  0.131 0.028  0.056 -0.048  0.044 -0.149  -0.057 -0.160  -0.132 -0.236  -0.236 -0.241  -0.342 -0.241  -0.437 -0.213  -0.480 -0.151  -0.374 -0.151  -0.268 -0.151  -0.181 -0.197  -0.106 -0.273  -0.030 -0.348  0.044 -0.423  0.044 -0.530  0.044 -0.636  0.009 -0.728  -0.047 -0.811  -0.047 -0.917  -0.089 -1.006  -0.137 -1.092  -0.137 -1.199  -0.137 -1.305  -0.077 -1.386  -0.047 -1.480  0.033 -1.506  0.111 -1.574  0.208 -1.597  0.315 -1.597
1d#app#app19#app1919/}  -0.648 1.439  -0.538 1.439  -0.448 1.484  -0.352 1.517  -0.260 1.499  -0.210 1.439  -0.124 1.382  -0.047 1.304  -0.026 1.203  -0.026 1.094  -0.026 0.984  -0.104 0.952  -0.104 0.843  -0.164 0.758  -0.182 0.656  -0.182 0.546  -0.182 0.437  -0.182 0.327  -0.182 0.217  -0.171 0.118  -0.104 0.076  -0.038 0.007  0.061 -0.037  0.171 -0.037  0.207 0.037  0.284 0.069  0.225 0.118  0.142 0.054  0.064 -0.024  -0.013 -0.101  -0.090 -0.179  -0.104 -0.283  -0.104 -0.392  -0.050 -0.480  -0.026 -0.579  0.022 -0.677  0.095 -0.736  0.182 -0.790  0.207 -0.889  0.282 -0.967  0.305 -1.068  0.391 -1.125  0.440 -1.185  0.433 -1.293  0.384 -1.391  0.320 -1.478  0.225 -1.513  0.193 -1.591  0.083 -1.591  -0.026 -1.591
1d#app#app19#app1919/\\  -1.393 0.829  -1.315 0.829  -1.237 0.829  -1.210 0.778  -1.210 0.700  -1.186 0.647  -1.108 0.647  -1.031 0.647  -0.953 0.647  -0.875 0.647  -0.811 0.613  -0.756 0.558  -0.701 0.503  -0.640 0.464  -0.562 0.464  -0.484 0.464  -0.406 0.464  -0.328 0.464  -0.265 0.431  -0.210 0.376  -0.155 0.321  -0.093 0.282  -0.015 0.282  0.063 0.282  0.066 0.208  0.066 0.130  0.100 0.066  0.155 0.011  0.210 -0.044  0.265 -0.099  0.320 -0.154  0.375 -0.209  0.430 -0.264  0.485 -0.319  0.540 -0.374  0.595 -0.429  0.650 -0.484  0.705 -0.539  0.760 -0.594  0.815 -0.649  0.870 -0.704  0.925 -0.759  0.978 -0.815  0.978 -0.892  0.978 -0.970  1.031 -0.994  1.109 -0.994  1.160 -1.021  1.160 -1.099  1.160 -1.177
1d#app#app19#app1919/,  -0.409 0.955  -0.409 1.036  -0.409 1.117  -0.409 1.197  -0.462 1.225  -0.543 1.225  -0.623 1.225  -0.661 1.207  -0.604 1.150  -0.547 1.093  -0.489 1.036  -0.432 0.979  -0.375 0.921  -0.318 0.864  -0.261 0.807  -0.204 0.750  -0.146 0.693  -0.138 0.615  -0.138 0.534  -0.138 0.453  -0.109 0.385  -0.052 0.328  0.006 0.270  0.063 0.213  0.120 0.156  0.132 0.080  0.132 -0.001  0.132 -0.081  0.132 -0.162  0.132 -0.243  0.132 -0.324  0.138 -0.403  0.195 -0.460  0.252 -0.517  0.309 -0.574  0.367 -0.631  0.402 -0.697  0.402 -0.778  0.402 -0.859  0.402 -0.940  0.402 -1.021  0.402 -1.102  0.402 -1.182  0.402 -1.263  0.402 -1.344  0.402 -1.425  0.402 -1.506  0.402 -1.587  0.402 -1.668  0.402 -1.748
1d#app#app19#app1919/  0.686 0.960  0.767 0.960  0.848 0.960  0.928 0.960  1.009 0.960  1.046 0.960  0.965 0.960  0.885 0.960  0.804 0.960  0.723 0.960  0.656 0.929  0.599 0.872  0.542 0.815  0.496 0.753  0.496 0.672  0.496 0.592  0.448 0.531  0.391 0.474  0.334 0.417  0.277 0.360  0.220 0.303  0.163 0.246  0.114 0.185  0.114 0.105  0.114 0.024  0.070 -0.038  0.013 -0.095  -0.044 -0.152  -0.101 -0.209  -0.158 -0.266  -0.215 -0.323  -0.273 -0.378  -0.345 -0.414  -0.418 -0.450  -0.490 -0.486  -0.562 -0.522  -0.634 -0.558  -0.648 -0.630  -0.648 -0.711  -0.673 -0.781  -0.730 -0.838  -0.787 -0.895  -0.839 -0.954  -0.839 -1.035  -0.839 -1.116  -0.898 -1.138  -0.978 -1.138  -1.029 -1.167  -1.029 -1.248  -1.029 -1.328
1d#app#app19#app1919/?  -0.947 0.966  -0.854 0.966  -0.761 0.966  -0.670 0.972  -0.605 1.037  -0.538 1.102  -0.446 1.102  -0.353 1.102  -0.260 1.102  -0.167 1.102  -0.091 1.061  -0.025 0.995  0.056 0.966  0.149 0.966  0.242 0.966  0.275 0.907  0.275 0.814  0.275 0.721  0.275 0.628  0.258 0.542  0.193 0.476  0.139 0.405  0.139 0.312  0.091 0.239  0.026 0.174  -0.040 0.108  -0.106 0.042  -0.132 -0.040  -0.132 -0.133  -0.132 -0.226  -0.088 -0.300  -0.022 -0.366  0.061 -0.392  0.141 -0.406  0.151 -0.498  0.162 -0.590  0.172 -0.683  0.182 -0.775  0.192 -0.868  0.203 -0.960  0.213 -1.052  0.223 -1.145  0.233 -1.237  0.244 -1.330  0.254 -1.422  0.264 -1.514  0.274 -1.607  0.275 -1.700  0.318 -1.750  0.411 -1.750
1d#app#app19#app1919/'  -0.818 0.248  -0.708 0.248  -0.599 0.248  -0.490 0.248  -0.381 0.248  -0.271 0.248  -0.249 0.335  -0.249 0.444  -0.249 0.553  -0.249 0.662  -0.249 0.772  -0.249 0.881  -0.249 0.990  -0.249 1.099  -0.249 1.209  -0.249 1.318  -0.249 1.343  -0.249 1.234  -0.249 1.124  -0.249 1.015  -0.249 0.906  -0.235 0.802  -0.158 0.725  -0.080 0.648  -0.003 0.571  0.074 0.493  0.151 0.416  0.229 0.339  0.306 0.262  0.320 0.158  0.320 0.049  0.320 -0.060  0.320 -0.170  0.320 -0.279  0.320 -0.388  0.320 -0.498  0.320 -0.607  0.320 -0.716  0.320 -0.825  0.320 -0.935  0.320 -1.044  0.320 -1.153  0.320 -1.262  0.320 -1.372  0.320 -1.481  0.320 -1.590  0.320 -1.700  0.320 -1.809  0.320 -1.918  0.320 -2.027
1d#app#app19#app1919/\"  -1.144 0.607  -1.144 0.477  -1.144 0.346  -1.144 0.216  -1.144 0.086  -1.144 -0.044  -1.144 -0.175  -1.144 -0.305  -1.144 -0.435  -1.139 -0.560  -1.009 -0.560  -0.878 -0.560  -0.755 -0.567  -0.755 -0.697  -0.755 -0.827  -0.750 -0.943  -0.668 -0.841  -0.587 -0.739  -0.506 -0.638  -0.424 -0.536  -0.343 -0.434  -0.262 -0.333  -0.180 -0.231  -0.099 -0.129  -0.017 -0.028  0.064 0.074  0.145 0.176  0.227 0.277  0.308 0.379  0.389 0.481  0.471 0.583  0.552 0.684  0.633 0.786  0.715 0.888  0.796 0.989  0.801 0.874  0.801 0.744  0.801 0.613  0.801 0.483  0.801 0.353  0.801 0.223  0.927 0.218  1.057 0.218  1.187 0.218  1.190 0.091  1.190 -0.039  1.190 -0.170  1.190 -0.300  1.190 -0.430  1.190 -0.560
1d#app#app19#app1919/<  0.537 0.514  0.681 0.514  0.757 0.583  0.757 0.727  0.757 0.871  0.818 0.954  0.962 0.954  0.847 0.954  0.702 0.954  0.558 0.954  0.450 0.867  0.348 0.765  0.227 0.689  0.098 0.625  -0.031 0.560  -0.152 0.485  -0.254 0.383  -0.362 0.294  -0.506 0.294  -0.625 0.233  -0.727 0.131  -0.848 0.074  -0.992 0.074  -1.003 -0.059  -1.060 -0.146  -1.205 -0.146  -1.312 -0.235  -1.414 -0.337  -1.340 -0.366  -1.195 -0.366  -1.051 -0.366  -0.907 -0.366  -0.763 -0.366  -0.618 -0.366  -0.474 -0.366  -0.330 -0.366  -0.186 -0.366  -0.065 -0.424  0.037 -0.526  0.156 -0.586  0.300 -0.586  0.445 -0.586  0.574 -0.623  0.676 -0.725  0.786 -0.806  0.931 -0.806  1.075 -0.806  1.212 -0.822  1.314 -0.924  1.416 -1.026
1d#app#app19#app1919/|  -0.508 0.635  -0.445 0.698  -0.383 0.761  -0.320 0.823  -0.277 0.894  -0.277 0.983  -0.277 1.071  -0.214 1.097  -0.125 1.097  -0.047 1.107  -0.047 1.195  -0.047 1.284  -0.047 1.282  -0.047 1.193  -0.047 1.105  -0.047 1.016  -0.047 0.927  -0.047 0.839  -0.047 0.750  -0.047 0.661  -0.047 0.573  -0.047 0.484  -0.047 0.395  -0.047 0.307  -0.047 0.218  -0.047 0.129  -0.047 0.041  -0.047 -0.048  0.010 -0.113  0.072 -0.176  0.135 -0.239  0.184 -0.307  0.184 -0.396  0.184 -0.484  0.184 -0.573  0.184 -0.661  0.184 -0.750  0.184 -0.839  0.184 -0.927  0.184 -1.016  0.184 -1.105  0.184 -1.193  0.184 -1.282  0.184 -1.371  0.184 -1.459  0.184 -1.548  0.184 -1.637  0.184 -1.725  0.184 -1.814  0.184 -1.902
1d#app#app19#app1919/>  -1.400 1.116  -1.283 1.116  -1.165 1.116  -1.048 1.116  -0.931 1.116  -0.813 1.116  -0.705 1.079  -0.600 1.027  -0.495 0.974  -0.390 0.922  -0.363 0.821  -0.363 0.704  -0.248 0.701  -0.138 0.683  -0.055 0.600  0.028 0.518  0.111 0.435  0.194 0.352  0.284 0.286  0.401 0.286  0.467 0.234  0.467 0.117  0.546 0.079  0.663 0.079  0.749 0.003  0.832 -0.080  0.915 -0.163  0.998 -0.245  1.081 -0.328  0.982 -0.336  0.881 -0.353  0.881 -0.470  0.838 -0.543  0.720 -0.543  0.603 -0.543  0.486 -0.543  0.368 -0.543  0.253 -0.549  0.170 -0.632  0.088 -0.715  0.005 -0.798  -0.078 -0.881  -0.164 -0.958  -0.281 -0.958  -0.398 -0.958  -0.516 -0.958  -0.570 -1.021  -0.570 -1.138  -0.660 -1.166  -0.778 -1.166
