3#apb#apb12#app1227/R  -0.562 0.737  -0.572 0.585  -0.532 0.383  -0.496 0.180  -0.455 -0.021  -0.413 -0.223  -0.372 -0.424  -0.331 -0.626  -0.290 -0.827  -0.249 -1.029  -0.208 -1.230  -0.167 -1.432  -0.094 -1.358  -0.144 -1.159  -0.194 -0.959  -0.244 -0.760  -0.294 -0.560  -0.344 -0.360  -0.394 -0.161  -0.444 0.039  -0.494 0.238  -0.543 0.438  -0.617 0.628  -0.636 0.809  -0.540 0.991  -0.444 1.173  -0.348 1.355  -0.252 1.537  -0.078 1.589  0.115 1.529  0.294 1.428  0.410 1.272  0.476 1.077  0.513 0.876  0.501 0.670  0.445 0.474  0.386 0.277  0.341 0.077  0.252 -0.109  0.160 -0.292  0.123 -0.216  0.269 -0.099  0.436 -0.204  0.562 -0.366  0.676 -0.538  0.765 -0.722  0.848 -0.910  0.946 -1.091  1.044 -1.270  1.189 -1.416
3#apb#apb12#app1227/i  -0.509 1.624  -0.487 1.558  -0.464 1.492  -0.442 1.426  -0.420 1.360  -0.398 1.293  -0.376 1.227  -0.354 1.161  -0.332 1.095  -0.310 1.029  -0.288 0.963  -0.266 0.897  -0.243 0.831  -0.219 0.765  -0.196 0.700  -0.173 0.634  -0.149 0.568  -0.126 0.503  -0.102 0.437  -0.079 0.371  -0.055 0.306  -0.032 0.240  -0.008 0.174  0.015 0.109  0.038 0.043  0.055 -0.024  0.065 -0.094  0.075 -0.163  0.084 -0.232  0.094 -0.301  0.104 -0.370  0.114 -0.439  0.124 -0.508  0.134 -0.577  0.144 -0.646  0.153 -0.715  0.163 -0.784  0.173 -0.853  0.203 -0.916  0.234 -0.978  0.265 -1.040  0.297 -1.103  0.328 -1.165  0.359 -1.227  0.390 -1.290  0.421 -1.352  0.452 -1.414  0.484 -1.477  0.515 -1.539  0.546 -1.602
3#apb#apb12#app1227/c  0.268 0.481  0.382 0.514  0.499 0.533  0.606 0.582  0.671 0.678  0.730 0.781  0.762 0.895  0.743 0.963  0.626 0.946  0.509 0.929  0.392 0.911  0.275 0.894  0.158 0.877  0.041 0.859  -0.077 0.842  -0.194 0.825  -0.311 0.807  -0.428 0.790  -0.545 0.773  -0.662 0.755  -0.722 0.662  -0.772 0.555  -0.822 0.447  -0.853 0.334  -0.871 0.217  -0.889 0.100  -0.898 -0.018  -0.898 -0.136  -0.882 -0.250  -0.821 -0.352  -0.760 -0.453  -0.683 -0.541  -0.594 -0.620  -0.506 -0.698  -0.412 -0.771  -0.317 -0.842  -0.223 -0.913  -0.119 -0.963  -0.002 -0.983  0.114 -1.002  0.232 -1.016  0.350 -1.025  0.468 -1.034  0.584 -1.019  0.699 -0.990  0.814 -0.962  0.923 -0.916  1.030 -0.866  1.137 -0.816  1.245 -0.766
3#apb#apb12#app1227/h  -1.127 1.513  -1.056 1.452  -1.011 1.357  -0.979 1.255  -0.948 1.154  -0.914 1.054  -0.879 0.954  -0.843 0.854  -0.805 0.755  -0.764 0.658  -0.722 0.560  -0.681 0.463  -0.640 0.365  -0.599 0.267  -0.558 0.170  -0.516 0.072  -0.475 -0.025  -0.434 -0.123  -0.393 -0.221  -0.352 -0.318  -0.310 -0.416  -0.269 -0.514  -0.228 -0.611  -0.187 -0.709  -0.149 -0.746  -0.119 -0.645  -0.078 -0.547  -0.038 -0.449  0.006 -0.353  0.050 -0.256  0.114 -0.173  0.181 -0.090  0.249 -0.009  0.324 0.063  0.421 0.104  0.526 0.095  0.624 0.060  0.690 -0.023  0.756 -0.105  0.810 -0.197  0.863 -0.288  0.918 -0.379  0.974 -0.469  1.028 -0.560  1.076 -0.654  1.129 -0.745  1.198 -0.826  1.281 -0.890  1.377 -0.930  1.480 -0.953
3#apb#apb12#app1227/e  -1.232 0.153  -1.087 0.070  -0.928 0.037  -0.759 0.053  -0.590 0.069  -0.421 0.085  -0.251 0.102  -0.082 0.118  0.087 0.134  0.256 0.150  0.425 0.167  0.577 0.229  0.717 0.325  0.849 0.431  0.939 0.575  0.945 0.743  0.894 0.903  0.795 1.039  0.633 1.056  0.463 1.056  0.296 1.041  0.142 0.970  -0.015 0.907  -0.176 0.853  -0.325 0.775  -0.465 0.679  -0.592 0.567  -0.712 0.447  -0.810 0.309  -0.889 0.160  -0.946 -0.000  -0.982 -0.165  -1.001 -0.332  -0.943 -0.492  -0.859 -0.638  -0.750 -0.763  -0.593 -0.826  -0.433 -0.881  -0.266 -0.912  -0.099 -0.942  0.070 -0.952  0.239 -0.945  0.409 -0.938  0.574 -0.903  0.738 -0.859  0.902 -0.815  1.067 -0.772  1.231 -0.731  1.396 -0.689  1.561 -0.648
3#apb#apb12#app1227/t  -0.975 0.817  -0.953 0.602  -0.933 0.387  -0.921 0.172  -0.892 -0.041  -0.845 -0.252  -0.793 -0.462  -0.722 -0.663  -0.583 -0.802  -0.368 -0.810  -0.152 -0.819  0.064 -0.827  0.280 -0.835  0.495 -0.844  0.711 -0.852  0.927 -0.861  1.142 -0.869  1.358 -0.878  1.562 -0.811  1.622 -0.671  1.423 -0.588  1.223 -0.505  1.024 -0.423  0.825 -0.340  0.625 -0.257  0.426 -0.174  0.227 -0.091  0.027 -0.009  -0.172 0.074  -0.371 0.157  -0.571 0.240  -0.770 0.323  -0.898 0.383  -0.682 0.383  -0.466 0.383  -0.431 0.421  -0.629 0.507  -0.825 0.564  -0.950 0.628  -0.957 0.600  -0.742 0.616  -0.528 0.640  -0.312 0.650  -0.097 0.663  0.117 0.693  0.331 0.718  0.547 0.718  0.758 0.746  0.965 0.797  0.858 0.797
3#apb#apb12#app1227/t  -1.029 1.525  -0.993 1.362  -0.958 1.199  -0.922 1.036  -0.887 0.874  -0.852 0.711  -0.816 0.548  -0.781 0.385  -0.746 0.223  -0.709 0.060  -0.670 -0.102  -0.609 -0.255  -0.520 -0.395  -0.412 -0.521  -0.288 -0.630  -0.141 -0.706  0.019 -0.752  0.183 -0.780  0.348 -0.806  0.513 -0.831  0.676 -0.861  0.842 -0.870  1.009 -0.870  1.168 -0.840  1.315 -0.762  1.458 -0.676  1.525 -0.527  1.475 -0.437  1.319 -0.379  1.163 -0.321  1.007 -0.263  0.851 -0.204  0.695 -0.146  0.539 -0.088  0.382 -0.030  0.226 0.029  0.070 0.087  -0.086 0.145  -0.242 0.203  -0.398 0.261  -0.554 0.320  -0.710 0.378  -0.866 0.436  -0.870 0.467  -0.704 0.467  -0.537 0.467  -0.371 0.467  -0.204 0.467  -0.038 0.467  0.129 0.467
3#apb#apb12#app1227/e  -0.796 0.254  -0.725 0.129  -0.618 0.037  -0.475 0.030  -0.331 0.030  -0.190 0.037  -0.104 0.153  -0.019 0.270  0.066 0.386  0.152 0.503  0.237 0.619  0.323 0.736  0.408 0.852  0.493 0.969  0.552 1.089  0.485 1.207  0.348 1.217  0.214 1.164  0.083 1.103  -0.043 1.033  -0.167 0.959  -0.285 0.876  -0.403 0.793  -0.498 0.686  -0.585 0.570  -0.669 0.453  -0.747 0.331  -0.812 0.204  -0.854 0.066  -0.848 -0.075  -0.811 -0.213  -0.743 -0.341  -0.668 -0.464  -0.574 -0.573  -0.478 -0.680  -0.355 -0.757  -0.233 -0.833  -0.100 -0.889  0.036 -0.939  0.171 -0.990  0.312 -1.015  0.456 -1.033  0.599 -1.051  0.743 -1.044  0.887 -1.034  1.031 -1.024  1.173 -1.003  1.314 -0.968  1.454 -0.933  1.594 -0.898
3#apb#apb12#app1227/F  -0.740 0.237  -0.721 0.128  -0.651 -0.102  -0.580 -0.332  -0.510 -0.562  -0.440 -0.793  -0.369 -1.023  -0.299 -1.253  -0.229 -1.483  -0.158 -1.714  -0.187 -1.500  -0.200 -1.260  -0.262 -1.028  -0.334 -0.798  -0.405 -0.569  -0.477 -0.339  -0.549 -0.109  -0.621 0.121  -0.693 0.351  -0.779 0.536  -0.937 0.361  -0.818 0.286  -0.603 0.394  -0.388 0.503  -0.173 0.612  0.041 0.721  0.256 0.830  0.471 0.939  0.686 1.048  0.900 1.156  1.115 1.265  1.330 1.374  1.287 1.346  1.136 1.158  0.986 0.970  0.835 0.782  0.685 0.594  0.534 0.406  0.384 0.218  0.234 0.030  0.083 -0.158  -0.067 -0.346  -0.218 -0.534  -0.373 -0.713  -0.216 -0.585  -0.015 -0.453  0.199 -0.342  0.413 -0.231  0.627 -0.120  0.811 -0.017
3#apb#apb12#app1227/r  -0.770 0.429  -0.782 0.300  -0.756 0.129  -0.712 -0.037  -0.663 -0.202  -0.614 -0.368  -0.565 -0.533  -0.516 -0.698  -0.467 -0.864  -0.418 -1.029  -0.371 -1.179  -0.436 -1.023  -0.487 -0.858  -0.552 -0.698  -0.618 -0.539  -0.670 -0.375  -0.720 -0.210  -0.750 -0.042  -0.750 0.131  -0.750 0.303  -0.743 0.475  -0.716 0.646  -0.662 0.808  -0.575 0.955  -0.451 1.074  -0.315 1.180  -0.161 1.205  0.007 1.166  0.179 1.153  0.346 1.118  0.491 1.037  0.583 0.895  0.627 0.729  0.627 0.557  0.596 0.389  0.545 0.224  0.474 0.067  0.387 -0.081  0.281 -0.216  0.255 -0.196  0.424 -0.195  0.584 -0.260  0.727 -0.356  0.857 -0.469  0.988 -0.579  1.143 -0.656  1.288 -0.749  1.412 -0.867  1.562 -0.926  1.605 -0.768
3#apb#apb12#app1227/i  -0.090 0.211  -0.069 0.189  -0.069 0.077  -0.055 -0.033  -0.039 -0.143  -0.020 -0.253  0.013 -0.360  0.045 -0.466  0.083 -0.571  0.123 -0.675  0.163 -0.779  0.192 -0.887  0.220 -0.995  0.250 -1.102  0.307 -1.198  0.364 -1.293  0.433 -1.381  0.471 -1.405  0.439 -1.298  0.406 -1.191  0.374 -1.085  0.341 -0.978  0.309 -0.871  0.276 -0.765  0.244 -0.658  0.212 -0.551  0.179 -0.445  0.147 -0.338  0.114 -0.231  0.082 -0.125  0.049 -0.018  0.017 0.089  -0.016 0.195  -0.048 0.302  -0.080 0.409  -0.113 0.515  -0.145 0.622  -0.178 0.729  -0.210 0.835  -0.243 0.942  -0.275 1.049  -0.307 1.155  -0.340 1.262  -0.372 1.369  -0.405 1.475  -0.437 1.582  -0.470 1.689  -0.562 1.749  -0.649 1.815  -0.661 1.839
3#apb#apb12#app1227/t  -0.675 1.599  -0.665 1.772  -0.558 1.669  -0.481 1.511  -0.425 1.343  -0.369 1.176  -0.312 1.008  -0.256 0.840  -0.199 0.673  -0.143 0.505  -0.087 0.337  -0.030 0.170  0.026 0.002  0.083 -0.166  0.139 -0.333  0.195 -0.501  0.252 -0.669  0.308 -0.836  0.365 -1.004  0.421 -1.171  0.478 -1.339  0.541 -1.504  0.625 -1.534  0.771 -1.449  0.875 -1.315  0.749 -1.191  0.623 -1.067  0.497 -0.942  0.371 -0.818  0.245 -0.694  0.119 -0.570  -0.007 -0.446  -0.133 -0.322  -0.259 -0.198  -0.385 -0.073  -0.511 0.051  -0.637 0.175  -0.763 0.299  -0.889 0.423  -0.852 0.480  -0.687 0.425  -0.522 0.371  -0.345 0.371  -0.168 0.371  0.009 0.377  0.185 0.387  0.362 0.397  0.535 0.431  0.708 0.469  0.880 0.508
3#apb#apb12#app1227/s  -0.007 0.559  0.086 0.674  0.178 0.790  0.242 0.922  0.275 1.066  0.225 1.204  0.091 1.141  -0.043 1.079  -0.177 1.016  -0.312 0.954  -0.446 0.891  -0.580 0.829  -0.714 0.766  -0.848 0.704  -0.983 0.641  -1.117 0.579  -1.251 0.516  -1.254 0.383  -1.193 0.252  -1.101 0.139  -0.967 0.076  -0.833 0.014  -0.692 -0.030  -0.548 -0.064  -0.404 -0.098  -0.258 -0.112  -0.110 -0.112  0.038 -0.112  0.184 -0.126  0.323 -0.178  0.461 -0.230  0.601 -0.278  0.744 -0.316  0.887 -0.354  1.027 -0.402  1.164 -0.457  1.262 -0.560  1.275 -0.680  1.155 -0.766  1.032 -0.848  0.897 -0.906  0.754 -0.942  0.609 -0.964  0.461 -0.964  0.313 -0.964  0.165 -0.964  0.017 -0.964  -0.126 -0.923  -0.263 -0.889  -0.239 -0.990
3#apb#apb12#app1227/c  0.637 1.011  0.622 1.109  0.607 1.207  0.513 1.239  0.417 1.267  0.319 1.283  0.222 1.277  0.126 1.251  0.029 1.224  -0.062 1.188  -0.144 1.131  -0.226 1.074  -0.307 1.017  -0.328 0.922  -0.341 0.824  -0.354 0.725  -0.367 0.626  -0.380 0.527  -0.393 0.428  -0.406 0.329  -0.419 0.231  -0.432 0.132  -0.445 0.033  -0.458 -0.066  -0.472 -0.165  -0.485 -0.264  -0.498 -0.362  -0.511 -0.461  -0.524 -0.560  -0.537 -0.659  -0.550 -0.758  -0.563 -0.857  -0.509 -0.911  -0.412 -0.937  -0.316 -0.963  -0.219 -0.978  -0.119 -0.978  -0.019 -0.978  0.080 -0.978  0.179 -0.966  0.277 -0.950  0.376 -0.933  0.473 -0.912  0.568 -0.883  0.664 -0.854  0.759 -0.824  0.850 -0.785  0.938 -0.738  1.025 -0.690  1.113 -0.642
3#apb#apb12#app1227/h  -1.044 1.313  -1.030 1.202  -1.017 1.091  -1.003 0.980  -0.989 0.870  -0.975 0.759  -0.961 0.648  -0.947 0.537  -0.933 0.426  -0.920 0.315  -0.895 0.206  -0.868 0.098  -0.841 -0.010  -0.811 -0.118  -0.775 -0.224  -0.740 -0.330  -0.696 -0.433  -0.645 -0.531  -0.577 -0.620  -0.490 -0.682  -0.389 -0.658  -0.305 -0.585  -0.225 -0.507  -0.159 -0.417  -0.094 -0.326  -0.044 -0.226  0.006 -0.126  0.056 -0.026  0.106 0.073  0.156 0.173  0.217 0.266  0.291 0.350  0.373 0.424  0.477 0.447  0.580 0.406  0.671 0.341  0.749 0.261  0.823 0.177  0.888 0.087  0.952 -0.005  1.010 -0.100  1.054 -0.202  1.098 -0.305  1.142 -0.408  1.186 -0.511  1.227 -0.614  1.260 -0.721  1.294 -0.828  1.338 -0.930  1.419 -1.004
3#apb#apb12#app1227/C  0.225 0.664  0.244 0.755  0.305 0.823  0.295 0.909  0.261 1.000  0.228 1.091  0.194 1.182  0.157 1.268  0.060 1.268  -0.033 1.243  -0.119 1.200  -0.195 1.139  -0.267 1.075  -0.328 0.999  -0.386 0.922  -0.432 0.836  -0.478 0.750  -0.511 0.659  -0.538 0.566  -0.566 0.473  -0.580 0.377  -0.591 0.280  -0.602 0.184  -0.592 0.087  -0.582 -0.009  -0.571 -0.106  -0.546 -0.200  -0.518 -0.293  -0.491 -0.386  -0.445 -0.472  -0.399 -0.557  -0.344 -0.637  -0.281 -0.711  -0.219 -0.786  -0.144 -0.847  -0.069 -0.909  0.018 -0.950  0.110 -0.983  0.201 -1.015  0.297 -1.028  0.394 -1.035  0.491 -1.039  0.588 -1.039  0.685 -1.039  0.780 -1.022  0.875 -1.000  0.967 -0.969  1.057 -0.933  1.150 -0.906  1.244 -0.880
3#apb#apb12#app1227/o  -0.864 0.329  -0.972 0.419  -1.034 0.532  -1.005 0.669  -0.946 0.795  -0.851 0.898  -0.738 0.983  -0.620 1.015  -0.494 0.951  -0.368 0.887  -0.242 0.823  -0.116 0.759  0.010 0.695  0.136 0.631  0.262 0.567  0.387 0.503  0.513 0.439  0.639 0.375  0.765 0.311  0.891 0.247  1.017 0.183  1.143 0.119  1.187 -0.001  1.201 -0.142  1.195 -0.283  1.180 -0.423  1.132 -0.554  1.068 -0.680  0.980 -0.784  0.862 -0.863  0.740 -0.931  0.606 -0.976  0.472 -1.020  0.337 -0.999  0.202 -0.958  0.067 -0.916  -0.064 -0.863  -0.195 -0.811  -0.326 -0.759  -0.433 -0.668  -0.533 -0.568  -0.633 -0.469  -0.724 -0.361  -0.810 -0.249  -0.881 -0.129  -0.920 0.006  -0.915 0.146  -0.870 0.280  -0.772 0.379  -0.665 0.471
3#apb#apb12#app1227/h  -1.108 1.500  -1.057 1.370  -1.005 1.241  -0.953 1.112  -0.901 0.983  -0.850 0.853  -0.798 0.724  -0.746 0.595  -0.695 0.466  -0.643 0.337  -0.611 0.201  -0.579 0.066  -0.548 -0.070  -0.512 -0.205  -0.472 -0.338  -0.432 -0.471  -0.382 -0.601  -0.329 -0.729  -0.281 -0.860  -0.240 -0.993  -0.190 -1.123  -0.149 -1.104  -0.174 -0.967  -0.184 -0.828  -0.195 -0.689  -0.209 -0.551  -0.223 -0.412  -0.212 -0.275  -0.190 -0.137  -0.171 0.001  -0.161 0.139  -0.134 0.274  -0.082 0.403  0.007 0.510  0.144 0.528  0.282 0.517  0.416 0.481  0.547 0.435  0.668 0.371  0.766 0.273  0.868 0.177  0.972 0.085  1.070 -0.013  1.160 -0.119  1.240 -0.233  1.294 -0.361  1.362 -0.481  1.449 -0.590  1.547 -0.688  1.626 -0.803
