3#app#app19#app1945/8  0.783 0.759  0.783 0.962  0.754 1.137  0.551 1.137  0.348 1.137  0.145 1.137  -0.058 1.137  -0.261 1.137  -0.431 1.055  -0.589 0.948  -0.727 0.882  -0.807 0.759  -0.916 0.665  -0.807 0.570  -0.604 0.570  -0.401 0.570  -0.198 0.570  -0.161 0.404  0.020 0.382  0.166 0.244  0.348 0.193  0.508 0.090  0.652 -0.054  0.783 -0.202  0.783 -0.406  0.750 -0.595  0.607 -0.739  0.594 -0.937  0.583 -1.129  0.387 -1.147  0.244 -1.290  0.052 -1.318  0.028 -1.497  -0.166 -1.506  -0.369 -1.506  -0.538 -1.473  -0.538 -1.270  -0.538 -1.067  -0.538 -0.863  -0.538 -0.660  -0.433 -0.562  -0.350 -0.443  -0.350 -0.240  -0.245 -0.080  -0.161 0.089  -0.091 0.263  0.063 0.382  0.217 0.431  0.262 0.615  0.406 0.759
3#app#app19#app1945/;  -0.212 1.261  -0.212 1.355  -0.212 1.450  -0.269 1.488  -0.364 1.488  -0.440 1.469  -0.440 1.375  -0.440 1.280  -0.440 1.185  -0.440 1.090  -0.440 0.995  -0.440 0.900  -0.440 0.806  -0.440 0.711  -0.440 0.616  -0.440 0.521  -0.440 0.426  -0.427 0.337  -0.360 0.270  -0.293 0.203  -0.226 0.136  -0.136 0.123  -0.041 0.123  0.015 0.085  0.015 -0.010  0.015 -0.105  0.110 -0.105  0.205 -0.105  0.243 -0.162  0.243 -0.257  0.262 -0.332  0.357 -0.332  0.451 -0.332  0.470 -0.408  0.470 -0.503  0.470 -0.598  0.470 -0.693  0.470 -0.787  0.470 -0.882  0.470 -0.977  0.470 -1.072  0.470 -1.167  0.451 -1.242  0.356 -1.242  0.262 -1.242  0.243 -1.318  0.243 -1.413  0.205 -1.470  0.110 -1.470  0.015 -1.470
3#app#app19#app1945/>  -0.965 0.866  -0.965 0.991  -1.060 1.019  -1.051 1.019  -0.927 1.019  -0.812 1.010  -0.812 0.886  -0.708 0.866  -0.606 0.813  -0.518 0.725  -0.399 0.714  -0.275 0.714  -0.151 0.714  -0.048 0.692  -0.048 0.568  0.056 0.509  0.167 0.453  0.281 0.408  0.405 0.408  0.516 0.355  0.627 0.300  0.733 0.238  0.821 0.150  0.926 0.103  1.041 0.083  1.129 -0.005  1.174 -0.111  1.174 -0.235  1.171 -0.356  1.047 -0.356  0.923 -0.356  0.819 -0.405  0.731 -0.493  0.614 -0.508  0.490 -0.508  0.366 -0.508  0.246 -0.519  0.159 -0.607  0.057 -0.661  -0.067 -0.661  -0.191 -0.661  -0.282 -0.742  -0.376 -0.814  -0.500 -0.814  -0.590 -0.897  -0.685 -0.967  -0.809 -0.967  -0.898 -1.052  -0.965 -1.148  -0.965 -1.272
3#app#app19#app1945/S  0.975 0.039  0.995 0.169  1.104 0.210  1.104 0.360  1.104 0.511  1.001 0.557  0.975 0.682  0.834 0.698  0.728 0.804  0.584 0.819  0.478 0.925  0.336 0.946  0.186 0.946  0.036 0.946  -0.109 0.922  -0.243 0.855  -0.384 0.816  -0.534 0.816  -0.685 0.816  -0.835 0.816  -0.942 0.712  -1.082 0.687  -1.097 0.552  -1.078 0.409  -0.972 0.303  -0.955 0.163  -0.820 0.095  -0.683 0.039  -0.547 0.007  -0.440 -0.099  -0.334 -0.205  -0.204 -0.278  -0.069 -0.345  -0.049 -0.478  0.101 -0.478  0.235 -0.516  0.327 -0.628  0.364 -0.756  0.498 -0.823  0.586 -0.919  0.514 -0.996  0.457 -1.089  0.343 -1.126  0.193 -1.126  0.043 -1.126  -0.108 -1.126  -0.258 -1.126  -0.408 -1.126  -0.558 -1.126  -0.708 -1.126
3#app#app19#app1945/i  -0.093 1.508  -0.177 1.508  -0.261 1.508  -0.344 1.508  -0.390 1.470  -0.390 1.386  -0.390 1.302  -0.390 1.218  -0.390 1.134  -0.390 1.050  -0.390 0.966  -0.390 0.883  -0.390 0.799  -0.390 0.715  -0.390 0.631  -0.390 0.547  -0.390 0.463  -0.390 0.379  -0.390 0.295  -0.390 0.211  -0.390 0.127  -0.390 0.043  -0.346 -0.022  -0.287 -0.082  -0.228 -0.141  -0.168 -0.200  -0.109 -0.260  -0.093 -0.337  -0.093 -0.421  -0.093 -0.505  -0.077 -0.573  0.007 -0.573  0.091 -0.573  0.174 -0.573  0.205 -0.627  0.205 -0.711  0.205 -0.795  0.213 -0.870  0.297 -0.870  0.381 -0.870  0.464 -0.870  0.535 -0.903  0.594 -0.963  0.653 -1.022  0.713 -1.081  0.772 -1.141  0.845 -1.168  0.929 -1.168  1.013 -1.168  1.096 -1.168
3#app#app19#app1945/m  -1.340 0.218  -1.191 0.218  -1.321 0.218  -1.340 0.087  -1.340 -0.062  -1.340 -0.212  -1.340 -0.361  -1.340 -0.511  -1.257 -0.577  -1.108 -0.577  -1.022 -0.513  -0.984 -0.380  -0.878 -0.274  -0.772 -0.168  -0.667 -0.063  -0.561 0.043  -0.545 0.186  -0.427 0.218  -0.386 0.326  -0.386 0.476  -0.297 0.536  -0.227 0.456  -0.227 0.306  -0.227 0.157  -0.191 0.022  -0.085 -0.083  -0.068 -0.226  0.048 -0.259  0.197 -0.259  0.250 -0.162  0.337 -0.100  0.487 -0.100  0.568 -0.032  0.627 0.059  0.727 0.108  0.767 0.218  0.886 0.248  0.907 0.377  1.045 0.388  1.047 0.536  1.196 0.536  1.204 0.394  1.204 0.244  1.204 0.095  1.204 -0.055  1.308 -0.100  1.363 -0.195  1.363 -0.344  1.416 -0.472  1.522 -0.577
3#app#app19#app1945/i  -0.030 0.776  -0.030 0.880  -0.030 0.985  -0.030 1.089  0.007 1.157  0.111 1.157  0.215 1.157  0.320 1.157  0.279 1.157  0.175 1.157  0.070 1.157  -0.030 1.153  -0.030 1.049  -0.030 0.944  -0.030 0.840  -0.070 0.776  -0.175 0.776  -0.279 0.776  -0.383 0.776  -0.411 0.699  -0.411 0.595  -0.411 0.491  -0.411 0.386  -0.411 0.282  -0.411 0.177  -0.411 0.073  -0.379 -0.018  -0.305 -0.092  -0.232 -0.166  -0.158 -0.240  -0.084 -0.313  -0.030 -0.395  -0.030 -0.500  -0.030 -0.604  -0.030 -0.708  -0.030 -0.813  -0.030 -0.917  -0.030 -1.022  -0.030 -1.126  0.070 -1.130  0.175 -1.130  0.279 -1.130  0.352 -1.162  0.352 -1.267  0.352 -1.371  0.352 -1.475  0.420 -1.512  0.524 -1.512  0.629 -1.512  0.733 -1.512
3#app#app19#app1945/l  0.084 1.347  0.160 1.347  0.215 1.369  0.215 1.445  0.184 1.447  0.130 1.394  0.084 1.337  0.084 1.261  0.061 1.194  0.008 1.140  -0.046 1.086  -0.047 1.010  -0.047 0.934  -0.047 0.858  -0.047 0.782  -0.047 0.706  -0.047 0.630  -0.051 0.555  -0.085 0.487  -0.119 0.418  -0.153 0.350  -0.177 0.280  -0.177 0.204  -0.177 0.128  -0.177 0.052  -0.177 -0.025  -0.177 -0.101  -0.177 -0.177  -0.177 -0.253  -0.177 -0.329  -0.177 -0.405  -0.177 -0.481  -0.177 -0.557  -0.168 -0.631  -0.134 -0.699  -0.100 -0.767  -0.066 -0.835  -0.047 -0.907  -0.047 -0.983  -0.008 -1.043  0.046 -1.097  0.084 -1.157  0.084 -1.234  0.115 -1.297  0.169 -1.351  0.223 -1.405  0.276 -1.458  0.330 -1.512  0.400 -1.527  0.476 -1.527
3#app#app19#app1945/a  -0.019 0.718  -0.165 0.718  -0.312 0.718  -0.458 0.718  -0.604 0.718  -0.750 0.718  -0.896 0.718  -1.042 0.718  -1.083 0.612  -1.121 0.505  -1.268 0.505  -1.295 0.387  -1.295 0.241  -1.295 0.095  -1.295 -0.052  -1.231 -0.133  -1.085 -0.133  -0.939 -0.133  -0.870 -0.211  -0.859 -0.346  -0.713 -0.346  -0.567 -0.346  -0.428 -0.363  -0.325 -0.466  -0.217 -0.559  -0.071 -0.559  0.075 -0.559  0.213 -0.539  0.316 -0.435  0.425 -0.346  0.571 -0.346  0.718 -0.346  0.831 -0.314  0.831 -0.168  0.831 -0.021  0.831 0.125  0.831 0.271  0.707 0.292  0.619 0.234  0.619 0.088  0.756 0.080  0.831 0.009  0.836 -0.133  0.982 -0.133  1.103 -0.192  1.207 -0.296  1.332 -0.346  1.476 -0.352  1.579 -0.455  1.682 -0.559
3#app#app19#app1945/r  -0.911 0.116  -0.911 0.004  -0.911 -0.107  -0.857 -0.196  -0.778 -0.274  -0.700 -0.353  -0.655 -0.446  -0.655 -0.557  -0.655 -0.668  -0.655 -0.779  -0.655 -0.891  -0.564 -0.911  -0.453 -0.911  -0.398 -0.968  -0.398 -1.079  -0.375 -1.167  -0.264 -1.167  -0.153 -1.167  -0.142 -1.068  -0.142 -0.956  -0.142 -0.845  -0.142 -0.734  -0.119 -0.632  -0.041 -0.553  0.038 -0.475  0.115 -0.395  0.115 -0.284  0.115 -0.173  0.115 -0.061  0.115 0.050  0.115 0.161  0.115 0.272  0.115 0.383  0.115 0.495  0.115 0.606  0.178 0.691  0.256 0.770  0.335 0.849  0.372 0.945  0.372 1.056  0.397 1.142  0.508 1.142  0.619 1.142  0.731 1.142  0.842 1.142  0.953 1.142  1.064 1.142  1.175 1.142  1.287 1.142  1.398 1.142
3#app#app19#app1945/?  -0.742 0.808  -0.742 0.905  -0.649 0.908  -0.579 0.972  -0.497 1.009  -0.412 1.037  -0.344 1.106  -0.248 1.109  -0.151 1.109  -0.054 1.109  0.042 1.109  0.139 1.109  0.163 1.036  0.232 1.009  0.310 0.962  0.378 0.894  0.447 0.825  0.464 0.736  0.464 0.639  0.464 0.542  0.464 0.445  0.424 0.365  0.352 0.305  0.263 0.297  0.260 0.201  0.192 0.133  0.123 0.064  0.055 -0.004  -0.014 -0.073  -0.038 -0.160  -0.097 -0.198  -0.139 -0.253  -0.139 -0.350  -0.139 -0.447  -0.139 -0.543  -0.139 -0.640  -0.113 -0.727  -0.045 -0.795  0.024 -0.864  0.062 -0.944  0.058 -1.041  0.047 -1.137  0.036 -1.234  0.026 -1.330  0.015 -1.426  0.004 -1.522  -0.006 -1.619  -0.017 -1.715  -0.028 -1.811  -0.038 -1.908
