2#app#app11#app1169/I  -0.021 1.709  -0.021 1.639  -0.021 1.569  -0.021 1.499  -0.021 1.428  -0.021 1.358  -0.021 1.288  -0.021 1.218  -0.021 1.148  -0.021 1.078  -0.021 1.008  -0.021 0.938  -0.021 0.868  -0.021 0.797  -0.021 0.727  -0.021 0.657  -0.021 0.587  -0.021 0.517  -0.021 0.447  -0.021 0.377  -0.021 0.307  -0.021 0.237  -0.021 0.166  -0.021 0.096  -0.021 0.026  -0.021 -0.044  -0.021 -0.114  -0.021 -0.184  -0.021 -0.254  -0.021 -0.324  -0.021 -0.394  -0.021 -0.465  -0.021 -0.535  -0.021 -0.605  -0.021 -0.675  -0.021 -0.745  -0.021 -0.815  -0.021 -0.885  -0.021 -0.955  -0.021 -1.026  -0.021 -1.096  -0.021 -1.166  0.019 -1.219  0.068 -1.269  0.118 -1.318  0.139 -1.380  0.139 -1.450  0.139 -1.520  0.139 -1.590  0.139 -1.660
1b#uqb#re/I  -0.333 0.873  -0.323 1.012  -0.334 1.149  -0.360 1.285  -0.349 1.331  -0.232 1.259  -0.100 1.232  0.039 1.232  0.173 1.206  0.310 1.185  0.445 1.156  0.448 1.215  0.314 1.222  0.188 1.174  0.151 1.090  0.178 0.955  0.178 0.816  0.160 0.679  0.136 0.543  0.133 0.404  0.126 0.265  0.096 0.132  0.045 0.003  0.051 -0.134  0.044 -0.273  0.061 -0.407  0.095 -0.541  0.120 -0.676  0.051 -0.752  -0.087 -0.738  -0.225 -0.726  -0.362 -0.701  -0.498 -0.674  -0.632 -0.703  -0.768 -0.726  -0.862 -0.730  -0.732 -0.778  -0.601 -0.825  -0.467 -0.861  -0.332 -0.891  -0.195 -0.917  -0.060 -0.948  0.075 -0.979  0.212 -1.006  0.348 -1.032  0.486 -1.051  0.623 -1.070  0.759 -1.101  0.886 -1.134  0.922 -1.044
1b#uqb#re/I  -0.577 1.384  -0.612 1.390  -0.497 1.397  -0.380 1.404  -0.264 1.413  -0.148 1.422  -0.031 1.421  0.085 1.409  0.160 1.400  0.054 1.351  0.038 1.288  0.071 1.176  0.100 1.063  0.130 0.950  0.125 0.837  0.135 0.720  0.141 0.604  0.134 0.487  0.133 0.371  0.138 0.254  0.144 0.137  0.151 0.021  0.162 -0.095  0.171 -0.212  0.176 -0.328  0.180 -0.445  0.214 -0.555  0.217 -0.672  0.237 -0.785  0.271 -0.892  0.180 -0.883  0.064 -0.877  -0.053 -0.870  -0.170 -0.864  -0.286 -0.858  -0.403 -0.851  -0.520 -0.845  -0.636 -0.838  -0.553 -0.858  -0.438 -0.876  -0.322 -0.886  -0.207 -0.902  -0.091 -0.916  0.025 -0.927  0.142 -0.938  0.258 -0.930  0.374 -0.933  0.488 -0.959  0.602 -0.967  0.689 -0.938
1b#uqb#re/I  -0.548 1.148  -0.523 1.210  -0.395 1.200  -0.267 1.190  -0.138 1.177  -0.010 1.169  0.119 1.169  0.247 1.176  0.376 1.189  0.502 1.212  0.596 1.231  0.469 1.223  0.345 1.188  0.221 1.153  0.146 1.071  0.105 0.950  0.111 0.824  0.153 0.705  0.205 0.591  0.214 0.464  0.209 0.335  0.209 0.206  0.179 0.081  0.146 -0.043  0.095 -0.161  0.043 -0.279  0.008 -0.403  -0.019 -0.528  -0.019 -0.657  -0.019 -0.786  -0.031 -0.904  -0.160 -0.904  -0.288 -0.910  -0.411 -0.948  -0.538 -0.962  -0.666 -0.978  -0.794 -0.993  -0.736 -0.999  -0.608 -0.986  -0.480 -0.974  -0.352 -0.962  -0.223 -0.947  -0.095 -0.935  0.033 -0.935  0.161 -0.949  0.284 -0.976  0.413 -0.976  0.541 -0.962  0.650 -0.935  0.540 -0.873
1b#uqb#re/I  -0.560 1.112  -0.613 1.124  -0.476 1.124  -0.338 1.124  -0.201 1.117  -0.064 1.115  0.073 1.124  0.200 1.086  0.337 1.079  0.474 1.077  0.612 1.077  0.680 1.080  0.547 1.086  0.412 1.060  0.278 1.033  0.143 1.007  0.008 0.980  -0.080 0.940  -0.034 0.813  -0.003 0.680  0.006 0.543  0.006 0.406  0.006 0.269  -0.013 0.133  -0.028 -0.003  -0.041 -0.140  -0.028 -0.276  -0.010 -0.412  0.002 -0.549  0.031 -0.682  0.046 -0.815  0.042 -0.940  0.051 -1.051  -0.074 -0.993  -0.203 -0.948  -0.338 -0.924  -0.474 -0.929  -0.610 -0.946  -0.719 -0.987  -0.582 -0.995  -0.446 -1.011  -0.310 -1.032  -0.173 -1.040  -0.036 -1.049  0.100 -1.064  0.235 -1.087  0.371 -1.104  0.508 -1.095  0.644 -1.078  0.643 -1.034
1b#uqb#re/I  -0.831 0.986  -0.852 1.055  -0.729 1.100  -0.597 1.115  -0.464 1.122  -0.332 1.136  -0.200 1.153  -0.067 1.151  0.066 1.150  0.197 1.172  0.327 1.156  0.450 1.112  0.428 1.128  0.297 1.105  0.166 1.082  0.035 1.061  -0.022 0.962  -0.016 0.830  0.027 0.704  0.076 0.580  0.159 0.477  0.180 0.352  0.180 0.219  0.180 0.086  0.147 -0.042  0.116 -0.171  0.116 -0.304  0.122 -0.437  0.147 -0.567  0.180 -0.696  0.224 -0.822  0.279 -0.943  0.183 -0.959  0.050 -0.953  -0.082 -0.942  -0.212 -0.915  -0.337 -0.875  -0.470 -0.875  -0.603 -0.886  -0.509 -0.925  -0.379 -0.950  -0.252 -0.990  -0.123 -1.026  0.004 -1.065  0.136 -1.078  0.269 -1.093  0.399 -1.116  0.530 -1.135  0.663 -1.140  0.744 -1.088
1b#uqb#re/I  -0.866 0.883  -0.950 1.000  -0.836 1.001  -0.691 0.990  -0.546 0.990  -0.403 0.964  -0.262 0.931  -0.117 0.950  0.027 0.970  0.171 0.993  0.315 1.016  0.459 1.036  0.601 1.058  0.520 1.120  0.384 1.109  0.272 1.015  0.161 0.921  0.050 0.827  -0.043 0.906  -0.021 0.854  0.074 0.744  0.091 0.601  0.117 0.458  0.116 0.313  0.095 0.169  0.064 0.027  0.048 -0.117  0.021 -0.259  -0.035 -0.393  -0.043 -0.538  -0.050 -0.683  -0.053 -0.829  -0.011 -0.968  -0.003 -1.111  -0.079 -1.178  -0.184 -1.078  -0.311 -1.011  -0.432 -0.942  -0.524 -0.882  -0.391 -0.937  -0.253 -0.985  -0.115 -1.030  0.030 -1.037  0.176 -1.042  0.318 -1.074  0.446 -1.135  0.572 -1.201  0.708 -1.221  0.720 -1.165  0.664 -1.030
1b#uqb#re/I  -1.069 0.931  -0.969 0.902  -0.817 0.890  -0.663 0.919  -0.510 0.910  -0.357 0.875  -0.207 0.830  -0.055 0.800  0.101 0.807  0.258 0.818  0.413 0.835  0.569 0.851  0.726 0.851  0.883 0.851  1.039 0.851  0.952 0.889  0.804 0.924  0.652 0.884  0.501 0.844  0.350 0.803  0.198 0.763  0.047 0.723  -0.073 0.658  -0.046 0.505  -0.023 0.353  -0.033 0.196  -0.056 0.041  -0.075 -0.114  -0.066 -0.267  -0.027 -0.419  0.000 -0.573  0.006 -0.724  -0.020 -0.879  -0.066 -0.982  -0.222 -1.002  -0.377 -1.021  -0.532 -1.046  -0.686 -1.050  -0.842 -1.035  -0.741 -1.046  -0.585 -1.061  -0.428 -1.061  -0.272 -1.058  -0.115 -1.049  0.040 -1.029  0.196 -1.027  0.352 -1.034  0.509 -1.026  0.666 -1.021  0.671 -0.981
1b#apa#apa13#app1324/I  0.302 1.229  0.337 1.063  0.302 0.842  0.302 0.607  0.302 0.372  0.302 0.136  0.302 -0.099  0.302 -0.334  0.302 -0.569  0.387 -0.770  0.191 -0.799  -0.044 -0.814  -0.279 -0.828  -0.514 -0.843  -0.749 -0.858  -0.984 -0.872  -1.200 -0.886  -0.965 -0.886  -0.771 -0.786  -0.536 -0.786  -0.301 -0.786  -0.066 -0.786  0.170 -0.786  0.405 -0.786  0.633 -0.829  0.859 -0.886  0.938 -0.833  0.752 -0.689  0.566 -0.545  0.380 -0.402  0.194 -0.258  0.007 -0.114  -0.179 0.030  -0.365 0.174  -0.551 0.318  -0.737 0.462  -0.924 0.606  -1.110 0.749  -1.100 0.826  -0.865 0.826  -0.629 0.826  -0.406 0.876  -0.183 0.927  0.053 0.927  0.288 0.927  0.523 0.932  0.751 0.989  0.981 1.028  1.217 1.028  1.410 1.129
1b#apa#apa13#app1324/I  0.174 0.990  0.077 0.820  0.077 0.610  0.077 0.400  0.077 0.190  0.077 -0.020  0.077 -0.230  0.131 -0.418  0.174 -0.611  0.010 -0.680  -0.197 -0.712  -0.405 -0.744  -0.613 -0.776  -0.820 -0.808  -1.028 -0.840  -0.930 -0.849  -0.720 -0.849  -0.510 -0.849  -0.300 -0.849  -0.090 -0.849  0.121 -0.849  0.331 -0.849  0.541 -0.849  0.751 -0.849  0.961 -0.849  1.171 -0.849  1.300 -0.820  1.136 -0.689  0.972 -0.557  0.808 -0.426  0.643 -0.295  0.479 -0.164  0.315 -0.032  0.151 0.099  -0.013 0.230  -0.177 0.362  -0.341 0.493  -0.505 0.624  -0.669 0.755  -0.833 0.887  -0.997 1.018  -0.984 1.087  -0.774 1.087  -0.568 1.103  -0.377 1.184  -0.167 1.184  0.040 1.204  0.240 1.270  0.448 1.281  0.658 1.281
1b#apa#apa13#app1324/I  0.107 1.033  0.107 0.810  0.030 0.619  0.023 0.398  0.023 0.175  0.023 -0.048  0.023 -0.272  -0.069 -0.426  -0.283 -0.489  -0.497 -0.552  -0.711 -0.615  -0.926 -0.678  -1.140 -0.741  -1.354 -0.804  -1.245 -0.821  -1.022 -0.821  -0.798 -0.821  -0.575 -0.821  -0.352 -0.821  -0.128 -0.821  0.095 -0.821  0.318 -0.821  0.540 -0.815  0.745 -0.737  0.968 -0.737  1.157 -0.821  1.062 -0.713  0.885 -0.577  0.708 -0.441  0.531 -0.304  0.354 -0.168  0.177 -0.032  0.001 0.104  -0.176 0.240  -0.353 0.376  -0.530 0.512  -0.707 0.649  -0.884 0.785  -0.896 0.865  -0.673 0.865  -0.450 0.865  -0.227 0.865  -0.003 0.865  0.220 0.865  0.435 0.902  0.647 0.949  0.870 0.949  1.093 0.949  1.317 0.949  1.540 0.949
1b#apb#apb17#app1796/I  0.166 1.688  0.166 1.618  0.166 1.548  0.166 1.479  0.166 1.409  0.166 1.340  0.166 1.270  0.166 1.201  0.166 1.131  0.166 1.062  0.166 0.992  0.165 0.923  0.158 0.853  0.151 0.784  0.143 0.715  0.136 0.646  0.128 0.577  0.121 0.508  0.114 0.438  0.106 0.369  0.099 0.300  0.091 0.231  0.084 0.162  0.077 0.093  0.069 0.024  0.057 -0.045  0.043 -0.113  0.029 -0.181  0.015 -0.249  0.001 -0.317  -0.014 -0.385  -0.028 -0.454  -0.042 -0.522  -0.056 -0.590  -0.070 -0.658  -0.084 -0.726  -0.098 -0.794  -0.112 -0.862  -0.126 -0.930  -0.147 -0.996  -0.172 -1.061  -0.197 -1.126  -0.222 -1.191  -0.246 -1.256  -0.271 -1.321  -0.296 -1.386  -0.321 -1.451  -0.346 -1.516  -0.370 -1.581  -0.395 -1.646
2#tos#f2#f2024065/I  -0.056 0.878  -0.165 0.914  -0.282 0.928  -0.344 1.033  -0.344 1.157  -0.336 1.202  -0.212 1.202  -0.130 1.133  -0.012 1.101  0.101 1.061  0.214 1.022  0.330 0.990  0.449 0.961  0.541 0.955  0.423 0.994  0.306 1.033  0.185 1.058  0.088 1.031  0.018 0.950  0.016 0.827  0.016 0.703  0.016 0.579  0.016 0.455  0.016 0.331  0.016 0.207  0.016 0.083  0.016 -0.042  0.016 -0.166  0.016 -0.290  0.016 -0.414  0.016 -0.538  0.016 -0.662  0.016 -0.786  0.016 -0.910  0.016 -1.034  0.016 -1.159  0.016 -1.282  -0.095 -1.227  -0.216 -1.210  -0.340 -1.210  -0.428 -1.174  -0.476 -1.108  -0.359 -1.138  -0.239 -1.155  -0.120 -1.174  0.005 -1.174  0.124 -1.192  0.236 -1.246  0.360 -1.246  0.484 -1.246
1b#tos#t3#t3067063/I  -0.491 0.795  -0.646 0.795  -0.796 0.780  -0.690 0.759  -0.535 0.759  -0.379 0.759  -0.225 0.771  -0.073 0.806  0.077 0.844  0.219 0.904  0.374 0.912  0.522 0.957  0.670 1.004  0.794 1.085  0.922 1.113  0.776 1.108  0.623 1.079  0.470 1.050  0.317 1.022  0.270 0.905  0.125 0.894  0.125 0.738  0.089 0.591  0.089 0.435  0.061 0.283  0.048 0.129  0.017 -0.021  -0.000 -0.176  -0.020 -0.330  -0.047 -0.481  -0.062 -0.635  -0.102 -0.783  -0.151 -0.918  -0.292 -0.984  -0.433 -1.050  -0.575 -1.115  -0.720 -1.161  -0.794 -1.197  -0.638 -1.197  -0.502 -1.160  -0.385 -1.088  -0.242 -1.044  -0.099 -0.994  0.038 -0.948  0.152 -0.871  0.272 -0.835  0.352 -0.916  0.445 -1.016  0.488 -1.129  0.560 -1.233
1b#app#app14#app1428/I  -0.123 1.701  -0.123 1.631  -0.123 1.560  -0.123 1.489  -0.123 1.419  -0.123 1.348  -0.123 1.277  -0.123 1.207  -0.123 1.136  -0.123 1.066  -0.123 0.995  -0.123 0.924  -0.123 0.854  -0.123 0.783  -0.123 0.712  -0.123 0.642  -0.123 0.571  -0.108 0.504  -0.076 0.441  -0.044 0.378  -0.013 0.315  0.006 0.249  0.006 0.178  0.006 0.107  0.006 0.037  0.006 -0.034  0.006 -0.104  0.006 -0.175  0.006 -0.246  0.006 -0.316  0.006 -0.387  0.006 -0.458  0.006 -0.528  0.006 -0.599  0.024 -0.665  0.055 -0.728  0.087 -0.792  0.118 -0.855  0.136 -0.921  0.136 -0.992  0.136 -1.063  0.136 -1.133  0.136 -1.204  0.136 -1.274  0.136 -1.345  0.139 -1.415  0.171 -1.478  0.202 -1.541  0.234 -1.604  0.266 -1.668
1b#app#app12#app1247/I  -0.022 1.554  0.049 1.554  0.114 1.549  0.114 1.479  0.114 1.408  0.114 1.337  0.114 1.266  0.114 1.196  0.100 1.131  0.050 1.081  -0.000 1.031  -0.022 0.969  -0.022 0.899  -0.022 0.828  -0.022 0.757  -0.022 0.687  -0.022 0.616  -0.022 0.545  -0.022 0.474  -0.022 0.404  -0.022 0.333  -0.022 0.262  -0.022 0.192  -0.022 0.121  -0.022 0.050  -0.022 -0.020  -0.022 -0.091  -0.022 -0.162  -0.022 -0.233  -0.022 -0.303  -0.022 -0.374  -0.022 -0.445  -0.022 -0.515  -0.022 -0.586  -0.022 -0.657  -0.022 -0.728  -0.022 -0.798  -0.022 -0.869  -0.022 -0.940  -0.022 -1.010  -0.022 -1.081  -0.022 -1.152  -0.022 -1.223  -0.022 -1.293  -0.022 -1.364  -0.022 -1.435  -0.022 -1.505  -0.022 -1.576  -0.022 -1.647  -0.022 -1.717
3#app#app12#app1261/I  -0.041 1.715  -0.041 1.644  -0.041 1.574  -0.041 1.503  -0.041 1.432  -0.041 1.362  -0.041 1.291  -0.041 1.220  -0.041 1.150  -0.041 1.079  -0.041 1.008  -0.041 0.937  -0.041 0.867  -0.041 0.796  -0.041 0.725  -0.041 0.655  -0.041 0.584  -0.041 0.513  -0.041 0.443  -0.041 0.372  -0.041 0.301  -0.041 0.231  -0.041 0.160  -0.041 0.089  -0.041 0.018  -0.041 -0.052  -0.041 -0.123  -0.041 -0.194  -0.041 -0.264  -0.041 -0.335  -0.041 -0.406  -0.041 -0.476  -0.041 -0.547  -0.041 -0.618  -0.041 -0.689  -0.041 -0.759  -0.041 -0.830  -0.041 -0.901  -0.041 -0.971  0.002 -1.024  0.052 -1.074  0.102 -1.124  0.152 -1.174  0.184 -1.232  0.184 -1.302  0.184 -1.373  0.184 -1.444  0.184 -1.514  0.184 -1.585  0.184 -1.656
3#apa#apa14#app1443/I  -0.008 0.853  -0.065 0.910  -0.121 0.966  -0.178 1.023  -0.234 1.080  -0.274 1.143  -0.274 1.223  -0.274 1.303  -0.274 1.383  -0.274 1.307  -0.274 1.227  -0.274 1.147  -0.274 1.067  -0.274 0.987  -0.274 0.907  -0.266 0.829  -0.240 0.753  -0.215 0.677  -0.190 0.601  -0.164 0.525  -0.139 0.449  -0.114 0.374  -0.089 0.298  -0.063 0.222  -0.038 0.146  -0.013 0.070  0.013 -0.006  0.038 -0.082  0.063 -0.158  0.088 -0.233  0.114 -0.309  0.139 -0.385  0.164 -0.461  0.190 -0.537  0.215 -0.613  0.240 -0.689  0.258 -0.766  0.258 -0.846  0.258 -0.926  0.258 -1.006  0.258 -1.086  0.258 -1.166  0.258 -1.246  0.258 -1.326  0.258 -1.406  0.258 -1.486  0.258 -1.566  0.258 -1.646  0.258 -1.726  0.258 -1.806
2#pri#pri0#150/I  0.291 1.573  0.220 1.573  0.168 1.530  0.126 1.474  0.083 1.417  0.046 1.359  0.026 1.291  0.007 1.223  -0.013 1.156  -0.032 1.088  -0.042 1.018  -0.051 0.948  -0.061 0.879  -0.071 0.809  -0.079 0.739  -0.087 0.669  -0.095 0.599  -0.103 0.529  -0.110 0.459  -0.112 0.389  -0.112 0.318  -0.112 0.248  -0.112 0.177  -0.112 0.107  -0.112 0.037  -0.112 -0.034  -0.112 -0.104  -0.112 -0.175  -0.112 -0.245  -0.112 -0.315  -0.097 -0.384  -0.082 -0.453  -0.066 -0.522  -0.051 -0.591  -0.036 -0.659  -0.021 -0.728  -0.005 -0.797  0.010 -0.866  0.025 -0.934  0.040 -1.003  0.056 -1.072  0.071 -1.141  0.086 -1.209  0.102 -1.278  0.117 -1.347  0.133 -1.415  0.152 -1.483  0.171 -1.551  0.191 -1.618  0.210 -1.686
