2#app#app40#app4087/I  -1.275 0.809  -1.101 0.809  -0.927 0.809  -0.753 0.809  -0.579 0.809  -0.405 0.809  -0.231 0.809  -0.057 0.809  0.114 0.815  0.237 0.938  0.393 0.982  0.567 0.982  0.741 0.982  0.915 0.982  0.856 0.962  0.685 0.934  0.513 0.905  0.341 0.877  0.170 0.848  -0.002 0.819  0.045 0.809  0.108 0.698  -0.004 0.636  -0.065 0.523  -0.065 0.349  -0.065 0.175  -0.065 0.001  -0.065 -0.173  -0.065 -0.347  -0.065 -0.521  -0.065 -0.695  -0.065 -0.869  -0.065 -1.043  0.060 -1.092  -0.018 -1.092  -0.192 -1.092  -0.366 -1.092  -0.540 -1.092  -0.714 -1.092  -0.625 -1.092  -0.451 -1.092  -0.277 -1.092  -0.103 -1.092  0.031 -0.996  0.174 -0.919  0.348 -0.919  0.522 -0.919  0.675 -0.870  0.798 -0.747  0.972 -0.747
2#app#app40#app4087/o  -0.014 0.894  -0.166 0.894  -0.319 0.894  -0.329 0.753  -0.329 0.601  -0.460 0.579  -0.612 0.579  -0.644 0.460  -0.644 0.308  -0.721 0.187  -0.829 0.080  -0.936 -0.028  -0.959 -0.170  -0.959 -0.322  -0.959 -0.474  -0.959 -0.626  -0.862 -0.681  -0.709 -0.681  -0.644 -0.768  -0.644 -0.920  -0.568 -0.996  -0.416 -0.996  -0.264 -0.996  -0.112 -0.996  0.040 -0.996  0.192 -0.996  0.344 -0.996  0.496 -0.996  0.639 -0.972  0.746 -0.865  0.854 -0.757  0.931 -0.637  0.931 -0.485  0.931 -0.333  0.931 -0.181  0.931 -0.029  0.931 0.123  0.931 0.275  0.931 0.427  0.930 0.579  0.778 0.579  0.626 0.579  0.516 0.679  0.408 0.787  0.301 0.894  0.193 1.002  0.085 1.109  -0.025 1.209  -0.177 1.209  -0.329 1.209
2#app#app40#app4087/u  -1.331 0.939  -1.331 0.771  -1.331 0.603  -1.331 0.435  -1.331 0.267  -1.331 0.099  -1.331 -0.069  -1.220 -0.191  -1.101 -0.309  -0.991 -0.432  -0.991 -0.600  -0.982 -0.758  -0.814 -0.758  -0.646 -0.758  -0.478 -0.758  -0.310 -0.758  -0.142 -0.758  0.025 -0.758  0.027 -0.591  0.027 -0.424  0.190 -0.419  0.358 -0.419  0.479 -0.306  0.597 -0.187  0.705 -0.064  0.705 0.104  0.705 0.272  0.705 0.440  0.705 0.608  0.705 0.775  0.705 0.943  0.705 1.111  0.704 1.277  0.586 1.158  0.467 1.040  0.366 0.914  0.366 0.746  0.366 0.578  0.366 0.410  0.366 0.242  0.366 0.074  0.366 -0.094  0.366 -0.262  0.377 -0.419  0.545 -0.419  0.705 -0.426  0.705 -0.594  0.709 -0.758  0.877 -0.758  1.045 -0.758
2#app#app40#app4087/r  0.225 0.998  0.225 0.838  0.225 0.678  0.225 0.517  0.225 0.357  0.225 0.197  0.220 0.041  0.060 0.041  -0.101 0.041  -0.254 0.034  -0.254 -0.126  -0.254 -0.286  -0.254 -0.447  -0.254 -0.607  -0.254 -0.767  -0.254 -0.927  -0.254 -1.088  -0.254 -1.248  -0.268 -1.394  -0.428 -1.394  -0.589 -1.394  -0.732 -1.377  -0.732 -1.217  -0.732 -1.057  -0.713 -0.915  -0.553 -0.915  -0.393 -0.915  -0.254 -0.894  -0.254 -0.734  -0.254 -0.574  -0.254 -0.413  -0.254 -0.253  -0.254 -0.093  -0.235 0.060  -0.122 0.173  -0.009 0.286  0.105 0.400  0.218 0.513  0.225 0.671  0.225 0.831  0.225 0.991  0.378 0.998  0.538 0.998  0.698 0.998  0.703 1.154  0.703 1.314  0.703 1.474  0.861 1.477  1.021 1.477  1.182 1.477
2#app#app40#app4087/F  -0.348 0.306  -0.376 0.112  -0.542 0.055  -0.542 -0.167  -0.622 -0.356  -0.736 -0.531  -0.736 -0.753  -0.736 -0.975  -0.736 -1.197  -0.736 -1.420  -0.735 -1.624  -0.715 -1.403  -0.695 -1.182  -0.675 -0.961  -0.654 -0.740  -0.634 -0.518  -0.614 -0.297  -0.594 -0.076  -0.574 0.145  -0.554 0.367  -0.453 0.499  -0.231 0.499  -0.154 0.645  0.020 0.693  0.241 0.697  0.440 0.796  0.640 0.887  0.862 0.887  1.085 0.887  1.307 0.887  1.397 1.019  1.557 1.081  1.432 0.980  1.244 0.860  1.057 0.741  0.869 0.622  0.682 0.503  0.495 0.383  0.307 0.264  0.120 0.145  -0.068 0.026  -0.255 -0.094  -0.443 -0.213  -0.468 -0.350  -0.295 -0.470  -0.073 -0.470  0.040 -0.361  0.177 -0.276  0.399 -0.276  0.621 -0.276
2#app#app40#app4087/r  -0.300 0.115  -0.300 0.002  -0.300 -0.112  -0.300 -0.226  -0.370 -0.310  -0.450 -0.391  -0.531 -0.471  -0.611 -0.552  -0.656 -0.647  -0.656 -0.760  -0.656 -0.874  -0.656 -0.988  -0.656 -1.101  -0.656 -1.215  -0.656 -1.287  -0.656 -1.173  -0.656 -1.059  -0.656 -0.946  -0.656 -0.832  -0.656 -0.718  -0.656 -0.605  -0.581 -0.522  -0.501 -0.441  -0.421 -0.361  -0.340 -0.281  -0.260 -0.200  -0.179 -0.120  -0.099 -0.039  -0.019 0.041  0.064 0.115  0.178 0.115  0.291 0.115  0.405 0.115  0.411 0.223  0.411 0.336  0.411 0.450  0.477 0.537  0.557 0.617  0.638 0.697  0.718 0.778  0.767 0.871  0.767 0.985  0.767 1.098  0.797 1.183  0.910 1.183  1.024 1.183  1.123 1.197  1.123 1.311  1.123 1.425  1.123 1.538
2#app#app40#app4087/i  0.589 0.149  0.589 0.031  0.589 -0.088  0.556 -0.172  0.438 -0.172  0.319 -0.172  0.221 -0.219  0.137 -0.303  0.054 -0.387  -0.030 -0.470  -0.113 -0.554  -0.197 -0.637  -0.280 -0.721  -0.364 -0.804  -0.374 -0.918  -0.374 -1.036  -0.374 -1.154  -0.374 -1.273  -0.374 -1.391  -0.364 -1.406  -0.341 -1.290  -0.318 -1.174  -0.295 -1.059  -0.272 -0.943  -0.248 -0.827  -0.225 -0.711  -0.202 -0.595  -0.179 -0.479  -0.156 -0.363  -0.132 -0.248  -0.109 -0.132  -0.086 -0.016  -0.063 0.100  -0.040 0.216  -0.017 0.332  0.007 0.447  0.030 0.563  0.053 0.679  0.076 0.795  0.099 0.911  0.122 1.027  0.146 1.143  0.169 1.258  0.192 1.374  0.215 1.490  0.238 1.606  0.261 1.722  0.268 1.839  0.268 1.957  0.268 2.076
2#app#app40#app4087/e  -0.356 0.183  -0.220 0.183  -0.083 0.183  0.054 0.183  0.191 0.183  0.328 0.183  0.465 0.183  0.602 0.183  0.738 0.183  0.845 0.256  0.942 0.352  1.039 0.449  1.135 0.546  1.029 0.559  0.893 0.559  0.772 0.575  0.772 0.712  0.772 0.849  0.721 0.935  0.584 0.935  0.447 0.935  0.311 0.935  0.174 0.935  0.037 0.935  0.020 0.815  0.020 0.678  0.002 0.559  -0.134 0.559  -0.271 0.559  -0.356 0.507  -0.356 0.370  -0.356 0.233  -0.356 0.096  -0.356 -0.040  -0.356 -0.177  -0.442 -0.279  -0.538 -0.376  -0.635 -0.472  -0.732 -0.569  -0.733 -0.706  -0.733 -0.843  -0.733 -0.979  -0.733 -1.116  -0.733 -1.253  -0.733 -1.390  -0.733 -1.527  -0.733 -1.664  -0.630 -1.698  -0.493 -1.698  -0.356 -1.698
2#app#app40#app4087/n  -0.852 0.208  -0.852 0.058  -0.852 -0.091  -0.852 -0.241  -0.852 -0.391  -0.852 -0.540  -0.852 -0.690  -0.896 -0.821  -1.001 -0.927  -1.107 -1.033  -1.135 -1.106  -0.985 -1.106  -0.852 -1.090  -0.852 -0.940  -0.852 -0.790  -0.755 -0.681  -0.649 -0.575  -0.544 -0.469  -0.438 -0.364  -0.332 -0.258  -0.226 -0.152  -0.120 -0.046  -0.015 0.060  0.091 0.165  0.197 0.271  0.303 0.377  0.408 0.483  0.514 0.589  0.620 0.694  0.726 0.800  0.791 0.923  0.791 1.072  0.819 1.193  0.969 1.193  1.118 1.193  1.014 1.088  0.908 0.982  0.802 0.877  0.791 0.732  0.791 0.582  0.717 0.463  0.612 0.357  0.506 0.251  0.462 0.120  0.462 -0.030  0.462 -0.179  0.462 -0.329  0.462 -0.478  0.462 -0.628  0.462 -0.778
2#app#app40#app4087/d  0.198 -0.414  0.400 -0.414  0.297 -0.288  0.137 -0.189  -0.065 -0.189  -0.263 -0.200  -0.405 -0.342  -0.548 -0.485  -0.691 -0.628  -0.833 -0.770  -0.928 -0.933  -0.928 -1.135  -0.907 -1.315  -0.705 -1.315  -0.503 -1.315  -0.477 -1.139  -0.325 -1.090  -0.123 -1.090  -0.027 -0.984  -0.027 -0.783  0.032 -0.640  0.198 -0.604  0.207 -0.406  0.349 -0.263  0.424 -0.092  0.424 0.110  0.424 0.311  0.424 0.513  0.424 0.715  0.424 0.917  0.424 1.118  0.424 1.320  0.424 1.522  0.424 1.724  0.336 1.838  0.198 1.773  0.198 1.572  0.186 1.375  0.043 1.232  -0.027 1.060  -0.027 0.858  -0.027 0.656  -0.027 0.454  -0.027 0.252  -0.027 0.051  0.105 -0.096  0.198 -0.260  0.198 -0.461  0.198 -0.663  0.198 -0.865
2#app#app40#app4087/,  -0.410 1.545  -0.410 1.461  -0.410 1.378  -0.410 1.294  -0.410 1.210  -0.410 1.127  -0.410 1.043  -0.410 0.960  -0.326 0.960  -0.242 0.960  -0.159 0.960  -0.075 0.960  0.008 0.960  0.092 0.960  0.176 0.960  0.176 0.876  0.176 0.792  0.176 0.709  0.176 0.625  0.176 0.542  0.176 0.458  0.176 0.375  0.176 0.291  0.176 0.207  0.176 0.124  0.176 0.040  0.176 -0.043  0.176 -0.127  0.176 -0.211  0.176 -0.294  0.176 -0.378  0.176 -0.461  0.176 -0.545  0.176 -0.629  0.176 -0.712  0.176 -0.796  0.176 -0.879  0.176 -0.963  0.176 -1.047  0.176 -1.130  0.176 -1.214  0.176 -1.297  0.176 -1.381  0.092 -1.381  0.008 -1.381  -0.075 -1.381  -0.159 -1.381  -0.242 -1.381  -0.326 -1.381  -0.410 -1.381
2#app#app40#app4087/\"  -0.807 1.524  -0.807 1.402  -0.807 1.281  -0.807 1.159  -0.807 1.038  -0.807 0.917  -0.807 0.795  -0.807 0.674  -0.807 0.552  -0.807 0.431  -0.807 0.310  -0.807 0.188  -0.807 0.067  -0.807 -0.054  -0.807 -0.176  -0.807 -0.297  -0.807 -0.419  -0.807 -0.540  -0.785 -0.621  -0.684 -0.554  -0.583 -0.486  -0.482 -0.419  -0.381 -0.352  -0.280 -0.284  -0.179 -0.217  -0.078 -0.150  0.023 -0.082  0.124 -0.015  0.225 0.052  0.326 0.120  0.427 0.187  0.528 0.254  0.629 0.322  0.730 0.389  0.812 0.422  0.812 0.301  0.812 0.179  0.812 0.058  0.812 -0.064  0.812 -0.185  0.812 -0.306  0.812 -0.428  0.812 -0.549  0.837 -0.660  0.923 -0.746  1.009 -0.832  1.094 -0.918  1.180 -1.003  1.266 -1.089  1.352 -1.175
