1d#apa#apa14#app1452/!  -0.072 1.446  -0.072 1.517  -0.072 1.588  -0.072 1.520  -0.072 1.449  -0.072 1.378  -0.072 1.307  -0.072 1.236  -0.072 1.165  -0.072 1.094  -0.072 1.023  -0.072 0.952  -0.072 0.880  -0.072 0.809  -0.072 0.738  -0.072 0.667  -0.072 0.596  -0.072 0.525  -0.072 0.454  -0.072 0.383  -0.072 0.312  -0.072 0.241  -0.072 0.169  -0.048 0.104  -0.016 0.041  0.016 -0.023  0.048 -0.087  0.072 -0.152  0.072 -0.223  0.072 -0.294  0.072 -0.365  0.072 -0.436  0.072 -0.508  0.072 -0.579  0.072 -0.650  0.072 -0.721  0.072 -0.792  0.072 -0.863  0.072 -0.934  0.072 -1.005  0.072 -1.076  0.072 -1.147  0.072 -1.218  0.072 -1.290  0.072 -1.361  0.072 -1.432  0.072 -1.503  0.072 -1.574  0.072 -1.645  0.072 -1.716
1d#apa#apa14#app1452/~  -0.895 -0.566  -0.987 -0.566  -1.080 -0.566  -1.149 -0.508  -1.214 -0.443  -1.280 -0.377  -1.231 -0.312  -1.166 -0.246  -1.100 -0.181  -1.091 -0.091  -1.091 0.001  -1.022 0.025  -0.930 0.025  -0.895 0.082  -0.895 0.175  -0.848 0.222  -0.756 0.222  -0.673 0.246  -0.608 0.312  -0.542 0.377  -0.466 0.419  -0.374 0.419  -0.281 0.419  -0.188 0.419  -0.095 0.419  -0.003 0.419  0.090 0.419  0.090 0.326  0.090 0.233  0.171 0.222  0.264 0.222  0.336 0.173  0.402 0.107  0.467 0.041  0.553 0.025  0.646 0.025  0.722 -0.016  0.787 -0.082  0.853 -0.147  0.935 -0.172  1.028 -0.172  1.121 -0.172  1.213 -0.172  1.306 -0.172  1.399 -0.172  1.492 -0.172  1.584 -0.172  1.677 -0.172  1.770 -0.172  1.863 -0.172
1d#apa#apa14#app1452/  -0.590 0.000  -0.674 0.000  -0.758 0.000  -0.843 0.000  -0.927 0.000  -1.011 0.000  -1.095 0.000  -1.179 0.000  -1.263 0.000  -1.347 0.000  -1.398 0.000  -1.313 0.000  -1.229 0.000  -1.145 0.000  -1.061 0.000  -0.977 0.000  -0.893 0.000  -0.809 0.000  -0.725 0.000  -0.641 0.000  -0.557 0.000  -0.473 0.000  -0.388 0.000  -0.304 0.000  -0.220 0.000  -0.136 0.000  -0.052 0.000  0.032 0.000  0.116 0.000  0.200 0.000  0.284 0.000  0.368 0.000  0.452 0.000  0.536 0.000  0.621 0.000  0.705 0.000  0.789 0.000  0.873 0.000  0.957 0.000  1.041 0.000  1.125 0.000  1.209 0.000  1.293 0.000  1.377 0.000  1.461 0.000  1.546 0.000  1.630 0.000  1.714 0.000  1.798 0.000  1.882 0.000
1d#apa#apa14#app1452/_  -1.039 -0.265  -1.115 -0.265  -1.190 -0.265  -1.266 -0.265  -1.342 -0.265  -1.417 -0.265  -1.388 -0.265  -1.312 -0.265  -1.237 -0.265  -1.161 -0.265  -1.085 -0.265  -1.013 -0.251  -0.945 -0.218  -0.877 -0.184  -0.810 -0.150  -0.742 -0.116  -0.674 -0.082  -0.607 -0.048  -0.539 -0.015  -0.471 0.019  -0.404 0.053  -0.336 0.087  -0.269 0.121  -0.197 0.137  -0.121 0.137  -0.045 0.137  0.030 0.137  0.106 0.137  0.182 0.137  0.257 0.137  0.333 0.137  0.408 0.137  0.484 0.137  0.560 0.137  0.635 0.137  0.711 0.137  0.787 0.137  0.862 0.137  0.938 0.137  1.014 0.137  1.089 0.137  1.165 0.137  1.240 0.137  1.316 0.137  1.392 0.137  1.467 0.137  1.543 0.137  1.619 0.137  1.694 0.137  1.770 0.137
1d#apa#apa14#app1452/+  0.143 1.399  0.143 1.587  0.143 1.662  0.143 1.474  0.143 1.286  0.143 1.098  0.143 0.910  0.143 0.722  0.143 0.534  0.143 0.345  0.143 0.157  0.143 -0.031  0.143 -0.219  0.143 -0.407  0.143 -0.595  0.143 -0.783  0.143 -0.971  0.143 -1.159  0.143 -1.347  0.143 -1.420  0.143 -1.232  0.143 -1.044  0.143 -0.856  -0.004 -0.751  -0.165 -0.654  -0.326 -0.557  -0.487 -0.461  -0.649 -0.364  -0.810 -0.267  -0.971 -0.170  -1.132 -0.074  -1.294 0.023  -1.455 0.120  -1.268 0.120  -1.080 0.120  -0.892 0.120  -0.704 0.120  -0.516 0.120  -0.328 0.120  -0.140 0.120  0.048 0.120  0.236 0.120  0.424 0.120  0.612 0.120  0.800 0.120  0.988 0.120  1.176 0.120  1.364 0.120  1.552 0.120  1.740 0.120
1d#apa#apa14#app1452/=  -1.521 0.140  -1.521 0.328  -1.471 0.465  -1.283 0.465  -1.095 0.465  -0.907 0.465  -0.719 0.465  -0.531 0.465  -0.343 0.465  -0.155 0.465  0.033 0.465  0.209 0.516  0.377 0.600  0.545 0.684  0.714 0.768  0.896 0.791  1.084 0.791  1.272 0.791  1.376 0.757  1.243 0.624  1.110 0.491  0.958 0.381  0.802 0.277  0.646 0.172  0.489 0.068  0.333 -0.036  0.176 -0.141  0.020 -0.245  -0.137 -0.349  -0.293 -0.453  -0.450 -0.558  -0.606 -0.662  -0.762 -0.766  -0.912 -0.796  -1.044 -0.663  -1.177 -0.530  -1.033 -0.512  -0.845 -0.512  -0.657 -0.512  -0.469 -0.512  -0.281 -0.512  -0.093 -0.512  0.095 -0.512  0.283 -0.512  0.471 -0.512  0.659 -0.512  0.847 -0.512  1.035 -0.512  1.223 -0.512  1.411 -0.512
1d#apa#apa14#app1452/[  0.454 1.138  0.454 1.217  0.426 1.268  0.347 1.268  0.268 1.268  0.190 1.264  0.135 1.208  0.079 1.152  0.006 1.138  -0.071 1.132  -0.127 1.076  -0.183 1.020  -0.133 1.008  -0.065 0.997  -0.065 0.918  -0.065 0.839  -0.065 0.760  -0.065 0.681  -0.065 0.602  -0.065 0.523  -0.065 0.444  -0.065 0.365  -0.065 0.286  -0.065 0.207  -0.065 0.128  -0.065 0.049  -0.065 -0.030  -0.065 -0.109  -0.065 -0.188  -0.065 -0.267  -0.065 -0.346  -0.065 -0.425  -0.065 -0.504  -0.065 -0.583  -0.065 -0.662  -0.065 -0.741  -0.065 -0.820  -0.065 -0.899  -0.065 -0.978  -0.065 -1.057  -0.065 -1.136  -0.065 -1.215  -0.065 -1.294  -0.065 -1.373  -0.065 -1.452  -0.065 -1.531  -0.043 -1.588  0.036 -1.588  0.115 -1.588  0.194 -1.588
1d#apa#apa14#app1452/]  -0.213 1.346  -0.289 1.346  -0.303 1.346  -0.227 1.346  -0.151 1.346  -0.080 1.333  -0.026 1.280  0.028 1.226  0.104 1.226  0.148 1.195  0.148 1.119  0.148 1.043  0.148 0.967  0.148 0.891  0.148 0.815  0.148 0.739  0.148 0.663  0.148 0.587  0.148 0.511  0.148 0.435  0.148 0.359  0.148 0.283  0.148 0.207  0.148 0.130  0.148 0.054  0.148 -0.022  0.148 -0.098  0.116 -0.166  0.082 -0.234  0.048 -0.302  0.028 -0.373  0.028 -0.449  0.028 -0.525  0.020 -0.599  -0.014 -0.667  -0.048 -0.735  -0.082 -0.803  -0.093 -0.877  -0.093 -0.953  -0.093 -1.029  -0.093 -1.105  -0.093 -1.181  -0.093 -1.257  -0.093 -1.333  -0.093 -1.409  -0.093 -1.485  -0.106 -1.548  -0.182 -1.548  -0.258 -1.548  -0.334 -1.548
1d#apa#apa14#app1452/{  0.283 1.274  0.218 1.338  0.161 1.406  0.161 1.497  0.111 1.467  0.046 1.403  -0.018 1.338  -0.083 1.274  -0.174 1.274  -0.205 1.212  -0.205 1.121  -0.205 1.030  -0.205 0.938  -0.161 0.865  -0.097 0.800  -0.083 0.715  -0.083 0.623  -0.083 0.532  -0.083 0.441  -0.083 0.349  -0.083 0.258  -0.075 0.170  -0.011 0.105  0.039 0.034  0.039 -0.057  0.039 -0.148  0.003 -0.225  -0.061 -0.289  -0.144 -0.311  -0.174 -0.311  -0.083 -0.311  -0.083 -0.402  -0.022 -0.432  0.039 -0.463  0.039 -0.554  0.104 -0.619  0.161 -0.686  0.161 -0.778  0.161 -0.869  0.132 -0.949  0.068 -1.013  0.039 -1.093  0.039 -1.184  0.039 -1.275  0.039 -1.367  0.039 -1.458  0.039 -1.550  0.039 -1.641  0.097 -1.708  0.161 -1.773
1d#apa#apa14#app1452/}  -0.218 1.447  -0.286 1.515  -0.292 1.556  -0.202 1.541  -0.135 1.473  -0.050 1.447  0.033 1.415  0.101 1.347  0.111 1.256  0.111 1.160  0.111 1.064  0.111 0.968  0.111 0.872  0.111 0.777  0.111 0.681  0.044 0.612  -0.023 0.545  -0.091 0.477  -0.109 0.389  -0.109 0.293  -0.109 0.197  -0.109 0.101  -0.109 0.005  -0.109 -0.090  -0.109 -0.186  -0.050 -0.258  0.025 -0.309  0.111 -0.299  0.111 -0.203  0.019 -0.199  -0.077 -0.199  -0.109 -0.263  -0.109 -0.359  -0.109 -0.454  -0.093 -0.544  -0.025 -0.611  0.027 -0.690  0.070 -0.776  0.111 -0.862  0.111 -0.958  0.172 -1.028  0.220 -1.104  0.214 -1.198  0.172 -1.284  0.129 -1.370  0.111 -1.461  0.069 -1.515  0.001 -1.543  0.001 -1.639  0.001 -1.735
1d#apa#apa14#app1452/\\  -0.637 1.203  -0.637 1.277  -0.637 1.351  -0.637 1.372  -0.637 1.298  -0.637 1.225  -0.637 1.151  -0.637 1.077  -0.637 1.003  -0.637 0.929  -0.637 0.855  -0.623 0.785  -0.590 0.719  -0.557 0.653  -0.524 0.587  -0.491 0.521  -0.458 0.454  -0.415 0.396  -0.363 0.343  -0.311 0.291  -0.258 0.239  -0.206 0.187  -0.154 0.135  -0.102 0.082  -0.049 0.030  0.003 -0.022  0.055 -0.074  0.107 -0.127  0.153 -0.183  0.187 -0.249  0.220 -0.315  0.253 -0.381  0.286 -0.447  0.319 -0.513  0.359 -0.574  0.412 -0.626  0.464 -0.678  0.516 -0.731  0.568 -0.783  0.620 -0.835  0.673 -0.887  0.725 -0.939  0.729 -1.012  0.729 -1.086  0.729 -1.159  0.729 -1.233  0.729 -1.307  0.776 -1.333  0.850 -1.333  0.924 -1.333
1d#apa#apa14#app1452/,  0.759 1.519  0.728 1.457  0.697 1.395  0.666 1.333  0.635 1.271  0.604 1.209  0.573 1.147  0.542 1.085  0.511 1.023  0.480 0.961  0.449 0.899  0.418 0.837  0.387 0.775  0.356 0.713  0.325 0.651  0.294 0.589  0.263 0.527  0.232 0.465  0.201 0.403  0.170 0.341  0.139 0.279  0.108 0.217  0.077 0.155  0.046 0.093  0.015 0.031  -0.015 -0.031  -0.046 -0.093  -0.077 -0.155  -0.108 -0.217  -0.139 -0.279  -0.170 -0.341  -0.201 -0.403  -0.232 -0.465  -0.263 -0.527  -0.294 -0.589  -0.325 -0.651  -0.356 -0.713  -0.387 -0.775  -0.418 -0.837  -0.449 -0.899  -0.480 -0.961  -0.511 -1.023  -0.542 -1.085  -0.573 -1.147  -0.604 -1.209  -0.635 -1.271  -0.666 -1.333  -0.697 -1.395  -0.728 -1.457  -0.759 -1.519
1d#apa#apa14#app1452/  -0.957 -1.342  -0.957 -1.270  -0.957 -1.197  -0.889 -1.193  -0.817 -1.193  -0.780 -1.136  -0.748 -1.071  -0.715 -1.007  -0.683 -0.942  -0.645 -0.881  -0.594 -0.830  -0.543 -0.779  -0.492 -0.728  -0.441 -0.677  -0.390 -0.626  -0.339 -0.574  -0.288 -0.523  -0.237 -0.472  -0.200 -0.412  -0.177 -0.343  -0.154 -0.275  -0.132 -0.206  -0.109 -0.138  -0.086 -0.069  -0.063 -0.000  -0.012 0.051  0.039 0.102  0.090 0.153  0.142 0.204  0.193 0.255  0.244 0.306  0.295 0.357  0.346 0.408  0.392 0.463  0.425 0.528  0.457 0.592  0.489 0.657  0.522 0.722  0.554 0.786  0.586 0.851  0.619 0.916  0.651 0.980  0.684 1.045  0.735 1.096  0.786 1.147  0.831 1.200  0.831 1.273  0.831 1.336  0.831 1.264  0.831 1.192
1d#apa#apa14#app1452/?  -0.226 0.729  -0.295 0.797  -0.352 0.870  -0.352 0.967  -0.268 0.980  -0.188 1.018  -0.119 1.087  -0.030 1.105  0.054 1.135  0.123 1.203  0.208 1.231  0.304 1.231  0.401 1.231  0.401 1.134  0.401 1.038  0.401 0.941  0.401 0.845  0.401 0.748  0.347 0.674  0.278 0.606  0.276 0.510  0.276 0.413  0.251 0.327  0.182 0.259  0.114 0.190  0.046 0.122  -0.023 0.054  -0.091 -0.015  -0.101 -0.107  -0.101 -0.204  -0.118 -0.293  -0.187 -0.362  -0.226 -0.442  -0.226 -0.538  -0.226 -0.635  -0.147 -0.652  -0.101 -0.703  -0.101 -0.800  -0.101 -0.896  -0.101 -0.993  -0.101 -1.089  -0.101 -1.186  -0.101 -1.283  -0.101 -1.379  -0.101 -1.476  -0.101 -1.573  -0.101 -1.669  -0.101 -1.766  -0.158 -1.725  -0.226 -1.656
1d#apa#apa14#app1452/'  0.000 -0.273  0.000 -0.164  0.000 -0.055  0.000 0.055  0.000 0.164  0.000 0.273  0.000 0.383  0.000 0.492  0.000 0.602  0.000 0.711  0.000 0.820  0.000 0.930  0.000 1.039  0.000 1.149  0.000 1.258  0.000 1.367  0.000 1.477  0.000 1.440  0.000 1.331  0.000 1.221  0.000 1.112  0.000 1.003  0.000 0.893  0.000 0.784  0.000 0.675  0.000 0.565  0.000 0.456  0.000 0.346  0.000 0.237  0.000 0.128  0.000 0.018  0.000 -0.091  0.000 -0.201  0.000 -0.310  0.000 -0.419  0.000 -0.529  0.000 -0.638  0.000 -0.747  0.000 -0.857  0.000 -0.966  0.000 -1.076  0.000 -1.185  0.000 -1.294  0.000 -1.404  0.000 -1.513  0.000 -1.622  0.000 -1.732  0.000 -1.841  0.000 -1.951  0.000 -2.060
1d#apa#apa14#app1452/\"  -0.016 -0.204  -0.158 -0.062  -0.300 0.080  -0.442 0.222  -0.553 0.377  -0.553 0.578  -0.553 0.779  -0.553 0.759  -0.553 0.558  -0.553 0.357  -0.553 0.156  -0.553 -0.045  -0.553 -0.246  -0.553 -0.447  -0.553 -0.648  -0.553 -0.849  -0.553 -1.050  -0.553 -1.251  -0.430 -1.401  -0.288 -1.543  -0.146 -1.685  -0.012 -1.798  0.027 -1.601  0.066 -1.404  0.106 -1.207  0.145 -1.010  0.185 -0.813  0.224 -0.616  0.263 -0.418  0.303 -0.221  0.342 -0.024  0.382 0.173  0.421 0.370  0.461 0.567  0.500 0.764  0.455 0.935  0.313 1.077  0.171 1.220  0.029 1.362  0.122 1.406  0.323 1.406  0.521 1.403  0.521 1.202  0.521 1.001  0.521 0.801  0.521 0.600  0.521 0.399  0.521 0.198  0.521 -0.003  0.521 -0.204
1d#apa#apa14#app1452/<  0.730 1.215  0.730 1.360  0.730 1.330  0.700 1.215  0.556 1.215  0.528 1.098  0.475 0.986  0.346 0.922  0.216 0.857  0.110 0.772  0.065 0.634  0.019 0.497  -0.027 0.360  -0.073 0.223  -0.204 0.204  -0.348 0.204  -0.490 0.197  -0.592 0.095  -0.695 -0.008  -0.797 -0.110  -0.904 -0.201  -1.049 -0.201  -1.163 -0.274  -1.265 -0.376  -1.292 -0.296  -1.292 -0.250  -1.292 -0.395  -1.156 -0.403  -1.011 -0.403  -0.866 -0.403  -0.722 -0.403  -0.577 -0.403  -0.432 -0.403  -0.288 -0.403  -0.143 -0.403  0.002 -0.403  0.140 -0.419  0.242 -0.521  0.352 -0.605  0.497 -0.605  0.641 -0.605  0.786 -0.605  0.931 -0.605  1.075 -0.605  1.134 -0.519  1.134 -0.431  1.134 -0.575  1.134 -0.490  1.134 -0.460  1.134 -0.605
1d#apa#apa14#app1452/|  -0.293 1.676  -0.293 1.603  -0.293 1.531  -0.293 1.458  -0.293 1.386  -0.246 1.333  -0.195 1.281  -0.145 1.230  -0.145 1.157  -0.145 1.084  -0.145 1.012  -0.145 0.939  -0.124 0.870  -0.101 0.801  -0.078 0.733  -0.055 0.664  -0.032 0.595  -0.009 0.526  0.003 0.456  0.003 0.383  0.003 0.310  0.003 0.238  0.003 0.165  0.003 0.093  0.003 0.020  0.003 -0.052  0.003 -0.125  0.003 -0.197  0.003 -0.270  0.003 -0.342  0.003 -0.415  0.003 -0.488  0.013 -0.556  0.064 -0.607  0.115 -0.659  0.151 -0.716  0.151 -0.789  0.151 -0.861  0.151 -0.934  0.151 -1.007  0.151 -1.079  0.151 -1.152  0.151 -1.224  0.151 -1.297  0.151 -1.369  0.157 -1.436  0.230 -1.436  0.299 -1.439  0.299 -1.511  0.299 -1.584
1d#apa#apa14#app1452/>  -1.707 0.064  -1.707 0.174  -1.707 0.283  -1.629 0.314  -1.519 0.314  -1.409 0.314  -1.300 0.314  -1.190 0.314  -1.080 0.314  -0.971 0.314  -0.861 0.314  -0.751 0.314  -0.642 0.314  -0.532 0.314  -0.422 0.314  -0.313 0.314  -0.203 0.314  -0.093 0.314  0.016 0.314  0.126 0.314  0.236 0.314  0.346 0.314  0.455 0.314  0.565 0.314  0.675 0.314  0.784 0.314  0.894 0.314  1.004 0.314  1.113 0.314  1.223 0.314  1.267 0.287  1.189 0.209  1.112 0.132  1.034 0.054  0.956 -0.023  0.879 -0.101  0.801 -0.179  0.724 -0.256  0.646 -0.334  0.569 -0.411  0.491 -0.489  0.414 -0.566  0.336 -0.644  0.259 -0.721  0.181 -0.799  0.103 -0.876  0.026 -0.954  -0.052 -1.032  -0.129 -1.109  -0.207 -1.187
