2#app#app31#app3144/p  0.257 0.897  0.072 0.897  -0.114 0.897  -0.116 0.714  -0.116 0.529  -0.116 0.344  -0.116 0.158  -0.116 -0.027  -0.116 -0.212  -0.116 -0.397  -0.116 -0.582  -0.228 -0.724  -0.302 -0.892  -0.310 -1.075  -0.393 -1.241  -0.395 -1.425  -0.488 -1.572  -0.488 -1.757  -0.581 -1.756  -0.581 -1.571  -0.581 -1.386  -0.571 -1.202  -0.526 -1.022  -0.479 -0.843  -0.420 -0.668  -0.361 -0.492  -0.303 -0.317  -0.244 -0.141  -0.186 0.035  -0.127 0.210  -0.033 0.369  0.069 0.523  0.128 0.698  0.197 0.870  0.293 1.026  0.424 1.157  0.554 1.288  0.685 1.419  0.815 1.416  0.815 1.230  0.815 1.045  0.723 0.898  0.722 0.713  0.606 0.572  0.516 0.412  0.385 0.281  0.254 0.152  0.164 0.061  0.071 0.153  0.071 0.338
2#app#app31#app3144/(  0.596 1.294  0.534 1.355  0.465 1.399  0.377 1.399  0.290 1.399  0.226 1.343  0.164 1.281  0.102 1.220  0.041 1.158  -0.021 1.096  -0.083 1.035  -0.138 0.970  -0.138 0.883  -0.194 0.819  -0.248 0.753  -0.276 0.670  -0.304 0.587  -0.331 0.505  -0.373 0.430  -0.434 0.369  -0.453 0.289  -0.453 0.202  -0.453 0.114  -0.453 0.027  -0.453 -0.060  -0.453 -0.147  -0.453 -0.235  -0.453 -0.322  -0.453 -0.409  -0.453 -0.496  -0.453 -0.584  -0.398 -0.648  -0.336 -0.710  -0.274 -0.772  -0.213 -0.833  -0.151 -0.895  -0.076 -0.939  0.002 -0.978  0.081 -1.013  0.168 -1.013  0.255 -1.013  0.325 -1.056  0.386 -1.118  0.474 -1.118  0.561 -1.118  0.648 -1.118  0.725 -1.093  0.787 -1.031  0.849 -0.970  0.910 -0.908
2#app#app31#app3144/2  -0.756 0.600  -0.654 0.702  -0.567 0.809  -0.567 0.953  -0.567 1.097  -0.493 1.166  -0.349 1.166  -0.205 1.166  -0.062 1.166  0.082 1.166  0.226 1.166  0.369 1.166  0.513 1.166  0.565 1.075  0.565 0.931  0.565 0.787  0.565 0.644  0.494 0.529  0.393 0.428  0.377 0.291  0.301 0.223  0.166 0.201  0.064 0.099  -0.037 -0.002  -0.139 -0.104  -0.241 -0.206  -0.342 -0.307  -0.471 -0.344  -0.601 -0.377  -0.702 -0.479  -0.756 -0.600  -0.772 -0.737  -0.874 -0.839  -0.901 -0.910  -0.758 -0.910  -0.614 -0.910  -0.470 -0.910  -0.326 -0.910  -0.183 -0.910  -0.039 -0.910  0.105 -0.910  0.249 -0.910  0.392 -0.910  0.536 -0.910  0.680 -0.910  0.803 -0.861  0.905 -0.759  1.033 -0.721  1.177 -0.721  1.320 -0.721
2#app#app31#app3144/3  -0.213 0.750  -0.213 0.875  -0.284 0.972  -0.364 1.064  -0.364 1.190  -0.364 1.316  -0.274 1.352  -0.148 1.352  -0.062 1.313  -0.048 1.202  0.078 1.202  0.088 1.086  0.088 0.960  0.088 0.834  0.047 0.750  -0.062 0.734  -0.062 0.608  -0.179 0.599  -0.278 0.534  -0.364 0.444  -0.364 0.318  -0.258 0.298  -0.132 0.298  -0.023 0.258  0.066 0.169  0.182 0.147  0.239 0.078  0.283 -0.004  0.390 -0.023  0.390 -0.149  0.510 -0.155  0.540 -0.250  0.540 -0.376  0.540 -0.501  0.526 -0.621  0.437 -0.710  0.390 -0.816  0.366 -0.932  0.277 -1.021  0.166 -1.059  0.088 -1.106  0.072 -1.225  -0.017 -1.314  -0.124 -1.360  -0.239 -1.386  -0.328 -1.474  -0.438 -1.511  -0.465 -1.511  -0.364 -1.535  -0.364 -1.661
2#app#app31#app3144/4  -0.528 0.605  -0.528 0.805  -0.461 0.977  -0.376 1.142  -0.376 1.087  -0.376 0.887  -0.407 0.694  -0.497 0.515  -0.620 0.361  -0.681 0.185  -0.681 -0.015  -0.738 -0.157  -0.833 -0.262  -0.680 -0.309  -0.480 -0.309  -0.280 -0.309  -0.122 -0.208  0.057 -0.157  0.258 -0.157  0.437 -0.107  0.595 -0.005  0.795 -0.005  0.784 0.134  0.705 0.318  0.626 0.502  0.547 0.686  0.469 0.870  0.390 1.054  0.347 1.215  0.234 1.301  0.234 1.233  0.234 1.033  0.234 0.833  0.234 0.632  0.234 0.432  0.234 0.232  0.234 0.032  0.226 -0.165  0.085 -0.306  0.082 -0.505  0.082 -0.705  0.082 -0.905  -0.050 -1.051  -0.071 -1.243  -0.071 -1.443  -0.071 -1.643  -0.071 -1.843  -0.014 -1.986  0.186 -1.986  0.386 -1.986
2#app#app31#app3144/)  -0.413 1.650  -0.413 1.569  -0.362 1.508  -0.323 1.443  -0.311 1.366  -0.253 1.308  -0.232 1.235  -0.201 1.166  -0.144 1.108  -0.106 1.036  -0.069 0.962  -0.023 0.896  0.035 0.839  0.093 0.781  0.150 0.723  0.208 0.665  0.223 0.589  0.223 0.507  0.253 0.438  0.311 0.381  0.369 0.323  0.404 0.256  0.404 0.174  0.404 0.092  0.404 0.010  0.404 -0.071  0.404 -0.153  0.404 -0.235  0.404 -0.317  0.382 -0.393  0.345 -0.466  0.306 -0.538  0.248 -0.595  0.190 -0.653  0.133 -0.711  0.132 -0.792  0.081 -0.853  0.023 -0.911  -0.034 -0.969  -0.092 -1.027  -0.154 -1.075  -0.235 -1.078  -0.292 -1.136  -0.350 -1.194  -0.408 -1.252  -0.487 -1.257  -0.550 -1.303  -0.577 -1.348  -0.495 -1.348  -0.413 -1.348
2#app#app31#app3144/5  0.730 0.762  0.845 0.767  0.754 0.858  0.730 0.975  0.630 1.003  0.609 1.110  0.495 1.123  0.367 1.123  0.239 1.123  0.111 1.123  -0.010 1.107  -0.100 1.017  -0.222 1.003  -0.350 1.003  -0.442 0.916  -0.556 0.883  -0.596 0.795  -0.691 0.762  -0.716 0.660  -0.716 0.532  -0.716 0.404  -0.716 0.276  -0.705 0.160  -0.583 0.147  -0.492 0.056  -0.402 -0.034  -0.312 -0.124  -0.216 -0.202  -0.096 -0.220  -0.005 -0.310  0.117 -0.322  0.211 -0.406  0.323 -0.443  0.427 -0.501  0.517 -0.592  0.607 -0.682  0.609 -0.809  0.597 -0.925  0.489 -0.944  0.470 -1.064  0.379 -1.154  0.256 -1.166  0.128 -1.166  0.038 -1.255  -0.077 -1.286  -0.205 -1.286  -0.333 -1.286  -0.355 -1.180  -0.468 -1.166  -0.596 -1.166
2#app#app31#app3144/6  0.630 1.541  0.630 1.658  0.529 1.674  0.412 1.674  0.363 1.605  0.326 1.504  0.243 1.421  0.160 1.338  0.085 1.250  0.032 1.146  -0.020 1.041  -0.093 0.951  -0.174 0.867  -0.226 0.762  -0.278 0.657  -0.318 0.548  -0.346 0.434  -0.374 0.321  -0.403 0.207  -0.431 0.094  -0.436 -0.023  -0.436 -0.140  -0.436 -0.257  -0.436 -0.374  -0.436 -0.491  -0.436 -0.608  -0.434 -0.724  -0.351 -0.807  -0.302 -0.904  -0.279 -1.012  -0.197 -1.095  -0.091 -1.122  0.026 -1.122  0.143 -1.122  0.260 -1.122  0.363 -1.108  0.363 -0.991  0.478 -0.989  0.496 -0.890  0.496 -0.773  0.496 -0.656  0.461 -0.553  0.378 -0.471  0.267 -0.456  0.150 -0.456  0.033 -0.456  -0.084 -0.456  -0.201 -0.456  -0.302 -0.472  -0.302 -0.589
2#app#app31#app3144/7  -1.065 0.444  -1.065 0.637  -1.065 0.830  -1.065 1.023  -0.874 1.025  -0.681 1.025  -0.488 1.025  -0.440 1.171  -0.247 1.171  -0.053 1.171  -0.005 1.316  0.188 1.316  0.381 1.316  0.388 1.130  0.388 0.937  0.327 0.758  0.243 0.585  0.243 0.392  0.243 0.198  0.241 0.006  0.104 -0.131  0.098 -0.321  0.098 -0.514  0.098 -0.708  0.098 -0.901  0.098 -1.094  0.098 -1.287  0.225 -1.428  0.361 -1.564  0.528 -1.584  0.412 -1.429  0.296 -1.274  0.180 -1.120  0.064 -0.965  -0.052 -0.811  -0.168 -0.656  -0.284 -0.502  -0.440 -0.428  -0.487 -0.280  -0.624 -0.143  -0.448 -0.120  -0.276 -0.033  -0.092 0.008  0.101 0.008  0.294 0.008  0.488 0.008  0.681 0.008  0.874 0.008  0.970 -0.090  1.115 -0.138
2#app#app31#app3144/  -1.246 -0.581  -1.246 -0.495  -1.246 -0.410  -1.246 -0.324  -1.246 -0.239  -1.246 -0.153  -1.246 -0.068  -1.246 0.018  -1.246 0.103  -1.246 0.189  -1.207 0.235  -1.121 0.235  -1.036 0.235  -0.950 0.235  -0.865 0.235  -0.779 0.235  -0.694 0.235  -0.608 0.235  -0.522 0.235  -0.437 0.235  -0.351 0.235  -0.266 0.235  -0.180 0.235  -0.095 0.235  -0.009 0.235  0.076 0.235  0.162 0.235  0.247 0.235  0.333 0.235  0.419 0.235  0.504 0.235  0.590 0.235  0.657 0.217  0.657 0.131  0.657 0.046  0.660 -0.037  0.745 -0.037  0.831 -0.037  0.917 -0.037  0.981 -0.089  1.041 -0.149  1.102 -0.210  1.162 -0.270  1.232 -0.309  1.317 -0.309  1.403 -0.309  1.473 -0.324  1.473 -0.410  1.473 -0.495  1.473 -0.581
2#app#app31#app3144/8  0.732 1.040  0.620 1.151  0.471 1.172  0.452 1.320  0.340 1.431  0.185 1.438  0.027 1.438  -0.131 1.438  -0.289 1.438  -0.330 1.320  -0.330 1.162  -0.330 1.004  -0.330 0.846  -0.330 0.688  -0.330 0.530  -0.329 0.373  -0.258 0.231  -0.187 0.090  -0.117 -0.051  -0.035 -0.185  0.068 -0.300  0.068 -0.458  0.112 -0.598  0.201 -0.719  0.201 -0.877  0.238 -1.026  0.309 -1.168  0.334 -1.320  0.334 -1.478  0.181 -1.483  0.023 -1.483  -0.065 -1.412  -0.160 -1.350  -0.283 -1.264  -0.371 -1.136  -0.442 -0.994  -0.463 -0.841  -0.463 -0.683  -0.443 -0.533  -0.331 -0.422  -0.330 -0.264  -0.286 -0.133  -0.145 -0.063  -0.016 0.026  0.096 0.138  0.207 0.249  0.319 0.361  0.431 0.473  0.574 0.508  0.599 0.376
2#app#app31#app3144/9  0.031 0.532  0.031 0.671  -0.042 0.781  -0.140 0.879  -0.144 1.017  -0.242 1.059  -0.381 1.059  -0.520 1.059  -0.660 1.059  -0.671 0.930  -0.736 0.818  -0.834 0.720  -0.846 0.585  -0.846 0.446  -0.796 0.357  -0.671 0.343  -0.671 0.203  -0.554 0.181  -0.414 0.181  -0.288 0.213  -0.190 0.311  -0.091 0.410  0.007 0.508  0.137 0.532  0.256 0.581  0.354 0.680  0.482 0.708  0.558 0.644  0.558 0.505  0.558 0.365  0.465 0.264  0.382 0.159  0.382 0.020  0.382 -0.119  0.382 -0.259  0.382 -0.398  0.370 -0.532  0.272 -0.631  0.207 -0.743  0.207 -0.882  0.207 -1.022  0.207 -1.161  0.207 -1.300  0.207 -1.440  0.207 -1.579  0.207 -1.718  0.315 -1.749  0.454 -1.749  0.594 -1.749  0.733 -1.749
2#app#app31#app3144/0  -0.019 1.465  -0.156 1.465  -0.238 1.409  -0.238 1.272  -0.288 1.146  -0.349 1.024  -0.411 0.901  -0.456 0.774  -0.456 0.637  -0.497 0.509  -0.559 0.386  -0.620 0.263  -0.675 0.139  -0.675 0.001  -0.675 -0.136  -0.675 -0.273  -0.675 -0.411  -0.655 -0.543  -0.593 -0.666  -0.532 -0.789  -0.471 -0.912  -0.456 -1.046  -0.439 -1.176  -0.342 -1.273  -0.245 -1.370  -0.111 -1.378  0.013 -1.345  0.111 -1.248  0.208 -1.151  0.305 -1.054  0.402 -0.957  0.418 -0.826  0.442 -0.698  0.539 -0.601  0.636 -0.504  0.637 -0.367  0.637 -0.230  0.637 -0.093  0.637 0.045  0.637 0.182  0.637 0.320  0.577 0.432  0.480 0.529  0.418 0.641  0.418 0.779  0.418 0.916  0.444 1.028  0.581 1.028  0.637 0.947  0.637 0.809
2#app#app31#app3144/1  0.616 0.799  0.616 0.889  0.595 0.958  0.505 0.958  0.458 1.001  0.458 1.091  0.393 1.116  0.303 1.116  0.299 1.203  0.282 1.275  0.192 1.275  0.141 1.236  0.141 1.146  0.141 1.056  0.141 0.966  0.141 0.876  0.141 0.786  0.141 0.696  0.141 0.606  0.141 0.516  0.101 0.442  0.037 0.378  -0.018 0.311  -0.018 0.221  -0.018 0.131  -0.018 0.041  -0.018 -0.049  -0.018 -0.139  -0.095 -0.152  -0.176 -0.161  -0.176 -0.251  -0.176 -0.341  -0.176 -0.431  -0.176 -0.521  -0.176 -0.611  -0.176 -0.701  -0.180 -0.789  -0.243 -0.853  -0.307 -0.917  -0.335 -0.995  -0.335 -1.085  -0.335 -1.175  -0.335 -1.266  -0.335 -1.356  -0.335 -1.446  -0.335 -1.536  -0.382 -1.579  -0.472 -1.579  -0.425 -1.579  -0.335 -1.579
2#app#app31#app3144/.  1.572 -1.096  1.494 -1.018  1.416 -0.940  1.339 -0.862  1.261 -0.784  1.183 -0.706  1.105 -0.628  1.027 -0.550  0.949 -0.472  0.871 -0.394  0.793 -0.316  0.715 -0.238  0.637 -0.161  0.559 -0.083  0.481 -0.005  0.403 0.073  0.325 0.151  0.247 0.229  0.170 0.307  0.092 0.385  0.014 0.463  -0.064 0.541  -0.142 0.619  -0.220 0.697  -0.298 0.775  -0.376 0.853  -0.454 0.931  -0.532 1.008  -0.610 1.086  -0.665 1.108  -0.665 0.998  -0.665 0.888  -0.665 0.778  -0.665 0.668  -0.665 0.557  -0.665 0.447  -0.665 0.337  -0.665 0.227  -0.665 0.117  -0.665 0.006  -0.665 -0.104  -0.665 -0.214  -0.665 -0.324  -0.665 -0.434  -0.665 -0.545  -0.665 -0.655  -0.665 -0.765  -0.665 -0.875  -0.665 -0.985  -0.665 -1.096
