3#app#app11#app1157/f  0.793 1.063  0.793 1.225  0.723 1.358  0.654 1.491  0.550 1.549  0.388 1.549  0.226 1.549  0.133 1.479  0.029 1.422  -0.028 1.284  -0.110 1.196  -0.123 1.037  -0.179 0.889  -0.179 0.727  -0.179 0.565  -0.179 0.403  -0.179 0.241  -0.179 0.079  -0.179 -0.083  -0.179 -0.245  -0.179 -0.407  -0.179 -0.569  -0.155 -0.728  -0.123 -0.887  -0.042 -1.019  0.033 -1.163  0.098 -1.298  0.231 -1.367  0.265 -1.397  0.147 -1.286  0.029 -1.175  -0.089 -1.064  -0.207 -0.953  -0.325 -0.842  -0.443 -0.731  -0.561 -0.620  -0.679 -0.509  -0.797 -0.398  -0.818 -0.326  -0.656 -0.326  -0.494 -0.326  -0.348 -0.286  -0.199 -0.256  -0.044 -0.224  0.105 -0.162  0.259 -0.118  0.421 -0.118  0.569 -0.056  0.729 -0.048  0.862 -0.118
3#app#app11#app1157/i  0.069 1.701  0.069 1.631  0.069 1.561  0.069 1.492  0.069 1.422  0.069 1.352  0.069 1.282  0.069 1.212  0.069 1.142  0.069 1.072  0.069 1.002  0.069 0.932  0.069 0.862  0.069 0.793  0.069 0.723  0.069 0.653  0.069 0.583  0.069 0.513  0.069 0.443  0.069 0.373  0.069 0.303  0.069 0.233  0.069 0.164  0.069 0.094  0.069 0.024  0.069 -0.046  0.069 -0.116  0.069 -0.186  0.069 -0.256  0.069 -0.326  0.049 -0.392  0.027 -0.459  0.005 -0.525  -0.017 -0.591  -0.040 -0.658  -0.062 -0.724  -0.084 -0.790  -0.106 -0.857  -0.128 -0.923  -0.150 -0.989  -0.157 -1.058  -0.157 -1.128  -0.157 -1.198  -0.157 -1.268  -0.157 -1.338  -0.157 -1.407  -0.157 -1.477  -0.157 -1.547  -0.157 -1.617  -0.157 -1.687
3#app#app11#app1157/v  -1.023 0.997  -0.894 0.997  -0.879 0.883  -0.879 0.754  -0.879 0.625  -0.879 0.497  -0.840 0.384  -0.749 0.293  -0.736 0.170  -0.669 0.069  -0.592 -0.028  -0.588 -0.155  -0.497 -0.246  -0.449 -0.355  -0.417 -0.470  -0.326 -0.561  -0.305 -0.681  -0.305 -0.810  -0.255 -0.918  -0.164 -1.009  -0.162 -1.137  -0.162 -1.265  -0.066 -1.298  -0.019 -1.217  -0.019 -1.088  0.033 -1.011  0.125 -0.974  0.125 -0.846  0.132 -0.724  0.261 -0.724  0.268 -0.603  0.268 -0.474  0.333 -0.373  0.412 -0.276  0.414 -0.149  0.505 -0.058  0.555 0.050  0.555 0.179  0.555 0.308  0.561 0.435  0.619 0.550  0.676 0.665  0.699 0.788  0.699 0.917  0.699 1.046  0.723 1.165  0.814 1.256  0.842 1.373  0.895 1.480  0.986 1.571
3#app#app11#app1157/e  -1.057 -0.722  -0.889 -0.722  -0.720 -0.722  -0.552 -0.722  -0.429 -0.676  -0.372 -0.565  -0.204 -0.565  -0.059 -0.508  0.068 -0.408  0.199 -0.370  0.248 -0.251  0.398 -0.208  0.517 -0.089  0.636 0.030  0.755 0.149  0.874 0.268  0.983 0.391  1.009 0.534  1.140 0.571  1.140 0.739  1.140 0.908  1.090 1.055  0.966 1.162  0.798 1.162  0.629 1.162  0.461 1.162  0.293 1.162  0.199 1.087  0.113 1.005  -0.027 0.936  -0.146 0.817  -0.265 0.698  -0.274 0.534  -0.438 0.525  -0.557 0.406  -0.676 0.287  -0.743 0.146  -0.743 -0.022  -0.743 -0.191  -0.743 -0.359  -0.743 -0.527  -0.743 -0.696  -0.743 -0.864  -0.589 -0.879  -0.578 -1.036  -0.415 -1.049  -0.296 -1.168  -0.138 -1.193  0.030 -1.193  0.199 -1.193
3#app#app11#app1157/r  -0.654 0.283  -0.525 0.283  -0.500 0.179  -0.500 0.050  -0.500 -0.079  -0.500 -0.208  -0.500 -0.337  -0.500 -0.466  -0.423 -0.563  -0.346 -0.660  -0.346 -0.789  -0.346 -0.918  -0.346 -1.047  -0.346 -1.176  -0.297 -1.256  -0.192 -1.280  -0.192 -1.409  -0.192 -1.281  -0.192 -1.152  -0.192 -1.023  -0.192 -0.894  -0.212 -0.774  -0.304 -0.682  -0.346 -0.571  -0.346 -0.442  -0.346 -0.313  -0.346 -0.184  -0.346 -0.055  -0.346 0.074  -0.346 0.203  -0.346 0.332  -0.346 0.461  -0.346 0.590  -0.255 0.682  -0.153 0.745  -0.024 0.745  0.105 0.745  0.200 0.829  0.300 0.899  0.429 0.899  0.558 0.899  0.687 0.899  0.816 0.899  0.945 0.899  1.074 0.899  1.200 0.906  1.291 0.997  1.397 1.053  1.526 1.053  1.655 1.053
3#app#app11#app1157/w  -1.069 0.651  -1.069 0.688  -1.161 0.633  -1.161 0.486  -1.161 0.339  -1.161 0.192  -1.161 0.044  -1.161 -0.103  -1.161 -0.250  -1.161 -0.397  -1.096 -0.517  -0.992 -0.621  -0.861 -0.612  -0.742 -0.544  -0.691 -0.442  -0.578 -0.360  -0.479 -0.283  -0.406 -0.156  -0.313 -0.044  -0.247 0.088  -0.212 0.221  -0.150 0.343  -0.069 0.456  -0.058 0.599  -0.058 0.741  -0.058 0.594  -0.058 0.447  -0.058 0.299  -0.058 0.152  0.009 0.033  0.043 -0.102  0.109 -0.234  0.203 -0.345  0.310 -0.394  0.373 -0.515  0.504 -0.554  0.617 -0.636  0.764 -0.636  0.870 -0.536  0.974 -0.432  1.078 -0.328  1.201 -0.268  1.248 -0.158  1.341 -0.046  1.407 0.085  1.414 0.231  1.481 0.350  1.506 0.487  1.559 0.612  1.598 0.743
3#app#app11#app1157/h  -0.202 2.026  -0.247 1.928  -0.301 1.838  -0.301 1.694  -0.301 1.551  -0.358 1.420  -0.400 1.287  -0.400 1.143  -0.400 1.000  -0.400 0.856  -0.400 0.713  -0.400 0.569  -0.400 0.426  -0.400 0.282  -0.400 0.139  -0.400 -0.005  -0.400 -0.148  -0.400 -0.292  -0.400 -0.435  -0.400 -0.579  -0.400 -0.722  -0.400 -0.866  -0.400 -1.009  -0.400 -1.153  -0.349 -1.174  -0.301 -1.051  -0.285 -0.914  -0.202 -0.805  -0.152 -0.682  -0.051 -0.580  -0.005 -0.456  -0.005 -0.312  0.045 -0.189  0.093 -0.066  0.192 -0.021  0.239 0.103  0.340 0.204  0.464 0.253  0.509 0.154  0.586 0.088  0.595 -0.052  0.684 -0.158  0.684 -0.302  0.760 -0.414  0.783 -0.548  0.783 -0.692  0.855 -0.805  0.881 -0.938  0.881 -1.081  0.881 -1.225
3#app#app11#app1157/i  -0.160 1.685  -0.160 1.614  -0.160 1.542  -0.160 1.471  -0.160 1.399  -0.160 1.328  -0.160 1.256  -0.160 1.185  -0.160 1.113  -0.160 1.042  -0.160 0.970  -0.160 0.899  -0.142 0.835  -0.091 0.784  -0.041 0.734  0.010 0.683  0.048 0.628  0.048 0.556  0.048 0.485  0.048 0.413  0.048 0.342  0.048 0.270  0.048 0.199  0.048 0.127  0.048 0.056  0.048 -0.016  0.048 -0.087  0.048 -0.159  0.048 -0.230  0.048 -0.302  0.048 -0.373  0.048 -0.445  0.048 -0.516  0.048 -0.588  0.048 -0.659  0.048 -0.731  0.048 -0.802  0.048 -0.874  0.048 -0.945  0.048 -1.017  0.048 -1.088  0.048 -1.160  0.048 -1.231  0.048 -1.303  0.048 -1.374  0.054 -1.443  0.105 -1.494  0.155 -1.544  0.206 -1.595  0.257 -1.645
3#app#app11#app1157/l  -0.023 1.710  -0.023 1.640  -0.023 1.570  -0.023 1.499  -0.023 1.429  -0.023 1.359  -0.023 1.289  -0.023 1.219  -0.023 1.149  -0.023 1.078  -0.023 1.008  -0.023 0.938  -0.023 0.868  -0.023 0.798  -0.023 0.728  -0.023 0.657  -0.023 0.587  -0.023 0.517  -0.023 0.447  -0.023 0.377  -0.023 0.307  -0.023 0.236  -0.023 0.166  -0.023 0.096  -0.023 0.026  -0.023 -0.044  -0.023 -0.114  -0.023 -0.185  -0.023 -0.255  -0.023 -0.325  -0.023 -0.395  -0.023 -0.465  -0.023 -0.535  -0.023 -0.606  -0.023 -0.676  -0.023 -0.746  -0.023 -0.816  -0.023 -0.886  -0.023 -0.956  -0.021 -1.026  0.011 -1.089  0.042 -1.152  0.074 -1.214  0.075 -1.284  0.075 -1.354  0.075 -1.425  0.075 -1.495  0.130 -1.510  0.173 -1.537  0.173 -1.608
3#app#app11#app1157/e  -0.889 -0.461  -0.727 -0.461  -0.628 -0.399  -0.534 -0.330  -0.372 -0.330  -0.255 -0.220  -0.104 -0.197  -0.071 -0.069  0.073 -0.023  0.199 0.062  0.289 0.135  0.362 0.267  0.500 0.324  0.551 0.436  0.652 0.556  0.766 0.671  0.812 0.814  0.941 0.848  0.943 1.007  0.883 1.110  0.812 1.201  0.690 1.240  0.551 1.218  0.497 1.110  0.335 1.110  0.207 1.027  0.065 0.979  0.027 0.854  -0.083 0.738  -0.236 0.716  -0.351 0.601  -0.429 0.460  -0.497 0.314  -0.497 0.152  -0.548 0.011  -0.628 -0.118  -0.628 -0.280  -0.628 -0.442  -0.628 -0.604  -0.628 -0.767  -0.594 -0.921  -0.522 -1.066  -0.422 -1.191  -0.307 -1.305  -0.192 -1.420  -0.067 -1.509  0.095 -1.509  0.257 -1.509  0.406 -1.450  0.551 -1.378
3#app#app11#app1157/d  0.185 2.000  0.277 1.933  0.277 1.775  0.277 1.617  0.277 1.458  0.277 1.300  0.277 1.141  0.277 0.983  0.277 0.824  0.277 0.666  0.327 0.519  0.369 0.371  0.369 0.212  0.375 0.056  0.446 -0.086  0.461 -0.241  0.466 -0.397  0.578 -0.509  0.645 -0.640  0.684 -0.759  0.727 -0.658  0.645 -0.534  0.645 -0.375  0.586 -0.241  0.539 -0.102  0.427 0.010  0.315 0.122  0.203 0.234  0.064 0.281  -0.068 0.344  -0.227 0.344  -0.353 0.266  -0.492 0.220  -0.604 0.107  -0.651 -0.031  -0.763 -0.144  -0.875 -0.256  -0.919 -0.396  -0.919 -0.554  -1.011 -0.674  -1.011 -0.833  -0.963 -0.943  -0.838 -1.024  -0.722 -1.127  -0.564 -1.127  -0.411 -1.103  -0.269 -1.035  -0.110 -1.035  0.043 -1.014  0.185 -0.943
3#app#app11#app1157/r  -0.432 -0.031  -0.432 -0.152  -0.432 -0.274  -0.430 -0.395  -0.345 -0.480  -0.259 -0.566  -0.251 -0.685  -0.251 -0.806  -0.251 -0.928  -0.251 -1.049  -0.251 -1.170  -0.251 -1.292  -0.169 -1.379  -0.083 -1.465  -0.070 -1.375  -0.070 -1.253  -0.070 -1.132  -0.070 -1.010  -0.070 -0.889  -0.070 -0.767  -0.147 -0.678  -0.233 -0.592  -0.251 -0.478  -0.251 -0.357  -0.251 -0.235  -0.251 -0.114  -0.251 0.008  -0.251 0.129  -0.323 0.221  -0.409 0.307  -0.432 0.419  -0.432 0.540  -0.432 0.662  -0.342 0.693  -0.229 0.715  -0.144 0.800  -0.052 0.873  0.069 0.873  0.167 0.930  0.253 1.016  0.358 1.054  0.480 1.054  0.601 1.054  0.723 1.054  0.841 1.062  0.927 1.148  1.013 1.233  1.134 1.235  1.255 1.235  1.377 1.235
3#app#app11#app1157/i  -0.298 1.660  -0.298 1.587  -0.298 1.514  -0.298 1.441  -0.258 1.385  -0.207 1.334  -0.155 1.282  -0.104 1.231  -0.064 1.174  -0.064 1.102  -0.064 1.029  -0.064 0.956  -0.064 0.883  -0.064 0.810  -0.064 0.738  -0.064 0.665  -0.064 0.592  -0.064 0.519  -0.064 0.446  -0.064 0.374  -0.064 0.301  -0.064 0.228  -0.064 0.155  -0.064 0.082  -0.064 0.010  -0.064 -0.063  -0.064 -0.136  -0.064 -0.209  -0.064 -0.281  -0.064 -0.354  -0.064 -0.427  -0.064 -0.500  -0.064 -0.573  -0.064 -0.645  -0.038 -0.707  0.014 -0.759  0.065 -0.810  0.117 -0.861  0.168 -0.913  0.170 -0.985  0.170 -1.058  0.170 -1.131  0.209 -1.187  0.260 -1.239  0.312 -1.290  0.363 -1.342  0.404 -1.398  0.404 -1.471  0.404 -1.543  0.404 -1.616
3#app#app11#app1157/n  -0.866 1.493  -0.745 1.371  -0.708 1.214  -0.614 1.081  -0.549 0.936  -0.549 0.764  -0.549 0.592  -0.549 0.420  -0.549 0.248  -0.549 0.076  -0.549 -0.096  -0.549 -0.268  -0.549 -0.440  -0.549 -0.612  -0.549 -0.784  -0.549 -0.956  -0.549 -1.127  -0.549 -1.299  -0.549 -1.253  -0.549 -1.081  -0.453 -0.949  -0.390 -0.803  -0.390 -0.631  -0.280 -0.569  -0.232 -0.446  -0.232 -0.274  -0.232 -0.102  -0.232 0.070  -0.219 0.237  -0.097 0.359  -0.011 0.506  0.066 0.660  0.085 0.827  0.226 0.858  0.398 0.858  0.570 0.858  0.720 0.836  0.756 0.700  0.878 0.651  0.878 0.479  0.878 0.307  0.878 0.135  0.924 -0.026  1.001 -0.180  1.037 -0.344  1.037 -0.516  1.037 -0.688  1.037 -0.860  1.037 -1.032  1.037 -1.204
3#app#app11#app1157/k  -0.539 2.178  -0.539 1.964  -0.539 1.749  -0.539 1.535  -0.539 1.320  -0.539 1.106  -0.539 0.891  -0.539 0.677  -0.539 0.462  -0.539 0.248  -0.539 0.033  -0.539 -0.181  -0.539 -0.396  -0.484 -0.588  -0.416 -0.774  -0.416 -0.989  -0.416 -1.203  -0.313 -1.375  -0.210 -1.227  -0.114 -1.036  -0.018 -0.844  0.078 -0.652  0.174 -0.460  0.270 -0.268  0.366 -0.076  0.462 0.116  0.558 0.308  0.654 0.499  0.750 0.691  0.816 0.756  0.692 0.665  0.566 0.577  0.446 0.482  0.323 0.391  0.178 0.308  0.005 0.207  -0.162 0.092  -0.322 -0.039  -0.536 -0.039  -0.539 -0.251  -0.411 -0.409  -0.225 -0.477  -0.033 -0.532  0.182 -0.532  0.375 -0.620  0.567 -0.716  0.767 -0.778  0.969 -0.809  1.121 -0.960  1.308 -1.025
3#app#app11#app1157/i  -0.299 1.511  -0.227 1.511  -0.155 1.511  -0.082 1.511  -0.053 1.468  -0.053 1.395  -0.053 1.323  -0.053 1.250  -0.053 1.178  -0.053 1.106  -0.053 1.033  -0.053 0.961  -0.053 0.889  -0.053 0.816  -0.053 0.744  -0.053 0.672  -0.053 0.599  -0.053 0.527  -0.053 0.455  -0.053 0.382  -0.053 0.310  -0.053 0.238  -0.053 0.165  -0.053 0.093  -0.053 0.021  -0.053 -0.052  -0.053 -0.124  -0.053 -0.197  -0.053 -0.269  -0.053 -0.341  -0.053 -0.414  -0.053 -0.486  -0.053 -0.558  -0.053 -0.631  -0.053 -0.703  -0.002 -0.754  0.049 -0.805  0.100 -0.856  0.152 -0.908  0.193 -0.963  0.193 -1.035  0.193 -1.108  0.193 -1.180  0.193 -1.252  0.193 -1.325  0.193 -1.397  0.193 -1.469  0.193 -1.542  0.193 -1.614  0.193 -1.686
3#app#app11#app1157/n  -0.712 1.006  -0.712 0.845  -0.712 0.684  -0.712 0.523  -0.736 0.371  -0.850 0.258  -0.865 0.103  -0.865 -0.058  -0.865 -0.220  -0.865 -0.381  -0.865 -0.542  -0.865 -0.703  -0.865 -0.864  -0.865 -1.025  -0.809 -1.131  -0.667 -1.085  -0.559 -0.969  -0.559 -0.808  -0.533 -0.673  -0.407 -0.638  -0.407 -0.477  -0.370 -0.331  -0.256 -0.217  -0.254 -0.057  -0.244 0.100  -0.131 0.214  -0.102 0.363  -0.011 0.486  0.051 0.622  0.133 0.701  0.204 0.791  0.303 0.853  0.356 0.961  0.472 1.006  0.633 1.006  0.795 1.006  0.814 0.864  0.814 0.703  0.818 0.544  0.932 0.430  0.967 0.283  0.967 0.122  0.967 -0.039  0.967 -0.200  0.967 -0.361  1.036 -0.506  1.108 -0.650  1.119 -0.808  1.119 -0.969  1.119 -1.131
3#app#app11#app1157/g  0.402 0.950  0.286 1.035  0.084 1.035  -0.089 0.968  -0.199 0.866  -0.364 0.778  -0.506 0.635  -0.604 0.490  -0.766 0.375  -0.849 0.208  -0.869 0.015  -0.749 -0.067  -0.548 -0.067  -0.351 -0.057  -0.208 0.085  -0.041 0.168  0.117 0.272  0.062 0.187  -0.054 0.103  -0.152 -0.028  -0.319 -0.110  -0.424 -0.279  -0.495 -0.455  -0.615 -0.607  -0.615 -0.808  -0.700 -0.975  -0.692 -1.169  -0.576 -1.254  -0.459 -1.338  -0.288 -1.411  -0.091 -1.423  0.096 -1.364  0.285 -1.312  0.473 -1.254  0.574 -1.102  0.580 -0.900  0.586 -0.699  0.592 -0.498  0.598 -0.297  0.604 -0.095  0.610 0.106  0.617 0.307  0.623 0.509  0.629 0.710  0.635 0.911  0.641 1.113  0.647 1.314  0.653 1.515  0.657 1.540  0.572 1.374
