1c#apa#apa02#app0242/f  0.466 1.847  0.315 1.847  0.188 1.793  0.131 1.666  0.023 1.625  0.020 1.477  0.020 1.327  0.020 1.177  0.020 1.027  0.020 0.877  0.020 0.727  0.020 0.577  0.020 0.426  0.020 0.276  0.020 0.126  0.020 -0.024  0.020 -0.174  0.020 -0.324  0.020 -0.474  0.020 -0.624  0.020 -0.775  0.020 -0.925  0.020 -1.075  0.020 -1.225  0.020 -1.375  0.020 -1.525  -0.013 -1.548  -0.085 -1.416  -0.157 -1.284  -0.229 -1.152  -0.300 -1.020  -0.372 -0.889  -0.444 -0.757  -0.516 -0.625  -0.588 -0.493  -0.649 -0.359  -0.649 -0.208  -0.549 -0.159  -0.510 -0.047  -0.379 -0.000  -0.256 0.064  -0.106 0.064  0.042 0.075  0.176 0.142  0.318 0.176  0.468 0.176  0.619 0.176  0.745 0.233  0.873 0.287  1.023 0.287
1c#apa#apa02#app0242/i  0.014 0.414  -0.099 0.409  -0.099 0.290  -0.099 0.172  -0.099 0.053  -0.111 -0.063  -0.164 -0.169  -0.212 -0.276  -0.212 -0.395  -0.212 -0.514  -0.212 -0.632  -0.212 -0.751  -0.212 -0.869  -0.212 -0.988  -0.212 -1.107  -0.212 -1.225  -0.212 -1.344  -0.212 -1.463  -0.139 -1.509  -0.091 -1.431  -0.078 -1.313  -0.066 -1.195  -0.054 -1.077  -0.042 -0.959  -0.030 -0.841  -0.017 -0.723  -0.005 -0.605  0.007 -0.487  0.019 -0.369  0.031 -0.251  0.044 -0.133  0.056 -0.015  0.068 0.103  0.080 0.221  0.092 0.339  0.105 0.457  0.117 0.575  0.129 0.693  0.141 0.811  0.153 0.929  0.166 1.047  0.178 1.165  0.190 1.283  0.202 1.401  0.214 1.519  0.227 1.637  0.239 1.755  0.343 1.772  0.354 1.879  0.354 1.772
1c#apa#apa02#app0242/v  -0.429 1.181  -0.429 1.312  -0.429 1.182  -0.429 1.050  -0.429 0.919  -0.429 0.787  -0.429 0.655  -0.429 0.524  -0.429 0.392  -0.429 0.260  -0.429 0.129  -0.486 0.010  -0.544 -0.107  -0.562 -0.235  -0.562 -0.366  -0.562 -0.498  -0.562 -0.630  -0.562 -0.761  -0.562 -0.893  -0.562 -1.025  -0.499 -1.130  -0.429 -1.233  -0.396 -1.332  -0.265 -1.332  -0.165 -1.300  -0.134 -1.199  -0.033 -1.169  -0.011 -1.046  0.082 -0.953  0.100 -0.828  0.174 -0.728  0.254 -0.625  0.313 -0.508  0.377 -0.393  0.470 -0.300  0.496 -0.179  0.496 -0.048  0.496 0.084  0.562 0.188  0.628 0.292  0.628 0.424  0.628 0.555  0.628 0.687  0.644 0.815  0.703 0.933  0.761 1.051  0.761 1.182  0.761 1.314  0.761 1.445  0.893 1.445
1c#apa#apa02#app0242/e  -0.566 0.101  -0.412 0.097  -0.403 -0.053  -0.244 -0.053  -0.085 -0.053  0.074 -0.053  0.233 -0.053  0.392 -0.053  0.551 -0.053  0.699 -0.026  0.811 0.087  0.964 0.101  0.981 0.244  1.085 0.360  1.135 0.498  1.070 0.630  0.981 0.752  0.955 0.901  0.842 1.013  0.690 1.030  0.531 1.030  0.372 1.030  0.213 1.030  0.054 1.030  0.050 0.875  -0.110 0.875  -0.265 0.867  -0.378 0.754  -0.412 0.609  -0.493 0.484  -0.622 0.411  -0.721 0.351  -0.767 0.211  -0.876 0.097  -0.876 -0.062  -0.876 -0.221  -0.876 -0.380  -0.876 -0.539  -0.857 -0.691  -0.745 -0.803  -0.721 -0.952  -0.591 -0.982  -0.472 -1.077  -0.345 -1.170  -0.203 -1.241  -0.056 -1.291  0.088 -1.327  0.201 -1.440  0.357 -1.446  0.516 -1.446
1c#apa#apa02#app0242/r  -0.617 0.493  -0.488 0.493  -0.481 0.371  -0.481 0.241  -0.481 0.111  -0.481 -0.018  -0.481 -0.148  -0.481 -0.278  -0.481 -0.407  -0.481 -0.537  -0.450 -0.659  -0.392 -0.775  -0.344 -0.893  -0.344 -1.023  -0.344 -1.153  -0.344 -1.282  -0.344 -1.412  -0.344 -1.292  -0.428 -1.197  -0.481 -1.089  -0.481 -0.960  -0.481 -0.830  -0.481 -0.701  -0.481 -0.571  -0.481 -0.441  -0.481 -0.312  -0.481 -0.182  -0.481 -0.052  -0.481 0.077  -0.394 0.171  -0.302 0.262  -0.211 0.354  -0.119 0.446  -0.027 0.537  0.064 0.629  0.156 0.721  0.267 0.766  0.379 0.808  0.471 0.899  0.599 0.903  0.729 0.903  0.858 0.903  0.988 0.903  1.118 0.903  1.157 0.812  1.240 0.766  1.370 0.766  1.479 0.717  1.573 0.630  1.702 0.630
1c#apa#apa02#app0242/w  -0.845 1.002  -0.933 0.955  -1.022 0.909  -1.022 0.774  -1.028 0.641  -1.110 0.541  -1.110 0.406  -1.110 0.271  -1.110 0.135  -1.110 0.000  -1.110 -0.135  -1.110 -0.270  -1.110 -0.405  -1.023 -0.503  -0.925 -0.593  -0.790 -0.593  -0.743 -0.504  -0.626 -0.462  -0.510 -0.415  -0.409 -0.334  -0.376 -0.212  -0.267 -0.150  -0.159 -0.084  -0.063 0.012  0.003 0.128  0.076 0.240  0.172 0.335  0.218 0.451  0.218 0.355  0.218 0.220  0.218 0.085  0.218 -0.050  0.306 -0.149  0.352 -0.238  0.398 -0.329  0.497 -0.415  0.615 -0.457  0.730 -0.504  0.865 -0.504  1.000 -0.504  1.100 -0.419  1.197 -0.327  1.281 -0.276  1.350 -0.170  1.383 -0.048  1.459 0.056  1.459 0.191  1.459 0.326  1.459 0.461  1.370 0.559
1c#apa#apa02#app0242/h  -0.584 1.893  -0.484 1.848  -0.484 1.703  -0.484 1.558  -0.484 1.414  -0.484 1.269  -0.484 1.124  -0.484 0.979  -0.484 0.834  -0.484 0.690  -0.484 0.545  -0.484 0.400  -0.484 0.255  -0.484 0.110  -0.484 -0.035  -0.484 -0.179  -0.491 -0.323  -0.537 -0.460  -0.583 -0.598  -0.584 -0.742  -0.584 -0.887  -0.552 -1.000  -0.484 -0.923  -0.398 -0.814  -0.296 -0.712  -0.264 -0.580  -0.185 -0.468  -0.185 -0.323  -0.068 -0.285  0.027 -0.177  0.092 -0.048  0.114 0.092  0.213 0.196  0.315 0.298  0.419 0.397  0.564 0.397  0.613 0.301  0.613 0.156  0.674 0.037  0.713 -0.092  0.738 -0.227  0.813 -0.340  0.813 -0.485  0.813 -0.630  0.813 -0.775  0.912 -0.820  0.912 -0.965  0.912 -1.109  0.967 -1.200  1.012 -1.299
1c#apa#apa02#app0242/i  0.043 0.038  0.031 -0.076  -0.053 -0.160  -0.059 -0.277  -0.059 -0.396  -0.059 -0.515  -0.059 -0.635  -0.059 -0.754  -0.059 -0.873  -0.137 -0.960  -0.161 -1.069  -0.161 -1.188  -0.161 -1.308  -0.194 -1.394  -0.263 -1.444  -0.196 -1.496  -0.149 -1.413  -0.132 -1.295  -0.116 -1.177  -0.099 -1.059  -0.082 -0.941  -0.065 -0.823  -0.048 -0.705  -0.031 -0.587  -0.014 -0.469  0.002 -0.351  0.019 -0.233  0.036 -0.114  0.053 0.004  0.070 0.122  0.087 0.240  0.104 0.358  0.120 0.476  0.137 0.594  0.154 0.712  0.171 0.830  0.188 0.948  0.205 1.066  0.222 1.184  0.239 1.302  0.248 1.420  0.179 1.471  0.146 1.557  0.043 1.573  -0.059 1.555  -0.059 1.436  -0.059 1.317  0.010 1.266  0.043 1.181  0.043 1.061
1c#apa#apa02#app0242/l  0.825 1.060  0.825 1.135  0.825 1.209  0.808 1.265  0.733 1.265  0.678 1.220  0.625 1.168  0.573 1.115  0.520 1.063  0.468 1.010  0.415 0.958  0.363 0.905  0.313 0.852  0.313 0.777  0.278 0.718  0.225 0.665  0.173 0.613  0.120 0.560  0.108 0.491  0.108 0.417  0.108 0.343  0.055 0.290  0.004 0.237  -0.030 0.170  -0.063 0.104  -0.096 0.038  -0.097 -0.036  -0.117 -0.106  -0.150 -0.172  -0.183 -0.239  -0.216 -0.305  -0.249 -0.372  -0.283 -0.438  -0.302 -0.508  -0.303 -0.582  -0.336 -0.648  -0.370 -0.715  -0.403 -0.781  -0.405 -0.855  -0.423 -0.925  -0.457 -0.991  -0.490 -1.057  -0.507 -1.128  -0.507 -1.202  -0.507 -1.276  -0.545 -1.335  -0.597 -1.387  -0.610 -1.456  -0.610 -1.531  -0.610 -1.605
1c#apa#apa02#app0242/e  -0.197 -0.353  -0.044 -0.353  0.109 -0.353  0.261 -0.353  0.398 -0.315  0.510 -0.214  0.638 -0.190  0.676 -0.075  0.778 -0.023  0.824 0.111  0.917 0.225  0.917 0.378  0.917 0.530  0.917 0.683  0.917 0.836  0.854 0.963  0.746 1.071  0.638 1.179  0.485 1.179  0.340 1.159  0.232 1.051  0.084 1.040  -0.058 1.029  -0.080 0.889  -0.216 0.821  -0.355 0.761  -0.476 0.729  -0.517 0.601  -0.654 0.533  -0.754 0.442  -0.754 0.289  -0.822 0.204  -0.894 0.123  -0.894 -0.030  -0.894 -0.183  -0.894 -0.336  -0.894 -0.489  -0.894 -0.641  -0.877 -0.787  -0.769 -0.896  -0.661 -1.004  -0.527 -1.049  -0.374 -1.049  -0.221 -1.049  -0.106 -1.141  0.027 -1.189  0.180 -1.189  0.333 -1.189  0.486 -1.189  0.638 -1.189
1c#apa#apa02#app0242/d  0.595 1.539  0.697 1.659  0.618 1.743  0.595 1.604  0.595 1.442  0.555 1.296  0.493 1.159  0.493 0.997  0.493 0.834  0.493 0.672  0.488 0.510  0.416 0.365  0.390 0.208  0.390 0.046  0.390 -0.117  0.390 -0.279  0.390 -0.441  0.390 -0.604  0.390 -0.441  0.390 -0.279  0.390 -0.116  0.390 0.046  0.292 0.111  0.248 0.253  0.186 0.389  0.051 0.417  -0.111 0.417  -0.274 0.417  -0.403 0.337  -0.518 0.222  -0.634 0.111  -0.761 0.053  -0.834 -0.093  -0.936 -0.213  -0.991 -0.352  -1.038 -0.495  -1.038 -0.658  -1.038 -0.820  -0.987 -0.961  -0.845 -1.012  -0.732 -1.061  -0.622 -1.114  -0.460 -1.114  -0.300 -1.102  -0.155 -1.030  0.004 -1.012  0.142 -0.954  0.286 -0.910  0.440 -0.859  0.595 -0.808
1c#apa#apa02#app0242/r  -0.127 0.977  -0.128 1.127  -0.276 1.125  -0.276 0.974  -0.276 0.824  -0.276 0.674  -0.276 0.524  -0.276 0.373  -0.276 0.223  -0.276 0.073  -0.276 -0.078  -0.276 -0.228  -0.276 -0.378  -0.276 -0.529  -0.276 -0.679  -0.276 -0.829  -0.276 -0.980  -0.276 -1.130  -0.276 -1.280  -0.276 -1.431  -0.295 -1.562  -0.425 -1.543  -0.425 -1.392  -0.425 -1.242  -0.425 -1.092  -0.425 -0.941  -0.425 -0.791  -0.425 -0.641  -0.425 -0.490  -0.425 -0.340  -0.425 -0.190  -0.425 -0.039  -0.404 0.102  -0.298 0.208  -0.276 0.350  -0.191 0.465  -0.074 0.556  0.061 0.623  0.198 0.679  0.348 0.679  0.491 0.698  0.597 0.804  0.737 0.828  0.888 0.828  1.038 0.828  1.188 0.828  1.303 0.742  1.410 0.636  1.516 0.530  1.666 0.529
1c#apa#apa02#app0242/i  0.004 0.375  0.132 0.375  0.142 0.492  0.067 0.438  0.004 0.336  -0.009 0.211  -0.066 0.097  -0.123 -0.017  -0.134 -0.142  -0.134 -0.270  -0.170 -0.388  -0.227 -0.503  -0.272 -0.620  -0.285 -0.742  -0.375 -0.832  -0.410 -0.945  -0.410 -1.073  -0.410 -1.201  -0.410 -1.328  -0.410 -1.456  -0.402 -1.532  -0.367 -1.410  -0.331 -1.287  -0.295 -1.165  -0.260 -1.042  -0.224 -0.920  -0.188 -0.797  -0.152 -0.675  -0.117 -0.552  -0.081 -0.430  -0.045 -0.307  -0.009 -0.185  0.026 -0.062  0.062 0.060  0.098 0.183  0.133 0.305  0.169 0.428  0.205 0.550  0.241 0.673  0.276 0.795  0.312 0.918  0.348 1.040  0.384 1.163  0.419 1.285  0.455 1.408  0.491 1.530  0.527 1.653  0.556 1.776  0.567 1.893  0.694 1.893
1c#apa#apa02#app0242/n  -0.773 1.288  -0.660 1.174  -0.525 1.142  -0.525 0.981  -0.525 0.820  -0.525 0.660  -0.525 0.499  -0.525 0.338  -0.525 0.177  -0.525 0.016  -0.555 -0.137  -0.626 -0.281  -0.649 -0.437  -0.753 -0.554  -0.773 -0.707  -0.818 -0.823  -0.897 -0.904  -0.897 -1.065  -0.897 -0.917  -0.831 -0.823  -0.773 -0.720  -0.675 -0.600  -0.649 -0.450  -0.535 -0.336  -0.421 -0.223  -0.394 -0.075  -0.250 -0.003  -0.116 0.083  -0.028 0.207  0.024 0.346  0.137 0.460  0.251 0.574  0.373 0.667  0.515 0.713  0.643 0.791  0.804 0.791  0.965 0.791  0.991 0.641  1.089 0.521  1.089 0.361  1.089 0.200  1.089 0.039  1.089 -0.122  1.089 -0.282  1.089 -0.443  0.981 -0.559  0.965 -0.713  0.965 -0.874  0.965 -1.035  0.965 -1.196
1c#apa#apa02#app0242/k  -0.169 1.470  -0.277 1.351  -0.356 1.164  -0.407 0.958  -0.407 0.732  -0.500 0.544  -0.526 0.328  -0.526 0.101  -0.601 -0.107  -0.651 -0.321  -0.764 -0.501  -0.804 -0.711  -0.883 -0.905  -0.982 -1.108  -1.121 -1.281  -1.032 -1.300  -0.868 -1.144  -0.704 -0.988  -0.540 -0.832  -0.376 -0.675  -0.212 -0.519  -0.048 -0.363  0.117 -0.207  0.281 -0.050  0.445 0.106  0.609 0.262  0.773 0.418  0.937 0.575  1.101 0.731  1.265 0.887  1.306 0.994  1.097 0.952  0.902 0.875  0.707 0.799  0.503 0.735  0.300 0.637  0.107 0.556  -0.055 0.399  -0.249 0.320  -0.407 0.228  -0.407 0.002  -0.288 -0.106  -0.191 -0.292  0.004 -0.368  0.164 -0.529  0.359 -0.605  0.554 -0.681  0.736 -0.790  0.944 -0.833  1.139 -0.909
1c#apa#apa02#app0242/i  0.012 0.306  0.112 0.281  0.077 0.170  0.012 0.072  0.012 -0.053  0.012 -0.178  -0.089 -0.203  -0.089 -0.328  -0.089 -0.454  -0.089 -0.579  -0.163 -0.673  -0.189 -0.788  -0.189 -0.913  -0.189 -1.038  -0.189 -1.164  -0.189 -1.289  -0.189 -1.414  -0.189 -1.539  -0.182 -1.543  -0.166 -1.419  -0.151 -1.294  -0.135 -1.170  -0.119 -1.046  -0.104 -0.921  -0.088 -0.797  -0.073 -0.673  -0.057 -0.548  -0.042 -0.424  -0.026 -0.300  -0.011 -0.176  0.005 -0.051  0.020 0.073  0.036 0.197  0.051 0.322  0.067 0.446  0.083 0.570  0.098 0.695  0.114 0.819  0.129 0.943  0.145 1.068  0.160 1.192  0.176 1.316  0.191 1.441  0.207 1.565  0.213 1.690  0.112 1.712  0.138 1.613  0.213 1.562  0.289 1.512  0.313 1.412
1c#apa#apa02#app0242/n  -0.895 1.039  -0.877 0.904  -0.760 0.869  -0.760 0.717  -0.760 0.564  -0.760 0.412  -0.760 0.259  -0.760 0.107  -0.760 -0.046  -0.760 -0.198  -0.760 -0.351  -0.801 -0.486  -0.895 -0.600  -0.895 -0.752  -0.895 -0.905  -0.895 -0.912  -0.895 -0.760  -0.787 -0.715  -0.760 -0.590  -0.659 -0.479  -0.551 -0.371  -0.490 -0.244  -0.431 -0.116  -0.323 -0.008  -0.215 0.100  -0.107 0.207  0.001 0.315  0.108 0.423  0.185 0.544  0.247 0.634  0.391 0.670  0.527 0.738  0.648 0.828  0.769 0.904  0.859 0.842  0.939 0.769  0.994 0.672  0.994 0.519  0.994 0.367  0.994 0.214  0.994 0.062  0.994 -0.091  0.994 -0.243  0.994 -0.396  0.994 -0.548  0.994 -0.701  0.992 -0.852  0.884 -0.960  0.859 -1.102  0.859 -1.255
1c#apa#apa02#app0242/g  0.743 0.743  0.824 0.847  0.743 1.015  0.604 1.159  0.460 1.298  0.258 1.298  0.056 1.298  -0.105 1.197  -0.287 1.113  -0.453 1.026  -0.464 0.829  -0.551 0.663  -0.551 0.462  -0.438 0.373  -0.247 0.399  -0.089 0.481  0.027 0.581  0.169 0.724  0.247 0.893  0.374 0.998  0.374 0.797  0.307 0.611  0.281 0.415  0.281 0.213  0.189 0.050  0.144 -0.133  0.096 -0.315  0.055 -0.500  0.004 -0.680  -0.020 -0.876  -0.089 -1.062  -0.181 -1.225  -0.274 -1.388  -0.354 -1.556  -0.551 -1.568  -0.721 -1.491  -0.828 -1.388  -0.828 -1.186  -0.815 -0.988  -0.719 -0.812  -0.576 -0.669  -0.424 -0.551  -0.260 -0.459  -0.067 -0.438  0.105 -0.366  0.307 -0.366  0.508 -0.366  0.710 -0.366  0.912 -0.366  1.113 -0.366
