2#tos#f2#f2067064/\"  -1.003 0.012  -1.003 0.092  -1.003 -0.083  -1.003 -0.259  -1.003 -0.435  -1.003 -0.611  -0.874 -0.658  -0.874 -0.834  -0.750 -0.885  -0.618 -0.929  -0.618 -1.105  -0.614 -1.260  -0.556 -1.094  -0.498 -0.928  -0.440 -0.762  -0.382 -0.596  -0.324 -0.430  -0.266 -0.265  -0.208 -0.099  -0.150 0.067  -0.092 0.233  -0.034 0.399  0.024 0.565  0.082 0.731  0.140 0.897  0.198 1.063  0.257 1.229  0.172 1.294  0.023 1.320  0.023 1.348  0.023 1.172  0.151 1.125  0.151 0.949  0.287 0.909  0.407 0.854  0.407 0.678  0.536 0.630  0.536 0.455  0.536 0.279  0.573 0.140  0.664 0.055  0.792 0.008  0.792 -0.168  0.891 -0.245  0.920 -0.391  0.920 -0.567  0.920 -0.743  0.920 -0.918  0.920 -1.094  1.048 -1.142
2#tos#f2#f2067064/_  -1.235 0.086  -1.308 0.086  -1.381 0.086  -1.405 0.037  -1.405 -0.036  -1.381 -0.085  -1.308 -0.085  -1.235 -0.085  -1.235 -0.012  -1.174 0.000  -1.100 0.000  -1.027 0.000  -0.954 0.000  -0.881 0.000  -0.808 0.000  -0.735 0.000  -0.661 0.000  -0.588 0.000  -0.515 0.000  -0.442 0.000  -0.369 0.000  -0.295 0.000  -0.222 0.000  -0.149 0.000  -0.076 0.000  -0.003 0.000  0.071 0.000  0.144 0.000  0.217 0.000  0.290 0.000  0.363 0.000  0.436 0.000  0.510 0.000  0.583 0.000  0.656 0.000  0.729 0.000  0.802 0.000  0.876 0.000  0.949 0.000  1.022 0.000  1.095 0.000  1.168 0.000  1.241 0.000  1.315 0.000  1.388 0.000  1.461 0.000  1.534 0.000  1.607 0.000  1.681 0.000  1.754 0.000
2#tos#f2#f2067064/`  -0.327 1.397  -0.414 1.397  -0.501 1.397  -0.560 1.351  -0.599 1.274  -0.638 1.196  -0.677 1.118  -0.716 1.040  -0.747 0.961  -0.747 0.874  -0.747 0.787  -0.680 0.768  -0.593 0.768  -0.523 0.739  -0.484 0.662  -0.445 0.584  -0.407 0.506  -0.368 0.428  -0.329 0.351  -0.327 0.264  -0.327 0.177  -0.294 0.104  -0.232 0.043  -0.171 -0.019  -0.106 -0.072  -0.019 -0.072  0.068 -0.072  0.137 -0.116  0.198 -0.178  0.260 -0.239  0.302 -0.309  0.302 -0.396  0.302 -0.482  0.380 -0.491  0.467 -0.491  0.512 -0.533  0.512 -0.620  0.512 -0.707  0.512 -0.794  0.512 -0.881  0.569 -0.911  0.656 -0.911  0.722 -0.932  0.722 -1.019  0.722 -1.106  0.722 -1.193  0.722 -1.280  0.722 -1.367  0.722 -1.454  0.722 -1.541
2#tos#f2#f2067064/{  0.647 1.340  0.555 1.340  0.463 1.340  0.384 1.326  0.316 1.302  0.224 1.302  0.132 1.302  0.047 1.295  -0.014 1.265  -0.028 1.186  -0.028 1.094  -0.028 1.002  -0.028 0.910  -0.028 0.818  0.010 0.763  0.010 0.671  0.010 0.579  0.037 0.515  0.047 0.433  0.047 0.341  0.047 0.249  0.047 0.157  -0.028 0.140  -0.065 0.085  -0.100 0.028  -0.155 -0.010  -0.247 -0.010  -0.280 -0.047  -0.225 -0.085  -0.178 -0.152  -0.134 -0.204  -0.103 -0.283  -0.103 -0.375  -0.103 -0.467  -0.103 -0.559  -0.103 -0.651  -0.103 -0.743  -0.103 -0.835  -0.103 -0.927  -0.135 -1.011  -0.140 -1.102  -0.140 -1.194  -0.140 -1.286  -0.140 -1.378  -0.108 -1.463  -0.103 -1.554  -0.042 -1.584  0.013 -1.622  0.105 -1.622  0.197 -1.622
2#tos#f2#f2067064/~  -1.323 -0.060  -1.364 -0.122  -1.448 -0.142  -1.448 -0.245  -1.386 -0.209  -1.323 -0.168  -1.282 -0.081  -1.209 -0.008  -1.173 0.065  -1.073 0.069  -1.073 0.173  -1.012 0.251  -0.910 0.253  -0.806 0.253  -0.703 0.253  -0.635 0.289  -0.621 0.378  -0.517 0.378  -0.440 0.441  -0.336 0.441  -0.259 0.503  -0.179 0.465  -0.135 0.372  -0.088 0.316  0.015 0.316  0.052 0.249  0.097 0.190  0.175 0.130  0.222 0.038  0.242 -0.060  0.345 -0.060  0.428 -0.081  0.428 -0.184  0.531 -0.185  0.572 -0.247  0.615 -0.307  0.705 -0.337  0.793 -0.372  0.865 -0.404  0.938 -0.435  1.036 -0.412  1.130 -0.372  1.234 -0.372  1.303 -0.338  1.370 -0.276  1.428 -0.209  1.499 -0.149  1.553 -0.079  1.553 0.024  1.616 0.065
2#tos#f2#f2067064/0  0.647 1.039  0.559 1.127  0.470 1.181  0.362 1.215  0.220 1.215  0.078 1.215  -0.060 1.210  -0.153 1.157  -0.210 1.039  -0.290 0.950  -0.369 0.887  -0.369 0.744  -0.395 0.606  -0.500 0.553  -0.546 0.456  -0.546 0.314  -0.628 0.205  -0.634 0.065  -0.642 -0.074  -0.719 -0.192  -0.722 -0.333  -0.722 -0.476  -0.722 -0.618  -0.722 -0.761  -0.722 -0.903  -0.670 -0.993  -0.590 -1.082  -0.580 -1.214  -0.437 -1.214  -0.295 -1.214  -0.152 -1.214  -0.025 -1.179  0.070 -1.126  0.205 -1.118  0.277 -1.027  0.352 -0.906  0.421 -0.782  0.490 -0.689  0.554 -0.562  0.649 -0.457  0.691 -0.322  0.691 -0.179  0.704 -0.040  0.735 0.095  0.735 0.238  0.735 0.380  0.735 0.523  0.735 0.665  0.701 0.774  0.603 0.818
2#tos#f2#f2067064/2  -0.628 1.060  -0.712 1.013  -0.712 1.071  -0.712 1.202  -0.606 1.228  -0.475 1.228  -0.343 1.228  -0.212 1.228  -0.081 1.228  0.051 1.228  0.165 1.186  0.231 1.107  0.296 1.023  0.403 0.953  0.422 0.829  0.506 0.782  0.506 0.651  0.422 0.603  0.408 0.474  0.339 0.389  0.221 0.330  0.147 0.240  0.095 0.122  0.032 0.026  -0.061 -0.063  -0.124 -0.176  -0.166 -0.265  -0.166 -0.397  -0.250 -0.444  -0.292 -0.565  -0.369 -0.619  -0.394 -0.740  -0.444 -0.855  -0.484 -0.955  -0.586 -1.009  -0.610 -1.081  -0.514 -1.022  -0.399 -0.997  -0.285 -0.955  -0.154 -0.951  -0.029 -0.913  0.102 -0.913  0.234 -0.913  0.365 -0.913  0.496 -0.913  0.610 -0.955  0.742 -0.955  0.873 -0.955  1.004 -0.955  1.136 -0.955
2#tos#f2#f2067064/3  -0.537 1.135  -0.640 1.071  -0.733 1.070  -0.601 1.125  -0.473 1.179  -0.323 1.179  -0.174 1.179  -0.034 1.158  0.106 1.135  0.255 1.135  0.339 1.070  0.466 1.048  0.558 0.939  0.558 0.790  0.475 0.698  0.417 0.592  0.319 0.510  0.194 0.430  0.062 0.370  -0.028 0.260  -0.169 0.225  -0.298 0.172  -0.447 0.172  -0.477 0.172  -0.328 0.172  -0.179 0.172  -0.030 0.172  0.097 0.115  0.207 0.025  0.295 -0.063  0.364 -0.169  0.417 -0.288  0.514 -0.386  0.586 -0.513  0.601 -0.655  0.601 -0.805  0.601 -0.954  0.601 -1.103  0.509 -1.186  0.364 -1.222  0.226 -1.272  0.077 -1.272  -0.072 -1.272  -0.222 -1.272  -0.371 -1.272  -0.520 -1.272  -0.669 -1.272  -0.756 -1.184  -0.843 -1.071  -0.887 -0.966
2#tos#f2#f2067064/4  -0.008 1.514  -0.144 1.428  -0.144 1.204  -0.250 1.029  -0.327 0.836  -0.481 0.688  -0.565 0.491  -0.691 0.314  -0.824 0.173  -0.928 -0.007  -1.070 -0.154  -1.147 -0.325  -1.090 -0.404  -0.887 -0.490  -0.663 -0.490  -0.448 -0.535  -0.243 -0.581  -0.020 -0.581  0.147 -0.672  0.370 -0.672  0.575 -0.718  0.798 -0.718  1.021 -0.718  1.222 -0.740  1.106 -0.625  1.004 -0.426  0.903 -0.228  0.801 -0.029  0.700 0.170  0.598 0.369  0.497 0.568  0.395 0.767  0.294 0.965  0.192 1.164  0.091 1.363  -0.008 1.262  0.038 1.057  0.038 0.834  0.038 0.611  0.013 0.392  -0.008 0.172  -0.008 -0.052  -0.053 -0.269  -0.053 -0.493  -0.053 -0.716  -0.091 -0.930  -0.099 -1.152  -0.157 -1.339  -0.190 -1.542  -0.190 -1.765
2#tos#f2#f2067064/5  -0.126 1.047  -0.167 0.989  -0.220 0.829  -0.249 0.660  -0.286 0.484  -0.322 0.316  -0.372 0.155  -0.368 0.057  -0.208 0.014  -0.120 -0.103  0.060 -0.119  0.221 -0.186  0.352 -0.252  0.409 -0.386  0.487 -0.511  0.485 -0.690  0.450 -0.863  0.337 -0.963  0.247 -1.088  0.100 -1.172  -0.065 -1.213  -0.242 -1.230  -0.409 -1.295  -0.590 -1.295  -0.772 -1.295  -0.852 -1.209  -0.804 -1.034  -0.755 -0.859  -0.706 -0.684  -0.657 -0.509  -0.608 -0.334  -0.559 -0.159  -0.510 0.016  -0.461 0.191  -0.412 0.366  -0.363 0.541  -0.314 0.716  -0.384 0.801  -0.261 0.801  -0.080 0.801  0.102 0.801  0.282 0.813  0.454 0.871  0.634 0.883  0.815 0.883  0.997 0.883  1.179 0.883  1.360 0.883  1.542 0.883  1.724 0.883
2#tos#f2#f2067064/6  0.495 1.734  0.397 1.685  0.267 1.619  0.128 1.590  0.038 1.512  -0.011 1.389  -0.128 1.327  -0.128 1.181  -0.175 1.055  -0.250 0.940  -0.363 0.849  -0.443 0.740  -0.463 0.597  -0.479 0.455  -0.545 0.325  -0.607 0.193  -0.640 0.053  -0.702 -0.071  -0.702 -0.217  -0.702 -0.363  -0.702 -0.509  -0.702 -0.655  -0.702 -0.801  -0.614 -0.874  -0.495 -0.934  -0.408 -1.045  -0.262 -1.045  -0.116 -1.045  0.030 -1.045  0.176 -1.045  0.322 -1.045  0.449 -0.997  0.538 -0.921  0.664 -0.854  0.735 -0.742  0.831 -0.692  0.851 -0.566  0.927 -0.496  0.927 -0.350  0.804 -0.327  0.743 -0.208  0.671 -0.103  0.530 -0.081  0.394 -0.039  0.248 -0.039  0.105 -0.021  -0.036 0.009  -0.182 0.009  -0.297 -0.042  -0.415 -0.087
2#tos#f2#f2067064/7  -0.262 0.966  -0.353 0.890  -0.442 0.786  -0.490 0.639  -0.581 0.510  -0.609 0.361  -0.675 0.234  -0.762 0.093  -0.762 -0.073  -0.832 -0.171  -0.899 -0.271  -0.852 -0.282  -0.761 -0.142  -0.669 -0.003  -0.578 0.137  -0.487 0.277  -0.395 0.416  -0.304 0.556  -0.212 0.695  -0.121 0.835  -0.035 0.956  -0.126 0.880  0.017 0.829  0.184 0.829  0.332 0.784  0.499 0.784  0.647 0.738  0.806 0.693  0.928 0.647  1.083 0.620  1.056 0.507  0.949 0.434  0.825 0.343  0.728 0.219  0.671 0.063  0.600 -0.081  0.465 -0.174  0.465 -0.340  0.336 -0.438  0.329 -0.601  0.324 -0.766  0.206 -0.884  0.127 -1.024  0.101 -1.187  0.025 -1.331  -0.054 -1.472  -0.080 -1.636  -0.080 -1.803  -0.112 -1.962  -0.171 -2.080
2#tos#f2#f2067064/8  0.825 0.339  0.867 0.464  0.867 0.630  0.829 0.790  0.698 0.886  0.600 1.016  0.499 1.132  0.402 1.264  0.253 1.332  0.110 1.389  -0.056 1.389  -0.222 1.389  -0.385 1.364  -0.456 1.242  -0.519 1.102  -0.519 0.936  -0.519 0.769  -0.497 0.612  -0.393 0.489  -0.351 0.329  -0.306 0.191  -0.170 0.103  -0.141 -0.056  -0.043 -0.164  0.042 -0.305  0.111 -0.443  0.160 -0.598  0.195 -0.756  0.195 -0.922  0.195 -1.089  0.111 -1.220  0.002 -1.324  -0.099 -1.425  -0.265 -1.425  -0.423 -1.389  -0.533 -1.280  -0.645 -1.182  -0.645 -1.015  -0.645 -0.849  -0.625 -0.691  -0.524 -0.566  -0.396 -0.462  -0.251 -0.392  -0.100 -0.333  0.063 -0.300  0.225 -0.276  0.374 -0.203  0.534 -0.165  0.701 -0.165  0.867 -0.165
2#tos#f2#f2067064/9  0.353 0.100  0.487 0.148  0.535 0.283  0.568 0.423  0.568 0.577  0.556 0.728  0.496 0.863  0.439 1.004  0.362 1.126  0.266 1.241  0.154 1.308  0.000 1.308  -0.136 1.261  -0.285 1.224  -0.375 1.104  -0.495 1.013  -0.596 0.921  -0.596 0.767  -0.639 0.640  -0.682 0.512  -0.682 0.358  -0.661 0.216  -0.553 0.120  -0.471 0.014  -0.337 -0.006  -0.206 -0.029  -0.052 -0.029  0.102 -0.029  0.256 -0.029  0.357 0.057  0.502 0.078  0.647 0.100  0.611 0.050  0.581 -0.082  0.482 -0.164  0.399 -0.284  0.274 -0.370  0.231 -0.508  0.138 -0.631  0.076 -0.766  0.017 -0.907  -0.081 -1.023  -0.122 -1.160  -0.230 -1.247  -0.294 -1.362  -0.310 -1.514  -0.337 -1.664  -0.424 -1.765  -0.424 -1.919  -0.467 -2.055
2#tos#f2#f2067064/B  -0.334 0.964  -0.418 0.780  -0.460 0.522  -0.485 0.265  -0.502 0.004  -0.537 -0.250  -0.637 -0.486  -0.671 -0.746  -0.713 -1.004  -0.754 -1.223  -0.718 -0.957  -0.681 -0.691  -0.644 -0.426  -0.608 -0.160  -0.571 0.105  -0.535 0.371  -0.498 0.636  -0.461 0.902  -0.425 1.167  -0.453 1.133  -0.196 1.186  0.032 1.301  0.300 1.301  0.568 1.301  0.804 1.244  0.888 1.060  0.972 0.852  0.931 0.614  0.804 0.417  0.604 0.290  0.395 0.177  0.262 0.007  0.010 -0.047  -0.240 -0.089  -0.496 -0.089  -0.235 -0.060  0.030 -0.047  0.298 -0.047  0.549 -0.005  0.757 -0.089  0.888 -0.258  0.930 -0.516  0.908 -0.763  0.804 -0.976  0.635 -1.100  0.486 -1.268  0.239 -1.330  -0.026 -1.352  -0.294 -1.352  -0.502 -1.268
2#tos#f2#f2067064/C  -0.759 -0.064  -0.759 -0.272  -0.759 -0.481  -0.717 -0.679  -0.674 -0.845  -0.602 -1.023  -0.459 -1.120  -0.294 -1.164  -0.145 -1.247  0.064 -1.247  0.272 -1.247  0.459 -1.188  0.647 -1.140  0.801 -1.039  0.956 -0.951  1.100 -0.888  1.004 -0.716  0.865 -0.561  0.727 -0.405  0.588 -0.250  0.449 -0.095  0.311 0.061  0.172 0.216  0.033 0.372  -0.105 0.527  -0.244 0.682  -0.358 0.622  -0.463 0.476  -0.510 0.312  -0.614 0.142  -0.753 0.031  -0.843 -0.091  -0.906 -0.180  -0.776 -0.028  -0.675 0.154  -0.574 0.336  -0.473 0.518  -0.421 0.713  -0.336 0.837  -0.252 0.961  -0.167 1.084  -0.036 1.161  0.130 1.204  0.338 1.204  0.542 1.164  0.678 1.090  0.789 0.992  0.847 0.842  0.931 0.694  0.974 0.528
2#tos#f2#f2067064/D  -0.092 1.140  -0.218 1.030  -0.226 0.830  -0.261 0.636  -0.345 0.469  -0.388 0.285  -0.430 0.093  -0.430 -0.109  -0.514 -0.258  -0.557 -0.443  -0.641 -0.609  -0.683 -0.794  -0.683 -0.996  -0.663 -1.005  -0.621 -0.808  -0.579 -0.611  -0.536 -0.413  -0.494 -0.216  -0.452 -0.019  -0.409 0.179  -0.367 0.376  -0.325 0.573  -0.282 0.771  -0.240 0.968  -0.198 1.165  -0.078 1.267  0.089 1.352  0.273 1.309  0.390 1.225  0.543 1.151  0.636 1.005  0.749 0.849  0.837 0.677  0.881 0.493  0.881 0.291  0.965 0.149  0.965 -0.053  0.965 -0.255  0.907 -0.440  0.811 -0.593  0.735 -0.758  0.627 -0.870  0.500 -0.945  0.413 -1.076  0.247 -1.133  0.054 -1.143  -0.148 -1.143  -0.340 -1.182  -0.541 -1.185  -0.726 -1.227
2#tos#f2#f2067064/E  -0.198 1.370  -0.276 1.119  -0.276 0.820  -0.276 0.522  -0.276 0.223  -0.323 -0.036  -0.391 -0.311  -0.404 -0.597  -0.507 -0.793  -0.539 -1.060  -0.603 -1.001  -0.561 -0.706  -0.519 -0.410  -0.477 -0.114  -0.434 0.182  -0.392 0.478  -0.350 0.773  -0.308 1.069  -0.341 1.261  -0.292 1.139  0.006 1.139  0.305 1.139  0.604 1.139  0.903 1.139  1.110 1.111  0.861 0.947  0.611 0.783  0.361 0.619  0.111 0.455  -0.138 0.291  -0.338 0.150  -0.152 0.136  0.147 0.136  0.436 0.186  0.723 0.208  0.506 0.003  0.288 -0.202  0.071 -0.407  -0.147 -0.612  -0.364 -0.817  -0.582 -1.021  -0.783 -1.160  -0.593 -1.215  -0.294 -1.215  0.005 -1.215  0.265 -1.175  0.526 -1.138  0.824 -1.138  1.085 -1.099  1.383 -1.099
2#tos#f2#f2067064/F  -0.240 1.078  -0.344 0.941  -0.344 0.700  -0.344 0.460  -0.344 0.219  -0.363 -0.019  -0.414 -0.249  -0.448 -0.475  -0.448 -0.716  -0.545 -0.921  -0.552 -1.160  -0.587 -1.366  -0.656 -1.584  -0.679 -1.803  -0.655 -1.577  -0.617 -1.340  -0.579 -1.102  -0.541 -0.864  -0.502 -0.627  -0.464 -0.389  -0.426 -0.151  -0.388 0.086  -0.350 0.324  -0.312 0.562  -0.274 0.799  -0.269 1.008  -0.283 0.904  -0.042 0.904  0.182 0.974  0.423 0.974  0.664 0.974  0.899 1.008  1.140 1.008  1.356 0.985  1.233 0.859  1.038 0.718  0.844 0.576  0.649 0.435  0.454 0.294  0.259 0.152  0.064 0.011  -0.131 -0.130  -0.325 -0.272  -0.239 -0.345  0.002 -0.345  0.228 -0.310  0.469 -0.310  0.710 -0.310  0.942 -0.276  1.148 -0.310
