3#app#app12#app1284/A  0.146 0.947  0.043 0.774  -0.055 0.539  -0.172 0.310  -0.267 0.056  -0.327 -0.206  -0.423 -0.450  -0.474 -0.705  -0.577 -0.938  -0.577 -1.214  -0.681 -1.465  -0.784 -1.698  -0.784 -1.507  -0.681 -1.274  -0.667 -1.003  -0.577 -0.765  -0.541 -0.495  -0.429 -0.248  -0.371 0.004  -0.267 0.255  -0.196 0.501  -0.153 0.762  -0.012 0.996  0.132 1.228  0.209 1.486  0.249 1.752  0.429 1.800  0.456 1.535  0.456 1.259  0.456 0.983  0.456 0.707  0.456 0.431  0.456 0.155  0.456 -0.121  0.456 -0.397  0.525 -0.604  0.657 -0.805  0.766 -0.975  0.749 -1.202  0.579 -0.985  0.408 -0.769  0.238 -0.552  0.067 -0.335  -0.103 -0.118  -0.274 0.099  -0.267 0.238  -0.164 0.411  0.093 0.430  0.326 0.533  0.559 0.636
3#app#app12#app1284/L  -0.142 1.876  -0.142 1.782  -0.142 1.687  -0.142 1.593  -0.142 1.499  -0.142 1.405  -0.142 1.311  -0.142 1.217  -0.142 1.122  -0.142 1.028  -0.142 0.934  -0.142 0.840  -0.170 0.752  -0.212 0.668  -0.254 0.584  -0.261 0.491  -0.261 0.397  -0.261 0.303  -0.261 0.209  -0.261 0.114  -0.314 0.042  -0.379 -0.025  -0.379 -0.119  -0.379 -0.213  -0.379 -0.307  -0.379 -0.402  -0.379 -0.496  -0.379 -0.590  -0.379 -0.684  -0.379 -0.778  -0.360 -0.853  -0.266 -0.853  -0.261 -0.942  -0.196 -0.972  -0.102 -0.972  -0.008 -0.972  0.086 -0.972  0.180 -0.972  0.257 -0.929  0.323 -0.862  0.414 -0.853  0.491 -0.813  0.558 -0.747  0.647 -0.735  0.726 -0.697  0.793 -0.631  0.881 -0.616  0.975 -0.616  1.069 -0.616  1.163 -0.616
3#app#app12#app1284/M  -1.029 -0.825  -1.029 -1.049  -1.029 -0.876  -1.029 -0.652  -0.924 -0.472  -0.905 -0.257  -0.784 -0.084  -0.738 0.128  -0.656 0.332  -0.558 0.515  -0.532 0.727  -0.506 0.940  -0.348 1.098  -0.284 1.295  -0.208 1.487  -0.159 1.380  -0.159 1.157  -0.159 0.934  -0.159 0.710  -0.159 0.487  -0.268 0.308  -0.284 0.092  -0.284 -0.132  -0.284 -0.355  -0.284 -0.578  -0.284 -0.802  -0.284 -1.025  -0.233 -1.198  -0.159 -1.049  -0.071 -0.862  -0.001 -0.667  0.089 -0.481  0.139 -0.279  0.266 -0.099  0.338 0.108  0.410 0.314  0.538 0.493  0.696 0.651  0.766 0.846  0.959 0.911  0.959 0.688  0.959 0.464  0.959 0.241  0.959 0.018  0.959 -0.206  0.959 -0.429  0.959 -0.652  0.959 -0.876  0.959 -1.099  0.959 -1.322
3#app#app12#app1284/N  -0.800 -0.267  -0.921 -0.403  -0.921 -0.589  -1.024 -0.733  -1.041 -0.912  -1.041 -1.098  -1.041 -0.940  -1.041 -0.754  -0.921 -0.618  -0.886 -0.440  -0.803 -0.273  -0.720 -0.107  -0.679 0.070  -0.651 0.244  -0.558 0.392  -0.504 0.566  -0.438 0.736  -0.335 0.820  -0.270 0.941  -0.196 1.053  -0.139 1.182  -0.073 1.061  0.045 0.994  0.045 0.808  0.100 0.644  0.166 0.485  0.166 0.299  0.166 0.113  0.166 -0.073  0.166 -0.259  0.166 -0.446  0.166 -0.632  0.166 -0.818  0.166 -1.004  0.222 -1.057  0.287 -0.897  0.408 -0.832  0.512 -0.750  0.563 -0.595  0.678 -0.451  0.761 -0.284  0.790 -0.105  0.874 0.061  0.910 0.236  1.042 0.367  1.132 0.516  1.187 0.689  1.253 0.860  1.327 1.015  1.374 1.182
3#app#app12#app1284/O  0.001 0.536  -0.103 0.579  -0.189 0.640  -0.336 0.640  -0.415 0.571  -0.519 0.528  -0.519 0.381  -0.613 0.327  -0.646 0.201  -0.728 0.087  -0.781 -0.038  -0.832 -0.164  -0.832 -0.311  -0.832 -0.458  -0.832 -0.605  -0.832 -0.753  -0.832 -0.900  -0.743 -1.010  -0.707 -1.130  -0.623 -1.194  -0.516 -1.234  -0.369 -1.234  -0.222 -1.234  -0.075 -1.234  0.051 -1.184  0.155 -1.080  0.259 -0.976  0.313 -0.851  0.364 -0.716  0.417 -0.581  0.449 -0.442  0.515 -0.310  0.522 -0.164  0.572 -0.038  0.626 0.087  0.633 0.231  0.730 0.338  0.730 0.485  0.798 0.604  0.834 0.736  0.834 0.883  0.834 1.031  0.816 1.160  0.730 1.221  0.626 1.264  0.522 1.160  0.379 1.141  0.248 1.075  0.136 0.982  0.001 0.952
3#app#app12#app1284/P  -0.034 0.692  -0.034 0.523  -0.049 0.360  -0.139 0.228  -0.139 0.059  -0.139 -0.110  -0.139 -0.279  -0.199 -0.424  -0.245 -0.574  -0.245 -0.743  -0.301 -0.899  -0.351 -1.057  -0.362 -1.222  -0.456 -1.352  -0.501 -1.510  -0.562 -1.665  -0.545 -1.644  -0.516 -1.478  -0.486 -1.311  -0.456 -1.145  -0.426 -0.978  -0.397 -0.811  -0.367 -0.645  -0.337 -0.478  -0.307 -0.311  -0.278 -0.145  -0.248 0.022  -0.218 0.188  -0.188 0.355  -0.159 0.522  -0.129 0.688  -0.099 0.855  -0.069 1.021  -0.040 1.188  0.088 1.282  0.226 1.375  0.372 1.432  0.528 1.399  0.667 1.326  0.723 1.204  0.812 1.071  0.812 0.902  0.812 0.733  0.812 0.563  0.750 0.419  0.705 0.269  0.600 0.143  0.516 0.058  0.453 -0.048  0.283 -0.048
3#app#app12#app1284/Q  0.252 1.389  0.075 1.308  -0.075 1.248  -0.182 1.144  -0.347 1.036  -0.483 0.930  -0.553 0.749  -0.647 0.577  -0.729 0.401  -0.825 0.231  -0.892 0.048  -0.974 -0.128  -0.974 -0.338  -1.055 -0.467  -1.008 -0.666  -0.974 -0.868  -0.875 -0.979  -0.746 -1.061  -0.570 -1.142  -0.360 -1.142  -0.231 -1.061  -0.075 -1.006  0.054 -0.850  0.216 -0.734  0.318 -0.586  0.415 -0.416  0.498 -0.241  0.578 -0.049  0.674 0.125  0.740 0.324  0.823 0.500  0.823 0.711  0.750 0.891  0.660 1.063  0.487 1.154  0.330 1.200  0.306 0.991  0.281 0.782  0.256 0.574  0.232 0.365  0.207 0.156  0.183 -0.053  0.270 -0.162  0.333 -0.309  0.415 -0.437  0.415 -0.648  0.415 -0.858  0.491 -1.050  0.497 -1.259  0.578 -1.387
3#app#app12#app1284/R  -0.254 0.765  -0.254 0.558  -0.254 0.350  -0.295 0.159  -0.348 -0.026  -0.348 -0.234  -0.424 -0.424  -0.495 -0.619  -0.537 -0.820  -0.657 -0.983  -0.725 -1.174  -0.820 -1.343  -0.782 -1.271  -0.710 -1.090  -0.631 -0.901  -0.537 -0.732  -0.481 -0.537  -0.428 -0.343  -0.312 -0.170  -0.254 0.020  -0.234 0.219  -0.160 0.396  -0.074 0.568  0.022 0.752  0.098 0.929  0.158 1.118  0.217 1.312  0.312 1.481  0.406 1.594  0.594 1.614  0.741 1.467  0.783 1.277  0.783 1.069  0.783 0.861  0.689 0.693  0.542 0.577  0.428 0.483  0.220 0.483  0.206 0.283  0.123 0.109  0.123 -0.099  0.123 -0.306  0.123 -0.514  0.123 -0.722  0.123 -0.930  0.123 -1.137  0.254 -1.214  0.462 -1.214  0.670 -1.214  0.783 -1.120
3#app#app12#app1284/S  0.669 1.326  0.572 1.326  0.561 1.241  0.487 1.219  0.391 1.219  0.294 1.219  0.210 1.190  0.142 1.122  0.050 1.112  0.024 1.041  -0.035 1.004  -0.117 0.970  -0.186 0.902  -0.280 0.897  -0.298 0.818  -0.298 0.722  -0.354 0.682  -0.405 0.637  -0.381 0.551  -0.312 0.482  -0.244 0.414  -0.176 0.346  -0.108 0.278  -0.040 0.210  0.028 0.142  0.096 0.074  0.132 -0.008  0.167 -0.069  0.239 -0.093  0.239 -0.189  0.239 -0.286  0.239 -0.382  0.239 -0.478  0.205 -0.567  0.162 -0.653  0.132 -0.742  0.132 -0.838  0.127 -0.933  0.059 -1.001  0.024 -1.083  -0.001 -1.168  -0.069 -1.237  -0.083 -1.327  -0.149 -1.357  -0.190 -1.413  -0.234 -1.465  -0.331 -1.465  -0.427 -1.465  -0.523 -1.465  -0.620 -1.465
3#app#app12#app1284/T  -0.303 1.053  -0.382 0.974  -0.401 0.870  -0.303 0.856  -0.289 0.758  -0.178 0.758  -0.066 0.758  0.046 0.758  0.157 0.758  0.269 0.758  0.380 0.758  0.492 0.758  0.604 0.758  0.715 0.758  0.827 0.758  0.939 0.758  0.897 0.743  0.788 0.721  0.678 0.699  0.569 0.677  0.459 0.656  0.350 0.634  0.240 0.612  0.131 0.590  0.022 0.568  -0.008 0.481  -0.008 0.369  -0.008 0.258  -0.008 0.146  -0.008 0.034  -0.044 -0.063  -0.106 -0.148  -0.106 -0.260  -0.142 -0.357  -0.205 -0.443  -0.221 -0.550  -0.271 -0.650  -0.303 -0.754  -0.303 -0.866  -0.303 -0.977  -0.339 -1.081  -0.389 -1.180  -0.401 -1.289  -0.401 -1.401  -0.480 -1.480  -0.499 -1.583  -0.499 -1.695  -0.513 -1.793  -0.578 -1.774  -0.499 -1.695
3#app#app12#app1284/U  -0.296 1.020  -0.312 0.910  -0.406 0.878  -0.440 0.765  -0.516 0.670  -0.516 0.544  -0.516 0.418  -0.564 0.311  -0.627 0.210  -0.627 0.084  -0.696 0.027  -0.737 -0.059  -0.737 -0.185  -0.737 -0.312  -0.737 -0.438  -0.737 -0.565  -0.737 -0.691  -0.737 -0.817  -0.737 -0.944  -0.664 -1.040  -0.575 -1.130  -0.472 -1.188  -0.346 -1.188  -0.219 -1.188  -0.120 -1.122  -0.030 -1.033  0.069 -0.967  0.181 -0.932  0.256 -0.837  0.256 -0.711  0.293 -0.599  0.367 -0.503  0.379 -0.379  0.419 -0.259  0.459 -0.139  0.526 -0.035  0.588 0.065  0.588 0.192  0.638 0.297  0.698 0.399  0.698 0.525  0.698 0.652  0.761 0.752  0.808 0.859  0.808 0.986  0.808 1.112  0.808 1.238  0.896 1.329  0.919 1.446  0.919 1.572
3#app#app12#app1284/V  -0.547 1.178  -0.540 1.055  -0.424 1.043  -0.424 0.914  -0.424 0.785  -0.424 0.656  -0.424 0.527  -0.424 0.398  -0.424 0.269  -0.424 0.140  -0.424 0.012  -0.424 -0.117  -0.424 -0.246  -0.424 -0.375  -0.424 -0.504  -0.424 -0.633  -0.424 -0.762  -0.456 -0.886  -0.497 -1.008  -0.538 -1.130  -0.547 -1.258  -0.547 -1.387  -0.433 -1.402  -0.424 -1.283  -0.335 -1.190  -0.301 -1.076  -0.239 -0.972  -0.159 -0.873  -0.101 -0.758  -0.037 -0.647  0.054 -0.556  0.068 -0.433  0.119 -0.316  0.177 -0.201  0.260 -0.104  0.314 0.003  0.340 0.126  0.398 0.241  0.467 0.348  0.558 0.439  0.649 0.531  0.719 0.637  0.777 0.753  0.851 0.856  0.928 0.953  0.947 1.074  1.038 1.165  1.051 1.289  1.168 1.301  1.174 1.424
3#app#app12#app1284/W  -0.898 0.865  -0.851 0.973  -0.789 0.879  -0.789 0.723  -0.789 0.567  -0.789 0.412  -0.836 0.275  -0.898 0.145  -0.898 -0.010  -0.898 -0.166  -0.898 -0.322  -1.003 -0.434  -1.006 -0.588  -1.006 -0.744  -0.877 -0.742  -0.758 -0.654  -0.681 -0.575  -0.592 -0.456  -0.553 -0.328  -0.417 -0.281  -0.356 -0.151  -0.273 -0.029  -0.240 0.113  -0.139 0.201  -0.096 0.063  -0.030 -0.065  -0.030 -0.221  -0.030 -0.376  -0.030 -0.532  0.004 -0.654  0.078 -0.735  0.169 -0.853  0.311 -0.855  0.421 -0.745  0.531 -0.635  0.620 -0.516  0.674 -0.383  0.784 -0.273  0.837 -0.139  0.846 0.015  0.916 0.154  1.008 0.277  1.054 0.413  1.116 0.554  1.163 0.699  1.261 0.756  1.336 0.887  1.379 1.032  1.455 1.157  1.488 1.298
3#app#app12#app1284/X  -0.870 1.299  -0.818 1.117  -0.740 0.946  -0.623 0.792  -0.480 0.648  -0.447 0.452  -0.356 0.270  -0.308 0.086  -0.219 -0.081  -0.204 -0.278  -0.089 -0.433  -0.089 -0.637  0.041 -0.786  0.095 -0.967  0.171 -1.139  0.209 -1.304  0.316 -1.193  0.344 -0.992  0.371 -0.790  0.399 -0.589  0.426 -0.388  0.454 -0.186  0.481 0.015  0.508 0.217  0.536 0.418  0.563 0.619  0.591 0.821  0.618 1.022  0.646 1.224  0.673 1.425  0.692 1.491  0.684 1.291  0.561 1.139  0.488 0.966  0.345 0.822  0.301 0.637  0.241 0.458  0.171 0.284  0.129 0.107  -0.053 0.016  -0.089 -0.165  -0.164 -0.337  -0.308 -0.481  -0.414 -0.652  -0.519 -0.823  -0.663 -0.967  -0.807 -1.110  -0.870 -1.287  -0.927 -1.434  -1.000 -1.564
3#app#app12#app1284/Y  -0.444 1.108  -0.444 0.938  -0.421 0.791  -0.339 0.703  -0.339 0.533  -0.260 0.395  -0.233 0.236  -0.233 0.066  -0.233 -0.104  -0.152 -0.241  -0.127 -0.401  -0.034 -0.477  0.002 -0.325  0.078 -0.173  0.154 -0.020  0.230 0.132  0.306 0.284  0.382 0.436  0.458 0.589  0.535 0.741  0.611 0.893  0.687 1.045  0.763 1.197  0.824 1.285  0.824 1.115  0.718 1.050  0.702 0.896  0.612 0.816  0.507 0.751  0.507 0.581  0.401 0.516  0.379 0.368  0.257 0.291  0.190 0.137  0.130 -0.009  0.084 -0.160  -0.022 -0.225  -0.079 -0.381  -0.172 -0.522  -0.233 -0.666  -0.299 -0.821  -0.397 -0.958  -0.444 -1.108  -0.562 -1.229  -0.656 -1.361  -0.728 -1.501  -0.761 -1.658  -0.844 -1.745  -0.908 -1.851  -0.973 -1.957
3#app#app12#app1284/Z  -0.696 1.329  -0.576 1.307  -0.477 1.232  -0.348 1.232  -0.218 1.232  -0.088 1.232  0.041 1.232  0.085 1.146  0.203 1.134  0.317 1.097  0.409 1.006  0.476 0.904  0.409 0.841  0.378 0.742  0.355 0.622  0.281 0.524  0.241 0.410  0.149 0.319  0.057 0.227  -0.034 0.136  -0.126 0.044  -0.218 -0.048  -0.311 -0.135  -0.430 -0.162  -0.521 -0.254  -0.619 -0.331  -0.733 -0.368  -0.825 -0.460  -0.927 -0.526  -0.989 -0.594  -0.987 -0.721  -0.858 -0.721  -0.728 -0.721  -0.598 -0.721  -0.469 -0.721  -0.339 -0.721  -0.209 -0.721  -0.080 -0.721  0.050 -0.721  0.179 -0.721  0.309 -0.721  0.439 -0.721  0.568 -0.721  0.685 -0.777  0.804 -0.819  0.934 -0.819  1.064 -0.819  1.193 -0.819  1.323 -0.819  1.453 -0.819
