1d#app#app11#app1186/!  -0.197 1.781  -0.197 1.699  -0.197 1.616  -0.197 1.534  -0.197 1.452  -0.197 1.369  -0.197 1.287  -0.197 1.204  -0.197 1.122  -0.197 1.039  -0.197 0.957  -0.197 0.875  -0.183 0.798  -0.125 0.739  -0.089 0.672  -0.089 0.589  -0.089 0.507  -0.089 0.425  -0.089 0.342  -0.089 0.260  -0.089 0.177  -0.089 0.095  -0.045 0.056  0.019 0.074  0.019 0.156  0.025 0.089  0.031 0.007  0.038 -0.075  0.044 -0.158  0.050 -0.240  0.056 -0.322  0.063 -0.404  0.069 -0.486  0.075 -0.569  0.082 -0.651  0.088 -0.733  0.094 -0.815  0.101 -0.897  0.107 -0.980  0.113 -1.062  0.120 -1.144  0.126 -1.226  0.127 -1.309  0.127 -1.391  0.146 -1.454  0.229 -1.454  0.311 -1.454  0.343 -1.403  0.368 -1.346  0.451 -1.346
1d#app#app11#app1186/~  -1.579 -0.281  -1.462 -0.281  -1.365 -0.234  -1.282 -0.152  -1.245 -0.051  -1.231 0.052  -1.114 0.052  -1.079 0.133  -1.048 0.218  -0.931 0.218  -0.912 0.316  -0.878 0.419  -0.796 0.501  -0.700 0.551  -0.583 0.551  -0.579 0.664  -0.517 0.718  -0.412 0.706  -0.412 0.589  -0.333 0.551  -0.246 0.522  -0.246 0.406  -0.150 0.385  -0.079 0.339  -0.079 0.222  0.000 0.139  0.083 0.056  0.087 -0.058  0.147 -0.115  0.254 -0.125  0.254 -0.242  0.254 -0.358  0.281 -0.448  0.397 -0.448  0.420 -0.542  0.464 -0.615  0.581 -0.615  0.697 -0.615  0.814 -0.615  0.928 -0.607  1.010 -0.525  1.093 -0.442  1.175 -0.360  1.259 -0.281  1.376 -0.281  1.452 -0.217  1.505 -0.112  1.557 -0.008  1.587 0.102  1.587 0.218
1d#app#app11#app1186/  -1.512 0.306  -1.437 0.306  -1.363 0.306  -1.289 0.306  -1.215 0.306  -1.148 0.299  -1.148 0.225  -1.148 0.151  -1.148 0.076  -1.148 0.002  -1.133 -0.057  -1.059 -0.057  -0.985 -0.057  -0.911 -0.057  -0.836 -0.057  -0.762 -0.057  -0.688 -0.057  -0.614 -0.057  -0.540 -0.057  -0.465 -0.057  -0.391 -0.057  -0.317 -0.057  -0.243 -0.057  -0.168 -0.057  -0.094 -0.057  -0.020 -0.057  0.054 -0.057  0.128 -0.057  0.203 -0.057  0.277 -0.057  0.351 -0.057  0.425 -0.057  0.499 -0.057  0.574 -0.057  0.648 -0.057  0.722 -0.057  0.796 -0.057  0.870 -0.057  0.945 -0.057  1.019 -0.057  1.093 -0.057  1.167 -0.057  1.242 -0.057  1.316 -0.057  1.390 -0.057  1.464 -0.057  1.538 -0.057  1.613 -0.057  1.687 -0.057  1.761 -0.057
1d#app#app11#app1186/_  -1.431 -0.093  -1.431 -0.169  -1.431 -0.245  -1.370 -0.260  -1.294 -0.260  -1.263 -0.215  -1.263 -0.139  -1.234 -0.093  -1.158 -0.093  -1.082 -0.093  -1.006 -0.093  -0.930 -0.093  -0.854 -0.093  -0.778 -0.093  -0.762 -0.034  -0.762 0.042  -0.718 0.074  -0.642 0.074  -0.566 0.074  -0.490 0.074  -0.414 0.074  -0.339 0.074  -0.263 0.074  -0.187 0.074  -0.111 0.074  -0.035 0.074  0.041 0.074  0.117 0.074  0.193 0.074  0.269 0.074  0.345 0.074  0.420 0.074  0.496 0.074  0.572 0.074  0.648 0.074  0.724 0.074  0.800 0.074  0.876 0.074  0.952 0.074  1.028 0.074  1.104 0.074  1.180 0.074  1.255 0.074  1.331 0.074  1.407 0.074  1.476 0.043  1.544 0.009  1.611 -0.025  1.679 -0.059  1.747 -0.093
1d#app#app11#app1186/+  -0.249 1.629  -0.249 1.457  -0.249 1.284  -0.249 1.112  -0.249 0.939  -0.249 0.767  -0.249 0.594  -0.249 0.422  -0.162 0.285  -0.069 0.151  -0.069 -0.021  -0.069 -0.194  -0.069 -0.366  -0.069 -0.539  -0.069 -0.712  -0.069 -0.884  -0.069 -1.057  -0.069 -1.229  0.042 -1.356  0.064 -1.365  -0.042 -1.229  -0.148 -1.093  -0.253 -0.957  -0.359 -0.820  -0.465 -0.684  -0.571 -0.548  -0.677 -0.412  -0.783 -0.276  -0.889 -0.140  -0.995 -0.003  -1.101 0.133  -1.050 0.192  -0.877 0.192  -0.705 0.192  -0.532 0.192  -0.360 0.192  -0.187 0.192  -0.015 0.192  0.158 0.192  0.330 0.192  0.503 0.192  0.675 0.192  0.848 0.192  1.017 0.201  1.139 0.323  1.291 0.372  1.464 0.372  1.610 0.435  1.734 0.551  1.907 0.551
1d#app#app11#app1186/=  -0.986 0.754  -0.828 0.754  -0.670 0.754  -0.512 0.754  -0.354 0.754  -0.196 0.754  -0.038 0.754  0.120 0.754  0.279 0.754  0.437 0.754  0.593 0.759  0.704 0.871  0.818 0.979  0.976 0.979  1.134 0.979  1.239 0.960  1.117 0.860  0.994 0.760  0.872 0.660  0.749 0.560  0.627 0.460  0.505 0.360  0.382 0.259  0.260 0.159  0.138 0.059  0.015 -0.041  -0.107 -0.141  -0.229 -0.241  -0.352 -0.341  -0.474 -0.441  -0.596 -0.541  -0.719 -0.642  -0.841 -0.742  -0.963 -0.842  -1.086 -0.942  -1.208 -1.042  -1.056 -1.044  -0.898 -1.044  -0.746 -1.029  -0.635 -0.918  -0.517 -0.819  -0.359 -0.819  -0.201 -0.819  -0.043 -0.819  0.115 -0.819  0.234 -0.724  0.345 -0.612  0.496 -0.595  0.654 -0.595  0.812 -0.595
1d#app#app11#app1186/[  0.582 1.229  0.666 1.229  0.651 1.229  0.567 1.229  0.483 1.229  0.399 1.229  0.315 1.229  0.231 1.229  0.170 1.174  0.110 1.114  0.028 1.110  -0.043 1.080  -0.103 1.020  -0.131 0.948  -0.131 0.864  -0.131 0.780  -0.172 0.713  -0.232 0.653  -0.250 0.577  -0.250 0.493  -0.250 0.409  -0.250 0.325  -0.250 0.241  -0.250 0.156  -0.250 0.072  -0.250 -0.012  -0.250 -0.096  -0.250 -0.180  -0.250 -0.264  -0.250 -0.348  -0.250 -0.432  -0.250 -0.516  -0.250 -0.600  -0.250 -0.684  -0.250 -0.768  -0.250 -0.852  -0.250 -0.937  -0.250 -1.021  -0.197 -1.083  -0.137 -1.142  -0.131 -1.224  -0.091 -1.267  -0.007 -1.267  0.077 -1.267  0.161 -1.267  0.246 -1.267  0.330 -1.267  0.414 -1.267  0.498 -1.267  0.582 -1.267
1d#app#app11#app1186/]  -0.873 1.099  -0.776 1.099  -0.679 1.099  -0.582 1.099  -0.548 1.036  -0.497 0.991  -0.400 0.991  -0.303 0.991  -0.206 0.991  -0.109 0.991  -0.013 0.991  0.057 1.056  0.136 1.099  0.233 1.099  0.316 1.085  0.316 0.988  0.316 0.891  0.316 0.795  0.262 0.720  0.208 0.646  0.208 0.549  0.208 0.452  0.208 0.355  0.208 0.258  0.208 0.162  0.208 0.065  0.172 -0.017  0.104 -0.086  0.100 -0.181  0.100 -0.278  0.100 -0.374  0.100 -0.471  0.100 -0.568  0.125 -0.655  0.193 -0.723  0.208 -0.814  0.208 -0.910  0.208 -1.007  0.250 -1.062  0.316 -1.093  0.297 -1.170  0.202 -1.176  0.134 -1.244  0.051 -1.278  -0.035 -1.305  -0.103 -1.373  -0.195 -1.386  -0.272 -1.434  -0.344 -1.494  -0.440 -1.494
1d#app#app11#app1186/{  0.778 1.449  0.654 1.449  0.529 1.449  0.404 1.449  0.280 1.449  0.178 1.426  0.130 1.349  0.027 1.298  -0.022 1.194  -0.102 1.149  -0.122 1.044  -0.152 0.949  -0.222 0.895  -0.143 0.849  -0.122 0.746  -0.122 0.621  -0.122 0.496  -0.045 0.449  -0.022 0.347  -0.022 0.222  0.029 0.149  0.078 0.073  -0.022 0.048  -0.022 -0.076  -0.072 -0.151  -0.175 -0.204  -0.280 -0.251  -0.405 -0.251  -0.515 -0.251  -0.391 -0.251  -0.266 -0.251  -0.222 -0.332  -0.117 -0.351  -0.001 -0.373  0.078 -0.465  0.116 -0.552  0.178 -0.614  0.178 -0.739  0.078 -0.763  0.078 -0.888  0.017 -0.952  -0.022 -1.038  -0.100 -1.130  -0.122 -1.245  -0.122 -1.370  -0.122 -1.495  -0.074 -1.600  0.029 -1.652  0.153 -1.652  0.278 -1.652
1d#app#app11#app1186/}  -0.532 1.621  -0.425 1.608  -0.399 1.513  -0.317 1.475  -0.265 1.405  -0.209 1.341  -0.132 1.297  -0.101 1.208  0.001 1.190  0.014 1.082  0.114 1.061  0.148 0.974  0.222 0.928  0.222 0.807  0.222 0.687  0.222 0.566  0.222 0.446  0.113 0.433  0.028 0.348  0.007 0.236  -0.097 0.219  -0.110 0.112  -0.209 0.090  -0.209 -0.031  -0.161 -0.104  -0.101 -0.164  -0.028 -0.212  0.007 -0.298  0.105 -0.320  0.226 -0.320  0.347 -0.320  0.408 -0.320  0.330 -0.362  0.275 -0.427  0.222 -0.495  0.142 -0.535  0.114 -0.629  0.008 -0.643  -0.005 -0.751  -0.101 -0.775  -0.101 -0.896  -0.101 -1.016  -0.057 -1.118  0.007 -1.213  0.007 -1.333  0.007 -1.454  0.007 -1.575  0.007 -1.695  0.007 -1.816  -0.101 -1.829
1d#app#app11#app1186/\\  -0.915 1.258  -0.915 1.183  -0.915 1.107  -0.882 1.065  -0.806 1.065  -0.730 1.065  -0.722 0.998  -0.722 0.922  -0.697 0.872  -0.621 0.872  -0.545 0.872  -0.529 0.813  -0.529 0.737  -0.529 0.661  -0.529 0.586  -0.529 0.510  -0.483 0.463  -0.416 0.429  -0.348 0.395  -0.280 0.361  -0.213 0.327  -0.145 0.293  -0.110 0.227  -0.076 0.159  -0.042 0.092  -0.008 0.024  0.025 -0.044  0.064 -0.108  0.118 -0.161  0.171 -0.215  0.225 -0.268  0.278 -0.322  0.332 -0.375  0.385 -0.429  0.438 -0.483  0.472 -0.550  0.506 -0.618  0.540 -0.686  0.573 -0.753  0.607 -0.821  0.647 -0.884  0.701 -0.938  0.754 -0.991  0.808 -1.045  0.847 -1.108  0.881 -1.176  0.915 -1.244  0.949 -1.311  0.983 -1.379  1.017 -1.447
1d#app#app11#app1186/,  -0.828 1.358  -0.828 1.279  -0.828 1.201  -0.828 1.122  -0.828 1.043  -0.828 0.964  -0.828 0.885  -0.770 0.864  -0.691 0.864  -0.612 0.864  -0.533 0.864  -0.454 0.864  -0.375 0.864  -0.307 0.837  -0.252 0.782  -0.196 0.726  -0.140 0.670  -0.084 0.614  -0.028 0.558  0.027 0.503  0.083 0.447  0.139 0.391  0.160 0.321  0.160 0.242  0.160 0.163  0.160 0.084  0.160 0.005  0.160 -0.074  0.160 -0.153  0.160 -0.232  0.160 -0.311  0.160 -0.390  0.160 -0.469  0.160 -0.547  0.166 -0.624  0.222 -0.680  0.277 -0.735  0.333 -0.791  0.389 -0.847  0.445 -0.903  0.501 -0.959  0.556 -1.014  0.612 -1.070  0.654 -1.132  0.654 -1.211  0.654 -1.290  0.654 -1.369  0.654 -1.448  0.654 -1.527  0.654 -1.606
1d#app#app11#app1186/  0.356 1.418  0.356 1.341  0.356 1.264  0.356 1.187  0.387 1.141  0.464 1.141  0.541 1.141  0.618 1.141  0.588 1.097  0.534 1.043  0.479 0.988  0.425 0.934  0.370 0.879  0.356 0.808  0.356 0.731  0.356 0.654  0.356 0.577  0.356 0.500  0.356 0.423  0.356 0.346  0.326 0.282  0.271 0.227  0.217 0.173  0.162 0.118  0.108 0.064  0.054 0.010  -0.001 -0.045  -0.055 -0.099  -0.110 -0.154  -0.164 -0.208  -0.207 -0.270  -0.231 -0.343  -0.256 -0.416  -0.280 -0.489  -0.304 -0.562  -0.329 -0.635  -0.353 -0.708  -0.377 -0.781  -0.402 -0.854  -0.426 -0.927  -0.450 -1.000  -0.475 -1.073  -0.509 -1.142  -0.544 -1.211  -0.578 -1.280  -0.613 -1.349  -0.647 -1.418  -0.682 -1.486  -0.716 -1.555  -0.750 -1.624
1d#app#app11#app1186/?  -0.955 0.718  -0.818 0.718  -0.812 0.850  -0.686 0.861  -0.548 0.861  -0.526 0.976  -0.416 1.005  -0.279 1.005  -0.141 1.005  -0.004 1.005  0.134 1.005  0.190 0.924  0.266 0.861  0.403 0.861  0.477 0.797  0.535 0.718  0.673 0.718  0.763 0.671  0.805 0.575  0.906 0.539  0.906 0.402  0.882 0.289  0.744 0.289  0.620 0.275  0.613 0.145  0.475 0.145  0.338 0.145  0.239 0.051  0.129 -0.029  0.006 -0.090  -0.120 -0.141  -0.257 -0.141  -0.382 -0.153  -0.389 -0.284  -0.526 -0.285  -0.526 -0.423  -0.432 -0.521  -0.382 -0.638  -0.382 -0.776  -0.382 -0.913  -0.331 -1.000  -0.194 -1.000  -0.096 -1.040  -0.096 -1.177  -0.096 -1.315  -0.096 -1.452  -0.096 -1.590  -0.096 -1.727  -0.090 -1.859  0.047 -1.859
1d#app#app11#app1186/'  -1.116 1.027  -1.037 1.027  -0.957 1.027  -0.878 1.027  -0.799 1.027  -0.720 1.027  -0.640 1.027  -0.561 1.027  -0.482 1.027  -0.402 1.027  -0.323 1.027  -0.244 1.027  -0.236 0.956  -0.236 0.877  -0.236 0.797  -0.236 0.718  -0.236 0.639  -0.236 0.559  -0.236 0.480  -0.236 0.401  -0.236 0.322  -0.236 0.242  -0.236 0.163  -0.191 0.102  -0.135 0.046  -0.079 -0.010  -0.023 -0.066  0.033 -0.122  0.089 -0.178  0.145 -0.234  0.201 -0.290  0.257 -0.346  0.314 -0.402  0.370 -0.458  0.426 -0.515  0.482 -0.571  0.538 -0.627  0.594 -0.683  0.644 -0.741  0.644 -0.820  0.644 -0.900  0.644 -0.979  0.644 -1.058  0.644 -1.138  0.644 -1.217  0.644 -1.296  0.644 -1.375  0.644 -1.455  0.644 -1.534  0.644 -1.613
1d#app#app11#app1186/\"  -1.211 0.733  -1.211 0.589  -1.211 0.444  -1.114 0.396  -0.969 0.396  -0.874 0.346  -0.874 0.201  -0.874 0.057  -0.874 -0.088  -0.874 -0.233  -0.774 -0.277  -0.629 -0.277  -0.537 -0.331  -0.537 -0.475  -0.537 -0.620  -0.537 -0.765  -0.537 -0.910  -0.537 -1.055  -0.537 -1.200  -0.510 -1.239  -0.438 -1.113  -0.366 -0.988  -0.294 -0.862  -0.222 -0.736  -0.150 -0.611  -0.078 -0.485  -0.007 -0.359  0.065 -0.233  0.137 -0.108  0.209 0.018  0.281 0.144  0.353 0.270  0.425 0.395  0.496 0.521  0.568 0.647  0.640 0.773  0.712 0.898  0.784 1.024  0.810 0.979  0.810 0.834  0.854 0.733  0.999 0.733  1.144 0.733  1.147 0.592  1.147 0.447  1.147 0.302  1.147 0.157  1.147 0.012  1.147 -0.133  1.147 -0.277
1d#app#app11#app1186/<  0.479 0.695  0.479 0.829  0.479 0.962  0.479 1.096  0.522 1.187  0.656 1.187  0.660 1.187  0.526 1.187  0.479 1.100  0.479 0.966  0.371 0.941  0.237 0.941  0.141 0.849  0.046 0.754  -0.048 0.659  -0.143 0.565  -0.238 0.470  -0.363 0.448  -0.497 0.448  -0.631 0.448  -0.752 0.436  -0.752 0.302  -0.752 0.168  -0.752 0.034  -0.808 -0.044  -0.942 -0.044  -0.920 -0.044  -0.786 -0.044  -0.652 -0.044  -0.518 -0.044  -0.506 -0.165  -0.497 -0.290  -0.363 -0.290  -0.259 -0.321  -0.259 -0.454  -0.207 -0.536  -0.073 -0.536  -0.013 -0.610  -0.013 -0.744  0.054 -0.850  0.149 -0.945  0.244 -1.039  0.338 -1.134  0.433 -1.229  0.548 -1.275  0.682 -1.275  0.725 -1.365  0.725 -1.499  0.837 -1.521  0.971 -1.521
1d#app#app11#app1186/|  -0.134 1.682  -0.134 1.612  -0.134 1.542  -0.134 1.472  -0.134 1.402  -0.134 1.332  -0.134 1.262  -0.134 1.192  -0.111 1.128  -0.080 1.065  -0.048 1.003  -0.017 0.940  0.014 0.878  0.035 0.813  0.035 0.743  0.035 0.673  0.035 0.603  0.035 0.533  0.035 0.463  0.035 0.393  0.035 0.323  0.035 0.253  0.035 0.183  0.035 0.113  0.035 0.043  0.035 -0.027  0.035 -0.097  0.035 -0.166  0.035 -0.236  0.035 -0.306  0.035 -0.376  0.035 -0.446  0.035 -0.516  0.035 -0.586  0.035 -0.656  0.035 -0.726  0.035 -0.796  0.035 -0.866  0.035 -0.936  0.035 -1.006  0.035 -1.076  0.035 -1.146  0.035 -1.215  0.035 -1.285  0.035 -1.355  0.035 -1.425  0.035 -1.495  0.035 -1.565  0.035 -1.635  0.035 -1.705
1d#app#app11#app1186/>  -1.204 1.172  -1.204 1.076  -1.204 0.980  -1.180 0.907  -1.083 0.907  -0.987 0.907  -0.939 0.859  -0.939 0.763  -0.939 0.666  -0.866 0.642  -0.770 0.642  -0.674 0.642  -0.674 0.545  -0.674 0.449  -0.649 0.378  -0.553 0.378  -0.457 0.378  -0.409 0.328  -0.409 0.232  -0.409 0.136  -0.336 0.113  -0.240 0.113  -0.144 0.111  -0.144 0.015  -0.144 -0.081  -0.119 -0.152  -0.023 -0.152  0.074 -0.152  0.170 -0.152  0.267 -0.152  0.363 -0.152  0.438 -0.205  0.506 -0.273  0.574 -0.341  0.642 -0.409  0.735 -0.417  0.832 -0.417  0.915 -0.430  0.915 -0.526  0.915 -0.623  0.952 -0.682  1.049 -0.682  1.145 -0.682  1.137 -0.725  1.069 -0.794  1.001 -0.862  0.932 -0.930  0.915 -1.019  0.915 -1.116  0.915 -1.212
