3#app#app25#app2553/A  -1.343 -1.151  -1.144 -1.120  -1.101 -0.908  -0.945 -0.742  -0.945 -0.512  -0.873 -0.353  -0.745 -0.251  -0.651 -0.060  -0.489 0.103  -0.326 0.266  -0.163 0.429  -0.000 0.591  0.053 0.800  0.184 0.975  0.347 1.138  0.452 1.325  0.452 1.555  0.595 1.642  0.651 1.468  0.651 1.237  0.651 1.007  0.651 0.777  0.651 0.547  0.651 0.316  0.651 0.086  0.461 0.046  0.452 -0.175  0.452 -0.405  0.452 -0.635  0.452 -0.865  0.452 -1.096  0.452 -1.326  0.448 -1.545  0.310 -1.361  0.172 -1.177  0.034 -0.992  -0.104 -0.808  -0.242 -0.624  -0.381 -0.440  -0.519 -0.256  -0.657 -0.071  -0.670 0.083  -0.465 0.186  -0.346 0.343  -0.255 0.354  -0.070 0.246  0.160 0.246  0.390 0.246  0.452 0.414  0.651 0.445
3#app#app25#app2553/L  0.689 1.691  0.616 1.619  0.544 1.547  0.520 1.455  0.519 1.354  0.417 1.354  0.352 1.317  0.352 1.216  0.352 1.114  0.346 1.017  0.244 1.017  0.183 0.976  0.183 0.874  0.129 0.795  0.057 0.723  0.015 0.638  0.015 0.537  0.015 0.435  0.015 0.333  0.015 0.231  -0.031 0.176  -0.133 0.176  -0.153 0.094  -0.153 -0.008  -0.153 -0.110  -0.189 -0.197  -0.261 -0.269  -0.322 -0.346  -0.322 -0.448  -0.374 -0.498  -0.476 -0.498  -0.490 -0.585  -0.505 -0.681  -0.577 -0.753  -0.649 -0.825  -0.658 -0.923  -0.636 -1.003  -0.534 -1.003  -0.432 -1.003  -0.330 -1.003  -0.229 -1.003  -0.127 -1.003  -0.025 -1.003  0.077 -1.003  0.179 -1.003  0.281 -1.003  0.352 -1.034  0.352 -1.136  0.418 -1.171  0.520 -1.171
3#app#app25#app2553/M  -0.294 1.161  -0.423 1.022  -0.529 0.798  -0.552 0.539  -0.680 0.324  -0.809 0.109  -0.924 -0.112  -1.023 -0.339  -1.066 -0.590  -1.129 -0.832  -1.162 -0.736  -1.066 -0.508  -0.938 -0.368  -0.912 -0.126  -0.809 0.040  -0.809 0.308  -0.680 0.448  -0.680 0.716  -0.600 0.904  -0.552 0.866  -0.321 0.904  -0.214 0.696  -0.294 0.576  -0.294 0.308  -0.165 0.169  -0.062 0.003  -0.037 -0.239  -0.037 -0.508  0.092 -0.647  0.110 -0.898  0.221 -0.998  0.221 -0.987  0.271 -0.769  0.349 -0.579  0.422 -0.383  0.478 -0.171  0.607 -0.032  0.736 0.183  0.864 0.398  0.993 0.538  1.024 0.775  1.250 0.734  1.250 0.465  1.187 0.261  1.122 0.058  1.122 -0.211  1.122 -0.479  1.122 -0.747  1.250 -0.887  1.250 -1.155
3#app#app25#app2553/N  -0.997 -1.411  -0.997 -1.237  -0.997 -1.064  -0.929 -0.958  -0.846 -0.867  -0.846 -0.694  -0.846 -0.520  -0.841 -0.348  -0.718 -0.225  -0.694 -0.061  -0.579 0.065  -0.543 0.224  -0.543 0.398  -0.531 0.567  -0.408 0.690  -0.392 0.857  -0.392 1.030  -0.347 1.160  -0.241 1.092  -0.241 0.919  -0.241 0.745  -0.241 0.571  -0.241 0.397  -0.241 0.223  -0.241 0.050  -0.241 -0.124  -0.144 -0.201  -0.090 -0.321  -0.090 -0.494  -0.090 -0.668  -0.090 -0.842  -0.031 -0.958  0.142 -0.958  0.286 -0.885  0.364 -0.743  0.425 -0.594  0.548 -0.472  0.667 -0.347  0.695 -0.201  0.818 -0.151  0.870 0.002  0.969 0.134  0.969 0.308  1.024 0.459  1.120 0.593  1.120 0.767  1.120 0.941  1.226 1.008  1.271 1.137  1.271 1.008
3#app#app25#app2553/O  0.588 0.823  0.445 0.895  0.301 0.966  0.272 0.853  0.142 0.823  0.021 0.729  -0.113 0.665  -0.252 0.614  -0.368 0.507  -0.529 0.507  -0.676 0.494  -0.691 0.349  -0.846 0.336  -0.960 0.223  -0.992 0.076  -1.075 -0.050  -1.150 -0.179  -1.150 -0.340  -1.150 -0.500  -1.150 -0.660  -1.150 -0.821  -1.084 -0.915  -0.924 -0.915  -0.763 -0.915  -0.603 -0.915  -0.443 -0.915  -0.282 -0.915  -0.122 -0.915  0.038 -0.915  0.199 -0.915  0.272 -0.828  0.361 -0.757  0.430 -0.666  0.524 -0.599  0.656 -0.531  0.746 -0.408  0.782 -0.283  0.904 -0.246  0.904 -0.085  0.934 0.063  1.048 0.176  1.062 0.330  1.062 0.491  1.062 0.651  0.916 0.665  0.756 0.665  0.746 0.816  0.593 0.823  0.433 0.823  0.272 0.823
3#app#app25#app2553/P  0.141 1.074  0.141 0.875  0.108 0.689  -0.033 0.548  -0.035 0.349  -0.066 0.162  -0.207 0.021  -0.223 -0.172  -0.365 -0.313  -0.388 -0.503  -0.401 -0.689  -0.564 -0.726  -0.564 -0.926  -0.648 -1.042  -0.741 -1.149  -0.741 -1.348  -0.741 -1.548  -0.917 -1.571  -0.733 -1.549  -0.670 -1.359  -0.607 -1.170  -0.544 -0.980  -0.481 -0.791  -0.417 -0.602  -0.354 -0.412  -0.291 -0.223  -0.228 -0.033  -0.165 0.156  -0.102 0.345  -0.039 0.535  0.024 0.724  0.088 0.913  0.171 1.074  0.318 1.128  0.394 1.251  0.594 1.251  0.793 1.251  0.847 1.104  1.016 1.074  1.023 0.881  1.023 0.682  1.023 0.482  0.962 0.308  0.810 0.193  0.610 0.193  0.494 0.109  0.387 0.016  0.188 0.016  0.141 -0.137  -0.035 -0.160
3#app#app25#app2553/Q  0.073 1.022  -0.130 0.983  -0.285 0.828  -0.440 0.673  -0.595 0.519  -0.750 0.366  -0.911 0.308  -0.911 0.089  -1.030 -0.081  -1.074 -0.282  -1.074 -0.501  -0.972 -0.617  -0.911 -0.775  -0.698 -0.781  -0.479 -0.781  -0.260 -0.781  -0.041 -0.781  0.073 -0.676  0.233 -0.617  0.389 -0.465  0.592 -0.426  0.728 -0.263  0.809 -0.125  0.989 -0.029  1.056 0.162  1.056 0.381  1.056 0.600  1.056 0.819  1.056 1.038  0.986 1.186  0.767 1.186  0.548 1.186  0.401 1.114  0.273 1.022  0.218 0.858  -0.001 0.858  -0.091 0.730  -0.149 0.520  -0.218 0.312  -0.288 0.105  -0.357 -0.103  -0.419 -0.312  -0.419 -0.531  -0.325 -0.711  -0.170 -0.866  -0.091 -1.052  0.072 -1.109  0.073 -1.326  0.182 -1.437  0.401 -1.437
3#app#app25#app2553/R  0.169 0.818  0.117 0.582  -0.015 0.379  -0.160 0.268  -0.381 0.232  -0.381 -0.025  -0.511 -0.229  -0.693 -0.411  -0.748 -0.645  -0.797 -0.882  -0.931 -1.083  -1.072 -1.199  -1.102 -1.354  -1.001 -1.117  -0.900 -0.881  -0.798 -0.645  -0.697 -0.408  -0.596 -0.172  -0.495 0.064  -0.393 0.301  -0.292 0.537  -0.191 0.773  -0.089 1.010  0.053 1.184  0.310 1.184  0.567 1.184  0.719 1.290  0.898 1.368  1.086 1.298  1.086 1.041  1.086 0.784  1.010 0.558  0.902 0.346  0.723 0.268  0.649 0.084  0.392 0.084  0.135 0.084  -0.122 0.084  -0.198 -0.097  -0.310 -0.099  -0.053 -0.099  0.021 0.084  0.246 0.007  0.352 -0.207  0.352 -0.464  0.352 -0.721  0.352 -0.978  0.352 -1.235  0.462 -1.383  0.536 -1.566
3#app#app25#app2553/S  1.143 0.537  1.083 0.658  1.022 0.779  0.908 0.812  0.868 0.907  0.776 0.950  0.641 0.950  0.506 0.950  0.455 1.034  0.373 1.088  0.238 1.088  0.103 1.088  -0.032 1.088  -0.167 1.088  -0.234 1.019  -0.300 0.950  -0.372 0.887  -0.432 0.812  -0.510 0.754  -0.510 0.619  -0.510 0.484  -0.510 0.349  -0.510 0.214  -0.465 0.124  -0.330 0.124  -0.234 0.084  -0.197 -0.014  -0.096 -0.048  -0.065 -0.152  0.041 -0.181  0.068 -0.289  0.179 -0.313  0.179 -0.448  0.179 -0.583  0.179 -0.718  0.192 -0.840  0.317 -0.851  0.311 -0.984  0.216 -1.079  0.096 -1.116  0.041 -1.197  -0.037 -1.254  -0.172 -1.254  -0.307 -1.254  -0.442 -1.254  -0.577 -1.254  -0.647 -1.189  -0.710 -1.116  -0.827 -1.074  -0.923 -0.978
3#app#app25#app2553/T  0.157 0.351  0.157 0.216  0.063 0.120  0.020 0.002  0.020 -0.133  -0.030 -0.247  -0.117 -0.346  -0.117 -0.482  -0.117 -0.617  -0.121 -0.750  -0.217 -0.846  -0.254 -0.966  -0.334 -1.021  -0.392 -1.099  -0.467 -1.158  -0.529 -1.232  -0.600 -1.296  -0.661 -1.226  -0.652 -1.091  -0.642 -0.956  -0.632 -0.822  -0.623 -0.687  -0.613 -0.552  -0.603 -0.417  -0.594 -0.282  -0.584 -0.147  -0.574 -0.012  -0.565 0.123  -0.555 0.257  -0.546 0.392  -0.536 0.527  -0.529 0.662  -0.495 0.763  -0.359 0.763  -0.224 0.763  -0.089 0.763  0.046 0.763  0.182 0.763  0.317 0.763  0.452 0.763  0.587 0.763  0.722 0.763  0.858 0.763  0.993 0.763  1.128 0.763  1.263 0.763  1.399 0.763  1.534 0.763  1.669 0.763  1.804 0.763
3#app#app25#app2553/U  0.406 1.366  0.245 1.527  0.083 1.395  0.043 1.190  -0.166 1.145  -0.297 0.971  -0.392 0.838  -0.473 0.691  -0.614 0.522  -0.652 0.311  -0.825 0.256  -0.932 0.135  -1.001 -0.025  -1.176 -0.077  -1.265 -0.216  -1.352 -0.357  -1.340 -0.580  -1.179 -0.741  -0.952 -0.744  -0.724 -0.744  -0.496 -0.744  -0.328 -0.599  -0.115 -0.562  0.046 -0.401  0.095 -0.216  0.296 -0.151  0.478 -0.041  0.670 0.047  0.861 0.135  0.933 0.291  1.109 0.343  1.109 0.571  1.246 0.662  1.272 0.487  1.063 0.440  0.888 0.311  0.660 0.311  0.582 0.162  0.388 0.117  0.230 -0.046  0.173 -0.216  0.054 -0.326  0.054 -0.554  -0.122 -0.606  -0.122 -0.834  -0.122 -1.062  0.073 -1.095  0.301 -1.095  0.529 -1.095  0.757 -1.095
3#app#app25#app2553/V  -0.404 1.306  -0.404 1.179  -0.404 1.051  -0.404 0.924  -0.483 0.829  -0.573 0.738  -0.604 0.624  -0.604 0.496  -0.604 0.369  -0.604 0.241  -0.604 0.114  -0.604 -0.014  -0.604 -0.141  -0.604 -0.269  -0.604 -0.396  -0.628 -0.514  -0.718 -0.604  -0.803 -0.696  -0.803 -0.824  -0.803 -0.951  -0.803 -1.079  -0.685 -1.088  -0.558 -1.088  -0.430 -1.088  -0.332 -1.016  -0.242 -0.926  -0.205 -0.814  -0.202 -0.689  -0.075 -0.689  0.036 -0.648  0.126 -0.558  0.194 -0.459  0.194 -0.331  0.281 -0.290  0.404 -0.280  0.494 -0.190  0.584 -0.100  0.674 -0.010  0.764 0.081  0.793 0.196  0.804 0.319  0.894 0.409  0.984 0.500  0.992 0.624  1.023 0.738  1.113 0.829  1.192 0.924  1.192 1.051  1.264 1.107  1.391 1.107
3#app#app25#app2553/W  -1.076 0.899  -1.076 1.016  -1.076 0.829  -1.076 0.643  -1.076 0.456  -1.076 0.269  -1.076 0.082  -1.076 -0.105  -1.076 -0.292  -1.076 -0.479  -1.076 -0.665  -1.076 -0.852  -0.959 -0.922  -0.772 -0.922  -0.737 -0.770  -0.621 -0.700  -0.546 -0.544  -0.469 -0.389  -0.389 -0.235  -0.257 -0.103  -0.165 0.046  -0.165 0.232  -0.038 0.292  -0.003 0.444  0.138 0.489  0.219 0.596  0.290 0.711  0.441 0.748  0.442 0.562  0.442 0.375  0.338 0.292  0.290 0.153  0.290 -0.033  0.290 -0.220  0.290 -0.407  0.290 -0.594  0.301 -0.770  0.474 -0.738  0.594 -0.601  0.647 -0.467  0.746 -0.379  0.746 -0.192  0.902 -0.159  1.034 -0.027  1.166 0.105  1.298 0.238  1.430 0.370  1.505 0.526  1.621 0.596  1.808 0.596
3#app#app25#app2553/X  -0.312 1.729  -0.312 1.527  -0.312 1.326  -0.312 1.124  -0.302 0.927  -0.159 0.785  -0.114 0.602  -0.114 0.400  -0.114 0.199  -0.114 -0.003  0.038 -0.052  0.084 -0.208  0.084 -0.409  0.199 -0.563  0.282 -0.730  0.371 -0.843  0.479 -0.936  0.479 -1.137  0.479 -1.139  0.498 -0.939  0.534 -0.741  0.570 -0.542  0.606 -0.344  0.642 -0.146  0.678 0.052  0.714 0.251  0.750 0.449  0.786 0.647  0.822 0.845  0.858 1.044  0.799 1.059  0.656 0.916  0.514 0.774  0.371 0.631  0.282 0.467  0.226 0.288  0.083 0.146  -0.114 0.142  -0.122 -0.052  -0.320 -0.060  -0.462 -0.202  -0.605 -0.345  -0.764 -0.447  -0.948 -0.490  -1.090 -0.632  -1.103 -0.828  -1.290 -0.843  -1.301 -1.033  -1.301 -1.235  -1.301 -1.436
3#app#app25#app2553/Y  -0.079 0.977  -0.090 1.136  -0.221 1.005  -0.249 0.832  -0.249 0.647  -0.419 0.631  -0.419 0.446  -0.456 0.299  -0.641 0.299  -0.758 0.231  -0.758 0.046  -0.758 -0.139  -0.644 -0.210  -0.459 -0.210  -0.274 -0.210  -0.089 -0.210  0.094 -0.206  0.225 -0.076  0.395 -0.041  0.536 0.066  0.667 0.197  0.810 0.299  0.938 0.355  1.010 0.468  1.108 0.555  1.108 0.740  1.225 0.807  1.371 0.713  1.378 0.600  1.216 0.512  1.054 0.423  0.891 0.335  0.729 0.246  0.567 0.158  0.404 0.069  0.242 -0.019  0.080 -0.108  -0.083 -0.197  -0.245 -0.285  -0.407 -0.374  -0.420 -0.551  -0.551 -0.682  -0.721 -0.719  -0.862 -0.824  -0.927 -0.982  -0.927 -1.166  -1.051 -1.228  -1.097 -1.367  -1.097 -1.552  -1.097 -1.737
3#app#app25#app2553/Z  -0.624 1.165  -0.379 1.264  -0.133 1.362  0.112 1.460  0.358 1.558  0.407 1.323  0.564 1.124  0.564 0.860  0.564 0.595  0.394 0.401  0.207 0.214  -0.038 0.167  -0.224 -0.019  -0.487 -0.023  -0.624 -0.151  -0.818 -0.221  -1.082 -0.221  -1.309 -0.312  -1.417 -0.532  -1.238 -0.617  -0.973 -0.617  -0.709 -0.617  -0.445 -0.617  -0.378 -0.815  -0.114 -0.815  0.151 -0.815  0.415 -0.815  0.679 -0.815  0.944 -0.815  1.159 -0.865  1.057 -0.958  0.825 -0.831  0.593 -0.705  0.361 -0.578  0.128 -0.452  -0.104 -0.325  -0.336 -0.198  -0.568 -0.072  -0.800 0.055  -1.007 0.175  -0.743 0.175  -0.478 0.175  -0.214 0.175  0.050 0.175  0.315 0.175  0.579 0.175  0.844 0.175  1.108 0.175  1.310 0.326  1.555 0.373
