3#apb#apb18#app1828/H  -0.638 1.466  -0.676 1.251  -0.689 1.033  -0.700 0.815  -0.705 0.597  -0.697 0.379  -0.690 0.160  -0.706 -0.058  -0.722 -0.275  -0.724 -0.494  -0.725 -0.712  -0.747 -0.929  -0.735 -1.144  -0.659 -1.162  -0.558 -0.969  -0.457 -0.775  -0.356 -0.582  -0.255 -0.388  -0.154 -0.194  -0.053 -0.001  0.048 0.193  0.149 0.386  0.250 0.580  0.351 0.774  0.452 0.967  0.553 1.161  0.654 1.355  0.747 1.483  0.798 1.271  0.860 1.062  0.912 0.850  0.951 0.635  0.963 0.418  0.963 0.199  0.944 -0.017  0.898 -0.231  0.845 -0.442  0.751 -0.639  0.656 -0.835  0.558 -1.031  0.380 -0.965  0.245 -0.795  0.134 -0.607  0.011 -0.427  -0.144 -0.302  -0.354 -0.327  -0.541 -0.429  -0.600 -0.636  -0.496 -0.793  -0.294 -0.876
3#apb#apb18#app1828/n  -0.071 1.358  -0.048 1.195  -0.091 1.021  -0.126 0.844  -0.159 0.667  -0.197 0.492  -0.260 0.323  -0.323 0.155  -0.387 -0.014  -0.461 -0.177  -0.539 -0.339  -0.617 -0.502  -0.690 -0.666  -0.760 -0.832  -0.830 -0.997  -0.920 -1.153  -1.008 -1.230  -0.982 -1.055  -0.920 -0.886  -0.858 -0.717  -0.765 -0.564  -0.664 -0.415  -0.563 -0.266  -0.462 -0.118  -0.362 0.032  -0.262 0.182  -0.162 0.331  -0.063 0.481  0.037 0.631  0.148 0.772  0.265 0.909  0.381 1.046  0.513 1.160  0.686 1.207  0.807 1.104  0.913 0.959  0.920 0.779  0.927 0.599  0.934 0.419  0.907 0.243  0.868 0.067  0.829 -0.109  0.786 -0.283  0.721 -0.451  0.657 -0.619  0.592 -0.787  0.521 -0.952  0.445 -1.115  0.370 -1.278  0.327 -1.453
3#apb#apb18#app1828/e  -0.720 0.523  -0.720 0.366  -0.760 0.203  -0.745 0.039  -0.644 -0.050  -0.476 -0.050  -0.308 -0.050  -0.139 -0.050  0.026 -0.029  0.187 0.020  0.343 0.079  0.491 0.160  0.617 0.264  0.705 0.407  0.793 0.551  0.831 0.715  0.869 0.879  0.859 1.046  0.846 1.214  0.768 1.362  0.630 1.386  0.474 1.333  0.341 1.229  0.209 1.125  0.101 1.000  0.018 0.854  -0.065 0.707  -0.148 0.561  -0.232 0.415  -0.319 0.270  -0.405 0.126  -0.492 -0.018  -0.575 -0.164  -0.658 -0.311  -0.741 -0.458  -0.789 -0.619  -0.835 -0.781  -0.818 -0.942  -0.763 -1.097  -0.604 -1.154  -0.444 -1.203  -0.277 -1.222  -0.110 -1.242  0.055 -1.226  0.219 -1.185  0.382 -1.144  0.538 -1.086  0.684 -1.001  0.830 -0.917  0.975 -0.833
3#apb#apb18#app1828/a  0.460 0.214  0.547 0.387  0.594 0.572  0.618 0.764  0.576 0.946  0.496 1.122  0.418 1.299  0.308 1.458  0.148 1.549  -0.032 1.493  -0.154 1.347  -0.263 1.187  -0.353 1.018  -0.416 0.835  -0.480 0.652  -0.543 0.470  -0.616 0.290  -0.689 0.111  -0.762 -0.068  -0.826 -0.250  -0.879 -0.436  -0.933 -0.622  -0.998 -0.804  -1.063 -0.985  -0.989 -1.144  -0.797 -1.141  -0.623 -1.055  -0.450 -0.968  -0.289 -0.866  -0.155 -0.726  -0.022 -0.586  0.112 -0.446  0.239 -0.301  0.365 -0.153  0.490 -0.006  0.602 0.151  0.700 0.317  0.800 0.483  0.830 0.453  0.750 0.277  0.658 0.107  0.565 -0.063  0.480 -0.236  0.407 -0.415  0.333 -0.594  0.256 -0.771  0.174 -0.947  0.111 -1.128  0.096 -1.314  0.198 -1.478
3#apb#apb18#app1828/u  -1.165 0.404  -1.073 0.543  -0.980 0.682  -0.899 0.828  -0.776 0.899  -0.776 0.732  -0.797 0.567  -0.826 0.403  -0.856 0.238  -0.888 0.074  -0.921 -0.089  -0.953 -0.253  -0.988 -0.417  -1.023 -0.580  -1.028 -0.746  -0.941 -0.867  -0.788 -0.875  -0.626 -0.834  -0.477 -0.768  -0.351 -0.658  -0.225 -0.549  -0.099 -0.439  0.023 -0.325  0.128 -0.195  0.233 -0.065  0.338 0.064  0.443 0.194  0.534 0.334  0.618 0.478  0.701 0.623  0.785 0.768  0.826 0.924  0.826 1.091  0.773 1.076  0.683 0.936  0.593 0.795  0.503 0.654  0.521 0.525  0.607 0.386  0.667 0.230  0.705 0.069  0.729 -0.097  0.754 -0.262  0.757 -0.429  0.757 -0.596  0.757 -0.763  0.771 -0.929  0.791 -1.095  0.809 -1.261  0.826 -1.427
3#apb#apb18#app1828/R  -0.684 -1.292  -0.696 -1.142  -0.704 -0.991  -0.693 -0.840  -0.680 -0.689  -0.659 -0.540  -0.637 -0.390  -0.606 -0.242  -0.560 -0.098  -0.509 0.044  -0.447 0.182  -0.379 0.317  -0.302 0.448  -0.211 0.569  -0.116 0.686  -0.018 0.802  0.086 0.912  0.190 1.021  0.297 1.129  0.406 1.234  0.529 1.323  0.658 1.397  0.801 1.414  0.889 1.305  0.885 1.162  0.835 1.019  0.776 0.880  0.715 0.741  0.629 0.618  0.538 0.497  0.436 0.385  0.327 0.281  0.188 0.231  0.042 0.259  -0.050 0.187  -0.090 0.041  -0.129 -0.105  -0.156 -0.254  -0.183 -0.403  -0.207 -0.552  -0.226 -0.702  -0.244 -0.853  -0.252 -1.004  -0.252 -1.155  -0.223 -1.300  -0.137 -1.400  0.014 -1.400  0.144 -1.328  0.270 -1.244  0.396 -1.160
3#apb#apb18#app1828/o  0.148 0.283  0.193 0.429  0.238 0.575  0.282 0.720  0.327 0.866  0.370 1.012  0.402 1.161  0.434 1.311  0.390 1.444  0.275 1.345  0.167 1.238  0.072 1.119  -0.022 0.999  -0.117 0.879  -0.208 0.758  -0.270 0.618  -0.331 0.479  -0.393 0.339  -0.454 0.200  -0.514 0.060  -0.570 -0.082  -0.625 -0.224  -0.681 -0.366  -0.736 -0.508  -0.776 -0.655  -0.813 -0.803  -0.850 -0.951  -0.823 -1.101  -0.784 -1.246  -0.685 -1.361  -0.560 -1.406  -0.409 -1.381  -0.266 -1.338  -0.134 -1.261  -0.003 -1.183  0.129 -1.106  0.210 -0.980  0.282 -0.846  0.355 -0.712  0.428 -0.578  0.500 -0.444  0.538 -0.296  0.576 -0.149  0.614 -0.001  0.653 0.147  0.688 0.295  0.688 0.447  0.688 0.600  0.688 0.752  0.688 0.904
3#apb#apb18#app1828/c  0.796 0.673  0.752 0.761  0.716 0.851  0.693 0.947  0.647 1.028  0.573 1.092  0.501 1.158  0.438 1.234  0.365 1.293  0.269 1.297  0.172 1.283  0.116 1.206  0.064 1.123  0.012 1.040  -0.040 0.957  -0.087 0.871  -0.126 0.781  -0.166 0.692  -0.205 0.602  -0.244 0.512  -0.284 0.423  -0.323 0.333  -0.353 0.240  -0.382 0.146  -0.410 0.052  -0.439 -0.042  -0.468 -0.136  -0.495 -0.230  -0.516 -0.325  -0.538 -0.421  -0.559 -0.517  -0.580 -0.612  -0.575 -0.709  -0.560 -0.806  -0.545 -0.903  -0.497 -0.981  -0.423 -1.046  -0.350 -1.111  -0.260 -1.138  -0.162 -1.149  -0.065 -1.160  0.033 -1.171  0.127 -1.162  0.216 -1.121  0.305 -1.079  0.394 -1.038  0.482 -0.997  0.571 -0.956  0.660 -0.914  0.749 -0.873
3#apb#apb18#app1828/k  0.119 2.054  0.186 2.030  0.122 1.846  0.059 1.662  -0.014 1.482  -0.088 1.301  -0.162 1.121  -0.235 0.941  -0.302 0.758  -0.368 0.575  -0.434 0.392  -0.500 0.209  -0.563 0.025  -0.624 -0.160  -0.686 -0.345  -0.747 -0.529  -0.809 -0.714  -0.867 -0.899  -0.880 -1.093  -0.753 -1.034  -0.595 -0.920  -0.438 -0.806  -0.280 -0.692  -0.123 -0.577  0.035 -0.463  0.193 -0.349  0.350 -0.235  0.508 -0.120  0.665 -0.006  0.823 0.108  0.981 0.222  0.997 0.195  0.828 0.111  0.639 0.099  0.456 0.155  0.307 0.271  0.215 0.443  0.172 0.570  0.109 0.387  0.072 0.195  0.038 0.004  0.031 -0.190  0.024 -0.385  0.036 -0.579  0.052 -0.773  0.086 -0.964  0.135 -1.151  0.245 -1.311  0.398 -1.409  0.588 -1.451
3#apb#apb18#app1828/M  -0.456 1.052  -0.501 0.809  -0.561 0.571  -0.648 0.339  -0.735 0.108  -0.821 -0.124  -0.907 -0.355  -1.013 -0.578  -1.130 -0.795  -1.222 -1.025  -1.281 -1.057  -1.183 -0.831  -1.054 -0.620  -0.925 -0.409  -0.782 -0.208  -0.637 -0.007  -0.493 0.193  -0.349 0.394  -0.206 0.595  -0.061 0.796  0.087 0.993  0.251 1.176  0.288 0.993  0.226 0.754  0.140 0.523  0.052 0.292  -0.039 0.062  -0.131 -0.167  -0.228 -0.394  -0.332 -0.618  -0.385 -0.842  -0.188 -0.698  -0.005 -0.532  0.162 -0.351  0.329 -0.168  0.493 0.016  0.656 0.203  0.810 0.395  0.964 0.588  1.144 0.757  1.345 0.865  1.345 0.636  1.290 0.397  1.206 0.164  1.121 -0.068  1.034 -0.299  0.947 -0.530  0.862 -0.762  0.777 -0.994  0.748 -1.238
3#apb#apb18#app1828/i  -0.039 -0.033  0.045 0.051  0.129 0.135  0.203 0.161  0.211 0.051  0.178 -0.063  0.146 -0.177  0.113 -0.291  0.063 -0.398  0.007 -0.503  -0.049 -0.607  -0.105 -0.712  -0.161 -0.816  -0.218 -0.920  -0.278 -1.022  -0.339 -1.124  -0.399 -1.226  -0.460 -1.328  -0.520 -1.430  -0.503 -1.360  -0.466 -1.247  -0.429 -1.135  -0.393 -1.022  -0.356 -0.909  -0.319 -0.797  -0.283 -0.684  -0.246 -0.571  -0.209 -0.458  -0.173 -0.346  -0.136 -0.233  -0.099 -0.120  -0.063 -0.007  -0.026 0.105  0.011 0.218  0.048 0.331  0.084 0.443  0.121 0.556  0.158 0.669  0.194 0.782  0.231 0.894  0.268 1.007  0.304 1.120  0.341 1.233  0.378 1.345  0.414 1.458  0.451 1.571  0.488 1.684  0.524 1.796  0.561 1.909  0.598 2.022
3#apb#apb18#app1828/a  0.376 -0.285  0.407 -0.125  0.457 0.049  0.516 0.220  0.582 0.389  0.648 0.558  0.716 0.726  0.784 0.894  0.853 1.062  0.896 1.236  0.917 1.416  0.856 1.509  0.700 1.429  0.565 1.308  0.430 1.187  0.298 1.062  0.170 0.934  0.042 0.806  -0.086 0.678  -0.210 0.545  -0.323 0.404  -0.436 0.262  -0.550 0.121  -0.663 -0.021  -0.766 -0.170  -0.869 -0.319  -0.972 -0.468  -1.071 -0.620  -1.164 -0.776  -1.212 -0.944  -1.149 -1.099  -0.968 -1.099  -0.800 -1.048  -0.644 -0.956  -0.488 -0.864  -0.339 -0.761  -0.193 -0.653  -0.048 -0.545  0.088 -0.426  0.213 -0.295  0.338 -0.163  0.434 -0.013  0.441 -0.055  0.378 -0.225  0.307 -0.392  0.233 -0.557  0.159 -0.723  0.090 -0.891  0.030 -1.060  0.030 -1.241
3#apb#apb18#app1828/m  -0.817 0.773  -0.750 0.659  -0.810 0.464  -0.894 0.276  -0.978 0.089  -1.049 -0.104  -1.120 -0.297  -1.200 -0.487  -1.282 -0.675  -1.247 -0.691  -1.101 -0.545  -0.957 -0.400  -0.816 -0.250  -0.675 -0.100  -0.543 0.057  -0.417 0.220  -0.291 0.383  -0.161 0.542  -0.027 0.698  0.059 0.720  0.011 0.524  -0.070 0.335  -0.154 0.148  -0.258 -0.030  -0.363 -0.207  -0.464 -0.386  -0.556 -0.570  -0.617 -0.764  -0.540 -0.852  -0.343 -0.791  -0.173 -0.681  -0.009 -0.556  0.155 -0.432  0.314 -0.301  0.472 -0.170  0.631 -0.039  0.781 0.101  0.926 0.246  1.072 0.392  1.217 0.537  1.357 0.687  1.497 0.838  1.567 0.729  1.520 0.529  1.441 0.342  1.336 0.165  1.230 -0.011  1.127 -0.189  1.032 -0.371  0.936 -0.553
3#apb#apb18#app1828/i  -0.320 -0.480  -0.232 -0.428  -0.133 -0.417  -0.111 -0.515  -0.091 -0.615  -0.084 -0.717  -0.079 -0.819  -0.074 -0.922  -0.069 -1.024  -0.096 -1.120  -0.134 -1.215  -0.172 -1.310  -0.210 -1.405  -0.231 -1.437  -0.215 -1.336  -0.198 -1.235  -0.182 -1.134  -0.166 -1.033  -0.150 -0.932  -0.134 -0.831  -0.118 -0.730  -0.102 -0.629  -0.085 -0.528  -0.069 -0.427  -0.053 -0.326  -0.037 -0.225  -0.021 -0.124  -0.005 -0.023  0.012 0.078  0.028 0.179  0.044 0.280  0.060 0.381  0.076 0.482  0.092 0.583  0.109 0.684  0.125 0.785  0.141 0.886  0.157 0.987  0.173 1.088  0.189 1.189  0.206 1.290  0.222 1.391  0.238 1.491  0.254 1.592  0.269 1.682  0.269 1.580  0.269 1.478  0.241 1.379  0.213 1.281  0.185 1.183
