3#app#app37#app3728/!  -0.076 1.770  -0.076 1.693  -0.076 1.617  -0.076 1.540  -0.076 1.464  -0.076 1.387  -0.076 1.310  -0.076 1.234  -0.076 1.157  -0.076 1.080  -0.076 1.004  -0.076 0.927  -0.076 0.851  -0.076 0.774  -0.076 0.697  -0.076 0.621  -0.076 0.544  -0.076 0.468  -0.076 0.391  -0.076 0.314  -0.076 0.238  -0.072 0.163  -0.018 0.109  0.024 0.050  0.024 -0.027  0.024 -0.104  0.024 -0.180  0.024 -0.257  0.024 -0.334  0.024 -0.410  0.024 -0.383  0.026 -0.363  0.032 -0.439  0.038 -0.516  0.044 -0.592  0.050 -0.668  0.056 -0.745  0.062 -0.821  0.067 -0.897  0.073 -0.974  0.079 -1.050  0.085 -1.127  0.091 -1.203  0.097 -1.279  0.103 -1.356  0.109 -1.432  0.114 -1.509  0.120 -1.585  0.124 -1.614  0.124 -1.538
3#app#app37#app3728/~  -1.297 -0.632  -1.297 -0.514  -1.297 -0.396  -1.297 -0.279  -1.297 -0.161  -1.252 -0.089  -1.134 -0.089  -1.026 -0.079  -1.026 0.038  -1.026 0.156  -1.026 0.274  -1.026 0.391  -0.987 0.493  -0.904 0.576  -0.821 0.659  -0.730 0.725  -0.613 0.725  -0.495 0.725  -0.377 0.725  -0.260 0.725  -0.162 0.676  -0.079 0.593  0.004 0.510  0.060 0.415  0.060 0.298  0.060 0.180  0.060 0.062  0.060 -0.055  0.144 -0.089  0.262 -0.089  0.331 -0.137  0.331 -0.255  0.343 -0.360  0.461 -0.360  0.579 -0.360  0.697 -0.360  0.814 -0.360  0.874 -0.418  0.874 -0.536  0.896 -0.632  1.013 -0.632  1.131 -0.632  1.146 -0.529  1.146 -0.411  1.193 -0.313  1.276 -0.230  1.360 -0.147  1.417 -0.053  1.417 0.065  1.417 0.183
3#app#app37#app3728/  -1.003 -0.295  -1.082 -0.295  -1.162 -0.295  -1.241 -0.295  -1.321 -0.295  -1.400 -0.295  -1.408 -0.295  -1.329 -0.295  -1.249 -0.295  -1.170 -0.295  -1.090 -0.295  -1.011 -0.295  -0.931 -0.295  -0.851 -0.295  -0.772 -0.295  -0.692 -0.295  -0.613 -0.295  -0.541 -0.275  -0.485 -0.219  -0.429 -0.162  -0.372 -0.106  -0.316 -0.050  -0.260 0.006  -0.204 0.063  -0.147 0.119  -0.079 0.147  0.000 0.147  0.080 0.147  0.159 0.147  0.239 0.147  0.319 0.147  0.398 0.147  0.478 0.147  0.557 0.147  0.637 0.147  0.716 0.147  0.796 0.147  0.876 0.147  0.955 0.147  1.035 0.147  1.114 0.147  1.194 0.147  1.254 0.195  1.310 0.251  1.366 0.307  1.423 0.364  1.479 0.420  1.535 0.476  1.591 0.532  1.648 0.589
3#app#app37#app3728/_  -0.975 0.054  -1.057 0.054  -1.138 0.054  -1.220 0.054  -1.301 0.054  -1.383 0.054  -1.387 -0.023  -1.387 -0.105  -1.352 -0.151  -1.270 -0.151  -1.189 -0.151  -1.107 -0.151  -1.026 -0.151  -0.944 -0.151  -0.862 -0.151  -0.781 -0.151  -0.699 -0.151  -0.618 -0.151  -0.536 -0.151  -0.455 -0.151  -0.373 -0.151  -0.311 -0.105  -0.253 -0.047  -0.196 0.010  -0.132 0.054  -0.051 0.054  0.031 0.054  0.112 0.054  0.194 0.054  0.275 0.054  0.357 0.054  0.439 0.054  0.520 0.054  0.602 0.054  0.683 0.054  0.765 0.054  0.846 0.054  0.928 0.054  1.009 0.054  1.091 0.054  1.172 0.054  1.254 0.054  1.336 0.054  1.417 0.054  1.495 0.058  1.495 0.140  1.495 0.221  1.495 0.217  1.495 0.136  1.495 0.054
3#app#app37#app3728/+  0.065 1.592  0.065 1.784  0.065 1.910  0.065 1.718  0.065 1.525  0.065 1.332  0.065 1.140  0.065 0.947  0.065 0.755  0.065 0.562  0.065 0.370  0.071 0.179  0.207 0.043  0.343 -0.093  0.417 -0.255  0.417 -0.448  0.417 -0.640  0.417 -0.833  0.417 -1.025  0.417 -1.218  0.417 -1.033  0.387 -0.870  0.195 -0.870  0.065 -0.807  0.065 -0.615  -0.031 -0.518  -0.224 -0.518  -0.416 -0.518  -0.609 -0.518  -0.802 -0.518  -0.994 -0.518  -1.187 -0.518  -1.342 -0.481  -1.342 -0.288  -1.271 -0.167  -1.078 -0.167  -0.886 -0.167  -0.693 -0.167  -0.501 -0.167  -0.308 -0.167  -0.116 -0.167  0.077 -0.167  0.270 -0.167  0.449 -0.135  0.585 0.002  0.721 0.138  0.894 0.185  1.087 0.185  1.279 0.185  1.472 0.185
3#app#app37#app3728/=  -1.485 0.676  -1.485 0.539  -1.485 0.403  -1.420 0.332  -1.284 0.332  -1.147 0.332  -1.011 0.332  -0.874 0.332  -0.738 0.332  -0.601 0.332  -0.465 0.332  -0.365 0.421  -0.269 0.517  -0.172 0.614  -0.062 0.676  0.075 0.676  0.211 0.676  0.347 0.676  0.484 0.676  0.608 0.706  0.704 0.803  0.801 0.899  0.897 0.996  0.881 0.925  0.827 0.800  0.773 0.674  0.719 0.549  0.666 0.424  0.612 0.298  0.558 0.173  0.504 0.047  0.451 -0.078  0.397 -0.203  0.343 -0.329  0.289 -0.454  0.236 -0.579  0.182 -0.705  0.128 -0.830  0.075 -0.956  0.021 -1.081  -0.033 -1.206  -0.087 -1.332  -0.110 -1.311  -0.110 -1.174  -0.105 -1.043  0.032 -1.043  0.168 -1.043  0.304 -1.043  0.441 -1.043  0.577 -1.043
3#app#app37#app3728/[  0.574 1.052  0.673 1.052  0.686 0.966  0.614 0.940  0.532 0.982  0.462 1.052  0.363 1.052  0.264 1.052  0.165 1.052  0.065 1.052  -0.034 1.052  -0.133 1.052  -0.232 1.052  -0.324 1.046  -0.324 0.947  -0.417 0.940  -0.437 0.861  -0.390 0.781  -0.324 0.709  -0.324 0.610  -0.232 0.603  -0.212 0.524  -0.212 0.425  -0.212 0.326  -0.212 0.227  -0.212 0.127  -0.212 0.028  -0.212 -0.071  -0.212 -0.170  -0.212 -0.269  -0.212 -0.368  -0.212 -0.467  -0.212 -0.566  -0.212 -0.666  -0.212 -0.765  -0.212 -0.864  -0.212 -0.963  -0.212 -1.062  -0.212 -1.161  -0.212 -1.260  -0.159 -1.307  -0.060 -1.307  0.039 -1.307  0.138 -1.307  0.237 -1.307  0.336 -1.307  0.436 -1.307  0.535 -1.307  0.616 -1.264  0.686 -1.194
3#app#app37#app3728/]  -0.608 0.771  -0.712 0.771  -0.815 0.771  -0.748 0.771  -0.644 0.771  -0.608 0.838  -0.550 0.883  -0.447 0.883  -0.344 0.883  -0.250 0.905  -0.177 0.978  -0.080 0.995  0.023 0.995  0.126 0.995  0.229 0.995  0.320 1.026  0.393 1.099  0.402 1.017  0.402 0.914  0.402 0.810  0.402 0.707  0.402 0.604  0.402 0.501  0.376 0.408  0.303 0.335  0.290 0.237  0.290 0.134  0.290 0.031  0.290 -0.072  0.290 -0.176  0.290 -0.279  0.290 -0.382  0.290 -0.485  0.290 -0.589  0.290 -0.692  0.290 -0.795  0.290 -0.898  0.290 -1.002  0.290 -1.105  0.240 -1.187  0.167 -1.260  0.094 -1.333  0.002 -1.362  -0.101 -1.362  -0.204 -1.362  -0.308 -1.362  -0.411 -1.362  -0.514 -1.362  -0.608 -1.353  -0.608 -1.250
3#app#app37#app3728/{  0.215 1.485  0.095 1.485  -0.024 1.485  -0.082 1.424  -0.165 1.386  -0.283 1.383  -0.368 1.299  -0.453 1.214  -0.479 1.105  -0.479 0.986  -0.455 0.890  -0.380 0.846  -0.315 0.791  -0.195 0.791  -0.076 0.791  0.017 0.763  0.065 0.692  0.184 0.692  0.215 0.603  0.215 0.483  0.193 0.372  0.116 0.285  0.094 0.174  0.017 0.086  -0.005 -0.024  -0.090 -0.109  -0.174 -0.194  -0.189 -0.307  -0.274 -0.392  -0.171 -0.399  -0.052 -0.399  0.068 -0.399  0.116 -0.471  0.116 -0.591  0.036 -0.677  0.017 -0.789  0.017 -0.909  -0.017 -0.994  -0.082 -1.049  -0.082 -1.169  -0.082 -1.289  -0.065 -1.391  0.043 -1.365  0.133 -1.292  0.253 -1.292  0.372 -1.292  0.469 -1.236  0.571 -1.193  0.690 -1.193  0.711 -1.094
3#app#app37#app3728/}  -0.507 1.029  -0.537 0.921  -0.614 0.982  -0.523 1.029  -0.385 1.029  -0.247 1.029  -0.109 1.029  0.029 1.029  0.128 1.125  0.261 1.137  0.386 1.168  0.492 1.245  0.529 1.203  0.432 1.105  0.334 1.007  0.248 0.905  0.215 0.780  0.117 0.683  0.019 0.585  -0.078 0.487  -0.176 0.390  -0.203 0.275  -0.291 0.224  -0.291 0.086  -0.291 -0.052  -0.257 -0.156  -0.183 -0.092  -0.117 0.018  -0.075 -0.021  -0.078 -0.156  -0.183 -0.189  -0.228 -0.309  -0.291 -0.421  -0.291 -0.559  -0.181 -0.588  -0.043 -0.588  0.095 -0.588  0.233 -0.588  0.259 -0.706  0.356 -0.804  0.356 -0.943  0.356 -1.081  0.356 -1.219  0.345 -1.353  0.248 -1.450  0.217 -1.557  0.140 -1.619  0.075 -1.730  0.032 -1.850  -0.075 -1.881
3#app#app37#app3728/\\  -0.833 1.258  -0.896 1.320  -0.959 1.383  -0.918 1.343  -0.856 1.280  -0.833 1.201  -0.827 1.115  -0.764 1.052  -0.701 0.989  -0.615 0.984  -0.559 0.951  -0.559 0.862  -0.507 0.795  -0.444 0.732  -0.396 0.658  -0.357 0.579  -0.317 0.499  -0.272 0.423  -0.210 0.361  -0.148 0.297  -0.108 0.218  -0.068 0.139  -0.028 0.059  -0.012 -0.026  -0.009 -0.113  0.053 -0.176  0.116 -0.239  0.201 -0.248  0.282 -0.268  0.345 -0.331  0.407 -0.393  0.470 -0.456  0.533 -0.519  0.536 -0.607  0.573 -0.658  0.661 -0.658  0.673 -0.736  0.673 -0.825  0.673 -0.914  0.673 -1.002  0.673 -1.091  0.673 -1.180  0.610 -1.206  0.536 -1.191  0.536 -1.102  0.536 -1.014  0.528 -0.932  0.440 -0.932  0.399 -0.884  0.399 -0.795
3#app#app37#app3728/,  0.252 1.127  0.252 1.217  0.252 1.307  0.252 1.397  0.252 1.488  0.252 1.560  0.252 1.470  0.252 1.379  0.252 1.289  0.252 1.199  0.252 1.109  0.252 1.019  0.252 0.928  0.252 0.838  0.252 0.748  0.252 0.658  0.252 0.567  0.252 0.477  0.252 0.387  0.252 0.297  0.252 0.207  0.252 0.116  0.252 0.026  0.252 -0.064  0.252 -0.154  0.252 -0.244  0.252 -0.335  0.252 -0.425  0.252 -0.515  0.252 -0.605  0.198 -0.641  0.107 -0.641  0.017 -0.641  -0.073 -0.641  -0.163 -0.641  -0.190 -0.705  -0.190 -0.795  -0.190 -0.885  -0.190 -0.975  -0.190 -1.065  -0.263 -1.083  -0.353 -1.083  -0.443 -1.083  -0.533 -1.083  -0.623 -1.083  -0.714 -1.083  -0.804 -1.083  -0.894 -1.083  -0.984 -1.083  -1.074 -1.083
3#app#app37#app3728/  0.968 0.996  0.968 1.071  0.968 1.147  0.968 1.126  0.968 1.050  0.946 0.996  0.871 0.996  0.795 0.996  0.740 0.946  0.686 0.892  0.632 0.839  0.579 0.785  0.525 0.732  0.472 0.678  0.432 0.619  0.432 0.543  0.432 0.467  0.384 0.411  0.330 0.358  0.277 0.304  0.215 0.262  0.147 0.228  0.080 0.194  0.012 0.160  -0.056 0.126  -0.114 0.083  -0.148 0.015  -0.182 -0.053  -0.216 -0.121  -0.249 -0.189  -0.283 -0.256  -0.317 -0.324  -0.351 -0.392  -0.385 -0.460  -0.419 -0.527  -0.453 -0.595  -0.501 -0.652  -0.555 -0.706  -0.608 -0.760  -0.640 -0.822  -0.640 -0.898  -0.643 -0.973  -0.696 -1.026  -0.750 -1.080  -0.804 -1.133  -0.873 -1.149  -0.949 -1.149  -0.997 -1.176  -0.997 -1.251  -0.997 -1.327
3#app#app37#app3728/?  -0.310 0.766  -0.310 0.653  -0.310 0.540  -0.418 0.535  -0.426 0.640  -0.426 0.753  -0.327 0.766  -0.310 0.863  -0.217 0.882  -0.104 0.882  -0.017 0.944  0.074 0.997  0.187 0.997  0.300 0.997  0.404 1.018  0.484 1.098  0.590 1.113  0.614 1.023  0.614 0.910  0.614 0.797  0.614 0.685  0.558 0.595  0.498 0.507  0.473 0.419  0.366 0.403  0.287 0.324  0.207 0.244  0.127 0.164  0.047 0.084  0.036 -0.024  -0.031 -0.109  -0.079 -0.202  -0.079 -0.315  -0.079 -0.427  -0.079 -0.540  -0.079 -0.653  -0.049 -0.736  0.017 -0.755  -0.063 -0.835  -0.111 -0.935  -0.151 -1.041  -0.190 -1.146  -0.230 -1.252  -0.269 -1.358  -0.309 -1.463  -0.349 -1.569  -0.388 -1.675  -0.426 -1.781  -0.429 -1.891  -0.542 -1.891
3#app#app37#app3728/'  0.080 1.773  0.080 1.697  0.080 1.621  0.080 1.546  0.080 1.470  0.080 1.395  0.080 1.319  0.080 1.243  0.080 1.168  0.080 1.092  0.080 1.016  0.080 0.941  0.080 0.865  0.080 0.790  0.080 0.714  0.080 0.638  0.080 0.563  0.080 0.487  0.080 0.411  0.080 0.336  0.080 0.260  0.080 0.185  0.080 0.109  0.080 0.033  0.080 -0.042  0.080 -0.118  0.080 -0.194  0.080 -0.269  0.080 -0.345  0.080 -0.421  0.080 -0.496  0.080 -0.572  0.080 -0.647  0.080 -0.723  0.080 -0.799  0.080 -0.874  0.080 -0.950  0.080 -1.026  0.080 -1.101  0.080 -1.177  0.020 -1.192  -0.056 -1.192  -0.132 -1.192  -0.207 -1.192  -0.283 -1.192  -0.358 -1.192  -0.434 -1.192  -0.510 -1.192  -0.585 -1.192  -0.661 -1.192
3#app#app37#app3728/\"  -0.151 1.234  -0.151 1.434  -0.151 1.630  -0.151 1.430  -0.151 1.230  -0.151 1.030  -0.151 0.830  -0.151 0.630  -0.157 0.432  -0.299 0.291  -0.440 0.149  -0.549 -0.005  -0.549 -0.205  -0.549 -0.405  -0.549 -0.605  -0.549 -0.805  -0.549 -1.005  -0.601 -1.154  -0.801 -1.154  -0.918 -1.110  -0.807 -0.943  -0.696 -0.777  -0.585 -0.610  -0.474 -0.444  -0.363 -0.277  -0.252 -0.111  -0.141 0.055  -0.030 0.222  0.081 0.388  0.192 0.555  0.303 0.721  0.414 0.888  0.525 1.054  0.635 1.220  0.645 1.050  0.645 0.850  0.645 0.650  0.645 0.450  0.645 0.250  0.645 0.050  0.645 -0.150  0.645 -0.350  0.645 -0.550  0.645 -0.750  0.645 -0.950  0.645 -1.150  0.449 -1.154  0.249 -1.154  0.247 -1.352  0.247 -1.552
3#app#app37#app3728/<  1.146 1.526  1.146 1.412  1.101 1.317  1.020 1.236  0.940 1.156  0.859 1.075  0.779 0.995  0.698 0.914  0.602 0.872  0.489 0.869  0.409 0.788  0.328 0.708  0.248 0.627  0.167 0.547  0.066 0.495  -0.036 0.444  -0.138 0.394  -0.223 0.320  -0.304 0.239  -0.409 0.218  -0.488 0.184  -0.488 0.070  -0.558 -0.015  -0.639 -0.095  -0.747 -0.108  -0.815 -0.154  -0.815 -0.268  -0.925 -0.272  -0.979 -0.332  -0.979 -0.446  -0.979 -0.560  -0.903 -0.599  -0.815 -0.624  -0.815 -0.738  -0.725 -0.762  -0.611 -0.762  -0.497 -0.762  -0.384 -0.762  -0.270 -0.762  -0.156 -0.762  -0.042 -0.762  0.072 -0.762  0.186 -0.762  0.299 -0.762  0.413 -0.762  0.527 -0.762  0.641 -0.762  0.755 -0.762  0.869 -0.762  0.983 -0.762
3#app#app37#app3728/|  0.098 1.375  0.098 1.453  0.098 1.530  0.098 1.599  0.098 1.522  0.098 1.445  0.098 1.367  0.098 1.290  0.076 1.218  0.042 1.149  0.007 1.080  -0.016 1.008  -0.016 0.931  -0.016 0.854  -0.016 0.777  -0.016 0.700  -0.016 0.622  -0.016 0.545  -0.016 0.468  -0.016 0.391  -0.016 0.314  -0.016 0.236  -0.016 0.159  -0.016 0.082  -0.016 0.005  -0.016 -0.072  -0.016 -0.150  -0.016 -0.227  -0.016 -0.304  -0.016 -0.381  -0.016 -0.458  -0.016 -0.535  -0.016 -0.613  -0.016 -0.690  -0.016 -0.767  -0.016 -0.844  -0.016 -0.921  -0.016 -0.999  -0.016 -1.076  -0.016 -1.153  -0.016 -1.230  -0.016 -1.307  -0.016 -1.385  -0.016 -1.462  -0.016 -1.400  -0.016 -1.323  -0.016 -1.246  -0.089 -1.242  -0.129 -1.206  -0.129 -1.128
3#app#app37#app3728/>  -0.185 0.981  -0.311 0.981  -0.379 1.039  -0.379 1.165  -0.496 1.175  -0.573 1.224  -0.573 1.350  -0.573 1.260  -0.544 1.146  -0.455 1.057  -0.379 0.962  -0.379 0.836  -0.302 0.787  -0.178 0.780  -0.089 0.691  0.000 0.601  0.123 0.593  0.203 0.546  0.203 0.420  0.277 0.324  0.366 0.235  0.480 0.205  0.591 0.189  0.591 0.063  0.665 0.011  0.789 0.006  0.879 -0.083  0.968 -0.172  0.979 -0.294  0.936 -0.377  0.809 -0.377  0.683 -0.377  0.567 -0.401  0.478 -0.491  0.385 -0.571  0.258 -0.571  0.153 -0.621  0.064 -0.711  -0.026 -0.800  -0.115 -0.889  -0.212 -0.959  -0.339 -0.959  -0.379 -1.045  -0.397 -1.153  -0.524 -1.153  -0.573 -1.230  -0.582 -1.347  -0.708 -1.347  -0.835 -1.347  -0.961 -1.347
