2#tos#f2#f2061066/\"  -0.380 1.040  -0.488 0.993  -0.582 0.932  -0.737 0.932  -0.812 0.852  -0.812 0.696  -0.812 0.541  -0.812 0.386  -0.812 0.231  -0.812 0.076  -0.812 -0.079  -0.812 -0.234  -0.812 -0.390  -0.812 -0.545  -0.812 -0.700  -0.812 -0.855  -0.812 -1.010  -0.812 -1.165  -0.758 -1.153  -0.668 -1.027  -0.578 -0.900  -0.488 -0.774  -0.398 -0.648  -0.308 -0.522  -0.217 -0.395  -0.127 -0.269  -0.037 -0.143  0.053 -0.017  0.143 0.110  0.234 0.236  0.324 0.362  0.414 0.488  0.504 0.615  0.594 0.741  0.684 0.867  0.775 0.993  0.808 0.943  0.808 0.787  0.867 0.657  0.916 0.522  0.916 0.367  0.939 0.215  0.988 0.068  1.024 -0.081  1.024 -0.236  1.024 -0.391  1.024 -0.547  1.024 -0.702  1.024 -0.857  1.024 -1.012
2#tos#f2#f2061066/^  -0.990 -0.637  -1.104 -0.637  -1.218 -0.637  -1.220 -0.750  -1.220 -0.864  -1.185 -0.762  -1.149 -0.654  -1.057 -0.594  -0.990 -0.521  -0.990 -0.407  -0.952 -0.330  -0.837 -0.330  -0.723 -0.330  -0.683 -0.256  -0.648 -0.177  -0.555 -0.126  -0.510 -0.024  -0.483 0.087  -0.455 0.197  -0.406 0.300  -0.334 0.381  -0.231 0.432  -0.176 0.530  -0.112 0.624  -0.069 0.720  -0.057 0.827  0.045 0.878  0.084 0.968  0.193 0.974  0.238 0.905  0.286 0.802  0.349 0.709  0.416 0.618  0.467 0.516  0.547 0.434  0.630 0.356  0.732 0.305  0.822 0.237  0.875 0.138  0.911 0.030  0.928 -0.082  1.024 -0.100  1.100 -0.154  1.136 -0.262  1.201 -0.330  1.235 -0.410  1.235 -0.525  1.235 -0.639  1.275 -0.714  1.389 -0.714
2#tos#f2#f2061066/|  0.056 1.607  -0.018 1.607  -0.092 1.607  -0.092 1.534  -0.092 1.460  -0.092 1.386  -0.092 1.312  -0.092 1.238  -0.092 1.164  -0.092 1.091  -0.092 1.017  -0.092 0.943  -0.092 0.869  -0.092 0.795  -0.092 0.721  -0.092 0.647  -0.092 0.574  -0.092 0.500  -0.092 0.426  -0.092 0.352  -0.092 0.278  -0.086 0.206  -0.058 0.137  -0.031 0.069  -0.004 -0.000  0.024 -0.069  0.051 -0.137  0.079 -0.206  0.105 -0.274  0.081 -0.344  0.058 -0.414  0.007 -0.439  0.007 -0.512  0.007 -0.586  0.007 -0.660  0.007 -0.734  0.043 -0.785  0.105 -0.821  0.105 -0.894  0.105 -0.968  0.105 -1.042  0.105 -1.116  0.105 -1.190  0.105 -1.264  0.105 -1.337  0.105 -1.411  0.105 -1.485  0.105 -1.559  0.105 -1.633  0.155 -1.657
2#tos#f2#f2061066/}  -0.454 1.386  -0.498 1.298  -0.592 1.292  -0.537 1.248  -0.439 1.248  -0.341 1.248  -0.242 1.248  -0.144 1.248  -0.093 1.171  -0.004 1.156  0.049 1.110  0.052 1.016  0.052 0.917  0.068 0.834  0.098 0.766  0.098 0.668  0.063 0.604  0.052 0.517  0.010 0.429  0.006 0.331  0.006 0.233  0.006 0.134  0.069 0.098  0.144 0.075  0.220 0.052  0.318 0.052  0.240 0.052  0.142 0.052  0.052 0.043  0.052 -0.055  0.052 -0.154  0.052 -0.252  0.052 -0.350  0.052 -0.449  0.052 -0.547  0.090 -0.630  0.144 -0.679  0.144 -0.777  0.144 -0.876  0.144 -0.974  0.144 -1.073  0.144 -1.171  0.144 -1.270  0.126 -1.364  0.098 -1.456  0.098 -1.554  0.056 -1.642  -0.028 -1.690  -0.040 -1.782  -0.132 -1.788
2#tos#f2#f2061066/~  -1.170 -0.281  -1.287 -0.281  -1.365 -0.320  -1.365 -0.385  -1.365 -0.268  -1.365 -0.151  -1.283 -0.101  -1.246 0.011  -1.235 0.126  -1.166 0.175  -1.105 0.231  -0.997 0.240  -0.879 0.240  -0.798 0.308  -0.733 0.406  -0.640 0.472  -0.530 0.501  -0.439 0.436  -0.323 0.435  -0.323 0.318  -0.287 0.222  -0.181 0.175  -0.127 0.111  -0.091 -0.000  -0.035 -0.086  0.018 -0.151  0.133 -0.152  0.133 -0.270  0.199 -0.322  0.227 -0.411  0.264 -0.492  0.331 -0.542  0.448 -0.542  0.566 -0.542  0.675 -0.521  0.758 -0.438  0.864 -0.411  0.981 -0.410  1.018 -0.299  1.046 -0.186  1.061 -0.078  1.166 -0.026  1.176 0.085  1.217 0.193  1.306 0.240  1.306 0.357  1.306 0.474  1.332 0.566  1.371 0.644  1.436 0.696
2#tos#f2#f2061066/0  -0.078 0.949  -0.123 0.819  -0.270 0.807  -0.383 0.717  -0.491 0.634  -0.580 0.534  -0.645 0.411  -0.746 0.315  -0.776 0.180  -0.776 0.030  -0.776 -0.121  -0.776 -0.271  -0.776 -0.421  -0.776 -0.571  -0.776 -0.722  -0.751 -0.868  -0.669 -0.989  -0.541 -1.053  -0.405 -1.100  -0.298 -1.144  -0.209 -1.205  -0.128 -1.275  0.022 -1.272  0.168 -1.235  0.296 -1.162  0.393 -1.048  0.471 -0.919  0.536 -0.784  0.587 -0.643  0.654 -0.509  0.771 -0.418  0.818 -0.283  0.854 -0.137  0.901 0.006  0.925 0.152  0.925 0.302  0.886 0.441  0.803 0.566  0.751 0.700  0.677 0.793  0.544 0.851  0.442 0.906  0.311 0.953  0.264 1.080  0.114 1.080  -0.036 1.080  -0.180 1.065  -0.301 0.993  -0.427 0.969  -0.427 0.819
2#tos#f2#f2061066/1  -0.706 0.927  -0.732 0.803  -0.752 0.881  -0.656 0.976  -0.547 1.048  -0.460 1.135  -0.329 1.168  -0.276 1.285  -0.176 1.363  -0.058 1.428  0.012 1.514  0.029 1.396  0.062 1.266  0.077 1.134  0.077 0.999  0.077 0.864  0.077 0.729  0.077 0.594  0.077 0.459  0.077 0.324  0.077 0.189  0.077 0.054  0.077 -0.081  0.077 -0.216  0.077 -0.351  0.077 -0.486  0.077 -0.621  0.077 -0.756  0.073 -0.886  -0.062 -0.886  -0.197 -0.886  -0.327 -0.873  -0.447 -0.837  -0.582 -0.837  -0.696 -0.837  -0.561 -0.837  -0.426 -0.837  -0.291 -0.837  -0.156 -0.837  -0.021 -0.837  0.114 -0.837  0.245 -0.813  0.376 -0.788  0.511 -0.788  0.646 -0.788  0.781 -0.788  0.916 -0.788  1.051 -0.788  1.177 -0.740  1.302 -0.690
2#tos#f2#f2061066/2  -0.442 0.460  -0.517 0.367  -0.679 0.356  -0.765 0.306  -0.812 0.427  -0.812 0.595  -0.708 0.723  -0.620 0.847  -0.476 0.922  -0.354 0.968  -0.200 0.990  -0.078 1.082  0.087 1.107  0.255 1.107  0.423 1.107  0.591 1.107  0.759 1.107  0.812 0.962  0.852 0.810  0.735 0.705  0.710 0.551  0.553 0.506  0.413 0.437  0.311 0.328  0.193 0.227  0.133 0.081  0.017 -0.002  -0.072 -0.081  -0.174 -0.175  -0.283 -0.295  -0.404 -0.398  -0.481 -0.540  -0.616 -0.641  -0.676 -0.792  -0.771 -0.927  -0.858 -1.008  -0.794 -1.019  -0.626 -1.019  -0.458 -1.019  -0.290 -1.019  -0.136 -0.959  0.024 -0.927  0.192 -0.927  0.360 -0.927  0.528 -0.927  0.696 -0.927  0.864 -0.927  1.032 -0.927  1.200 -0.927  1.360 -0.880
2#tos#f2#f2061066/5  -0.525 0.986  -0.681 0.912  -0.849 0.863  -0.835 0.781  -0.651 0.811  -0.465 0.822  -0.278 0.822  -0.092 0.814  0.090 0.781  0.273 0.745  0.414 0.666  0.591 0.633  0.774 0.617  0.829 0.667  0.676 0.729  0.493 0.766  0.309 0.803  0.125 0.840  -0.058 0.876  -0.242 0.913  -0.417 0.926  -0.534 0.780  -0.562 0.604  -0.525 0.423  -0.542 0.238  -0.566 0.055  -0.566 -0.132  -0.566 -0.320  -0.566 -0.507  -0.404 -0.532  -0.361 -0.387  -0.195 -0.340  -0.009 -0.327  0.176 -0.312  0.359 -0.286  0.546 -0.286  0.734 -0.286  0.829 -0.378  0.870 -0.524  0.823 -0.686  0.743 -0.832  0.656 -0.993  0.513 -1.112  0.404 -1.258  0.271 -1.382  0.154 -1.521  -0.029 -1.558  -0.192 -1.637  -0.379 -1.640  -0.566 -1.640
2#tos#f2#f2061066/6  0.173 1.807  0.163 1.666  0.080 1.599  -0.023 1.508  -0.076 1.375  -0.201 1.291  -0.238 1.145  -0.351 1.070  -0.388 0.946  -0.405 0.801  -0.496 0.681  -0.530 0.542  -0.613 0.416  -0.623 0.268  -0.623 0.118  -0.623 -0.033  -0.623 -0.183  -0.623 -0.334  -0.623 -0.485  -0.605 -0.632  -0.550 -0.772  -0.467 -0.897  -0.369 -1.008  -0.241 -1.070  -0.176 -1.189  -0.025 -1.189  0.125 -1.189  0.276 -1.189  0.427 -1.189  0.508 -1.088  0.615 -0.981  0.743 -0.937  0.797 -0.798  0.845 -0.658  0.885 -0.524  0.969 -0.408  0.969 -0.257  0.925 -0.130  0.794 -0.065  0.670 -0.001  0.591 0.125  0.478 0.215  0.327 0.215  0.177 0.215  0.026 0.215  -0.125 0.215  -0.275 0.215  -0.426 0.215  -0.577 0.215  -0.669 0.122
2#tos#f2#f2061066/7  -0.573 0.953  -0.589 0.832  -0.725 0.832  -0.734 0.705  -0.734 0.569  -0.734 0.432  -0.734 0.296  -0.734 0.160  -0.734 0.023  -0.734 -0.113  -0.734 -0.100  -0.734 0.037  -0.734 0.173  -0.791 0.286  -0.815 0.412  -0.853 0.510  -0.720 0.510  -0.584 0.510  -0.449 0.513  -0.353 0.610  -0.225 0.631  -0.091 0.642  0.041 0.680  0.172 0.711  0.309 0.711  0.445 0.711  0.578 0.685  0.709 0.646  0.838 0.603  0.956 0.551  0.970 0.443  0.874 0.346  0.813 0.224  0.772 0.095  0.718 -0.028  0.655 -0.148  0.609 -0.276  0.562 -0.404  0.515 -0.532  0.472 -0.661  0.426 -0.789  0.352 -0.903  0.333 -1.038  0.314 -1.173  0.311 -1.309  0.277 -1.441  0.272 -1.577  0.272 -1.713  0.272 -1.849  0.272 -1.986
2#tos#f2#f2061066/8  0.799 0.656  0.710 0.700  0.607 0.862  0.538 1.018  0.351 1.072  0.170 1.140  -0.025 1.140  -0.217 1.117  -0.410 1.096  -0.604 1.096  -0.779 1.011  -0.829 0.827  -0.961 0.765  -0.876 0.656  -0.862 0.469  -0.700 0.392  -0.538 0.338  -0.419 0.216  -0.231 0.178  -0.134 0.022  -0.006 -0.123  0.123 -0.267  0.261 -0.395  0.299 -0.575  0.359 -0.752  0.359 -0.946  0.359 -1.141  0.314 -1.324  0.196 -1.460  0.075 -1.544  -0.120 -1.544  -0.314 -1.544  -0.433 -1.469  -0.477 -1.285  -0.477 -1.090  -0.477 -0.896  -0.389 -0.756  -0.316 -0.591  -0.203 -0.434  -0.055 -0.309  0.092 -0.183  0.209 -0.046  0.367 0.068  0.489 0.212  0.651 0.288  0.777 0.392  0.833 0.519  0.760 0.694  0.623 0.813  0.535 0.920
2#tos#f2#f2061066/9  0.506 0.170  0.644 0.252  0.644 0.436  0.644 0.621  0.506 0.667  0.490 0.848  0.414 1.014  0.356 1.157  0.187 1.228  0.003 1.230  -0.179 1.208  -0.361 1.184  -0.516 1.087  -0.664 0.981  -0.794 0.851  -0.924 0.720  -1.035 0.572  -1.105 0.404  -1.150 0.225  -1.152 0.040  -1.152 -0.144  -1.020 -0.259  -0.927 -0.418  -0.761 -0.490  -0.600 -0.567  -0.415 -0.567  -0.231 -0.567  -0.047 -0.567  0.077 -0.449  0.245 -0.375  0.410 -0.292  0.444 -0.122  0.482 0.052  0.506 0.232  0.513 0.415  0.598 0.441  0.598 0.257  0.505 0.139  0.460 -0.012  0.460 -0.197  0.460 -0.381  0.374 -0.536  0.276 -0.686  0.276 -0.870  0.276 -1.054  0.276 -1.239  0.276 -1.423  0.299 -1.595  0.414 -1.718  0.414 -1.903
2#tos#f2#f2061066/D  -0.377 1.144  -0.445 0.977  -0.465 0.771  -0.524 0.572  -0.524 0.363  -0.524 0.154  -0.524 -0.055  -0.524 -0.263  -0.524 -0.472  -0.524 -0.681  -0.496 -0.885  -0.436 -1.071  -0.361 -1.253  -0.304 -1.278  -0.304 -1.069  -0.304 -0.861  -0.304 -0.652  -0.304 -0.443  -0.304 -0.234  -0.304 -0.026  -0.304 0.183  -0.304 0.392  -0.304 0.601  -0.304 0.810  -0.304 1.018  -0.424 1.104  -0.622 1.038  -0.441 1.049  -0.236 1.070  -0.027 1.070  0.182 1.070  0.376 1.005  0.558 0.905  0.747 0.834  0.939 0.777  1.061 0.654  1.126 0.465  1.126 0.256  1.126 0.047  1.059 -0.134  1.007 -0.323  0.912 -0.501  0.752 -0.634  0.577 -0.748  0.421 -0.872  0.306 -1.020  0.119 -1.110  -0.051 -1.203  -0.245 -1.265  -0.451 -1.277
2#tos#f2#f2061066/E  -0.587 1.225  -0.812 1.076  -0.644 1.048  -0.368 0.982  -0.082 0.982  0.202 0.959  0.487 0.948  0.774 0.948  1.060 0.948  0.951 0.966  0.666 0.994  0.381 1.021  0.096 1.048  -0.189 1.075  -0.451 1.037  -0.622 0.829  -0.657 0.577  -0.657 0.290  -0.627 0.006  -0.622 -0.280  -0.560 -0.556  -0.518 -0.839  -0.435 -1.101  -0.310 -1.305  -0.349 -1.021  -0.387 -0.737  -0.426 -0.453  -0.465 -0.169  -0.504 0.115  -0.678 0.149  -0.499 0.014  -0.213 0.010  0.073 0.010  0.360 0.010  0.646 0.010  0.928 -0.030  1.098 -0.112  0.829 -0.211  0.560 -0.309  0.291 -0.408  0.022 -0.506  -0.247 -0.605  -0.321 -0.858  -0.433 -1.066  -0.175 -1.135  0.112 -1.135  0.398 -1.135  0.685 -1.135  0.969 -1.106  1.253 -1.066
2#tos#f2#f2061066/G  0.165 1.204  0.165 1.134  0.023 1.274  -0.133 1.377  -0.311 1.427  -0.524 1.362  -0.682 1.210  -0.796 1.032  -0.944 0.870  -0.989 0.650  -1.027 0.429  -1.138 0.232  -1.138 0.004  -1.138 -0.224  -1.106 -0.449  -1.064 -0.639  -0.901 -0.773  -0.786 -0.966  -0.589 -1.067  -0.365 -1.103  -0.137 -1.105  0.084 -1.053  0.277 -0.955  0.391 -0.764  0.533 -0.587  0.574 -0.377  0.574 -0.149  0.487 0.032  0.295 0.155  0.104 0.279  -0.093 0.385  -0.245 0.309  -0.127 0.198  0.101 0.198  0.327 0.192  0.539 0.124  0.733 0.028  0.959 0.012  1.187 0.012  1.024 0.110  0.823 0.217  0.618 0.310  0.481 0.143  0.388 -0.031  0.436 -0.245  0.479 -0.460  0.537 -0.670  0.574 -0.894  0.632 -1.108  0.723 -1.291
2#tos#f2#f2061066/J  0.049 0.400  0.062 0.341  -0.060 0.422  -0.182 0.503  -0.303 0.584  -0.425 0.665  -0.546 0.746  -0.681 0.783  -0.812 0.745  -0.861 0.742  -0.721 0.707  -0.576 0.686  -0.432 0.668  -0.286 0.668  -0.140 0.668  0.006 0.668  0.153 0.668  0.299 0.668  0.445 0.668  0.590 0.666  0.714 0.592  0.860 0.592  0.795 0.630  0.680 0.707  0.534 0.707  0.388 0.707  0.279 0.669  0.164 0.609  0.035 0.592  0.018 0.477  0.049 0.362  0.055 0.216  0.084 0.073  0.137 -0.058  0.164 -0.196  0.164 -0.342  0.164 -0.488  0.164 -0.634  0.164 -0.780  0.164 -0.927  0.164 -1.073  0.113 -1.202  0.031 -1.323  -0.034 -1.453  -0.066 -1.592  -0.103 -1.727  -0.193 -1.842  -0.286 -1.948  -0.421 -2.001  -0.564 -2.015
2#tos#f2#f2061066/K  -0.801 1.693  -0.759 1.492  -0.759 1.273  -0.759 1.054  -0.759 0.835  -0.759 0.617  -0.759 0.398  -0.759 0.179  -0.754 -0.039  -0.718 -0.254  -0.718 -0.473  -0.718 -0.692  -0.707 -0.908  -0.676 -1.119  -0.676 -1.338  -0.543 -1.175  -0.408 -1.003  -0.272 -0.832  -0.136 -0.661  0.000 -0.489  0.136 -0.318  0.272 -0.146  0.408 0.025  0.543 0.196  0.679 0.368  0.815 0.539  0.951 0.711  1.097 0.861  1.033 0.737  0.814 0.737  0.630 0.653  0.446 0.570  0.227 0.570  0.033 0.489  -0.176 0.446  -0.378 0.365  -0.547 0.242  -0.646 0.071  -0.540 -0.005  -0.353 -0.095  -0.160 -0.178  0.037 -0.245  0.236 -0.303  0.419 -0.392  0.621 -0.475  0.811 -0.582  0.979 -0.702  1.172 -0.793  1.355 -0.896  1.528 -1.010
2#tos#f2#f2061066/L  -0.141 1.812  -0.212 1.774  -0.254 1.679  -0.254 1.570  -0.254 1.462  -0.254 1.353  -0.254 1.245  -0.254 1.136  -0.277 1.037  -0.329 0.950  -0.329 0.842  -0.329 0.733  -0.329 0.625  -0.329 0.516  -0.329 0.407  -0.329 0.299  -0.329 0.190  -0.329 0.082  -0.329 -0.027  -0.329 -0.135  -0.329 -0.244  -0.329 -0.352  -0.344 -0.446  -0.394 -0.527  -0.429 -0.630  -0.442 -0.737  -0.518 -0.792  -0.546 -0.889  -0.570 -0.808  -0.593 -0.710  -0.493 -0.672  -0.384 -0.672  -0.278 -0.655  -0.173 -0.634  -0.065 -0.634  0.044 -0.634  0.145 -0.604  0.243 -0.559  0.352 -0.559  0.460 -0.559  0.569 -0.559  0.677 -0.559  0.786 -0.559  0.895 -0.559  1.003 -0.559  1.086 -0.498  1.189 -0.484  1.298 -0.484  1.406 -0.484  1.515 -0.484
