3#apb#apb22#app2205/3  -0.551 0.754  -0.626 0.888  -0.764 0.915  -0.781 0.957  -0.629 0.982  -0.478 1.008  -0.325 1.025  -0.172 1.032  -0.019 1.039  0.135 1.040  0.289 1.040  0.442 1.034  0.594 1.015  0.743 0.982  0.856 0.903  0.765 0.781  0.656 0.673  0.524 0.596  0.390 0.521  0.253 0.451  0.115 0.385  -0.024 0.319  -0.160 0.248  -0.296 0.176  -0.436 0.113  -0.568 0.039  -0.446 -0.033  -0.299 -0.079  -0.151 -0.118  -0.002 -0.158  0.138 -0.219  0.279 -0.281  0.410 -0.360  0.536 -0.447  0.651 -0.547  0.747 -0.667  0.755 -0.818  0.662 -0.924  0.537 -1.013  0.400 -1.080  0.258 -1.139  0.116 -1.198  -0.033 -1.227  -0.186 -1.243  -0.339 -1.259  -0.492 -1.265  -0.645 -1.257  -0.797 -1.241  -0.944 -1.196  -1.088 -1.143
3#apb#apb22#app2205/n  -1.652 -0.426  -1.602 -0.438  -1.557 -0.346  -1.493 -0.267  -1.421 -0.194  -1.348 -0.122  -1.276 -0.049  -1.203 0.022  -1.115 0.075  -1.027 0.128  -0.946 0.191  -0.866 0.255  -0.774 0.293  -0.674 0.313  -0.572 0.319  -0.471 0.329  -0.376 0.368  -0.279 0.393  -0.194 0.349  -0.137 0.265  -0.091 0.174  -0.089 0.072  -0.089 -0.031  -0.161 -0.089  -0.164 -0.190  -0.164 -0.112  -0.101 -0.040  -0.021 0.024  0.062 0.085  0.145 0.144  0.218 0.216  0.302 0.272  0.394 0.318  0.496 0.319  0.599 0.319  0.675 0.277  0.721 0.185  0.776 0.099  0.841 0.020  0.914 -0.052  0.986 -0.125  1.059 -0.197  1.131 -0.270  1.213 -0.328  1.309 -0.364  1.405 -0.400  1.502 -0.429  1.604 -0.440  1.706 -0.452  1.808 -0.463
3#apb#apb22#app2205/g  0.323 0.748  0.467 0.812  0.585 0.912  0.684 1.033  0.747 1.175  0.749 1.319  0.597 1.319  0.453 1.257  0.301 1.215  0.158 1.153  0.020 1.079  -0.108 0.989  -0.214 0.876  -0.273 0.732  -0.259 0.591  -0.115 0.552  0.028 0.610  0.164 0.688  0.293 0.777  0.382 0.779  0.411 0.625  0.421 0.469  0.421 0.312  0.391 0.158  0.358 0.004  0.325 -0.149  0.274 -0.298  0.223 -0.446  0.171 -0.594  0.099 -0.732  0.007 -0.859  -0.086 -0.986  -0.182 -1.109  -0.308 -1.202  -0.435 -1.295  -0.565 -1.382  -0.712 -1.435  -0.863 -1.472  -0.907 -1.330  -0.873 -1.182  -0.818 -1.034  -0.751 -0.895  -0.644 -0.780  -0.536 -0.666  -0.418 -0.566  -0.278 -0.495  -0.137 -0.425  0.003 -0.355  0.143 -0.285  0.284 -0.215
3#apb#apb22#app2205/A  -0.309 -0.126  -0.160 0.001  -0.026 0.153  0.097 0.313  0.219 0.475  0.341 0.637  0.460 0.800  0.578 0.964  0.688 1.134  0.788 1.310  0.753 1.453  0.556 1.421  0.383 1.317  0.218 1.201  0.057 1.078  -0.092 0.941  -0.235 0.798  -0.378 0.655  -0.521 0.512  -0.664 0.369  -0.793 0.214  -0.907 0.047  -1.021 -0.120  -1.116 -0.299  -1.211 -0.478  -1.260 -0.673  -1.212 -0.862  -1.055 -0.931  -0.859 -0.890  -0.667 -0.826  -0.490 -0.733  -0.326 -0.615  -0.163 -0.495  -0.016 -0.356  0.132 -0.217  0.283 -0.083  0.439 0.047  0.505 0.090  0.383 -0.071  0.251 -0.224  0.148 -0.395  0.075 -0.584  0.092 -0.784  0.266 -0.875  0.461 -0.914  0.663 -0.922  0.865 -0.930  1.062 -0.888  1.260 -0.842  1.457 -0.797
3#apb#apb22#app2205/p  0.178 0.681  0.085 0.530  0.029 0.354  -0.056 0.186  -0.146 0.020  -0.238 -0.146  -0.329 -0.312  -0.416 -0.479  -0.504 -0.647  -0.596 -0.812  -0.691 -0.976  -0.791 -1.136  -0.898 -1.291  -1.007 -1.446  -1.128 -1.564  -1.074 -1.383  -0.990 -1.213  -0.907 -1.044  -0.829 -0.871  -0.751 -0.699  -0.673 -0.527  -0.595 -0.355  -0.519 -0.182  -0.444 -0.008  -0.366 0.164  -0.266 0.324  -0.162 0.482  -0.044 0.630  0.089 0.764  0.255 0.854  0.430 0.923  0.615 0.950  0.794 0.911  0.882 0.765  0.791 0.607  0.642 0.493  0.472 0.416  0.287 0.379  0.100 0.349  -0.088 0.334  0.048 0.296  0.237 0.296  0.426 0.303  0.615 0.317  0.803 0.331  0.987 0.370  1.170 0.417  1.350 0.474  1.524 0.548  1.698 0.623
3#apb#apb22#app2205/p  -0.001 0.270  0.077 0.131  0.044 -0.035  -0.050 -0.177  -0.149 -0.316  -0.246 -0.457  -0.343 -0.598  -0.455 -0.729  -0.566 -0.859  -0.665 -0.999  -0.760 -1.141  -0.867 -1.274  -0.983 -1.400  -1.074 -1.424  -1.057 -1.254  -1.006 -1.090  -0.954 -0.927  -0.892 -0.768  -0.824 -0.611  -0.755 -0.453  -0.678 -0.301  -0.597 -0.150  -0.515 0.001  -0.429 0.149  -0.338 0.294  -0.246 0.439  -0.140 0.572  -0.028 0.702  0.092 0.823  0.220 0.938  0.378 1.002  0.546 1.021  0.716 1.003  0.777 0.851  0.707 0.715  0.567 0.620  0.414 0.545  0.250 0.494  0.092 0.428  0.042 0.348  0.212 0.321  0.381 0.294  0.552 0.290  0.723 0.290  0.895 0.290  1.063 0.322  1.230 0.357  1.391 0.414  1.547 0.484  1.703 0.554
3#apb#apb22#app2205/l  -1.467 -1.319  -1.334 -1.292  -1.216 -1.237  -1.113 -1.149  -1.011 -1.061  -0.908 -0.973  -0.806 -0.885  -0.703 -0.797  -0.600 -0.709  -0.503 -0.616  -0.410 -0.518  -0.316 -0.421  -0.223 -0.323  -0.129 -0.225  -0.038 -0.126  0.053 -0.026  0.144 0.074  0.235 0.174  0.325 0.274  0.415 0.375  0.505 0.476  0.596 0.576  0.687 0.676  0.779 0.775  0.870 0.874  0.958 0.978  1.042 1.083  1.065 1.210  1.002 1.242  0.881 1.182  0.773 1.100  0.669 1.015  0.564 0.930  0.478 0.827  0.398 0.718  0.319 0.609  0.239 0.499  0.159 0.390  0.087 0.276  0.016 0.161  -0.055 0.046  -0.127 -0.068  -0.198 -0.183  -0.254 -0.306  -0.308 -0.430  -0.361 -0.554  -0.385 -0.682  -0.362 -0.815  -0.280 -0.895  -0.150 -0.934
3#apb#apb22#app2205/e  -1.713 -0.713  -1.565 -0.678  -1.446 -0.578  -1.327 -0.477  -1.203 -0.383  -1.075 -0.293  -0.947 -0.204  -0.818 -0.116  -0.688 -0.029  -0.558 0.057  -0.424 0.137  -0.289 0.215  -0.154 0.294  -0.022 0.376  0.108 0.462  0.238 0.549  0.347 0.659  0.449 0.777  0.554 0.892  0.663 1.003  0.634 1.147  0.512 1.150  0.380 1.068  0.252 0.979  0.141 0.869  0.031 0.759  -0.079 0.648  -0.165 0.520  -0.239 0.382  -0.313 0.245  -0.387 0.108  -0.429 -0.043  -0.470 -0.193  -0.493 -0.341  -0.402 -0.468  -0.312 -0.595  -0.164 -0.645  -0.016 -0.694  0.132 -0.743  0.280 -0.789  0.430 -0.746  0.580 -0.703  0.730 -0.660  0.880 -0.617  1.030 -0.574  1.177 -0.522  1.321 -0.462  1.465 -0.403  1.610 -0.344  1.754 -0.284
3#apb#apb22#app2205/B  -0.112 0.673  -0.030 0.657  -0.070 0.432  -0.131 0.210  -0.196 -0.011  -0.269 -0.229  -0.349 -0.445  -0.442 -0.656  -0.544 -0.862  -0.651 -1.066  -0.777 -1.258  -0.847 -1.255  -0.839 -1.025  -0.830 -0.795  -0.822 -0.564  -0.813 -0.334  -0.805 -0.104  -0.796 0.126  -0.788 0.356  -0.780 0.586  -0.771 0.816  -0.759 1.031  -0.553 1.125  -0.324 1.146  -0.094 1.162  0.136 1.155  0.365 1.135  0.590 1.088  0.815 1.041  1.035 0.984  1.095 0.811  0.926 0.659  0.737 0.527  0.546 0.399  0.351 0.277  0.151 0.163  -0.064 0.080  -0.077 -0.005  0.147 -0.059  0.369 -0.122  0.585 -0.199  0.798 -0.286  0.972 -0.436  1.074 -0.633  0.980 -0.841  0.809 -0.995  0.595 -1.076  0.376 -1.149  0.154 -1.143  -0.071 -1.093
3#apb#apb22#app2205/a  0.613 0.204  0.717 0.342  0.754 0.485  0.855 0.631  0.889 0.795  0.866 0.963  0.736 1.078  0.558 1.078  0.391 1.023  0.228 0.953  0.064 0.883  -0.099 0.813  -0.262 0.741  -0.424 0.668  -0.581 0.586  -0.723 0.479  -0.865 0.372  -0.990 0.247  -1.109 0.114  -1.227 -0.019  -1.312 -0.172  -1.374 -0.339  -1.412 -0.510  -1.412 -0.688  -1.284 -0.793  -1.123 -0.855  -0.945 -0.855  -0.767 -0.855  -0.596 -0.821  -0.432 -0.753  -0.268 -0.685  -0.107 -0.610  0.026 -0.492  0.159 -0.374  0.291 -0.255  0.390 -0.107  0.489 0.041  0.583 0.191  0.659 0.351  0.555 0.306  0.498 0.137  0.460 -0.036  0.435 -0.212  0.471 -0.383  0.538 -0.542  0.693 -0.631  0.848 -0.715  1.015 -0.654  1.182 -0.593  1.349 -0.532
3#apb#apb22#app2205/n  -1.495 -0.538  -1.493 -0.490  -1.451 -0.365  -1.409 -0.241  -1.350 -0.124  -1.291 -0.007  -1.216 0.100  -1.139 0.207  -1.053 0.303  -0.939 0.368  -0.825 0.433  -0.718 0.508  -0.611 0.584  -0.493 0.642  -0.375 0.697  -0.244 0.697  -0.116 0.671  -0.006 0.608  0.028 0.491  0.013 0.362  -0.029 0.238  -0.070 0.113  -0.129 -0.002  -0.213 -0.103  -0.297 -0.204  -0.357 -0.320  -0.395 -0.374  -0.307 -0.281  -0.223 -0.180  -0.128 -0.092  -0.020 -0.016  0.087 0.059  0.195 0.134  0.306 0.205  0.418 0.272  0.527 0.240  0.616 0.144  0.689 0.035  0.762 -0.074  0.816 -0.194  0.868 -0.314  0.954 -0.401  1.074 -0.454  1.194 -0.507  1.317 -0.529  1.447 -0.506  1.576 -0.483  1.705 -0.460  1.834 -0.438  1.964 -0.415
3#apb#apb22#app2205/k  -1.538 -1.095  -1.367 -1.027  -1.206 -0.936  -1.053 -0.833  -0.909 -0.717  -0.778 -0.586  -0.647 -0.455  -0.516 -0.324  -0.385 -0.193  -0.256 -0.061  -0.129 0.073  -0.002 0.208  0.123 0.345  0.245 0.484  0.367 0.623  0.472 0.776  0.577 0.928  0.658 1.094  0.731 1.264  0.790 1.439  0.799 1.620  0.628 1.568  0.492 1.446  0.371 1.306  0.258 1.160  0.169 0.997  0.094 0.829  0.028 0.656  -0.031 0.480  -0.089 0.305  -0.148 0.129  -0.200 -0.048  -0.246 -0.228  -0.299 -0.405  -0.352 -0.582  -0.410 -0.755  -0.431 -0.896  -0.388 -0.760  -0.273 -0.616  -0.116 -0.535  0.059 -0.477  0.235 -0.417  0.416 -0.385  0.509 -0.451  0.432 -0.616  0.368 -0.790  0.461 -0.907  0.646 -0.907  0.829 -0.881  1.010 -0.845
3#apb#apb22#app2205/o  -0.223 0.778  -0.112 0.867  -0.001 0.955  0.139 0.960  0.024 0.920  -0.055 0.802  -0.135 0.684  -0.235 0.584  -0.335 0.483  -0.430 0.378  -0.513 0.263  -0.596 0.147  -0.668 0.025  -0.731 -0.102  -0.795 -0.229  -0.836 -0.364  -0.867 -0.502  -0.898 -0.641  -0.879 -0.778  -0.840 -0.915  -0.786 -1.044  -0.707 -1.163  -0.624 -1.273  -0.482 -1.273  -0.340 -1.273  -0.203 -1.258  -0.089 -1.173  0.024 -1.088  0.138 -1.002  0.256 -0.923  0.374 -0.845  0.457 -0.734  0.520 -0.607  0.584 -0.480  0.644 -0.352  0.666 -0.212  0.688 -0.072  0.709 0.069  0.731 0.209  0.734 0.351  0.734 0.493  0.734 0.635  0.734 0.777  0.734 0.919  0.734 1.061  0.641 1.146  0.553 1.234  0.411 1.232  0.276 1.187  0.142 1.143
3#apb#apb22#app2205/f  -0.467 0.005  -0.337 -0.002  -0.220 0.060  -0.120 0.149  -0.029 0.246  0.053 0.350  0.135 0.456  0.216 0.561  0.297 0.667  0.377 0.774  0.457 0.880  0.527 0.992  0.584 1.113  0.642 1.233  0.710 1.348  0.743 1.472  0.670 1.427  0.587 1.325  0.538 1.202  0.488 1.078  0.438 0.955  0.387 0.832  0.336 0.708  0.285 0.585  0.240 0.460  0.196 0.334  0.152 0.208  0.108 0.083  0.065 -0.043  0.025 -0.171  -0.014 -0.298  -0.054 -0.425  -0.093 -0.552  -0.132 -0.680  -0.181 -0.804  -0.230 -0.928  -0.279 -1.052  -0.328 -1.176  -0.385 -1.296  -0.444 -1.415  -0.509 -1.529  -0.626 -1.517  -0.664 -1.395  -0.690 -1.264  -0.691 -1.134  -0.657 -1.005  -0.624 -0.876  -0.567 -0.758  -0.493 -0.647  -0.419 -0.536
3#apb#apb22#app2205/t  -1.141 -1.161  -1.077 -1.221  -0.997 -0.965  -0.842 -0.742  -0.662 -0.539  -0.476 -0.340  -0.284 -0.148  -0.103 0.053  0.025 0.292  0.153 0.532  0.319 0.745  0.499 0.949  0.499 1.221  0.529 1.325  0.383 1.097  0.273 0.849  0.171 0.597  0.082 0.340  0.012 0.078  -0.048 -0.186  -0.048 -0.458  -0.040 -0.729  0.019 -0.995  0.214 -1.167  0.476 -1.200  0.742 -1.176  0.985 -1.055  1.229 -0.933  1.016 -0.798  0.780 -0.663  0.544 -0.528  0.308 -0.392  0.073 -0.257  -0.163 -0.122  -0.399 0.014  -0.635 0.149  -0.871 0.284  -1.106 0.419  -1.369 0.463  -1.269 0.638  -0.999 0.672  -0.728 0.658  -0.456 0.642  -0.185 0.622  0.086 0.597  0.356 0.573  0.627 0.545  0.896 0.510  1.166 0.474  1.435 0.439
3#apb#apb22#app2205/h  -1.199 -0.876  -1.095 -0.922  -0.938 -0.827  -0.791 -0.716  -0.647 -0.600  -0.507 -0.481  -0.372 -0.356  -0.237 -0.230  -0.120 -0.088  -0.006 0.057  0.108 0.201  0.225 0.343  0.344 0.484  0.462 0.625  0.574 0.771  0.674 0.926  0.774 1.081  0.865 1.241  0.953 1.403  1.072 1.542  0.964 1.519  0.824 1.403  0.718 1.252  0.600 1.111  0.476 0.976  0.363 0.830  0.263 0.676  0.163 0.521  0.061 0.367  -0.041 0.214  -0.143 0.061  -0.250 -0.089  -0.358 -0.238  -0.466 -0.387  -0.579 -0.534  -0.691 -0.680  -0.808 -0.822  -0.833 -0.804  -0.725 -0.656  -0.610 -0.512  -0.482 -0.379  -0.328 -0.336  -0.179 -0.438  -0.080 -0.590  -0.022 -0.765  0.083 -0.911  0.219 -1.032  0.392 -1.095  0.572 -1.120  0.756 -1.120
3#apb#apb22#app2205/e  -1.373 -0.589  -1.252 -0.680  -1.117 -0.729  -0.982 -0.680  -0.860 -0.589  -0.739 -0.498  -0.618 -0.407  -0.497 -0.316  -0.395 -0.204  -0.295 -0.090  -0.196 0.024  -0.095 0.137  0.005 0.251  0.106 0.364  0.207 0.477  0.302 0.595  0.396 0.713  0.491 0.832  0.586 0.950  0.683 1.066  0.780 1.183  0.820 1.320  0.720 1.369  0.577 1.321  0.436 1.268  0.329 1.160  0.222 1.053  0.116 0.945  0.029 0.821  -0.058 0.697  -0.145 0.573  -0.219 0.443  -0.260 0.297  -0.302 0.151  -0.343 0.006  -0.385 -0.140  -0.358 -0.285  -0.313 -0.430  -0.268 -0.575  -0.224 -0.719  -0.135 -0.834  -0.017 -0.930  0.100 -1.026  0.217 -1.122  0.342 -1.195  0.494 -1.195  0.645 -1.195  0.797 -1.195  0.948 -1.195  1.100 -1.195
3#apb#apb22#app2205/W  0.027 0.732  -0.013 0.616  -0.148 0.515  -0.307 0.449  -0.468 0.392  -0.639 0.377  -0.803 0.331  -0.971 0.335  -1.122 0.408  -1.141 0.564  -1.048 0.699  -0.909 0.800  -0.759 0.883  -0.609 0.967  -0.461 1.055  -0.304 1.124  -0.134 1.129  0.003 1.045  0.065 0.885  0.025 0.719  -0.003 0.549  -0.056 0.387  -0.118 0.227  -0.185 0.069  -0.254 -0.088  -0.309 -0.250  -0.342 -0.418  -0.369 -0.587  -0.393 -0.755  -0.345 -0.824  -0.214 -0.716  -0.105 -0.732  -0.107 -0.903  -0.122 -1.074  -0.109 -1.245  -0.004 -1.331  0.146 -1.251  0.286 -1.152  0.421 -1.047  0.542 -0.926  0.664 -0.804  0.785 -0.683  0.892 -0.549  0.997 -0.413  1.101 -0.277  1.203 -0.139  1.295 0.007  1.386 0.152  1.473 0.300  1.558 0.449
3#apb#apb22#app2205/e  -1.248 -0.410  -1.248 -0.472  -1.125 -0.479  -0.979 -0.442  -0.836 -0.398  -0.720 -0.301  -0.604 -0.205  -0.487 -0.108  -0.371 -0.011  -0.256 0.086  -0.140 0.183  -0.025 0.281  0.090 0.379  0.206 0.476  0.313 0.582  0.413 0.695  0.513 0.808  0.613 0.922  0.672 1.060  0.732 1.199  0.744 1.348  0.609 1.334  0.478 1.272  0.372 1.165  0.249 1.079  0.120 0.999  -0.008 0.919  -0.095 0.795  -0.181 0.671  -0.268 0.548  -0.329 0.413  -0.353 0.264  -0.378 0.115  -0.403 -0.034  -0.388 -0.183  -0.367 -0.333  -0.346 -0.482  -0.324 -0.632  -0.247 -0.755  -0.147 -0.868  -0.046 -0.981  0.062 -1.082  0.207 -1.126  0.351 -1.171  0.495 -1.215  0.640 -1.245  0.788 -1.213  0.936 -1.181  1.084 -1.150  1.231 -1.118
