3#apa#apa02#app0273/!  -0.051 1.431  0.033 1.431  0.077 1.471  0.077 1.554  -0.001 1.559  -0.051 1.525  -0.051 1.442  -0.051 1.358  -0.051 1.275  -0.051 1.191  -0.051 1.108  -0.051 1.024  -0.051 0.940  -0.051 0.857  -0.051 0.773  -0.051 0.690  -0.051 0.606  -0.051 0.522  -0.051 0.439  -0.051 0.355  -0.051 0.272  -0.051 0.188  -0.051 0.104  -0.051 0.021  -0.051 -0.063  -0.051 -0.146  -0.051 -0.230  -0.051 -0.313  -0.014 -0.360  0.069 -0.360  0.077 -0.436  0.077 -0.520  0.077 -0.603  0.077 -0.687  0.077 -0.771  0.077 -0.854  0.077 -0.938  0.077 -1.021  0.077 -1.105  0.077 -1.189  0.077 -1.272  0.077 -1.356  0.077 -1.330  0.067 -1.256  -0.017 -1.256  -0.051 -1.207  -0.051 -1.134  -0.051 -1.217  -0.006 -1.256  0.077 -1.256
3#apa#apa02#app0273/~  -1.429 -0.598  -1.429 -0.475  -1.429 -0.352  -1.429 -0.229  -1.425 -0.110  -1.302 -0.110  -1.267 -0.022  -1.218 0.053  -1.104 0.062  -1.104 0.185  -1.012 0.216  -0.904 0.253  -0.817 0.340  -0.730 0.427  -0.643 0.514  -0.531 0.541  -0.453 0.496  -0.447 0.379  -0.324 0.379  -0.290 0.290  -0.241 0.216  -0.127 0.206  -0.127 0.083  -0.061 -0.013  0.026 -0.100  0.036 -0.219  0.105 -0.273  0.198 -0.302  0.198 -0.426  0.198 -0.549  0.272 -0.598  0.395 -0.598  0.519 -0.598  0.524 -0.480  0.602 -0.435  0.725 -0.435  0.848 -0.435  0.850 -0.313  0.932 -0.273  1.012 -0.230  1.015 -0.107  1.102 -0.020  1.175 0.072  1.175 0.195  1.248 0.288  1.335 0.376  1.338 0.497  1.338 0.621  1.338 0.744  1.338 0.867
3#apa#apa02#app0273/  -1.145 -0.334  -1.047 -0.334  -0.950 -0.334  -0.875 -0.334  -0.973 -0.334  -1.070 -0.334  -1.145 -0.311  -1.145 -0.214  -1.145 -0.117  -1.145 -0.019  -1.145 0.078  -1.145 0.176  -1.099 0.227  -1.001 0.227  -0.904 0.227  -0.864 0.170  -0.864 0.072  -0.864 -0.025  -0.795 -0.054  -0.698 -0.054  -0.600 -0.054  -0.503 -0.054  -0.406 -0.054  -0.308 -0.054  -0.211 -0.054  -0.114 -0.054  -0.016 -0.054  0.081 -0.054  0.179 -0.054  0.276 -0.054  0.373 -0.054  0.471 -0.054  0.568 -0.054  0.666 -0.054  0.763 -0.054  0.820 -0.014  0.820 0.084  0.820 0.181  0.872 0.227  0.969 0.227  1.067 0.227  1.164 0.227  1.261 0.227  1.359 0.227  1.456 0.227  1.554 0.227  1.651 0.227  1.662 0.141  1.662 0.044  1.662 -0.054
3#apa#apa02#app0273/_  -1.524 0.078  -1.524 0.150  -1.524 0.222  -1.462 0.233  -1.390 0.233  -1.333 0.197  -1.282 0.146  -1.231 0.095  -1.166 0.078  -1.093 0.078  -1.021 0.078  -0.949 0.078  -0.877 0.078  -0.805 0.078  -0.733 0.078  -0.660 0.078  -0.588 0.078  -0.516 0.078  -0.444 0.078  -0.392 0.030  -0.340 -0.021  -0.289 -0.072  -0.219 -0.077  -0.147 -0.077  -0.075 -0.077  -0.003 -0.077  0.069 -0.077  0.142 -0.077  0.214 -0.077  0.286 -0.077  0.358 -0.077  0.430 -0.077  0.502 -0.077  0.575 -0.077  0.647 -0.077  0.719 -0.077  0.791 -0.077  0.863 -0.077  0.936 -0.077  1.008 -0.077  1.080 -0.077  1.152 -0.077  1.224 -0.077  1.296 -0.077  1.369 -0.077  1.441 -0.077  1.513 -0.077  1.585 -0.077  1.657 -0.077  1.730 -0.077
3#apa#apa02#app0273/+  -0.125 1.349  0.048 1.349  -0.109 1.349  -0.125 1.192  -0.125 1.019  -0.125 0.846  -0.125 0.673  -0.125 0.500  -0.125 0.327  -0.125 0.154  -0.125 -0.019  -0.125 -0.192  -0.125 -0.365  -0.125 -0.538  -0.125 -0.711  -0.125 -0.884  -0.125 -1.057  -0.125 -1.230  -0.147 -1.337  -0.250 -1.198  -0.354 -1.060  -0.458 -0.922  -0.562 -0.783  -0.665 -0.645  -0.769 -0.506  -0.873 -0.368  -0.977 -0.230  -1.081 -0.091  -1.184 0.047  -1.081 0.082  -0.944 0.168  -0.810 0.263  -0.637 0.263  -0.464 0.263  -0.291 0.263  -0.118 0.263  0.055 0.263  0.056 0.092  0.220 0.082  0.393 0.082  0.566 0.082  0.739 0.082  0.912 0.082  1.084 0.082  1.257 0.082  1.430 0.082  1.574 0.152  1.701 0.263  1.866 0.255  1.866 0.082
3#apa#apa02#app0273/=  -0.658 0.939  -0.529 0.939  -0.400 0.939  -0.272 0.939  -0.143 0.939  -0.014 0.939  0.115 0.939  0.243 0.939  0.372 0.939  0.501 0.939  0.630 0.939  0.758 0.939  0.887 0.939  1.016 0.939  1.084 0.878  1.084 0.749  0.983 0.672  0.878 0.596  0.774 0.520  0.670 0.445  0.566 0.369  0.462 0.293  0.358 0.218  0.254 0.142  0.150 0.066  0.046 -0.010  -0.058 -0.085  -0.163 -0.161  -0.267 -0.237  -0.371 -0.312  -0.475 -0.388  -0.579 -0.464  -0.683 -0.540  -0.787 -0.615  -0.891 -0.691  -0.995 -0.767  -1.045 -0.870  -1.042 -0.996  -0.913 -0.996  -0.784 -0.996  -0.655 -0.996  -0.527 -0.996  -0.398 -0.996  -0.269 -0.996  -0.140 -0.996  -0.012 -0.996  0.117 -0.996  0.246 -0.996  0.374 -0.996  0.503 -0.996
3#apa#apa02#app0273/[  0.787 1.180  0.700 1.180  0.614 1.180  0.527 1.180  0.440 1.180  0.354 1.180  0.267 1.180  0.180 1.180  0.093 1.180  0.012 1.175  0.012 1.088  -0.070 1.083  -0.014 1.083  0.012 1.022  0.012 0.935  0.012 0.848  0.012 0.762  0.012 0.675  0.012 0.588  0.012 0.502  0.012 0.415  0.012 0.328  0.012 0.242  -0.028 0.171  -0.085 0.108  -0.085 0.022  -0.085 -0.065  -0.085 -0.152  -0.085 -0.239  -0.121 -0.310  -0.182 -0.372  -0.182 -0.458  -0.182 -0.545  -0.182 -0.632  -0.182 -0.719  -0.229 -0.759  -0.279 -0.795  -0.279 -0.882  -0.279 -0.968  -0.279 -1.055  -0.279 -1.142  -0.279 -1.229  -0.279 -1.315  -0.279 -1.402  -0.228 -1.438  -0.141 -1.438  -0.055 -1.438  0.032 -1.438  0.119 -1.438  0.205 -1.438
3#apa#apa02#app0273/]  -0.381 1.281  -0.288 1.281  -0.196 1.281  -0.104 1.281  -0.012 1.281  0.081 1.281  0.173 1.281  0.254 1.253  0.319 1.188  0.408 1.179  0.429 1.109  0.429 1.016  0.429 0.924  0.385 0.876  0.328 0.841  0.328 0.749  0.328 0.656  0.322 0.566  0.257 0.501  0.227 0.422  0.227 0.329  0.195 0.268  0.126 0.246  0.126 0.154  0.126 0.061  0.126 -0.031  0.126 -0.123  0.047 -0.136  0.024 -0.206  0.024 -0.299  0.024 -0.391  0.024 -0.483  0.000 -0.565  -0.065 -0.631  -0.077 -0.718  -0.077 -0.810  -0.077 -0.902  -0.077 -0.995  -0.116 -1.047  -0.178 -1.078  -0.178 -1.170  -0.178 -1.262  -0.182 -1.351  -0.274 -1.351  -0.366 -1.351  -0.458 -1.351  -0.530 -1.302  -0.601 -1.250  -0.693 -1.250  -0.785 -1.250
3#apa#apa02#app0273/{  0.656 1.525  0.523 1.525  0.390 1.525  0.276 1.480  0.171 1.413  0.056 1.371  -0.048 1.302  -0.125 1.246  -0.125 1.113  -0.125 0.980  -0.013 0.959  0.016 0.856  0.098 0.805  0.170 0.744  0.210 0.651  0.321 0.630  0.321 0.497  0.289 0.378  0.210 0.278  0.168 0.186  0.098 0.124  0.015 0.075  -0.118 0.075  -0.236 0.060  -0.272 -0.037  -0.405 -0.037  -0.538 -0.037  -0.472 -0.037  -0.339 -0.037  -0.206 -0.037  -0.089 -0.073  -0.013 -0.174  -0.013 -0.307  -0.062 -0.420  -0.125 -0.526  -0.171 -0.640  -0.236 -0.746  -0.236 -0.878  -0.319 -0.929  -0.348 -1.032  -0.348 -1.165  -0.324 -1.288  -0.227 -1.375  -0.103 -1.397  -0.008 -1.486  0.125 -1.486  0.258 -1.486  0.321 -1.417  0.411 -1.375  0.544 -1.375
3#apa#apa02#app0273/}  -0.382 1.491  -0.269 1.491  -0.173 1.508  -0.173 1.571  -0.140 1.491  -0.039 1.462  0.042 1.387  0.141 1.373  0.141 1.260  0.141 1.147  0.141 1.034  0.141 0.921  0.141 0.809  0.141 0.696  0.070 0.654  0.037 0.575  0.037 0.462  0.037 0.349  -0.067 0.340  -0.068 0.228  -0.068 0.115  -0.044 0.026  0.068 0.026  0.181 0.026  0.246 -0.022  0.246 -0.022  0.181 0.026  0.141 -0.047  0.060 -0.078  0.037 -0.168  -0.061 -0.183  -0.068 -0.289  -0.068 -0.401  -0.068 -0.514  -0.068 -0.627  -0.035 -0.706  0.037 -0.748  0.037 -0.861  0.095 -0.916  0.141 -0.982  0.141 -1.095  0.141 -1.208  0.141 -1.320  0.042 -1.334  0.034 -1.439  -0.079 -1.439  -0.186 -1.452  -0.266 -1.532  -0.374 -1.544  -0.487 -1.544
3#apa#apa02#app0273/\\  -0.710 1.169  -0.710 1.246  -0.710 1.323  -0.710 1.384  -0.710 1.307  -0.674 1.245  -0.620 1.191  -0.566 1.136  -0.511 1.082  -0.457 1.028  -0.403 0.973  -0.375 0.908  -0.373 0.832  -0.318 0.778  -0.264 0.723  -0.230 0.655  -0.195 0.586  -0.161 0.517  -0.152 0.442  -0.136 0.372  -0.082 0.318  -0.027 0.264  0.027 0.209  0.071 0.150  0.071 0.074  0.111 0.014  0.166 -0.041  0.182 -0.111  0.182 -0.188  0.182 -0.265  0.209 -0.335  0.244 -0.404  0.278 -0.472  0.294 -0.546  0.294 -0.622  0.294 -0.699  0.294 -0.776  0.305 -0.848  0.359 -0.903  0.405 -0.961  0.405 -1.037  0.405 -1.114  0.424 -1.172  0.501 -1.172  0.516 -1.233  0.516 -1.310  0.516 -1.387  0.586 -1.395  0.628 -1.429  0.628 -1.506
3#apa#apa02#app0273/,  -0.187 1.649  -0.187 1.567  -0.187 1.485  -0.187 1.403  -0.187 1.321  -0.187 1.239  -0.187 1.156  -0.187 1.074  -0.187 0.992  -0.187 0.910  -0.187 0.828  -0.139 0.794  -0.057 0.794  0.025 0.794  0.108 0.794  0.190 0.794  0.240 0.762  0.240 0.680  0.240 0.598  0.240 0.516  0.240 0.434  0.240 0.351  0.240 0.269  0.240 0.187  0.240 0.105  0.240 0.023  0.240 -0.059  0.240 -0.142  0.240 -0.224  0.240 -0.306  0.240 -0.388  0.240 -0.470  0.196 -0.534  0.137 -0.592  0.079 -0.650  0.021 -0.708  -0.037 -0.766  -0.095 -0.824  -0.153 -0.882  -0.187 -0.950  -0.187 -1.033  -0.187 -1.115  -0.187 -1.197  -0.187 -1.279  -0.187 -1.361  -0.187 -1.443  -0.187 -1.526  -0.187 -1.608  -0.187 -1.690  -0.187 -1.772
3#apa#apa02#app0273/  1.010 1.044  1.010 1.121  1.010 1.144  1.010 1.068  0.956 1.044  0.883 1.041  0.883 0.964  0.862 0.897  0.808 0.843  0.757 0.787  0.757 0.711  0.729 0.651  0.661 0.617  0.592 0.583  0.524 0.548  0.465 0.500  0.411 0.446  0.352 0.399  0.283 0.365  0.215 0.331  0.146 0.297  0.125 0.233  0.125 0.157  0.125 0.080  0.099 0.020  0.030 -0.014  -0.038 -0.049  -0.107 -0.083  -0.165 -0.131  -0.220 -0.185  -0.274 -0.239  -0.328 -0.293  -0.382 -0.348  -0.416 -0.416  -0.450 -0.485  -0.484 -0.553  -0.525 -0.617  -0.579 -0.671  -0.633 -0.725  -0.688 -0.779  -0.742 -0.833  -0.810 -0.852  -0.887 -0.852  -0.921 -0.921  -0.956 -0.989  -0.990 -1.058  -1.014 -1.129  -1.014 -1.205  -1.063 -1.232  -1.140 -1.232
3#apa#apa02#app0273/?  -0.255 1.059  -0.158 1.059  -0.147 1.145  -0.073 1.167  -0.039 1.104  0.013 1.059  0.109 1.059  0.206 1.059  0.297 1.046  0.365 0.978  0.451 0.952  0.548 0.952  0.606 0.914  0.625 0.825  0.693 0.757  0.714 0.669  0.657 0.629  0.606 0.583  0.572 0.521  0.482 0.505  0.414 0.437  0.345 0.368  0.277 0.300  0.209 0.232  0.126 0.199  0.041 0.171  -0.027 0.103  -0.111 0.055  -0.197 0.012  -0.277 -0.039  -0.346 -0.108  -0.362 -0.197  -0.362 -0.294  -0.362 -0.390  -0.362 -0.487  -0.362 -0.583  -0.362 -0.680  -0.362 -0.776  -0.362 -0.873  -0.362 -0.969  -0.362 -1.066  -0.362 -1.163  -0.362 -1.259  -0.362 -1.356  -0.362 -1.452  -0.362 -1.549  -0.352 -1.641  -0.284 -1.709  -0.294 -1.699  -0.362 -1.631
3#apa#apa02#app0273/'  0.204 0.999  0.204 1.078  0.204 1.158  0.204 1.237  0.204 1.316  0.204 1.396  0.204 1.447  0.204 1.368  0.204 1.288  0.204 1.209  0.204 1.130  0.204 1.050  0.204 0.971  0.204 0.891  0.204 0.812  0.204 0.733  0.204 0.653  0.204 0.574  0.204 0.495  0.204 0.415  0.204 0.336  0.204 0.257  0.204 0.177  0.204 0.098  0.165 0.035  0.108 -0.021  0.052 -0.077  -0.004 -0.134  -0.060 -0.190  -0.116 -0.246  -0.172 -0.302  -0.228 -0.358  -0.258 -0.425  -0.258 -0.504  -0.258 -0.584  -0.258 -0.663  -0.258 -0.743  -0.258 -0.822  -0.258 -0.901  -0.258 -0.981  -0.258 -1.060  -0.258 -1.139  -0.258 -1.219  -0.258 -1.298  -0.258 -1.377  -0.258 -1.457  -0.258 -1.536  -0.258 -1.616  -0.258 -1.695  -0.258 -1.774
3#apa#apa02#app0273/\"  -0.997 0.948  -0.997 0.833  -0.997 0.718  -0.997 0.602  -0.972 0.497  -0.891 0.415  -0.809 0.334  -0.728 0.252  -0.646 0.171  -0.570 0.087  -0.570 -0.028  -0.570 -0.143  -0.570 -0.259  -0.570 -0.374  -0.570 -0.489  -0.570 -0.605  -0.570 -0.720  -0.570 -0.835  -0.570 -0.951  -0.570 -1.066  -0.570 -1.181  -0.501 -1.102  -0.429 -1.012  -0.357 -0.921  -0.285 -0.831  -0.213 -0.741  -0.141 -0.651  -0.069 -0.561  0.003 -0.471  0.075 -0.381  0.147 -0.291  0.219 -0.201  0.291 -0.111  0.363 -0.021  0.435 0.069  0.507 0.159  0.579 0.249  0.651 0.339  0.723 0.429  0.795 0.519  0.868 0.609  0.940 0.699  1.012 0.789  1.084 0.879  1.158 0.929  1.239 0.847  1.321 0.766  1.403 0.684  1.484 0.603  1.566 0.521
3#apa#apa02#app0273/<  0.904 1.498  0.825 1.418  0.745 1.338  0.666 1.259  0.634 1.159  0.589 1.092  0.483 1.076  0.403 0.997  0.307 0.957  0.204 0.933  0.125 0.853  0.045 0.774  -0.034 0.694  -0.114 0.615  -0.200 0.551  -0.313 0.551  -0.392 0.471  -0.472 0.392  -0.551 0.312  -0.631 0.233  -0.711 0.153  -0.790 0.073  -0.877 0.011  -0.988 0.010  -0.988 -0.103  -0.988 -0.216  -0.920 -0.260  -0.807 -0.260  -0.695 -0.260  -0.582 -0.260  -0.469 -0.260  -0.383 -0.324  -0.300 -0.395  -0.188 -0.395  -0.075 -0.395  -0.042 -0.474  -0.002 -0.570  0.078 -0.650  0.184 -0.665  0.276 -0.713  0.356 -0.793  0.436 -0.872  0.499 -0.959  0.499 -1.071  0.612 -1.071  0.634 -1.161  0.702 -1.206  0.769 -1.251  0.769 -1.364  0.769 -1.476
3#apa#apa02#app0273/|  0.085 1.553  0.156 1.553  0.172 1.531  0.122 1.481  0.085 1.426  0.085 1.356  0.085 1.285  0.080 1.216  0.049 1.153  0.017 1.090  -0.014 1.028  -0.024 0.959  -0.024 0.889  -0.024 0.819  -0.024 0.749  -0.024 0.678  -0.024 0.608  -0.024 0.538  -0.024 0.467  -0.024 0.397  -0.024 0.327  -0.024 0.256  -0.024 0.186  -0.024 0.116  -0.024 0.046  -0.024 -0.025  -0.024 -0.095  -0.024 -0.165  -0.024 -0.236  -0.024 -0.306  -0.024 -0.376  -0.024 -0.447  -0.024 -0.517  -0.024 -0.587  -0.024 -0.657  -0.024 -0.728  -0.024 -0.798  -0.024 -0.868  -0.024 -0.939  -0.024 -1.009  -0.024 -1.079  -0.024 -1.150  -0.024 -1.220  -0.024 -1.290  -0.024 -1.360  -0.024 -1.431  -0.024 -1.501  -0.024 -1.571  -0.024 -1.642  -0.024 -1.712
3#apa#apa02#app0273/>  -0.695 1.306  -0.591 1.306  -0.584 1.209  -0.494 1.194  -0.472 1.112  -0.397 1.083  -0.361 1.014  -0.300 0.972  -0.195 0.972  -0.105 0.938  -0.031 0.864  0.071 0.860  0.085 0.769  0.160 0.711  0.253 0.665  0.351 0.637  0.444 0.612  0.518 0.538  0.592 0.464  0.676 0.414  0.753 0.388  0.767 0.289  0.841 0.216  0.865 0.121  0.820 0.035  0.753 -0.041  0.750 -0.143  0.646 -0.143  0.571 -0.213  0.497 -0.287  0.424 -0.361  0.350 -0.435  0.276 -0.508  0.203 -0.582  0.101 -0.588  -0.003 -0.588  -0.084 -0.646  -0.158 -0.719  -0.231 -0.793  -0.305 -0.867  -0.386 -0.923  -0.485 -0.936  -0.559 -1.009  -0.584 -1.103  -0.646 -1.145  -0.695 -1.200  -0.738 -1.278  -0.831 -1.325  -0.918 -1.375  -0.918 -1.480
