2#tos#f2#f2024065/!  0.286 1.327  0.286 1.401  0.220 1.410  0.204 1.467  0.163 1.484  0.163 1.410  0.163 1.336  0.163 1.262  0.163 1.187  0.157 1.116  0.105 1.063  0.080 0.999  0.080 0.925  0.080 0.851  0.080 0.777  0.080 0.703  0.080 0.629  0.080 0.555  0.080 0.480  0.080 0.406  0.080 0.332  0.080 0.258  0.080 0.184  0.071 0.111  0.059 0.037  0.048 -0.036  0.037 -0.109  0.025 -0.182  0.014 -0.256  0.003 -0.329  -0.008 -0.402  -0.020 -0.476  -0.031 -0.549  -0.042 -0.622  -0.053 -0.695  -0.065 -0.769  -0.076 -0.842  -0.085 -0.915  -0.085 -0.989  -0.085 -1.063  -0.085 -1.138  -0.124 -1.198  -0.169 -1.258  -0.217 -1.310  -0.291 -1.310  -0.365 -1.310  -0.373 -1.376  -0.373 -1.450  -0.373 -1.525  -0.373 -1.599
2#tos#f2#f2024065/_  -1.034 0.194  -1.112 0.194  -1.189 0.194  -1.266 0.194  -1.343 0.194  -1.420 0.194  -1.428 0.194  -1.351 0.194  -1.274 0.194  -1.202 0.171  -1.133 0.137  -1.064 0.102  -0.991 0.087  -0.914 0.087  -0.837 0.087  -0.760 0.087  -0.683 0.087  -0.605 0.087  -0.528 0.087  -0.456 0.066  -0.388 0.031  -0.319 -0.003  -0.246 -0.020  -0.168 -0.020  -0.091 -0.020  -0.014 -0.020  0.063 -0.020  0.140 -0.020  0.217 -0.020  0.294 -0.020  0.371 -0.020  0.448 -0.020  0.525 -0.020  0.602 -0.020  0.679 -0.020  0.756 -0.020  0.833 -0.020  0.904 -0.034  0.959 -0.088  1.013 -0.143  1.068 -0.197  1.130 -0.234  1.207 -0.234  1.284 -0.234  1.361 -0.234  1.438 -0.234  1.515 -0.234  1.592 -0.234  1.669 -0.234  1.746 -0.234
2#tos#f2#f2024065/`  -0.317 1.718  -0.317 1.641  -0.317 1.564  -0.317 1.487  -0.317 1.410  -0.317 1.333  -0.317 1.256  -0.317 1.179  -0.317 1.102  -0.317 1.025  -0.317 0.948  -0.317 0.871  -0.317 0.794  -0.317 0.717  -0.317 0.640  -0.291 0.574  -0.236 0.519  -0.182 0.465  -0.127 0.410  -0.073 0.356  -0.018 0.301  0.036 0.247  0.056 0.178  0.056 0.101  0.056 0.024  0.056 -0.053  0.056 -0.130  0.056 -0.207  0.056 -0.284  0.056 -0.361  0.056 -0.438  0.056 -0.515  0.129 -0.519  0.206 -0.519  0.243 -0.560  0.243 -0.637  0.243 -0.714  0.243 -0.791  0.243 -0.868  0.243 -0.945  0.243 -1.022  0.243 -1.099  0.243 -1.176  0.243 -1.253  0.289 -1.311  0.343 -1.365  0.398 -1.420  0.429 -1.484  0.429 -1.561  0.429 -1.638
2#tos#f2#f2024065/}  -0.197 1.633  -0.106 1.633  -0.059 1.589  -0.025 1.533  -0.025 1.443  0.008 1.360  0.009 1.270  -0.025 1.213  -0.025 1.123  -0.042 1.049  -0.094 1.010  -0.094 0.920  -0.094 0.829  -0.110 0.742  -0.128 0.656  -0.128 0.565  -0.128 0.475  -0.128 0.384  -0.128 0.294  -0.059 0.272  -0.040 0.186  0.032 0.156  0.054 0.087  0.145 0.087  0.235 0.087  0.215 0.114  0.186 0.053  0.124 0.007  0.103 -0.079  0.078 -0.166  0.078 -0.256  0.056 -0.325  0.044 -0.403  0.044 -0.494  0.044 -0.584  0.044 -0.675  0.072 -0.737  0.078 -0.822  0.079 -0.912  0.108 -0.998  0.112 -1.088  0.099 -1.175  0.078 -1.261  0.078 -1.352  0.002 -1.397  -0.025 -1.476  -0.077 -1.545  -0.094 -1.629  -0.175 -1.665  -0.197 -1.733
2#tos#f2#f2024065/~  -1.118 -0.592  -1.205 -0.575  -1.205 -0.471  -1.205 -0.367  -1.205 -0.262  -1.205 -0.158  -1.205 -0.054  -1.205 0.050  -1.205 0.155  -1.137 0.191  -1.033 0.191  -0.959 0.263  -0.860 0.278  -0.825 0.373  -0.792 0.472  -0.736 0.539  -0.632 0.539  -0.527 0.539  -0.423 0.539  -0.335 0.522  -0.335 0.418  -0.290 0.342  -0.196 0.295  -0.161 0.213  -0.161 0.109  -0.149 0.017  -0.074 -0.013  -0.041 -0.103  0.041 -0.157  0.145 -0.157  0.187 -0.220  0.266 -0.244  0.368 -0.251  0.442 -0.325  0.543 -0.331  0.647 -0.331  0.752 -0.331  0.796 -0.272  0.873 -0.244  0.977 -0.244  1.082 -0.244  1.186 -0.244  1.284 -0.218  1.377 -0.171  1.457 -0.106  1.530 -0.032  1.579 0.052  1.579 0.156  1.649 0.191  1.666 0.278
2#tos#f2#f2024065/2  -0.310 0.346  -0.453 0.362  -0.592 0.408  -0.687 0.486  -0.734 0.620  -0.734 0.766  -0.681 0.896  -0.576 0.990  -0.447 1.044  -0.330 1.132  -0.189 1.147  -0.066 1.203  0.064 1.241  0.210 1.241  0.356 1.241  0.485 1.201  0.539 1.105  0.584 0.991  0.680 0.915  0.680 0.769  0.680 0.623  0.680 0.477  0.680 0.331  0.653 0.188  0.587 0.064  0.482 -0.038  0.361 -0.119  0.291 -0.245  0.207 -0.363  0.104 -0.466  -0.008 -0.559  -0.125 -0.647  -0.241 -0.734  -0.364 -0.813  -0.500 -0.865  -0.615 -0.949  -0.734 -0.991  -0.802 -1.069  -0.708 -1.069  -0.562 -1.069  -0.430 -1.023  -0.299 -0.974  -0.153 -0.974  -0.007 -0.974  0.139 -0.974  0.285 -0.974  0.431 -0.974  0.577 -0.974  0.723 -0.974  0.869 -0.974
2#tos#f2#f2024065/3  -0.062 1.123  -0.174 1.123  -0.284 1.110  -0.393 1.086  -0.389 1.123  -0.277 1.123  -0.165 1.123  -0.053 1.123  0.060 1.123  0.172 1.123  0.284 1.123  0.396 1.123  0.452 1.066  0.436 0.960  0.357 0.881  0.277 0.802  0.183 0.744  0.103 0.664  0.024 0.585  -0.018 0.482  -0.105 0.419  -0.172 0.335  -0.250 0.279  -0.251 0.212  -0.149 0.175  -0.043 0.138  -0.007 0.050  0.084 -0.014  0.137 -0.104  0.217 -0.183  0.254 -0.286  0.311 -0.374  0.379 -0.450  0.379 -0.562  0.379 -0.675  0.378 -0.787  0.310 -0.876  0.238 -0.962  0.232 -1.072  0.134 -1.118  0.048 -1.172  -0.037 -1.232  -0.099 -1.306  -0.167 -1.382  -0.271 -1.409  -0.378 -1.441  -0.474 -1.483  -0.587 -1.483  -0.695 -1.474  -0.722 -1.373
2#tos#f2#f2024065/8  0.536 0.330  0.450 0.210  0.450 0.372  0.485 0.538  0.493 0.715  0.493 0.895  0.493 1.076  0.367 1.189  0.276 1.344  0.147 1.450  -0.033 1.450  -0.214 1.450  -0.325 1.381  -0.325 1.200  -0.325 1.020  -0.198 0.892  -0.124 0.732  -0.067 0.575  -0.031 0.405  0.041 0.243  0.104 0.075  0.197 -0.079  0.235 -0.255  0.272 -0.429  0.278 -0.609  0.278 -0.789  0.278 -0.970  0.245 -1.145  0.153 -1.299  0.072 -1.460  -0.054 -1.522  -0.234 -1.522  -0.415 -1.522  -0.595 -1.522  -0.693 -1.388  -0.713 -1.212  -0.713 -1.032  -0.713 -0.852  -0.675 -0.677  -0.572 -0.530  -0.500 -0.367  -0.420 -0.205  -0.283 -0.091  -0.139 0.018  -0.017 0.147  0.135 0.201  0.221 0.337  0.397 0.373  0.574 0.400  0.708 0.459
2#tos#f2#f2024065/9  0.430 -0.023  0.388 -0.068  0.430 0.080  0.455 0.238  0.514 0.389  0.514 0.554  0.514 0.718  0.514 0.883  0.494 1.037  0.371 1.141  0.244 1.226  0.122 1.276  -0.042 1.276  -0.199 1.268  -0.325 1.229  -0.439 1.135  -0.534 1.013  -0.575 0.858  -0.576 0.694  -0.627 0.538  -0.660 0.378  -0.660 0.214  -0.629 0.054  -0.552 -0.089  -0.478 -0.190  -0.314 -0.190  -0.159 -0.149  -0.038 -0.087  0.084 -0.001  0.136 0.151  0.178 0.306  0.262 0.436  0.262 0.443  0.262 0.279  0.244 0.120  0.145 -0.011  0.136 -0.173  0.136 -0.338  0.083 -0.492  0.032 -0.649  0.011 -0.811  0.011 -0.975  0.011 -1.140  0.011 -1.304  -0.031 -1.462  -0.031 -1.627  -0.031 -1.792  -0.031 -1.956  -0.031 -2.121  -0.031 -2.286
2#tos#f2#f2024065/A  0.491 1.661  0.443 1.866  0.301 1.654  0.226 1.421  0.140 1.165  0.034 0.908  -0.025 0.635  -0.102 0.367  -0.217 0.112  -0.289 -0.155  -0.391 -0.413  -0.479 -0.675  -0.515 -0.943  -0.640 -1.187  -0.673 -1.461  -0.716 -1.569  -0.620 -1.306  -0.524 -1.044  -0.428 -0.781  -0.332 -0.518  -0.236 -0.255  -0.140 0.007  -0.044 0.270  0.052 0.533  0.148 0.795  0.243 1.058  0.270 1.333  0.182 1.480  0.216 1.206  0.243 0.929  0.321 0.668  0.403 0.416  0.403 0.136  0.403 -0.143  0.403 -0.423  0.436 -0.700  0.504 -0.965  0.608 -1.203  0.623 -1.468  0.478 -1.229  0.333 -0.989  0.188 -0.750  0.043 -0.511  -0.102 -0.272  -0.247 -0.033  -0.472 0.030  -0.646 0.118  -0.377 0.074  -0.097 0.074  0.182 0.074
2#tos#f2#f2024065/B  0.081 1.341  -0.055 1.471  -0.100 1.261  -0.100 0.994  -0.100 0.727  -0.124 0.465  -0.191 0.211  -0.191 -0.056  -0.215 -0.321  -0.237 -0.586  -0.237 -0.853  -0.237 -1.119  -0.237 -1.386  -0.237 -1.653  -0.230 -1.578  -0.218 -1.312  -0.207 -1.045  -0.196 -0.778  -0.185 -0.511  -0.174 -0.245  -0.163 0.022  -0.152 0.289  -0.146 0.555  -0.146 0.822  -0.328 0.977  -0.328 1.244  -0.294 1.477  -0.072 1.522  0.193 1.512  0.431 1.393  0.536 1.187  0.536 0.920  0.490 0.664  0.360 0.457  0.159 0.282  -0.030 0.093  -0.249 -0.023  -0.471 -0.068  -0.281 -0.068  -0.014 -0.068  0.253 -0.068  0.426 -0.250  0.627 -0.316  0.717 -0.492  0.673 -0.748  0.561 -0.964  0.348 -1.119  0.157 -1.305  -0.077 -1.431  -0.328 -1.522
2#tos#f2#f2024065/C  0.800 0.950  0.703 0.950  0.622 0.967  0.553 0.995  0.478 1.050  0.439 1.128  0.342 1.128  0.245 1.128  0.147 1.128  0.052 1.117  -0.041 1.086  -0.111 1.019  -0.180 0.950  -0.267 0.907  -0.274 0.814  -0.362 0.770  -0.448 0.726  -0.502 0.645  -0.545 0.559  -0.569 0.465  -0.596 0.371  -0.627 0.279  -0.658 0.186  -0.671 0.091  -0.671 -0.006  -0.671 -0.104  -0.671 -0.201  -0.670 -0.299  -0.627 -0.386  -0.583 -0.473  -0.541 -0.548  -0.460 -0.602  -0.389 -0.669  -0.320 -0.738  -0.230 -0.772  -0.144 -0.816  -0.066 -0.874  0.015 -0.922  0.112 -0.922  0.197 -0.966  0.280 -1.011  0.378 -1.011  0.475 -1.011  0.573 -1.011  0.670 -1.011  0.767 -1.011  0.865 -1.011  0.962 -1.011  1.060 -1.011  1.157 -1.011
2#tos#f2#f2024065/D  -0.021 1.089  -0.021 1.309  -0.109 1.230  -0.133 1.012  -0.153 0.795  -0.197 0.583  -0.287 0.383  -0.372 0.183  -0.372 -0.037  -0.377 -0.256  -0.413 -0.473  -0.456 -0.689  -0.465 -0.908  -0.504 -1.123  -0.504 -1.343  -0.500 -1.523  -0.455 -1.308  -0.411 -1.092  -0.367 -0.877  -0.323 -0.662  -0.279 -0.446  -0.234 -0.231  -0.190 -0.016  -0.153 0.200  -0.306 0.317  -0.372 0.492  -0.372 0.712  -0.328 0.913  -0.258 1.089  -0.049 1.133  0.171 1.133  0.391 1.133  0.611 1.133  0.803 1.037  0.997 0.949  1.119 0.770  1.119 0.550  1.119 0.330  1.119 0.110  1.034 -0.090  0.878 -0.243  0.705 -0.378  0.534 -0.515  0.333 -0.603  0.154 -0.727  -0.030 -0.845  -0.230 -0.935  -0.443 -0.986  -0.595 -1.128  -0.811 -1.148
2#tos#f2#f2024065/G  0.698 1.182  0.531 1.284  0.404 1.430  0.243 1.555  0.030 1.555  -0.178 1.510  -0.314 1.355  -0.477 1.219  -0.603 1.048  -0.683 0.850  -0.775 0.658  -0.812 0.455  -0.886 0.264  -0.886 0.051  -0.886 -0.162  -0.886 -0.376  -0.857 -0.584  -0.707 -0.724  -0.570 -0.877  -0.374 -0.938  -0.171 -1.001  0.041 -1.008  0.255 -1.008  0.419 -0.934  0.471 -0.805  0.397 -0.605  0.323 -0.405  0.249 -0.205  0.175 -0.005  0.101 0.195  -0.010 0.343  -0.223 0.343  -0.311 0.343  -0.098 0.343  0.115 0.343  0.329 0.343  0.542 0.343  0.735 0.346  0.558 0.358  0.372 0.332  0.372 0.118  0.372 -0.095  0.372 -0.308  0.372 -0.521  0.372 -0.735  0.372 -0.948  0.372 -1.161  0.372 -1.374  0.372 -1.587  0.372 -1.801
2#tos#f2#f2024065/H  -0.213 0.996  -0.319 1.125  -0.526 1.135  -0.689 1.237  -0.733 1.106  -0.733 0.896  -0.733 0.686  -0.733 0.475  -0.733 0.265  -0.733 0.055  -0.733 -0.155  -0.733 -0.365  -0.663 -0.562  -0.646 -0.769  -0.608 -0.975  -0.595 -1.183  -0.501 -1.371  -0.463 -1.281  -0.448 -1.071  -0.434 -0.861  -0.420 -0.651  -0.405 -0.442  -0.391 -0.232  -0.423 -0.026  -0.612 0.001  -0.602 0.145  -0.396 0.174  -0.186 0.174  0.024 0.174  0.234 0.174  0.445 0.174  0.655 0.174  0.754 0.333  0.827 0.530  0.899 0.728  0.972 0.925  0.907 1.041  0.738 1.047  0.738 0.837  0.738 0.627  0.738 0.416  0.738 0.206  0.738 -0.004  0.738 -0.214  0.738 -0.425  0.738 -0.635  0.738 -0.845  0.738 -1.055  0.782 -1.260  0.782 -1.470
2#tos#f2#f2024065/I  -0.056 0.878  -0.165 0.914  -0.282 0.928  -0.344 1.033  -0.344 1.157  -0.336 1.202  -0.212 1.202  -0.130 1.133  -0.012 1.101  0.101 1.061  0.214 1.022  0.330 0.990  0.449 0.961  0.541 0.955  0.423 0.994  0.306 1.033  0.185 1.058  0.088 1.031  0.018 0.950  0.016 0.827  0.016 0.703  0.016 0.579  0.016 0.455  0.016 0.331  0.016 0.207  0.016 0.083  0.016 -0.042  0.016 -0.166  0.016 -0.290  0.016 -0.414  0.016 -0.538  0.016 -0.662  0.016 -0.786  0.016 -0.910  0.016 -1.034  0.016 -1.159  0.016 -1.282  -0.095 -1.227  -0.216 -1.210  -0.340 -1.210  -0.428 -1.174  -0.476 -1.108  -0.359 -1.138  -0.239 -1.155  -0.120 -1.174  0.005 -1.174  0.124 -1.192  0.236 -1.246  0.360 -1.246  0.484 -1.246
2#tos#f2#f2024065/L  -0.289 1.477  -0.346 1.512  -0.414 1.474  -0.455 1.392  -0.464 1.302  -0.476 1.211  -0.487 1.120  -0.499 1.029  -0.546 0.951  -0.570 0.866  -0.570 0.774  -0.570 0.683  -0.570 0.591  -0.570 0.499  -0.570 0.407  -0.570 0.315  -0.570 0.223  -0.570 0.131  -0.570 0.040  -0.570 -0.052  -0.556 -0.142  -0.535 -0.230  -0.530 -0.321  -0.500 -0.406  -0.500 -0.497  -0.500 -0.589  -0.438 -0.655  -0.364 -0.699  -0.280 -0.734  -0.188 -0.734  -0.096 -0.734  -0.005 -0.734  0.087 -0.734  0.179 -0.734  0.267 -0.712  0.357 -0.699  0.444 -0.672  0.529 -0.638  0.618 -0.616  0.708 -0.598  0.796 -0.571  0.880 -0.536  0.960 -0.490  1.039 -0.443  1.123 -0.418  1.212 -0.397  1.299 -0.368  1.361 -0.321  1.409 -0.278  1.466 -0.243
2#tos#f2#f2024065/O  0.030 0.502  0.103 0.616  0.103 0.759  0.028 0.828  -0.115 0.828  -0.258 0.828  -0.394 0.796  -0.513 0.719  -0.641 0.655  -0.743 0.568  -0.780 0.430  -0.832 0.311  -0.925 0.226  -0.960 0.087  -1.018 -0.039  -1.018 -0.182  -1.018 -0.326  -1.018 -0.469  -0.984 -0.603  -0.911 -0.726  -0.810 -0.827  -0.685 -0.887  -0.580 -0.964  -0.440 -0.998  -0.299 -1.017  -0.156 -1.017  -0.013 -1.017  0.131 -1.017  0.274 -1.017  0.412 -1.002  0.527 -0.916  0.653 -0.857  0.725 -0.734  0.819 -0.626  0.862 -0.501  0.867 -0.359  0.935 -0.236  0.935 -0.093  0.935 0.050  0.935 0.194  0.918 0.334  0.873 0.470  0.853 0.611  0.804 0.742  0.699 0.837  0.599 0.934  0.481 1.003  0.345 1.045  0.201 1.045  0.067 1.009
2#tos#f2#f2024065/S  0.700 0.428  0.764 0.440  0.824 0.529  0.838 0.650  0.866 0.764  0.866 0.890  0.791 0.977  0.686 1.047  0.578 1.112  0.457 1.135  0.331 1.135  0.205 1.135  0.078 1.135  -0.048 1.135  -0.149 1.075  -0.266 1.051  -0.350 0.973  -0.381 0.856  -0.381 0.730  -0.381 0.604  -0.381 0.477  -0.326 0.374  -0.237 0.284  -0.142 0.202  -0.034 0.137  0.035 0.050  0.056 -0.072  0.149 -0.148  0.210 -0.256  0.291 -0.344  0.353 -0.445  0.367 -0.569  0.409 -0.678  0.396 -0.801  0.351 -0.912  0.246 -0.982  0.134 -1.039  0.014 -1.068  -0.077 -1.125  -0.187 -1.151  -0.313 -1.151  -0.440 -1.151  -0.566 -1.151  -0.692 -1.151  -0.800 -1.106  -0.870 -1.004  -0.963 -0.931  -1.002 -0.821  -1.004 -0.696  -1.004 -0.569
