3#apb#apb02#app0272/S  0.160 0.718  0.228 0.820  0.284 0.929  0.350 1.032  0.372 1.148  0.342 1.266  0.267 1.344  0.151 1.331  0.041 1.276  -0.067 1.219  -0.172 1.156  -0.278 1.093  -0.374 1.018  -0.464 0.935  -0.555 0.852  -0.629 0.755  -0.700 0.655  -0.732 0.537  -0.723 0.423  -0.657 0.321  -0.560 0.246  -0.463 0.171  -0.355 0.116  -0.239 0.075  -0.123 0.035  -0.008 -0.006  0.108 -0.047  0.224 -0.087  0.338 -0.131  0.451 -0.180  0.564 -0.228  0.635 -0.328  0.702 -0.429  0.726 -0.550  0.728 -0.670  0.704 -0.790  0.639 -0.893  0.560 -0.986  0.474 -1.073  0.369 -1.134  0.258 -1.186  0.143 -1.227  0.024 -1.257  -0.097 -1.277  -0.219 -1.288  -0.340 -1.272  -0.454 -1.237  -0.540 -1.149  -0.593 -1.044  -0.497 -1.001
3#apb#apb02#app0272/e  -0.550 -0.033  -0.670 0.052  -0.666 0.142  -0.546 0.059  -0.411 -0.034  -0.248 -0.058  -0.084 -0.064  0.080 -0.060  0.243 -0.040  0.382 0.035  0.507 0.143  0.636 0.246  0.729 0.377  0.795 0.528  0.835 0.684  0.786 0.841  0.722 0.992  0.593 1.091  0.444 1.154  0.284 1.190  0.125 1.165  -0.033 1.118  -0.185 1.056  -0.334 0.988  -0.468 0.897  -0.577 0.774  -0.687 0.651  -0.797 0.529  -0.907 0.407  -0.961 0.263  -0.961 0.098  -0.950 -0.066  -0.923 -0.228  -0.891 -0.388  -0.781 -0.510  -0.670 -0.633  -0.550 -0.744  -0.418 -0.843  -0.286 -0.941  -0.135 -0.987  0.029 -0.997  0.194 -1.007  0.358 -1.012  0.523 -1.012  0.687 -1.012  0.852 -1.005  1.016 -0.990  1.180 -0.981  1.344 -0.981  1.346 -0.854
3#apb#apb02#app0272/r  -0.652 0.499  -0.652 0.631  -0.714 0.737  -0.792 0.696  -0.791 0.565  -0.749 0.440  -0.707 0.314  -0.669 0.188  -0.634 0.061  -0.600 -0.066  -0.564 -0.193  -0.528 -0.320  -0.492 -0.447  -0.456 -0.573  -0.409 -0.696  -0.356 -0.817  -0.302 -0.937  -0.250 -1.059  -0.198 -1.180  -0.127 -1.290  -0.054 -1.400  -0.015 -1.426  0.013 -1.299  -0.006 -1.169  -0.023 -1.038  -0.036 -0.907  -0.049 -0.776  -0.053 -0.644  -0.053 -0.512  -0.053 -0.381  -0.053 -0.249  -0.053 -0.117  -0.053 0.015  -0.053 0.147  -0.037 0.273  0.045 0.376  0.124 0.481  0.201 0.588  0.281 0.693  0.374 0.786  0.467 0.879  0.587 0.932  0.710 0.981  0.833 1.029  0.961 1.057  1.090 1.086  1.220 1.098  1.343 1.063  1.456 0.995  1.530 0.887
3#apb#apb02#app0272/s  0.213 1.047  0.215 1.077  0.109 1.156  -0.011 1.140  -0.136 1.099  -0.264 1.070  -0.395 1.054  -0.519 1.015  -0.639 0.960  -0.758 0.904  -0.875 0.845  -0.976 0.761  -1.075 0.674  -1.136 0.572  -1.081 0.463  -0.963 0.404  -0.844 0.349  -0.714 0.323  -0.585 0.298  -0.456 0.272  -0.328 0.244  -0.199 0.214  -0.071 0.184  0.057 0.153  0.185 0.123  0.314 0.094  0.442 0.064  0.570 0.034  0.695 -0.008  0.820 -0.050  0.906 -0.144  0.982 -0.251  1.040 -0.368  1.092 -0.490  1.027 -0.598  0.950 -0.705  0.849 -0.788  0.744 -0.867  0.638 -0.946  0.533 -1.025  0.427 -1.102  0.306 -1.154  0.182 -1.194  0.050 -1.194  -0.077 -1.165  -0.201 -1.125  -0.271 -1.014  -0.324 -0.895  -0.279 -0.788  -0.166 -0.721
3#apb#apb02#app0272/i  -0.283 0.010  -0.217 0.109  -0.216 0.180  -0.231 0.067  -0.231 -0.053  -0.231 -0.172  -0.231 -0.291  -0.231 -0.411  -0.249 -0.528  -0.270 -0.646  -0.295 -0.762  -0.324 -0.878  -0.311 -0.992  -0.272 -1.105  -0.222 -1.209  -0.107 -1.242  0.010 -1.258  0.129 -1.258  0.241 -1.222  0.348 -1.170  0.432 -1.086  0.525 -1.015  0.593 -0.932  0.631 -0.819  0.624 -0.707  0.578 -0.597  0.532 -0.487  0.486 -0.377  0.440 -0.267  0.394 -0.157  0.348 -0.047  0.302 0.063  0.257 0.174  0.211 0.284  0.165 0.394  0.119 0.504  0.073 0.614  0.027 0.724  -0.019 0.834  -0.065 0.944  -0.110 1.054  -0.156 1.164  -0.202 1.275  -0.248 1.385  -0.294 1.495  -0.340 1.605  -0.386 1.715  -0.488 1.768  -0.589 1.713  -0.645 1.613
3#apb#apb02#app0272/t  0.109 1.180  0.092 1.352  0.070 1.523  0.071 1.693  0.103 1.605  0.091 1.432  0.081 1.260  0.073 1.087  0.065 0.915  0.054 0.742  0.033 0.571  0.011 0.399  -0.010 0.228  -0.017 0.055  -0.017 -0.118  -0.017 -0.290  -0.017 -0.463  0.005 -0.634  0.031 -0.805  0.058 -0.976  0.106 -1.142  0.153 -1.308  0.243 -1.455  0.333 -1.602  0.335 -1.549  0.225 -1.416  0.121 -1.277  0.008 -1.147  -0.110 -1.020  -0.227 -0.894  -0.345 -0.767  -0.463 -0.640  -0.580 -0.514  -0.698 -0.387  -0.816 -0.261  -0.919 -0.129  -0.900 0.040  -0.790 0.169  -0.649 0.262  -0.481 0.299  -0.312 0.337  -0.141 0.365  0.030 0.386  0.202 0.407  0.373 0.427  0.546 0.427  0.719 0.427  0.892 0.427  1.064 0.427  1.212 0.352
3#apb#apb02#app0272/y  -0.488 1.004  -0.457 1.140  -0.461 1.280  -0.489 1.338  -0.551 1.212  -0.589 1.077  -0.610 0.940  -0.610 0.799  -0.573 0.666  -0.503 0.546  -0.402 0.463  -0.262 0.454  -0.130 0.486  -0.033 0.588  0.041 0.703  0.067 0.841  0.077 0.980  0.056 1.119  0.023 1.093  0.063 0.962  0.105 0.828  0.152 0.696  0.205 0.566  0.261 0.437  0.321 0.310  0.368 0.178  0.408 0.043  0.442 -0.093  0.468 -0.231  0.493 -0.369  0.523 -0.506  0.553 -0.643  0.581 -0.781  0.604 -0.919  0.615 -1.059  0.606 -1.199  0.571 -1.334  0.487 -1.443  0.363 -1.504  0.225 -1.507  0.111 -1.425  0.011 -1.328  -0.075 -1.217  -0.148 -1.098  -0.209 -0.971  -0.274 -0.848  -0.360 -0.737  -0.444 -0.624  -0.518 -0.505  -0.610 -0.408
3#apb#apb02#app0272/W  -1.080 0.506  -1.114 0.681  -1.100 0.859  -1.080 1.035  -1.114 1.025  -1.082 0.849  -1.031 0.677  -0.988 0.504  -0.951 0.329  -0.904 0.156  -0.854 -0.015  -0.792 -0.183  -0.729 -0.350  -0.640 -0.506  -0.545 -0.657  -0.443 -0.804  -0.312 -0.916  -0.204 -0.801  -0.161 -0.628  -0.171 -0.449  -0.181 -0.271  -0.191 -0.092  -0.207 0.086  -0.230 0.263  -0.262 0.439  -0.264 0.574  -0.225 0.401  -0.156 0.236  -0.087 0.071  -0.009 -0.090  0.073 -0.249  0.183 -0.390  0.293 -0.531  0.400 -0.674  0.524 -0.803  0.670 -0.902  0.841 -0.946  1.005 -0.889  1.107 -0.745  1.178 -0.582  1.211 -0.408  1.211 -0.229  1.192 -0.051  1.168 0.126  1.129 0.300  1.083 0.473  1.026 0.643  0.966 0.811  0.931 0.986  0.916 1.131
3#apb#apb02#app0272/a  -0.006 0.548  0.031 0.717  0.014 0.881  -0.047 1.044  -0.192 1.106  -0.344 1.129  -0.488 1.033  -0.631 0.934  -0.774 0.835  -0.892 0.709  -1.004 0.577  -1.106 0.438  -1.157 0.272  -1.201 0.106  -1.176 -0.066  -1.151 -0.238  -1.043 -0.371  -0.923 -0.495  -0.760 -0.554  -0.594 -0.596  -0.420 -0.596  -0.250 -0.579  -0.087 -0.519  0.064 -0.437  0.203 -0.333  0.248 -0.167  0.287 0.002  0.303 0.172  0.269 0.342  0.233 0.512  0.182 0.677  0.097 0.806  0.021 0.651  0.003 0.478  0.007 0.306  0.033 0.134  0.081 -0.031  0.154 -0.189  0.237 -0.340  0.347 -0.474  0.458 -0.607  0.588 -0.723  0.718 -0.837  0.887 -0.876  1.056 -0.915  1.229 -0.930  1.402 -0.942  1.576 -0.942  1.740 -0.899  1.777 -0.756
3#apb#apb02#app0272/t  -0.365 1.149  -0.379 1.316  -0.393 1.483  -0.406 1.650  -0.397 1.816  -0.390 1.764  -0.345 1.603  -0.298 1.442  -0.264 1.278  -0.235 1.113  -0.206 0.948  -0.163 0.786  -0.118 0.625  -0.073 0.463  -0.021 0.304  0.034 0.146  0.089 -0.013  0.142 -0.172  0.193 -0.331  0.244 -0.491  0.296 -0.650  0.351 -0.809  0.407 -0.967  0.471 -1.122  0.541 -1.274  0.615 -1.424  0.650 -1.504  0.583 -1.352  0.493 -1.210  0.399 -1.072  0.291 -0.945  0.157 -0.845  0.023 -0.744  -0.111 -0.643  -0.245 -0.543  -0.379 -0.442  -0.513 -0.342  -0.638 -0.231  -0.769 -0.129  -0.765 -0.083  -0.598 -0.099  -0.431 -0.109  -0.263 -0.114  -0.096 -0.107  0.072 -0.099  0.238 -0.079  0.403 -0.050  0.566 -0.014  0.727 0.033  0.879 0.088
3#apb#apb02#app0272/e  -0.598 -0.105  -0.768 -0.080  -0.881 0.039  -0.769 0.036  -0.599 0.011  -0.428 0.007  -0.257 -0.001  -0.087 -0.020  0.083 -0.001  0.249 0.039  0.410 0.096  0.540 0.208  0.666 0.325  0.777 0.453  0.844 0.611  0.867 0.777  0.805 0.925  0.660 1.015  0.499 1.075  0.336 1.128  0.172 1.171  0.009 1.117  -0.150 1.055  -0.307 0.985  -0.437 0.874  -0.565 0.760  -0.678 0.632  -0.787 0.499  -0.877 0.355  -0.943 0.197  -0.987 0.034  -0.987 -0.137  -0.970 -0.305  -0.894 -0.458  -0.817 -0.612  -0.690 -0.717  -0.539 -0.799  -0.378 -0.853  -0.211 -0.892  -0.044 -0.932  0.126 -0.939  0.298 -0.939  0.469 -0.939  0.641 -0.931  0.812 -0.920  0.981 -0.901  1.137 -0.829  1.292 -0.757  1.460 -0.724  1.515 -0.633
3#apb#apb02#app0272/r  -0.984 -0.082  -0.984 0.057  -0.984 0.196  -0.984 0.335  -1.006 0.473  -1.017 0.611  -0.981 0.533  -0.923 0.407  -0.868 0.279  -0.790 0.165  -0.703 0.056  -0.616 -0.052  -0.541 -0.170  -0.471 -0.290  -0.401 -0.410  -0.330 -0.530  -0.258 -0.649  -0.187 -0.769  -0.100 -0.877  -0.009 -0.982  0.078 -1.090  0.150 -1.210  0.214 -1.333  0.229 -1.285  0.184 -1.154  0.154 -1.018  0.122 -0.882  0.078 -0.750  0.034 -0.618  -0.005 -0.485  -0.018 -0.346  -0.030 -0.208  -0.027 -0.069  -0.012 0.069  0.016 0.205  0.060 0.337  0.122 0.462  0.184 0.586  0.277 0.688  0.375 0.787  0.499 0.849  0.626 0.906  0.757 0.950  0.892 0.984  1.028 0.979  1.164 0.949  1.297 0.911  1.428 0.862  1.561 0.824  1.698 0.801
3#apb#apb02#app0272/W  -1.282 0.443  -1.297 0.615  -1.318 0.784  -1.252 0.624  -1.205 0.457  -1.163 0.289  -1.107 0.125  -1.040 -0.035  -0.955 -0.186  -0.859 -0.330  -0.750 -0.465  -0.627 -0.588  -0.495 -0.699  -0.364 -0.795  -0.258 -0.676  -0.241 -0.503  -0.230 -0.330  -0.223 -0.157  -0.223 0.017  -0.244 0.189  -0.267 0.361  -0.313 0.512  -0.272 0.344  -0.213 0.181  -0.152 0.019  -0.094 -0.145  -0.001 -0.290  0.103 -0.429  0.202 -0.571  0.298 -0.716  0.422 -0.836  0.565 -0.933  0.723 -0.992  0.893 -0.975  1.020 -0.870  1.095 -0.715  1.123 -0.544  1.123 -0.371  1.091 -0.201  1.047 -0.033  0.969 0.122  0.894 0.278  0.828 0.439  0.764 0.600  0.704 0.763  0.644 0.926  0.586 1.089  0.515 1.247  0.449 1.407  0.387 1.556
3#apb#apb02#app0272/o  -0.334 0.109  -0.268 0.245  -0.238 0.394  -0.261 0.542  -0.395 0.556  -0.540 0.514  -0.673 0.444  -0.796 0.356  -0.899 0.246  -0.992 0.127  -1.052 -0.013  -1.069 -0.157  -1.039 -0.305  -0.997 -0.450  -0.923 -0.582  -0.846 -0.712  -0.732 -0.812  -0.618 -0.912  -0.475 -0.951  -0.326 -0.974  -0.176 -0.997  -0.024 -0.986  0.127 -0.975  0.277 -0.957  0.422 -0.913  0.567 -0.868  0.706 -0.812  0.827 -0.721  0.946 -0.627  1.045 -0.512  1.136 -0.393  1.180 -0.247  1.224 -0.102  1.209 0.048  1.167 0.190  1.089 0.320  1.011 0.450  0.891 0.541  0.765 0.625  0.636 0.706  0.506 0.784  0.375 0.859  0.224 0.870  0.073 0.882  -0.079 0.888  -0.230 0.876  -0.381 0.864  -0.533 0.858  -0.684 0.858  -0.823 0.826
3#apb#apb02#app0272/r  -0.782 0.519  -0.748 0.656  -0.705 0.691  -0.744 0.574  -0.669 0.457  -0.609 0.332  -0.570 0.196  -0.524 0.063  -0.471 -0.068  -0.419 -0.200  -0.366 -0.331  -0.313 -0.462  -0.261 -0.594  -0.208 -0.725  -0.156 -0.856  -0.103 -0.987  -0.028 -1.106  0.051 -1.224  0.073 -1.363  0.096 -1.502  0.109 -1.510  0.068 -1.374  0.030 -1.238  -0.010 -1.103  -0.051 -0.967  -0.092 -0.832  -0.124 -0.694  -0.155 -0.556  -0.174 -0.417  -0.174 -0.276  -0.174 -0.134  -0.207 0.003  -0.241 0.140  -0.233 0.279  -0.208 0.418  -0.163 0.552  -0.104 0.679  -0.021 0.794  0.064 0.905  0.187 0.975  0.310 1.045  0.446 1.079  0.584 1.110  0.724 1.127  0.865 1.127  1.002 1.109  1.129 1.046  1.249 0.972  1.360 0.885  1.460 0.785
3#apb#apb02#app0272/k  -0.556 0.984  -0.551 1.188  -0.534 1.391  -0.530 1.595  -0.511 1.798  -0.507 1.924  -0.511 1.721  -0.502 1.518  -0.471 1.316  -0.440 1.114  -0.406 0.913  -0.371 0.712  -0.339 0.511  -0.310 0.309  -0.281 0.107  -0.249 -0.095  -0.219 -0.297  -0.195 -0.499  -0.174 -0.702  -0.161 -0.906  -0.129 -1.107  -0.112 -1.309  -0.109 -1.271  -0.157 -1.074  -0.157 -0.870  -0.124 -0.670  -0.022 -0.498  0.103 -0.337  0.229 -0.176  0.354 -0.015  0.480 0.146  0.605 0.307  0.731 0.468  0.699 0.360  0.596 0.184  0.488 0.015  0.332 -0.117  0.162 -0.230  -0.020 -0.322  -0.202 -0.412  -0.292 -0.266  -0.134 -0.369  0.014 -0.509  0.175 -0.634  0.327 -0.770  0.496 -0.880  0.681 -0.965  0.856 -1.070  1.019 -1.155  0.930 -1.056
3#apb#apb02#app0272/s  0.169 0.978  0.290 1.027  0.407 1.083  0.383 1.173  0.255 1.165  0.127 1.146  0.006 1.097  -0.115 1.049  -0.236 1.000  -0.356 0.948  -0.474 0.893  -0.592 0.838  -0.710 0.783  -0.806 0.695  -0.898 0.603  -0.966 0.497  -0.998 0.371  -0.988 0.246  -0.877 0.190  -0.755 0.144  -0.625 0.135  -0.495 0.127  -0.364 0.119  -0.234 0.115  -0.104 0.115  0.027 0.115  0.156 0.106  0.284 0.080  0.412 0.054  0.540 0.029  0.659 -0.023  0.778 -0.076  0.867 -0.168  0.924 -0.281  0.943 -0.410  0.908 -0.533  0.862 -0.655  0.785 -0.759  0.704 -0.862  0.609 -0.946  0.492 -1.005  0.376 -1.063  0.257 -1.116  0.138 -1.169  0.017 -1.219  -0.104 -1.267  -0.228 -1.304  -0.357 -1.322  -0.482 -1.360  -0.609 -1.383
3#apb#apb02#app0272/A  -0.295 0.797  -0.314 0.910  -0.371 0.653  -0.380 0.389  -0.388 0.125  -0.402 -0.138  -0.415 -0.402  -0.448 -0.663  -0.499 -0.922  -0.547 -1.181  -0.571 -1.347  -0.547 -1.085  -0.522 -0.823  -0.508 -0.559  -0.508 -0.295  -0.508 -0.031  -0.490 0.233  -0.470 0.496  -0.440 0.758  -0.405 1.020  -0.359 1.280  -0.294 1.535  -0.222 1.789  -0.062 1.905  -0.002 1.648  0.062 1.392  0.123 1.135  0.175 0.876  0.255 0.626  0.353 0.381  0.464 0.141  0.574 -0.099  0.670 -0.345  0.763 -0.592  0.852 -0.840  0.935 -1.091  1.030 -1.336  0.968 -1.160  0.850 -0.927  0.747 -0.723  0.501 -0.628  0.254 -0.533  0.008 -0.438  -0.238 -0.343  -0.484 -0.287  -0.304 -0.311  -0.042 -0.278  0.221 -0.253  0.484 -0.233  0.748 -0.224
