3#app#app41#app4154/w  -1.322 1.125  -1.151 1.125  -1.040 1.065  -1.040 0.895  -1.040 0.724  -1.040 0.553  -1.040 0.383  -1.040 0.212  -1.040 0.042  -0.914 -0.003  -0.758 -0.018  -0.758 -0.188  -0.758 -0.359  -0.758 -0.530  -0.758 -0.700  -0.736 -0.849  -0.565 -0.849  -0.476 -0.767  -0.476 -0.597  -0.335 -0.567  -0.194 -0.537  -0.194 -0.367  -0.194 -0.196  -0.194 -0.025  -0.046 -0.003  0.088 0.034  0.088 0.205  0.088 0.375  0.088 0.546  0.088 0.405  0.088 0.235  0.088 0.064  0.161 -0.076  0.282 -0.197  0.370 -0.331  0.370 -0.502  0.475 -0.567  0.646 -0.567  0.817 -0.567  0.972 -0.529  1.092 -0.408  1.213 -0.288  1.334 -0.167  1.454 -0.046  1.498 0.106  1.498 0.277  1.378 0.398  1.258 0.519  1.216 0.672  1.216 0.843
3#app#app41#app4154/o  0.387 1.152  0.282 1.047  0.177 0.943  0.073 0.838  -0.032 0.733  -0.143 0.642  -0.291 0.642  -0.439 0.642  -0.587 0.642  -0.633 0.540  -0.633 0.391  -0.633 0.243  -0.670 0.133  -0.818 0.133  -0.966 0.133  -1.115 0.133  -1.142 0.012  -1.142 -0.136  -1.142 -0.284  -1.103 -0.416  -0.998 -0.521  -0.894 -0.625  -0.789 -0.730  -0.684 -0.835  -0.557 -0.887  -0.409 -0.887  -0.261 -0.887  -0.113 -0.887  0.035 -0.887  0.183 -0.887  0.332 -0.887  0.480 -0.887  0.628 -0.887  0.776 -0.887  0.896 -0.859  0.896 -0.711  0.896 -0.563  0.896 -0.415  0.896 -0.266  0.896 -0.118  0.896 0.030  0.896 0.178  0.896 0.326  0.896 0.474  0.896 0.622  0.806 0.733  0.701 0.838  0.596 0.943  0.492 1.047  0.387 1.152
3#app#app41#app4154/u  -1.102 1.018  -1.102 0.889  -1.102 0.760  -1.102 0.631  -1.102 0.502  -1.102 0.373  -1.102 0.244  -1.102 0.116  -1.102 -0.013  -1.102 -0.142  -1.102 -0.271  -1.102 -0.400  -1.020 -0.495  -0.929 -0.586  -0.838 -0.677  -0.747 -0.768  -0.656 -0.860  -0.539 -0.890  -0.410 -0.890  -0.282 -0.890  -0.153 -0.890  -0.060 -0.802  0.031 -0.711  0.122 -0.620  0.213 -0.528  0.304 -0.437  0.395 -0.346  0.486 -0.255  0.578 -0.164  0.669 -0.073  0.760 0.018  0.805 0.128  0.805 0.257  0.805 0.386  0.805 0.515  0.805 0.644  0.805 0.773  0.805 0.902  0.805 1.005  0.805 0.876  0.805 0.747  0.805 0.618  0.805 0.489  0.805 0.360  0.805 0.231  0.805 0.103  0.805 -0.026  0.805 -0.155  0.805 -0.284  0.805 -0.413
3#app#app41#app4154/s  1.356 1.142  1.356 1.000  1.356 0.858  1.343 0.728  1.201 0.728  1.058 0.728  0.916 0.728  0.774 0.728  0.631 0.728  0.489 0.728  0.347 0.728  0.204 0.728  0.062 0.728  -0.080 0.728  -0.223 0.728  -0.302 0.665  -0.302 0.523  -0.302 0.381  -0.377 0.314  -0.520 0.314  -0.662 0.314  -0.804 0.314  -0.947 0.314  -1.089 0.314  -1.131 0.213  -1.131 0.071  -1.131 -0.072  -1.018 -0.101  -0.876 -0.101  -0.733 -0.101  -0.591 -0.101  -0.449 -0.101  -0.306 -0.101  -0.204 -0.199  -0.104 -0.299  -0.003 -0.400  0.098 -0.500  0.198 -0.601  0.299 -0.702  0.400 -0.802  0.500 -0.903  0.422 -0.930  0.280 -0.930  0.137 -0.930  0.112 -1.047  0.112 -1.189  0.112 -1.332  -0.017 -1.344  -0.160 -1.344  -0.302 -1.344
3#app#app41#app4154/h  -0.647 1.880  -0.647 1.745  -0.647 1.610  -0.524 1.597  -0.389 1.597  -0.364 1.488  -0.364 1.353  -0.364 1.218  -0.364 1.083  -0.364 0.948  -0.364 0.813  -0.364 0.678  -0.364 0.543  -0.364 0.408  -0.364 0.273  -0.364 0.138  -0.364 0.003  -0.364 -0.132  -0.364 -0.267  -0.364 -0.402  -0.364 -0.537  -0.364 -0.672  -0.364 -0.807  -0.364 -0.942  -0.364 -1.077  -0.364 -1.212  -0.245 -1.227  -0.110 -1.227  -0.006 -1.151  0.089 -1.056  0.185 -0.960  0.200 -0.832  0.200 -0.697  0.301 -0.662  0.436 -0.662  0.483 -0.574  0.483 -0.439  0.483 -0.305  0.483 -0.170  0.483 -0.035  0.483 0.100  0.533 0.185  0.668 0.185  0.765 0.148  0.765 0.013  0.765 -0.122  0.765 -0.257  0.765 -0.392  0.765 -0.527  0.765 -0.662
3#app#app41#app4154/o  -0.043 1.518  -0.130 1.431  -0.217 1.344  -0.304 1.257  -0.391 1.170  -0.454 1.073  -0.454 0.950  -0.454 0.827  -0.454 0.704  -0.569 0.695  -0.692 0.695  -0.815 0.695  -0.866 0.623  -0.866 0.500  -0.866 0.377  -0.866 0.254  -0.866 0.131  -0.866 0.007  -0.866 -0.116  -0.755 -0.128  -0.632 -0.128  -0.509 -0.128  -0.454 -0.197  -0.454 -0.320  -0.454 -0.443  -0.436 -0.558  -0.349 -0.645  -0.262 -0.732  -0.175 -0.819  -0.087 -0.906  0.017 -0.951  0.140 -0.951  0.263 -0.951  0.381 -0.939  0.468 -0.852  0.555 -0.765  0.643 -0.678  0.730 -0.591  0.832 -0.540  0.955 -0.540  1.078 -0.540  1.192 -0.531  1.192 -0.408  1.192 -0.285  1.192 -0.162  1.129 -0.065  1.042 0.022  0.955 0.109  0.868 0.197  0.781 0.284
3#app#app41#app4154/u  -0.702 1.483  -0.702 1.335  -0.702 1.187  -0.702 1.038  -0.702 0.890  -0.702 0.741  -0.702 0.593  -0.779 0.477  -0.884 0.372  -0.989 0.267  -1.094 0.162  -1.166 0.043  -1.166 -0.105  -1.166 -0.254  -1.147 -0.394  -1.042 -0.499  -0.937 -0.604  -0.832 -0.709  -0.727 -0.814  -0.589 -0.839  -0.440 -0.839  -0.292 -0.839  -0.144 -0.839  0.005 -0.839  0.153 -0.839  0.227 -0.765  0.227 -0.616  0.227 -0.468  0.282 -0.375  0.431 -0.375  0.579 -0.375  0.692 -0.339  0.692 -0.190  0.692 -0.042  0.704 0.102  0.809 0.207  0.913 0.312  1.018 0.416  1.123 0.521  1.055 0.554  0.906 0.554  0.758 0.554  0.692 0.472  0.692 0.324  0.692 0.175  0.737 0.045  0.842 -0.060  0.947 -0.165  1.051 -0.270  1.156 -0.375
3#app#app41#app4154/l  -0.205 1.702  -0.205 1.625  -0.205 1.547  -0.205 1.469  -0.205 1.391  -0.205 1.313  -0.205 1.235  -0.205 1.157  -0.205 1.080  -0.205 1.002  -0.205 0.924  -0.205 0.846  -0.205 0.768  -0.205 0.690  -0.205 0.612  -0.205 0.535  -0.133 0.529  -0.055 0.529  0.023 0.529  0.088 0.517  0.088 0.439  0.088 0.361  0.088 0.283  0.088 0.205  0.088 0.127  0.088 0.049  0.088 -0.028  0.088 -0.106  0.088 -0.184  0.088 -0.262  0.088 -0.340  0.088 -0.418  0.088 -0.496  0.088 -0.573  0.088 -0.651  0.088 -0.729  0.088 -0.807  0.088 -0.885  0.088 -0.963  0.088 -1.041  0.088 -1.118  0.088 -1.196  0.088 -1.274  0.088 -1.352  0.088 -1.430  0.088 -1.508  0.148 -1.526  0.226 -1.526  0.304 -1.526  0.382 -1.526
3#app#app41#app4154/d  0.257 -0.239  0.062 -0.239  -0.133 -0.239  -0.292 -0.275  -0.292 -0.470  -0.444 -0.513  -0.567 -0.586  -0.567 -0.781  -0.567 -0.976  -0.567 -1.172  -0.537 -1.337  -0.342 -1.337  -0.292 -1.192  -0.226 -1.063  -0.031 -1.063  -0.017 -0.881  0.085 -0.788  0.257 -0.765  0.257 -0.570  0.257 -0.375  0.257 -0.179  0.257 0.016  0.257 0.211  0.257 0.406  0.257 0.601  0.257 0.797  0.257 0.992  0.257 1.187  0.257 1.382  0.257 1.577  0.194 1.747  0.056 1.885  -0.017 1.868  -0.017 1.672  -0.017 1.477  -0.017 1.282  -0.017 1.087  -0.017 0.892  -0.017 0.696  -0.017 0.501  -0.017 0.306  -0.017 0.111  -0.017 -0.085  -0.017 -0.280  -0.017 -0.475  0.094 -0.624  0.232 -0.762  0.257 -0.947  0.257 -1.142  0.257 -1.337
3#app#app41#app4154/n  -0.773 1.415  -0.773 1.231  -0.773 1.048  -0.676 0.962  -0.492 0.962  -0.319 0.951  -0.319 0.767  -0.319 0.584  -0.396 0.432  -0.525 0.302  -0.655 0.173  -0.773 0.038  -0.773 -0.146  -0.773 -0.329  -0.773 -0.513  -0.773 -0.696  -0.773 -0.879  -0.773 -1.063  -0.773 -1.246  -0.773 -1.181  -0.773 -0.998  -0.735 -0.852  -0.551 -0.852  -0.368 -0.852  -0.319 -0.717  -0.319 -0.534  -0.271 -0.399  -0.087 -0.399  0.096 -0.399  0.134 -0.253  0.134 -0.070  0.193 0.055  0.377 0.055  0.560 0.055  0.587 0.211  0.587 0.394  0.637 0.557  0.766 0.687  0.896 0.817  1.026 0.947  1.041 0.799  1.041 0.616  1.041 0.432  1.041 0.249  1.041 0.065  1.041 -0.118  1.041 -0.302  1.041 -0.485  1.041 -0.669  1.041 -0.852
3#app#app41#app4154/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#app#app41#app4154/t  0.159 1.916  0.332 1.916  0.429 1.839  0.429 1.666  0.429 1.492  0.389 1.336  0.266 1.213  0.159 1.084  0.159 0.910  0.060 0.836  -0.111 0.833  -0.111 0.660  -0.111 0.486  -0.111 0.313  -0.268 0.296  -0.381 0.236  -0.381 0.062  -0.381 -0.111  -0.381 -0.285  -0.381 -0.458  -0.381 -0.632  -0.381 -0.805  -0.381 -0.979  -0.381 -1.152  -0.381 -1.325  -0.207 -1.325  -0.034 -1.325  0.140 -1.325  0.313 -1.325  0.487 -1.325  0.661 -1.325  0.632 -1.208  0.546 -1.057  0.460 -0.907  0.374 -0.756  0.288 -0.605  0.202 -0.455  0.116 -0.304  0.030 -0.153  -0.057 -0.003  -0.143 0.148  -0.229 0.299  -0.315 0.449  -0.381 0.526  -0.381 0.353  -0.381 0.179  -0.362 0.025  -0.188 0.025  -0.015 0.025  0.159 0.025
3#app#app41#app4154/o  -0.077 0.299  0.093 0.299  0.263 0.299  0.433 0.299  0.603 0.299  0.773 0.299  0.943 0.299  1.114 0.299  1.128 0.455  1.128 0.625  1.128 0.795  1.065 0.902  0.895 0.902  0.725 0.902  0.555 0.902  0.385 0.902  0.215 0.902  0.045 0.902  -0.112 0.868  -0.232 0.748  -0.352 0.627  -0.472 0.507  -0.593 0.387  -0.713 0.267  -0.833 0.146  -0.954 0.026  -1.074 -0.094  -1.194 -0.215  -1.283 -0.348  -1.283 -0.518  -1.283 -0.688  -1.283 -0.858  -1.161 -0.907  -0.991 -0.907  -0.821 -0.907  -0.651 -0.907  -0.481 -0.907  -0.311 -0.907  -0.140 -0.907  0.030 -0.907  0.200 -0.907  0.370 -0.907  0.525 -0.892  0.525 -0.722  0.525 -0.552  0.525 -0.381  0.525 -0.211  0.525 -0.041  0.525 0.129  0.525 0.299
3#app#app41#app4154/f  1.115 0.903  1.115 1.067  1.048 1.204  0.932 1.321  0.789 1.373  0.625 1.373  0.460 1.373  0.296 1.373  0.174 1.330  0.174 1.166  0.038 1.138  -0.107 1.091  -0.224 0.975  -0.296 0.840  -0.296 0.676  -0.452 0.668  -0.531 0.582  -0.531 0.417  -0.531 0.253  -0.531 0.088  -0.531 -0.076  -0.531 -0.241  -0.437 -0.366  -0.321 -0.483  -0.296 -0.637  -0.254 -0.784  -0.138 -0.900  -0.061 -1.033  -0.061 -1.197  0.045 -1.318  0.161 -1.434  0.320 -1.448  0.368 -1.386  0.277 -1.249  0.186 -1.112  0.094 -0.975  0.003 -0.838  -0.088 -0.702  -0.179 -0.565  -0.270 -0.428  -0.362 -0.291  -0.453 -0.154  -0.507 -0.037  -0.342 -0.037  -0.296 -0.155  -0.248 -0.273  -0.084 -0.273  0.081 -0.273  0.245 -0.273  0.410 -0.273
