1c#app#app19#app1972/b  -0.891 1.358  -0.860 1.519  -0.760 1.586  -0.760 1.412  -0.675 1.272  -0.629 1.117  -0.629 0.942  -0.582 0.787  -0.498 0.648  -0.498 0.473  -0.498 0.299  -0.498 0.124  -0.498 -0.050  -0.498 -0.225  -0.498 -0.399  -0.498 -0.574  -0.396 -0.706  -0.368 -0.600  -0.368 -0.426  -0.368 -0.251  -0.370 -0.078  -0.494 0.045  -0.498 0.218  -0.498 0.392  -0.374 0.442  -0.330 0.573  -0.156 0.573  0.019 0.573  0.175 0.498  0.322 0.407  0.457 0.312  0.607 0.252  0.730 0.129  0.809 -0.013  0.885 -0.156  1.008 -0.279  1.071 -0.428  1.200 -0.473  1.202 -0.646  1.202 -0.820  1.202 -0.995  1.028 -0.996  0.854 -0.996  0.679 -0.996  0.505 -0.996  0.330 -0.996  0.156 -0.996  -0.019 -0.996  -0.193 -0.996  -0.237 -0.865
1c#app#app19#app1972/l  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
1c#app#app19#app1972/l  0.110 1.615  0.110 1.544  0.110 1.473  0.110 1.402  0.102 1.339  0.031 1.339  -0.028 1.327  -0.028 1.256  -0.028 1.185  -0.028 1.113  -0.028 1.042  -0.028 0.971  -0.028 0.900  -0.028 0.829  -0.028 0.758  -0.028 0.687  -0.028 0.616  -0.028 0.545  -0.028 0.474  -0.028 0.403  -0.028 0.332  -0.028 0.261  -0.028 0.189  -0.028 0.118  -0.028 0.047  -0.028 -0.024  -0.028 -0.095  -0.028 -0.166  -0.028 -0.237  -0.028 -0.308  -0.028 -0.379  -0.028 -0.450  -0.028 -0.521  -0.028 -0.592  -0.028 -0.663  -0.028 -0.735  -0.028 -0.806  -0.028 -0.877  -0.028 -0.948  -0.028 -1.019  -0.028 -1.090  -0.028 -1.161  -0.028 -1.232  -0.019 -1.301  0.013 -1.365  0.045 -1.428  0.077 -1.492  0.109 -1.555  0.110 -1.626  0.110 -1.697
1c#app#app19#app1972/e  -1.139 -0.473  -1.139 -0.295  -1.013 -0.242  -0.834 -0.242  -0.656 -0.242  -0.477 -0.242  -0.299 -0.242  -0.120 -0.242  0.058 -0.242  0.236 -0.242  0.415 -0.242  0.593 -0.242  0.707 -0.177  0.719 -0.012  0.898 -0.012  1.036 0.086  1.162 0.213  1.168 0.388  1.085 0.532  0.959 0.659  0.833 0.785  0.707 0.911  0.581 1.037  0.445 1.142  0.267 1.142  0.089 1.142  -0.090 1.142  -0.268 1.142  -0.447 1.142  -0.447 0.963  -0.573 0.911  -0.677 0.837  -0.677 0.659  -0.677 0.480  -0.677 0.302  -0.677 0.123  -0.677 -0.055  -0.677 -0.233  -0.557 -0.362  -0.431 -0.488  -0.305 -0.615  -0.216 -0.756  -0.216 -0.934  -0.090 -1.061  0.045 -1.165  0.224 -1.165  0.245 -1.322  0.350 -1.396  0.528 -1.396  0.707 -1.396
1c#app#app19#app1972/r  -0.719 -0.328  -0.830 -0.328  -0.893 -0.376  -0.893 -0.487  -0.893 -0.598  -0.893 -0.709  -0.893 -0.820  -0.893 -0.932  -0.876 -1.025  -0.765 -1.025  -0.653 -1.025  -0.545 -1.023  -0.545 -0.912  -0.494 -0.851  -0.383 -0.851  -0.370 -0.752  -0.370 -0.641  -0.370 -0.530  -0.370 -0.419  -0.370 -0.308  -0.370 -0.197  -0.370 -0.086  -0.370 0.026  -0.370 0.137  -0.370 0.248  -0.370 0.359  -0.370 0.470  -0.333 0.544  -0.222 0.544  -0.196 0.629  -0.174 0.718  -0.062 0.718  0.049 0.718  0.160 0.718  0.271 0.718  0.382 0.718  0.493 0.718  0.604 0.718  0.704 0.690  0.782 0.611  0.866 0.544  0.977 0.544  1.088 0.544  1.199 0.544  1.278 0.465  1.356 0.386  1.460 0.370  1.564 0.352  1.643 0.274  1.722 0.195
1c#app#app19#app1972/i  -0.304 1.173  -0.304 1.260  -0.304 1.347  -0.304 1.434  -0.304 1.521  -0.304 1.485  -0.304 1.398  -0.304 1.311  -0.304 1.224  -0.304 1.137  -0.304 1.050  -0.304 0.963  -0.304 0.876  -0.304 0.789  -0.304 0.702  -0.304 0.615  -0.304 0.528  -0.304 0.441  -0.304 0.354  -0.304 0.267  -0.304 0.180  -0.304 0.094  -0.304 0.007  -0.304 -0.080  -0.304 -0.167  -0.304 -0.254  -0.283 -0.320  -0.196 -0.320  -0.109 -0.320  -0.022 -0.320  0.065 -0.320  0.070 -0.403  0.070 -0.490  0.070 -0.577  0.070 -0.664  0.110 -0.734  0.171 -0.795  0.233 -0.857  0.294 -0.918  0.356 -0.980  0.417 -1.041  0.494 -1.067  0.581 -1.067  0.668 -1.067  0.755 -1.067  0.816 -1.092  0.816 -1.179  0.816 -1.266  0.816 -1.353  0.816 -1.440
1c#app#app19#app1972/n  -0.962 0.343  -0.962 0.482  -0.899 0.558  -0.759 0.558  -0.746 0.684  -0.746 0.823  -0.746 0.963  -0.746 0.877  -0.746 0.738  -0.746 0.598  -0.746 0.459  -0.746 0.320  -0.746 0.181  -0.807 0.067  -0.905 -0.032  -0.962 -0.148  -0.962 -0.287  -0.962 -0.426  -0.915 -0.519  -0.776 -0.519  -0.669 -0.442  -0.570 -0.343  -0.472 -0.245  -0.373 -0.147  -0.258 -0.088  -0.119 -0.088  -0.100 0.031  -0.056 0.127  0.083 0.127  0.116 0.234  0.146 0.343  0.285 0.343  0.424 0.343  0.564 0.343  0.703 0.343  0.842 0.343  0.978 0.340  0.978 0.200  1.025 0.080  1.123 -0.018  1.193 -0.128  1.193 -0.267  1.193 -0.407  1.193 -0.546  1.193 -0.685  1.193 -0.824  1.193 -0.963  1.193 -1.103  1.193 -1.242  1.193 -1.381
1c#app#app19#app1972/c  0.500 -0.382  0.594 -0.288  0.688 -0.194  0.726 -0.076  0.726 0.058  0.847 0.070  0.952 0.098  0.952 0.232  0.952 0.365  0.952 0.498  0.952 0.632  0.936 0.749  0.802 0.749  0.686 0.789  0.591 0.883  0.496 0.975  0.362 0.975  0.229 0.975  0.095 0.975  -0.013 0.914  -0.107 0.820  -0.211 0.749  -0.344 0.749  -0.478 0.749  -0.611 0.749  -0.631 0.635  -0.652 0.522  -0.785 0.522  -0.857 0.461  -0.857 0.328  -0.857 0.194  -0.857 0.061  -0.857 -0.072  -0.857 -0.206  -0.857 -0.339  -0.857 -0.473  -0.857 -0.606  -0.764 -0.701  -0.670 -0.795  -0.553 -0.835  -0.420 -0.835  -0.321 -0.918  -0.227 -1.013  -0.113 -1.061  0.020 -1.061  0.123 -1.136  0.217 -1.230  0.311 -1.324  0.405 -1.419  0.500 -1.513
1c#app#app19#app1972/e  -1.483 0.035  -1.317 0.035  -1.150 0.035  -0.983 0.035  -0.816 0.035  -0.649 0.035  -0.483 0.035  -0.316 0.035  -0.149 0.035  0.018 0.035  0.185 0.035  0.351 0.035  0.518 0.035  0.685 0.035  0.852 0.035  1.019 0.035  1.153 0.112  1.271 0.230  1.290 0.389  1.223 0.528  1.105 0.646  0.987 0.764  0.869 0.882  0.705 0.888  0.538 0.888  0.371 0.888  0.205 0.888  0.038 0.888  -0.129 0.888  -0.296 0.888  -0.417 0.842  -0.417 0.675  -0.534 0.557  -0.630 0.430  -0.630 0.263  -0.630 0.096  -0.630 -0.070  -0.630 -0.237  -0.622 -0.400  -0.504 -0.518  -0.417 -0.649  -0.417 -0.816  -0.301 -0.935  -0.183 -1.053  -0.065 -1.171  0.053 -1.289  0.171 -1.406  0.316 -1.459  0.436 -1.505  0.436 -1.672
1c#app#app19#app1972/w  -1.388 0.810  -1.388 0.658  -1.388 0.506  -1.388 0.355  -1.388 0.203  -1.388 0.052  -1.388 -0.100  -1.388 -0.252  -1.318 -0.334  -1.166 -0.334  -1.015 -0.334  -0.863 -0.334  -0.711 -0.334  -0.560 -0.334  -0.408 -0.334  -0.301 -0.227  -0.244 -0.099  -0.244 0.053  -0.244 0.204  -0.244 0.356  -0.244 0.458  -0.244 0.307  -0.243 0.156  -0.091 0.156  -0.081 0.015  0.011 -0.099  0.083 -0.221  0.121 -0.334  0.265 -0.353  0.372 -0.460  0.508 -0.497  0.634 -0.559  0.744 -0.661  0.896 -0.661  1.047 -0.661  1.199 -0.661  1.226 -0.536  1.226 -0.385  1.226 -0.233  1.226 -0.081  1.172 0.048  1.064 0.155  1.063 0.306  0.925 0.320  0.900 0.446  0.819 0.564  0.736 0.682  0.713 0.810  0.573 0.821  0.573 0.973
1c#app#app19#app1972/i  -0.275 0.874  -0.275 0.971  -0.275 1.068  -0.324 1.116  -0.421 1.116  -0.517 1.117  -0.517 1.214  -0.517 1.311  -0.517 1.307  -0.517 1.210  -0.517 1.113  -0.517 1.016  -0.517 0.919  -0.517 0.822  -0.517 0.725  -0.517 0.628  -0.517 0.531  -0.517 0.434  -0.517 0.337  -0.517 0.240  -0.514 0.144  -0.445 0.076  -0.377 0.007  -0.308 -0.061  -0.275 -0.145  -0.275 -0.242  -0.272 -0.336  -0.175 -0.336  -0.078 -0.336  -0.033 -0.388  -0.033 -0.485  -0.029 -0.578  0.068 -0.578  0.165 -0.578  0.209 -0.631  0.209 -0.728  0.214 -0.820  0.311 -0.820  0.408 -0.820  0.505 -0.820  0.602 -0.820  0.698 -0.823  0.785 -0.866  0.872 -0.910  0.959 -0.953  1.046 -0.996  1.132 -1.040  1.224 -1.062  1.321 -1.062  1.418 -1.062
1c#app#app19#app1972/n  -1.048 0.448  -1.048 0.568  -1.048 0.587  -1.048 0.467  -1.149 0.448  -1.237 0.416  -1.237 0.295  -1.237 0.175  -1.237 0.055  -1.237 -0.066  -1.237 -0.186  -1.237 -0.307  -1.122 -0.311  -1.001 -0.311  -0.881 -0.311  -0.761 -0.311  -0.648 -0.292  -0.563 -0.207  -0.478 -0.121  -0.358 -0.121  -0.252 -0.085  -0.167 -0.000  -0.082 0.085  0.003 0.170  0.088 0.255  0.091 0.374  0.138 0.448  0.258 0.448  0.350 0.517  0.435 0.602  0.540 0.638  0.661 0.638  0.661 0.517  0.697 0.412  0.782 0.327  0.850 0.235  0.850 0.115  0.850 -0.006  0.850 -0.126  0.850 -0.246  0.906 -0.311  1.026 -0.311  1.040 -0.418  1.040 -0.538  1.040 -0.658  1.128 -0.691  1.230 -0.709  1.230 -0.830  1.299 -0.881  1.420 -0.881
1c#app#app19#app1972/d  -0.007 -0.336  -0.183 -0.315  -0.314 -0.184  -0.499 -0.181  -0.684 -0.181  -0.870 -0.181  -1.055 -0.181  -1.093 -0.329  -1.077 -0.507  -0.946 -0.638  -0.815 -0.770  -0.643 -0.802  -0.457 -0.802  -0.285 -0.770  -0.151 -0.647  0.022 -0.617  0.148 -0.484  0.148 -0.299  0.148 -0.113  0.148 0.072  0.148 0.258  0.148 0.443  0.148 0.628  0.148 0.814  0.148 0.999  0.148 1.184  0.148 1.370  0.148 1.555  0.148 1.741  0.148 1.746  0.148 1.560  0.148 1.375  0.148 1.190  0.148 1.004  0.148 0.819  0.148 0.633  0.148 0.448  0.164 0.269  0.295 0.138  0.303 -0.044  0.303 -0.229  0.359 -0.392  0.459 -0.536  0.459 -0.721  0.459 -0.907  0.519 -1.078  0.602 -1.244  0.614 -1.426  0.638 -1.602  0.769 -1.733
