2#apa#apa03#app0336/w  -1.150 0.327  -1.150 0.488  -1.235 0.564  -1.269 0.438  -1.269 0.277  -1.269 0.116  -1.269 -0.045  -1.269 -0.206  -1.269 -0.367  -1.253 -0.521  -1.135 -0.624  -0.974 -0.624  -0.813 -0.624  -0.771 -0.505  -0.629 -0.459  -0.498 -0.386  -0.438 -0.285  -0.421 -0.132  -0.307 -0.018  -0.200 0.099  -0.148 0.208  -0.081 0.302  -0.064 0.446  0.038 0.505  0.038 0.463  0.038 0.302  0.038 0.141  0.038 -0.020  0.038 -0.181  0.112 -0.267  0.156 -0.384  0.196 -0.505  0.333 -0.563  0.469 -0.624  0.630 -0.624  0.744 -0.511  0.893 -0.481  0.988 -0.360  1.057 -0.267  1.156 -0.168  1.225 -0.024  1.260 0.123  1.344 0.249  1.344 0.410  1.338 0.564  1.225 0.613  1.161 0.747  1.047 0.861  0.988 0.844  0.988 0.683
2#apa#apa03#app0336/i  -0.628 1.370  -0.552 1.370  -0.476 1.370  -0.400 1.370  -0.324 1.370  -0.249 1.370  -0.207 1.336  -0.207 1.260  -0.207 1.184  -0.207 1.108  -0.207 1.032  -0.207 0.956  -0.207 0.880  -0.207 0.804  -0.207 0.728  -0.207 0.652  -0.207 0.576  -0.207 0.500  -0.207 0.424  -0.207 0.348  -0.207 0.272  -0.207 0.197  -0.207 0.121  -0.164 0.062  -0.110 0.009  -0.056 -0.045  -0.003 -0.099  0.051 -0.152  0.105 -0.206  0.158 -0.260  0.212 -0.314  0.215 -0.388  0.215 -0.464  0.215 -0.540  0.215 -0.616  0.215 -0.692  0.215 -0.768  0.215 -0.844  0.215 -0.920  0.215 -0.996  0.215 -1.072  0.215 -1.148  0.260 -1.205  0.314 -1.259  0.368 -1.313  0.422 -1.366  0.475 -1.420  0.529 -1.474  0.583 -1.527  0.636 -1.581
2#apa#apa03#app0336/d  -0.266 2.205  -0.247 2.049  -0.131 1.932  -0.130 1.769  -0.076 1.658  0.007 1.577  0.056 1.424  0.129 1.277  0.144 1.116  0.144 0.952  0.144 0.788  0.144 0.624  0.144 0.459  0.144 0.295  0.144 0.131  0.144 -0.033  0.144 -0.197  0.250 -0.255  0.280 -0.389  0.280 -0.553  0.280 -0.718  0.361 -0.801  0.525 -0.801  0.554 -0.666  0.554 -0.501  0.554 -0.337  0.472 -0.255  0.417 -0.145  0.280 -0.118  0.252 0.018  0.088 0.018  -0.076 0.018  -0.240 0.018  -0.403 0.017  -0.432 -0.118  -0.540 -0.175  -0.624 -0.255  -0.676 -0.367  -0.676 -0.531  -0.676 -0.695  -0.618 -0.801  -0.540 -0.887  -0.459 -1.018  -0.319 -1.075  -0.266 -1.187  -0.127 -1.211  0.028 -1.190  0.145 -1.075  0.301 -1.054  0.417 -0.938
2#apa#apa03#app0336/f  0.286 1.211  0.397 1.322  0.401 1.477  0.401 1.634  0.398 1.788  0.245 1.767  0.105 1.697  -0.016 1.601  -0.060 1.462  -0.157 1.345  -0.175 1.195  -0.175 1.038  -0.175 0.881  -0.175 0.724  -0.175 0.567  -0.175 0.410  -0.175 0.253  -0.175 0.096  -0.147 -0.058  -0.109 -0.210  -0.071 -0.362  -0.060 -0.518  0.050 -0.630  0.122 -0.769  0.171 -0.914  0.261 -0.981  0.286 -1.113  0.344 -1.212  0.401 -1.312  0.381 -1.195  0.258 -1.097  0.135 -0.999  0.013 -0.901  -0.110 -0.803  -0.232 -0.705  -0.355 -0.607  -0.478 -0.508  -0.600 -0.410  -0.723 -0.312  -0.748 -0.404  -0.591 -0.404  -0.460 -0.466  -0.325 -0.519  -0.168 -0.519  -0.016 -0.497  0.125 -0.427  0.276 -0.404  0.433 -0.404  0.590 -0.404  0.747 -0.404
2#apa#apa03#app0336/i  -0.304 0.324  -0.185 0.324  -0.091 0.261  -0.006 0.177  -0.003 0.058  0.057 -0.037  0.141 -0.121  0.147 -0.239  0.147 -0.358  0.147 -0.478  0.160 -0.592  0.245 -0.677  0.298 -0.775  0.298 -0.894  0.298 -1.014  0.298 -1.134  0.298 -1.254  0.327 -1.361  0.412 -1.446  0.429 -1.419  0.395 -1.304  0.360 -1.189  0.326 -1.075  0.292 -0.960  0.257 -0.845  0.223 -0.731  0.188 -0.616  0.154 -0.501  0.120 -0.387  0.085 -0.272  0.051 -0.157  0.017 -0.043  -0.018 0.072  -0.052 0.187  -0.087 0.301  -0.121 0.416  -0.155 0.531  -0.190 0.645  -0.224 0.760  -0.259 0.875  -0.293 0.989  -0.327 1.104  -0.362 1.219  -0.396 1.333  -0.431 1.448  -0.455 1.564  -0.458 1.682  -0.543 1.767  -0.605 1.861  -0.605 1.980
2#apa#apa03#app0336/g  0.039 1.146  -0.065 1.282  -0.171 1.354  -0.350 1.354  -0.515 1.321  -0.664 1.250  -0.712 1.103  -0.792 0.943  -0.794 0.765  -0.767 0.597  -0.619 0.521  -0.441 0.521  -0.273 0.532  -0.212 0.686  -0.156 0.833  -0.065 0.921  -0.065 1.100  0.039 1.118  0.039 0.939  0.039 0.760  0.039 0.581  0.039 0.402  0.039 0.224  0.058 0.048  0.115 -0.122  0.144 -0.296  0.216 -0.458  0.251 -0.626  0.387 -0.695  0.456 -0.858  0.526 -1.008  0.561 -1.172  0.490 -1.322  0.363 -1.448  0.189 -1.459  0.019 -1.439  -0.125 -1.355  -0.264 -1.260  -0.377 -1.128  -0.377 -0.949  -0.258 -0.819  -0.169 -0.678  -0.045 -0.616  0.115 -0.536  0.289 -0.508  0.458 -0.451  0.611 -0.367  0.767 -0.313  0.903 -0.209  1.082 -0.209
2#apa#apa03#app0336/u  -1.130 0.378  -1.132 0.511  -1.230 0.413  -1.265 0.288  -1.200 0.177  -1.130 0.067  -1.130 -0.072  -1.130 -0.211  -1.130 -0.350  -1.076 -0.435  -0.994 -0.492  -0.952 -0.613  -0.859 -0.714  -0.848 -0.842  -0.709 -0.842  -0.570 -0.842  -0.452 -0.821  -0.428 -0.706  -0.297 -0.687  -0.199 -0.589  -0.181 -0.458  -0.098 -0.353  -0.045 -0.236  0.002 -0.117  0.097 -0.016  0.159 0.108  0.221 0.232  0.226 0.370  0.318 0.471  0.361 0.592  0.361 0.731  0.361 0.869  0.361 1.008  0.453 1.055  0.497 0.960  0.566 0.850  0.632 0.739  0.632 0.600  0.669 0.476  0.767 0.378  0.866 0.280  0.903 0.157  0.966 0.044  1.064 -0.054  1.162 -0.152  1.174 -0.286  1.300 -0.300  1.310 -0.429  1.310 -0.567  1.445 -0.571
2#apa#apa03#app0336/r  -0.734 0.327  -0.589 0.327  -0.528 0.243  -0.512 0.105  -0.410 0.003  -0.323 -0.105  -0.323 -0.250  -0.323 -0.394  -0.291 -0.526  -0.189 -0.628  -0.117 -0.743  -0.117 -0.887  -0.117 -1.032  -0.117 -1.176  -0.123 -1.316  -0.267 -1.316  -0.323 -1.405  -0.323 -1.493  -0.323 -1.349  -0.323 -1.204  -0.323 -1.060  -0.323 -0.915  -0.323 -0.771  -0.323 -0.626  -0.323 -0.482  -0.323 -0.337  -0.323 -0.193  -0.323 -0.048  -0.323 0.096  -0.323 0.241  -0.323 0.385  -0.323 0.530  -0.222 0.633  -0.120 0.735  -0.117 0.879  -0.037 0.943  0.088 0.962  0.088 1.107  0.191 1.148  0.335 1.148  0.480 1.148  0.624 1.148  0.750 1.102  0.852 1.000  0.954 0.898  1.056 0.796  1.159 0.694  1.261 0.591  1.381 0.532  1.525 0.532
2#apa#apa03#app0336/e  -0.332 0.061  -0.178 0.061  -0.023 0.061  0.014 -0.057  0.113 -0.112  0.267 -0.112  0.422 -0.112  0.532 -0.068  0.558 0.061  0.705 0.068  0.705 0.223  0.705 0.377  0.705 0.532  0.705 0.686  0.705 0.841  0.656 0.975  0.546 1.084  0.437 1.193  0.315 1.271  0.160 1.271  0.008 1.266  -0.101 1.157  -0.210 1.047  -0.319 0.938  -0.454 0.864  -0.592 0.795  -0.678 0.694  -0.707 0.551  -0.816 0.442  -0.851 0.302  -0.851 0.147  -0.851 -0.007  -0.851 -0.162  -0.851 -0.316  -0.851 -0.470  -0.851 -0.625  -0.717 -0.697  -0.579 -0.766  -0.455 -0.854  -0.345 -0.963  -0.196 -0.976  -0.042 -0.976  0.084 -1.046  0.195 -1.149  0.350 -1.149  0.504 -1.149  0.622 -1.239  0.742 -1.322  0.896 -1.322  1.051 -1.322
2#apa#apa03#app0336/l  -0.363 0.769  -0.363 0.853  -0.330 0.923  -0.270 0.983  -0.243 1.055  -0.243 1.139  -0.243 1.224  -0.186 1.250  -0.123 1.271  -0.123 1.355  -0.123 1.302  -0.123 1.218  -0.123 1.134  -0.123 1.050  -0.123 0.966  -0.123 0.882  -0.123 0.798  -0.123 0.714  -0.123 0.630  -0.123 0.545  -0.123 0.461  -0.123 0.377  -0.123 0.293  -0.067 0.232  -0.008 0.173  -0.002 0.091  -0.002 0.007  -0.002 -0.077  -0.002 -0.161  -0.002 -0.245  0.002 -0.329  0.029 -0.408  0.056 -0.488  0.082 -0.568  0.109 -0.648  0.118 -0.730  0.126 -0.812  0.164 -0.887  0.201 -0.963  0.238 -1.038  0.238 -1.122  0.238 -1.206  0.238 -1.290  0.238 -1.374  0.299 -1.397  0.359 -1.422  0.359 -1.506  0.359 -1.590  0.359 -1.674  0.359 -1.758
2#apa#apa03#app0336/e  -0.385 -0.483  -0.233 -0.483  -0.081 -0.483  0.072 -0.483  0.200 -0.426  0.308 -0.318  0.455 -0.307  0.495 -0.194  0.584 -0.131  0.671 -0.066  0.671 0.087  0.671 0.239  0.671 0.391  0.671 0.543  0.671 0.696  0.671 0.848  0.619 0.978  0.511 1.086  0.495 1.232  0.389 1.278  0.237 1.278  0.085 1.278  -0.067 1.278  -0.217 1.271  -0.324 1.163  -0.432 1.055  -0.540 0.948  -0.647 0.840  -0.737 0.725  -0.737 0.573  -0.737 0.420  -0.737 0.268  -0.737 0.116  -0.737 -0.036  -0.711 -0.182  -0.643 -0.319  -0.575 -0.455  -0.561 -0.604  -0.464 -0.659  -0.333 -0.711  -0.226 -0.818  -0.209 -0.964  -0.104 -1.011  -0.033 -1.092  0.018 -1.213  0.155 -1.281  0.291 -1.349  0.404 -1.448  0.519 -1.539  0.671 -1.539
2#apa#apa03#app0336/a  0.250 0.789  0.245 0.949  0.080 0.949  -0.085 0.949  -0.251 0.949  -0.409 0.933  -0.526 0.816  -0.680 0.789  -0.845 0.789  -0.971 0.693  -1.088 0.576  -1.197 0.456  -1.197 0.291  -1.197 0.126  -1.197 -0.040  -1.197 -0.205  -1.173 -0.360  -1.056 -0.477  -1.036 -0.634  -0.894 -0.658  -0.729 -0.658  -0.608 -0.764  -0.465 -0.818  -0.300 -0.818  -0.163 -0.749  -0.036 -0.658  0.117 -0.629  0.234 -0.513  0.351 -0.396  0.468 -0.279  0.571 -0.156  0.571 0.009  0.571 0.174  0.571 0.339  0.571 0.505  0.571 0.670  0.571 0.742  0.571 0.577  0.610 0.428  0.727 0.311  0.732 0.148  0.734 -0.017  0.851 -0.134  0.893 -0.282  0.893 -0.447  0.974 -0.578  1.053 -0.711  1.094 -0.859  1.211 -0.976  1.214 -1.140
2#apa#apa03#app0336/n  -1.148 1.044  -0.989 1.044  -0.965 0.909  -0.965 0.751  -0.965 0.592  -0.965 0.433  -0.965 0.275  -0.965 0.116  -0.965 -0.043  -0.965 -0.202  -0.909 -0.347  -0.838 -0.489  -0.782 -0.635  -0.782 -0.793  -0.782 -0.952  -0.638 -0.967  -0.599 -0.847  -0.532 -0.716  -0.419 -0.604  -0.307 -0.492  -0.234 -0.364  -0.212 -0.214  -0.100 -0.102  -0.051 0.037  -0.004 0.176  0.108 0.289  0.220 0.401  0.315 0.520  0.315 0.678  0.474 0.678  0.498 0.814  0.498 0.972  0.585 1.044  0.680 0.981  0.680 0.822  0.680 0.664  0.680 0.505  0.680 0.346  0.680 0.188  0.680 0.029  0.757 -0.053  0.863 -0.106  0.863 -0.265  0.863 -0.423  0.863 -0.582  0.926 -0.726  0.997 -0.868  1.046 -1.015  1.046 -1.174  1.046 -1.332
2#apa#apa03#app0336/e  -0.639 -0.370  -0.477 -0.370  -0.314 -0.370  -0.183 -0.446  -0.067 -0.560  0.095 -0.560  0.218 -0.462  0.342 -0.370  0.505 -0.370  0.667 -0.370  0.690 -0.230  0.690 -0.067  0.751 0.070  0.866 0.185  0.880 0.342  0.880 0.505  0.818 0.642  0.703 0.757  0.690 0.914  0.608 1.043  0.491 1.155  0.345 1.228  0.200 1.300  0.046 1.340  -0.103 1.307  -0.218 1.192  -0.363 1.150  -0.449 1.074  -0.499 0.960  -0.639 0.938  -0.639 0.776  -0.639 0.613  -0.639 0.450  -0.639 0.287  -0.639 0.125  -0.639 -0.038  -0.639 -0.201  -0.639 -0.363  -0.529 -0.480  -0.449 -0.610  -0.449 -0.773  -0.449 -0.935  -0.291 -0.940  -0.167 -1.032  -0.070 -1.155  -0.070 -1.317  0.044 -1.433  0.175 -1.510  0.338 -1.510  0.500 -1.510
2#apa#apa03#app0336/d  0.081 2.091  0.098 1.913  0.229 1.782  0.242 1.603  0.242 1.419  0.242 1.234  0.242 1.050  0.242 0.865  0.242 0.680  0.242 0.496  0.242 0.311  0.242 0.127  0.242 -0.058  0.242 -0.243  0.242 -0.427  0.242 -0.612  0.242 -0.796  0.403 -0.781  0.433 -0.609  0.563 -0.478  0.563 -0.293  0.563 -0.109  0.511 0.054  0.403 0.194  0.348 0.324  0.186 0.379  0.045 0.484  -0.139 0.484  -0.324 0.484  -0.477 0.408  -0.627 0.324  -0.722 0.235  -0.835 0.163  -0.979 0.066  -1.043 -0.092  -1.043 -0.277  -1.043 -0.461  -1.039 -0.644  -0.908 -0.775  -0.778 -0.905  -0.616 -0.961  -0.432 -0.961  -0.247 -0.961  -0.063 -0.961  0.122 -0.961  0.307 -0.961  0.491 -0.961  0.676 -0.961  0.860 -0.961  1.045 -0.961
2#apa#apa03#app0336/o  0.327 0.710  0.457 0.710  0.484 0.813  0.484 0.943  0.449 1.058  0.357 1.150  0.240 1.180  0.128 1.137  0.036 1.045  -0.075 0.979  -0.191 0.921  -0.305 0.860  -0.397 0.769  -0.503 0.710  -0.613 0.690  -0.613 0.560  -0.700 0.466  -0.791 0.374  -0.883 0.282  -0.926 0.170  -0.926 0.040  -0.926 -0.089  -0.926 -0.219  -0.926 -0.349  -0.926 -0.479  -0.880 -0.590  -0.788 -0.682  -0.696 -0.773  -0.604 -0.865  -0.512 -0.957  -0.406 -1.013  -0.276 -1.013  -0.146 -1.013  -0.016 -1.013  0.114 -1.013  0.222 -0.962  0.314 -0.870  0.438 -0.857  0.544 -0.797  0.635 -0.705  0.727 -0.613  0.819 -0.522  0.911 -0.430  0.954 -0.318  0.954 -0.188  0.965 -0.063  1.057 0.029  1.111 0.137  1.111 0.267  1.111 0.396
2#apa#apa03#app0336/u  -0.991 1.034  -0.835 1.034  -0.826 1.181  -0.826 1.062  -0.826 0.906  -0.826 0.750  -0.904 0.626  -0.991 0.506  -0.991 0.350  -0.991 0.194  -0.991 0.038  -0.991 -0.118  -0.991 -0.274  -0.991 -0.430  -0.991 -0.586  -0.991 -0.742  -0.874 -0.781  -0.718 -0.781  -0.562 -0.781  -0.406 -0.781  -0.274 -0.724  -0.163 -0.616  -0.007 -0.616  -0.001 -0.466  0.099 -0.352  0.164 -0.223  0.219 -0.121  0.329 -0.076  0.366 0.044  0.495 0.071  0.495 0.227  0.501 0.380  0.611 0.491  0.660 0.627  0.660 0.783  0.660 0.800  0.720 0.704  0.825 0.653  0.825 0.497  0.825 0.341  0.825 0.185  0.825 0.029  0.827 -0.126  0.897 -0.266  0.967 -0.405  0.990 -0.556  0.990 -0.712  0.990 -0.868  1.044 -1.001  1.155 -1.111
2#apa#apa03#app0336/t  0.630 2.003  0.630 1.836  0.601 1.680  0.483 1.562  0.483 1.394  0.483 1.227  0.483 1.059  0.483 0.891  0.483 0.724  0.483 0.556  0.483 0.389  0.483 0.221  0.483 0.054  0.442 -0.097  0.335 -0.220  0.335 -0.388  0.335 -0.556  0.335 -0.723  0.335 -0.891  0.335 -1.058  0.335 -1.226  0.327 -1.372  0.208 -1.253  0.090 -1.135  -0.029 -1.016  -0.147 -0.898  -0.266 -0.779  -0.384 -0.661  -0.503 -0.542  -0.621 -0.424  -0.740 -0.306  -0.858 -0.187  -0.977 -0.069  -1.095 0.050  -1.214 0.168  -1.214 0.238  -1.136 0.148  -1.026 0.091  -0.858 0.091  -0.735 -0.016  -0.584 -0.056  -0.416 -0.056  -0.249 -0.056  -0.081 -0.056  0.086 -0.056  0.254 -0.056  0.421 -0.056  0.589 -0.056  0.756 -0.056  0.924 -0.056
2#apa#apa03#app0336/,  0.406 1.734  0.406 1.653  0.406 1.572  0.406 1.491  0.406 1.410  0.406 1.329  0.406 1.248  0.406 1.167  0.406 1.086  0.406 1.005  0.406 0.924  0.406 0.843  0.406 0.762  0.406 0.681  0.406 0.600  0.406 0.519  0.406 0.438  0.406 0.357  0.375 0.288  0.318 0.231  0.261 0.173  0.203 0.116  0.146 0.059  0.089 0.002  0.031 -0.056  -0.026 -0.113  -0.066 -0.177  -0.066 -0.258  -0.066 -0.339  -0.066 -0.420  -0.066 -0.502  -0.066 -0.583  -0.104 -0.626  -0.185 -0.626  -0.267 -0.626  -0.348 -0.626  -0.429 -0.626  -0.510 -0.626  -0.538 -0.678  -0.538 -0.759  -0.538 -0.840  -0.538 -0.921  -0.538 -1.002  -0.538 -1.083  -0.538 -1.164  -0.538 -1.245  -0.538 -1.326  -0.538 -1.407  -0.538 -1.488  -0.538 -1.569
