2#apb#apb02#app0271/E  -0.544 0.765  -0.500 1.018  -0.543 0.749  -0.529 0.475  -0.516 0.202  -0.502 -0.072  -0.472 -0.344  -0.430 -0.615  -0.378 -0.884  -0.331 -1.154  -0.283 -1.143  -0.315 -0.871  -0.350 -0.599  -0.385 -0.327  -0.420 -0.056  -0.455 0.216  -0.490 0.488  -0.525 0.760  -0.560 1.031  -0.647 1.244  -0.456 1.320  -0.183 1.331  0.089 1.354  0.361 1.385  0.620 1.331  0.609 1.200  0.445 0.980  0.282 0.760  0.119 0.539  -0.044 0.319  -0.207 0.099  -0.374 -0.018  -0.298 0.047  -0.029 0.084  0.242 0.113  0.516 0.113  0.783 0.158  0.957 0.091  0.810 -0.140  0.658 -0.368  0.506 -0.596  0.354 -0.824  0.202 -1.052  0.050 -1.280  -0.114 -1.323  0.121 -1.324  0.395 -1.323  0.669 -1.321  0.939 -1.281  1.153 -1.257
2#apb#apb02#app0271/u  -1.055 0.733  -1.007 0.881  -1.001 1.022  -1.001 0.865  -1.001 0.708  -1.001 0.552  -1.001 0.395  -0.979 0.240  -0.955 0.085  -0.924 -0.068  -0.889 -0.221  -0.846 -0.372  -0.791 -0.518  -0.704 -0.648  -0.598 -0.761  -0.460 -0.829  -0.332 -0.745  -0.241 -0.617  -0.185 -0.472  -0.140 -0.322  -0.116 -0.167  -0.092 -0.012  -0.085 0.144  -0.085 0.300  -0.085 0.457  -0.085 0.614  -0.085 0.771  -0.049 0.922  -0.031 1.075  -0.012 0.935  0.033 0.787  0.097 0.644  0.162 0.502  0.227 0.359  0.281 0.212  0.319 0.060  0.357 -0.092  0.425 -0.230  0.515 -0.358  0.618 -0.475  0.736 -0.578  0.859 -0.675  0.984 -0.769  1.123 -0.841  1.276 -0.857  1.412 -0.783  1.525 -0.675  1.605 -0.546  1.640 -0.394  1.640 -0.237
2#apb#apb02#app0271/r  -1.083 0.456  -1.055 0.588  -0.995 0.702  -0.876 0.649  -0.794 0.543  -0.728 0.424  -0.668 0.302  -0.611 0.178  -0.556 0.053  -0.511 -0.075  -0.465 -0.204  -0.419 -0.332  -0.373 -0.461  -0.327 -0.589  -0.281 -0.717  -0.235 -0.846  -0.188 -0.974  -0.153 -1.105  -0.122 -1.238  -0.100 -1.373  -0.122 -1.455  -0.127 -1.324  -0.127 -1.188  -0.127 -1.051  -0.133 -0.915  -0.143 -0.779  -0.154 -0.643  -0.146 -0.507  -0.138 -0.371  -0.129 -0.235  -0.127 -0.099  -0.127 0.038  -0.121 0.173  -0.078 0.302  -0.028 0.429  0.022 0.556  0.105 0.661  0.206 0.753  0.309 0.842  0.428 0.906  0.553 0.961  0.683 0.950  0.816 0.916  0.948 0.883  1.079 0.847  1.211 0.811  1.333 0.750  1.449 0.681  1.548 0.589  1.675 0.538
2#apb#apb02#app0271/e  -0.717 0.018  -0.600 0.116  -0.452 0.148  -0.326 0.137  -0.180 0.150  -0.027 0.190  0.126 0.231  0.277 0.277  0.427 0.325  0.571 0.386  0.697 0.481  0.824 0.576  0.856 0.727  0.778 0.852  0.647 0.940  0.516 1.027  0.375 1.096  0.222 1.121  0.065 1.104  -0.087 1.062  -0.233 1.005  -0.365 0.918  -0.496 0.830  -0.590 0.703  -0.685 0.577  -0.780 0.451  -0.875 0.324  -0.953 0.190  -0.996 0.038  -1.036 -0.114  -1.013 -0.271  -0.991 -0.427  -0.905 -0.556  -0.805 -0.678  -0.670 -0.759  -0.534 -0.840  -0.392 -0.905  -0.238 -0.937  -0.083 -0.970  0.072 -0.987  0.229 -0.970  0.386 -0.954  0.543 -0.935  0.699 -0.910  0.855 -0.885  1.012 -0.864  1.169 -0.850  1.316 -0.801  1.258 -0.715  1.106 -0.672
2#apb#apb02#app0271/T  -1.016 0.540  -1.166 0.540  -1.303 0.502  -1.293 0.472  -1.143 0.472  -0.993 0.472  -0.843 0.472  -0.693 0.472  -0.543 0.472  -0.393 0.476  -0.243 0.482  -0.094 0.488  0.056 0.499  0.206 0.511  0.355 0.523  0.505 0.510  0.654 0.498  0.803 0.481  0.951 0.455  1.099 0.434  1.249 0.422  1.399 0.422  1.401 0.465  1.255 0.429  1.110 0.394  0.964 0.358  0.818 0.322  0.672 0.287  0.527 0.251  0.381 0.215  0.235 0.180  0.090 0.144  -0.056 0.108  -0.189 0.119  -0.290 0.176  -0.361 0.048  -0.374 -0.101  -0.374 -0.251  -0.371 -0.401  -0.362 -0.551  -0.351 -0.700  -0.337 -0.850  -0.321 -0.999  -0.302 -1.148  -0.284 -1.297  -0.265 -1.445  -0.235 -1.592  -0.189 -1.734  -0.187 -1.597  -0.155 -1.451
2#apb#apb02#app0271/o  -0.571 0.209  -0.588 0.342  -0.572 0.473  -0.683 0.448  -0.788 0.359  -0.855 0.239  -0.921 0.119  -0.983 -0.004  -1.044 -0.128  -1.049 -0.264  -1.049 -0.402  -0.993 -0.527  -0.933 -0.650  -0.830 -0.741  -0.727 -0.832  -0.600 -0.877  -0.466 -0.908  -0.331 -0.931  -0.194 -0.923  -0.057 -0.915  0.081 -0.907  0.216 -0.884  0.351 -0.858  0.486 -0.833  0.602 -0.763  0.711 -0.679  0.820 -0.595  0.918 -0.500  1.009 -0.397  1.086 -0.286  1.122 -0.153  1.155 -0.020  1.155 0.117  1.133 0.249  1.068 0.370  1.002 0.491  0.894 0.575  0.783 0.656  0.669 0.732  0.548 0.797  0.427 0.863  0.298 0.903  0.161 0.913  0.024 0.923  -0.113 0.926  -0.251 0.926  -0.385 0.902  -0.517 0.862  -0.650 0.844  -0.571 0.740
2#apb#apb02#app0271/w  -0.835 0.330  -0.924 0.442  -0.963 0.582  -1.017 0.710  -1.089 0.811  -1.137 0.687  -1.178 0.550  -1.178 0.404  -1.178 0.258  -1.178 0.112  -1.152 -0.030  -1.111 -0.170  -1.057 -0.306  -0.977 -0.426  -0.868 -0.516  -0.730 -0.556  -0.584 -0.543  -0.454 -0.486  -0.337 -0.401  -0.242 -0.290  -0.178 -0.160  -0.148 -0.020  -0.151 0.126  -0.159 0.268  -0.168 0.308  -0.147 0.163  -0.115 0.021  -0.044 -0.104  0.040 -0.224  0.121 -0.345  0.223 -0.446  0.341 -0.532  0.464 -0.610  0.591 -0.680  0.737 -0.680  0.877 -0.651  1.013 -0.597  1.146 -0.537  1.235 -0.421  1.304 -0.296  1.346 -0.156  1.347 -0.010  1.330 0.134  1.295 0.276  1.227 0.403  1.148 0.526  1.039 0.623  0.934 0.723  0.824 0.819  0.720 0.916
2#apb#apb02#app0271/n  -1.096 0.591  -1.100 0.650  -1.032 0.514  -0.965 0.379  -0.897 0.244  -0.830 0.109  -0.765 -0.027  -0.702 -0.164  -0.648 -0.305  -0.603 -0.449  -0.557 -0.593  -0.501 -0.733  -0.460 -0.877  -0.443 -1.027  -0.416 -1.072  -0.452 -0.925  -0.481 -0.777  -0.506 -0.628  -0.531 -0.479  -0.556 -0.330  -0.555 -0.181  -0.535 -0.031  -0.515 0.118  -0.481 0.265  -0.447 0.412  -0.392 0.553  -0.333 0.691  -0.256 0.817  -0.152 0.923  -0.053 1.026  0.096 1.044  0.247 1.044  0.381 0.980  0.511 0.904  0.632 0.813  0.730 0.702  0.803 0.570  0.868 0.434  0.930 0.296  0.982 0.154  1.027 0.011  1.061 -0.137  1.095 -0.284  1.122 -0.432  1.145 -0.581  1.129 -0.731  1.107 -0.880  1.099 -1.014  1.147 -0.870  1.147 -0.719
2#apb#apb02#app0271/e  -0.624 -0.201  -0.674 -0.124  -0.519 -0.150  -0.359 -0.150  -0.200 -0.134  -0.044 -0.101  0.108 -0.051  0.257 0.005  0.403 0.070  0.531 0.163  0.614 0.296  0.672 0.445  0.704 0.600  0.685 0.757  0.634 0.908  0.557 1.047  0.453 1.168  0.310 1.222  0.152 1.216  -0.001 1.179  -0.138 1.097  -0.272 1.011  -0.404 0.920  -0.535 0.829  -0.661 0.730  -0.786 0.630  -0.868 0.495  -0.944 0.354  -0.993 0.204  -1.015 0.046  -1.026 -0.112  -1.000 -0.270  -0.949 -0.416  -0.841 -0.534  -0.734 -0.652  -0.584 -0.703  -0.430 -0.749  -0.277 -0.795  -0.121 -0.828  0.037 -0.853  0.195 -0.878  0.353 -0.895  0.513 -0.903  0.673 -0.911  0.832 -0.910  0.992 -0.900  1.151 -0.886  1.302 -0.835  1.453 -0.788  1.418 -0.660
2#apb#apb02#app0271/J  0.157 1.421  0.143 1.500  0.093 1.568  0.038 1.624  0.015 1.548  0.015 1.464  0.015 1.380  0.015 1.295  0.015 1.211  0.017 1.127  0.026 1.043  0.034 0.960  0.052 0.877  0.071 0.795  0.090 0.713  0.113 0.633  0.138 0.552  0.163 0.472  0.184 0.390  0.201 0.308  0.217 0.225  0.234 0.143  0.246 0.059  0.257 -0.024  0.268 -0.107  0.279 -0.191  0.287 -0.275  0.294 -0.359  0.299 -0.443  0.299 -0.527  0.299 -0.611  0.284 -0.692  0.254 -0.771  0.221 -0.848  0.183 -0.924  0.137 -0.991  0.068 -1.040  -0.001 -1.087  -0.074 -1.129  -0.150 -1.154  -0.232 -1.134  -0.313 -1.114  -0.396 -1.096  -0.478 -1.078  -0.561 -1.066  -0.636 -1.037  -0.701 -0.985  -0.767 -0.938  -0.736 -0.874  -0.676 -0.814
2#apb#apb02#app0271/e  -0.449 0.094  -0.543 0.192  -0.660 0.234  -0.646 0.206  -0.490 0.166  -0.330 0.158  -0.170 0.178  -0.014 0.217  0.134 0.279  0.273 0.360  0.407 0.450  0.545 0.533  0.645 0.651  0.645 0.812  0.645 0.973  0.552 1.095  0.418 1.175  0.258 1.188  0.097 1.188  -0.061 1.158  -0.201 1.078  -0.337 0.992  -0.464 0.893  -0.562 0.767  -0.642 0.627  -0.727 0.491  -0.828 0.364  -0.886 0.215  -0.926 0.060  -0.926 -0.101  -0.878 -0.253  -0.818 -0.403  -0.719 -0.530  -0.619 -0.656  -0.491 -0.751  -0.353 -0.834  -0.214 -0.916  -0.074 -0.997  0.070 -1.064  0.229 -1.091  0.389 -1.113  0.550 -1.113  0.712 -1.113  0.867 -1.072  1.019 -1.021  1.142 -0.916  1.263 -0.819  1.213 -0.673  1.056 -0.664  0.898 -0.692
2#apb#apb02#app0271/w  -1.130 0.387  -1.201 0.529  -1.193 0.621  -1.220 0.542  -1.244 0.386  -1.275 0.231  -1.279 0.076  -1.248 -0.079  -1.209 -0.232  -1.142 -0.373  -1.045 -0.497  -0.933 -0.607  -0.804 -0.698  -0.651 -0.737  -0.504 -0.711  -0.363 -0.640  -0.221 -0.570  -0.143 -0.435  -0.078 -0.291  -0.019 -0.146  -0.050 0.009  -0.072 0.165  -0.072 0.323  -0.072 0.481  -0.106 0.629  -0.174 0.610  -0.207 0.466  -0.190 0.309  -0.156 0.155  -0.068 0.024  0.030 -0.100  0.135 -0.218  0.242 -0.334  0.354 -0.446  0.489 -0.524  0.638 -0.571  0.795 -0.587  0.952 -0.567  1.066 -0.468  1.182 -0.364  1.280 -0.253  1.312 -0.100  1.312 0.058  1.312 0.217  1.283 0.372  1.253 0.527  1.216 0.678  1.135 0.812  1.068 0.930  1.014 1.011
2#apb#apb02#app0271/e  -0.551 0.412  -0.528 0.329  -0.418 0.245  -0.276 0.193  -0.134 0.146  0.017 0.146  0.168 0.151  0.318 0.172  0.465 0.207  0.609 0.252  0.757 0.264  0.845 0.367  0.870 0.514  0.811 0.648  0.763 0.791  0.671 0.907  0.554 1.004  0.424 1.079  0.283 1.122  0.131 1.122  -0.020 1.122  -0.169 1.097  -0.310 1.044  -0.435 0.964  -0.529 0.846  -0.617 0.723  -0.687 0.591  -0.730 0.446  -0.763 0.299  -0.779 0.148  -0.794 -0.003  -0.811 -0.153  -0.806 -0.303  -0.786 -0.453  -0.753 -0.601  -0.704 -0.741  -0.604 -0.855  -0.500 -0.964  -0.374 -1.048  -0.247 -1.127  -0.096 -1.127  0.056 -1.127  0.205 -1.144  0.353 -1.178  0.500 -1.213  0.643 -1.169  0.785 -1.117  0.927 -1.065  1.069 -1.012  1.195 -0.949
2#apb#apb02#app0271/l  -0.412 1.336  -0.389 1.407  -0.365 1.478  -0.359 1.536  -0.347 1.474  -0.325 1.402  -0.304 1.330  -0.282 1.258  -0.265 1.186  -0.249 1.112  -0.233 1.039  -0.216 0.966  -0.200 0.893  -0.183 0.820  -0.163 0.748  -0.144 0.675  -0.125 0.603  -0.106 0.531  -0.089 0.458  -0.072 0.384  -0.056 0.311  -0.040 0.238  -0.024 0.165  -0.006 0.092  0.014 0.020  0.034 -0.052  0.054 -0.124  0.074 -0.197  0.094 -0.269  0.103 -0.343  0.107 -0.418  0.112 -0.492  0.116 -0.567  0.121 -0.642  0.133 -0.716  0.150 -0.789  0.167 -0.862  0.184 -0.935  0.205 -1.006  0.229 -1.077  0.252 -1.148  0.276 -1.220  0.300 -1.291  0.323 -1.362  0.341 -1.434  0.347 -1.450  0.331 -1.377  0.314 -1.304  0.296 -1.231  0.278 -1.159
2#apb#apb02#app0271/e  -1.013 -0.008  -0.933 0.121  -0.918 0.111  -0.782 0.005  -0.625 -0.070  -0.457 -0.112  -0.281 -0.112  -0.106 -0.105  0.069 -0.088  0.243 -0.062  0.414 -0.023  0.571 0.050  0.718 0.146  0.869 0.237  0.938 0.391  0.938 0.567  0.912 0.741  0.836 0.896  0.696 1.002  0.528 1.038  0.354 1.025  0.181 1.013  0.008 1.031  -0.161 0.983  -0.322 0.913  -0.479 0.834  -0.619 0.729  -0.758 0.621  -0.902 0.520  -1.025 0.405  -1.073 0.236  -1.083 0.061  -1.030 -0.100  -0.943 -0.253  -0.841 -0.396  -0.722 -0.520  -0.564 -0.598  -0.407 -0.677  -0.255 -0.766  -0.107 -0.860  0.043 -0.949  0.219 -0.949  0.395 -0.949  0.571 -0.949  0.747 -0.949  0.922 -0.943  1.088 -0.887  1.257 -0.838  1.430 -0.809  1.461 -0.705
2#apb#apb02#app0271/r  -0.970 0.140  -0.936 0.248  -0.885 0.235  -0.797 0.147  -0.754 0.032  -0.713 -0.085  -0.651 -0.194  -0.589 -0.302  -0.537 -0.414  -0.488 -0.529  -0.439 -0.643  -0.390 -0.758  -0.344 -0.873  -0.305 -0.991  -0.277 -1.112  -0.260 -1.235  -0.197 -1.316  -0.213 -1.319  -0.251 -1.206  -0.251 -1.081  -0.251 -0.957  -0.251 -0.832  -0.251 -0.708  -0.251 -0.583  -0.251 -0.459  -0.251 -0.335  -0.251 -0.210  -0.251 -0.086  -0.240 0.038  -0.210 0.158  -0.180 0.279  -0.179 0.403  -0.139 0.514  -0.061 0.611  0.017 0.708  0.094 0.805  0.197 0.874  0.305 0.936  0.421 0.968  0.545 0.968  0.670 0.968  0.794 0.968  0.918 0.968  1.043 0.968  1.154 0.913  1.265 0.856  1.362 0.778  1.454 0.695  1.512 0.588  1.512 0.464
2#apb#apb02#app0271/s  0.679 0.635  0.679 0.767  0.679 0.899  0.625 1.018  0.513 1.067  0.410 1.149  0.283 1.124  0.155 1.092  0.027 1.060  -0.099 1.021  -0.226 0.982  -0.352 0.943  -0.476 0.898  -0.600 0.853  -0.718 0.797  -0.811 0.704  -0.908 0.614  -1.003 0.529  -0.975 0.405  -0.903 0.296  -0.777 0.258  -0.650 0.220  -0.524 0.180  -0.399 0.138  -0.273 0.096  -0.148 0.054  -0.022 0.015  0.105 -0.024  0.231 -0.063  0.354 -0.110  0.477 -0.159  0.592 -0.221  0.692 -0.307  0.791 -0.395  0.885 -0.488  0.864 -0.613  0.793 -0.724  0.708 -0.823  0.596 -0.893  0.484 -0.963  0.372 -1.033  0.260 -1.103  0.133 -1.138  0.005 -1.170  -0.126 -1.186  -0.257 -1.207  -0.380 -1.253  -0.504 -1.300  -0.627 -1.349  -0.636 -1.292
