2#tos#f3#f3011063/#  -0.572 0.285  -1.016 0.285  -1.212 0.086  -0.784 0.152  -0.409 0.261  0.030 0.324  0.399 0.526  0.833 0.551  1.249 0.617  1.177 0.492  0.783 0.288  0.389 0.085  -0.006 -0.119  -0.400 -0.322  -0.720 -0.601  -0.966 -0.970  -1.369 -1.014  -0.971 -0.976  -0.662 -0.800  -0.232 -0.702  0.132 -0.458  0.559 -0.345  0.969 -0.176  1.094 0.020  0.787 0.341  0.481 0.662  0.174 0.983  -0.132 1.304  -0.506 1.296  -0.506 0.853  -0.506 0.409  -0.506 -0.035  -0.506 -0.479  -0.506 -0.923  -0.485 -1.254  -0.330 -0.839  -0.174 -0.423  -0.018 -0.008  0.138 0.408  0.294 0.823  0.450 1.239  0.362 1.547  0.358 1.107  0.358 0.664  0.358 0.220  0.358 -0.224  0.358 -0.668  0.358 -1.112  0.424 -1.540  0.623 -1.840
2#tos#f3#f3011063/?  -0.654 0.724  -0.774 0.724  -0.881 0.738  -0.881 0.858  -0.777 0.885  -0.698 0.951  -0.594 1.010  -0.487 1.042  -0.377 1.087  -0.257 1.087  -0.136 1.087  -0.016 1.087  0.104 1.087  0.225 1.087  0.340 1.058  0.454 1.020  0.526 0.951  0.526 0.831  0.571 0.721  0.606 0.609  0.616 0.491  0.616 0.371  0.571 0.269  0.571 0.149  0.514 0.070  0.402 0.027  0.305 -0.041  0.220 -0.127  0.145 -0.219  0.059 -0.274  -0.019 -0.317  -0.091 -0.365  -0.212 -0.365  -0.245 -0.451  -0.291 -0.526  -0.236 -0.592  -0.137 -0.627  -0.068 -0.723  0.005 -0.773  0.073 -0.826  0.085 -0.946  0.097 -1.066  0.109 -1.185  0.117 -1.305  0.009 -1.317  -0.019 -1.410  -0.050 -1.499  -0.021 -1.587  -0.019 -1.707  0.072 -1.771
2#tos#f3#f3011063/@  0.428 0.126  0.463 0.125  0.463 0.352  0.357 0.521  0.162 0.551  0.003 0.430  -0.149 0.293  -0.245 0.106  -0.351 -0.043  -0.351 -0.269  -0.239 -0.405  -0.029 -0.366  0.109 -0.205  0.180 -0.193  0.145 -0.410  0.145 -0.637  0.311 -0.759  0.537 -0.759  0.715 -0.681  0.856 -0.507  0.995 -0.351  1.102 -0.155  1.136 0.063  1.136 0.289  1.136 0.515  1.070 0.721  0.954 0.908  0.847 1.082  0.624 1.113  0.399 1.118  0.173 1.118  -0.053 1.118  -0.274 1.082  -0.440 0.954  -0.636 0.845  -0.796 0.703  -0.925 0.537  -1.004 0.362  -1.130 0.196  -1.130 -0.030  -1.130 -0.256  -1.095 -0.477  -1.084 -0.698  -0.961 -0.885  -0.856 -1.039  -0.733 -1.191  -0.519 -1.219  -0.308 -1.254  -0.081 -1.254  0.074 -1.184
2#tos#f3#f3011063/[  -0.102 1.206  -0.158 1.168  -0.177 1.094  -0.122 1.056  -0.028 1.056  0.066 1.056  0.158 1.067  0.247 1.093  0.334 1.123  0.426 1.131  0.408 1.110  0.320 1.076  0.233 1.043  0.145 1.009  0.058 0.975  -0.030 0.943  -0.118 0.916  -0.140 0.836  -0.140 0.742  -0.140 0.648  -0.140 0.555  -0.140 0.461  -0.140 0.367  -0.140 0.273  -0.140 0.179  -0.140 0.086  -0.140 -0.008  -0.140 -0.102  -0.140 -0.196  -0.140 -0.290  -0.140 -0.383  -0.140 -0.477  -0.140 -0.571  -0.140 -0.665  -0.140 -0.759  -0.140 -0.852  -0.160 -0.941  -0.177 -1.031  -0.177 -1.125  -0.177 -1.219  -0.177 -1.312  -0.160 -1.389  -0.066 -1.389  0.027 -1.389  0.121 -1.389  0.210 -1.377  0.293 -1.351  0.387 -1.351  0.481 -1.351  0.575 -1.351
2#tos#f3#f3011063/^  -0.984 -0.077  -1.083 -0.126  -1.127 -0.210  -1.183 -0.304  -1.244 -0.396  -1.334 -0.436  -1.343 -0.538  -1.275 -0.580  -1.164 -0.580  -1.054 -0.578  -0.993 -0.486  -0.931 -0.394  -0.878 -0.297  -0.822 -0.202  -0.743 -0.124  -0.657 -0.057  -0.557 -0.007  -0.505 0.089  -0.434 0.170  -0.342 0.231  -0.264 0.300  -0.264 0.411  -0.169 0.427  -0.121 0.489  -0.121 0.600  -0.121 0.711  -0.013 0.714  0.095 0.712  0.137 0.642  0.239 0.634  0.272 0.537  0.351 0.459  0.448 0.427  0.487 0.355  0.598 0.355  0.698 0.305  0.742 0.222  0.742 0.111  0.809 0.067  0.910 0.043  0.988 -0.035  1.053 -0.123  1.103 -0.222  1.182 -0.300  1.265 -0.371  1.370 -0.406  1.472 -0.447  1.550 -0.525  1.605 -0.613  1.605 -0.580
2#tos#f3#f3011063/{  0.498 1.583  0.401 1.583  0.341 1.544  0.269 1.520  0.225 1.463  0.192 1.379  0.154 1.297  0.081 1.253  0.039 1.185  0.039 1.088  0.039 0.990  0.039 0.893  0.039 0.796  0.059 0.703  0.090 0.615  0.116 0.528  0.118 0.431  0.154 0.342  0.116 0.283  0.095 0.202  0.001 0.178  -0.051 0.116  -0.139 0.092  -0.160 0.016  -0.257 0.016  -0.355 0.016  -0.419 -0.017  -0.327 -0.022  -0.230 -0.022  -0.228 -0.118  -0.152 -0.139  -0.152 -0.237  -0.152 -0.334  -0.152 -0.431  -0.152 -0.529  -0.152 -0.626  -0.152 -0.724  -0.152 -0.821  -0.152 -0.919  -0.152 -1.016  -0.137 -1.107  -0.114 -1.195  -0.107 -1.290  -0.038 -1.359  0.003 -1.439  0.072 -1.508  0.116 -1.565  0.189 -1.589  0.286 -1.589  0.307 -1.513
2#tos#f3#f3011063/|  0.031 1.630  -0.043 1.630  -0.094 1.607  -0.094 1.532  -0.094 1.458  -0.094 1.384  -0.094 1.310  -0.094 1.236  -0.094 1.162  -0.094 1.088  -0.094 1.013  -0.094 0.939  -0.094 0.865  -0.094 0.791  -0.094 0.717  -0.094 0.643  -0.094 0.569  -0.094 0.495  -0.094 0.420  -0.086 0.347  -0.068 0.275  -0.050 0.203  -0.032 0.131  -0.014 0.060  0.004 -0.012  0.022 -0.084  0.040 -0.156  0.058 -0.228  0.073 -0.300  0.043 -0.362  -0.010 -0.390  -0.010 -0.464  0.030 -0.498  0.073 -0.529  0.073 -0.603  0.073 -0.677  0.073 -0.751  0.073 -0.825  0.073 -0.899  0.073 -0.973  0.075 -1.047  0.099 -1.118  0.115 -1.189  0.115 -1.263  0.115 -1.337  0.115 -1.411  0.115 -1.486  0.115 -1.560  0.115 -1.634  0.115 -1.708
2#tos#f3#f3011063/2  -0.280 1.066  -0.412 1.055  -0.535 1.035  -0.463 1.125  -0.390 1.187  -0.327 1.274  -0.211 1.318  -0.077 1.322  0.057 1.322  0.188 1.306  0.303 1.270  0.343 1.174  0.472 1.139  0.534 1.066  0.558 0.956  0.558 0.821  0.558 0.687  0.558 0.552  0.473 0.463  0.376 0.386  0.332 0.279  0.246 0.179  0.197 0.055  0.105 -0.043  0.009 -0.137  -0.121 -0.170  -0.140 -0.293  -0.200 -0.414  -0.313 -0.481  -0.353 -0.591  -0.415 -0.692  -0.499 -0.766  -0.560 -0.854  -0.572 -0.984  -0.671 -1.048  -0.608 -0.976  -0.535 -0.914  -0.453 -0.856  -0.344 -0.793  -0.210 -0.793  -0.149 -0.873  -0.056 -0.939  0.043 -0.975  0.121 -1.032  0.194 -1.121  0.314 -1.158  0.448 -1.158  0.544 -1.063  0.657 -1.012  0.704 -0.902
2#tos#f3#f3011063/4  0.420 1.834  0.420 1.604  0.420 1.374  0.281 1.230  0.229 1.037  0.134 0.835  0.134 0.605  -0.026 0.490  -0.153 0.352  -0.305 0.203  -0.503 0.085  -0.570 -0.122  -0.760 -0.174  -0.847 -0.317  -1.029 -0.444  -1.010 -0.639  -0.813 -0.757  -0.599 -0.795  -0.369 -0.795  -0.139 -0.795  0.072 -0.843  0.254 -0.891  0.464 -0.939  0.506 -0.952  0.479 -0.723  0.451 -0.495  0.424 -0.267  0.397 -0.038  0.369 0.190  0.342 0.419  0.314 0.647  0.287 0.876  0.259 1.104  0.232 1.333  0.134 1.436  0.134 1.206  0.134 0.976  0.134 0.745  0.134 0.515  0.104 0.292  0.038 0.078  0.038 -0.152  0.011 -0.379  -0.010 -0.607  -0.010 -0.837  -0.010 -1.067  -0.105 -1.275  -0.105 -1.505  -0.184 -1.716  -0.201 -1.942
2#tos#f3#f3011063/8  0.862 0.388  0.764 0.298  0.817 0.359  0.817 0.547  0.817 0.735  0.817 0.923  0.688 1.057  0.619 1.217  0.452 1.288  0.264 1.288  0.076 1.288  -0.105 1.243  -0.280 1.201  -0.408 1.108  -0.583 1.089  -0.640 0.919  -0.712 0.775  -0.712 0.587  -0.569 0.498  -0.468 0.356  -0.352 0.239  -0.259 0.101  -0.119 -0.023  0.044 -0.107  0.160 -0.250  0.233 -0.418  0.236 -0.605  0.278 -0.776  0.277 -0.963  0.233 -1.141  0.086 -1.254  -0.049 -1.370  -0.172 -1.469  -0.328 -1.501  -0.504 -1.460  -0.667 -1.402  -0.667 -1.214  -0.667 -1.026  -0.667 -0.838  -0.640 -0.654  -0.569 -0.481  -0.499 -0.321  -0.333 -0.239  -0.187 -0.121  -0.017 -0.049  0.168 -0.017  0.351 0.024  0.531 0.073  0.719 0.073  0.862 0.028
2#tos#f3#f3011063/A  -0.960 -0.547  -1.079 -0.684  -1.189 -0.849  -1.289 -1.009  -1.206 -1.038  -1.166 -0.849  -1.035 -0.704  -0.909 -0.552  -0.763 -0.420  -0.631 -0.273  -0.509 -0.117  -0.405 0.049  -0.340 0.237  -0.200 0.377  -0.092 0.543  0.054 0.670  0.150 0.814  0.183 0.996  0.295 1.143  0.364 1.329  0.438 1.513  0.517 1.632  0.635 1.477  0.685 1.299  0.714 1.104  0.726 0.907  0.726 0.708  0.726 0.509  0.726 0.310  0.726 0.111  0.726 -0.087  0.726 -0.286  0.707 -0.482  0.685 -0.677  0.685 -0.876  0.644 -1.034  0.534 -1.123  0.426 -1.024  0.311 -0.862  0.195 -0.700  0.080 -0.539  -0.036 -0.377  -0.151 -0.215  -0.314 -0.136  -0.506 -0.095  -0.516 -0.054  -0.318 -0.054  -0.121 -0.039  0.075 -0.013  0.274 -0.013
2#tos#f3#f3011063/B  -0.225 0.738  -0.052 0.891  -0.150 0.755  -0.185 0.492  -0.271 0.260  -0.326 -0.001  -0.419 -0.250  -0.518 -0.497  -0.564 -0.753  -0.632 -1.004  -0.714 -1.237  -0.704 -1.055  -0.640 -0.797  -0.575 -0.538  -0.510 -0.279  -0.446 -0.020  -0.381 0.238  -0.316 0.497  -0.251 0.756  -0.225 1.020  -0.039 1.209  0.161 1.369  0.402 1.430  0.669 1.430  0.904 1.341  1.118 1.185  1.118 0.918  0.977 0.704  0.831 0.492  0.642 0.303  0.414 0.169  0.156 0.126  -0.097 0.046  -0.364 0.046  -0.163 0.118  0.098 0.158  0.363 0.169  0.630 0.169  0.792 0.006  0.833 -0.254  0.749 -0.486  0.670 -0.727  0.474 -0.906  0.247 -1.044  0.005 -1.148  -0.227 -1.268  -0.484 -1.297  -0.751 -1.297  -0.987 -1.210  -1.039 -0.971
2#tos#f3#f3011063/G  0.245 0.351  0.414 0.343  0.501 0.515  0.588 0.694  0.661 0.881  0.683 1.091  0.683 1.303  0.554 1.387  0.468 1.535  0.258 1.547  0.054 1.507  -0.093 1.376  -0.267 1.259  -0.454 1.157  -0.544 0.970  -0.679 0.807  -0.784 0.624  -0.859 0.425  -0.872 0.215  -0.872 0.002  -0.872 -0.211  -0.866 -0.423  -0.785 -0.619  -0.672 -0.775  -0.553 -0.868  -0.381 -0.965  -0.168 -0.965  -0.005 -0.885  0.141 -0.756  0.324 -0.646  0.354 -0.474  0.340 -0.262  0.327 -0.049  0.193 -0.048  -0.020 -0.048  0.005 -0.128  0.218 -0.128  0.430 -0.128  0.643 -0.128  0.632 -0.094  0.441 -0.189  0.285 -0.259  0.200 -0.422  0.165 -0.629  0.101 -0.823  0.085 -1.031  0.019 -1.224  -0.040 -1.422  -0.074 -1.629  -0.154 -1.762
2#tos#f3#f3011063/I  -0.625 1.015  -0.518 1.015  -0.415 1.023  -0.354 1.098  -0.246 1.098  -0.142 1.112  -0.041 1.139  0.066 1.139  0.143 1.189  0.230 1.222  0.338 1.222  0.373 1.205  0.277 1.157  0.180 1.109  0.084 1.061  -0.013 1.015  -0.047 0.943  -0.047 0.835  -0.047 0.728  -0.047 0.620  -0.006 0.530  -0.006 0.423  -0.006 0.315  -0.006 0.208  -0.006 0.100  -0.006 -0.007  -0.006 -0.115  -0.006 -0.222  0.002 -0.328  0.035 -0.430  0.035 -0.538  0.035 -0.645  0.035 -0.753  0.035 -0.860  0.035 -0.968  -0.025 -1.038  -0.113 -1.090  -0.171 -1.139  -0.236 -1.196  -0.295 -1.255  -0.312 -1.296  -0.207 -1.281  -0.103 -1.255  0.003 -1.243  0.107 -1.217  0.211 -1.196  0.305 -1.150  0.403 -1.119  0.506 -1.090  0.613 -1.090
2#tos#f3#f3011063/O  0.117 0.935  0.117 1.080  0.067 1.176  -0.078 1.176  -0.182 1.077  -0.223 0.946  -0.304 0.825  -0.380 0.702  -0.445 0.572  -0.510 0.443  -0.575 0.313  -0.634 0.180  -0.685 0.045  -0.685 -0.100  -0.725 -0.239  -0.725 -0.384  -0.750 -0.526  -0.765 -0.670  -0.765 -0.815  -0.765 -0.960  -0.765 -1.105  -0.707 -1.209  -0.569 -1.255  -0.426 -1.270  -0.281 -1.270  -0.144 -1.250  -0.041 -1.148  0.094 -1.094  0.212 -1.014  0.306 -0.905  0.400 -0.797  0.516 -0.710  0.604 -0.594  0.666 -0.465  0.726 -0.333  0.809 -0.216  0.879 -0.100  0.879 0.046  0.879 0.191  0.879 0.336  0.857 0.478  0.811 0.615  0.741 0.741  0.638 0.841  0.512 0.910  0.371 0.935  0.226 0.939  0.087 0.975  -0.059 0.975  -0.204 0.975
2#tos#f3#f3011063/Q  -0.460 -0.561  -0.541 -0.601  -0.731 -0.563  -0.813 -0.389  -0.813 -0.190  -0.813 0.008  -0.813 0.207  -0.781 0.401  -0.728 0.592  -0.639 0.770  -0.550 0.948  -0.400 1.075  -0.269 1.217  -0.122 1.349  0.038 1.443  0.205 1.522  0.404 1.522  0.561 1.463  0.675 1.335  0.759 1.162  0.798 0.968  0.798 0.769  0.798 0.570  0.795 0.372  0.738 0.181  0.652 0.005  0.596 -0.185  0.511 -0.363  0.447 -0.549  0.306 -0.679  0.210 -0.853  0.081 -1.003  -0.089 -1.103  -0.208 -1.190  -0.406 -1.190  -0.547 -1.124  -0.578 -0.930  -0.578 -0.732  -0.557 -0.541  -0.465 -0.387  -0.342 -0.248  -0.201 -0.137  -0.003 -0.129  0.145 -0.205  0.213 -0.366  0.366 -0.446  0.368 -0.644  0.501 -0.783  0.648 -0.876  0.837 -0.915
2#tos#f3#f3011063/T  -1.271 0.449  -1.382 0.449  -1.260 0.475  -1.144 0.529  -1.016 0.529  -0.887 0.529  -0.760 0.544  -0.634 0.569  -0.506 0.569  -0.378 0.569  -0.249 0.569  -0.121 0.569  0.008 0.569  0.136 0.569  0.265 0.569  0.393 0.569  0.521 0.569  0.650 0.569  0.778 0.569  0.907 0.569  1.035 0.569  1.162 0.569  1.035 0.553  0.907 0.537  0.780 0.521  0.652 0.505  0.525 0.489  0.398 0.474  0.270 0.458  0.205 0.466  0.205 0.338  0.177 0.221  0.086 0.131  0.046 0.019  0.046 -0.110  0.046 -0.238  0.046 -0.367  0.046 -0.495  0.003 -0.615  -0.045 -0.734  -0.093 -0.854  -0.131 -0.976  -0.154 -1.101  -0.154 -1.230  -0.154 -1.358  -0.154 -1.487  -0.176 -1.612  -0.194 -1.737  -0.230 -1.857  -0.234 -1.985
2#tos#f3#f3011063/U  -0.085 1.386  -0.085 1.394  -0.154 1.335  -0.161 1.212  -0.241 1.124  -0.281 1.003  -0.346 0.893  -0.358 0.769  -0.426 0.670  -0.460 0.556  -0.487 0.439  -0.568 0.344  -0.601 0.221  -0.667 0.112  -0.692 -0.013  -0.729 -0.135  -0.733 -0.262  -0.733 -0.390  -0.733 -0.518  -0.733 -0.646  -0.733 -0.774  -0.661 -0.829  -0.576 -0.911  -0.562 -1.034  -0.472 -1.124  -0.358 -1.145  -0.289 -1.204  -0.164 -1.192  -0.046 -1.145  0.066 -1.086  0.117 -0.971  0.220 -0.898  0.271 -0.781  0.332 -0.671  0.415 -0.575  0.502 -0.491  0.534 -0.367  0.595 -0.262  0.664 -0.171  0.686 -0.047  0.720 0.077  0.776 0.190  0.827 0.306  0.860 0.429  0.903 0.548  0.903 0.676  0.934 0.798  0.937 0.926  0.937 1.054  0.937 1.181
2#tos#f3#f3011063/V  -0.608 1.171  -0.567 1.294  -0.565 1.180  -0.536 1.055  -0.490 0.935  -0.446 0.814  -0.435 0.686  -0.435 0.557  -0.435 0.428  -0.435 0.299  -0.435 0.170  -0.435 0.041  -0.435 -0.088  -0.435 -0.217  -0.435 -0.346  -0.434 -0.475  -0.394 -0.597  -0.392 -0.726  -0.392 -0.855  -0.392 -0.984  -0.392 -1.113  -0.392 -1.242  -0.363 -1.354  -0.305 -1.447  -0.233 -1.413  -0.176 -1.297  -0.135 -1.175  -0.047 -1.081  -0.005 -0.959  0.082 -0.866  0.141 -0.751  0.186 -0.631  0.220 -0.507  0.277 -0.391  0.325 -0.272  0.370 -0.151  0.418 -0.031  0.460 0.091  0.512 0.209  0.566 0.326  0.597 0.451  0.636 0.574  0.677 0.696  0.738 0.809  0.777 0.926  0.777 1.055  0.777 1.184  0.827 1.283  0.865 1.388  0.950 1.345
