3#app#app07#app0752/P  0.009 0.160  0.009 0.008  0.009 -0.145  -0.053 -0.282  -0.070 -0.431  -0.084 -0.580  -0.149 -0.717  -0.184 -0.861  -0.253 -0.997  -0.307 -1.137  -0.307 -1.289  -0.307 -1.442  -0.307 -1.594  -0.313 -1.582  -0.387 -1.503  -0.387 -1.351  -0.387 -1.198  -0.387 -1.046  -0.387 -0.894  -0.387 -0.741  -0.387 -0.589  -0.387 -0.436  -0.387 -0.284  -0.387 -0.131  -0.387 0.021  -0.357 0.169  -0.309 0.313  -0.307 0.465  -0.263 0.611  -0.228 0.757  -0.212 0.906  -0.142 1.042  -0.058 1.168  0.009 1.300  0.083 1.422  0.234 1.428  0.386 1.428  0.523 1.389  0.643 1.333  0.682 1.190  0.722 1.047  0.722 0.895  0.722 0.742  0.722 0.590  0.669 0.450  0.576 0.331  0.539 0.190  0.485 0.050  0.394 -0.020  0.326 -0.157
3#app#app07#app0752/l  -1.008 -1.196  -0.871 -1.159  -0.745 -1.096  -0.693 -0.996  -0.561 -0.948  -0.509 -0.818  -0.417 -0.704  -0.309 -0.597  -0.202 -0.489  -0.095 -0.382  0.013 -0.275  0.120 -0.167  0.228 -0.060  0.319 0.060  0.386 0.196  0.490 0.305  0.527 0.453  0.564 0.600  0.623 0.735  0.689 0.860  0.689 1.012  0.689 1.163  0.689 1.315  0.689 1.467  0.570 1.500  0.418 1.500  0.334 1.389  0.253 1.263  0.145 1.156  0.038 1.048  -0.048 0.925  -0.115 0.789  -0.183 0.653  -0.209 0.507  -0.230 0.360  -0.298 0.224  -0.366 0.089  -0.409 -0.053  -0.409 -0.205  -0.409 -0.357  -0.405 -0.508  -0.357 -0.652  -0.309 -0.797  -0.209 -0.907  -0.165 -1.041  -0.036 -1.096  0.079 -1.185  0.187 -1.292  0.338 -1.295  0.490 -1.295
3#app#app07#app0752/a  0.377 1.183  0.564 1.183  0.395 1.183  0.209 1.183  0.182 1.024  0.031 0.988  -0.155 0.988  -0.328 0.929  -0.495 0.845  -0.648 0.744  -0.780 0.612  -0.912 0.480  -0.989 0.326  -1.038 0.159  -1.169 0.027  -1.185 -0.153  -1.185 -0.339  -1.185 -0.526  -1.185 -0.712  -1.055 -0.769  -0.869 -0.769  -0.682 -0.769  -0.496 -0.769  -0.337 -0.703  -0.204 -0.574  -0.018 -0.574  -0.013 -0.392  0.160 -0.379  0.182 -0.214  0.292 -0.073  0.377 0.078  0.418 0.247  0.550 0.379  0.573 0.556  0.573 0.743  0.476 0.697  0.377 0.551  0.377 0.365  0.377 0.178  0.377 -0.008  0.385 -0.191  0.517 -0.323  0.573 -0.486  0.617 -0.662  0.700 -0.829  0.803 -0.964  0.963 -0.991  0.981 -1.160  1.167 -1.160  1.354 -1.160
3#app#app07#app0752/s  0.840 1.274  0.840 1.155  0.783 1.094  0.664 1.094  0.545 1.094  0.426 1.094  0.307 1.094  0.188 1.094  0.069 1.094  -0.050 1.094  -0.138 1.018  -0.222 0.934  -0.332 0.913  -0.451 0.913  -0.570 0.913  -0.603 0.827  -0.603 0.708  -0.603 0.590  -0.521 0.552  -0.423 0.532  -0.423 0.413  -0.368 0.317  -0.283 0.233  -0.199 0.149  -0.115 0.065  -0.023 -0.008  0.083 -0.061  0.190 -0.114  0.296 -0.168  0.299 -0.285  0.299 -0.404  0.299 -0.523  0.411 -0.530  0.479 -0.580  0.479 -0.699  0.479 -0.818  0.433 -0.891  0.314 -0.891  0.299 -0.994  0.256 -1.071  0.138 -1.071  0.019 -1.071  -0.089 -1.098  -0.173 -1.182  -0.263 -1.251  -0.382 -1.251  -0.501 -1.251  -0.615 -1.263  -0.699 -1.348  -0.783 -1.432
3#app#app07#app0752/s  1.181 1.308  1.068 1.308  0.957 1.299  0.856 1.248  0.755 1.198  0.654 1.147  0.552 1.102  0.439 1.102  0.326 1.102  0.213 1.102  0.115 1.065  0.035 0.986  -0.045 0.906  -0.154 0.896  -0.260 0.889  -0.260 0.777  -0.279 0.672  -0.359 0.592  -0.438 0.512  -0.465 0.410  -0.465 0.297  -0.465 0.184  -0.464 0.072  -0.384 -0.008  -0.304 -0.088  -0.260 -0.182  -0.260 -0.295  -0.190 -0.338  -0.077 -0.338  -0.054 -0.428  -0.054 -0.541  0.056 -0.544  0.152 -0.561  0.152 -0.674  0.189 -0.750  0.302 -0.750  0.358 -0.807  0.358 -0.920  0.280 -0.955  0.167 -0.955  0.054 -0.955  -0.057 -0.959  -0.137 -1.039  -0.217 -1.119  -0.312 -1.161  -0.425 -1.161  -0.538 -1.161  -0.651 -1.161  -0.764 -1.161  -0.877 -1.161
3#app#app07#app0752/p  0.156 1.053  0.156 0.878  0.156 0.702  0.126 0.534  0.065 0.373  0.050 0.200  -0.027 0.043  -0.027 -0.132  -0.103 -0.290  -0.118 -0.462  -0.178 -0.623  -0.284 -0.761  -0.408 -0.885  -0.533 -1.009  -0.657 -1.133  -0.739 -1.287  -0.852 -1.420  -0.976 -1.544  -0.989 -1.519  -0.907 -1.364  -0.824 -1.209  -0.742 -1.054  -0.659 -0.899  -0.576 -0.744  -0.494 -0.589  -0.411 -0.434  -0.328 -0.279  -0.246 -0.124  -0.163 0.031  -0.081 0.185  0.002 0.340  0.085 0.495  0.167 0.650  0.250 0.805  0.332 0.960  0.415 1.115  0.523 1.195  0.657 1.236  0.832 1.236  0.980 1.209  0.980 1.033  0.980 0.858  0.937 0.692  0.841 0.548  0.717 0.424  0.638 0.321  0.554 0.229  0.416 0.138  0.240 0.138  0.065 0.138
3#app#app07#app0752/l  -1.505 -0.980  -1.358 -0.980  -1.210 -0.980  -1.071 -0.958  -0.955 -0.870  -0.821 -0.815  -0.674 -0.811  -0.542 -0.745  -0.431 -0.649  -0.299 -0.583  -0.188 -0.488  -0.080 -0.387  0.042 -0.305  0.162 -0.220  0.267 -0.115  0.371 -0.011  0.445 0.116  0.532 0.233  0.607 0.358  0.673 0.490  0.722 0.627  0.768 0.763  0.804 0.903  0.840 1.035  0.887 1.164  0.887 1.311  0.840 1.412  0.701 1.391  0.596 1.287  0.516 1.165  0.425 1.058  0.303 0.982  0.257 0.842  0.195 0.710  0.106 0.592  0.018 0.474  -0.058 0.348  -0.118 0.213  -0.165 0.073  -0.222 -0.063  -0.300 -0.187  -0.351 -0.313  -0.351 -0.461  -0.351 -0.609  -0.351 -0.756  -0.346 -0.902  -0.242 -1.006  -0.117 -1.062  -0.003 -1.145  0.144 -1.145
3#app#app07#app0752/a  0.869 1.365  0.869 1.202  0.740 1.117  0.594 1.044  0.458 0.955  0.343 0.840  0.190 0.814  0.026 0.814  -0.113 0.752  -0.228 0.637  -0.373 0.561  -0.519 0.488  -0.653 0.396  -0.769 0.280  -0.884 0.165  -1.000 0.049  -1.116 -0.067  -1.263 -0.106  -1.339 -0.194  -1.339 -0.358  -1.339 -0.522  -1.312 -0.658  -1.148 -0.658  -0.984 -0.658  -0.821 -0.658  -0.657 -0.658  -0.525 -0.580  -0.405 -0.474  -0.242 -0.474  -0.235 -0.317  -0.098 -0.290  0.031 -0.208  0.147 -0.092  0.263 0.024  0.379 0.140  0.495 0.255  0.610 0.371  0.685 0.387  0.685 0.223  0.685 0.059  0.685 -0.104  0.685 -0.268  0.685 -0.432  0.806 -0.474  0.869 -0.575  0.949 -0.658  1.053 -0.719  1.093 -0.842  1.237 -0.862  1.237 -1.026
3#app#app07#app0752/t  1.112 1.823  1.112 1.659  1.024 1.532  0.879 1.489  0.763 1.373  0.648 1.258  0.532 1.142  0.417 1.027  0.301 0.911  0.186 0.796  0.070 0.680  -0.029 0.553  -0.102 0.407  -0.217 0.291  -0.333 0.176  -0.425 0.046  -0.477 -0.109  -0.508 -0.267  -0.508 -0.430  -0.508 -0.594  -0.508 -0.757  -0.429 -0.888  -0.385 -1.033  -0.270 -1.148  -0.155 -1.264  -0.013 -1.315  0.151 -1.315  0.314 -1.315  0.477 -1.315  0.418 -1.210  0.315 -1.083  0.212 -0.956  0.109 -0.829  0.006 -0.703  -0.097 -0.576  -0.200 -0.449  -0.303 -0.322  -0.406 -0.195  -0.509 -0.069  -0.612 0.058  -0.715 0.185  -0.802 0.304  -0.639 0.304  -0.476 0.304  -0.312 0.304  -0.149 0.304  0.014 0.304  0.178 0.304  0.341 0.304  0.504 0.304
3#app#app07#app0752/e  0.695 0.149  0.695 0.273  0.791 0.301  0.847 0.369  0.887 0.453  0.999 0.465  0.999 0.589  0.999 0.714  0.943 0.814  0.855 0.902  0.734 0.910  0.610 0.910  0.486 0.910  0.362 0.910  0.238 0.910  0.114 0.910  -0.000 0.867  -0.112 0.812  -0.223 0.758  -0.347 0.758  -0.442 0.687  -0.530 0.599  -0.618 0.511  -0.705 0.424  -0.793 0.336  -0.862 0.234  -0.917 0.123  -0.973 0.012  -0.980 -0.111  -0.980 -0.235  -0.980 -0.359  -0.980 -0.483  -0.980 -0.607  -0.896 -0.697  -0.800 -0.765  -0.676 -0.765  -0.588 -0.852  -0.491 -0.917  -0.366 -0.917  -0.242 -0.917  -0.118 -0.917  0.006 -0.917  0.130 -0.917  0.254 -0.917  0.379 -0.917  0.503 -0.917  0.627 -0.917  0.751 -0.917  0.847 -0.889  0.847 -0.765
3#app#app07#app0752/s  0.626 1.421  0.549 1.343  0.471 1.266  0.387 1.205  0.277 1.205  0.168 1.205  0.058 1.205  -0.052 1.205  -0.161 1.205  -0.237 1.171  -0.237 1.061  -0.237 0.951  -0.237 0.842  -0.208 0.744  -0.130 0.667  -0.053 0.589  -0.021 0.493  -0.021 0.383  0.047 0.342  0.157 0.342  0.245 0.291  0.323 0.213  0.400 0.136  0.453 0.041  0.502 -0.058  0.551 -0.156  0.600 -0.254  0.626 -0.357  0.626 -0.467  0.626 -0.576  0.626 -0.686  0.568 -0.737  0.458 -0.737  0.349 -0.737  0.239 -0.737  0.149 -0.783  0.071 -0.861  -0.006 -0.938  -0.110 -0.953  -0.220 -0.953  -0.329 -0.953  -0.439 -0.953  -0.548 -0.953  -0.658 -0.953  -0.768 -0.953  -0.877 -0.953  -0.987 -0.953  -1.097 -0.953  -1.206 -0.953  -1.316 -0.953
3#app#app07#app0752/w  -0.454 1.210  -0.312 1.210  -0.288 1.093  -0.288 0.951  -0.335 0.829  -0.435 0.729  -0.536 0.629  -0.620 0.522  -0.620 0.381  -0.718 0.280  -0.786 0.166  -0.807 0.046  -0.949 0.046  -1.090 0.046  -1.119 -0.067  -1.119 -0.209  -1.119 -0.351  -1.119 -0.492  -1.105 -0.620  -0.963 -0.620  -0.860 -0.527  -0.749 -0.453  -0.620 -0.440  -0.620 -0.299  -0.490 -0.287  -0.349 -0.287  -0.231 -0.230  -0.130 -0.130  0.007 -0.121  0.149 -0.121  0.211 -0.200  0.211 -0.342  0.233 -0.474  0.333 -0.575  0.456 -0.620  0.597 -0.620  0.730 -0.599  0.831 -0.499  0.877 -0.377  0.929 -0.287  1.070 -0.287  1.209 -0.284  1.209 -0.143  1.294 -0.036  1.375 0.072  1.375 0.213  1.375 0.355  1.375 0.496  1.442 0.611  1.542 0.711
3#app#app07#app0752/e  -0.111 0.157  0.025 0.157  0.162 0.157  0.299 0.157  0.401 0.240  0.512 0.300  0.649 0.300  0.774 0.327  0.871 0.424  1.000 0.443  1.136 0.443  1.176 0.540  1.176 0.676  1.092 0.729  0.978 0.784  0.878 0.872  0.742 0.872  0.605 0.872  0.469 0.872  0.332 0.872  0.195 0.872  0.093 0.790  -0.019 0.729  -0.150 0.709  -0.273 0.648  -0.395 0.587  -0.492 0.491  -0.588 0.395  -0.685 0.298  -0.782 0.201  -0.878 0.105  -0.969 0.006  -0.969 -0.130  -0.969 -0.267  -0.969 -0.404  -0.969 -0.540  -0.969 -0.677  -0.890 -0.781  -0.780 -0.844  -0.683 -0.884  -0.650 -0.987  -0.521 -1.007  -0.425 -1.103  -0.299 -1.130  -0.163 -1.130  -0.026 -1.130  0.087 -1.186  0.188 -1.274  0.324 -1.274  0.461 -1.274
3#app#app07#app0752/r  -1.290 -1.048  -1.222 -1.115  -1.155 -1.183  -1.143 -1.117  -1.124 -1.029  -1.056 -0.961  -0.988 -0.893  -0.921 -0.826  -0.853 -0.758  -0.847 -0.665  -0.811 -0.605  -0.715 -0.605  -0.643 -0.548  -0.575 -0.481  -0.552 -0.395  -0.541 -0.310  -0.445 -0.310  -0.366 -0.271  -0.298 -0.203  -0.257 -0.124  -0.257 -0.029  -0.199 0.043  -0.132 0.111  -0.110 0.197  -0.100 0.289  -0.033 0.357  0.035 0.425  0.038 0.519  0.073 0.593  0.159 0.636  0.245 0.679  0.330 0.722  0.333 0.816  0.374 0.871  0.470 0.871  0.565 0.871  0.652 0.847  0.719 0.780  0.787 0.712  0.855 0.644  0.922 0.577  0.924 0.481  0.953 0.398  1.021 0.330  1.071 0.255  1.071 0.160  1.140 0.133  1.231 0.121  1.299 0.053  1.366 -0.015
3#app#app07#app0752/e  -0.562 -0.072  -0.410 -0.072  -0.258 -0.072  -0.106 -0.072  0.046 -0.072  0.198 -0.072  0.338 -0.060  0.338 0.092  0.474 0.108  0.626 0.108  0.698 0.188  0.734 0.325  0.842 0.433  0.878 0.570  0.878 0.722  0.846 0.860  0.738 0.968  0.698 1.103  0.631 1.189  0.479 1.189  0.328 1.184  0.192 1.116  0.057 1.048  -0.086 1.009  -0.228 0.983  -0.335 0.876  -0.443 0.768  -0.550 0.661  -0.562 0.514  -0.669 0.468  -0.742 0.390  -0.742 0.238  -0.742 0.086  -0.742 -0.066  -0.742 -0.218  -0.742 -0.370  -0.702 -0.513  -0.634 -0.648  -0.566 -0.784  -0.461 -0.893  -0.382 -1.013  -0.369 -1.152  -0.217 -1.152  -0.105 -1.249  0.012 -1.332  0.162 -1.336  0.270 -1.444  0.394 -1.512  0.546 -1.512  0.698 -1.512
