3#apb#apb18#app1802/M  -0.549 0.927  -0.517 0.678  -0.572 0.424  -0.607 0.166  -0.699 -0.077  -0.784 -0.323  -0.866 -0.571  -0.951 -0.817  -1.051 -1.056  -1.134 -1.007  -1.089 -0.750  -1.016 -0.502  -0.912 -0.264  -0.821 -0.020  -0.702 0.212  -0.579 0.441  -0.463 0.674  -0.338 0.903  -0.195 1.120  -0.022 1.315  0.185 1.383  0.315 1.160  0.291 0.900  0.257 0.642  0.217 0.385  0.137 0.137  0.057 -0.111  0.007 -0.366  -0.042 -0.622  -0.106 -0.875  -0.188 -1.122  -0.105 -0.993  0.006 -0.757  0.114 -0.520  0.213 -0.279  0.304 -0.035  0.390 0.211  0.488 0.452  0.613 0.679  0.786 0.872  1.003 0.869  1.109 0.640  1.127 0.382  1.101 0.123  1.062 -0.134  1.015 -0.390  0.963 -0.645  0.899 -0.898  0.845 -1.153  0.802 -1.410
3#apb#apb18#app1802/p  -0.815 -1.840  -0.785 -1.736  -0.751 -1.633  -0.717 -1.530  -0.682 -1.426  -0.648 -1.323  -0.616 -1.220  -0.604 -1.112  -0.592 -1.004  -0.574 -0.896  -0.555 -0.789  -0.536 -0.682  -0.522 -0.574  -0.510 -0.466  -0.484 -0.362  -0.443 -0.261  -0.401 -0.161  -0.353 -0.064  -0.295 0.028  -0.237 0.120  -0.179 0.212  -0.120 0.304  -0.058 0.392  0.007 0.480  0.071 0.568  0.135 0.656  0.199 0.743  0.263 0.831  0.330 0.917  0.398 1.002  0.466 1.086  0.534 1.171  0.628 1.212  0.726 1.200  0.792 1.124  0.774 1.016  0.757 0.909  0.739 0.802  0.693 0.703  0.647 0.605  0.601 0.506  0.555 0.408  0.497 0.316  0.435 0.227  0.372 0.138  0.309 0.049  0.244 -0.037  0.173 -0.120  0.103 -0.203  0.032 -0.286
3#apb#apb18#app1802/r  -0.700 -1.540  -0.700 -1.466  -0.697 -1.393  -0.689 -1.319  -0.682 -1.246  -0.675 -1.173  -0.667 -1.099  -0.660 -1.026  -0.653 -0.953  -0.645 -0.879  -0.623 -0.810  -0.595 -0.742  -0.567 -0.673  -0.539 -0.605  -0.511 -0.537  -0.484 -0.469  -0.456 -0.400  -0.428 -0.332  -0.400 -0.264  -0.365 -0.200  -0.325 -0.138  -0.284 -0.076  -0.244 -0.014  -0.204 0.048  -0.164 0.109  -0.124 0.171  -0.084 0.233  -0.043 0.295  0.001 0.353  0.051 0.407  0.101 0.461  0.151 0.515  0.202 0.569  0.252 0.623  0.302 0.677  0.353 0.730  0.418 0.765  0.482 0.800  0.547 0.836  0.612 0.871  0.678 0.903  0.749 0.924  0.819 0.945  0.890 0.966  0.958 0.973  1.019 0.932  1.081 0.891  1.135 0.843  1.181 0.785  1.227 0.727
3#apb#apb18#app1802/i  0.453 0.596  0.453 0.477  0.453 0.358  0.453 0.238  0.412 0.126  0.371 0.014  0.330 -0.098  0.289 -0.210  0.247 -0.322  0.205 -0.433  0.161 -0.544  0.117 -0.655  0.073 -0.766  0.030 -0.877  -0.014 -0.988  -0.060 -1.098  -0.106 -1.208  -0.153 -1.318  -0.199 -1.428  -0.242 -1.523  -0.234 -1.404  -0.225 -1.285  -0.216 -1.166  -0.208 -1.047  -0.199 -0.928  -0.191 -0.809  -0.182 -0.690  -0.173 -0.571  -0.165 -0.452  -0.156 -0.333  -0.148 -0.214  -0.139 -0.095  -0.130 0.024  -0.122 0.143  -0.113 0.262  -0.105 0.381  -0.096 0.500  -0.088 0.619  -0.079 0.738  -0.070 0.857  -0.062 0.976  -0.053 1.095  -0.045 1.214  -0.036 1.333  -0.027 1.452  -0.019 1.571  -0.010 1.690  -0.002 1.809  0.007 1.928  0.016 2.047
3#apb#apb18#app1802/l  0.307 1.655  0.320 1.587  0.332 1.519  0.345 1.451  0.336 1.382  0.323 1.314  0.310 1.246  0.297 1.178  0.283 1.110  0.270 1.042  0.257 0.974  0.242 0.906  0.224 0.839  0.205 0.772  0.187 0.705  0.168 0.638  0.149 0.572  0.131 0.505  0.112 0.438  0.093 0.371  0.075 0.304  0.056 0.237  0.037 0.170  0.019 0.104  0.002 0.036  -0.015 -0.031  -0.031 -0.099  -0.047 -0.166  -0.063 -0.234  -0.079 -0.301  -0.095 -0.369  -0.111 -0.436  -0.128 -0.504  -0.144 -0.571  -0.160 -0.639  -0.176 -0.706  -0.192 -0.774  -0.208 -0.841  -0.223 -0.909  -0.237 -0.977  -0.252 -1.045  -0.266 -1.113  -0.281 -1.180  -0.295 -1.248  -0.310 -1.316  -0.324 -1.384  -0.339 -1.452  -0.353 -1.520  -0.368 -1.588  -0.382 -1.655
3#apb#apb18#app1802/2  -0.740 0.622  -0.727 0.680  -0.632 0.734  -0.544 0.800  -0.458 0.866  -0.369 0.930  -0.276 0.987  -0.183 1.045  -0.086 1.095  0.015 1.136  0.116 1.178  0.222 1.202  0.330 1.218  0.435 1.199  0.510 1.125  0.491 1.018  0.456 0.916  0.402 0.821  0.348 0.725  0.287 0.636  0.219 0.549  0.152 0.463  0.086 0.376  0.023 0.287  -0.039 0.197  -0.102 0.108  -0.161 0.016  -0.213 -0.080  -0.265 -0.176  -0.318 -0.272  -0.354 -0.374  -0.379 -0.481  -0.404 -0.587  -0.406 -0.696  -0.406 -0.805  -0.392 -0.913  -0.374 -1.021  -0.306 -1.105  -0.233 -1.186  -0.136 -1.233  -0.035 -1.275  0.073 -1.281  0.183 -1.281  0.291 -1.273  0.397 -1.245  0.502 -1.217  0.605 -1.183  0.702 -1.132  0.799 -1.081  0.896 -1.030
3#apb#apb18#app1802/6  -0.067 0.894  -0.050 1.013  -0.033 1.132  0.014 1.243  0.061 1.354  0.105 1.466  0.149 1.578  0.220 1.634  0.187 1.518  0.153 1.402  0.104 1.293  0.055 1.183  0.005 1.073  -0.044 0.963  -0.088 0.851  -0.129 0.738  -0.169 0.624  -0.209 0.511  -0.250 0.397  -0.292 0.284  -0.334 0.171  -0.376 0.059  -0.418 -0.054  -0.461 -0.167  -0.476 -0.286  -0.490 -0.406  -0.504 -0.525  -0.508 -0.645  -0.495 -0.765  -0.483 -0.885  -0.424 -0.984  -0.344 -1.073  -0.241 -1.133  -0.132 -1.184  -0.016 -1.179  0.101 -1.154  0.199 -1.090  0.287 -1.008  0.375 -0.926  0.446 -0.828  0.515 -0.730  0.584 -0.631  0.629 -0.519  0.631 -0.470  0.545 -0.547  0.469 -0.640  0.393 -0.734  0.329 -0.836  0.268 -0.939  0.207 -1.043
3#apb#apb18#app1802/D  -0.253 0.643  -0.262 0.472  -0.272 0.300  -0.281 0.129  -0.302 -0.042  -0.326 -0.212  -0.351 -0.382  -0.374 -0.552  -0.398 -0.722  -0.421 -0.892  -0.468 -1.057  -0.533 -1.214  -0.597 -1.239  -0.607 -1.067  -0.618 -0.896  -0.629 -0.724  -0.639 -0.553  -0.650 -0.381  -0.660 -0.210  -0.671 -0.038  -0.682 0.133  -0.692 0.304  -0.703 0.476  -0.714 0.647  -0.724 0.819  -0.682 0.956  -0.522 1.019  -0.356 1.061  -0.187 1.090  -0.017 1.107  0.155 1.107  0.326 1.104  0.488 1.046  0.650 0.989  0.799 0.910  0.928 0.796  1.036 0.670  1.069 0.502  1.102 0.333  1.104 0.166  1.056 0.001  1.007 -0.163  0.958 -0.328  0.875 -0.478  0.787 -0.626  0.700 -0.774  0.595 -0.906  0.457 -1.007  0.318 -1.109  0.180 -1.211
3#apb#apb18#app1802/e  -0.662 -0.163  -0.516 -0.207  -0.370 -0.230  -0.225 -0.182  -0.086 -0.121  0.046 -0.045  0.173 0.039  0.280 0.146  0.375 0.265  0.471 0.384  0.566 0.503  0.656 0.626  0.731 0.759  0.807 0.891  0.860 1.033  0.895 1.181  0.933 1.329  0.842 1.373  0.699 1.319  0.581 1.223  0.467 1.122  0.352 1.022  0.239 0.919  0.131 0.811  0.023 0.703  -0.085 0.595  -0.193 0.488  -0.289 0.370  -0.382 0.248  -0.474 0.127  -0.567 0.006  -0.657 -0.117  -0.740 -0.246  -0.822 -0.374  -0.905 -0.502  -0.940 -0.648  -0.963 -0.799  -0.919 -0.932  -0.826 -1.053  -0.697 -1.119  -0.548 -1.154  -0.400 -1.189  -0.252 -1.174  -0.104 -1.136  0.043 -1.097  0.191 -1.059  0.340 -1.027  0.490 -0.998  0.640 -0.970  0.790 -0.941
3#apb#apb18#app1802/c  0.531 0.625  0.531 0.732  0.531 0.839  0.531 0.946  0.531 1.053  0.531 1.160  0.531 1.267  0.531 1.374  0.475 1.406  0.389 1.342  0.313 1.268  0.248 1.183  0.184 1.097  0.120 1.012  0.056 0.926  -0.001 0.836  -0.050 0.741  -0.100 0.646  -0.149 0.551  -0.198 0.456  -0.247 0.361  -0.296 0.266  -0.348 0.173  -0.401 0.080  -0.453 -0.014  -0.505 -0.107  -0.557 -0.200  -0.601 -0.297  -0.623 -0.402  -0.645 -0.506  -0.667 -0.611  -0.679 -0.717  -0.679 -0.824  -0.679 -0.931  -0.604 -1.000  -0.518 -1.062  -0.428 -1.117  -0.322 -1.129  -0.216 -1.141  -0.109 -1.152  -0.005 -1.139  0.097 -1.107  0.199 -1.075  0.301 -1.043  0.386 -0.984  0.462 -0.908  0.538 -0.833  0.613 -0.757  0.689 -0.681  0.764 -0.606
3#apb#apb18#app1802/.  -1.611 -0.537  -1.545 -0.515  -1.479 -0.493  -1.413 -0.471  -1.348 -0.449  -1.282 -0.427  -1.216 -0.405  -1.150 -0.383  -1.085 -0.362  -1.019 -0.340  -0.953 -0.318  -0.887 -0.296  -0.822 -0.274  -0.756 -0.252  -0.690 -0.230  -0.624 -0.208  -0.559 -0.186  -0.493 -0.164  -0.427 -0.142  -0.362 -0.121  -0.296 -0.099  -0.230 -0.077  -0.164 -0.055  -0.099 -0.033  -0.033 -0.011  0.033 0.011  0.099 0.033  0.164 0.055  0.230 0.077  0.296 0.099  0.362 0.121  0.427 0.142  0.493 0.164  0.559 0.186  0.624 0.208  0.690 0.230  0.756 0.252  0.822 0.274  0.887 0.296  0.953 0.318  1.019 0.340  1.085 0.362  1.150 0.383  1.216 0.405  1.282 0.427  1.348 0.449  1.413 0.471  1.479 0.493  1.545 0.515  1.611 0.537
3#apb#apb18#app1802/8  0.443 1.079  0.469 1.219  0.441 1.357  0.371 1.482  0.238 1.528  0.096 1.530  -0.028 1.468  -0.095 1.345  -0.117 1.204  -0.129 1.061  -0.131 0.918  -0.122 0.775  -0.114 0.632  -0.106 0.489  -0.091 0.347  -0.073 0.205  -0.057 0.063  -0.047 -0.080  -0.037 -0.223  -0.028 -0.365  -0.028 -0.509  -0.028 -0.652  -0.029 -0.795  -0.038 -0.938  -0.048 -1.080  -0.058 -1.223  -0.085 -1.364  -0.113 -1.504  -0.130 -1.646  -0.197 -1.672  -0.257 -1.543  -0.257 -1.400  -0.257 -1.257  -0.253 -1.114  -0.216 -0.976  -0.179 -0.838  -0.142 -0.699  -0.120 -0.558  -0.102 -0.416  -0.083 -0.274  -0.066 -0.132  -0.059 0.011  -0.025 0.146  0.016 0.283  0.105 0.395  0.195 0.506  0.278 0.623  0.359 0.740  0.433 0.863  0.504 0.987
