2#app#app37#app3751/0  -0.213 0.767  -0.315 0.868  -0.445 0.900  -0.557 0.824  -0.614 0.704  -0.614 0.560  -0.673 0.441  -0.748 0.328  -0.748 0.184  -0.748 0.041  -0.748 -0.103  -0.748 -0.247  -0.748 -0.390  -0.748 -0.534  -0.672 -0.646  -0.614 -0.766  -0.563 -0.888  -0.453 -0.970  -0.347 -1.008  -0.305 -1.125  -0.176 -1.190  -0.044 -1.238  0.100 -1.238  0.244 -1.238  0.368 -1.191  0.469 -1.089  0.571 -0.988  0.673 -0.886  0.722 -0.763  0.722 -0.619  0.788 -0.503  0.856 -0.387  0.856 -0.244  0.856 -0.100  0.820 0.035  0.756 0.164  0.722 0.299  0.667 0.420  0.588 0.531  0.570 0.670  0.505 0.799  0.433 0.922  0.332 1.023  0.230 1.125  0.104 1.167  -0.040 1.167  -0.183 1.167  -0.327 1.167  -0.347 1.044  -0.213 1.034
2#app#app37#app3751/b  -0.410 1.724  -0.410 1.526  -0.410 1.328  -0.410 1.130  -0.410 0.933  -0.410 0.735  -0.410 0.537  -0.410 0.339  -0.410 0.142  -0.410 -0.056  -0.410 -0.254  -0.410 -0.452  -0.410 -0.649  -0.410 -0.847  -0.410 -1.045  -0.410 -1.090  -0.437 -0.895  -0.480 -0.702  -0.522 -0.509  -0.565 -0.316  -0.608 -0.123  -0.651 0.070  -0.694 0.263  -0.714 0.459  -0.609 0.613  -0.430 0.659  -0.258 0.685  -0.187 0.811  0.011 0.811  0.209 0.811  0.407 0.811  0.604 0.811  0.655 0.664  0.836 0.630  0.976 0.490  1.111 0.348  1.111 0.151  1.111 -0.047  1.111 -0.245  1.085 -0.432  0.959 -0.577  0.894 -0.710  0.728 -0.788  0.589 -0.928  0.427 -1.014  0.350 -1.136  0.183 -1.166  -0.015 -1.166  -0.212 -1.166  -0.410 -1.166
2#app#app37#app3751/e  -1.033 -0.658  -0.858 -0.650  -0.843 -0.483  -0.668 -0.467  -0.539 -0.338  -0.509 -0.168  -0.361 -0.134  -0.225 -0.024  -0.096 0.105  0.041 0.215  0.189 0.249  0.218 0.419  0.347 0.548  0.523 0.564  0.656 0.682  0.815 0.739  0.887 0.849  1.005 0.914  1.062 1.039  0.929 1.088  0.747 1.088  0.565 1.088  0.383 1.088  0.201 1.088  0.018 1.088  0.011 0.914  -0.168 0.905  -0.297 0.777  -0.464 0.739  -0.509 0.602  -0.611 0.462  -0.684 0.310  -0.684 0.128  -0.684 -0.054  -0.684 -0.236  -0.684 -0.419  -0.684 -0.601  -0.595 -0.746  -0.509 -0.893  -0.461 -1.055  -0.331 -1.182  -0.149 -1.182  0.033 -1.182  0.216 -1.182  0.398 -1.182  0.568 -1.152  0.697 -1.023  0.872 -1.007  0.887 -0.840  1.062 -0.832
2#app#app37#app3751/f  1.050 0.900  1.023 1.062  0.895 1.169  0.781 1.229  0.712 1.373  0.566 1.439  0.393 1.439  0.221 1.439  0.048 1.439  -0.096 1.368  -0.161 1.222  -0.214 1.062  -0.292 0.907  -0.295 0.735  -0.295 0.562  -0.295 0.390  -0.295 0.217  -0.295 0.044  -0.233 -0.104  -0.161 -0.246  -0.161 -0.419  -0.152 -0.589  -0.030 -0.711  -0.026 -0.882  0.024 -1.034  0.108 -1.172  0.108 -1.345  0.108 -1.518  0.108 -1.352  0.050 -1.209  -0.088 -1.105  -0.227 -1.001  -0.365 -0.898  -0.503 -0.794  -0.642 -0.690  -0.780 -0.586  -0.918 -0.483  -0.857 -0.445  -0.684 -0.445  -0.527 -0.408  -0.394 -0.311  -0.243 -0.259  -0.104 -0.176  0.069 -0.176  0.203 -0.082  0.243 0.074  0.397 0.093  0.570 0.093  0.743 0.093  0.916 0.093
2#app#app37#app3751/o  -0.075 1.280  -0.172 1.183  -0.246 1.077  -0.246 0.941  -0.380 0.937  -0.488 0.867  -0.585 0.770  -0.589 0.635  -0.657 0.527  -0.754 0.430  -0.760 0.296  -0.760 0.159  -0.760 0.022  -0.760 -0.115  -0.760 -0.252  -0.760 -0.388  -0.760 -0.525  -0.760 -0.662  -0.744 -0.792  -0.647 -0.889  -0.550 -0.986  -0.453 -1.082  -0.331 -1.118  -0.195 -1.118  -0.058 -1.118  0.079 -1.118  0.216 -1.118  0.353 -1.118  0.475 -1.082  0.572 -0.986  0.668 -0.889  0.765 -0.792  0.782 -0.662  0.782 -0.525  0.782 -0.388  0.782 -0.252  0.782 -0.115  0.782 0.022  0.782 0.159  0.782 0.296  0.775 0.430  0.678 0.527  0.582 0.624  0.485 0.720  0.439 0.838  0.412 0.964  0.316 1.061  0.199 1.109  0.062 1.109  -0.075 1.109
2#app#app37#app3751/r  -0.360 1.164  -0.360 1.014  -0.360 0.863  -0.380 0.734  -0.531 0.734  -0.575 0.627  -0.546 0.489  -0.439 0.383  -0.360 0.265  -0.360 0.115  -0.360 -0.036  -0.360 -0.186  -0.360 -0.337  -0.360 -0.487  -0.360 -0.638  -0.360 -0.788  -0.360 -0.939  -0.360 -1.089  -0.360 -1.240  -0.360 -1.390  -0.274 -1.505  -0.168 -1.611  -0.144 -1.517  -0.144 -1.367  -0.144 -1.216  -0.144 -1.066  -0.144 -0.915  -0.144 -0.765  -0.144 -0.614  -0.144 -0.464  -0.144 -0.314  -0.144 -0.163  -0.144 -0.013  -0.144 0.138  -0.144 0.288  -0.048 0.399  0.058 0.505  0.071 0.650  0.138 0.734  0.289 0.734  0.439 0.734  0.590 0.734  0.717 0.757  0.717 0.907  0.826 0.949  0.976 0.949  1.127 0.949  1.277 0.949  1.428 0.949  1.578 0.949
2#app#app37#app3751/e  -0.694 -0.077  -0.536 -0.077  -0.377 -0.077  -0.357 0.062  -0.228 0.092  -0.189 0.211  -0.111 0.338  0.001 0.450  0.113 0.562  0.226 0.674  0.317 0.795  0.331 0.948  0.443 1.060  0.486 1.201  0.397 1.271  0.238 1.271  0.079 1.271  -0.079 1.271  -0.224 1.236  -0.336 1.124  -0.357 0.974  -0.357 0.816  -0.434 0.689  -0.526 0.568  -0.539 0.415  -0.652 0.303  -0.694 0.162  -0.694 0.003  -0.694 -0.156  -0.694 -0.314  -0.694 -0.473  -0.694 -0.632  -0.666 -0.779  -0.554 -0.891  -0.442 -1.004  -0.318 -1.088  -0.160 -1.088  -0.001 -1.088  0.158 -1.088  0.317 -1.088  0.475 -1.088  0.634 -1.088  0.793 -1.088  0.823 -0.959  0.942 -0.920  0.991 -0.811  1.061 -0.681  1.160 -0.563  1.160 -0.404  1.160 -0.246
2#app#app37#app3751/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#app#app37#app3751/6  -0.068 1.172  -0.068 1.351  -0.068 1.530  -0.068 1.709  -0.174 1.631  -0.301 1.504  -0.350 1.346  -0.350 1.167  -0.350 0.988  -0.407 0.833  -0.492 0.689  -0.492 0.510  -0.587 0.370  -0.633 0.211  -0.633 0.032  -0.633 -0.147  -0.633 -0.326  -0.633 -0.505  -0.633 -0.684  -0.593 -0.847  -0.467 -0.973  -0.336 -1.090  -0.157 -1.090  0.022 -1.090  0.201 -1.090  0.373 -1.073  0.500 -0.948  0.667 -0.920  0.794 -0.794  0.920 -0.667  0.938 -0.492  1.018 -0.332  1.063 -0.164  1.063 0.015  1.063 0.194  1.014 0.324  0.835 0.324  0.656 0.324  0.477 0.324  0.315 0.283  0.189 0.156  0.057 0.041  -0.106 0.003  -0.232 -0.123  -0.350 -0.253  -0.385 -0.418  -0.492 -0.553  -0.492 -0.732  -0.492 -0.911  -0.492 -0.807
2#app#app37#app3751/  0.336 1.681  0.336 1.608  0.304 1.547  0.252 1.495  0.234 1.429  0.234 1.356  0.234 1.283  0.234 1.209  0.234 1.136  0.231 1.063  0.198 0.997  0.165 0.932  0.133 0.866  0.133 0.793  0.133 0.719  0.133 0.646  0.133 0.572  0.105 0.505  0.072 0.440  0.039 0.374  0.031 0.302  0.031 0.229  0.031 0.156  -0.001 0.090  -0.034 0.024  -0.067 -0.042  -0.071 -0.114  -0.071 -0.188  -0.071 -0.261  -0.071 -0.334  -0.071 -0.408  -0.082 -0.479  -0.115 -0.544  -0.148 -0.610  -0.173 -0.678  -0.173 -0.751  -0.173 -0.825  -0.173 -0.898  -0.173 -0.971  -0.173 -1.045  -0.173 -1.118  -0.173 -1.192  -0.173 -1.265  -0.173 -1.339  -0.173 -1.412  -0.184 -1.474  -0.258 -1.474  -0.274 -1.417  -0.274 -1.344  -0.274 -1.270
2#app#app37#app3751/7  -0.977 0.413  -1.097 0.413  -1.035 0.413  -0.914 0.413  -0.794 0.413  -0.674 0.413  -0.554 0.413  -0.462 0.481  -0.375 0.562  -0.255 0.562  -0.164 0.631  -0.076 0.711  0.044 0.711  0.135 0.781  0.223 0.859  0.343 0.859  0.434 0.930  0.521 1.008  0.642 1.008  0.762 1.008  0.737 1.008  0.660 0.964  0.660 0.844  0.660 0.724  0.660 0.604  0.660 0.484  0.625 0.378  0.540 0.293  0.455 0.208  0.370 0.123  0.363 0.006  0.363 -0.114  0.326 -0.219  0.241 -0.304  0.156 -0.389  0.071 -0.474  0.065 -0.592  0.006 -0.688  -0.079 -0.773  -0.084 -0.891  -0.143 -0.986  -0.228 -1.071  -0.233 -1.190  -0.293 -1.285  -0.378 -1.370  -0.382 -1.489  -0.382 -1.609  -0.382 -1.729  -0.382 -1.792  -0.382 -1.672
2#app#app37#app3751/  0.440 1.632  0.440 1.560  0.440 1.489  0.433 1.420  0.383 1.370  0.337 1.317  0.337 1.246  0.337 1.174  0.332 1.103  0.309 1.036  0.287 0.968  0.264 0.900  0.242 0.832  0.234 0.762  0.229 0.691  0.206 0.624  0.184 0.556  0.161 0.488  0.138 0.420  0.109 0.355  0.077 0.291  0.045 0.227  0.004 0.170  -0.046 0.119  -0.074 0.059  -0.074 -0.012  -0.074 -0.084  -0.074 -0.155  -0.074 -0.227  -0.074 -0.298  -0.096 -0.364  -0.128 -0.428  -0.160 -0.492  -0.177 -0.560  -0.177 -0.631  -0.177 -0.703  -0.196 -0.770  -0.228 -0.834  -0.260 -0.898  -0.279 -0.965  -0.279 -1.036  -0.310 -1.100  -0.342 -1.164  -0.374 -1.228  -0.382 -1.298  -0.382 -1.369  -0.382 -1.441  -0.382 -1.512  -0.382 -1.584  -0.382 -1.655
2#app#app37#app3751/8  0.888 1.031  0.712 1.075  0.537 1.119  0.362 1.162  0.184 1.179  0.003 1.179  -0.177 1.179  -0.339 1.135  -0.477 1.031  -0.591 0.965  -0.591 0.784  -0.591 0.604  -0.475 0.471  -0.347 0.344  -0.295 0.185  -0.156 0.144  -0.071 -0.010  0.000 -0.174  0.039 -0.338  0.167 -0.466  0.294 -0.594  0.422 -0.721  0.443 -0.892  0.315 -1.020  0.188 -1.147  0.148 -1.311  0.037 -1.446  -0.128 -1.483  -0.309 -1.483  -0.489 -1.483  -0.591 -1.404  -0.591 -1.224  -0.591 -1.043  -0.591 -0.863  -0.591 -0.682  -0.591 -0.502  -0.591 -0.321  -0.479 -0.187  -0.313 -0.152  -0.180 -0.037  -0.053 0.091  0.075 0.218  0.217 0.326  0.378 0.407  0.551 0.440  0.592 0.579  0.714 0.709  0.884 0.735  1.012 0.860  1.035 1.031
2#app#app37#app3751/9  0.284 1.376  0.120 1.367  0.001 1.248  -0.156 1.220  -0.283 1.120  -0.428 1.064  -0.567 0.992  -0.686 0.873  -0.805 0.753  -0.811 0.587  -0.886 0.436  -0.962 0.285  -0.962 0.117  -0.962 -0.051  -0.962 -0.220  -0.912 -0.338  -0.743 -0.338  -0.575 -0.338  -0.407 -0.338  -0.238 -0.338  -0.183 -0.225  -0.057 -0.182  0.071 -0.085  0.190 0.034  0.284 0.164  0.331 0.285  0.440 0.345  0.440 0.513  0.440 0.681  0.509 0.821  0.596 0.863  0.596 0.694  0.596 0.526  0.596 0.358  0.596 0.189  0.596 0.021  0.596 -0.148  0.462 -0.182  0.440 -0.329  0.440 -0.497  0.440 -0.665  0.440 -0.834  0.411 -0.990  0.292 -1.109  0.284 -1.274  0.284 -1.443  0.284 -1.611  0.257 -1.768  0.138 -1.887  0.129 -1.740
