2#tos#f1#f1069065/!  0.354 1.438  0.280 1.438  0.206 1.438  0.145 1.472  0.071 1.472  0.052 1.417  0.032 1.346  0.011 1.275  -0.007 1.202  -0.016 1.129  -0.016 1.055  -0.033 0.983  -0.049 0.912  -0.049 0.837  -0.049 0.763  -0.049 0.689  -0.049 0.615  -0.049 0.540  -0.049 0.466  -0.049 0.392  -0.049 0.317  -0.049 0.243  -0.049 0.169  -0.049 0.094  -0.009 0.032  0.018 -0.034  0.018 -0.108  0.018 -0.182  0.018 -0.257  0.018 -0.331  0.030 -0.403  0.063 -0.469  0.096 -0.536  0.119 -0.605  0.119 -0.679  0.116 -0.752  0.075 -0.814  0.034 -0.876  -0.007 -0.938  -0.016 -1.010  -0.016 -1.084  -0.020 -1.156  -0.072 -1.209  -0.117 -1.265  -0.117 -1.339  -0.117 -1.414  -0.135 -1.482  -0.176 -1.544  -0.211 -1.590  -0.218 -1.657
2#tos#f1#f1069065/|  0.048 1.631  -0.026 1.631  -0.038 1.569  -0.081 1.537  -0.081 1.463  -0.081 1.388  -0.081 1.314  -0.081 1.239  -0.081 1.165  -0.081 1.091  -0.081 1.016  -0.081 0.942  -0.081 0.867  -0.081 0.793  -0.081 0.718  -0.081 0.644  -0.081 0.569  -0.081 0.495  -0.050 0.433  -0.023 0.365  -0.004 0.293  0.015 0.221  0.034 0.150  0.053 0.078  0.073 0.006  0.092 -0.066  0.111 -0.138  0.130 -0.210  0.135 -0.284  0.135 -0.359  0.135 -0.433  0.090 -0.489  0.048 -0.546  0.006 -0.595  -0.038 -0.642  -0.038 -0.716  0.005 -0.748  0.005 -0.822  0.005 -0.897  0.005 -0.971  0.005 -1.046  0.005 -1.120  0.005 -1.195  0.007 -1.268  0.048 -1.326  0.048 -1.400  0.048 -1.475  0.048 -1.549  0.048 -1.624  0.048 -1.698
2#tos#f1#f1069065/}  -0.094 1.698  -0.026 1.661  -0.021 1.583  -0.021 1.500  -0.021 1.417  -0.021 1.333  -0.021 1.250  -0.058 1.182  -0.094 1.107  -0.094 1.024  -0.094 0.941  -0.116 0.866  -0.168 0.804  -0.168 0.721  -0.168 0.638  -0.168 0.554  -0.168 0.471  -0.156 0.391  -0.109 0.322  -0.075 0.263  0.005 0.250  0.083 0.226  0.166 0.226  0.237 0.213  0.193 0.152  0.127 0.135  0.127 0.052  0.127 -0.031  0.089 -0.106  0.053 -0.174  0.053 -0.257  0.053 -0.341  0.034 -0.421  0.016 -0.502  0.016 -0.585  0.016 -0.668  0.016 -0.752  0.016 -0.835  0.016 -0.918  0.051 -0.987  0.053 -1.070  0.053 -1.153  0.053 -1.236  0.053 -1.320  0.053 -1.403  0.053 -1.486  0.053 -1.570  0.029 -1.649  -0.014 -1.718  -0.021 -1.798
2#tos#f1#f1069065/~  -1.200 0.214  -1.200 0.114  -1.262 0.039  -1.314 0.012  -1.314 0.113  -1.314 0.213  -1.284 0.302  -1.223 0.380  -1.167 0.464  -1.143 0.557  -1.047 0.577  -0.955 0.614  -0.854 0.614  -0.754 0.614  -0.653 0.614  -0.552 0.614  -0.454 0.610  -0.375 0.557  -0.282 0.526  -0.230 0.457  -0.214 0.362  -0.158 0.278  -0.115 0.190  -0.048 0.157  0.016 0.106  0.048 0.011  0.089 -0.081  0.113 -0.176  0.128 -0.273  0.170 -0.364  0.170 -0.464  0.240 -0.528  0.341 -0.528  0.429 -0.558  0.518 -0.588  0.608 -0.633  0.706 -0.642  0.807 -0.642  0.908 -0.642  0.984 -0.585  1.068 -0.543  1.105 -0.471  1.201 -0.464  1.246 -0.374  1.312 -0.332  1.312 -0.232  1.312 -0.131  1.353 -0.071  1.444 -0.033  1.483 0.043
2#tos#f1#f1069065/1  -0.121 1.620  -0.054 1.614  -0.004 1.565  0.002 1.498  0.002 1.428  0.002 1.359  0.002 1.289  0.002 1.220  0.002 1.150  0.002 1.080  0.002 1.011  0.002 0.941  0.002 0.872  0.002 0.802  0.002 0.732  0.002 0.663  0.002 0.593  0.002 0.524  0.002 0.454  0.002 0.385  0.002 0.315  0.002 0.245  0.002 0.176  0.002 0.106  0.002 0.037  0.002 -0.033  0.002 -0.103  0.002 -0.172  0.002 -0.242  0.002 -0.311  0.002 -0.381  0.002 -0.451  0.002 -0.520  0.002 -0.590  0.002 -0.659  0.002 -0.729  0.002 -0.798  0.002 -0.868  0.002 -0.938  0.002 -1.007  0.002 -1.077  0.002 -1.146  0.002 -1.216  0.002 -1.286  0.002 -1.355  0.002 -1.425  0.002 -1.494  0.002 -1.564  0.032 -1.626  0.063 -1.689
2#tos#f1#f1069065/2  -0.463 1.650  -0.463 1.539  -0.463 1.428  -0.372 1.383  -0.266 1.354  -0.155 1.354  -0.104 1.294  0.007 1.294  0.070 1.247  0.098 1.148  0.177 1.070  0.189 0.964  0.189 0.853  0.189 0.742  0.189 0.632  0.189 0.521  0.189 0.410  0.117 0.328  0.055 0.236  0.001 0.140  -0.034 0.035  -0.094 -0.055  -0.172 -0.133  -0.251 -0.211  -0.329 -0.290  -0.408 -0.366  -0.507 -0.416  -0.589 -0.490  -0.640 -0.579  -0.704 -0.664  -0.726 -0.719  -0.640 -0.744  -0.623 -0.838  -0.512 -0.838  -0.402 -0.838  -0.291 -0.838  -0.180 -0.838  -0.069 -0.838  0.041 -0.838  0.152 -0.838  0.263 -0.838  0.374 -0.838  0.485 -0.838  0.595 -0.838  0.706 -0.838  0.817 -0.838  0.927 -0.833  1.036 -0.815  1.146 -0.797  1.255 -0.779
2#tos#f1#f1069065/3  -0.036 1.289  -0.119 1.241  -0.134 1.241  -0.030 1.241  0.073 1.241  0.177 1.241  0.277 1.217  0.377 1.194  0.455 1.132  0.538 1.073  0.584 0.998  0.584 0.894  0.584 0.790  0.553 0.717  0.536 0.631  0.536 0.527  0.433 0.527  0.329 0.527  0.246 0.477  0.153 0.430  0.061 0.384  -0.032 0.338  -0.135 0.336  -0.178 0.276  -0.211 0.226  -0.178 0.136  -0.162 0.042  -0.072 -0.008  0.001 -0.081  0.041 -0.169  0.094 -0.256  0.107 -0.357  0.107 -0.460  0.107 -0.564  0.107 -0.668  0.099 -0.768  0.060 -0.855  0.013 -0.934  -0.073 -0.991  -0.124 -1.080  -0.220 -1.093  -0.313 -1.137  -0.374 -1.219  -0.443 -1.284  -0.547 -1.284  -0.635 -1.334  -0.702 -1.401  -0.733 -1.474  -0.837 -1.474  -0.941 -1.474
2#tos#f1#f1069065/4  0.426 1.526  0.337 1.428  0.186 1.295  0.043 1.158  -0.052 0.980  -0.174 0.826  -0.355 0.736  -0.454 0.564  -0.576 0.403  -0.702 0.245  -0.841 0.099  -0.964 -0.062  -1.068 -0.219  -1.160 -0.349  -0.958 -0.349  -0.756 -0.349  -0.565 -0.392  -0.371 -0.429  -0.169 -0.429  0.033 -0.429  0.235 -0.429  0.437 -0.429  0.639 -0.429  0.824 -0.390  0.826 -0.235  0.760 -0.044  0.695 0.147  0.629 0.338  0.564 0.529  0.498 0.720  0.433 0.911  0.386 1.106  0.245 1.167  0.147 1.063  0.107 0.867  0.107 0.665  0.071 0.467  0.067 0.265  0.067 0.063  0.067 -0.139  0.067 -0.340  0.067 -0.542  0.067 -0.744  0.063 -0.946  0.038 -1.147  0.027 -1.348  0.027 -1.550  0.027 -1.752  0.003 -1.950  -0.052 -2.145
2#tos#f1#f1069065/5  0.668 1.380  0.510 1.380  0.425 1.306  0.310 1.214  0.245 1.074  0.171 0.935  0.118 0.789  0.107 0.635  0.022 0.506  0.008 0.350  -0.022 0.196  -0.029 0.038  -0.029 -0.120  -0.029 -0.279  -0.029 -0.437  -0.029 -0.595  0.006 -0.745  0.008 -0.903  0.008 -1.062  -0.018 -1.206  -0.142 -1.303  -0.254 -1.415  -0.400 -1.446  -0.558 -1.446  -0.713 -1.426  -0.747 -1.304  -0.723 -1.148  -0.699 -0.991  -0.675 -0.835  -0.652 -0.678  -0.628 -0.522  -0.604 -0.365  -0.580 -0.209  -0.556 -0.052  -0.532 0.104  -0.509 0.261  -0.407 0.378  -0.291 0.486  -0.176 0.586  -0.077 0.646  0.080 0.658  0.230 0.708  0.386 0.719  0.545 0.719  0.703 0.719  0.836 0.678  0.967 0.606  1.103 0.524  1.249 0.465  1.402 0.426
2#tos#f1#f1069065/G  0.761 1.209  0.641 1.292  0.437 1.292  0.285 1.375  0.081 1.375  -0.122 1.372  -0.296 1.276  -0.432 1.125  -0.550 0.959  -0.695 0.821  -0.846 0.684  -0.870 0.490  -0.962 0.311  -1.011 0.113  -1.029 -0.089  -1.029 -0.292  -1.029 -0.496  -0.986 -0.687  -0.906 -0.857  -0.772 -1.001  -0.587 -1.081  -0.383 -1.081  -0.179 -1.081  -0.013 -1.029  0.114 -0.887  0.178 -0.703  0.178 -0.499  0.045 -0.356  -0.151 -0.301  -0.307 -0.179  -0.488 -0.123  -0.377 -0.082  -0.175 -0.071  0.007 0.020  0.205 0.043  0.407 0.070  0.600 0.126  0.804 0.127  1.002 0.168  1.206 0.168  1.278 0.168  1.128 0.079  0.947 0.002  0.751 -0.013  0.636 -0.153  0.554 -0.330  0.511 -0.516  0.498 -0.718  0.470 -0.919  0.470 -1.122
2#tos#f1#f1069065/H  -0.086 1.239  -0.232 1.131  -0.395 1.045  -0.503 0.909  -0.608 0.762  -0.723 0.625  -0.760 0.461  -0.788 0.280  -0.885 0.126  -0.932 -0.050  -0.997 -0.222  -1.008 -0.404  -1.014 -0.587  -1.072 -0.762  -1.079 -0.945  -1.050 -1.011  -0.964 -0.848  -0.878 -0.685  -0.792 -0.522  -0.724 -0.355  -0.724 -0.170  -0.646 -0.038  -0.483 0.033  -0.299 0.033  -0.119 0.069  0.065 0.069  0.250 0.069  0.434 0.069  0.609 0.090  0.773 0.140  0.957 0.140  1.014 0.267  1.014 0.451  1.014 0.635  1.014 0.819  0.966 0.956  0.943 0.865  0.884 0.695  0.837 0.522  0.837 0.338  0.819 0.155  0.758 -0.017  0.695 -0.186  0.695 -0.371  0.605 -0.527  0.553 -0.696  0.553 -0.880  0.509 -1.057  0.482 -1.237  0.482 -1.421
2#tos#f1#f1069065/I  -0.482 1.149  -0.482 1.030  -0.399 0.992  -0.279 0.992  -0.159 0.992  -0.040 0.992  0.080 0.992  0.200 0.992  0.320 0.992  0.440 0.992  0.560 0.992  0.680 0.992  0.799 0.992  0.715 0.973  0.604 0.953  0.484 0.953  0.364 0.953  0.303 0.894  0.203 0.875  0.185 0.772  0.185 0.652  0.110 0.564  0.068 0.461  0.060 0.343  0.028 0.228  0.028 0.108  0.018 -0.011  -0.002 -0.129  -0.028 -0.246  -0.061 -0.361  -0.089 -0.477  -0.089 -0.597  -0.089 -0.717  -0.134 -0.818  -0.214 -0.906  -0.246 -1.018  -0.310 -1.112  -0.384 -1.166  -0.465 -1.205  -0.585 -1.205  -0.705 -1.205  -0.610 -1.205  -0.490 -1.205  -0.371 -1.205  -0.251 -1.205  -0.131 -1.201  -0.012 -1.186  0.107 -1.171  0.225 -1.150  0.342 -1.127
2#tos#f1#f1069065/J  -0.221 1.053  -0.314 1.053  -0.221 1.053  -0.129 1.053  -0.036 1.053  0.056 1.053  0.129 1.101  0.218 1.123  0.306 1.144  0.395 1.167  0.484 1.192  0.487 1.178  0.426 1.108  0.361 1.044  0.285 0.994  0.233 0.922  0.195 0.838  0.195 0.746  0.195 0.653  0.195 0.561  0.195 0.468  0.195 0.376  0.195 0.283  0.195 0.191  0.195 0.098  0.195 0.006  0.195 -0.087  0.195 -0.179  0.195 -0.272  0.195 -0.364  0.195 -0.457  0.191 -0.548  0.150 -0.631  0.148 -0.723  0.085 -0.790  0.026 -0.859  -0.008 -0.945  -0.013 -1.037  -0.090 -1.069  -0.167 -1.119  -0.228 -1.187  -0.305 -1.227  -0.379 -1.277  -0.458 -1.321  -0.549 -1.327  -0.642 -1.327  -0.712 -1.285  -0.784 -1.246  -0.822 -1.165  -0.822 -1.073
2#tos#f1#f1069065/P  0.419 1.287  0.328 1.402  0.304 1.221  0.192 1.061  0.057 0.908  -0.036 0.724  -0.118 0.537  -0.118 0.331  -0.192 0.142  -0.284 -0.042  -0.356 -0.232  -0.382 -0.437  -0.432 -0.636  -0.497 -0.831  -0.555 -1.028  -0.589 -1.231  -0.626 -1.433  -0.656 -1.636  -0.637 -1.650  -0.597 -1.448  -0.558 -1.246  -0.518 -1.043  -0.478 -0.841  -0.439 -0.639  -0.399 -0.437  -0.359 -0.235  -0.319 -0.033  -0.280 0.170  -0.240 0.372  -0.234 0.577  -0.234 0.783  -0.119 0.942  0.035 1.038  0.220 1.130  0.425 1.134  0.631 1.134  0.801 1.039  0.951 0.913  0.995 0.713  0.995 0.507  0.995 0.301  0.947 0.101  0.858 -0.077  0.709 -0.218  0.528 -0.316  0.361 -0.436  0.174 -0.515  -0.025 -0.567  -0.221 -0.626  -0.425 -0.632
2#tos#f1#f1069065/R  -0.079 1.279  -0.184 1.132  -0.254 0.910  -0.280 0.661  -0.289 0.411  -0.315 0.165  -0.359 -0.078  -0.415 -0.321  -0.494 -0.559  -0.498 -0.810  -0.533 -1.057  -0.603 -1.280  -0.573 -1.081  -0.539 -0.832  -0.506 -0.583  -0.472 -0.334  -0.439 -0.085  -0.405 0.164  -0.372 0.413  -0.374 0.661  -0.428 0.903  -0.349 1.081  -0.173 1.252  0.038 1.383  0.289 1.383  0.541 1.383  0.775 1.326  0.857 1.095  0.863 0.844  0.848 0.599  0.683 0.410  0.522 0.218  0.367 0.021  0.146 -0.066  -0.069 -0.196  -0.274 -0.341  -0.506 -0.422  -0.756 -0.432  -0.666 -0.378  -0.477 -0.293  -0.230 -0.258  0.022 -0.258  0.228 -0.372  0.385 -0.547  0.464 -0.766  0.641 -0.943  0.778 -1.132  0.927 -1.324  1.152 -1.432  1.387 -1.515
2#tos#f1#f1069065/T  -0.645 0.589  -0.739 0.556  -0.866 0.556  -0.993 0.556  -1.040 0.489  -0.913 0.489  -0.786 0.489  -0.659 0.489  -0.534 0.511  -0.409 0.532  -0.283 0.550  -0.157 0.556  -0.034 0.587  0.088 0.622  0.211 0.653  0.338 0.656  0.465 0.656  0.587 0.688  0.708 0.723  0.833 0.736  0.957 0.756  1.039 0.750  0.917 0.713  0.796 0.676  0.674 0.639  0.552 0.602  0.431 0.565  0.309 0.528  0.193 0.478  0.100 0.406  0.039 0.303  0.024 0.182  0.024 0.055  0.024 -0.072  0.024 -0.199  0.024 -0.326  0.003 -0.451  -0.010 -0.577  -0.010 -0.704  -0.029 -0.829  -0.054 -0.954  -0.089 -1.076  -0.116 -1.199  -0.132 -1.326  -0.143 -1.452  -0.143 -1.579  -0.143 -1.706  -0.143 -1.833  -0.143 -1.960  -0.143 -2.087
2#tos#f1#f1069065/V  -0.434 0.949  -0.552 0.962  -0.671 0.975  -0.744 0.967  -0.726 0.855  -0.726 0.736  -0.726 0.617  -0.726 0.497  -0.726 0.378  -0.693 0.264  -0.655 0.151  -0.653 0.033  -0.653 -0.086  -0.640 -0.205  -0.623 -0.323  -0.602 -0.440  -0.579 -0.557  -0.562 -0.675  -0.545 -0.793  -0.504 -0.904  -0.446 -1.001  -0.397 -1.091  -0.364 -1.202  -0.249 -1.208  -0.135 -1.199  -0.069 -1.100  0.045 -1.091  0.089 -0.980  0.146 -0.877  0.220 -0.784  0.285 -0.685  0.338 -0.578  0.385 -0.469  0.423 -0.356  0.472 -0.248  0.536 -0.147  0.599 -0.046  0.640 0.063  0.663 0.180  0.686 0.297  0.723 0.410  0.776 0.516  0.817 0.627  0.836 0.744  0.856 0.862  0.875 0.979  0.912 1.092  0.959 1.201  1.018 1.303  1.102 1.387
2#tos#f1#f1069065/Y  -0.533 1.183  -0.668 1.134  -0.767 1.023  -0.814 0.890  -0.814 0.740  -0.814 0.590  -0.814 0.440  -0.814 0.290  -0.809 0.143  -0.718 0.025  -0.589 -0.032  -0.450 -0.069  -0.300 -0.069  -0.154 -0.052  -0.025 0.022  0.100 0.103  0.236 0.164  0.353 0.258  0.488 0.321  0.620 0.391  0.744 0.474  0.864 0.564  0.994 0.633  1.106 0.716  1.219 0.792  1.126 0.792  0.992 0.725  0.858 0.658  0.724 0.591  0.590 0.524  0.456 0.457  0.322 0.390  0.188 0.323  0.124 0.198  0.034 0.105  -0.058 -0.008  -0.095 -0.148  -0.095 -0.297  -0.095 -0.447  -0.125 -0.594  -0.150 -0.742  -0.195 -0.884  -0.220 -1.029  -0.220 -1.179  -0.246 -1.326  -0.251 -1.475  -0.251 -1.625  -0.317 -1.753  -0.365 -1.891  -0.376 -2.040
2#tos#f1#f1069065/a  0.688 0.780  0.688 0.930  0.688 1.079  0.594 1.167  0.445 1.167  0.299 1.148  0.155 1.112  0.020 1.067  -0.099 0.978  -0.222 0.892  -0.344 0.807  -0.464 0.718  -0.545 0.603  -0.581 0.458  -0.682 0.350  -0.788 0.244  -0.909 0.158  -1.005 0.049  -1.071 -0.085  -1.121 -0.225  -1.136 -0.372  -1.136 -0.522  -1.136 -0.671  -1.136 -0.821  -0.989 -0.823  -0.840 -0.823  -0.690 -0.823  -0.567 -0.757  -0.443 -0.674  -0.299 -0.657  -0.149 -0.657  -0.012 -0.632  0.077 -0.513  0.159 -0.388  0.261 -0.290  0.395 -0.223  0.411 -0.084  0.411 0.065  0.454 0.172  0.577 0.146  0.582 -0.002  0.633 -0.140  0.685 -0.267  0.791 -0.373  0.925 -0.404  1.007 -0.528  1.147 -0.546  1.280 -0.586  1.423 -0.602  1.572 -0.602
