3#app#app32#app3220/a  0.653 0.028  0.653 0.225  0.558 0.327  0.553 0.520  0.462 0.626  0.454 0.815  0.454 1.012  0.369 1.125  0.296 1.283  0.227 1.451  0.059 1.524  -0.138 1.524  -0.279 1.389  -0.419 1.250  -0.488 1.081  -0.557 0.912  -0.643 0.751  -0.676 0.561  -0.743 0.380  -0.743 0.183  -0.807 0.001  -0.843 -0.188  -0.843 -0.385  -0.843 -0.583  -0.843 -0.780  -0.835 -0.970  -0.743 -1.075  -0.640 -1.169  -0.443 -1.169  -0.246 -1.169  -0.145 -1.072  -0.008 -0.932  0.055 -0.761  0.154 -0.663  0.158 -0.467  0.254 -0.310  0.254 -0.112  0.254 0.085  0.254 0.282  0.254 0.374  0.354 0.218  0.354 0.021  0.428 -0.146  0.454 -0.332  0.454 -0.530  0.553 -0.686  0.633 -0.850  0.684 -1.031  0.784 -1.200  0.852 -1.368
3#app#app32#app3220/l  -0.119 1.431  -0.119 1.504  -0.181 1.514  -0.150 1.514  -0.119 1.472  -0.119 1.399  -0.119 1.326  -0.119 1.253  -0.119 1.180  -0.119 1.107  -0.119 1.034  -0.119 0.961  -0.119 0.888  -0.119 0.815  -0.109 0.744  -0.077 0.678  -0.044 0.613  -0.035 0.542  -0.035 0.469  -0.035 0.396  -0.035 0.323  -0.035 0.250  -0.035 0.176  -0.035 0.103  -0.035 0.030  -0.035 -0.043  -0.035 -0.116  -0.035 -0.189  -0.025 -0.260  0.008 -0.325  0.040 -0.390  0.048 -0.462  0.048 -0.535  0.048 -0.608  0.048 -0.681  0.048 -0.754  0.048 -0.827  0.048 -0.900  0.095 -0.954  0.132 -1.012  0.132 -1.085  0.132 -1.158  0.132 -1.231  0.132 -1.304  0.184 -1.325  0.215 -1.367  0.215 -1.440  0.215 -1.513  0.215 -1.586  0.215 -1.659
3#app#app32#app3220/m  -0.880 0.759  -0.880 0.707  -0.978 0.558  -0.978 0.311  -0.978 0.063  -0.949 -0.177  -0.880 -0.408  -0.880 -0.655  -0.880 -0.902  -0.783 -1.108  -0.783 -1.221  -0.880 -1.014  -0.880 -0.767  -0.783 -0.561  -0.783 -0.314  -0.746 -0.082  -0.685 0.140  -0.604 0.353  -0.567 0.585  -0.393 0.703  -0.295 0.909  -0.124 1.028  0.095 1.033  0.192 0.826  0.192 0.579  0.192 0.332  0.192 0.085  0.192 -0.162  0.192 -0.409  0.192 -0.656  0.192 -0.903  0.095 -0.939  0.192 -0.789  0.192 -0.542  0.274 -0.329  0.380 -0.126  0.406 0.114  0.485 0.342  0.584 0.564  0.718 0.700  0.892 0.875  1.069 0.917  1.167 0.768  1.167 0.521  1.167 0.274  1.264 0.067  1.264 -0.180  1.214 -0.415  1.167 -0.651  1.264 -0.801
3#app#app32#app3220/n  -0.550 0.904  -0.550 0.730  -0.550 0.555  -0.550 0.381  -0.550 0.206  -0.550 0.032  -0.550 -0.142  -0.550 -0.317  -0.606 -0.468  -0.659 -0.620  -0.659 -0.794  -0.659 -0.969  -0.659 -1.143  -0.769 -1.148  -0.769 -0.974  -0.769 -0.799  -0.659 -0.735  -0.628 -0.568  -0.550 -0.412  -0.504 -0.256  -0.440 -0.108  -0.431 0.065  -0.389 0.234  -0.346 0.403  -0.281 0.564  -0.193 0.713  -0.085 0.847  -0.007 1.003  0.108 1.130  0.180 1.233  0.245 1.342  0.392 1.277  0.438 1.123  0.546 1.056  0.639 0.920  0.685 0.765  0.765 0.624  0.854 0.486  0.875 0.321  0.875 0.146  0.875 -0.028  0.875 -0.203  0.875 -0.377  0.853 -0.542  0.765 -0.680  0.765 -0.855  0.765 -1.029  0.670 -1.164  0.656 -1.332  0.765 -1.397
3#app#app32#app3220/o  -0.076 1.053  -0.216 1.031  -0.325 0.934  -0.431 0.891  -0.431 0.742  -0.431 0.592  -0.550 0.561  -0.550 0.412  -0.550 0.263  -0.550 0.113  -0.565 -0.030  -0.668 -0.136  -0.668 -0.286  -0.668 -0.435  -0.668 -0.584  -0.668 -0.734  -0.668 -0.883  -0.668 -1.033  -0.568 -1.081  -0.537 -1.200  -0.388 -1.200  -0.238 -1.200  -0.089 -1.200  0.060 -1.200  0.210 -1.200  0.359 -1.200  0.399 -1.090  0.498 -0.982  0.604 -0.876  0.636 -0.740  0.731 -0.630  0.754 -0.491  0.754 -0.341  0.754 -0.192  0.754 -0.043  0.754 0.107  0.754 0.256  0.754 0.405  0.687 0.527  0.636 0.655  0.560 0.773  0.517 0.905  0.398 0.935  0.292 1.041  0.162 1.067  0.117 1.171  -0.032 1.171  -0.182 1.171  -0.326 1.158  -0.431 1.053
3#app#app32#app3220/p  -0.337 1.385  -0.299 1.385  -0.251 1.222  -0.251 1.012  -0.251 0.801  -0.251 0.591  -0.251 0.380  -0.251 0.170  -0.251 -0.041  -0.251 -0.251  -0.251 -0.462  -0.251 -0.672  -0.251 -0.882  -0.251 -1.093  -0.251 -1.303  -0.251 -1.514  -0.251 -1.724  -0.251 -1.840  -0.251 -1.629  -0.251 -1.419  -0.251 -1.208  -0.251 -0.998  -0.251 -0.787  -0.251 -0.577  -0.251 -0.366  -0.251 -0.156  -0.251 0.055  -0.251 0.265  -0.251 0.475  -0.217 0.678  -0.165 0.876  -0.079 1.051  -0.030 1.213  0.094 1.299  0.292 1.243  0.495 1.213  0.678 1.145  0.791 1.032  0.868 0.854  0.845 0.649  0.782 0.453  0.705 0.275  0.661 0.074  0.575 -0.114  0.487 -0.288  0.383 -0.423  0.266 -0.517  0.134 -0.596  0.010 -0.510  -0.165 -0.423
3#app#app32#app3220/q  0.254 0.658  0.350 0.749  0.446 0.896  0.446 1.083  0.446 1.270  0.350 1.361  0.229 1.427  0.048 1.414  -0.105 1.331  -0.228 1.210  -0.247 1.043  -0.324 0.932  -0.398 0.776  -0.462 0.616  -0.516 0.451  -0.563 0.275  -0.667 0.122  -0.709 -0.048  -0.795 -0.199  -0.805 -0.382  -0.686 -0.520  -0.553 -0.652  -0.382 -0.689  -0.233 -0.598  -0.131 -0.509  -0.035 -0.418  0.061 -0.328  0.157 -0.180  0.173 0.000  0.254 0.154  0.254 0.341  0.254 0.528  0.350 0.619  0.350 0.702  0.317 0.528  0.254 0.368  0.254 0.181  0.254 -0.007  0.254 -0.194  0.254 -0.381  0.254 -0.568  0.254 -0.755  0.227 -0.936  0.157 -1.106  0.157 -1.293  0.157 -1.480  0.157 -1.667  0.157 -1.855  0.157 -2.042  0.157 -2.229
3#app#app32#app3220/r  -0.044 1.446  -0.044 1.291  -0.044 1.136  -0.045 0.981  -0.114 0.842  -0.160 0.697  -0.160 0.542  -0.160 0.387  -0.160 0.231  -0.160 0.076  -0.160 -0.079  -0.160 -0.235  -0.160 -0.390  -0.160 -0.545  -0.160 -0.701  -0.160 -0.856  -0.174 -1.006  -0.276 -1.118  -0.276 -1.274  -0.276 -1.429  -0.276 -1.584  -0.276 -1.638  -0.276 -1.482  -0.392 -1.443  -0.392 -1.288  -0.392 -1.132  -0.392 -0.977  -0.392 -0.822  -0.351 -0.676  -0.281 -0.537  -0.276 -0.383  -0.276 -0.228  -0.276 -0.073  -0.255 0.074  -0.160 0.190  -0.118 0.328  -0.044 0.452  -0.044 0.608  0.072 0.647  0.109 0.787  0.232 0.866  0.304 0.949  0.426 0.982  0.582 0.982  0.737 0.982  0.892 0.982  1.048 0.982  1.178 0.921  1.233 0.789  1.117 0.750
3#app#app32#app3220/s  0.200 1.218  0.249 1.331  0.216 1.331  0.055 1.331  -0.098 1.295  -0.243 1.223  -0.290 1.105  -0.365 1.018  -0.387 0.879  -0.528 0.829  -0.591 0.693  -0.677 0.567  -0.711 0.420  -0.817 0.302  -0.877 0.200  -0.931 0.092  -0.887 -0.026  -0.817 -0.118  -0.680 -0.126  -0.535 -0.054  -0.409 0.043  -0.266 0.087  -0.147 0.192  0.011 0.200  0.087 0.286  0.221 0.313  0.382 0.313  0.544 0.313  0.705 0.313  0.837 0.242  0.879 0.097  0.992 0.049  0.992 -0.113  0.992 -0.275  0.992 -0.436  0.907 -0.563  0.870 -0.704  0.765 -0.761  0.691 -0.892  0.545 -0.930  0.497 -1.043  0.335 -1.043  0.189 -1.106  0.039 -1.156  -0.123 -1.156  -0.284 -1.156  -0.446 -1.156  -0.607 -1.156  -0.769 -1.156  -0.704 -1.156
3#app#app32#app3220/t  -1.208 -0.367  -1.149 -0.482  -1.089 -0.367  -0.921 -0.338  -0.764 -0.260  -0.607 -0.181  -0.464 -0.084  -0.316 -0.021  -0.149 0.000  -0.013 0.095  0.132 0.167  0.289 0.210  0.465 0.210  0.605 0.293  0.763 0.336  0.868 0.414  0.782 0.325  0.667 0.443  0.564 0.585  0.461 0.727  0.358 0.868  0.255 1.010  0.152 1.152  0.049 1.293  -0.054 1.435  -0.157 1.577  -0.170 1.441  -0.170 1.266  -0.170 1.091  -0.170 0.916  -0.170 0.741  -0.170 0.566  -0.170 0.391  -0.170 0.216  -0.170 0.040  -0.170 -0.135  -0.170 -0.310  -0.170 -0.485  -0.170 -0.660  -0.165 -0.833  -0.055 -0.963  -0.055 -1.138  -0.038 -1.306  0.061 -1.440  0.156 -1.520  0.331 -1.520  0.506 -1.520  0.566 -1.405  0.637 -1.302  0.753 -1.174
3#app#app32#app3220/u  -0.823 0.843  -0.700 0.843  -0.823 0.840  -0.823 0.715  -0.823 0.590  -0.823 0.465  -0.823 0.339  -0.823 0.214  -0.823 0.089  -0.823 -0.036  -0.814 -0.158  -0.726 -0.247  -0.699 -0.361  -0.699 -0.486  -0.699 -0.611  -0.699 -0.736  -0.699 -0.862  -0.605 -0.894  -0.575 -0.988  -0.479 -1.018  -0.354 -1.018  -0.229 -1.018  -0.103 -1.018  -0.079 -0.917  0.023 -0.894  0.148 -0.894  0.170 -0.790  0.264 -0.723  0.376 -0.667  0.418 -0.567  0.474 -0.465  0.571 -0.398  0.666 -0.367  0.666 -0.242  0.666 -0.116  0.666 0.009  0.666 0.134  0.692 0.249  0.780 0.337  0.790 0.459  0.790 0.584  0.790 0.709  0.790 0.834  0.790 0.960  0.790 1.085  0.790 1.210  0.669 1.215  0.666 1.336  0.666 1.216  0.790 1.215
3#app#app32#app3220/v  -0.723 0.933  -0.723 1.066  -0.591 1.068  -0.588 0.937  -0.588 0.803  -0.588 0.670  -0.588 0.537  -0.588 0.403  -0.588 0.270  -0.501 0.172  -0.453 0.058  -0.453 -0.075  -0.453 -0.209  -0.453 -0.342  -0.453 -0.476  -0.453 -0.609  -0.453 -0.743  -0.453 -0.876  -0.453 -1.010  -0.453 -1.143  -0.453 -1.276  -0.403 -1.360  -0.318 -1.311  -0.318 -1.177  -0.272 -1.090  -0.184 -1.045  -0.184 -0.911  -0.141 -0.820  -0.049 -0.779  -0.021 -0.657  0.074 -0.563  0.086 -0.435  0.167 -0.335  0.221 -0.224  0.260 -0.106  0.355 -0.012  0.449 0.082  0.491 0.199  0.543 0.311  0.635 0.407  0.709 0.518  0.783 0.629  0.857 0.740  0.895 0.862  0.895 0.996  0.957 1.068  1.072 1.110  1.165 1.205  1.165 1.336  1.165 1.203
3#app#app32#app3220/w  -0.866 0.847  -0.750 0.939  -0.818 1.079  -0.866 1.151  -0.866 0.943  -0.866 0.736  -0.866 0.528  -0.866 0.320  -0.866 0.113  -0.866 -0.095  -0.866 -0.303  -0.866 -0.510  -0.866 -0.718  -0.760 -0.881  -0.750 -1.085  -0.696 -1.239  -0.613 -1.102  -0.518 -0.933  -0.402 -0.773  -0.402 -0.566  -0.287 -0.406  -0.224 -0.218  -0.109 -0.045  -0.055 0.147  0.006 0.329  0.071 0.510  0.177 0.674  0.293 0.765  0.286 0.724  0.177 0.561  0.177 0.354  0.177 0.146  0.177 -0.062  0.177 -0.269  0.177 -0.477  0.277 -0.643  0.342 -0.824  0.522 -0.891  0.703 -0.828  0.773 -0.659  0.872 -0.551  1.004 -0.395  1.097 -0.209  1.104 -0.003  1.220 0.156  1.220 0.364  1.220 0.572  1.220 0.779  1.220 0.987  1.220 0.963
3#app#app32#app3220/x  -0.748 1.029  -0.665 1.143  -0.598 0.993  -0.459 0.854  -0.400 0.682  -0.291 0.531  -0.284 0.337  -0.177 0.185  -0.171 -0.011  -0.083 -0.186  -0.063 -0.378  -0.059 -0.573  0.051 -0.724  0.058 -0.918  0.166 -1.070  0.292 -1.140  0.489 -1.140  0.514 -0.963  0.532 -0.768  0.549 -0.572  0.567 -0.376  0.585 -0.180  0.603 0.015  0.621 0.211  0.638 0.407  0.656 0.603  0.674 0.799  0.692 0.994  0.710 1.190  0.727 1.386  0.736 1.389  0.615 1.242  0.527 1.066  0.398 0.919  0.309 0.745  0.187 0.594  0.049 0.454  -0.039 0.278  -0.127 0.102  -0.237 -0.058  -0.344 -0.220  -0.448 -0.384  -0.587 -0.523  -0.692 -0.687  -0.748 -0.870  -0.857 -1.021  -0.976 -1.169  -1.054 -1.333  -0.976 -1.400  -0.862 -1.483
3#app#app32#app3220/y  -0.340 1.375  -0.379 1.549  -0.475 1.495  -0.475 1.305  -0.475 1.115  -0.475 0.925  -0.475 0.735  -0.414 0.570  -0.408 0.382  -0.340 0.220  -0.280 0.090  -0.123 0.172  -0.002 0.311  0.065 0.474  0.137 0.634  0.201 0.798  0.268 0.921  0.268 1.111  0.268 1.301  0.268 1.258  0.268 1.068  0.268 0.878  0.233 0.696  0.201 0.513  0.201 0.323  0.201 0.133  0.257 -0.034  0.268 -0.220  0.268 -0.410  0.268 -0.600  0.336 -0.762  0.336 -0.952  0.336 -1.143  0.336 -1.333  0.336 -1.523  0.268 -1.646  0.100 -1.668  -0.023 -1.600  -0.191 -1.547  -0.340 -1.458  -0.340 -1.268  -0.340 -1.078  -0.314 -0.898  -0.273 -0.725  -0.176 -0.568  -0.090 -0.403  0.044 -0.269  0.133 -0.155  0.213 -0.045  0.403 -0.045
3#app#app32#app3220/z  -0.728 1.215  -0.728 1.190  -0.536 1.215  -0.440 1.337  -0.225 1.346  -0.030 1.443  0.133 1.580  0.350 1.580  0.364 1.376  0.364 1.159  0.364 0.942  0.243 0.846  0.171 0.658  0.110 0.464  0.013 0.270  -0.048 0.075  -0.121 -0.112  -0.269 -0.268  -0.364 -0.446  -0.485 -0.613  -0.558 -0.800  -0.607 -0.997  -0.607 -1.214  -0.508 -1.333  -0.291 -1.333  -0.073 -1.333  0.144 -1.333  0.327 -1.249  0.516 -1.182  0.695 -1.090  0.791 -0.969  0.887 -0.848  0.855 -0.781  0.667 -0.674  0.478 -0.566  0.289 -0.458  0.101 -0.350  -0.088 -0.242  -0.277 -0.135  -0.465 -0.027  -0.654 0.081  -0.717 0.002  -0.500 0.002  -0.282 0.002  -0.115 0.123  0.000 0.225  0.198 0.245  0.415 0.245  0.511 0.366  0.728 0.366
