3#apb#apb22#app2236/A  -1.105 -1.263  -1.234 -1.312  -1.241 -1.171  -1.181 -1.028  -1.113 -0.889  -1.024 -0.762  -0.935 -0.635  -0.847 -0.507  -0.761 -0.378  -0.675 -0.249  -0.589 -0.120  -0.499 0.007  -0.409 0.133  -0.319 0.259  -0.229 0.385  -0.131 0.505  -0.032 0.625  0.067 0.744  0.170 0.860  0.280 0.969  0.390 1.079  0.499 1.189  0.609 1.298  0.706 1.419  0.812 1.416  0.816 1.265  0.801 1.111  0.775 0.958  0.750 0.805  0.714 0.654  0.667 0.507  0.620 0.359  0.577 0.210  0.541 0.059  0.504 -0.092  0.465 -0.242  0.422 -0.391  0.378 -0.540  0.349 -0.691  0.332 -0.845  0.309 -0.998  0.250 -1.026  0.170 -0.893  0.091 -0.760  0.011 -0.627  -0.069 -0.494  -0.149 -0.361  -0.229 -0.228  -0.229 -0.170  -0.076 -0.145
3#apb#apb22#app2236/L  0.406 1.459  0.386 1.540  0.354 1.605  0.362 1.595  0.346 1.513  0.325 1.432  0.303 1.351  0.281 1.271  0.256 1.191  0.231 1.111  0.206 1.031  0.181 0.951  0.152 0.873  0.122 0.794  0.092 0.716  0.063 0.638  0.033 0.560  0.003 0.481  -0.025 0.403  -0.053 0.324  -0.082 0.245  -0.110 0.167  -0.138 0.088  -0.167 0.009  -0.195 -0.070  -0.222 -0.149  -0.250 -0.228  -0.278 -0.307  -0.305 -0.386  -0.330 -0.465  -0.348 -0.547  -0.366 -0.629  -0.384 -0.710  -0.403 -0.792  -0.418 -0.874  -0.433 -0.957  -0.448 -1.039  -0.415 -1.114  -0.343 -1.147  -0.262 -1.170  -0.180 -1.156  -0.098 -1.141  -0.015 -1.127  0.067 -1.112  0.149 -1.093  0.229 -1.071  0.310 -1.049  0.391 -1.027  0.471 -1.005  0.552 -0.983
3#apb#apb22#app2236/M  -1.549 -0.993  -1.511 -0.927  -1.465 -0.790  -1.394 -0.655  -1.296 -0.535  -1.219 -0.403  -1.155 -0.263  -1.063 -0.140  -0.967 -0.018  -0.874 0.105  -0.781 0.228  -0.687 0.350  -0.585 0.466  -0.484 0.582  -0.378 0.694  -0.269 0.803  -0.161 0.914  -0.059 1.030  0.058 1.129  0.141 1.034  0.161 0.882  0.169 0.728  0.144 0.576  0.120 0.423  0.080 0.275  0.033 0.127  -0.015 -0.019  -0.067 -0.165  -0.126 -0.307  -0.195 -0.444  -0.168 -0.477  -0.041 -0.391  0.080 -0.294  0.200 -0.198  0.325 -0.106  0.449 -0.015  0.578 0.069  0.711 0.148  0.849 0.214  0.996 0.263  1.148 0.267  1.230 0.144  1.227 -0.008  1.192 -0.158  1.169 -0.311  1.148 -0.464  1.119 -0.615  1.089 -0.766  1.060 -0.918  1.032 -1.070
3#apb#apb22#app2236/N  -1.330 -1.119  -1.307 -1.047  -1.239 -0.892  -1.149 -0.747  -1.066 -0.597  -0.985 -0.446  -0.896 -0.300  -0.799 -0.159  -0.702 -0.018  -0.613 0.127  -0.523 0.274  -0.431 0.418  -0.323 0.550  -0.215 0.683  -0.112 0.820  -0.014 0.960  0.091 1.094  0.212 1.215  0.296 1.364  0.344 1.369  0.323 1.199  0.286 1.032  0.230 0.871  0.174 0.710  0.136 0.543  0.094 0.377  0.051 0.211  0.007 0.046  -0.038 -0.119  -0.084 -0.284  -0.129 -0.450  -0.173 -0.615  -0.216 -0.781  -0.237 -0.950  -0.215 -1.116  -0.085 -1.171  0.054 -1.072  0.180 -0.957  0.302 -0.837  0.410 -0.704  0.518 -0.572  0.623 -0.436  0.724 -0.298  0.825 -0.160  0.918 -0.016  1.011 0.128  1.109 0.268  1.216 0.401  1.320 0.537  1.430 0.668
3#apb#apb22#app2236/O  0.336 0.828  0.318 0.963  0.228 1.041  0.101 1.034  -0.013 0.958  -0.118 0.872  -0.219 0.780  -0.305 0.674  -0.386 0.564  -0.464 0.453  -0.538 0.338  -0.613 0.224  -0.680 0.105  -0.728 -0.023  -0.775 -0.150  -0.823 -0.278  -0.855 -0.411  -0.887 -0.544  -0.919 -0.676  -0.929 -0.812  -0.929 -0.948  -0.892 -1.073  -0.816 -1.187  -0.704 -1.212  -0.570 -1.185  -0.436 -1.158  -0.322 -1.084  -0.207 -1.010  -0.092 -0.936  0.023 -0.862  0.126 -0.774  0.224 -0.679  0.323 -0.584  0.421 -0.489  0.519 -0.395  0.605 -0.289  0.689 -0.181  0.773 -0.074  0.852 0.037  0.897 0.166  0.942 0.295  0.986 0.424  0.972 0.560  0.958 0.695  0.909 0.818  0.831 0.931  0.733 1.021  0.615 1.090  0.487 1.087  0.354 1.056
3#apb#apb22#app2236/P  -0.650 0.153  -0.612 0.066  -0.634 -0.082  -0.671 -0.227  -0.714 -0.371  -0.758 -0.514  -0.811 -0.654  -0.864 -0.795  -0.923 -0.933  -0.982 -1.071  -1.044 -1.206  -1.028 -1.088  -0.984 -0.945  -0.917 -0.811  -0.847 -0.678  -0.778 -0.545  -0.717 -0.408  -0.655 -0.271  -0.588 -0.138  -0.506 -0.012  -0.424 0.113  -0.342 0.239  -0.244 0.352  -0.141 0.461  -0.038 0.570  0.074 0.670  0.191 0.763  0.309 0.856  0.431 0.943  0.558 1.022  0.686 1.101  0.830 1.144  0.969 1.116  1.077 1.025  1.144 0.891  1.179 0.747  1.201 0.598  1.180 0.450  1.152 0.303  1.091 0.167  1.020 0.035  0.922 -0.078  0.820 -0.188  0.702 -0.278  0.573 -0.354  0.442 -0.426  0.293 -0.436  0.143 -0.447  -0.006 -0.462  -0.110 -0.368
3#apb#apb22#app2236/Q  0.498 0.950  0.352 1.063  0.160 0.999  0.026 0.848  -0.119 0.708  -0.274 0.578  -0.403 0.425  -0.508 0.253  -0.613 0.081  -0.704 -0.100  -0.794 -0.281  -0.871 -0.467  -0.920 -0.663  -0.969 -0.859  -0.977 -1.060  -0.953 -1.257  -0.826 -1.365  -0.625 -1.348  -0.456 -1.239  -0.289 -1.125  -0.126 -1.006  0.025 -0.871  0.175 -0.736  0.325 -0.601  0.433 -0.430  0.539 -0.258  0.645 -0.086  0.716 0.103  0.787 0.293  0.858 0.482  0.852 0.683  0.843 0.885  0.813 1.082  0.738 1.270  0.621 1.417  0.460 1.443  0.393 1.252  0.326 1.062  0.258 0.871  0.191 0.681  0.123 0.490  0.056 0.300  -0.011 0.109  -0.079 -0.081  -0.146 -0.272  -0.214 -0.463  -0.191 -0.658  -0.116 -0.844  -0.045 -1.033  0.015 -1.226
3#apb#apb22#app2236/R  -0.122 0.716  -0.141 0.746  -0.196 0.562  -0.271 0.385  -0.350 0.209  -0.420 0.030  -0.490 -0.150  -0.558 -0.329  -0.627 -0.509  -0.694 -0.690  -0.757 -0.872  -0.821 -1.053  -0.877 -1.238  -0.911 -1.427  -0.899 -1.301  -0.840 -1.118  -0.777 -0.937  -0.702 -0.759  -0.627 -0.582  -0.553 -0.404  -0.479 -0.226  -0.405 -0.049  -0.330 0.129  -0.255 0.306  -0.180 0.483  -0.072 0.642  0.043 0.796  0.159 0.950  0.306 1.073  0.456 1.194  0.615 1.301  0.782 1.397  0.974 1.397  1.022 1.215  1.022 1.022  0.965 0.838  0.895 0.660  0.809 0.488  0.716 0.319  0.618 0.154  0.505 -0.003  0.360 -0.120  0.169 -0.129  0.081 -0.288  0.153 -0.466  0.245 -0.635  0.378 -0.774  0.520 -0.902  0.694 -0.984  0.868 -1.066
3#apb#apb22#app2236/S  0.624 0.875  0.668 0.984  0.713 1.088  0.713 1.206  0.620 1.234  0.503 1.249  0.391 1.222  0.282 1.178  0.172 1.135  0.065 1.085  -0.040 1.032  -0.145 0.980  -0.251 0.927  -0.349 0.862  -0.446 0.795  -0.543 0.728  -0.632 0.651  -0.720 0.572  -0.778 0.474  -0.787 0.361  -0.753 0.249  -0.659 0.179  -0.563 0.111  -0.456 0.061  -0.348 0.012  -0.241 -0.037  -0.133 -0.085  -0.026 -0.132  0.082 -0.180  0.187 -0.234  0.291 -0.290  0.395 -0.346  0.484 -0.423  0.572 -0.501  0.629 -0.600  0.666 -0.711  0.618 -0.818  0.565 -0.923  0.487 -1.011  0.408 -1.099  0.297 -1.134  0.183 -1.164  0.069 -1.195  -0.048 -1.195  -0.166 -1.195  -0.284 -1.195  -0.402 -1.195  -0.520 -1.195  -0.638 -1.195  -0.756 -1.195
3#apb#apb22#app2236/T  0.595 1.096  0.543 1.136  0.509 0.983  0.460 0.835  0.407 0.688  0.351 0.542  0.292 0.396  0.234 0.251  0.175 0.106  0.116 -0.039  0.057 -0.184  -0.001 -0.329  -0.051 -0.477  -0.100 -0.626  -0.150 -0.774  -0.189 -0.926  -0.227 -1.078  -0.268 -1.229  -0.313 -1.378  -0.338 -1.533  -0.304 -1.661  -0.183 -1.650  -0.206 -1.495  -0.230 -1.340  -0.253 -1.186  -0.277 -1.031  -0.300 -0.876  -0.324 -0.721  -0.347 -0.567  -0.371 -0.412  -0.394 -0.257  -0.418 -0.102  -0.441 0.052  -0.465 0.207  -0.488 0.362  -0.512 0.517  -0.535 0.671  -0.558 0.826  -0.481 0.928  -0.328 0.960  -0.172 0.960  -0.015 0.960  0.141 0.958  0.298 0.952  0.454 0.947  0.610 0.941  0.766 0.930  0.922 0.909  1.077 0.889  1.232 0.869
3#apb#apb22#app2236/U  -0.583 1.182  -0.515 1.314  -0.541 1.174  -0.596 1.017  -0.655 0.861  -0.721 0.708  -0.795 0.559  -0.845 0.401  -0.892 0.241  -0.932 0.079  -0.967 -0.084  -0.996 -0.248  -1.021 -0.412  -1.023 -0.579  -1.015 -0.744  -0.979 -0.907  -0.865 -1.020  -0.701 -1.033  -0.546 -0.972  -0.392 -0.910  -0.258 -0.810  -0.126 -0.709  0.002 -0.604  0.106 -0.473  0.209 -0.342  0.312 -0.212  0.413 -0.079  0.515 0.053  0.612 0.188  0.676 0.341  0.741 0.495  0.810 0.647  0.884 0.796  0.947 0.949  0.978 1.111  0.883 0.987  0.814 0.836  0.751 0.682  0.695 0.525  0.651 0.365  0.617 0.202  0.582 0.039  0.550 -0.125  0.517 -0.288  0.490 -0.452  0.475 -0.618  0.460 -0.784  0.443 -0.950  0.425 -1.115  0.407 -1.281
3#apb#apb22#app2236/V  -0.735 0.964  -0.720 1.080  -0.716 1.041  -0.691 0.926  -0.689 0.808  -0.689 0.690  -0.689 0.572  -0.676 0.455  -0.663 0.338  -0.658 0.220  -0.658 0.102  -0.658 -0.016  -0.640 -0.132  -0.611 -0.247  -0.582 -0.361  -0.551 -0.475  -0.520 -0.589  -0.489 -0.703  -0.451 -0.814  -0.412 -0.926  -0.372 -1.037  -0.328 -1.147  -0.284 -1.256  -0.193 -1.331  -0.114 -1.245  -0.047 -1.147  0.020 -1.050  0.081 -0.950  0.124 -0.840  0.167 -0.730  0.211 -0.620  0.253 -0.510  0.292 -0.399  0.332 -0.287  0.371 -0.176  0.411 -0.065  0.460 0.042  0.509 0.150  0.559 0.257  0.608 0.364  0.659 0.470  0.710 0.577  0.761 0.683  0.818 0.787  0.876 0.890  0.943 0.986  1.022 1.073  1.111 1.150  1.210 1.213  1.328 1.213
3#apb#apb22#app2236/W  -0.307 1.278  -0.446 1.359  -0.486 1.235  -0.522 1.079  -0.568 0.925  -0.622 0.774  -0.665 0.619  -0.699 0.462  -0.733 0.305  -0.773 0.150  -0.820 -0.004  -0.866 -0.157  -0.907 -0.312  -0.934 -0.471  -0.960 -0.629  -0.977 -0.789  -0.945 -0.940  -0.818 -0.851  -0.702 -0.741  -0.593 -0.623  -0.486 -0.504  -0.381 -0.382  -0.277 -0.260  -0.184 -0.129  -0.093 0.004  0.005 0.130  0.116 0.238  0.086 0.081  0.049 -0.076  0.013 -0.232  -0.022 -0.389  -0.054 -0.546  -0.067 -0.705  -0.006 -0.818  0.148 -0.790  0.289 -0.714  0.427 -0.633  0.534 -0.513  0.641 -0.393  0.748 -0.274  0.853 -0.152  0.957 -0.030  1.061 0.093  1.160 0.219  1.247 0.354  1.335 0.488  1.422 0.623  1.511 0.756  1.610 0.881  1.704 1.003
3#apb#apb22#app2236/X  0.065 1.706  0.021 1.821  0.052 1.671  0.067 1.517  0.096 1.364  0.125 1.212  0.141 1.057  0.155 0.903  0.168 0.748  0.182 0.593  0.195 0.438  0.208 0.284  0.224 0.129  0.244 -0.025  0.264 -0.179  0.284 -0.333  0.307 -0.486  0.330 -0.640  0.355 -0.793  0.388 -0.945  0.431 -1.092  0.461 -1.174  0.308 -1.148  0.155 -1.122  0.002 -1.096  -0.151 -1.070  -0.305 -1.044  -0.458 -1.018  -0.611 -0.992  -0.764 -0.966  -0.917 -0.941  -1.050 -0.898  -1.007 -0.758  -0.907 -0.640  -0.807 -0.521  -0.705 -0.404  -0.604 -0.286  -0.502 -0.169  -0.401 -0.051  -0.276 0.041  -0.150 0.132  -0.024 0.223  0.102 0.313  0.228 0.404  0.356 0.492  0.486 0.578  0.615 0.663  0.745 0.748  0.875 0.833  1.005 0.918
3#apb#apb22#app2236/Y  -0.861 1.177  -0.999 1.244  -1.073 1.140  -1.107 0.989  -1.072 0.845  -1.011 0.703  -0.955 0.560  -0.918 0.410  -0.880 0.261  -0.818 0.122  -0.730 -0.005  -0.643 -0.132  -0.518 -0.220  -0.388 -0.302  -0.260 -0.389  -0.134 -0.478  0.011 -0.486  0.163 -0.460  0.252 -0.354  0.315 -0.213  0.377 -0.072  0.440 0.069  0.502 0.210  0.564 0.351  0.627 0.492  0.689 0.633  0.752 0.775  0.814 0.916  0.877 1.057  0.846 1.008  0.773 0.872  0.703 0.735  0.643 0.593  0.583 0.451  0.524 0.308  0.462 0.167  0.401 0.025  0.339 -0.116  0.278 -0.257  0.229 -0.404  0.186 -0.552  0.143 -0.700  0.100 -0.848  0.058 -0.996  0.017 -1.145  -0.023 -1.294  -0.064 -1.443  -0.072 -1.596  -0.072 -1.750  -0.072 -1.904
3#apb#apb22#app2236/Z  -0.601 1.119  -0.708 1.166  -0.693 1.173  -0.573 1.141  -0.448 1.119  -0.315 1.119  -0.183 1.118  -0.050 1.109  0.082 1.100  0.214 1.100  0.346 1.093  0.474 1.061  0.591 1.004  0.693 0.921  0.691 0.812  0.615 0.704  0.534 0.599  0.444 0.502  0.350 0.408  0.254 0.317  0.156 0.228  0.066 0.131  -0.016 0.027  -0.098 -0.077  -0.197 -0.164  -0.298 -0.251  -0.398 -0.338  -0.496 -0.427  -0.593 -0.517  -0.675 -0.621  -0.756 -0.726  -0.840 -0.828  -0.923 -0.931  -0.851 -0.962  -0.719 -0.953  -0.587 -0.941  -0.458 -0.908  -0.330 -0.876  -0.201 -0.844  -0.071 -0.824  0.062 -0.814  0.194 -0.804  0.326 -0.794  0.458 -0.787  0.591 -0.782  0.723 -0.777  0.855 -0.772  0.988 -0.779  1.120 -0.785  1.253 -0.791
