2#tos#f3#f3047059/$  0.895 0.698  0.767 0.723  0.582 0.826  0.318 0.826  0.093 0.921  -0.170 0.923  -0.433 0.919  -0.671 0.826  -0.725 0.606  -0.744 0.347  -0.640 0.116  -0.449 -0.052  -0.262 -0.194  -0.071 -0.266  0.156 -0.395  0.329 -0.561  0.574 -0.620  0.644 -0.816  0.698 -1.042  0.569 -1.231  0.369 -1.352  0.129 -1.391  -0.135 -1.391  -0.376 -1.309  -0.561 -1.189  -0.539 -0.942  -0.453 -0.692  -0.367 -0.443  -0.281 -0.194  -0.195 0.056  -0.109 0.305  -0.023 0.554  0.063 0.804  0.149 1.053  0.235 1.303  0.321 1.552  0.317 1.711  0.305 1.451  0.253 1.203  0.218 0.942  0.160 0.686  0.092 0.435  0.072 0.176  -0.031 -0.066  -0.103 -0.320  -0.132 -0.582  -0.165 -0.843  -0.182 -1.103  -0.230 -1.355  -0.262 -1.616
2#tos#f3#f3047059/^  -0.895 -0.430  -0.921 -0.531  -0.948 -0.631  -1.029 -0.696  -1.110 -0.761  -1.192 -0.826  -1.206 -0.791  -1.132 -0.717  -1.072 -0.634  -1.025 -0.541  -0.983 -0.446  -0.950 -0.347  -0.872 -0.282  -0.787 -0.223  -0.713 -0.149  -0.661 -0.060  -0.614 0.033  -0.567 0.126  -0.505 0.208  -0.432 0.282  -0.373 0.366  -0.313 0.450  -0.250 0.528  -0.232 0.621  -0.139 0.668  -0.047 0.716  0.026 0.789  0.072 0.861  0.176 0.861  0.277 0.846  0.365 0.793  0.439 0.719  0.512 0.645  0.563 0.558  0.598 0.460  0.672 0.386  0.727 0.299  0.799 0.228  0.885 0.171  0.923 0.075  0.966 -0.019  1.024 -0.105  1.042 -0.204  1.066 -0.293  1.159 -0.340  1.240 -0.394  1.240 -0.498  1.305 -0.562  1.405 -0.579  1.489 -0.629
2#tos#f3#f3047059/|  0.055 1.544  -0.019 1.544  -0.072 1.504  -0.114 1.442  -0.162 1.392  -0.160 1.392  -0.147 1.329  -0.147 1.255  -0.141 1.183  -0.097 1.127  -0.097 1.052  -0.097 0.977  -0.097 0.903  -0.097 0.828  -0.083 0.757  -0.050 0.690  -0.046 0.617  -0.046 0.542  -0.046 0.467  -0.046 0.393  -0.046 0.318  -0.046 0.244  -0.046 0.169  -0.046 0.095  -0.045 0.020  -0.028 -0.053  -0.011 -0.125  0.006 -0.198  0.023 -0.270  0.040 -0.343  0.057 -0.416  0.075 -0.488  0.092 -0.561  0.109 -0.633  0.126 -0.706  0.143 -0.778  0.143 -0.837  0.068 -0.837  0.055 -0.899  0.055 -0.974  0.055 -1.048  0.078 -1.114  0.106 -1.177  0.106 -1.251  0.106 -1.326  0.106 -1.400  0.106 -1.475  0.106 -1.549  0.106 -1.624  0.106 -1.699
2#tos#f3#f3047059/}  -0.197 1.719  -0.253 1.648  -0.294 1.565  -0.317 1.479  -0.317 1.387  -0.317 1.295  -0.317 1.203  -0.317 1.111  -0.317 1.019  -0.317 0.927  -0.317 0.835  -0.310 0.745  -0.264 0.666  -0.199 0.601  -0.197 0.510  -0.197 0.418  -0.128 0.376  -0.050 0.332  0.020 0.279  0.112 0.279  0.204 0.279  0.296 0.279  0.274 0.319  0.203 0.340  0.163 0.326  0.123 0.259  0.083 0.192  0.083 0.100  0.083 0.008  0.083 -0.084  0.083 -0.176  0.083 -0.268  0.083 -0.360  0.083 -0.452  0.083 -0.544  0.083 -0.636  0.083 -0.728  0.083 -0.820  0.133 -0.891  0.163 -0.971  0.163 -1.063  0.163 -1.155  0.163 -1.247  0.163 -1.339  0.163 -1.431  0.164 -1.522  0.243 -1.565  0.243 -1.657  0.243 -1.749  0.243 -1.841
2#tos#f3#f3047059/~  -1.396 0.214  -1.457 0.194  -1.457 0.112  -1.457 0.030  -1.457 0.109  -1.419 0.152  -1.337 0.152  -1.258 0.162  -1.190 0.207  -1.121 0.253  -1.046 0.276  -0.965 0.276  -0.883 0.276  -0.801 0.276  -0.719 0.276  -0.637 0.276  -0.555 0.276  -0.473 0.276  -0.391 0.276  -0.309 0.276  -0.228 0.276  -0.146 0.276  -0.074 0.251  -0.007 0.214  0.052 0.173  0.098 0.104  0.143 0.036  0.217 0.006  0.295 -0.020  0.334 -0.074  0.334 -0.156  0.353 -0.218  0.435 -0.218  0.517 -0.218  0.555 -0.290  0.605 -0.342  0.686 -0.342  0.768 -0.342  0.850 -0.342  0.932 -0.342  1.014 -0.342  1.096 -0.342  1.178 -0.342  1.260 -0.342  1.339 -0.322  1.419 -0.302  1.498 -0.282  1.558 -0.229  1.616 -0.171  1.631 -0.095
2#tos#f3#f3047059/2  -0.799 1.131  -0.923 1.116  -1.030 1.045  -1.055 1.029  -0.927 1.029  -0.798 1.029  -0.670 1.029  -0.541 1.029  -0.421 1.065  -0.296 1.080  -0.168 1.080  -0.054 1.046  0.047 0.978  0.175 0.978  0.275 0.915  0.320 0.797  0.320 0.669  0.320 0.541  0.320 0.412  0.290 0.302  0.218 0.218  0.218 0.090  0.146 -0.009  0.039 -0.077  -0.031 -0.180  -0.118 -0.273  -0.138 -0.393  -0.162 -0.504  -0.284 -0.545  -0.376 -0.633  -0.474 -0.695  -0.545 -0.802  -0.622 -0.853  -0.543 -0.853  -0.418 -0.878  -0.294 -0.903  -0.166 -0.903  -0.037 -0.903  0.089 -0.892  0.208 -0.853  0.336 -0.853  0.465 -0.853  0.581 -0.799  0.702 -0.759  0.829 -0.750  0.946 -0.700  1.074 -0.700  1.203 -0.700  1.331 -0.700  1.439 -0.649
2#tos#f3#f3047059/3  -0.516 1.245  -0.638 1.245  -0.759 1.245  -0.704 1.245  -0.582 1.245  -0.461 1.245  -0.339 1.245  -0.218 1.245  -0.097 1.245  0.020 1.213  0.137 1.189  0.146 1.077  0.146 0.955  0.146 0.834  0.146 0.712  0.146 0.591  0.143 0.471  0.035 0.416  -0.019 0.308  -0.074 0.199  -0.187 0.168  -0.297 0.136  -0.336 0.020  -0.425 -0.024  -0.431 -0.079  -0.309 -0.079  -0.188 -0.079  -0.067 -0.079  0.053 -0.088  0.158 -0.147  0.259 -0.209  0.372 -0.250  0.473 -0.300  0.576 -0.344  0.610 -0.455  0.642 -0.569  0.642 -0.691  0.592 -0.791  0.536 -0.898  0.432 -0.957  0.422 -1.072  0.355 -1.127  0.257 -1.182  0.171 -1.268  0.069 -1.331  -0.044 -1.375  -0.130 -1.434  -0.170 -1.527  -0.285 -1.565  -0.406 -1.569
2#tos#f3#f3047059/4  -0.944 0.920  -1.003 0.805  -1.033 0.640  -1.121 0.493  -1.121 0.319  -1.121 0.145  -1.121 -0.029  -1.077 -0.185  -1.003 -0.328  -0.884 -0.417  -0.713 -0.436  -0.539 -0.436  -0.365 -0.436  -0.192 -0.436  -0.023 -0.404  0.147 -0.377  0.306 -0.329  0.454 -0.238  0.619 -0.200  0.728 -0.079  0.845 0.046  0.989 0.141  1.009 0.236  0.917 0.384  0.826 0.532  0.734 0.680  0.642 0.828  0.551 0.976  0.459 1.124  0.368 1.272  0.294 1.358  0.227 1.200  0.157 1.041  0.117 0.874  0.117 0.700  0.117 0.526  0.117 0.352  0.117 0.178  0.117 0.004  0.117 -0.170  0.117 -0.344  0.117 -0.518  0.117 -0.692  0.117 -0.866  0.117 -1.040  0.117 -1.214  0.117 -1.388  0.117 -1.562  0.117 -1.736  0.117 -1.910
2#tos#f3#f3047059/9  0.167 0.049  0.317 0.089  0.358 0.239  0.441 0.371  0.441 0.537  0.441 0.704  0.349 0.834  0.277 0.956  0.152 1.010  0.035 1.089  -0.109 1.144  -0.275 1.144  -0.442 1.144  -0.599 1.135  -0.665 1.035  -0.811 0.967  -0.873 0.833  -0.886 0.669  -0.928 0.509  -0.928 0.342  -0.928 0.176  -0.928 0.009  -0.910 -0.153  -0.788 -0.225  -0.685 -0.344  -0.543 -0.389  -0.377 -0.386  -0.256 -0.275  -0.106 -0.216  -0.047 -0.086  0.087 0.009  0.167 0.126  0.262 0.253  0.332 0.391  0.387 0.362  0.387 0.195  0.387 0.029  0.429 -0.125  0.496 -0.271  0.496 -0.438  0.535 -0.599  0.551 -0.764  0.551 -0.931  0.551 -1.097  0.551 -1.264  0.551 -1.430  0.569 -1.594  0.606 -1.754  0.606 -1.921  0.606 -2.087
2#tos#f3#f3047059/C  0.598 1.163  0.511 1.163  0.424 1.163  0.337 1.163  0.268 1.207  0.181 1.207  0.095 1.207  0.008 1.207  -0.044 1.149  -0.109 1.112  -0.171 1.051  -0.250 1.032  -0.321 1.016  -0.321 0.929  -0.347 0.849  -0.365 0.766  -0.386 0.684  -0.425 0.606  -0.453 0.526  -0.453 0.439  -0.453 0.352  -0.453 0.265  -0.453 0.178  -0.453 0.091  -0.453 0.004  -0.453 -0.083  -0.448 -0.169  -0.427 -0.253  -0.403 -0.337  -0.364 -0.414  -0.325 -0.492  -0.278 -0.565  -0.231 -0.638  -0.204 -0.721  -0.152 -0.782  -0.074 -0.821  -0.000 -0.865  0.061 -0.926  0.123 -0.988  0.191 -1.040  0.268 -1.079  0.347 -1.117  0.429 -1.144  0.514 -1.157  0.601 -1.157  0.688 -1.157  0.775 -1.157  0.862 -1.157  0.949 -1.157  1.036 -1.157
2#tos#f3#f3047059/F  -1.309 0.687  -1.096 0.687  -0.888 0.725  -0.680 0.764  -0.471 0.800  -0.260 0.815  -0.068 0.900  0.139 0.918  0.337 0.965  0.542 0.994  0.754 0.994  0.719 0.968  0.511 0.922  0.303 0.877  0.096 0.831  -0.112 0.786  -0.320 0.740  -0.442 0.596  -0.502 0.400  -0.502 0.187  -0.502 -0.026  -0.483 -0.236  -0.464 -0.447  -0.435 -0.656  -0.426 -0.868  -0.388 -1.077  -0.352 -1.283  -0.310 -1.488  -0.270 -1.676  -0.193 -1.762  -0.183 -1.549  -0.173 -1.336  -0.162 -1.124  -0.152 -0.911  -0.142 -0.699  -0.132 -0.486  -0.122 -0.273  -0.254 -0.196  -0.154 -0.196  0.024 -0.106  0.228 -0.050  0.435 -0.012  0.636 0.021  0.826 0.111  0.968 0.248  1.063 0.439  1.034 0.302  1.072 0.128  1.111 -0.076  1.149 -0.273
2#tos#f3#f3047059/H  -0.744 1.274  -0.825 1.184  -0.825 1.012  -0.825 0.840  -0.825 0.668  -0.825 0.496  -0.807 0.327  -0.753 0.164  -0.744 -0.006  -0.744 -0.178  -0.744 -0.350  -0.704 -0.517  -0.704 -0.689  -0.668 -0.856  -0.663 -1.028  -0.579 -1.164  -0.504 -1.283  -0.501 -1.114  -0.501 -0.942  -0.501 -0.770  -0.501 -0.598  -0.501 -0.427  -0.501 -0.255  -0.564 -0.147  -0.590 -0.147  -0.427 -0.110  -0.273 -0.033  -0.103 -0.025  0.062 0.016  0.231 0.037  0.359 0.132  0.452 0.277  0.545 0.422  0.637 0.566  0.730 0.711  0.823 0.856  0.915 1.001  0.879 1.064  0.879 0.893  0.886 0.721  0.927 0.555  0.961 0.387  0.961 0.215  0.961 0.043  0.961 -0.129  1.023 -0.281  1.042 -0.448  1.048 -0.619  1.082 -0.786  1.082 -0.958
2#tos#f3#f3047059/I  -0.616 1.089  -0.729 1.066  -0.765 1.000  -0.643 1.000  -0.520 1.000  -0.398 1.000  -0.275 1.000  -0.153 1.000  -0.030 1.000  0.092 1.000  0.215 1.000  0.307 1.009  0.205 1.077  0.103 1.145  -0.010 1.178  -0.104 1.132  -0.126 1.015  -0.126 0.893  -0.126 0.770  -0.126 0.648  -0.126 0.525  -0.126 0.403  -0.126 0.280  -0.126 0.157  -0.113 0.038  -0.081 -0.077  -0.054 -0.195  -0.036 -0.315  -0.036 -0.437  -0.036 -0.560  -0.029 -0.681  0.001 -0.800  -0.039 -0.882  -0.160 -0.902  -0.275 -0.934  -0.365 -1.016  -0.397 -1.053  -0.275 -1.053  -0.152 -1.053  -0.030 -1.053  0.093 -1.053  0.215 -1.053  0.338 -1.053  0.460 -1.053  0.583 -1.053  0.705 -1.053  0.828 -1.053  0.950 -1.053  1.066 -1.031  1.168 -0.963
2#tos#f3#f3047059/J  -0.705 1.176  -0.738 1.107  -0.648 1.075  -0.604 1.015  -0.509 1.007  -0.419 0.974  -0.318 0.957  -0.216 0.940  -0.115 0.919  -0.014 0.901  0.084 0.872  0.188 0.872  0.286 0.845  0.384 0.813  0.487 0.805  0.590 0.805  0.595 0.797  0.493 0.780  0.391 0.763  0.289 0.746  0.239 0.685  0.239 0.582  0.239 0.478  0.257 0.378  0.297 0.283  0.340 0.190  0.340 0.087  0.340 -0.017  0.340 -0.120  0.340 -0.223  0.340 -0.327  0.340 -0.430  0.340 -0.533  0.326 -0.632  0.270 -0.719  0.237 -0.817  0.180 -0.903  0.171 -1.003  0.107 -1.080  0.034 -1.153  -0.059 -1.199  -0.151 -1.245  -0.243 -1.291  -0.340 -1.320  -0.431 -1.349  -0.532 -1.354  -0.636 -1.354  -0.732 -1.323  -0.821 -1.272  -0.874 -1.185
2#tos#f3#f3047059/K  -0.591 1.663  -0.710 1.525  -0.698 1.300  -0.670 1.077  -0.670 0.851  -0.670 0.624  -0.670 0.397  -0.670 0.171  -0.670 -0.056  -0.670 -0.282  -0.670 -0.509  -0.670 -0.735  -0.670 -0.962  -0.670 -1.188  -0.631 -1.375  -0.505 -1.215  -0.373 -1.031  -0.240 -0.847  -0.108 -0.663  0.025 -0.480  0.157 -0.296  0.290 -0.112  0.422 0.072  0.555 0.255  0.687 0.439  0.820 0.623  0.952 0.806  1.085 0.990  0.994 0.970  0.827 0.910  0.624 0.827  0.437 0.709  0.276 0.572  0.085 0.465  -0.120 0.379  -0.274 0.223  -0.486 0.144  -0.659 0.039  -0.669 -0.041  -0.459 -0.080  -0.256 -0.137  -0.088 -0.239  0.073 -0.355  0.243 -0.485  0.446 -0.586  0.634 -0.712  0.852 -0.773  1.065 -0.849  1.262 -0.952  1.430 -1.071
2#tos#f3#f3047059/M  -1.086 -0.809  -1.195 -0.885  -1.222 -1.035  -1.195 -0.954  -1.113 -0.826  -1.086 -0.677  -1.040 -0.561  -1.014 -0.411  -0.977 -0.262  -0.919 -0.119  -0.901 0.032  -0.832 0.165  -0.799 0.312  -0.759 0.457  -0.724 0.605  -0.686 0.751  -0.616 0.863  -0.546 0.727  -0.463 0.599  -0.405 0.456  -0.336 0.319  -0.287 0.179  -0.243 0.034  -0.183 -0.097  -0.110 -0.207  0.003 -0.264  0.117 -0.220  0.207 -0.097  0.304 0.019  0.331 0.169  0.421 0.293  0.527 0.396  0.576 0.542  0.659 0.663  0.724 0.783  0.804 0.884  0.876 0.833  0.876 0.679  0.936 0.549  0.949 0.400  0.949 0.246  0.949 0.091  0.964 -0.062  0.985 -0.214  1.019 -0.364  1.058 -0.512  1.058 -0.666  1.073 -0.818  1.167 -0.924  1.204 -1.063
2#tos#f3#f3047059/N  -1.170 -0.816  -1.238 -0.991  -1.249 -0.846  -1.249 -0.654  -1.214 -0.470  -1.170 -0.289  -1.149 -0.100  -1.094 0.083  -1.045 0.269  -1.001 0.454  -0.972 0.642  -0.933 0.817  -0.876 0.996  -0.752 1.080  -0.667 0.933  -0.523 0.814  -0.425 0.651  -0.354 0.475  -0.278 0.299  -0.184 0.134  -0.087 -0.031  0.010 -0.196  0.090 -0.369  0.212 -0.497  0.340 -0.637  0.466 -0.769  0.568 -0.923  0.699 -1.013  0.767 -0.967  0.771 -0.775  0.774 -0.583  0.778 -0.392  0.782 -0.200  0.785 -0.008  0.789 0.184  0.793 0.375  0.797 0.567  0.800 0.759  0.804 0.950  0.664 1.001  0.607 0.866  0.607 0.674  0.607 0.482  0.607 0.290  0.607 0.099  0.607 -0.093  0.592 -0.283  0.568 -0.472  0.568 -0.664  0.568 -0.855
2#tos#f3#f3047059/P  -0.197 1.136  -0.243 0.944  -0.243 0.733  -0.243 0.522  -0.243 0.312  -0.243 0.101  -0.243 -0.110  -0.243 -0.321  -0.243 -0.531  -0.243 -0.742  -0.243 -0.953  -0.243 -1.164  -0.243 -1.375  -0.243 -1.585  -0.243 -1.796  -0.248 -1.719  -0.255 -1.509  -0.262 -1.298  -0.269 -1.088  -0.276 -0.877  -0.283 -0.666  -0.290 -0.456  -0.297 -0.245  -0.304 -0.034  -0.311 0.176  -0.318 0.387  -0.325 0.598  -0.332 0.808  -0.416 0.986  -0.467 1.143  -0.299 1.265  -0.092 1.274  0.119 1.274  0.330 1.274  0.500 1.176  0.689 1.098  0.831 0.956  0.966 0.825  1.094 0.668  1.094 0.457  1.061 0.252  0.909 0.119  0.804 -0.048  0.616 -0.142  0.419 -0.202  0.252 -0.307  0.055 -0.341  -0.156 -0.341  -0.366 -0.341  -0.566 -0.295
2#tos#f3#f3047059/Q  0.081 -0.465  -0.125 -0.544  -0.326 -0.642  -0.556 -0.642  -0.739 -0.569  -0.935 -0.462  -1.007 -0.261  -1.156 -0.111  -1.156 0.120  -1.156 0.350  -1.136 0.572  -0.941 0.682  -0.803 0.838  -0.696 1.001  -0.483 1.087  -0.262 1.126  -0.069 1.223  0.155 1.259  0.386 1.259  0.561 1.170  0.736 1.028  0.875 0.876  0.963 0.689  0.965 0.459  0.965 0.229  0.935 0.005  0.874 -0.202  0.677 -0.322  0.561 -0.515  0.365 -0.598  0.162 -0.686  -0.069 -0.686  -0.299 -0.686  -0.529 -0.686  -0.749 -0.642  -0.847 -0.484  -0.822 -0.263  -0.663 -0.152  -0.495 -0.026  -0.289 0.049  -0.069 0.052  0.134 -0.040  0.276 -0.218  0.457 -0.355  0.572 -0.509  0.684 -0.670  0.907 -0.686  1.138 -0.686  1.365 -0.670  1.584 -0.598
