2#app#app41#app4105/0  0.310 0.905  0.160 0.905  0.009 0.905  -0.141 0.905  -0.292 0.905  -0.334 0.798  -0.378 0.690  -0.528 0.690  -0.640 0.599  -0.747 0.493  -0.764 0.349  -0.808 0.217  -0.914 0.111  -0.979 -0.013  -0.979 -0.163  -0.979 -0.314  -0.979 -0.464  -0.968 -0.610  -0.861 -0.716  -0.764 -0.826  -0.764 -0.977  -0.665 -1.028  -0.515 -1.028  -0.364 -1.028  -0.214 -1.028  -0.064 -1.028  0.087 -1.028  0.237 -1.028  0.388 -1.028  0.534 -1.019  0.641 -0.912  0.740 -0.803  0.740 -0.653  0.808 -0.531  0.914 -0.424  0.954 -0.291  0.942 -0.143  0.874 -0.009  0.807 0.126  0.740 0.260  0.740 0.411  0.740 0.561  0.718 0.690  0.568 0.690  0.525 0.798  0.482 0.905  0.332 0.905  0.310 1.034  0.246 1.120  0.095 1.120
2#app#app41#app4105/b  -0.044 2.168  -0.044 1.994  -0.044 1.820  -0.044 1.646  -0.044 1.473  -0.092 1.319  -0.215 1.196  -0.311 1.062  -0.311 0.888  -0.311 0.714  -0.311 0.541  -0.311 0.367  -0.311 0.193  -0.311 0.019  -0.311 -0.154  -0.311 -0.328  -0.311 -0.502  -0.434 -0.625  -0.557 -0.748  -0.577 -0.913  -0.577 -1.086  -0.577 -1.260  -0.577 -1.170  -0.539 -1.035  -0.365 -1.035  -0.311 -0.916  -0.311 -0.742  -0.311 -0.568  -0.235 -0.426  -0.112 -0.303  -0.044 -0.158  -0.044 0.016  0.068 0.144  0.191 0.267  0.313 0.389  0.436 0.512  0.588 0.566  0.757 0.562  0.757 0.388  0.757 0.214  0.757 0.041  0.757 -0.133  0.757 -0.307  0.757 -0.481  0.649 -0.610  0.526 -0.733  0.403 -0.855  0.280 -0.978  0.223 -1.128  0.223 -1.302
2#app#app41#app4105/e  -1.597 -0.506  -1.432 -0.506  -1.268 -0.506  -1.103 -0.506  -0.939 -0.506  -0.774 -0.506  -0.610 -0.506  -0.445 -0.506  -0.281 -0.506  -0.116 -0.506  0.048 -0.506  0.212 -0.506  0.377 -0.506  0.541 -0.506  0.564 -0.364  0.564 -0.200  0.603 -0.074  0.767 -0.074  0.932 -0.074  0.996 0.026  0.996 0.190  0.996 0.355  0.996 0.519  0.996 0.684  0.996 0.848  0.996 1.013  0.996 1.177  0.876 1.222  0.712 1.222  0.552 1.210  0.436 1.094  0.320 0.978  0.203 0.862  0.132 0.727  0.132 0.562  0.132 0.398  0.007 0.358  -0.157 0.358  -0.310 0.339  -0.383 0.192  -0.457 0.045  -0.530 -0.102  -0.604 -0.250  -0.678 -0.397  -0.732 -0.548  -0.732 -0.713  -0.732 -0.877  -0.732 -1.042  -0.732 -1.206  -0.732 -1.370
2#app#app41#app4105/f  0.698 0.593  0.847 0.593  0.866 0.722  0.866 0.871  0.802 0.993  0.698 1.099  0.698 1.248  0.566 1.265  0.530 1.378  0.437 1.433  0.288 1.433  0.194 1.378  0.169 1.240  0.064 1.134  -0.042 1.029  -0.142 0.922  -0.142 0.773  -0.142 0.624  -0.142 0.475  -0.211 0.355  -0.310 0.247  -0.310 0.098  -0.408 -0.010  -0.478 -0.130  -0.478 -0.278  -0.478 -0.427  -0.478 -0.576  -0.478 -0.725  -0.478 -0.874  -0.478 -1.023  -0.478 -1.171  -0.413 -1.256  -0.310 -1.301  -0.284 -1.424  -0.144 -1.417  -0.191 -1.276  -0.238 -1.135  -0.285 -0.994  -0.332 -0.853  -0.379 -0.711  -0.426 -0.570  -0.473 -0.429  -0.343 -0.416  -0.195 -0.416  -0.046 -0.416  0.103 -0.416  0.252 -0.416  0.401 -0.416  0.550 -0.416  0.698 -0.416
2#app#app41#app4105/o  0.771 1.083  0.615 1.083  0.458 1.083  0.327 1.059  0.327 0.902  0.327 0.746  0.277 0.639  0.121 0.639  -0.035 0.639  -0.192 0.639  -0.348 0.639  -0.504 0.639  -0.562 0.540  -0.562 0.384  -0.562 0.228  -0.685 0.195  -0.842 0.195  -0.998 0.195  -1.006 0.047  -1.006 -0.110  -1.006 -0.266  -1.006 -0.422  -1.006 -0.579  -0.976 -0.723  -0.866 -0.833  -0.755 -0.944  -0.645 -1.054  -0.523 -1.138  -0.367 -1.138  -0.210 -1.138  -0.054 -1.138  0.102 -1.138  0.259 -1.138  0.389 -1.075  0.500 -0.965  0.610 -0.854  0.721 -0.744  0.771 -0.608  0.771 -0.452  0.771 -0.296  0.771 -0.139  0.771 0.017  0.771 0.173  0.771 0.329  0.771 0.486  0.769 0.641  0.658 0.752  0.548 0.862  0.437 0.973  0.327 1.083
2#app#app41#app4105/r  -0.490 0.224  -0.490 0.113  -0.490 0.002  -0.490 -0.109  -0.490 -0.219  -0.490 -0.330  -0.490 -0.441  -0.490 -0.552  -0.490 -0.663  -0.490 -0.774  -0.490 -0.885  -0.490 -0.996  -0.490 -1.106  -0.490 -1.217  -0.490 -1.275  -0.490 -1.164  -0.490 -1.054  -0.490 -0.943  -0.402 -0.920  -0.291 -0.920  -0.180 -0.920  -0.109 -0.881  -0.109 -0.770  -0.109 -0.659  -0.109 -0.548  -0.109 -0.437  -0.109 -0.326  -0.109 -0.215  -0.072 -0.120  0.007 -0.042  0.085 0.037  0.164 0.115  0.242 0.194  0.272 0.292  0.272 0.403  0.272 0.514  0.286 0.619  0.364 0.697  0.443 0.776  0.521 0.854  0.599 0.933  0.654 1.021  0.654 1.132  0.654 1.243  0.654 1.353  0.722 1.436  0.800 1.515  0.879 1.593  0.957 1.671  1.035 1.750
2#app#app41#app4105/e  -1.080 -0.006  -0.929 -0.006  -0.778 -0.006  -0.627 -0.006  -0.476 -0.006  -0.360 0.078  -0.254 0.184  -0.147 0.291  -0.005 0.312  0.146 0.312  0.297 0.312  0.448 0.312  0.598 0.312  0.749 0.312  0.828 0.384  0.828 0.535  0.828 0.686  0.828 0.836  0.828 0.987  0.828 1.138  0.805 1.266  0.654 1.266  0.510 1.259  0.510 1.108  0.510 0.957  0.410 0.848  0.304 0.741  0.197 0.635  0.090 0.528  -0.016 0.421  -0.123 0.315  -0.126 0.165  -0.126 0.014  -0.256 -0.006  -0.407 -0.006  -0.444 -0.120  -0.444 -0.271  -0.444 -0.422  -0.444 -0.573  -0.444 -0.724  -0.444 -0.874  -0.444 -1.025  -0.444 -1.176  -0.444 -1.327  -0.444 -1.478  -0.411 -1.596  -0.260 -1.596  -0.126 -1.612  -0.126 -1.763  -0.126 -1.914
2#app#app41#app4105/'  0.000 -0.273  0.000 -0.164  0.000 -0.055  0.000 0.055  0.000 0.164  0.000 0.273  0.000 0.383  0.000 0.492  0.000 0.602  0.000 0.711  0.000 0.820  0.000 0.930  0.000 1.039  0.000 1.149  0.000 1.258  0.000 1.367  0.000 1.477  0.000 1.440  0.000 1.331  0.000 1.221  0.000 1.112  0.000 1.003  0.000 0.893  0.000 0.784  0.000 0.675  0.000 0.565  0.000 0.456  0.000 0.346  0.000 0.237  0.000 0.128  0.000 0.018  0.000 -0.091  0.000 -0.201  0.000 -0.310  0.000 -0.419  0.000 -0.529  0.000 -0.638  0.000 -0.747  0.000 -0.857  0.000 -0.966  0.000 -1.076  0.000 -1.185  0.000 -1.294  0.000 -1.404  0.000 -1.513  0.000 -1.622  0.000 -1.732  0.000 -1.841  0.000 -1.951  0.000 -2.060
2#app#app41#app4105/6  -0.295 1.659  -0.398 1.556  -0.501 1.453  -0.541 1.324  -0.541 1.178  -0.636 1.072  -0.739 0.969  -0.786 0.843  -0.786 0.697  -0.786 0.551  -0.786 0.406  -0.786 0.260  -0.786 0.114  -0.786 -0.032  -0.786 -0.177  -0.786 -0.323  -0.786 -0.469  -0.741 -0.596  -0.638 -0.699  -0.535 -0.802  -0.432 -0.905  -0.329 -1.008  -0.198 -1.042  -0.052 -1.042  0.094 -1.042  0.239 -1.042  0.385 -1.042  0.505 -0.979  0.608 -0.876  0.720 -0.797  0.866 -0.797  0.933 -0.718  0.933 -0.572  0.933 -0.427  0.933 -0.281  0.933 -0.135  0.933 0.011  0.933 0.156  0.933 0.302  0.916 0.431  0.771 0.431  0.625 0.431  0.479 0.431  0.334 0.431  0.196 0.423  0.196 0.277  0.142 0.186  -0.004 0.186  -0.049 0.086  -0.049 -0.060
2#app#app41#app4105/  0.449 1.588  0.449 1.513  0.449 1.438  0.449 1.363  0.449 1.287  0.449 1.212  0.449 1.137  0.449 1.062  0.399 1.037  0.324 1.037  0.266 1.020  0.266 0.945  0.266 0.870  0.266 0.795  0.266 0.719  0.254 0.647  0.221 0.580  0.187 0.513  0.153 0.445  0.120 0.378  0.086 0.311  0.035 0.256  -0.018 0.203  -0.071 0.150  -0.101 0.087  -0.101 0.012  -0.101 -0.063  -0.154 -0.116  -0.207 -0.170  -0.260 -0.223  -0.285 -0.288  -0.285 -0.363  -0.285 -0.438  -0.285 -0.513  -0.285 -0.588  -0.285 -0.663  -0.285 -0.739  -0.285 -0.814  -0.285 -0.889  -0.285 -0.964  -0.285 -1.039  -0.285 -1.114  -0.285 -1.190  -0.285 -1.265  -0.285 -1.340  -0.285 -1.415  -0.285 -1.490  -0.285 -1.565  -0.285 -1.640  -0.285 -1.716
2#app#app41#app4105/7  -0.604 0.263  -0.604 0.105  -0.604 -0.054  -0.761 -0.055  -0.920 -0.055  -0.922 0.102  -0.922 0.260  -0.922 0.418  -0.922 0.577  -1.076 0.581  -1.234 0.581  -1.087 0.581  -0.929 0.581  -0.770 0.581  -0.612 0.581  -0.454 0.581  -0.295 0.581  -0.137 0.581  0.021 0.581  0.180 0.581  0.338 0.581  0.497 0.581  0.655 0.581  0.771 0.684  0.882 0.796  0.985 0.886  0.985 0.727  0.973 0.581  0.814 0.581  0.667 0.570  0.667 0.412  0.667 0.253  0.667 0.095  0.658 -0.055  0.500 -0.055  0.349 -0.062  0.349 -0.221  0.349 -0.379  0.349 -0.538  0.349 -0.696  0.349 -0.854  0.345 -1.008  0.187 -1.008  0.031 -1.012  0.031 -1.170  0.031 -1.328  0.031 -1.487  0.031 -1.645  0.031 -1.803  0.031 -1.962
2#app#app41#app4105/  0.309 1.682  0.309 1.608  0.309 1.535  0.309 1.461  0.309 1.387  0.309 1.313  0.309 1.239  0.309 1.165  0.309 1.091  0.309 1.017  0.309 0.943  0.309 0.870  0.276 0.809  0.224 0.757  0.171 0.705  0.119 0.653  0.099 0.587  0.099 0.513  0.099 0.439  0.099 0.365  0.099 0.291  0.099 0.218  0.050 0.164  -0.002 0.112  -0.054 0.059  -0.106 0.007  -0.111 -0.065  -0.111 -0.139  -0.111 -0.213  -0.111 -0.287  -0.111 -0.360  -0.111 -0.434  -0.111 -0.508  -0.111 -0.582  -0.111 -0.656  -0.111 -0.730  -0.111 -0.804  -0.139 -0.866  -0.192 -0.918  -0.244 -0.970  -0.296 -1.023  -0.321 -1.086  -0.321 -1.160  -0.321 -1.234  -0.321 -1.308  -0.321 -1.382  -0.321 -1.456  -0.321 -1.530  -0.321 -1.603  -0.321 -1.677
2#app#app41#app4105/8  0.789 1.226  0.577 1.226  0.365 1.226  0.153 1.226  -0.053 1.211  -0.203 1.061  -0.369 0.951  -0.581 0.951  -0.793 0.951  -0.864 0.809  -0.942 0.675  -1.128 0.665  -0.978 0.515  -0.814 0.400  -0.602 0.400  -0.390 0.400  -0.217 0.304  -0.067 0.154  0.133 0.125  0.238 0.018  0.281 -0.151  0.493 -0.151  0.514 -0.343  0.642 -0.426  0.789 -0.491  0.788 -0.703  0.638 -0.853  0.514 -1.014  0.514 -1.226  0.329 -1.253  0.152 -1.339  0.002 -1.489  -0.194 -1.528  -0.378 -1.462  -0.528 -1.312  -0.588 -1.125  -0.588 -0.913  -0.587 -0.701  -0.438 -0.551  -0.288 -0.401  -0.138 -0.251  -0.037 -0.081  -0.030 0.125  0.182 0.125  0.238 0.280  0.330 0.400  0.534 0.420  0.684 0.570  0.852 0.675  1.064 0.675
2#app#app41#app4105/9  0.827 0.083  0.827 0.252  0.827 0.421  0.827 0.590  0.671 0.603  0.566 0.668  0.566 0.837  0.424 0.863  0.255 0.863  0.086 0.863  0.046 0.992  0.008 1.124  -0.160 1.124  -0.329 1.124  -0.491 1.106  -0.611 0.987  -0.730 0.867  -0.734 0.700  -0.806 0.603  -0.975 0.603  -0.994 0.453  -0.994 0.284  -0.994 0.115  -0.857 0.083  -0.734 0.038  -0.734 -0.131  -0.611 -0.177  -0.442 -0.177  -0.273 -0.177  -0.136 -0.099  -0.017 0.020  0.126 0.083  0.295 0.083  0.464 0.083  0.566 0.016  0.566 -0.153  0.566 -0.322  0.566 -0.490  0.566 -0.659  0.435 -0.697  0.306 -0.737  0.306 -0.906  0.306 -1.075  0.280 -1.217  0.111 -1.217  0.046 -1.322  0.046 -1.491  0.046 -1.660  0.046 -1.829  0.046 -1.998
