2#apb#apb33#app3353/A  0.286 0.708  0.264 0.822  0.136 0.842  -0.019 0.622  -0.165 0.397  -0.314 0.172  -0.483 -0.039  -0.631 -0.265  -0.794 -0.480  -0.955 -0.698  -1.137 -0.892  -1.303 -1.055  -1.477 -1.145  -1.494 -1.021  -1.369 -0.781  -1.234 -0.546  -1.084 -0.321  -0.884 -0.144  -0.719 0.068  -0.528 0.254  -0.333 0.439  -0.116 0.601  0.106 0.750  0.327 0.861  0.539 1.001  0.769 1.087  1.028 1.055  1.142 0.826  1.147 0.560  1.135 0.293  1.077 0.030  0.952 -0.209  0.787 -0.424  0.632 -0.645  0.463 -0.857  0.351 -1.039  0.445 -1.090  0.534 -0.927  0.385 -0.701  0.236 -0.476  0.086 -0.250  -0.063 -0.024  -0.213 0.202  -0.334 0.316  -0.197 0.306  0.070 0.313  0.336 0.338  0.606 0.349  0.872 0.392  1.135 0.425
2#apb#apb33#app3353/L  0.513 1.377  0.513 1.452  0.561 1.544  0.611 1.603  0.601 1.535  0.564 1.423  0.573 1.309  0.512 1.215  0.456 1.114  0.423 1.001  0.386 0.889  0.302 0.806  0.226 0.718  0.173 0.612  0.109 0.514  0.039 0.419  -0.018 0.316  -0.070 0.211  -0.147 0.123  -0.231 0.040  -0.314 -0.044  -0.397 -0.127  -0.480 -0.210  -0.546 -0.307  -0.607 -0.408  -0.676 -0.503  -0.762 -0.581  -0.862 -0.644  -0.940 -0.704  -0.971 -0.756  -0.971 -0.753  -0.888 -0.693  -0.834 -0.641  -0.725 -0.676  -0.615 -0.644  -0.498 -0.638  -0.381 -0.638  -0.263 -0.638  -0.145 -0.638  -0.027 -0.638  0.090 -0.644  0.207 -0.659  0.325 -0.659  0.432 -0.703  0.545 -0.731  0.662 -0.744  0.770 -0.790  0.885 -0.807  0.958 -0.797  0.937 -0.807
2#apb#apb33#app3353/M  -0.271 0.641  -0.234 0.892  -0.308 0.837  -0.477 0.626  -0.605 0.386  -0.727 0.142  -0.851 -0.100  -0.982 -0.336  -1.107 -0.578  -1.280 -0.781  -1.277 -0.688  -1.129 -0.460  -0.965 -0.243  -0.807 -0.021  -0.610 0.168  -0.409 0.350  -0.202 0.523  0.025 0.654  0.242 0.731  0.305 0.542  0.191 0.299  0.069 0.057  -0.073 -0.176  -0.230 -0.399  -0.394 -0.615  -0.593 -0.795  -0.648 -0.846  -0.497 -0.619  -0.345 -0.394  -0.193 -0.167  -0.006 0.030  0.161 0.245  0.353 0.438  0.547 0.630  0.754 0.807  0.963 0.982  1.143 1.184  1.359 1.153  1.380 0.900  1.310 0.638  1.181 0.401  1.054 0.161  0.915 -0.074  0.778 -0.309  0.683 -0.564  0.576 -0.814  0.452 -1.057  0.337 -1.303  0.211 -1.541  0.233 -1.536
2#apb#apb33#app3353/N  0.085 0.911  0.102 0.997  0.043 0.822  -0.049 0.664  -0.167 0.524  -0.256 0.362  -0.355 0.206  -0.467 0.059  -0.578 -0.089  -0.673 -0.248  -0.761 -0.410  -0.869 -0.561  -0.991 -0.698  -1.113 -0.813  -1.121 -0.655  -1.037 -0.491  -0.963 -0.323  -0.874 -0.163  -0.755 -0.022  -0.637 0.120  -0.532 0.272  -0.394 0.381  -0.282 0.521  -0.214 0.462  -0.278 0.293  -0.321 0.116  -0.365 -0.061  -0.383 -0.245  -0.410 -0.427  -0.401 -0.610  -0.380 -0.792  -0.346 -0.968  -0.217 -1.001  -0.058 -0.908  0.091 -0.807  0.244 -0.735  0.383 -0.628  0.503 -0.488  0.609 -0.337  0.708 -0.180  0.786 -0.013  0.909 0.123  1.025 0.267  1.157 0.396  1.282 0.531  1.405 0.669  1.547 0.786  1.661 0.932  1.785 1.069  1.922 1.192
2#apb#apb33#app3353/O  0.478 0.633  0.491 0.790  0.611 0.903  0.612 0.985  0.449 0.976  0.303 0.915  0.140 0.895  -0.001 0.806  -0.151 0.736  -0.290 0.646  -0.390 0.513  -0.536 0.441  -0.659 0.328  -0.782 0.215  -0.905 0.102  -1.011 -0.024  -1.096 -0.168  -1.148 -0.326  -1.207 -0.481  -1.207 -0.648  -1.189 -0.810  -1.092 -0.943  -0.947 -1.025  -0.783 -1.051  -0.617 -1.035  -0.456 -0.993  -0.291 -0.974  -0.129 -0.954  0.024 -0.896  0.191 -0.893  0.351 -0.845  0.516 -0.817  0.675 -0.770  0.817 -0.691  0.906 -0.549  0.980 -0.400  1.049 -0.248  1.100 -0.089  1.124 0.076  1.058 0.228  0.996 0.381  0.882 0.496  0.724 0.546  0.559 0.573  0.392 0.574  0.225 0.574  0.058 0.574  -0.109 0.574  -0.276 0.574  -0.443 0.574
2#apb#apb33#app3353/P  0.113 0.412  0.072 0.420  -0.042 0.265  -0.164 0.111  -0.290 -0.039  -0.412 -0.193  -0.540 -0.341  -0.663 -0.494  -0.774 -0.656  -0.905 -0.800  -1.025 -0.955  -1.116 -1.102  -1.114 -1.038  -1.042 -0.857  -0.960 -0.680  -0.878 -0.502  -0.799 -0.322  -0.741 -0.136  -0.651 0.032  -0.591 0.211  -0.444 0.341  -0.296 0.467  -0.139 0.585  0.018 0.703  0.178 0.817  0.345 0.919  0.522 1.000  0.705 1.068  0.895 1.094  1.078 1.155  1.270 1.171  1.384 1.017  1.353 0.831  1.265 0.655  1.189 0.474  1.103 0.299  1.010 0.126  0.910 -0.043  0.809 -0.211  0.683 -0.359  0.551 -0.504  0.422 -0.650  0.246 -0.734  0.066 -0.805  -0.098 -0.788  -0.270 -0.697  -0.405 -0.560  -0.521 -0.401  -0.644 -0.249  -0.664 -0.054
2#apb#apb33#app3353/Q  0.856 0.675  0.820 0.882  0.776 1.059  0.642 1.220  0.523 1.265  0.321 1.185  0.169 1.045  0.006 0.906  -0.128 0.751  -0.261 0.585  -0.430 0.463  -0.571 0.307  -0.681 0.127  -0.783 -0.063  -0.883 -0.241  -0.977 -0.429  -1.035 -0.638  -0.941 -0.813  -0.757 -0.890  -0.561 -0.806  -0.372 -0.698  -0.169 -0.621  0.019 -0.513  0.208 -0.410  0.352 -0.256  0.477 -0.078  0.610 0.094  0.751 0.260  0.859 0.447  0.946 0.642  0.962 0.850  0.875 1.044  0.684 1.033  0.556 0.858  0.428 0.682  0.300 0.506  0.172 0.330  0.043 0.154  -0.085 -0.022  -0.213 -0.198  -0.341 -0.373  -0.232 -0.405  -0.120 -0.576  -0.104 -0.790  -0.145 -1.003  -0.218 -1.201  -0.359 -1.367  -0.483 -1.545  -0.666 -1.662  -0.838 -1.775
2#apb#apb33#app3353/R  0.294 0.830  0.241 0.879  0.085 0.701  -0.050 0.505  -0.209 0.327  -0.357 0.141  -0.501 -0.049  -0.659 -0.228  -0.797 -0.422  -0.945 -0.609  -1.079 -0.807  -1.173 -1.026  -1.230 -1.015  -1.125 -0.800  -0.994 -0.604  -0.872 -0.403  -0.713 -0.225  -0.553 -0.048  -0.398 0.134  -0.254 0.324  -0.105 0.509  0.032 0.704  0.218 0.851  0.366 1.038  0.530 1.212  0.734 1.306  0.950 1.343  1.126 1.210  1.247 1.014  1.268 0.789  1.210 0.562  1.089 0.358  0.925 0.185  0.741 0.038  0.531 -0.075  0.323 -0.193  0.107 -0.284  -0.130 -0.316  -0.362 -0.294  -0.564 -0.168  -0.568 -0.008  -0.363 -0.118  -0.201 -0.276  -0.138 -0.506  -0.017 -0.711  0.088 -0.922  0.269 -1.075  0.453 -1.225  0.654 -1.314  0.879 -1.236
2#apb#apb33#app3353/S  0.587 1.163  0.635 1.113  0.687 1.166  0.702 1.230  0.649 1.180  0.570 1.222  0.463 1.228  0.348 1.198  0.234 1.169  0.141 1.102  0.053 1.024  -0.047 0.963  -0.133 0.885  -0.204 0.791  -0.267 0.698  -0.295 0.595  -0.241 0.497  -0.162 0.414  -0.063 0.349  0.052 0.326  0.170 0.325  0.280 0.283  0.372 0.219  0.419 0.110  0.490 0.018  0.564 -0.068  0.587 -0.182  0.548 -0.289  0.494 -0.394  0.435 -0.497  0.395 -0.608  0.332 -0.708  0.290 -0.817  0.195 -0.884  0.098 -0.951  0.021 -1.041  -0.079 -1.098  -0.179 -1.161  -0.289 -1.202  -0.400 -1.190  -0.512 -1.165  -0.622 -1.129  -0.730 -1.081  -0.813 -1.003  -0.885 -0.909  -0.944 -0.810  -0.967 -0.694  -0.990 -0.578  -0.999 -0.462  -0.987 -0.344
2#apb#apb33#app3353/T  0.147 0.319  0.202 0.371  0.175 0.239  0.081 0.135  0.007 0.014  -0.082 -0.095  -0.156 -0.215  -0.239 -0.329  -0.330 -0.437  -0.425 -0.541  -0.525 -0.641  -0.604 -0.758  -0.683 -0.875  -0.772 -0.984  -0.861 -1.093  -0.893 -1.070  -0.844 -0.937  -0.805 -0.802  -0.782 -0.663  -0.759 -0.524  -0.736 -0.384  -0.713 -0.245  -0.690 -0.106  -0.667 0.034  -0.709 0.137  -0.802 0.241  -0.910 0.319  -0.938 0.359  -0.823 0.333  -0.682 0.324  -0.542 0.308  -0.402 0.293  -0.262 0.313  -0.123 0.338  0.017 0.352  0.158 0.360  0.299 0.369  0.440 0.379  0.581 0.390  0.722 0.401  0.862 0.413  1.003 0.428  1.143 0.444  1.283 0.460  1.424 0.466  1.565 0.456  1.706 0.447  1.847 0.438  1.988 0.430  2.111 0.388
2#apb#apb33#app3353/U  0.071 0.711  0.162 0.792  0.162 0.918  0.117 1.020  0.006 1.011  -0.096 0.938  -0.178 0.843  -0.255 0.743  -0.335 0.646  -0.391 0.533  -0.459 0.429  -0.540 0.332  -0.610 0.227  -0.666 0.115  -0.713 -0.002  -0.778 -0.110  -0.846 -0.216  -0.915 -0.320  -0.942 -0.443  -0.982 -0.563  -1.028 -0.680  -1.040 -0.804  -1.013 -0.925  -0.923 -0.982  -0.809 -1.034  -0.693 -0.990  -0.578 -0.938  -0.464 -0.885  -0.356 -0.820  -0.248 -0.755  -0.139 -0.692  -0.033 -0.624  0.070 -0.551  0.172 -0.478  0.276 -0.406  0.380 -0.334  0.487 -0.268  0.595 -0.204  0.702 -0.137  0.805 -0.065  0.888 0.030  0.964 0.130  1.034 0.235  1.116 0.331  1.184 0.436  1.246 0.545  1.313 0.652  1.372 0.764  1.436 0.865  1.472 0.984
2#apb#apb33#app3353/V  -0.392 0.969  -0.403 1.082  -0.391 1.129  -0.335 1.032  -0.329 0.913  -0.368 0.795  -0.385 0.672  -0.423 0.556  -0.483 0.448  -0.518 0.329  -0.546 0.208  -0.586 0.092  -0.623 -0.025  -0.634 -0.148  -0.637 -0.272  -0.655 -0.393  -0.693 -0.509  -0.693 -0.633  -0.715 -0.754  -0.711 -0.872  -0.691 -0.993  -0.648 -1.098  -0.637 -1.144  -0.610 -1.159  -0.502 -1.122  -0.386 -1.081  -0.299 -0.996  -0.193 -0.937  -0.104 -0.852  -0.018 -0.762  0.058 -0.664  0.147 -0.580  0.250 -0.511  0.321 -0.411  0.385 -0.305  0.458 -0.205  0.531 -0.104  0.594 0.003  0.656 0.110  0.737 0.204  0.820 0.296  0.883 0.402  0.942 0.511  1.008 0.617  1.055 0.730  1.090 0.849  1.136 0.964  1.156 1.086  1.171 1.209  1.209 1.327
2#apb#apb33#app3353/W  -0.546 0.884  -0.398 0.954  -0.341 0.967  -0.466 0.858  -0.570 0.728  -0.663 0.589  -0.750 0.446  -0.833 0.302  -0.902 0.149  -0.973 -0.001  -1.069 -0.138  -1.155 -0.282  -1.230 -0.431  -1.293 -0.586  -1.212 -0.675  -1.054 -0.631  -0.906 -0.552  -0.756 -0.479  -0.624 -0.379  -0.489 -0.280  -0.357 -0.178  -0.232 -0.067  -0.106 0.043  0.019 0.153  0.137 0.272  0.207 0.379  0.152 0.338  0.085 0.185  0.009 0.039  -0.030 -0.124  -0.074 -0.285  -0.132 -0.441  -0.161 -0.605  -0.072 -0.715  0.083 -0.689  0.232 -0.640  0.376 -0.575  0.523 -0.569  0.633 -0.444  0.771 -0.356  0.889 -0.237  1.007 -0.119  1.140 -0.019  1.245 0.104  1.355 0.225  1.486 0.329  1.598 0.452  1.715 0.571  1.825 0.697  1.906 0.832
2#apb#apb33#app3353/X  -0.524 0.508  -0.588 0.579  -0.693 0.665  -0.810 0.595  -0.890 0.457  -0.890 0.286  -0.833 0.129  -0.750 -0.016  -0.631 -0.136  -0.476 -0.203  -0.314 -0.207  -0.157 -0.177  0.004 -0.137  0.169 -0.098  0.338 -0.085  0.509 -0.085  0.663 -0.138  0.724 -0.259  0.749 -0.305  0.803 -0.157  0.860 0.005  0.917 0.167  0.973 0.329  1.030 0.490  1.086 0.652  1.143 0.814  1.200 0.976  1.197 1.043  1.096 0.908  0.947 0.844  0.808 0.745  0.668 0.646  0.531 0.543  0.389 0.450  0.281 0.320  0.153 0.207  0.047 0.072  -0.054 -0.066  -0.154 -0.205  -0.269 -0.331  -0.395 -0.447  -0.518 -0.567  -0.639 -0.688  -0.756 -0.813  -0.873 -0.938  -0.990 -1.064  -1.106 -1.189  -1.227 -1.311  -1.370 -1.399  -1.379 -1.411
2#apb#apb33#app3353/Y  -0.925 0.770  -1.014 0.848  -0.963 0.680  -0.992 0.494  -0.989 0.299  -0.963 0.106  -0.886 -0.072  -0.780 -0.235  -0.657 -0.386  -0.507 -0.472  -0.349 -0.388  -0.174 -0.305  -0.007 -0.205  0.166 -0.114  0.320 0.005  0.475 0.123  0.629 0.242  0.784 0.361  0.938 0.480  1.092 0.599  1.247 0.718  1.380 0.857  1.416 1.041  1.327 1.158  1.173 1.049  1.053 0.896  0.914 0.762  0.781 0.620  0.635 0.493  0.493 0.360  0.357 0.222  0.203 0.102  0.066 -0.036  -0.080 -0.165  -0.236 -0.282  -0.284 -0.322  -0.180 -0.158  -0.099 -0.095  -0.026 0.017  -0.032 -0.087  -0.078 -0.275  -0.194 -0.429  -0.297 -0.594  -0.379 -0.771  -0.475 -0.940  -0.584 -1.102  -0.672 -1.275  -0.790 -1.426  -0.867 -1.542  -0.969 -1.625
2#apb#apb33#app3353/Z  -0.170 0.803  -0.301 0.859  -0.407 0.950  -0.522 1.032  -0.599 1.145  -0.574 1.267  -0.433 1.276  -0.292 1.284  -0.152 1.272  -0.017 1.261  0.116 1.216  0.237 1.145  0.337 1.045  0.441 0.951  0.542 0.876  0.561 0.737  0.588 0.599  0.596 0.465  0.556 0.372  0.442 0.291  0.334 0.199  0.222 0.111  0.111 0.023  -0.007 -0.053  -0.103 -0.152  -0.204 -0.249  -0.326 -0.318  -0.424 -0.401  -0.522 -0.490  -0.628 -0.583  -0.727 -0.679  -0.775 -0.773  -0.836 -0.857  -0.871 -0.928  -0.800 -0.967  -0.661 -0.971  -0.524 -0.937  -0.383 -0.928  -0.248 -0.899  -0.115 -0.857  0.027 -0.855  0.168 -0.839  0.310 -0.839  0.451 -0.841  0.592 -0.857  0.728 -0.850  0.865 -0.830  1.002 -0.793  1.138 -0.753  1.257 -0.679
