1b#apa#apa09#app0971/Q  -0.712 0.586  -0.904 0.586  -1.032 0.503  -1.078 0.317  -1.125 0.131  -1.146 -0.055  -1.086 -0.237  -1.025 -0.419  -0.907 -0.565  -0.771 -0.701  -0.603 -0.760  -0.411 -0.760  -0.219 -0.760  -0.027 -0.760  0.165 -0.760  0.338 -0.683  0.510 -0.597  0.682 -0.511  0.818 -0.390  0.904 -0.218  0.973 -0.040  1.034 0.142  1.067 0.324  0.996 0.502  0.924 0.680  0.853 0.858  0.781 1.036  0.645 1.172  0.509 1.307  0.344 1.403  0.181 1.469  0.120 1.287  0.059 1.105  -0.002 0.923  -0.062 0.741  -0.123 0.559  -0.184 0.377  -0.244 0.195  -0.305 0.013  -0.366 -0.170  -0.413 -0.269  -0.366 -0.233  -0.260 -0.392  -0.153 -0.552  -0.041 -0.708  0.074 -0.861  0.189 -1.015  0.305 -1.169  0.462 -1.272  0.633 -1.358
1b#apa#apa09#app0971/O  -0.193 0.545  -0.343 0.545  -0.487 0.505  -0.629 0.458  -0.771 0.410  -0.899 0.348  -0.946 0.206  -0.994 0.063  -1.041 -0.079  -1.066 -0.225  -1.040 -0.367  -0.957 -0.492  -0.873 -0.616  -0.790 -0.741  -0.699 -0.851  -0.549 -0.851  -0.399 -0.851  -0.249 -0.851  -0.099 -0.851  0.051 -0.851  0.201 -0.851  0.351 -0.851  0.501 -0.851  0.635 -0.786  0.770 -0.719  0.904 -0.652  1.038 -0.585  1.172 -0.518  1.203 -0.387  1.203 -0.237  1.203 -0.087  1.203 0.063  1.203 0.213  1.203 0.363  1.075 0.434  0.941 0.501  0.807 0.568  0.673 0.635  0.539 0.702  0.393 0.719  0.243 0.719  0.093 0.719  -0.057 0.719  -0.207 0.719  -0.357 0.719  -0.507 0.719  -0.657 0.719  -0.798 0.679  -0.932 0.612  -1.066 0.545
1b#apa#apa09#app0971/T  0.943 -0.056  0.943 0.069  0.943 0.043  0.943 -0.083  0.943 -0.208  0.898 -0.322  0.842 -0.434  0.786 -0.546  0.707 -0.642  0.618 -0.730  0.594 -0.846  0.594 -0.971  0.594 -1.096  0.594 -1.222  0.546 -1.230  0.457 -1.142  0.369 -1.053  0.280 -0.964  0.192 -0.876  0.103 -0.787  0.014 -0.699  -0.074 -0.610  -0.163 -0.522  -0.251 -0.433  -0.340 -0.344  -0.428 -0.256  -0.517 -0.167  -0.605 -0.079  -0.694 0.010  -0.783 0.098  -0.856 0.199  -0.926 0.303  -0.995 0.408  -1.065 0.512  -1.134 0.616  -1.086 0.709  -0.997 0.797  -0.885 0.848  -0.767 0.887  -0.648 0.927  -0.529 0.967  -0.408 0.992  -0.283 0.992  -0.157 0.992  -0.032 0.992  0.093 0.992  0.218 0.992  0.344 0.992  0.469 0.992  0.594 0.992
1b#apa#apa09#app0971/H  -0.655 0.906  -0.655 1.089  -0.655 1.256  -0.655 1.073  -0.655 0.890  -0.655 0.708  -0.655 0.525  -0.655 0.342  -0.655 0.160  -0.655 -0.023  -0.664 -0.204  -0.708 -0.382  -0.753 -0.559  -0.797 -0.736  -0.848 -0.911  -0.929 -1.074  -1.011 -1.238  -1.012 -1.060  -1.010 -0.878  -0.928 -0.714  -0.847 -0.551  -0.696 -0.456  -0.533 -0.374  -0.357 -0.346  -0.174 -0.346  0.008 -0.346  0.191 -0.346  0.374 -0.346  0.556 -0.346  0.739 -0.346  0.794 -0.201  0.817 -0.020  0.839 0.161  0.862 0.343  0.885 0.524  0.907 0.705  0.930 0.886  0.953 1.068  0.789 1.085  0.776 0.915  0.776 0.733  0.776 0.550  0.776 0.367  0.776 0.185  0.776 0.002  0.776 -0.181  0.770 -0.362  0.713 -0.536  0.655 -0.709  0.597 -0.882
1b#apa#apa09#app0971/O  0.338 0.674  0.176 0.674  0.020 0.645  -0.125 0.573  -0.270 0.500  -0.415 0.428  -0.535 0.321  -0.649 0.206  -0.741 0.075  -0.813 -0.070  -0.885 -0.215  -0.958 -0.360  -0.889 -0.505  -0.816 -0.650  -0.744 -0.795  -0.655 -0.928  -0.540 -1.043  -0.419 -1.142  -0.257 -1.142  -0.095 -1.142  0.067 -1.142  0.229 -1.142  0.376 -1.104  0.490 -0.989  0.605 -0.875  0.719 -0.760  0.834 -0.646  0.949 -0.531  1.063 -0.416  1.116 -0.276  1.116 -0.114  1.116 0.048  1.091 0.204  1.019 0.349  0.946 0.494  0.874 0.639  0.746 0.729  0.602 0.802  0.457 0.874  0.309 0.927  0.152 0.887  -0.005 0.848  -0.162 0.809  -0.320 0.769  -0.477 0.730  -0.634 0.691  -0.784 0.632  -0.929 0.560  -1.074 0.487  -1.219 0.415
1b#apa#apa09#app0971/W  -0.857 0.292  -0.938 0.373  -1.019 0.454  -1.099 0.534  -1.146 0.629  -1.146 0.706  -1.146 0.592  -1.146 0.478  -1.146 0.364  -1.116 0.262  -1.035 0.182  -0.980 0.085  -0.944 -0.023  -0.908 -0.131  -0.872 -0.240  -0.827 -0.344  -0.776 -0.446  -0.725 -0.548  -0.626 -0.572  -0.529 -0.532  -0.448 -0.451  -0.367 -0.370  -0.287 -0.290  -0.206 -0.209  -0.126 -0.128  -0.045 -0.048  0.007 0.045  0.018 0.148  0.132 0.148  0.218 0.082  0.295 -0.000  0.295 -0.114  0.358 -0.203  0.439 -0.283  0.519 -0.364  0.607 -0.428  0.721 -0.428  0.835 -0.428  0.926 -0.373  1.007 -0.293  1.088 -0.212  1.167 -0.130  1.235 -0.039  1.304 0.052  1.372 0.143  1.441 0.235  1.509 0.326  1.577 0.417  1.655 0.500  1.736 0.581
1b#apa#apa09#app0971/T  0.304 0.337  0.304 0.497  0.437 0.525  0.454 0.428  0.395 0.279  0.335 0.130  0.275 -0.019  0.215 -0.168  0.156 -0.318  0.115 -0.471  0.115 -0.631  0.115 -0.792  0.115 -0.953  0.115 -1.113  0.115 -1.274  0.115 -1.435  0.092 -1.514  0.005 -1.378  -0.081 -1.243  -0.167 -1.107  -0.253 -0.972  -0.340 -0.836  -0.426 -0.701  -0.512 -0.565  -0.598 -0.429  -0.685 -0.294  -0.771 -0.158  -0.857 -0.023  -0.943 0.113  -1.030 0.248  -1.116 0.384  -1.202 0.520  -1.057 0.563  -0.901 0.602  -0.745 0.641  -0.589 0.680  -0.433 0.714  -0.272 0.714  -0.111 0.714  0.049 0.714  0.210 0.714  0.371 0.714  0.531 0.714  0.692 0.714  0.853 0.714  1.014 0.714  1.168 0.750  1.321 0.801  1.473 0.852  1.626 0.903
1b#apa#apa09#app0971/O  0.154 0.826  0.009 0.826  -0.136 0.826  -0.281 0.826  -0.426 0.826  -0.540 0.751  -0.643 0.648  -0.745 0.546  -0.848 0.443  -0.950 0.341  -1.053 0.238  -1.085 0.106  -1.085 -0.039  -1.085 -0.184  -1.085 -0.329  -1.042 -0.456  -0.939 -0.559  -0.837 -0.661  -0.734 -0.764  -0.631 -0.867  -0.529 -0.969  -0.410 -1.033  -0.265 -1.033  -0.120 -1.033  0.025 -1.033  0.170 -1.033  0.315 -1.033  0.421 -0.953  0.508 -0.837  0.595 -0.721  0.682 -0.605  0.769 -0.489  0.856 -0.373  0.943 -0.257  1.039 -0.149  1.141 -0.046  1.162 0.076  1.116 0.214  1.070 0.351  1.024 0.489  0.973 0.621  0.832 0.656  0.692 0.692  0.551 0.727  0.410 0.762  0.269 0.797  0.131 0.814  0.001 0.749  -0.129 0.684  -0.259 0.619
1b#apa#apa09#app0971/W  -0.832 0.731  -0.929 0.827  -0.986 0.829  -0.986 0.693  -0.986 0.557  -0.986 0.421  -0.986 0.285  -0.986 0.149  -0.986 0.012  -0.986 -0.124  -0.986 -0.260  -0.986 -0.396  -0.971 -0.529  -0.910 -0.650  -0.849 -0.772  -0.832 -0.904  -0.760 -0.923  -0.638 -0.863  -0.519 -0.798  -0.438 -0.689  -0.356 -0.581  -0.274 -0.472  -0.193 -0.363  -0.111 -0.254  -0.023 -0.150  0.073 -0.054  0.140 0.063  0.201 0.185  0.243 0.228  0.243 0.092  0.246 -0.044  0.307 -0.165  0.368 -0.287  0.397 -0.416  0.451 -0.499  0.571 -0.468  0.646 -0.355  0.722 -0.242  0.797 -0.129  0.877 -0.019  0.973 0.078  1.042 0.192  1.092 0.318  1.143 0.445  1.193 0.571  1.244 0.698  1.295 0.824  1.351 0.948  1.411 1.070  1.472 1.191
1b#apa#apa09#app0971/A  -0.315 -0.081  -0.459 0.063  -0.484 -0.086  -0.576 -0.269  -0.667 -0.452  -0.759 -0.635  -0.870 -0.804  -0.984 -0.875  -0.984 -0.670  -0.940 -0.474  -0.864 -0.284  -0.788 -0.094  -0.712 0.096  -0.630 0.282  -0.516 0.453  -0.403 0.623  -0.287 0.792  -0.165 0.955  -0.042 1.119  0.081 1.283  0.213 1.433  0.407 1.498  0.601 1.562  0.768 1.512  0.856 1.344  0.856 1.139  0.856 0.935  0.856 0.730  0.844 0.527  0.804 0.326  0.764 0.126  0.724 -0.075  0.680 -0.274  0.616 -0.469  0.551 -0.663  0.486 -0.857  0.422 -1.051  0.357 -1.245  0.338 -1.395  0.225 -1.225  0.111 -1.055  -0.002 -0.885  -0.116 -0.715  -0.229 -0.544  -0.350 -0.380  -0.464 -0.249  -0.259 -0.249  -0.055 -0.249  0.150 -0.249  0.354 -0.249
1b#apa#apa09#app0971/L  0.170 0.784  0.136 0.886  0.102 0.988  0.068 1.090  0.034 1.192  0.000 1.294  0.021 1.383  0.097 1.459  0.170 1.529  0.170 1.422  0.170 1.314  0.170 1.207  0.170 1.099  0.170 0.992  0.170 0.884  0.170 0.777  0.170 0.669  0.170 0.562  0.170 0.454  0.126 0.365  0.050 0.289  -0.026 0.213  -0.102 0.137  -0.178 0.061  -0.254 -0.015  -0.330 -0.091  -0.398 -0.172  -0.432 -0.274  -0.466 -0.376  -0.500 -0.478  -0.534 -0.580  -0.568 -0.682  -0.579 -0.788  -0.579 -0.895  -0.579 -1.003  -0.556 -1.088  -0.448 -1.088  -0.341 -1.088  -0.233 -1.088  -0.126 -1.088  -0.018 -1.088  0.089 -1.088  0.197 -1.088  0.304 -1.088  0.409 -1.070  0.511 -1.036  0.613 -1.002  0.715 -0.968  0.817 -0.934  0.919 -0.900
1b#apa#apa09#app0971/T  0.564 0.053  0.454 0.162  0.395 0.151  0.377 -0.001  0.328 -0.148  0.279 -0.294  0.231 -0.441  0.163 -0.580  0.094 -0.718  0.058 -0.864  0.058 -1.019  0.058 -1.173  0.058 -1.328  0.050 -1.446  -0.019 -1.307  -0.089 -1.169  -0.158 -1.031  -0.227 -0.893  -0.296 -0.754  -0.365 -0.616  -0.434 -0.478  -0.503 -0.340  -0.572 -0.202  -0.657 -0.074  -0.766 0.035  -0.875 0.144  -0.984 0.254  -1.094 0.363  -1.203 0.472  -1.260 0.573  -1.122 0.642  -0.984 0.711  -0.833 0.727  -0.678 0.727  -0.525 0.714  -0.372 0.692  -0.219 0.670  -0.066 0.648  0.087 0.626  0.240 0.604  0.393 0.583  0.546 0.561  0.701 0.558  0.855 0.558  1.010 0.558  1.164 0.558  1.319 0.558  1.466 0.589  1.604 0.658  1.743 0.727
1b#apa#apa09#app0971/Z  -0.030 0.525  -0.161 0.591  -0.293 0.657  -0.407 0.746  -0.500 0.855  -0.494 0.996  -0.347 0.996  -0.242 1.097  -0.118 1.152  0.029 1.152  0.176 1.152  0.322 1.152  0.469 1.152  0.588 1.135  0.523 1.004  0.457 0.872  0.391 0.741  0.325 0.609  0.260 0.478  0.194 0.347  0.128 0.215  -0.002 0.148  -0.133 0.082  -0.259 0.007  -0.381 -0.074  -0.504 -0.156  -0.626 -0.238  -0.734 -0.336  -0.838 -0.440  -0.942 -0.544  -1.046 -0.647  -1.095 -0.728  -0.948 -0.728  -0.801 -0.728  -0.654 -0.728  -0.507 -0.728  -0.360 -0.728  -0.215 -0.750  -0.070 -0.774  0.075 -0.798  0.220 -0.822  0.365 -0.847  0.510 -0.871  0.656 -0.885  0.803 -0.885  0.950 -0.885  1.097 -0.885  1.244 -0.885  1.390 -0.885  1.537 -0.885
