1c#app#app32#app3225/j  -0.042 1.385  -0.066 1.502  -0.078 1.400  -0.042 1.268  -0.042 1.128  -0.042 0.987  -0.019 0.850  0.016 0.715  0.016 0.574  0.060 0.440  0.104 0.307  0.149 0.173  0.193 0.040  0.238 -0.094  0.282 -0.227  0.308 -0.364  0.334 -0.500  0.384 -0.632  0.447 -0.758  0.483 -0.890  0.521 -1.022  0.567 -1.147  0.599 -1.274  0.597 -1.412  0.480 -1.471  0.342 -1.458  0.212 -1.412  0.084 -1.359  0.024 -1.245  -0.076 -1.145  -0.134 -1.020  -0.161 -0.885  -0.217 -0.767  -0.224 -0.626  -0.236 -0.486  -0.248 -0.346  -0.260 -0.206  -0.272 -0.065  -0.284 0.075  -0.296 0.215  -0.308 0.355  -0.320 0.496  -0.332 0.636  -0.344 0.776  -0.356 0.916  -0.368 1.057  -0.380 1.197  -0.392 1.337  -0.450 1.420  -0.450 1.560
1c#app#app32#app3225/d  0.002 2.052  0.097 1.924  0.104 1.759  0.192 1.628  0.192 1.461  0.192 1.293  0.192 1.126  0.192 0.958  0.246 0.803  0.287 0.645  0.287 0.478  0.287 0.310  0.287 0.143  0.287 -0.025  0.356 -0.176  0.382 -0.337  0.382 -0.505  0.476 -0.633  0.476 -0.801  0.553 -0.892  0.517 -0.797  0.476 -0.670  0.472 -0.503  0.397 -0.354  0.382 -0.190  0.382 -0.022  0.320 0.120  0.269 0.266  0.192 0.402  0.099 0.531  0.027 0.628  -0.140 0.628  -0.206 0.515  -0.324 0.397  -0.443 0.278  -0.473 0.123  -0.530 -0.027  -0.623 -0.166  -0.730 -0.294  -0.758 -0.450  -0.758 -0.617  -0.758 -0.785  -0.758 -0.952  -0.731 -1.109  -0.663 -1.248  -0.519 -1.271  -0.387 -1.358  -0.226 -1.385  -0.067 -1.438  0.097 -1.461
1c#app#app32#app3225/e  -0.962 0.233  -0.916 0.101  -0.738 0.101  -0.560 0.101  -0.383 0.101  -0.205 0.101  -0.030 0.093  0.097 -0.031  0.275 -0.031  0.425 -0.098  0.576 -0.163  0.754 -0.163  0.918 -0.196  1.044 -0.322  1.119 -0.427  1.017 -0.351  1.017 -0.173  0.898 -0.044  0.866 0.120  0.753 0.252  0.753 0.429  0.704 0.596  0.624 0.755  0.621 0.932  0.536 1.025  0.489 1.156  0.364 1.282  0.188 1.289  0.035 1.230  -0.091 1.104  -0.217 0.979  -0.303 0.836  -0.375 0.688  -0.477 0.545  -0.556 0.386  -0.676 0.256  -0.698 0.087  -0.718 -0.088  -0.774 -0.257  -0.830 -0.426  -0.830 -0.603  -0.766 -0.755  -0.698 -0.905  -0.641 -1.069  -0.567 -1.229  -0.509 -1.350  -0.362 -1.423  -0.208 -1.482  -0.071 -1.581  0.093 -1.614
1c#app#app32#app3225/n  -0.860 1.069  -0.798 0.946  -0.753 0.818  -0.753 0.679  -0.753 0.541  -0.753 0.402  -0.753 0.264  -0.753 0.125  -0.753 -0.013  -0.753 -0.152  -0.753 -0.290  -0.753 -0.429  -0.753 -0.567  -0.707 -0.687  -0.646 -0.800  -0.646 -0.938  -0.646 -1.077  -0.646 -1.137  -0.646 -0.999  -0.574 -0.890  -0.539 -0.766  -0.539 -0.628  -0.519 -0.494  -0.457 -0.370  -0.432 -0.237  -0.351 -0.133  -0.253 -0.035  -0.178 0.080  -0.116 0.204  -0.041 0.320  0.036 0.435  0.116 0.548  0.214 0.646  0.312 0.744  0.448 0.749  0.587 0.749  0.725 0.749  0.860 0.740  0.958 0.642  1.056 0.544  1.154 0.446  1.176 0.317  1.274 0.219  1.279 0.082  1.279 -0.056  1.279 -0.195  1.279 -0.333  1.279 -0.472  1.279 -0.610  1.279 -0.749
1c#app#app32#app3225/b  -0.542 1.786  -0.542 1.635  -0.542 1.483  -0.542 1.332  -0.542 1.180  -0.542 1.029  -0.542 0.877  -0.542 0.726  -0.542 0.574  -0.542 0.423  -0.542 0.271  -0.542 0.120  -0.542 -0.032  -0.542 -0.183  -0.542 -0.335  -0.542 -0.486  -0.542 -0.574  -0.542 -0.422  -0.542 -0.271  -0.482 -0.133  -0.415 0.002  -0.364 0.142  -0.292 0.264  -0.219 0.395  -0.114 0.494  0.021 0.561  0.157 0.629  0.307 0.634  0.458 0.634  0.584 0.572  0.699 0.520  0.738 0.378  0.787 0.238  0.862 0.117  0.876 -0.029  0.876 -0.180  0.876 -0.331  0.876 -0.483  0.876 -0.634  0.811 -0.759  0.766 -0.892  0.659 -0.999  0.552 -1.106  0.445 -1.213  0.335 -1.314  0.184 -1.314  0.037 -1.335  -0.098 -1.403  -0.231 -1.359  -0.276 -1.226
1c#app#app32#app3225/y  -0.400 1.365  -0.558 1.365  -0.593 1.227  -0.620 1.081  -0.539 0.947  -0.427 0.835  -0.336 0.752  -0.233 0.698  -0.121 0.743  -0.066 0.878  -0.066 1.036  -0.066 1.194  -0.066 1.352  -0.003 1.357  0.101 1.242  0.152 1.096  0.168 0.941  0.213 0.790  0.213 0.632  0.226 0.476  0.264 0.322  0.268 0.165  0.268 0.007  0.268 -0.151  0.268 -0.310  0.268 -0.468  0.268 -0.626  0.268 -0.784  0.257 -0.939  0.213 -1.087  0.213 -1.245  0.138 -1.382  0.079 -1.519  0.017 -1.641  -0.141 -1.641  -0.224 -1.538  -0.288 -1.407  -0.288 -1.249  -0.288 -1.091  -0.288 -0.933  -0.261 -0.779  -0.202 -0.633  -0.145 -0.486  -0.062 -0.357  0.028 -0.229  0.152 -0.141  0.288 -0.063  0.413 0.033  0.555 0.084  0.713 0.084
1c#app#app32#app3225/q  0.154 0.436  0.238 0.518  0.318 0.604  0.318 0.770  0.318 0.937  0.253 1.076  0.193 1.218  0.134 1.359  -0.007 1.421  -0.149 1.364  -0.263 1.244  -0.338 1.095  -0.442 0.968  -0.510 0.818  -0.551 0.656  -0.596 0.497  -0.667 0.347  -0.708 0.191  -0.749 0.034  -0.749 -0.132  -0.749 -0.298  -0.622 -0.385  -0.456 -0.385  -0.304 -0.350  -0.162 -0.291  -0.045 -0.173  0.073 -0.056  0.154 0.077  0.245 0.207  0.319 0.356  0.393 0.504  0.400 0.669  0.400 0.529  0.400 0.363  0.400 0.197  0.400 0.030  0.365 -0.128  0.318 -0.283  0.318 -0.449  0.318 -0.615  0.318 -0.782  0.318 -0.948  0.249 -1.098  0.236 -1.261  0.174 -1.413  0.141 -1.572  0.089 -1.730  0.072 -1.893  0.049 -2.050  -0.010 -2.192
1c#app#app32#app3225/u  -0.513 1.082  -0.513 1.202  -0.513 1.322  -0.617 1.337  -0.640 1.242  -0.640 1.122  -0.640 1.003  -0.640 0.883  -0.640 0.763  -0.640 0.644  -0.640 0.524  -0.640 0.405  -0.640 0.285  -0.640 0.165  -0.640 0.046  -0.640 -0.074  -0.640 -0.193  -0.640 -0.313  -0.590 -0.421  -0.537 -0.528  -0.513 -0.642  -0.513 -0.761  -0.478 -0.866  -0.393 -0.951  -0.309 -1.035  -0.210 -1.086  -0.090 -1.086  0.029 -1.086  0.125 -1.062  0.141 -0.959  0.260 -0.959  0.380 -0.958  0.380 -0.839  0.459 -0.752  0.508 -0.653  0.527 -0.537  0.580 -0.430  0.634 -0.324  0.717 -0.238  0.763 -0.138  0.778 -0.020  0.816 0.093  0.853 0.207  0.890 0.320  0.890 0.440  0.890 0.559  0.938 0.668  0.991 0.775  1.061 0.870  1.145 0.955
1c#app#app32#app3225/i  -0.065 0.942  0.028 0.849  0.042 0.724  0.042 0.594  0.005 0.478  -0.065 0.376  -0.065 0.245  -0.065 0.115  -0.111 -0.005  -0.170 -0.122  -0.171 -0.252  -0.171 -0.383  -0.193 -0.511  -0.234 -0.635  -0.276 -0.759  -0.278 -0.889  -0.278 -1.020  -0.278 -1.151  -0.278 -1.281  -0.278 -1.412  -0.257 -1.534  -0.170 -1.611  -0.150 -1.482  -0.130 -1.353  -0.109 -1.224  -0.089 -1.094  -0.069 -0.965  -0.049 -0.836  -0.029 -0.707  -0.008 -0.578  0.012 -0.448  0.032 -0.319  0.052 -0.190  0.072 -0.061  0.092 0.068  0.113 0.198  0.133 0.327  0.153 0.456  0.173 0.585  0.193 0.715  0.214 0.844  0.234 0.973  0.254 1.102  0.274 1.231  0.294 1.361  0.315 1.490  0.335 1.619  0.355 1.748  0.362 1.879  0.256 1.903
1c#app#app32#app3225/e  -0.843 0.467  -0.737 0.362  -0.632 0.256  -0.491 0.236  -0.342 0.236  -0.193 0.236  -0.044 0.236  0.105 0.236  0.255 0.236  0.404 0.236  0.553 0.236  0.690 0.206  0.803 0.120  0.892 0.059  0.892 0.099  0.883 0.245  0.777 0.350  0.776 0.499  0.776 0.648  0.776 0.797  0.776 0.946  0.741 1.081  0.625 1.161  0.475 1.161  0.326 1.161  0.217 1.065  0.112 0.959  0.006 0.854  -0.075 0.731  -0.142 0.597  -0.209 0.464  -0.275 0.330  -0.342 0.197  -0.425 0.075  -0.508 -0.043  -0.544 -0.188  -0.580 -0.332  -0.612 -0.478  -0.612 -0.627  -0.612 -0.776  -0.612 -0.925  -0.612 -1.074  -0.612 -1.223  -0.565 -1.362  -0.498 -1.495  -0.360 -1.519  -0.250 -1.614  -0.149 -1.663  -0.067 -1.730  0.082 -1.730
1c#app#app32#app3225/t  0.476 1.835  0.462 1.676  0.423 1.520  0.384 1.363  0.374 1.204  0.340 1.051  0.272 0.906  0.272 0.745  0.215 0.597  0.170 0.447  0.164 0.287  0.114 0.134  0.068 -0.020  0.068 -0.181  0.008 -0.328  -0.035 -0.479  -0.035 -0.640  -0.035 -0.801  -0.035 -0.962  -0.035 -1.123  -0.035 -1.284  -0.035 -1.445  -0.035 -1.606  -0.100 -1.529  -0.183 -1.391  -0.266 -1.253  -0.349 -1.115  -0.432 -0.977  -0.515 -0.839  -0.598 -0.701  -0.680 -0.563  -0.763 -0.425  -0.846 -0.286  -0.929 -0.148  -0.845 -0.099  -0.724 -0.004  -0.610 0.072  -0.530 0.208  -0.386 0.280  -0.262 0.381  -0.115 0.419  0.019 0.508  0.153 0.597  0.310 0.609  0.471 0.609  0.632 0.609  0.793 0.609  0.954 0.609  1.078 0.518  1.192 0.405
1c#app#app32#app3225/z  -0.583 0.906  -0.456 1.032  -0.302 1.093  -0.176 1.219  -0.114 1.373  0.039 1.433  0.193 1.494  0.343 1.562  0.500 1.510  0.542 1.348  0.463 1.202  0.448 1.029  0.381 0.866  0.301 0.706  0.221 0.546  0.126 0.397  -0.000 0.270  -0.088 0.115  -0.168 -0.045  -0.248 -0.205  -0.328 -0.365  -0.415 -0.519  -0.522 -0.660  -0.583 -0.824  -0.674 -0.965  -0.676 -1.143  -0.625 -1.301  -0.463 -1.343  -0.284 -1.343  -0.108 -1.337  0.035 -1.249  0.200 -1.216  0.354 -1.155  0.533 -1.155  0.694 -1.080  0.631 -0.963  0.504 -0.837  0.378 -0.710  0.251 -0.584  0.125 -0.457  -0.002 -0.331  -0.128 -0.204  -0.255 -0.078  -0.381 0.049  -0.301 0.128  -0.190 0.250  -0.041 0.323  0.129 0.344  0.269 0.437  0.448 0.437
1c#app#app32#app3225/e  -0.708 -0.012  -0.573 -0.012  -0.438 -0.012  -0.302 -0.012  -0.187 0.037  -0.081 0.106  0.054 0.106  0.190 0.106  0.325 0.106  0.449 0.153  0.570 0.214  0.703 0.224  0.835 0.232  0.930 0.328  1.060 0.342  1.156 0.436  1.180 0.561  1.180 0.696  1.168 0.827  1.072 0.922  0.941 0.932  0.806 0.932  0.671 0.932  0.535 0.932  0.421 0.881  0.318 0.796  0.197 0.736  0.085 0.663  -0.014 0.571  -0.135 0.511  -0.251 0.445  -0.347 0.349  -0.410 0.230  -0.471 0.109  -0.531 -0.012  -0.592 -0.132  -0.688 -0.228  -0.708 -0.355  -0.713 -0.488  -0.808 -0.584  -0.826 -0.712  -0.826 -0.847  -0.826 -0.982  -0.826 -1.118  -0.783 -1.235  -0.708 -1.339  -0.676 -1.461  -0.580 -1.557  -0.484 -1.652  -0.354 -1.665
1c#app#app32#app3225/a  0.119 -0.334  0.170 -0.163  0.241 -0.000  0.356 0.145  0.484 0.284  0.542 0.452  0.605 0.618  0.605 0.810  0.605 1.002  0.605 1.195  0.584 1.366  0.392 1.366  0.200 1.366  0.040 1.286  -0.061 1.126  -0.171 0.977  -0.343 0.892  -0.441 0.731  -0.527 0.559  -0.615 0.389  -0.743 0.247  -0.829 0.075  -0.915 -0.096  -1.017 -0.257  -1.132 -0.408  -1.216 -0.581  -1.216 -0.773  -1.216 -0.965  -1.122 -1.063  -0.930 -1.063  -0.738 -1.063  -0.552 -1.035  -0.380 -0.949  -0.241 -0.817  -0.105 -0.681  0.031 -0.545  0.149 -0.396  0.235 -0.224  0.282 -0.050  0.418 0.085  0.484 0.250  0.605 0.224  0.605 0.032  0.654 -0.140  0.727 -0.302  0.727 -0.494  0.836 -0.577  0.929 -0.738  1.070 -0.820  1.212 -0.942
1c#app#app32#app3225/l  0.374 1.644  0.374 1.572  0.374 1.501  0.371 1.431  0.320 1.380  0.270 1.330  0.237 1.266  0.205 1.202  0.173 1.138  0.163 1.069  0.163 0.998  0.163 0.926  0.140 0.860  0.108 0.796  0.076 0.732  0.048 0.667  0.025 0.599  0.003 0.531  -0.020 0.463  -0.042 0.396  -0.047 0.325  -0.047 0.253  -0.047 0.182  -0.047 0.110  -0.047 0.039  -0.047 -0.033  -0.076 -0.097  -0.108 -0.161  -0.140 -0.225  -0.152 -0.294  -0.152 -0.365  -0.152 -0.436  -0.152 -0.508  -0.152 -0.579  -0.152 -0.651  -0.152 -0.722  -0.152 -0.794  -0.152 -0.865  -0.152 -0.937  -0.152 -1.008  -0.152 -1.080  -0.152 -1.151  -0.152 -1.223  -0.152 -1.294  -0.152 -1.366  -0.152 -1.437  -0.152 -1.508  -0.085 -1.512  -0.047 -1.546  -0.047 -1.618
