3#apb#apb32#app3247/E  1.143 0.420  1.280 0.487  1.337 0.629  1.297 0.789  1.188 0.901  1.051 0.998  0.888 1.047  0.718 1.066  0.548 1.064  0.378 1.047  0.209 1.021  0.046 0.972  -0.117 0.918  -0.263 0.831  -0.408 0.740  -0.540 0.632  -0.665 0.516  -0.769 0.382  -0.791 0.214  -0.760 0.047  -0.663 -0.090  -0.509 -0.155  -0.347 -0.143  -0.191 -0.075  -0.032 -0.012  0.112 0.079  0.252 0.177  0.398 0.266  0.378 0.279  0.227 0.200  0.080 0.113  -0.062 0.018  -0.207 -0.072  -0.356 -0.157  -0.502 -0.245  -0.640 -0.345  -0.762 -0.462  -0.861 -0.601  -0.916 -0.759  -0.881 -0.924  -0.767 -1.047  -0.612 -1.120  -0.451 -1.177  -0.289 -1.228  -0.118 -1.237  0.052 -1.233  0.222 -1.214  0.392 -1.211  0.557 -1.173  0.728 -1.173
3#apb#apb32#app3247/r  -1.239 -1.129  -1.138 -1.095  -1.088 -0.976  -1.064 -0.846  -1.011 -0.723  -0.974 -0.593  -0.942 -0.462  -0.913 -0.331  -0.886 -0.199  -0.860 -0.067  -0.796 0.051  -0.732 0.170  -0.669 0.289  -0.609 0.409  -0.549 0.530  -0.489 0.650  -0.428 0.770  -0.359 0.886  -0.289 1.001  -0.184 1.082  -0.062 1.106  0.072 1.094  0.206 1.094  0.338 1.080  0.464 1.033  0.569 0.952  0.664 0.857  0.743 0.748  0.791 0.626  0.804 0.493  0.785 0.359  0.703 0.258  0.608 0.162  0.513 0.067  0.413 -0.023  0.307 -0.106  0.205 -0.193  0.118 -0.295  0.061 -0.413  0.049 -0.546  0.118 -0.656  0.218 -0.737  0.348 -0.772  0.479 -0.801  0.614 -0.801  0.748 -0.801  0.883 -0.801  1.018 -0.801  1.152 -0.801  1.287 -0.801
3#apb#apb32#app3247/a  0.255 0.233  0.334 0.411  0.460 0.540  0.557 0.684  0.585 0.876  0.525 1.057  0.378 1.172  0.200 1.097  0.028 1.006  -0.137 0.906  -0.285 0.781  -0.434 0.655  -0.579 0.526  -0.722 0.395  -0.864 0.263  -0.978 0.107  -1.083 -0.057  -1.176 -0.225  -1.217 -0.414  -1.258 -0.604  -1.260 -0.798  -1.223 -0.983  -1.118 -1.143  -0.949 -1.204  -0.771 -1.127  -0.614 -1.013  -0.457 -0.898  -0.306 -0.776  -0.156 -0.653  -0.029 -0.508  0.088 -0.353  0.204 -0.197  0.302 -0.030  0.384 0.145  0.467 0.321  0.585 0.472  0.722 0.610  0.843 0.759  0.878 0.862  0.819 0.677  0.765 0.490  0.712 0.304  0.667 0.115  0.623 -0.074  0.595 -0.264  0.627 -0.455  0.664 -0.646  0.711 -0.834  0.774 -1.017  0.861 -1.191
3#apb#apb32#app3247/t  -0.533 -1.422  -0.436 -1.279  -0.338 -1.082  -0.285 -0.863  -0.255 -0.639  -0.229 -0.415  -0.208 -0.190  -0.153 0.029  -0.092 0.247  -0.026 0.463  0.056 0.673  0.138 0.883  0.258 1.072  0.293 0.890  0.211 0.680  0.124 0.471  0.045 0.260  -0.023 0.045  -0.084 -0.173  -0.128 -0.394  -0.157 -0.618  -0.165 -0.843  -0.143 -1.066  -0.055 -1.273  0.166 -1.306  0.129 -1.189  -0.015 -1.014  -0.158 -0.840  -0.302 -0.665  -0.445 -0.491  -0.588 -0.316  -0.732 -0.142  -0.875 0.033  -1.019 0.207  -1.162 0.382  -1.082 0.502  -0.866 0.565  -0.647 0.618  -0.423 0.633  -0.197 0.627  0.029 0.622  0.254 0.622  0.480 0.622  0.706 0.637  0.931 0.656  1.155 0.680  1.379 0.708  1.601 0.751  1.821 0.801  2.043 0.841
3#apb#apb32#app3247/i  -0.401 0.126  -0.367 0.246  -0.325 0.362  -0.401 0.303  -0.444 0.186  -0.493 0.071  -0.502 -0.052  -0.520 -0.175  -0.535 -0.299  -0.549 -0.423  -0.553 -0.547  -0.553 -0.672  -0.522 -0.792  -0.479 -0.909  -0.411 -1.012  -0.331 -1.108  -0.222 -1.167  -0.103 -1.198  0.021 -1.210  0.141 -1.193  0.258 -1.149  0.368 -1.091  0.473 -1.025  0.561 -0.937  0.643 -0.845  0.682 -0.726  0.773 -0.645  0.719 -0.564  0.668 -0.450  0.618 -0.336  0.567 -0.222  0.517 -0.108  0.467 0.006  0.416 0.120  0.366 0.234  0.315 0.348  0.265 0.462  0.215 0.576  0.164 0.690  0.114 0.804  0.063 0.918  0.013 1.032  -0.038 1.146  -0.088 1.261  -0.138 1.375  -0.189 1.489  -0.239 1.603  -0.290 1.717  -0.339 1.831  -0.376 1.949
3#apb#apb32#app3247/o  -0.030 0.568  -0.030 0.691  -0.094 0.785  -0.205 0.732  -0.327 0.715  -0.445 0.683  -0.560 0.637  -0.671 0.587  -0.747 0.490  -0.823 0.392  -0.890 0.289  -0.949 0.181  -1.008 0.072  -1.024 -0.047  -1.024 -0.171  -1.024 -0.294  -0.971 -0.403  -0.908 -0.509  -0.844 -0.615  -0.781 -0.720  -0.689 -0.802  -0.595 -0.882  -0.501 -0.962  -0.403 -1.033  -0.280 -1.033  -0.156 -1.033  -0.038 -1.011  0.074 -0.960  0.186 -0.908  0.294 -0.849  0.385 -0.766  0.477 -0.683  0.568 -0.600  0.622 -0.490  0.671 -0.377  0.721 -0.264  0.770 -0.151  0.800 -0.031  0.830 0.089  0.860 0.208  0.890 0.328  0.914 0.449  0.929 0.572  0.943 0.694  0.957 0.817  0.942 0.936  0.903 1.054  0.848 1.162  0.771 1.258  0.660 1.203
3#apb#apb32#app3247/n  -1.097 0.739  -1.069 0.922  -1.097 1.077  -1.079 1.195  -0.894 1.172  -0.708 1.198  -0.548 1.102  -0.383 1.015  -0.204 0.956  -0.065 0.840  0.048 0.690  0.141 0.527  0.151 0.342  0.144 0.155  0.088 -0.024  0.033 -0.204  -0.049 -0.372  -0.141 -0.536  -0.206 -0.712  -0.270 -0.889  -0.433 -0.972  -0.566 -1.093  -0.726 -1.091  -0.606 -0.948  -0.513 -0.785  -0.444 -0.611  -0.376 -0.435  -0.303 -0.262  -0.224 -0.092  -0.146 0.079  -0.074 0.253  -0.002 0.426  0.069 0.600  0.170 0.758  0.294 0.893  0.432 0.861  0.513 0.697  0.513 0.510  0.523 0.323  0.555 0.138  0.588 -0.048  0.630 -0.230  0.698 -0.405  0.767 -0.580  0.835 -0.755  0.888 -0.935  0.940 -1.116  1.005 -1.291  1.096 -1.455  1.104 -1.627
3#apb#apb32#app3247/s  0.374 1.500  0.277 1.519  0.179 1.514  0.081 1.499  0.003 1.438  -0.084 1.402  -0.175 1.377  -0.255 1.319  -0.324 1.251  -0.368 1.162  -0.409 1.072  -0.425 0.974  -0.440 0.876  -0.454 0.778  -0.436 0.681  -0.414 0.584  -0.378 0.493  -0.328 0.407  -0.270 0.327  -0.200 0.259  -0.115 0.208  -0.026 0.164  0.051 0.107  0.106 0.024  0.161 -0.058  0.209 -0.145  0.253 -0.234  0.297 -0.322  0.332 -0.415  0.366 -0.508  0.399 -0.602  0.423 -0.698  0.447 -0.794  0.471 -0.890  0.491 -0.988  0.510 -1.085  0.520 -1.183  0.469 -1.231  0.370 -1.220  0.272 -1.209  0.182 -1.169  0.094 -1.123  0.007 -1.077  -0.081 -1.030  -0.168 -0.983  -0.245 -0.920  -0.322 -0.858  -0.399 -0.795  -0.476 -0.733  -0.553 -0.670
3#apb#apb32#app3247/D  0.133 0.833  0.231 1.091  0.355 1.232  0.313 0.960  0.222 0.699  0.121 0.441  0.017 0.184  -0.102 -0.066  -0.222 -0.315  -0.322 -0.573  -0.408 -0.836  -0.507 -1.095  -0.652 -1.325  -0.884 -1.222  -0.942 -0.954  -0.952 -0.677  -0.969 -0.401  -0.983 -0.125  -0.975 0.152  -0.960 0.428  -0.917 0.651  -0.906 0.376  -0.908 0.099  -0.875 -0.175  -0.805 -0.442  -0.674 -0.681  -0.473 -0.871  -0.222 -0.972  0.053 -0.949  0.324 -0.891  0.551 -0.737  0.749 -0.543  0.875 -0.298  0.938 -0.028  0.963 0.248  0.973 0.524  0.937 0.796  0.828 1.048  0.650 1.258  0.383 1.241  0.158 1.089  0.007 0.863  -0.041 0.595  0.030 0.332  0.196 0.118  0.419 -0.042  0.665 -0.167  0.931 -0.245  1.201 -0.305  1.477 -0.325
3#apb#apb32#app3247/i  -1.247 -1.061  -1.390 -1.019  -1.315 -0.918  -1.199 -0.807  -1.080 -0.699  -0.966 -0.586  -0.857 -0.468  -0.748 -0.351  -0.634 -0.237  -0.521 -0.123  -0.416 -0.002  -0.312 0.120  -0.218 0.251  -0.125 0.381  -0.030 0.511  0.041 0.617  -0.010 0.464  -0.050 0.309  -0.090 0.154  -0.105 -0.006  -0.121 -0.166  -0.089 -0.323  -0.046 -0.476  0.039 -0.612  0.135 -0.738  0.269 -0.827  0.415 -0.890  0.569 -0.931  0.729 -0.924  0.886 -0.894  1.039 -0.843  1.012 -0.716  0.944 -0.570  0.875 -0.425  0.807 -0.280  0.738 -0.135  0.669 0.010  0.601 0.156  0.532 0.301  0.464 0.446  0.395 0.591  0.327 0.736  0.258 0.882  0.190 1.027  0.121 1.172  0.053 1.317  -0.016 1.462  -0.085 1.608  -0.153 1.753  -0.285 1.758
3#apb#apb32#app3247/r  -1.196 -1.154  -1.207 -1.045  -1.175 -0.936  -1.158 -0.823  -1.120 -0.717  -1.072 -0.614  -1.030 -0.508  -0.990 -0.401  -0.957 -0.292  -0.922 -0.183  -0.881 -0.077  -0.840 0.030  -0.795 0.134  -0.748 0.238  -0.700 0.341  -0.641 0.439  -0.579 0.535  -0.511 0.626  -0.431 0.706  -0.350 0.787  -0.250 0.841  -0.147 0.889  -0.039 0.925  0.068 0.931  0.172 0.885  0.279 0.846  0.388 0.813  0.487 0.756  0.534 0.669  0.534 0.555  0.520 0.443  0.498 0.331  0.475 0.219  0.453 0.107  0.411 0.002  0.360 -0.100  0.337 -0.208  0.345 -0.321  0.394 -0.423  0.477 -0.497  0.591 -0.497  0.705 -0.497  0.819 -0.497  0.933 -0.497  1.047 -0.497  1.161 -0.497  1.273 -0.481  1.383 -0.451  1.494 -0.426  1.607 -0.410
3#apb#apb32#app3247/e  -1.236 -0.612  -1.206 -0.598  -1.050 -0.593  -0.900 -0.532  -0.747 -0.476  -0.612 -0.388  -0.478 -0.295  -0.334 -0.221  -0.189 -0.149  -0.061 -0.049  0.067 0.052  0.172 0.174  0.271 0.303  0.366 0.435  0.445 0.574  0.476 0.732  0.460 0.894  0.404 1.045  0.265 1.120  0.111 1.112  -0.045 1.068  -0.193 1.003  -0.340 0.934  -0.477 0.847  -0.610 0.755  -0.739 0.655  -0.858 0.545  -0.954 0.425  -0.954 0.263  -0.937 0.105  -0.854 -0.035  -0.772 -0.175  -0.649 -0.276  -0.513 -0.365  -0.377 -0.454  -0.241 -0.543  -0.083 -0.573  0.077 -0.598  0.238 -0.622  0.398 -0.646  0.560 -0.640  0.721 -0.624  0.883 -0.608  1.044 -0.591  1.199 -0.542  1.354 -0.493  1.508 -0.442  1.659 -0.384  1.801 -0.308  1.929 -0.209
3#apb#apb32#app3247/c  0.151 0.601  0.194 0.701  0.254 0.788  0.318 0.873  0.366 0.969  0.403 1.069  0.315 1.106  0.207 1.104  0.102 1.078  -0.002 1.052  -0.096 1.000  -0.183 0.937  -0.270 0.873  -0.357 0.809  -0.440 0.741  -0.524 0.673  -0.608 0.605  -0.691 0.536  -0.761 0.454  -0.831 0.371  -0.900 0.289  -0.931 0.189  -0.947 0.082  -0.962 -0.024  -0.909 -0.118  -0.854 -0.210  -0.798 -0.303  -0.724 -0.377  -0.634 -0.437  -0.544 -0.497  -0.454 -0.557  -0.364 -0.617  -0.265 -0.654  -0.160 -0.678  -0.055 -0.703  0.050 -0.728  0.156 -0.752  0.261 -0.777  0.367 -0.790  0.475 -0.798  0.583 -0.806  0.690 -0.814  0.798 -0.822  0.906 -0.823  1.013 -0.813  1.120 -0.802  1.228 -0.791  1.333 -0.770  1.435 -0.735  1.538 -0.701
3#apb#apb32#app3247/t  -0.877 -1.600  -0.809 -1.410  -0.703 -1.172  -0.590 -0.936  -0.473 -0.703  -0.358 -0.469  -0.264 -0.225  -0.160 0.015  -0.052 0.253  0.043 0.496  0.158 0.729  0.297 0.951  0.448 1.163  0.553 1.306  0.402 1.100  0.289 0.865  0.157 0.640  0.021 0.417  -0.107 0.189  -0.227 -0.043  -0.329 -0.283  -0.402 -0.533  -0.440 -0.790  -0.375 -1.038  -0.170 -1.187  0.082 -1.216  0.335 -1.149  0.586 -1.079  0.765 -0.993  0.566 -0.823  0.368 -0.653  0.169 -0.484  -0.030 -0.314  -0.228 -0.144  -0.427 0.025  -0.625 0.195  -0.824 0.365  -1.023 0.534  -1.072 0.704  -0.817 0.729  -0.557 0.727  -0.296 0.707  -0.036 0.685  0.224 0.656  0.483 0.627  0.744 0.614  1.005 0.600  1.266 0.615  1.526 0.641  1.781 0.694
3#apb#apb32#app3247/o  -0.191 0.562  -0.259 0.718  -0.435 0.717  -0.571 0.606  -0.699 0.479  -0.833 0.358  -0.966 0.236  -1.059 0.081  -1.152 -0.074  -1.206 -0.243  -1.231 -0.422  -1.185 -0.587  -1.095 -0.743  -0.986 -0.884  -0.847 -1.000  -0.699 -1.088  -0.518 -1.088  -0.338 -1.087  -0.179 -1.001  -0.020 -0.915  0.084 -0.768  0.186 -0.619  0.276 -0.464  0.336 -0.294  0.396 -0.123  0.429 0.051  0.413 0.231  0.397 0.411  0.377 0.590  0.331 0.764  0.285 0.939  0.226 1.109  0.152 1.274  0.013 1.279  -0.052 1.125  0.009 0.955  0.071 0.785  0.133 0.616  0.195 0.446  0.267 0.300  0.369 0.150  0.481 0.009  0.599 -0.128  0.727 -0.256  0.868 -0.363  1.034 -0.435  1.202 -0.500  1.376 -0.547  1.554 -0.573  1.734 -0.588
3#apb#apb32#app3247/r  -1.464 -0.968  -1.368 -0.936  -1.275 -0.891  -1.209 -0.819  -1.148 -0.731  -1.072 -0.654  -1.001 -0.573  -0.934 -0.488  -0.883 -0.394  -0.849 -0.292  -0.815 -0.189  -0.780 -0.087  -0.737 0.012  -0.694 0.111  -0.651 0.210  -0.607 0.309  -0.564 0.408  -0.521 0.507  -0.466 0.599  -0.408 0.690  -0.338 0.770  -0.251 0.835  -0.155 0.880  -0.052 0.915  0.043 0.869  0.138 0.818  0.243 0.795  0.339 0.752  0.421 0.682  0.464 0.586  0.480 0.481  0.480 0.373  0.480 0.265  0.480 0.157  0.480 0.049  0.464 -0.058  0.443 -0.164  0.466 -0.269  0.514 -0.361  0.591 -0.437  0.696 -0.444  0.804 -0.444  0.912 -0.444  1.018 -0.432  1.120 -0.396  1.221 -0.359  1.326 -0.335  1.433 -0.317  1.539 -0.301  1.647 -0.288
3#apb#apb32#app3247/T  -0.394 0.619  -0.426 0.686  -0.496 0.413  -0.587 0.147  -0.698 -0.112  -0.856 -0.343  -1.063 -0.319  -1.027 -0.042  -0.878 0.197  -0.688 0.402  -0.481 0.592  -0.246 0.747  -0.006 0.894  0.246 1.020  0.507 1.123  0.777 1.203  1.053 1.258  1.333 1.276  1.470 1.084  1.283 0.874  1.095 0.664  0.907 0.454  0.720 0.244  0.532 0.034  0.344 -0.176  0.156 -0.386  -0.031 -0.596  -0.219 -0.806  -0.407 -1.016  -0.594 -1.226  -0.782 -1.436  -0.789 -1.453  -0.606 -1.239  -0.447 -1.008  -0.295 -0.770  -0.151 -0.529  -0.010 -0.284  0.128 -0.039  0.248 0.216  0.371 0.469  0.503 0.718  0.461 0.590  0.321 0.346  0.158 0.117  0.004 -0.118  -0.116 -0.373  -0.189 -0.643  -0.178 -0.922  -0.074 -1.182  0.120 -1.376
3#apb#apb32#app3247/r  -0.923 -1.093  -0.919 -0.989  -0.953 -0.885  -0.974 -0.777  -0.977 -0.669  -0.970 -0.559  -0.962 -0.450  -0.955 -0.340  -0.948 -0.231  -0.939 -0.122  -0.922 -0.013  -0.905 0.095  -0.888 0.203  -0.845 0.303  -0.793 0.400  -0.742 0.497  -0.681 0.587  -0.604 0.664  -0.526 0.742  -0.440 0.808  -0.348 0.867  -0.256 0.927  -0.152 0.947  -0.042 0.947  0.067 0.947  0.164 0.901  0.258 0.845  0.334 0.767  0.403 0.682  0.465 0.593  0.499 0.489  0.534 0.385  0.558 0.279  0.569 0.170  0.579 0.061  0.589 -0.049  0.597 -0.158  0.604 -0.267  0.611 -0.377  0.612 -0.486  0.617 -0.595  0.678 -0.686  0.758 -0.759  0.856 -0.759  0.960 -0.724  1.067 -0.700  1.174 -0.675  1.274 -0.633  1.371 -0.581  1.467 -0.529
3#apb#apb32#app3247/e  -1.639 -1.077  -1.543 -0.955  -1.386 -0.904  -1.228 -0.857  -1.087 -0.779  -0.960 -0.673  -0.834 -0.568  -0.684 -0.501  -0.533 -0.435  -0.383 -0.366  -0.243 -0.279  -0.104 -0.191  0.035 -0.103  0.152 0.013  0.268 0.130  0.385 0.246  0.507 0.357  0.629 0.468  0.722 0.601  0.795 0.748  0.794 0.908  0.698 1.022  0.541 1.062  0.378 1.076  0.220 1.028  0.063 0.980  -0.085 0.907  -0.230 0.829  -0.374 0.749  -0.516 0.666  -0.650 0.576  -0.717 0.425  -0.750 0.267  -0.712 0.117  -0.605 -0.009  -0.499 -0.135  -0.363 -0.215  -0.205 -0.263  -0.047 -0.310  0.111 -0.354  0.274 -0.380  0.437 -0.406  0.599 -0.432  0.762 -0.457  0.927 -0.448  1.091 -0.439  1.256 -0.430  1.420 -0.430  1.585 -0.430  1.727 -0.350
