3#app#app33#app3314/p  -0.490 1.757  -0.490 1.588  -0.490 1.419  -0.490 1.250  -0.490 1.081  -0.429 0.926  -0.374 0.768  -0.340 0.602  -0.307 0.437  -0.288 0.270  -0.271 0.105  -0.195 -0.047  -0.165 -0.208  -0.089 -0.360  -0.086 -0.528  0.005 -0.659  0.015 -0.824  0.015 -0.993  0.015 -1.162  0.015 -1.331  0.015 -1.500  -0.075 -1.579  -0.126 -1.720  -0.168 -1.701  -0.130 -1.536  -0.092 -1.371  -0.053 -1.207  -0.015 -1.042  0.024 -0.878  0.062 -0.713  0.100 -0.548  0.139 -0.384  0.177 -0.219  0.216 -0.055  0.254 0.110  0.293 0.275  0.331 0.439  0.369 0.604  0.408 0.768  0.446 0.933  0.485 1.098  0.520 1.240  0.520 1.071  0.488 0.916  0.369 0.796  0.318 0.648  0.201 0.528  0.081 0.408  -0.038 0.289  -0.187 0.240
3#app#app33#app3314/n  -0.104 1.570  -0.104 1.409  -0.104 1.248  -0.104 1.086  -0.218 0.972  -0.265 0.830  -0.265 0.669  -0.307 0.518  -0.380 0.373  -0.426 0.223  -0.426 0.062  -0.444 -0.097  -0.495 -0.250  -0.546 -0.403  -0.588 -0.557  -0.588 -0.719  -0.588 -0.880  -0.588 -1.041  -0.588 -1.203  -0.566 -1.355  -0.452 -1.469  -0.426 -1.370  -0.515 -1.245  -0.588 -1.114  -0.588 -0.952  -0.546 -0.808  -0.432 -0.694  -0.426 -0.535  -0.358 -0.390  -0.286 -0.246  -0.265 -0.089  -0.214 0.060  -0.142 0.204  -0.069 0.348  0.003 0.493  0.085 0.630  0.199 0.744  0.352 0.764  0.514 0.764  0.675 0.764  0.836 0.764  0.959 0.669  1.073 0.555  1.187 0.441  1.187 0.280  1.187 0.118  1.187 -0.043  1.187 -0.204  1.187 -0.366  1.187 -0.527
3#app#app33#app3314/c  0.308 1.577  0.252 1.521  0.196 1.465  0.140 1.409  0.084 1.353  0.029 1.297  -0.027 1.241  -0.083 1.186  -0.139 1.130  -0.195 1.074  -0.223 1.006  -0.223 0.927  -0.223 0.848  -0.223 0.769  -0.224 0.691  -0.280 0.635  -0.336 0.579  -0.392 0.523  -0.400 0.447  -0.400 0.368  -0.400 0.289  -0.400 0.210  -0.390 0.132  -0.365 0.057  -0.340 -0.018  -0.315 -0.093  -0.290 -0.168  -0.265 -0.243  -0.240 -0.318  -0.223 -0.394  -0.223 -0.473  -0.219 -0.551  -0.163 -0.607  -0.107 -0.662  -0.051 -0.718  0.005 -0.774  0.060 -0.830  0.116 -0.886  0.172 -0.942  0.228 -0.998  0.284 -1.054  0.353 -1.078  0.432 -1.078  0.504 -1.096  0.560 -1.152  0.615 -1.208  0.671 -1.264  0.727 -1.320  0.783 -1.376  0.839 -1.432
3#app#app33#app3314/h  -0.263 2.102  -0.169 2.008  -0.158 1.880  -0.158 1.747  -0.158 1.613  -0.158 1.480  -0.158 1.347  -0.158 1.214  -0.158 1.081  -0.158 0.948  -0.158 0.815  -0.158 0.681  -0.158 0.548  -0.158 0.415  -0.158 0.282  -0.158 0.149  -0.158 0.016  -0.158 -0.117  -0.158 -0.250  -0.191 -0.376  -0.251 -0.495  -0.263 -0.625  -0.263 -0.758  -0.263 -0.891  -0.263 -1.024  -0.263 -1.158  -0.289 -1.280  -0.368 -1.338  -0.368 -1.205  -0.368 -1.072  -0.335 -0.944  -0.293 -0.818  -0.263 -0.690  -0.233 -0.564  -0.173 -0.445  -0.088 -0.344  -0.053 -0.225  0.027 -0.125  0.121 -0.031  0.239 0.004  0.372 0.004  0.505 0.004  0.604 -0.051  0.663 -0.171  0.747 -0.272  0.786 -0.389  0.862 -0.491  0.891 -0.612  0.901 -0.741  0.996 -0.835
3#app#app33#app3314/a  0.610 0.752  0.610 0.908  0.610 1.064  0.610 1.219  0.610 1.375  0.509 1.429  0.353 1.429  0.199 1.425  0.089 1.315  -0.021 1.205  -0.108 1.078  -0.177 0.939  -0.273 0.818  -0.366 0.696  -0.436 0.557  -0.524 0.431  -0.625 0.314  -0.695 0.175  -0.745 0.031  -0.773 -0.118  -0.843 -0.258  -0.880 -0.404  -0.880 -0.560  -0.880 -0.716  -0.880 -0.872  -0.880 -1.027  -0.842 -1.145  -0.686 -1.145  -0.530 -1.145  -0.385 -1.100  -0.246 -1.031  -0.127 -0.933  -0.016 -0.823  0.094 -0.713  0.204 -0.603  0.204 -0.447  0.232 -0.303  0.343 -0.193  0.453 -0.083  0.475 0.064  0.610 0.084  0.610 0.181  0.610 0.025  0.610 -0.131  0.610 -0.287  0.610 -0.442  0.610 -0.598  0.717 -0.710  0.746 -0.853  0.881 -0.874
3#app#app33#app3314/n  -0.673 0.048  -0.673 -0.075  -0.741 -0.170  -0.822 -0.259  -0.822 -0.383  -0.822 -0.506  -0.822 -0.629  -0.876 -0.697  -0.971 -0.726  -0.971 -0.849  -0.971 -0.972  -0.971 -0.895  -0.918 -0.794  -0.831 -0.707  -0.822 -0.588  -0.763 -0.489  -0.676 -0.402  -0.673 -0.280  -0.643 -0.162  -0.604 -0.045  -0.566 0.072  -0.527 0.188  -0.443 0.278  -0.356 0.365  -0.269 0.452  -0.182 0.539  -0.095 0.626  -0.008 0.713  0.079 0.800  0.166 0.887  0.266 0.942  0.389 0.942  0.512 0.942  0.635 0.942  0.732 0.879  0.819 0.792  0.906 0.705  0.967 0.607  0.970 0.484  1.009 0.367  1.048 0.251  1.087 0.134  1.116 0.015  1.116 -0.108  1.116 -0.231  1.116 -0.354  1.116 -0.477  1.116 -0.600  1.116 -0.723  1.116 -0.846
3#app#app33#app3314/t  0.155 1.968  0.012 1.955  0.012 1.799  0.012 1.644  0.012 1.488  0.012 1.333  0.012 1.177  0.012 1.022  0.012 0.866  0.012 0.711  0.012 0.555  0.012 0.400  0.012 0.244  -0.005 0.096  -0.115 -0.014  -0.130 -0.163  -0.130 -0.319  -0.130 -0.474  -0.144 -0.627  -0.213 -0.766  -0.273 -0.907  -0.273 -1.063  -0.273 -1.218  -0.211 -1.313  -0.130 -1.387  -0.043 -1.455  0.012 -1.555  -0.015 -1.488  -0.053 -1.337  -0.090 -1.186  -0.128 -1.035  -0.166 -0.885  -0.204 -0.734  -0.241 -0.583  -0.279 -0.432  -0.317 -0.281  -0.355 -0.130  -0.392 0.021  -0.356 0.114  -0.273 0.186  -0.187 0.256  -0.061 0.326  0.065 0.399  0.220 0.399  0.376 0.399  0.531 0.399  0.687 0.399  0.842 0.399  0.998 0.399  1.153 0.399
3#app#app33#app3314/e  -0.802 0.352  -0.698 0.247  -0.579 0.179  -0.456 0.154  -0.456 0.006  -0.309 0.005  -0.162 0.005  -0.109 0.101  -0.040 0.179  0.108 0.179  0.256 0.179  0.403 0.179  0.510 0.278  0.614 0.382  0.718 0.487  0.823 0.591  0.927 0.695  0.930 0.842  0.930 0.989  0.930 1.137  0.864 1.218  0.728 1.189  0.624 1.085  0.584 0.954  0.518 0.872  0.371 0.872  0.237 0.858  0.237 0.710  0.237 0.562  0.159 0.447  0.055 0.343  -0.049 0.238  -0.154 0.134  -0.258 0.030  -0.345 -0.089  -0.427 -0.212  -0.509 -0.335  -0.591 -0.457  -0.629 -0.593  -0.629 -0.741  -0.629 -0.889  -0.629 -1.036  -0.629 -1.184  -0.629 -1.331  -0.530 -1.380  -0.456 -1.453  -0.422 -1.587  -0.318 -1.691  -0.214 -1.796  -0.109 -1.900
3#app#app33#app3314/d  0.634 1.591  0.670 1.486  0.740 1.413  0.739 1.272  0.675 1.145  0.634 1.014  0.634 0.872  0.634 0.730  0.634 0.589  0.634 0.447  0.634 0.306  0.634 0.164  0.634 0.022  0.634 -0.119  0.634 -0.261  0.634 -0.402  0.723 -0.397  0.634 -0.292  0.634 -0.151  0.634 -0.009  0.529 0.027  0.490 0.152  0.390 0.253  0.289 0.353  0.180 0.430  0.038 0.430  -0.103 0.430  -0.245 0.430  -0.379 0.398  -0.506 0.335  -0.610 0.241  -0.731 0.170  -0.855 0.102  -0.955 0.002  -1.055 -0.098  -1.118 -0.225  -1.160 -0.357  -1.160 -0.498  -1.150 -0.636  -1.050 -0.736  -0.950 -0.836  -0.823 -0.899  -0.705 -0.975  -0.594 -1.048  -0.474 -1.100  -0.354 -1.153  -0.213 -1.153  -0.071 -1.153  0.070 -1.153  0.212 -1.153
3#app#app33#app3314/l  0.055 1.608  -0.016 1.608  -0.056 1.578  -0.056 1.507  -0.056 1.436  -0.056 1.366  -0.056 1.295  -0.056 1.224  -0.056 1.154  -0.056 1.083  -0.056 1.012  -0.056 0.942  -0.056 0.871  -0.056 0.801  -0.056 0.730  -0.056 0.659  -0.056 0.589  -0.056 0.518  -0.056 0.447  -0.056 0.377  -0.056 0.306  -0.056 0.235  -0.056 0.165  -0.056 0.094  -0.056 0.023  -0.056 -0.047  -0.028 -0.111  0.004 -0.174  0.035 -0.237  0.055 -0.304  0.055 -0.374  0.055 -0.445  0.055 -0.515  0.055 -0.586  0.055 -0.657  0.055 -0.727  0.055 -0.798  0.055 -0.869  0.055 -0.939  0.055 -1.010  0.055 -1.081  0.055 -1.151  0.055 -1.222  0.055 -1.293  0.055 -1.363  0.055 -1.434  0.055 -1.504  0.055 -1.575  0.095 -1.606  0.165 -1.606
3#app#app33#app3314/e  -1.250 -0.009  -1.109 0.010  -1.070 0.132  -0.913 0.150  -0.760 0.201  -0.608 0.252  -0.451 0.273  -0.291 0.273  -0.130 0.273  0.030 0.273  0.190 0.273  0.351 0.273  0.511 0.273  0.582 0.183  0.691 0.132  0.852 0.132  1.005 0.139  1.005 0.299  1.005 0.460  0.976 0.613  0.904 0.757  0.864 0.908  0.800 1.042  0.671 1.118  0.511 1.118  0.350 1.118  0.222 1.040  0.109 0.927  -0.005 0.813  -0.118 0.700  -0.232 0.587  -0.264 0.439  -0.359 0.318  -0.404 0.177  -0.456 0.029  -0.528 -0.115  -0.545 -0.271  -0.545 -0.431  -0.545 -0.592  -0.545 -0.752  -0.545 -0.913  -0.491 -1.050  -0.377 -1.164  -0.264 -1.277  -0.150 -1.391  -0.037 -1.504  0.101 -1.559  0.261 -1.559  0.422 -1.559  0.582 -1.559
3#app#app33#app3314/v  -1.056 1.162  -0.933 1.162  -0.926 1.046  -0.818 1.032  -0.797 0.931  -0.797 0.808  -0.758 0.695  -0.703 0.586  -0.668 0.472  -0.668 0.350  -0.655 0.230  -0.600 0.121  -0.545 0.011  -0.539 -0.109  -0.494 -0.221  -0.439 -0.330  -0.409 -0.446  -0.374 -0.554  -0.288 -0.640  -0.280 -0.759  -0.280 -0.882  -0.211 -0.976  -0.151 -1.073  -0.151 -1.195  -0.128 -1.295  -0.021 -1.279  -0.015 -1.159  0.071 -1.072  0.108 -0.965  0.153 -0.862  0.237 -0.774  0.237 -0.652  0.290 -0.542  0.345 -0.432  0.419 -0.337  0.496 -0.246  0.496 -0.124  0.496 -0.002  0.550 0.108  0.605 0.217  0.660 0.327  0.715 0.436  0.778 0.539  0.865 0.626  0.926 0.730  0.981 0.839  1.013 0.954  1.033 1.072  1.087 1.181  1.142 1.291
3#app#app33#app3314/e  -0.758 0.142  -0.619 0.142  -0.480 0.142  -0.340 0.142  -0.201 0.142  -0.061 0.142  0.078 0.142  0.204 0.174  0.303 0.273  0.432 0.298  0.571 0.298  0.638 0.370  0.695 0.453  0.822 0.482  0.921 0.580  0.948 0.708  0.948 0.848  0.879 0.918  0.793 0.971  0.756 1.073  0.616 1.073  0.477 1.073  0.338 1.073  0.212 1.016  0.087 0.953  0.017 0.857  -0.015 0.731  -0.113 0.632  -0.212 0.534  -0.311 0.435  -0.409 0.337  -0.486 0.222  -0.548 0.098  -0.603 -0.029  -0.603 -0.168  -0.603 -0.308  -0.603 -0.447  -0.603 -0.586  -0.603 -0.726  -0.603 -0.865  -0.603 -1.005  -0.571 -1.131  -0.473 -1.229  -0.374 -1.328  -0.276 -1.427  -0.177 -1.525  -0.063 -1.602  0.062 -1.664  0.188 -1.719  0.328 -1.719
3#app#app33#app3314/r  -0.470 1.224  -0.470 1.082  -0.381 1.029  -0.276 0.992  -0.276 0.850  -0.276 0.708  -0.276 0.565  -0.276 0.423  -0.276 0.281  -0.276 0.139  -0.234 0.014  -0.133 -0.087  -0.081 -0.207  -0.081 -0.350  -0.081 -0.492  -0.081 -0.634  -0.081 -0.776  -0.081 -0.918  -0.081 -1.061  -0.145 -1.177  -0.245 -1.277  -0.276 -1.407  -0.322 -1.502  -0.464 -1.502  -0.470 -1.366  -0.470 -1.224  -0.448 -1.091  -0.348 -0.990  -0.276 -0.878  -0.276 -0.736  -0.276 -0.594  -0.221 -0.474  -0.120 -0.373  -0.042 -0.257  0.021 -0.129  0.085 -0.002  0.114 0.133  0.125 0.273  0.189 0.400  0.252 0.527  0.320 0.651  0.421 0.752  0.521 0.852  0.622 0.953  0.722 1.054  0.823 1.154  0.924 1.255  1.024 1.355  1.140 1.419  1.282 1.419
3#app#app33#app3314/.  1.618 -1.271  1.427 -1.271  1.236 -1.271  1.045 -1.271  0.853 -1.271  0.662 -1.271  0.471 -1.271  0.280 -1.271  0.221 -1.138  0.221 -0.947  0.221 -0.756  0.213 -0.573  0.022 -0.573  -0.169 -0.573  -0.361 -0.573  -0.530 -0.520  -0.665 -0.385  -0.801 -0.250  -0.936 -0.114  -1.071 0.021  -1.176 0.169  -1.176 0.360  -1.176 0.551  -1.176 0.742  -1.067 0.825  -0.876 0.825  -0.685 0.825  -0.493 0.825  -0.302 0.825  -0.111 0.825  0.080 0.825  0.221 0.774  0.221 0.583  0.221 0.392  0.221 0.200  0.221 0.243  0.221 0.434  0.221 0.625  0.221 0.817  0.221 0.641  0.221 0.450  0.221 0.259  0.221 0.184  0.221 0.376  0.221 0.567  0.221 0.758  0.221 0.700  0.221 0.509  0.221 0.317  0.221 0.126
3#app#app33#app3314/T  0.278 0.382  0.278 0.555  0.278 0.728  0.230 0.853  0.184 0.726  0.179 0.554  0.124 0.389  0.090 0.222  0.068 0.054  -0.004 -0.102  -0.004 -0.275  -0.004 -0.448  -0.073 -0.605  -0.098 -0.772  -0.098 -0.945  -0.098 -1.118  -0.098 -1.291  -0.098 -1.464  -0.070 -1.625  0.076 -1.691  0.027 -1.545  -0.042 -1.386  -0.111 -1.228  -0.180 -1.069  -0.249 -0.910  -0.318 -0.752  -0.387 -0.593  -0.456 -0.434  -0.525 -0.275  -0.594 -0.117  -0.663 0.042  -0.732 0.201  -0.801 0.359  -0.898 0.476  -0.916 0.570  -0.748 0.605  -0.584 0.659  -0.412 0.664  -0.253 0.698  -0.105 0.758  0.068 0.758  0.241 0.758  0.410 0.777  0.565 0.853  0.738 0.853  0.891 0.900  1.034 0.995  1.196 1.041  1.353 1.079  1.315 1.135
3#app#app33#app3314/h  -0.183 1.897  -0.183 1.738  -0.202 1.586  -0.280 1.459  -0.280 1.299  -0.280 1.139  -0.299 0.984  -0.370 0.841  -0.377 0.683  -0.377 0.523  -0.377 0.363  -0.377 0.204  -0.402 0.047  -0.441 -0.108  -0.475 -0.264  -0.475 -0.423  -0.475 -0.583  -0.475 -0.743  -0.475 -0.903  -0.572 -1.022  -0.572 -1.182  -0.599 -1.314  -0.669 -1.225  -0.572 -1.162  -0.572 -1.003  -0.546 -0.847  -0.495 -0.695  -0.433 -0.549  -0.352 -0.413  -0.254 -0.289  -0.183 -0.146  -0.111 -0.003  -0.013 0.120  0.100 0.233  0.175 0.374  0.286 0.477  0.432 0.535  0.592 0.535  0.751 0.535  0.888 0.512  0.948 0.377  0.985 0.233  0.985 0.073  0.985 -0.087  0.985 -0.247  0.985 -0.406  0.972 -0.563  0.900 -0.706  0.888 -0.863  0.888 -1.022
3#app#app33#app3314/e  -0.453 0.262  -0.317 0.262  -0.182 0.262  -0.046 0.262  0.067 0.318  0.177 0.378  0.313 0.378  0.448 0.378  0.584 0.378  0.682 0.469  0.807 0.494  0.942 0.496  1.038 0.592  1.056 0.720  1.043 0.843  0.917 0.866  0.820 0.959  0.684 0.959  0.548 0.959  0.413 0.959  0.277 0.959  0.142 0.959  0.042 0.873  -0.054 0.777  -0.162 0.698  -0.284 0.637  -0.391 0.557  -0.474 0.452  -0.535 0.331  -0.611 0.220  -0.699 0.119  -0.759 -0.002  -0.801 -0.128  -0.801 -0.264  -0.801 -0.399  -0.801 -0.535  -0.763 -0.664  -0.720 -0.793  -0.685 -0.923  -0.654 -1.046  -0.553 -1.130  -0.428 -1.155  -0.331 -1.250  -0.210 -1.310  -0.086 -1.363  0.049 -1.363  0.185 -1.363  0.321 -1.363  0.456 -1.363  0.592 -1.363
