3#apa#apa02#app0226/w  -1.294 0.605  -1.322 0.730  -1.363 0.730  -1.294 0.646  -1.215 0.526  -1.170 0.393  -1.054 0.356  -1.045 0.212  -1.012 0.074  -0.920 -0.041  -0.898 -0.188  -0.829 -0.324  -0.796 -0.469  -0.721 -0.590  -0.671 -0.722  -0.562 -0.765  -0.547 -0.628  -0.547 -0.476  -0.498 -0.343  -0.422 -0.222  -0.350 -0.142  -0.297 -0.042  -0.173 -0.014  -0.173 0.138  -0.113 0.231  -0.048 0.319  0.067 0.356  0.076 0.213  0.109 0.074  0.201 -0.040  0.237 -0.178  0.325 -0.294  0.380 -0.391  0.508 -0.450  0.616 -0.558  0.734 -0.641  0.887 -0.641  1.039 -0.641  1.073 -0.522  1.073 -0.369  1.108 -0.232  1.197 -0.116  1.197 0.036  1.197 0.189  1.197 0.341  1.197 0.494  1.197 0.646  1.197 0.799  1.197 0.951  1.322 0.979
3#apa#apa02#app0226/o  -0.702 0.626  -0.800 0.528  -0.898 0.430  -0.997 0.331  -1.069 0.222  -1.069 0.083  -1.069 -0.056  -1.069 -0.195  -1.069 -0.334  -1.069 -0.473  -0.974 -0.573  -0.871 -0.661  -0.732 -0.661  -0.625 -0.738  -0.526 -0.836  -0.391 -0.845  -0.251 -0.845  -0.112 -0.845  0.027 -0.845  0.166 -0.845  0.305 -0.845  0.444 -0.845  0.583 -0.845  0.722 -0.845  0.770 -0.753  0.817 -0.661  0.953 -0.658  0.953 -0.519  0.953 -0.380  0.953 -0.241  0.953 -0.102  0.953 0.037  0.953 0.176  0.897 0.259  0.770 0.271  0.770 0.410  0.770 0.549  0.708 0.626  0.574 0.638  0.475 0.737  0.367 0.810  0.228 0.810  0.218 0.940  0.133 0.994  -0.006 0.994  -0.145 0.994  -0.284 0.994  -0.423 0.994  -0.562 0.994  -0.702 0.994
3#apa#apa02#app0226/u  -1.425 0.757  -1.287 0.757  -1.265 0.640  -1.265 0.502  -1.265 0.363  -1.265 0.225  -1.265 0.086  -1.257 -0.043  -1.118 -0.043  -1.105 -0.169  -1.105 -0.307  -1.047 -0.421  -0.949 -0.519  -0.852 -0.617  -0.741 -0.683  -0.602 -0.683  -0.464 -0.683  -0.325 -0.683  -0.200 -0.630  -0.076 -0.569  0.041 -0.497  0.139 -0.399  0.237 -0.301  0.335 -0.203  0.335 -0.065  0.335 0.073  0.335 0.212  0.387 0.329  0.484 0.426  0.495 0.560  0.495 0.699  0.495 0.837  0.436 0.917  0.361 0.890  0.459 0.792  0.495 0.669  0.495 0.530  0.495 0.392  0.511 0.260  0.609 0.163  0.707 0.065  0.804 -0.033  0.902 -0.131  1.000 -0.229  1.098 -0.327  1.135 -0.450  1.200 -0.523  1.295 -0.567  1.316 -0.683  1.455 -0.683
3#apa#apa02#app0226/s  0.457 0.786  0.309 0.786  0.161 0.786  0.012 0.786  -0.136 0.786  -0.247 0.696  -0.369 0.632  -0.517 0.632  -0.666 0.632  -0.814 0.632  -0.962 0.632  -1.101 0.610  -1.206 0.505  -1.343 0.479  -1.386 0.373  -1.386 0.225  -1.291 0.172  -1.143 0.172  -0.994 0.172  -0.846 0.172  -0.698 0.172  -0.550 0.172  -0.401 0.172  -0.253 0.172  -0.105 0.172  0.044 0.172  0.192 0.172  0.340 0.172  0.488 0.172  0.637 0.172  0.785 0.172  0.929 0.161  1.034 0.056  1.139 -0.049  1.225 -0.162  1.211 -0.304  1.106 -0.409  1.072 -0.543  0.977 -0.596  0.918 -0.686  0.918 -0.834  0.839 -0.904  0.699 -0.936  0.566 -1.003  0.431 -1.057  0.282 -1.057  0.134 -1.057  -0.014 -1.057  -0.163 -1.057  -0.311 -1.057
3#apa#apa02#app0226/h  -0.830 1.803  -0.830 1.665  -0.826 1.528  -0.728 1.431  -0.695 1.306  -0.695 1.168  -0.695 1.030  -0.695 0.891  -0.695 0.753  -0.695 0.615  -0.646 0.489  -0.584 0.365  -0.560 0.232  -0.560 0.094  -0.496 -0.017  -0.425 -0.126  -0.425 -0.264  -0.425 -0.403  -0.425 -0.541  -0.425 -0.679  -0.387 -0.801  -0.290 -0.899  -0.290 -1.029  -0.290 -0.891  -0.283 -0.756  -0.185 -0.658  -0.155 -0.532  -0.155 -0.394  -0.083 -0.286  -0.020 -0.174  -0.020 -0.036  0.036 0.047  0.115 0.106  0.177 0.182  0.315 0.182  0.453 0.182  0.591 0.182  0.730 0.182  0.790 0.105  0.871 0.047  0.925 -0.037  0.925 -0.175  0.989 -0.287  1.061 -0.395  1.061 -0.534  1.061 -0.672  1.061 -0.810  1.061 -0.948  1.098 -1.071  1.196 -1.169
3#apa#apa02#app0226/o  -0.400 0.791  -0.400 0.644  -0.468 0.565  -0.615 0.565  -0.723 0.468  -0.827 0.364  -0.931 0.260  -1.035 0.156  -1.079 0.026  -1.079 -0.121  -1.079 -0.268  -1.026 -0.394  -0.921 -0.498  -0.802 -0.567  -0.655 -0.567  -0.542 -0.651  -0.438 -0.755  -0.307 -0.793  -0.173 -0.807  -0.173 -0.955  -0.091 -1.020  0.056 -1.020  0.204 -1.020  0.351 -1.020  0.498 -1.020  0.646 -1.020  0.732 -0.959  0.732 -0.811  0.824 -0.702  0.928 -0.598  0.959 -0.463  0.959 -0.316  0.959 -0.168  0.959 -0.021  0.948 0.122  0.844 0.227  0.740 0.331  0.732 0.475  0.692 0.606  0.588 0.710  0.474 0.791  0.327 0.791  0.279 0.892  0.258 1.018  0.111 1.018  -0.037 1.018  -0.173 1.028  -0.173 1.176  -0.252 1.244  -0.400 1.244
3#apa#apa02#app0226/u  -1.333 0.797  -1.333 0.650  -1.333 0.503  -1.333 0.356  -1.333 0.208  -1.333 0.061  -1.333 -0.086  -1.318 -0.226  -1.214 -0.330  -1.087 -0.379  -0.998 -0.436  -0.961 -0.547  -0.819 -0.558  -0.715 -0.662  -0.590 -0.715  -0.443 -0.715  -0.296 -0.715  -0.158 -0.706  -0.158 -0.559  -0.023 -0.547  0.125 -0.547  0.178 -0.453  0.178 -0.306  0.178 -0.159  0.200 -0.021  0.304 0.083  0.346 0.212  0.346 0.359  0.314 0.493  0.210 0.597  0.178 0.731  0.178 0.878  0.238 0.965  0.346 0.925  0.359 0.784  0.463 0.680  0.567 0.576  0.671 0.472  0.682 0.329  0.793 0.293  0.850 0.203  0.850 0.056  0.898 -0.043  1.018 -0.070  1.022 -0.215  1.126 -0.319  1.248 -0.379  1.354 -0.421  1.374 -0.547  1.522 -0.547
3#apa#apa02#app0226/l  -0.536 1.478  -0.462 1.478  -0.422 1.445  -0.422 1.371  -0.355 1.364  -0.307 1.338  -0.307 1.264  -0.265 1.207  -0.213 1.155  -0.192 1.089  -0.189 1.016  -0.137 0.964  -0.084 0.912  -0.078 0.840  -0.078 0.766  -0.078 0.692  -0.078 0.618  -0.070 0.546  -0.037 0.480  -0.004 0.413  0.029 0.347  0.037 0.275  0.037 0.201  0.037 0.127  0.037 0.053  0.037 -0.021  0.037 -0.095  0.037 -0.169  0.037 -0.243  0.037 -0.317  0.037 -0.391  0.037 -0.465  0.037 -0.539  0.046 -0.612  0.069 -0.682  0.093 -0.752  0.116 -0.823  0.139 -0.893  0.152 -0.965  0.152 -1.039  0.152 -1.113  0.172 -1.179  0.224 -1.231  0.266 -1.288  0.266 -1.362  0.314 -1.388  0.381 -1.395  0.381 -1.469  0.422 -1.503  0.496 -1.503
3#apa#apa02#app0226/d  0.131 -0.352  -0.056 -0.352  -0.243 -0.352  -0.417 -0.383  -0.574 -0.455  -0.696 -0.520  -0.696 -0.707  -0.678 -0.886  -0.527 -0.972  -0.383 -1.078  -0.238 -1.179  -0.089 -1.269  0.050 -1.385  0.234 -1.383  0.204 -1.199  0.174 -1.014  0.145 -0.830  0.115 -0.645  0.085 -0.461  0.055 -0.276  0.026 -0.092  -0.004 0.092  -0.034 0.277  -0.064 0.461  -0.093 0.646  -0.123 0.830  -0.153 1.015  -0.183 1.199  -0.212 1.384  -0.242 1.568  -0.272 1.753  -0.179 1.801  -0.078 1.715  -0.018 1.554  0.036 1.388  0.119 1.221  0.131 1.037  0.158 0.861  0.234 0.706  0.234 0.519  0.234 0.332  0.321 0.181  0.338 0.001  0.338 -0.185  0.347 -0.370  0.430 -0.537  0.441 -0.722  0.481 -0.869  0.544 -0.992  0.648 -1.075
3#apa#apa02#app0226/n  -0.963 0.122  -0.963 -0.005  -0.963 -0.132  -0.963 -0.259  -0.963 -0.386  -0.963 -0.513  -0.866 -0.542  -0.797 -0.601  -0.797 -0.728  -0.797 -0.855  -0.690 -0.874  -0.631 -0.943  -0.631 -1.011  -0.631 -0.884  -0.631 -0.757  -0.631 -0.630  -0.631 -0.503  -0.631 -0.376  -0.631 -0.249  -0.631 -0.122  -0.596 -0.009  -0.507 0.081  -0.465 0.191  -0.452 0.314  -0.395 0.428  -0.338 0.542  -0.271 0.648  -0.182 0.738  -0.075 0.786  0.052 0.786  0.179 0.786  0.306 0.786  0.433 0.786  0.560 0.786  0.687 0.786  0.814 0.786  0.863 0.708  0.902 0.620  1.029 0.620  1.029 0.493  1.091 0.392  1.181 0.302  1.195 0.181  1.195 0.054  1.195 -0.073  1.195 -0.200  1.195 -0.327  1.195 -0.454  1.195 -0.581  1.195 -0.708
3#apa#apa02#app0226/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#apa#apa02#app0226/t  -0.212 1.982  -0.031 1.978  -0.031 1.793  -0.019 1.620  0.150 1.603  0.150 1.418  0.150 1.232  0.150 1.047  0.150 0.861  0.150 0.675  0.150 0.490  0.150 0.304  0.150 0.119  0.150 -0.067  0.150 -0.252  0.194 -0.420  0.325 -0.551  0.332 -0.734  0.332 -0.919  0.332 -1.105  0.332 -1.290  0.343 -1.465  0.524 -1.454  0.655 -1.323  0.598 -1.196  0.460 -1.072  0.322 -0.948  0.184 -0.824  0.047 -0.700  -0.091 -0.576  -0.229 -0.452  -0.367 -0.328  -0.505 -0.203  -0.643 -0.079  -0.781 0.045  -0.919 0.169  -1.057 0.293  -1.019 0.350  -0.938 0.245  -0.829 0.168  -0.643 0.168  -0.492 0.085  -0.348 -0.013  -0.162 -0.013  0.024 -0.013  0.209 -0.013  0.376 -0.058  0.507 -0.189  0.691 -0.195  0.876 -0.195
3#apa#apa02#app0226/o  0.146 0.711  0.006 0.711  -0.133 0.711  -0.273 0.711  -0.412 0.711  -0.513 0.617  -0.614 0.523  -0.753 0.523  -0.796 0.426  -0.830 0.300  -0.929 0.202  -1.045 0.146  -1.172 0.134  -1.172 -0.006  -1.172 -0.145  -1.172 -0.285  -1.169 -0.423  -1.070 -0.521  -0.966 -0.607  -0.826 -0.607  -0.719 -0.684  -0.620 -0.783  -0.486 -0.796  -0.346 -0.796  -0.206 -0.796  -0.067 -0.796  0.073 -0.796  0.212 -0.796  0.352 -0.796  0.492 -0.796  0.631 -0.796  0.753 -0.753  0.852 -0.655  0.899 -0.535  0.916 -0.402  1.015 -0.303  1.088 -0.194  1.088 -0.054  1.088 0.085  1.088 0.225  1.066 0.356  0.968 0.454  0.899 0.565  0.899 0.705  0.805 0.805  0.704 0.899  0.565 0.899  0.425 0.899  0.285 0.899  0.146 0.899
3#apa#apa02#app0226/f  -0.098 -1.925  0.048 -1.925  0.054 -1.785  0.054 -1.638  0.054 -1.492  0.054 -1.346  0.054 -1.199  0.054 -1.053  -0.019 -0.937  -0.098 -0.824  -0.098 -0.677  -0.098 -0.531  -0.109 -0.389  -0.213 -0.286  -0.251 -0.155  -0.251 -0.009  -0.307 0.114  -0.403 0.221  -0.403 0.367  -0.403 0.513  -0.506 0.617  -0.555 0.743  -0.555 0.889  -0.492 0.972  -0.403 1.029  -0.352 1.124  -0.251 1.170  -0.212 1.277  -0.065 1.277  0.081 1.277  0.227 1.277  0.374 1.277  0.510 1.269  0.474 1.127  0.439 0.985  0.403 0.843  0.368 0.701  0.332 0.559  0.297 0.417  0.261 0.275  0.226 0.133  0.190 -0.009  0.155 -0.151  0.119 -0.293  0.084 -0.435  0.054 -0.577  0.073 -0.705  0.219 -0.705  0.365 -0.705  0.512 -0.705
