3#app#app11#app1178/Q  0.277 0.319  0.360 0.464  0.330 0.680  0.194 0.852  0.067 0.987  -0.055 1.123  -0.258 1.147  -0.487 1.147  -0.667 1.032  -0.770 0.846  -0.931 0.685  -0.975 0.475  -1.049 0.277  -1.131 0.069  -1.131 -0.159  -1.131 -0.388  -1.124 -0.615  -1.052 -0.831  -0.871 -0.936  -0.706 -1.089  -0.478 -1.089  -0.250 -1.089  -0.034 -1.038  0.170 -0.936  0.347 -0.794  0.532 -0.663  0.648 -0.469  0.774 -0.293  0.854 -0.098  0.857 0.129  0.857 0.357  0.849 0.583  0.754 0.791  0.672 1.001  0.575 1.103  0.440 0.919  0.306 0.735  0.171 0.551  0.036 0.367  -0.099 0.183  -0.234 -0.001  -0.200 -0.116  -0.055 -0.235  0.113 -0.345  0.274 -0.507  0.360 -0.699  0.479 -0.878  0.641 -1.039  0.814 -1.172  0.939 -1.338
3#app#app11#app1178/O  0.389 0.995  0.389 1.124  0.364 1.229  0.235 1.229  0.106 1.229  -0.023 1.229  -0.077 1.154  -0.164 1.112  -0.264 1.042  -0.355 0.951  -0.446 0.860  -0.538 0.768  -0.546 0.643  -0.637 0.552  -0.660 0.432  -0.769 0.412  -0.777 0.291  -0.777 0.162  -0.777 0.033  -0.777 -0.096  -0.777 -0.225  -0.777 -0.354  -0.777 -0.483  -0.777 -0.612  -0.777 -0.741  -0.695 -0.836  -0.580 -0.870  -0.544 -0.963  -0.439 -0.987  -0.310 -0.987  -0.181 -0.987  -0.052 -0.987  0.077 -0.987  0.206 -0.987  0.317 -0.942  0.413 -0.858  0.528 -0.800  0.639 -0.737  0.730 -0.645  0.855 -0.637  0.861 -0.509  0.919 -0.394  0.972 -0.277  0.972 -0.148  0.972 -0.019  0.972 0.110  0.930 0.221  0.855 0.319  0.830 0.438  0.739 0.529
3#app#app11#app1178/T  -0.226 0.734  -0.176 0.619  -0.110 0.520  -0.110 0.355  -0.110 0.190  -0.110 0.025  -0.064 -0.121  0.005 -0.257  0.005 -0.422  0.005 -0.587  0.005 -0.752  0.111 -0.874  0.188 -1.018  0.237 -1.172  0.237 -1.337  0.277 -1.462  0.352 -1.551  0.278 -1.460  0.190 -1.320  0.102 -1.181  0.013 -1.041  -0.075 -0.902  -0.163 -0.762  -0.251 -0.623  -0.339 -0.483  -0.427 -0.344  -0.515 -0.204  -0.603 -0.065  -0.691 0.075  -0.779 0.214  -0.868 0.354  -0.956 0.493  -1.018 0.619  -0.853 0.619  -0.688 0.619  -0.639 0.734  -0.474 0.734  -0.352 0.839  -0.191 0.850  -0.026 0.850  0.139 0.850  0.303 0.850  0.468 0.850  0.633 0.850  0.798 0.850  0.963 0.850  1.128 0.850  1.293 0.850  1.458 0.850  1.623 0.850
3#app#app11#app1178/H  -0.867 1.408  -0.942 1.213  -0.987 1.006  -0.987 0.780  -0.978 0.558  -0.867 0.378  -0.867 0.152  -0.867 -0.074  -0.859 -0.298  -0.787 -0.513  -0.747 -0.732  -0.687 -0.933  -0.627 -1.134  -0.585 -1.111  -0.511 -0.898  -0.437 -0.685  -0.363 -0.472  -0.289 -0.258  -0.214 -0.045  -0.140 0.168  -0.066 0.382  0.008 0.595  0.082 0.808  0.156 1.022  0.231 1.235  0.305 1.448  0.332 1.386  0.332 1.160  0.332 0.934  0.332 0.708  0.393 0.507  0.452 0.306  0.458 0.083  0.572 -0.096  0.572 -0.321  0.682 -0.502  0.692 -0.723  0.812 -0.900  0.826 -1.112  0.932 -1.231  0.905 -1.251  0.845 -1.033  0.786 -0.815  0.726 -0.597  0.667 -0.379  0.608 -0.161  0.480 -0.032  0.255 -0.032  0.047 0.013  -0.147 0.088
3#app#app11#app1178/O  0.438 0.813  0.438 0.943  0.411 1.046  0.280 1.046  0.150 1.046  0.020 1.046  -0.110 1.046  -0.212 0.979  -0.322 0.929  -0.431 0.878  -0.523 0.786  -0.612 0.692  -0.624 0.567  -0.716 0.475  -0.808 0.383  -0.845 0.269  -0.845 0.138  -0.919 0.039  -0.962 -0.074  -0.962 -0.204  -0.962 -0.334  -0.962 -0.464  -0.956 -0.592  -0.864 -0.684  -0.845 -0.806  -0.729 -0.820  -0.637 -0.912  -0.517 -0.936  -0.387 -0.936  -0.257 -0.936  -0.128 -0.928  -0.012 -0.870  0.106 -0.820  0.233 -0.805  0.349 -0.747  0.460 -0.681  0.552 -0.589  0.678 -0.579  0.770 -0.487  0.862 -0.395  0.954 -0.303  1.021 -0.201  1.070 -0.120  1.137 -0.057  1.137 0.073  1.097 0.194  1.039 0.310  1.021 0.436  1.021 0.566  0.904 0.580
3#app#app11#app1178/W  -1.554 0.856  -1.454 0.798  -1.373 0.674  -1.353 0.524  -1.292 0.392  -1.252 0.250  -1.211 0.109  -1.151 -0.024  -1.058 -0.144  -1.018 -0.285  -0.888 -0.353  -0.831 -0.454  -0.749 -0.530  -0.615 -0.554  -0.457 -0.554  -0.346 -0.508  -0.245 -0.451  -0.245 -0.293  -0.228 -0.152  -0.144 -0.078  -0.131 0.077  -0.060 0.218  -0.043 0.373  -0.043 0.531  -0.043 0.689  -0.043 0.847  -0.043 0.707  -0.040 0.550  0.057 0.433  0.057 0.275  0.153 0.156  0.193 0.015  0.259 -0.116  0.345 -0.238  0.457 -0.350  0.497 -0.491  0.629 -0.554  0.750 -0.643  0.803 -0.756  0.961 -0.756  1.073 -0.646  1.165 -0.526  1.165 -0.368  1.266 -0.252  1.266 -0.094  1.347 0.030  1.367 0.180  1.367 0.338  1.367 0.496  1.367 0.654
3#app#app11#app1178/T  0.095 0.897  0.095 0.732  0.095 0.567  -0.006 0.444  -0.022 0.286  -0.022 0.121  -0.021 -0.044  0.053 -0.192  0.095 -0.347  0.095 -0.512  0.110 -0.674  0.162 -0.831  0.212 -0.988  0.251 -1.136  0.368 -1.253  0.447 -1.385  0.447 -1.550  0.545 -1.541  0.443 -1.411  0.342 -1.281  0.241 -1.151  0.139 -1.020  0.038 -0.890  -0.063 -0.760  -0.165 -0.630  -0.266 -0.499  -0.367 -0.369  -0.468 -0.239  -0.570 -0.109  -0.671 0.022  -0.772 0.152  -0.874 0.282  -0.975 0.412  -1.076 0.543  -0.916 0.545  -0.778 0.610  -0.635 0.662  -0.587 0.780  -0.422 0.780  -0.257 0.780  -0.140 0.896  0.024 0.897  0.179 0.939  0.327 1.013  0.491 1.014  0.656 1.014  0.815 1.030  0.938 1.132  1.103 1.132  1.268 1.132
3#app#app11#app1178/O  0.199 0.643  0.187 0.762  0.080 0.788  0.042 0.882  -0.090 0.882  -0.222 0.882  -0.332 0.827  -0.437 0.762  -0.553 0.725  -0.652 0.643  -0.754 0.614  -0.784 0.494  -0.877 0.401  -0.971 0.307  -0.993 0.185  -0.993 0.053  -0.993 -0.079  -0.993 -0.212  -0.993 -0.344  -0.993 -0.476  -0.993 -0.608  -0.921 -0.668  -0.814 -0.728  -0.707 -0.787  -0.581 -0.814  -0.463 -0.873  -0.339 -0.907  -0.207 -0.907  -0.075 -0.907  0.057 -0.907  0.189 -0.907  0.309 -0.852  0.427 -0.793  0.522 -0.703  0.631 -0.631  0.749 -0.572  0.852 -0.492  0.946 -0.399  1.034 -0.303  1.034 -0.171  1.034 -0.039  1.034 0.093  1.034 0.225  1.034 0.357  1.034 0.489  1.034 0.621  0.956 0.721  0.863 0.814  0.770 0.907  0.676 1.001
3#app#app11#app1178/W  -1.418 0.988  -1.324 0.926  -1.324 0.769  -1.230 0.706  -1.230 0.550  -1.142 0.430  -1.082 0.330  -1.026 0.220  -0.948 0.096  -0.854 0.033  -0.854 -0.124  -0.760 -0.241  -0.711 -0.377  -0.600 -0.488  -0.455 -0.516  -0.298 -0.516  -0.290 -0.368  -0.267 -0.234  -0.196 -0.148  -0.196 0.008  -0.196 0.165  -0.196 0.321  -0.196 0.478  -0.174 0.612  -0.187 0.612  -0.196 0.465  -0.186 0.311  -0.116 0.171  -0.102 0.017  -0.036 -0.112  -0.008 -0.257  0.053 -0.388  0.163 -0.499  0.207 -0.637  0.336 -0.704  0.456 -0.792  0.611 -0.798  0.767 -0.798  0.899 -0.737  1.009 -0.626  1.120 -0.516  1.214 -0.398  1.275 -0.267  1.313 -0.125  1.362 0.024  1.402 0.174  1.402 0.330  1.402 0.487  1.402 0.644  1.402 0.800
3#app#app11#app1178/A  -0.578 1.201  -0.578 0.974  -0.578 0.747  -0.666 0.557  -0.718 0.351  -0.718 0.124  -0.718 -0.103  -0.718 -0.330  -0.857 -0.499  -0.857 -0.726  -0.857 -0.953  -0.855 -1.154  -0.818 -0.930  -0.780 -0.706  -0.743 -0.483  -0.706 -0.259  -0.668 -0.035  -0.631 0.189  -0.594 0.413  -0.556 0.637  -0.519 0.861  -0.482 1.085  -0.444 1.309  -0.245 1.341  -0.158 1.199  -0.021 1.029  0.065 0.837  0.127 0.636  0.276 0.467  0.378 0.264  0.479 0.061  0.607 -0.123  0.675 -0.321  0.815 -0.491  0.815 -0.718  0.954 -0.805  0.959 -1.028  1.093 -1.120  1.122 -0.999  1.233 -0.818  1.174 -0.602  1.090 -0.391  1.005 -0.181  1.043 -0.053  0.917 -0.053  0.690 -0.053  0.463 -0.053  0.236 -0.053  0.009 -0.053  -0.160 -0.192
3#app#app11#app1178/L  -0.727 1.542  -0.727 1.453  -0.727 1.364  -0.727 1.275  -0.727 1.186  -0.727 1.097  -0.727 1.008  -0.727 0.919  -0.727 0.830  -0.727 0.741  -0.674 0.674  -0.611 0.611  -0.591 0.530  -0.591 0.441  -0.591 0.352  -0.591 0.263  -0.591 0.174  -0.591 0.085  -0.555 0.011  -0.492 -0.052  -0.455 -0.125  -0.455 -0.215  -0.400 -0.281  -0.337 -0.344  -0.319 -0.425  -0.302 -0.498  -0.213 -0.498  -0.183 -0.556  -0.171 -0.634  -0.082 -0.634  0.007 -0.634  0.096 -0.634  0.185 -0.634  0.274 -0.634  0.362 -0.633  0.425 -0.570  0.488 -0.507  0.574 -0.498  0.663 -0.498  0.752 -0.498  0.841 -0.498  0.930 -0.498  1.019 -0.498  1.108 -0.498  1.197 -0.498  1.286 -0.498  1.357 -0.455  1.420 -0.392  1.496 -0.362  1.585 -0.362
3#app#app11#app1178/T  -0.078 0.824  -0.078 0.657  -0.078 0.490  0.038 0.438  0.038 0.271  0.038 0.103  0.038 -0.064  0.048 -0.227  0.153 -0.350  0.153 -0.518  0.153 -0.685  0.153 -0.852  0.153 -1.019  0.153 -1.187  0.197 -1.344  0.269 -1.494  0.310 -1.644  0.357 -1.664  0.282 -1.514  0.207 -1.365  0.132 -1.215  0.058 -1.065  -0.017 -0.916  -0.092 -0.766  -0.167 -0.617  -0.242 -0.467  -0.316 -0.318  -0.391 -0.168  -0.466 -0.018  -0.541 0.131  -0.615 0.281  -0.690 0.430  -0.765 0.580  -0.840 0.729  -0.826 0.824  -0.772 0.711  -0.656 0.758  -0.555 0.824  -0.388 0.824  -0.221 0.824  -0.053 0.824  0.038 0.900  0.166 0.940  0.333 0.940  0.500 0.940  0.650 1.014  0.807 1.055  0.974 1.055  1.142 1.055  1.309 1.055
3#app#app11#app1178/Z  -1.326 0.908  -1.163 0.908  -1.000 0.908  -0.877 1.006  -0.721 1.025  -0.578 0.978  -0.443 0.908  -0.280 0.908  -0.117 0.908  0.047 0.908  0.210 0.908  0.373 0.908  0.537 0.908  0.700 0.908  0.779 0.823  0.662 0.777  0.619 0.631  0.486 0.557  0.428 0.452  0.321 0.333  0.194 0.291  0.115 0.206  0.071 0.083  -0.044 -0.032  -0.160 -0.148  -0.274 -0.264  -0.322 -0.379  -0.391 -0.473  -0.508 -0.520  -0.578 -0.613  -0.625 -0.729  -0.742 -0.776  -0.834 -0.846  -0.859 -0.941  -0.790 -0.846  -0.627 -0.846  -0.463 -0.846  -0.300 -0.846  -0.177 -0.749  -0.022 -0.729  0.142 -0.729  0.305 -0.729  0.467 -0.720  0.626 -0.680  0.784 -0.640  0.944 -0.613  1.107 -0.613  1.271 -0.613  1.434 -0.613  1.597 -0.613
