1c#apb#apb33#app3354/a  -1.600 -0.748  -1.775 -0.702  -1.704 -0.619  -1.503 -0.471  -1.305 -0.295  -1.092 -0.128  -0.934 0.077  -0.730 0.227  -0.538 0.413  -0.309 0.542  -0.109 0.681  0.116 0.809  0.356 0.914  0.570 1.004  0.748 0.922  0.848 0.701  0.771 0.451  0.784 0.368  0.829 0.623  0.624 0.747  0.365 0.698  0.117 0.592  -0.098 0.468  -0.291 0.278  -0.470 0.077  -0.636 -0.137  -0.781 -0.364  -0.903 -0.603  -0.914 -0.848  -0.696 -0.788  -0.502 -0.633  -0.264 -0.510  -0.047 -0.356  0.166 -0.189  0.337 0.020  0.494 0.240  0.653 0.445  0.693 0.710  0.693 0.615  0.613 0.360  0.508 0.114  0.408 -0.137  0.358 -0.402  0.358 -0.673  0.440 -0.922  0.640 -1.032  0.865 -0.884  1.080 -0.721  1.299 -0.572  1.466 -0.361
1c#apb#apb33#app3354/l  -1.499 -0.374  -1.519 -0.298  -1.506 -0.434  -1.400 -0.496  -1.374 -0.575  -1.216 -0.515  -1.064 -0.457  -0.921 -0.361  -0.784 -0.258  -0.633 -0.175  -0.472 -0.112  -0.311 -0.056  -0.173 0.047  -0.020 0.128  0.124 0.223  0.255 0.326  0.383 0.441  0.523 0.543  0.672 0.630  0.805 0.740  0.930 0.858  1.022 0.997  1.035 1.111  1.026 1.177  0.942 1.213  0.853 1.094  0.710 0.998  0.574 0.892  0.450 0.771  0.303 0.680  0.185 0.559  0.086 0.417  -0.004 0.270  -0.107 0.131  -0.207 -0.010  -0.263 -0.172  -0.339 -0.325  -0.388 -0.490  -0.450 -0.650  -0.430 -0.791  -0.335 -0.905  -0.165 -0.918  0.004 -0.891  0.171 -0.843  0.337 -0.797  0.505 -0.756  0.675 -0.725  0.842 -0.679  1.006 -0.626  1.164 -0.555
1c#apb#apb33#app3354/m  -1.491 -0.301  -1.539 -0.151  -1.459 0.104  -1.290 0.316  -1.054 0.462  -0.819 0.607  -0.571 0.731  -0.301 0.789  -0.037 0.868  0.212 0.922  0.133 0.763  0.043 0.509  -0.108 0.277  -0.270 0.053  -0.448 -0.159  -0.644 -0.354  -0.861 -0.521  -1.094 -0.671  -1.223 -0.744  -1.066 -0.549  -0.880 -0.346  -0.677 -0.159  -0.442 -0.015  -0.241 0.168  0.004 0.292  0.264 0.356  0.503 0.396  0.560 0.257  0.415 0.022  0.288 -0.222  0.065 -0.385  -0.155 -0.554  -0.366 -0.733  -0.398 -0.724  -0.234 -0.504  -0.025 -0.323  0.191 -0.150  0.409 0.022  0.626 0.194  0.849 0.359  1.079 0.512  1.337 0.600  1.477 0.625  1.547 0.366  1.526 0.091  1.480 -0.180  1.356 -0.427  1.232 -0.674  1.082 -0.907  1.015 -0.909
1c#apb#apb33#app3354/n  -0.161 0.251  -0.184 0.325  -0.351 0.285  -0.476 0.157  -0.600 0.026  -0.718 -0.111  -0.844 -0.240  -0.963 -0.376  -1.058 -0.530  -1.195 -0.641  -1.295 -0.792  -1.373 -0.875  -1.258 -0.737  -1.141 -0.600  -0.998 -0.491  -0.870 -0.370  -0.763 -0.225  -0.627 -0.106  -0.478 -0.004  -0.342 0.113  -0.214 0.241  -0.081 0.362  0.069 0.430  0.205 0.531  0.293 0.561  0.209 0.406  0.082 0.277  0.013 0.114  -0.049 -0.055  -0.143 -0.206  -0.169 -0.385  -0.165 -0.561  -0.147 -0.734  -0.008 -0.808  0.145 -0.733  0.272 -0.607  0.421 -0.507  0.543 -0.374  0.655 -0.232  0.775 -0.099  0.841 0.069  0.941 0.219  1.035 0.373  1.131 0.526  1.227 0.679  1.325 0.830  1.453 0.957  1.551 1.108  1.678 1.233  1.805 1.331
1c#apb#apb33#app3354/o  0.518 0.695  0.592 0.873  0.529 0.999  0.351 1.038  0.175 1.013  -0.015 0.986  -0.180 0.884  -0.325 0.754  -0.439 0.595  -0.577 0.457  -0.707 0.310  -0.828 0.157  -0.934 -0.006  -1.022 -0.180  -1.103 -0.358  -1.175 -0.540  -1.233 -0.726  -1.270 -0.917  -1.256 -1.107  -1.081 -1.167  -0.896 -1.105  -0.715 -1.033  -0.532 -0.963  -0.371 -0.856  -0.218 -0.734  -0.073 -0.603  0.054 -0.455  0.157 -0.289  0.274 -0.133  0.312 0.058  0.362 0.247  0.394 0.440  0.414 0.631  0.324 0.802  0.175 0.858  0.102 0.710  0.003 0.546  -0.063 0.363  -0.047 0.170  0.035 -0.005  0.178 -0.132  0.356 -0.209  0.545 -0.260  0.740 -0.275  0.934 -0.279  1.129 -0.264  1.324 -0.260  1.520 -0.263  1.701 -0.254  1.865 -0.211
1c#apb#apb33#app3354/p  0.525 0.928  0.332 0.700  0.085 0.444  -0.138 0.157  -0.383 -0.109  -0.599 -0.401  -0.792 -0.710  -0.987 -1.017  -1.163 -1.334  -1.409 -1.599  -1.387 -1.360  -1.218 -1.043  -1.023 -0.738  -0.749 -0.504  -0.486 -0.252  -0.223 -0.001  -0.005 0.287  0.236 0.557  0.524 0.779  0.840 0.920  1.176 0.905  1.218 0.559  1.087 0.223  0.840 -0.044  0.535 -0.215  0.179 -0.251  -0.163 -0.164  -0.417 0.080  -0.301 0.395  0.025 0.542  0.213 0.338  0.144 -0.014  0.314 -0.275  0.674 -0.288  1.033 -0.260  1.391 -0.207  1.755 -0.192  1.442 -0.139  1.085 -0.064  0.729 0.012  0.373 0.088  0.016 0.164  -0.340 0.240  -0.696 0.315  -1.015 0.258  -1.342 0.285  -1.002 0.378  -0.646 0.451  -0.296 0.524  0.012 0.652
1c#apb#apb33#app3354/q  0.911 1.041  0.850 1.090  0.674 1.055  0.421 1.041  0.292 1.058  0.323 1.072  0.279 1.095  0.026 0.997  -0.216 0.860  -0.477 0.742  -0.660 0.539  -0.821 0.325  -0.954 0.080  -0.780 -0.049  -0.524 0.083  -0.247 0.176  0.026 0.281  0.253 0.457  0.486 0.612  0.724 0.764  0.669 0.738  0.465 0.531  0.234 0.354  0.028 0.151  -0.170 -0.063  -0.362 -0.283  -0.568 -0.489  -0.739 -0.720  -0.920 -0.946  -1.049 -1.190  -1.194 -1.441  -1.185 -1.658  -0.905 -1.581  -0.635 -1.470  -0.370 -1.347  -0.114 -1.213  0.047 -0.974  0.177 -0.714  0.274 -0.440  0.285 -0.155  0.202 0.116  0.179 0.298  0.358 0.067  0.387 -0.101  0.150 -0.101  0.255 -0.144  0.544 -0.153  0.834 -0.149  1.125 -0.135  1.413 -0.101
1c#apb#apb33#app3354/r  0.295 0.733  0.139 0.560  0.017 0.351  -0.162 0.192  -0.345 0.025  -0.493 -0.172  -0.681 -0.333  -0.844 -0.520  -1.006 -0.696  -1.091 -0.566  -0.948 -0.460  -0.807 -0.429  -0.753 -0.412  -1.000 -0.439  -1.246 -0.466  -1.493 -0.493  -1.602 -0.400  -1.481 -0.411  -1.257 -0.386  -1.037 -0.300  -0.796 -0.265  -0.578 -0.192  -0.394 -0.090  -0.205 0.006  -0.038 0.150  0.036 0.352  0.122 0.470  0.294 0.521  0.434 0.685  0.607 0.856  0.794 0.984  0.999 0.974  1.212 0.918  1.207 0.743  1.104 0.726  1.100 0.730  1.053 0.682  1.003 0.501  0.939 0.506  0.835 0.303  0.784 0.086  0.614 -0.090  0.484 -0.300  0.326 -0.485  0.157 -0.649  0.262 -0.788  0.493 -0.727  0.739 -0.708  0.983 -0.669  1.224 -0.609
1c#apb#apb33#app3354/s  -1.095 -0.062  -1.287 -0.090  -1.210 -0.009  -0.987 0.115  -0.765 0.252  -0.529 0.354  -0.303 0.488  -0.078 0.625  0.136 0.780  0.359 0.923  0.569 1.083  0.735 1.231  0.962 1.282  1.092 1.154  1.020 0.921  0.947 0.667  0.826 0.433  0.712 0.195  0.604 -0.040  0.442 -0.249  0.274 -0.452  0.074 -0.616  -0.163 -0.704  -0.394 -0.591  -0.598 -0.423  -0.770 -0.226  -0.883 0.013  -0.947 0.256  -0.826 0.482  -0.629 0.436  -0.490 0.225  -0.349 0.002  -0.207 -0.221  -0.282 -0.293  -0.513 -0.325  -0.756 -0.413  -0.976 -0.528  -0.970 -0.771  -0.739 -0.897  -0.489 -0.882  -0.232 -0.845  0.015 -0.754  0.259 -0.654  0.507 -0.597  0.753 -0.502  0.964 -0.345  1.224 -0.301  1.431 -0.158  1.666 -0.040  1.896 0.068
1c#apb#apb33#app3354/t  -1.262 -0.825  -1.330 -0.756  -1.077 -0.644  -0.803 -0.514  -0.541 -0.364  -0.319 -0.158  -0.095 0.046  0.109 0.269  0.314 0.491  0.524 0.689  0.664 0.954  0.854 1.171  0.868 1.204  0.703 1.039  0.515 0.805  0.357 0.547  0.149 0.330  -0.028 0.087  -0.252 -0.117  -0.390 -0.382  -0.501 -0.662  -0.503 -0.964  -0.293 -1.125  0.007 -1.127  0.305 -1.097  0.600 -1.055  0.883 -0.951  1.135 -0.789  1.316 -0.586  1.040 -0.461  0.764 -0.336  0.488 -0.210  0.212 -0.085  -0.064 0.040  -0.340 0.165  -0.616 0.290  -0.915 0.324  -1.202 0.255  -1.503 0.235  -1.420 0.075  -1.163 0.188  -0.871 0.266  -0.578 0.324  -0.282 0.372  0.019 0.393  0.311 0.447  0.608 0.497  0.906 0.548  1.203 0.600  1.498 0.554
1c#apb#apb33#app3354/u  -1.555 -0.781  -1.735 -0.812  -1.640 -0.655  -1.468 -0.535  -1.308 -0.399  -1.118 -0.307  -0.970 -0.168  -0.802 -0.045  -0.633 0.077  -0.500 0.242  -0.345 0.383  -0.192 0.527  -0.041 0.672  0.062 0.794  -0.055 0.644  -0.190 0.496  -0.348 0.357  -0.513 0.225  -0.667 0.081  -0.797 -0.086  -0.923 -0.255  -1.021 -0.441  -0.893 -0.460  -0.702 -0.373  -0.509 -0.287  -0.314 -0.206  -0.113 -0.141  0.087 -0.071  0.289 -0.010  0.479 0.082  0.662 0.178  0.814 0.310  0.973 0.438  1.123 0.584  1.243 0.719  1.065 0.678  0.896 0.563  0.755 0.406  0.610 0.253  0.457 0.110  0.323 -0.048  0.308 -0.256  0.445 -0.376  0.646 -0.430  0.856 -0.414  1.059 -0.364  1.251 -0.310  1.455 -0.270  1.657 -0.207  1.837 -0.113
1c#apb#apb33#app3354/v  -1.215 -0.383  -1.351 -0.371  -1.420 -0.486  -1.525 -0.462  -1.562 -0.378  -1.457 -0.254  -1.360 -0.122  -1.256 0.004  -1.111 0.079  -0.993 0.190  -0.852 0.269  -0.723 0.367  -0.586 0.456  -0.444 0.537  -0.289 0.573  -0.149 0.651  -0.057 0.584  -0.025 0.425  -0.025 0.262  -0.106 0.138  -0.181 -0.007  -0.278 -0.133  -0.413 -0.225  -0.529 -0.341  -0.614 -0.477  -0.533 -0.578  -0.371 -0.569  -0.228 -0.500  -0.084 -0.441  0.077 -0.412  0.203 -0.317  0.350 -0.282  0.482 -0.188  0.606 -0.082  0.746 0.002  0.831 0.140  0.913 0.282  1.012 0.403  1.031 0.551  0.946 0.475  0.872 0.354  0.872 0.254  0.889 0.093  0.964 -0.046  1.101 -0.110  1.264 -0.103  1.419 -0.051  1.568 0.015  1.722 0.070  1.867 0.144
1c#apb#apb33#app3354/w  -0.612 0.578  -0.628 0.695  -0.660 0.701  -0.765 0.616  -0.863 0.513  -0.944 0.397  -1.040 0.293  -1.141 0.193  -1.219 0.076  -1.278 -0.053  -1.345 -0.177  -1.358 -0.318  -1.273 -0.411  -1.146 -0.375  -1.005 -0.361  -0.870 -0.319  -0.737 -0.270  -0.604 -0.220  -0.471 -0.170  -0.344 -0.107  -0.225 -0.029  -0.108 0.050  -0.004 0.146  0.111 0.230  0.183 0.342  0.182 0.291  0.102 0.174  0.025 0.055  -0.060 -0.059  -0.110 -0.190  -0.135 -0.328  -0.077 -0.441  0.021 -0.511  0.152 -0.519  0.292 -0.535  0.434 -0.535  0.567 -0.505  0.701 -0.462  0.831 -0.407  0.947 -0.327  1.051 -0.231  1.168 -0.153  1.250 -0.042  1.350 0.035  1.424 0.155  1.471 0.285  1.573 0.381  1.654 0.498  1.728 0.618  1.804 0.737
1c#apb#apb33#app3354/x  -0.274 0.643  -0.213 0.813  -0.290 0.963  -0.440 1.058  -0.531 1.046  -0.531 0.858  -0.505 0.678  -0.451 0.506  -0.423 0.320  -0.330 0.170  -0.263 -0.005  -0.153 -0.157  -0.075 -0.327  0.030 -0.455  0.124 -0.537  0.147 -0.629  0.194 -0.675  0.277 -0.838  0.373 -0.900  0.472 -0.740  0.571 -0.581  0.670 -0.421  0.770 -0.261  0.869 -0.102  0.968 0.058  1.067 0.218  1.166 0.378  1.266 0.537  1.317 0.711  1.247 0.829  1.103 0.807  0.944 0.738  0.781 0.652  0.629 0.545  0.468 0.450  0.330 0.323  0.170 0.226  0.021 0.111  -0.133 0.004  -0.296 -0.089  -0.459 -0.177  -0.582 -0.319  -0.725 -0.442  -0.862 -0.570  -1.018 -0.674  -1.173 -0.781  -1.344 -0.853  -1.490 -0.970  -1.641 -1.075  -1.771 -1.064
1c#apb#apb33#app3354/y  -0.767 0.338  -0.904 0.328  -0.732 0.455  -0.545 0.563  -0.357 0.670  -0.153 0.741  0.048 0.819  0.206 0.930  0.210 0.826  0.078 0.655  -0.059 0.493  0.054 0.472  0.255 0.545  0.459 0.616  0.661 0.693  0.861 0.776  1.058 0.851  1.064 0.882  0.947 0.708  0.830 0.526  0.707 0.349  0.582 0.172  0.438 0.013  0.305 -0.157  0.168 -0.325  0.020 -0.483  -0.119 -0.649  -0.264 -0.810  -0.406 -0.973  -0.533 -1.149  -0.675 -1.312  -0.820 -1.472  -1.012 -1.554  -1.162 -1.437  -1.175 -1.225  -1.122 -1.015  -1.011 -0.830  -0.880 -0.657  -0.738 -0.495  -0.558 -0.375  -0.369 -0.269  -0.185 -0.155  0.011 -0.063  0.217 0.001  0.423 0.068  0.619 0.159  0.809 0.263  0.996 0.372  1.162 0.511  1.355 0.608
1c#apb#apb33#app3354/z  -0.803 0.339  -0.962 0.292  -0.821 0.466  -0.623 0.589  -0.421 0.700  -0.229 0.827  -0.015 0.918  0.206 0.992  0.434 1.035  0.652 1.067  0.801 0.965  0.671 0.782  0.496 0.627  0.317 0.482  0.106 0.386  -0.101 0.288  -0.271 0.279  -0.081 0.368  0.148 0.406  0.378 0.426  0.593 0.368  0.758 0.244  0.758 0.023  0.667 -0.190  0.522 -0.372  0.351 -0.531  0.197 -0.704  0.030 -0.866  -0.146 -1.013  -0.309 -1.180  -0.512 -1.288  -0.718 -1.395  -0.922 -1.495  -1.141 -1.456  -1.244 -1.253  -1.188 -1.032  -1.076 -0.830  -0.916 -0.665  -0.727 -0.528  -0.547 -0.380  -0.346 -0.263  -0.136 -0.161  0.084 -0.083  0.293 0.019  0.504 0.117  0.696 0.249  0.880 0.392  1.041 0.556  1.236 0.683  1.436 0.801
