2#app#app12#app1222/f  0.972 0.600  0.972 0.771  0.972 0.943  0.884 1.026  0.834 1.177  0.713 1.298  0.592 1.419  0.445 1.479  0.274 1.479  0.126 1.423  0.006 1.353  -0.082 1.269  -0.165 1.132  -0.170 0.963  -0.170 0.791  -0.170 0.620  -0.170 0.448  -0.170 0.277  -0.131 0.122  -0.057 -0.026  -0.016 -0.193  0.006 -0.361  0.041 -0.524  0.093 -0.683  0.155 -0.840  0.181 -1.005  0.257 -1.145  0.316 -1.292  0.337 -1.405  0.204 -1.297  0.071 -1.188  -0.062 -1.080  -0.195 -0.972  -0.328 -0.864  -0.461 -0.756  -0.594 -0.648  -0.727 -0.540  -0.860 -0.432  -0.993 -0.324  -1.040 -0.375  -0.902 -0.454  -0.767 -0.367  -0.596 -0.367  -0.429 -0.336  -0.267 -0.282  -0.103 -0.245  0.055 -0.191  0.226 -0.191  0.361 -0.103  0.533 -0.103
2#app#app12#app1222/d  -0.058 1.845  0.035 1.752  0.061 1.631  0.138 1.532  0.179 1.417  0.179 1.286  0.179 1.154  0.258 1.056  0.297 0.940  0.337 0.818  0.396 0.701  0.478 0.600  0.534 0.491  0.534 0.360  0.590 0.251  0.652 0.146  0.652 0.014  0.652 0.020  0.571 0.070  0.534 0.165  0.426 0.188  0.330 0.274  0.212 0.307  0.080 0.307  -0.051 0.307  -0.064 0.188  -0.190 0.174  -0.283 0.081  -0.410 0.070  -0.420 -0.056  -0.513 -0.149  -0.606 -0.242  -0.650 -0.355  -0.650 -0.487  -0.693 -0.608  -0.751 -0.726  -0.768 -0.853  -0.768 -0.985  -0.766 -1.115  -0.673 -1.208  -0.551 -1.232  -0.420 -1.232  -0.288 -1.232  -0.157 -1.232  -0.035 -1.209  0.058 -1.116  0.186 -1.107  0.279 -1.014  0.403 -0.995  0.534 -0.995
2#app#app12#app1222/k  -0.712 2.170  -0.712 1.964  -0.712 1.759  -0.712 1.554  -0.712 1.348  -0.712 1.143  -0.642 0.954  -0.578 0.764  -0.578 0.559  -0.578 0.353  -0.578 0.148  -0.578 -0.057  -0.568 -0.259  -0.444 -0.412  -0.444 -0.618  -0.427 -0.819  -0.336 -1.003  -0.233 -0.931  -0.125 -0.756  -0.017 -0.581  0.090 -0.406  0.198 -0.231  0.306 -0.056  0.413 0.118  0.521 0.293  0.628 0.468  0.736 0.643  0.631 0.677  0.546 0.557  0.475 0.423  0.321 0.340  0.229 0.156  0.081 0.020  -0.040 -0.064  -0.175 -0.135  -0.239 -0.314  -0.309 -0.490  -0.435 -0.643  -0.444 -0.845  -0.314 -0.921  -0.109 -0.921  0.056 -0.824  0.246 -0.787  0.451 -0.787  0.649 -0.769  0.806 -0.652  0.979 -0.573  1.161 -0.518  1.367 -0.518  1.572 -0.518
2#app#app12#app1222/n  -0.945 -0.070  -0.945 -0.210  -0.945 -0.351  -0.917 -0.480  -0.817 -0.579  -0.755 -0.694  -0.755 -0.835  -0.755 -0.976  -0.755 -0.931  -0.755 -0.790  -0.755 -0.650  -0.661 -0.548  -0.564 -0.447  -0.564 -0.307  -0.564 -0.166  -0.544 -0.030  -0.481 0.096  -0.418 0.222  -0.373 0.352  -0.373 0.492  -0.373 0.633  -0.373 0.774  -0.343 0.884  -0.202 0.884  -0.182 1.005  -0.132 1.125  -0.033 1.224  0.091 1.265  0.199 1.233  0.199 1.092  0.286 0.988  0.386 0.888  0.485 0.789  0.581 0.688  0.581 0.547  0.581 0.406  0.613 0.279  0.713 0.180  0.771 0.063  0.771 -0.077  0.771 -0.218  0.771 -0.359  0.805 -0.485  0.905 -0.585  0.962 -0.702  0.962 -0.842  0.962 -0.983  0.962 -1.124  0.962 -1.264  0.962 -1.405
2#app#app12#app1222/e  -0.475 -0.243  -0.472 -0.406  -0.312 -0.400  -0.302 -0.243  -0.135 -0.243  0.027 -0.231  0.144 -0.113  0.297 -0.079  0.428 0.007  0.505 0.141  0.548 0.290  0.666 0.408  0.668 0.573  0.670 0.739  0.788 0.857  0.832 1.005  0.832 1.172  0.832 1.338  0.717 1.391  0.551 1.391  0.420 1.305  0.285 1.227  0.136 1.185  0.019 1.067  -0.099 0.950  -0.217 0.832  -0.312 0.704  -0.337 0.548  -0.455 0.431  -0.573 0.313  -0.638 0.173  -0.638 0.007  -0.638 -0.160  -0.722 -0.243  -0.802 -0.329  -0.802 -0.496  -0.802 -0.663  -0.733 -0.801  -0.638 -0.928  -0.603 -1.059  -0.475 -1.098  -0.433 -1.223  -0.267 -1.223  -0.100 -1.223  0.067 -1.223  0.217 -1.184  0.335 -1.066  0.499 -1.059  0.665 -1.059  0.832 -1.059
2#app#app12#app1222/w  -1.013 1.079  -1.013 0.910  -1.013 0.741  -1.013 0.572  -1.013 0.403  -1.013 0.234  -1.013 0.065  -1.013 -0.104  -0.953 -0.248  -0.887 -0.390  -0.887 -0.559  -0.863 -0.718  -0.760 -0.844  -0.694 -0.948  -0.557 -0.871  -0.507 -0.723  -0.408 -0.595  -0.380 -0.437  -0.380 -0.268  -0.380 -0.100  -0.288 0.031  -0.253 0.186  -0.228 0.344  -0.127 0.472  -0.127 0.641  -0.127 0.810  -0.127 0.672  -0.127 0.503  -0.127 0.334  -0.127 0.165  -0.078 0.017  -0.000 -0.120  0.101 -0.188  0.139 -0.326  0.253 -0.448  0.302 -0.568  0.471 -0.568  0.640 -0.568  0.809 -0.568  0.951 -0.503  1.071 -0.383  1.190 -0.264  1.266 -0.126  1.340 0.013  1.393 0.160  1.489 0.289  1.520 0.445  1.520 0.614  1.520 0.783  1.520 0.952
2#app#app12#app1222/t  0.151 2.040  0.151 1.872  0.138 1.716  -0.011 1.697  -0.011 1.528  -0.011 1.359  -0.011 1.190  -0.011 1.022  -0.011 0.853  -0.011 0.684  -0.011 0.516  -0.011 0.347  0.023 0.186  0.098 0.035  0.151 -0.121  0.151 -0.290  0.151 -0.458  0.151 -0.627  0.151 -0.796  0.210 -0.940  0.313 -1.066  0.313 -1.235  0.313 -1.403  0.355 -1.531  0.443 -1.495  0.330 -1.369  0.218 -1.244  0.105 -1.119  -0.008 -0.993  -0.121 -0.868  -0.234 -0.742  -0.347 -0.617  -0.460 -0.492  -0.572 -0.366  -0.685 -0.241  -0.798 -0.115  -0.911 0.010  -0.928 0.093  -0.759 0.093  -0.590 0.093  -0.422 0.093  -0.277 0.151  -0.151 0.255  0.017 0.255  0.186 0.255  0.355 0.255  0.509 0.289  0.629 0.408  0.794 0.417  0.962 0.417
2#app#app12#app1222/h  -0.549 2.043  -0.544 1.892  -0.477 1.757  -0.409 1.621  -0.407 1.470  -0.407 1.318  -0.407 1.166  -0.407 1.014  -0.407 0.863  -0.407 0.711  -0.407 0.559  -0.407 0.408  -0.407 0.256  -0.365 0.114  -0.297 -0.022  -0.265 -0.166  -0.265 -0.318  -0.265 -0.469  -0.265 -0.621  -0.265 -0.773  -0.265 -0.925  -0.265 -1.076  -0.265 -1.228  -0.265 -1.380  -0.265 -1.481  -0.265 -1.329  -0.233 -1.190  -0.126 -1.083  -0.123 -0.933  -0.123 -0.781  -0.105 -0.636  0.002 -0.529  0.019 -0.384  0.116 -0.273  0.161 -0.140  0.161 0.012  0.238 0.132  0.303 0.257  0.303 0.408  0.382 0.481  0.445 0.393  0.515 0.270  0.622 0.163  0.729 0.055  0.739 -0.086  0.885 -0.100  0.992 -0.208  1.013 -0.351  1.145 -0.370  1.155 -0.512
2#app#app12#app1222/a  -0.600 1.696  -0.411 1.696  -0.406 1.513  -0.280 1.377  -0.213 1.217  -0.125 1.116  -0.020 1.033  0.058 0.923  0.174 0.850  0.222 0.682  0.355 0.549  0.367 0.365  0.533 0.343  0.560 0.182  0.560 -0.006  0.711 -0.044  0.754 -0.190  0.895 -0.237  0.947 -0.373  0.947 -0.299  0.947 -0.111  0.826 -0.044  0.671 0.039  0.560 0.181  0.534 0.343  0.346 0.343  0.158 0.343  -0.031 0.343  -0.217 0.339  -0.350 0.206  -0.516 0.150  -0.673 0.076  -0.807 -0.057  -0.940 -0.190  -0.986 -0.359  -0.986 -0.547  -0.986 -0.736  -0.986 -0.924  -0.986 -1.112  -0.889 -1.204  -0.701 -1.204  -0.513 -1.204  -0.324 -1.204  -0.159 -1.149  -0.025 -1.016  0.160 -1.010  0.297 -0.886  0.431 -0.753  0.560 -0.619  0.560 -0.430
2#app#app12#app1222/t  -0.378 1.756  -0.378 1.583  -0.378 1.409  -0.378 1.236  -0.317 1.078  -0.239 0.923  -0.194 0.760  -0.194 0.587  -0.194 0.414  -0.194 0.241  -0.194 0.068  -0.194 -0.105  -0.194 -0.279  -0.116 -0.433  -0.039 -0.588  -0.009 -0.754  -0.009 -0.928  0.028 -1.092  0.106 -1.247  0.176 -1.403  0.179 -1.576  0.301 -1.698  0.330 -1.676  0.268 -1.514  0.205 -1.353  0.143 -1.191  0.081 -1.029  0.019 -0.868  -0.043 -0.706  -0.105 -0.545  -0.168 -0.383  -0.230 -0.221  -0.292 -0.060  -0.354 0.102  -0.416 0.264  -0.478 0.425  -0.541 0.587  -0.563 0.536  -0.466 0.461  -0.292 0.461  -0.141 0.514  -0.019 0.636  0.150 0.646  0.324 0.646  0.497 0.646  0.670 0.646  0.843 0.646  0.987 0.717  1.113 0.831  1.286 0.831
2#app#app12#app1222/s  0.055 1.247  0.195 1.247  0.208 1.375  0.208 1.285  0.106 1.247  -0.008 1.184  -0.111 1.094  -0.252 1.094  -0.252 0.953  -0.342 0.850  -0.441 0.751  -0.541 0.652  -0.674 0.634  -0.711 0.531  -0.775 0.417  -0.878 0.328  -1.018 0.327  -1.018 0.187  -0.890 0.174  -0.749 0.174  -0.609 0.174  -0.468 0.174  -0.328 0.174  -0.188 0.174  -0.047 0.174  0.093 0.174  0.234 0.174  0.374 0.174  0.514 0.174  0.514 0.034  0.642 0.021  0.668 -0.094  0.770 -0.132  0.821 -0.221  0.821 -0.362  0.776 -0.484  0.677 -0.583  0.668 -0.719  0.587 -0.826  0.514 -0.937  0.489 -1.052  0.361 -1.064  0.361 -1.205  0.221 -1.205  0.208 -1.332  0.093 -1.358  -0.047 -1.358  -0.162 -1.421  -0.265 -1.511  -0.405 -1.511
2#app#app12#app1222/o  -0.116 1.091  -0.269 1.091  -0.311 0.979  -0.381 0.896  -0.507 0.868  -0.507 0.714  -0.507 0.561  -0.575 0.436  -0.684 0.327  -0.702 0.181  -0.702 0.028  -0.702 -0.126  -0.702 -0.280  -0.702 -0.433  -0.702 -0.587  -0.702 -0.740  -0.702 -0.894  -0.702 -1.047  -0.602 -1.159  -0.488 -1.255  -0.335 -1.255  -0.181 -1.255  -0.027 -1.255  0.113 -1.222  0.221 -1.114  0.352 -1.059  0.471 -1.025  0.471 -0.871  0.575 -0.760  0.666 -0.645  0.666 -0.491  0.666 -0.338  0.760 -0.277  0.862 -0.226  0.862 -0.073  0.862 0.081  0.862 0.234  0.862 0.388  0.836 0.531  0.727 0.639  0.599 0.700  0.471 0.726  0.471 0.879  0.334 0.896  0.180 0.896  0.042 0.933  -0.066 1.042  -0.199 1.091  -0.353 1.091  -0.507 1.091
2#app#app12#app1222/m  -0.930 1.093  -0.930 0.866  -0.930 0.639  -0.930 0.412  -0.930 0.186  -0.930 -0.041  -0.930 -0.268  -0.930 -0.495  -0.930 -0.721  -0.930 -0.948  -0.930 -0.804  -0.915 -0.584  -0.800 -0.404  -0.778 -0.187  -0.670 -0.005  -0.642 0.210  -0.540 0.395  -0.540 0.622  -0.410 0.718  -0.410 0.945  -0.280 1.118  -0.280 1.101  -0.150 1.004  -0.150 0.778  -0.042 0.595  -0.019 0.378  -0.019 0.151  -0.019 -0.076  0.047 -0.275  0.111 -0.475  0.111 -0.702  0.241 -0.875  0.320 -0.910  0.389 -0.712  0.501 -0.532  0.631 -0.435  0.631 -0.208  0.631 0.019  0.695 0.182  0.761 0.342  0.851 0.532  1.050 0.544  1.152 0.360  1.152 0.133  1.152 -0.094  1.152 -0.320  1.282 -0.493  1.282 -0.720  1.344 -0.921  1.412 -1.120
2#app#app12#app1222/e  -0.752 -0.629  -0.591 -0.629  -0.587 -0.473  -0.435 -0.464  -0.318 -0.360  -0.205 -0.246  -0.091 -0.133  0.022 -0.019  0.163 0.029  0.235 0.117  0.294 0.253  0.408 0.366  0.521 0.480  0.564 0.622  0.564 0.783  0.564 0.943  0.564 1.103  0.564 1.264  0.485 1.345  0.324 1.345  0.164 1.345  0.004 1.345  -0.138 1.300  -0.252 1.187  -0.365 1.073  -0.423 0.937  -0.423 0.776  -0.494 0.687  -0.587 0.620  -0.587 0.460  -0.587 0.299  -0.587 0.139  -0.537 0.029  -0.423 -0.017  -0.423 -0.178  -0.406 -0.334  -0.334 -0.478  -0.262 -0.621  -0.106 -0.629  -0.094 -0.777  -0.030 -0.922  0.042 -1.065  0.167 -1.122  0.301 -1.188  0.400 -1.307  0.416 -1.451  0.576 -1.451  0.737 -1.451  0.897 -1.451  1.058 -1.451
