2#app#app11#app1169/L  -0.459 1.835  -0.388 1.765  -0.324 1.691  -0.324 1.591  -0.324 1.491  -0.324 1.391  -0.324 1.292  -0.324 1.192  -0.324 1.092  -0.324 0.992  -0.324 0.892  -0.324 0.792  -0.324 0.692  -0.324 0.593  -0.324 0.493  -0.324 0.393  -0.324 0.293  -0.324 0.193  -0.324 0.093  -0.324 -0.007  -0.324 -0.107  -0.324 -0.206  -0.324 -0.306  -0.324 -0.406  -0.324 -0.506  -0.324 -0.606  -0.324 -0.706  -0.324 -0.806  -0.324 -0.905  -0.301 -0.982  -0.201 -0.982  -0.190 -0.893  -0.135 -0.848  -0.036 -0.848  0.064 -0.848  0.164 -0.848  0.212 -0.796  0.230 -0.714  0.330 -0.714  0.430 -0.714  0.515 -0.679  0.586 -0.608  0.674 -0.579  0.771 -0.568  0.860 -0.524  0.949 -0.479  1.041 -0.445  1.141 -0.445  1.215 -0.382  1.285 -0.311
1b#uqb#re/L  -0.582 1.360  -0.579 1.439  -0.547 1.513  -0.516 1.457  -0.502 1.379  -0.487 1.300  -0.472 1.221  -0.458 1.143  -0.446 1.064  -0.435 0.984  -0.426 0.905  -0.417 0.825  -0.409 0.746  -0.402 0.666  -0.394 0.586  -0.391 0.506  -0.394 0.426  -0.397 0.346  -0.400 0.266  -0.400 0.187  -0.384 0.108  -0.368 0.030  -0.352 -0.049  -0.336 -0.127  -0.303 -0.199  -0.263 -0.268  -0.225 -0.339  -0.189 -0.410  -0.163 -0.484  -0.120 -0.551  -0.078 -0.619  -0.047 -0.690  -0.002 -0.753  0.073 -0.772  0.148 -0.797  0.224 -0.822  0.304 -0.825  0.384 -0.825  0.464 -0.825  0.544 -0.825  0.624 -0.825  0.704 -0.825  0.784 -0.825  0.864 -0.825  0.944 -0.833  1.023 -0.841  1.103 -0.849  1.183 -0.849  1.262 -0.837  1.255 -0.765
1b#uqb#re/L  -0.354 1.122  -0.332 1.203  -0.384 1.271  -0.426 1.344  -0.490 1.401  -0.493 1.397  -0.469 1.314  -0.446 1.232  -0.422 1.149  -0.418 1.063  -0.412 0.977  -0.404 0.892  -0.396 0.806  -0.388 0.720  -0.380 0.634  -0.376 0.548  -0.373 0.462  -0.369 0.376  -0.376 0.291  -0.395 0.207  -0.413 0.123  -0.418 0.037  -0.418 -0.049  -0.418 -0.135  -0.418 -0.221  -0.399 -0.304  -0.368 -0.384  -0.331 -0.461  -0.283 -0.533  -0.241 -0.608  -0.192 -0.664  -0.113 -0.692  -0.027 -0.702  0.058 -0.711  0.131 -0.719  0.217 -0.708  0.302 -0.705  0.387 -0.719  0.471 -0.738  0.555 -0.757  0.637 -0.785  0.718 -0.812  0.800 -0.839  0.882 -0.866  0.955 -0.906  1.041 -0.911  1.127 -0.916  1.212 -0.927  1.296 -0.917  1.354 -0.879
1b#uqb#re/L  -0.397 1.433  -0.432 1.510  -0.457 1.540  -0.440 1.457  -0.424 1.374  -0.412 1.291  -0.423 1.207  -0.430 1.123  -0.437 1.039  -0.444 0.954  -0.450 0.870  -0.454 0.785  -0.459 0.701  -0.462 0.616  -0.466 0.532  -0.469 0.447  -0.472 0.363  -0.470 0.278  -0.460 0.194  -0.451 0.110  -0.441 0.026  -0.432 -0.058  -0.422 -0.142  -0.413 -0.226  -0.403 -0.310  -0.388 -0.393  -0.356 -0.471  -0.325 -0.550  -0.281 -0.622  -0.228 -0.682  -0.150 -0.708  -0.080 -0.744  0.003 -0.733  0.087 -0.721  0.171 -0.709  0.255 -0.710  0.339 -0.717  0.424 -0.723  0.508 -0.730  0.593 -0.734  0.677 -0.737  0.762 -0.741  0.846 -0.744  0.929 -0.728  1.012 -0.711  1.095 -0.694  1.178 -0.681  1.257 -0.711  1.336 -0.742  1.356 -0.680
1b#uqb#re/L  -0.442 1.284  -0.508 1.342  -0.577 1.397  -0.600 1.402  -0.574 1.317  -0.549 1.233  -0.545 1.147  -0.562 1.060  -0.566 0.974  -0.554 0.886  -0.542 0.799  -0.548 0.713  -0.573 0.628  -0.598 0.543  -0.614 0.458  -0.590 0.373  -0.566 0.289  -0.548 0.203  -0.548 0.115  -0.548 0.026  -0.537 -0.061  -0.526 -0.149  -0.506 -0.235  -0.485 -0.320  -0.439 -0.389  -0.397 -0.467  -0.334 -0.526  -0.266 -0.579  -0.220 -0.573  -0.133 -0.558  -0.046 -0.543  0.041 -0.547  0.127 -0.569  0.211 -0.593  0.298 -0.609  0.385 -0.624  0.472 -0.639  0.558 -0.657  0.645 -0.674  0.732 -0.675  0.820 -0.667  0.908 -0.660  0.996 -0.651  1.084 -0.641  1.172 -0.632  1.260 -0.628  1.348 -0.624  1.404 -0.606  1.332 -0.564  1.251 -0.527
1b#uqb#re/L  -0.174 1.448  -0.199 1.526  -0.241 1.598  -0.253 1.552  -0.239 1.470  -0.224 1.387  -0.210 1.305  -0.201 1.222  -0.201 1.139  -0.201 1.055  -0.201 0.972  -0.210 0.889  -0.223 0.807  -0.237 0.724  -0.251 0.642  -0.268 0.560  -0.288 0.479  -0.307 0.398  -0.327 0.317  -0.342 0.235  -0.352 0.152  -0.362 0.069  -0.371 -0.014  -0.380 -0.097  -0.385 -0.180  -0.389 -0.264  -0.393 -0.347  -0.370 -0.426  -0.338 -0.503  -0.302 -0.578  -0.259 -0.649  -0.214 -0.720  -0.165 -0.787  -0.113 -0.852  -0.037 -0.885  0.040 -0.918  0.121 -0.927  0.204 -0.919  0.287 -0.910  0.370 -0.907  0.452 -0.919  0.535 -0.931  0.618 -0.920  0.700 -0.908  0.783 -0.895  0.865 -0.896  0.948 -0.905  1.031 -0.914  1.112 -0.902  1.161 -0.877
1b#uqb#re/L  -0.579 1.184  -0.587 1.271  -0.594 1.355  -0.590 1.440  -0.567 1.439  -0.542 1.355  -0.516 1.270  -0.494 1.185  -0.478 1.098  -0.463 1.011  -0.453 0.924  -0.449 0.836  -0.445 0.747  -0.431 0.660  -0.416 0.574  -0.405 0.486  -0.395 0.398  -0.388 0.310  -0.388 0.222  -0.388 0.134  -0.383 0.046  -0.371 -0.041  -0.359 -0.129  -0.344 -0.216  -0.327 -0.302  -0.337 -0.387  -0.364 -0.471  -0.351 -0.549  -0.299 -0.621  -0.220 -0.639  -0.133 -0.656  -0.046 -0.672  0.041 -0.688  0.127 -0.704  0.212 -0.731  0.296 -0.757  0.380 -0.739  0.465 -0.714  0.550 -0.696  0.637 -0.711  0.724 -0.725  0.811 -0.740  0.898 -0.753  0.985 -0.767  1.072 -0.780  1.158 -0.802  1.243 -0.823  1.231 -0.774  1.169 -0.711  1.107 -0.649
1b#uqb#re/L  -0.685 1.360  -0.657 1.422  -0.657 1.334  -0.657 1.246  -0.650 1.158  -0.638 1.071  -0.629 0.983  -0.624 0.896  -0.610 0.809  -0.595 0.722  -0.586 0.634  -0.586 0.546  -0.586 0.458  -0.591 0.370  -0.606 0.283  -0.620 0.196  -0.635 0.109  -0.649 0.022  -0.664 -0.065  -0.688 -0.149  -0.722 -0.231  -0.731 -0.312  -0.678 -0.378  -0.590 -0.375  -0.502 -0.370  -0.414 -0.366  -0.326 -0.367  -0.238 -0.373  -0.149 -0.378  -0.066 -0.405  0.021 -0.415  0.109 -0.424  0.197 -0.432  0.284 -0.441  0.372 -0.451  0.459 -0.466  0.546 -0.481  0.633 -0.496  0.720 -0.508  0.808 -0.514  0.896 -0.520  0.984 -0.526  1.072 -0.532  1.160 -0.530  1.248 -0.526  1.336 -0.522  1.424 -0.520  1.512 -0.520  1.601 -0.520  1.646 -0.505
1b#uqb#re/L  -0.555 1.389  -0.570 1.477  -0.631 1.546  -0.603 1.471  -0.580 1.380  -0.538 1.300  -0.486 1.222  -0.442 1.140  -0.422 1.048  -0.402 0.957  -0.367 0.870  -0.329 0.784  -0.314 0.694  -0.314 0.600  -0.314 0.506  -0.317 0.412  -0.328 0.319  -0.339 0.226  -0.350 0.133  -0.369 0.041  -0.389 -0.050  -0.408 -0.142  -0.428 -0.234  -0.437 -0.327  -0.441 -0.421  -0.445 -0.514  -0.471 -0.603  -0.453 -0.693  -0.379 -0.752  -0.302 -0.773  -0.214 -0.743  -0.127 -0.708  -0.040 -0.673  0.044 -0.636  0.136 -0.616  0.228 -0.602  0.322 -0.598  0.416 -0.593  0.509 -0.595  0.603 -0.600  0.697 -0.604  0.790 -0.612  0.883 -0.621  0.976 -0.634  1.067 -0.658  1.158 -0.681  1.249 -0.703  1.338 -0.728  1.384 -0.722  1.305 -0.676
1b#apa#apa13#app1324/L  -0.543 1.536  -0.543 1.442  -0.463 1.429  -0.435 1.362  -0.435 1.269  -0.435 1.175  -0.435 1.081  -0.435 0.988  -0.435 0.894  -0.435 0.800  -0.435 0.706  -0.435 0.613  -0.470 0.533  -0.536 0.467  -0.543 0.376  -0.574 0.290  -0.616 0.206  -0.650 0.120  -0.650 0.027  -0.650 -0.067  -0.650 -0.161  -0.650 -0.255  -0.650 -0.348  -0.650 -0.442  -0.621 -0.507  -0.532 -0.518  -0.466 -0.584  -0.384 -0.614  -0.291 -0.614  -0.197 -0.614  -0.103 -0.614  -0.009 -0.614  0.075 -0.574  0.159 -0.532  0.246 -0.507  0.340 -0.507  0.434 -0.507  0.527 -0.507  0.621 -0.507  0.715 -0.507  0.809 -0.507  0.902 -0.507  0.996 -0.507  1.090 -0.507  1.184 -0.507  1.277 -0.507  1.371 -0.507  1.465 -0.507  1.541 -0.548  1.608 -0.614
2#apb#apb18#app1815/L  -0.131 1.714  -0.110 1.663  -0.124 1.581  -0.142 1.500  -0.162 1.420  -0.182 1.339  -0.202 1.259  -0.222 1.178  -0.241 1.098  -0.261 1.017  -0.280 0.937  -0.300 0.856  -0.317 0.775  -0.325 0.693  -0.333 0.610  -0.341 0.528  -0.349 0.445  -0.357 0.363  -0.365 0.280  -0.371 0.197  -0.377 0.115  -0.383 0.032  -0.389 -0.051  -0.392 -0.133  -0.388 -0.216  -0.384 -0.299  -0.380 -0.382  -0.372 -0.464  -0.348 -0.543  -0.325 -0.623  -0.302 -0.703  -0.238 -0.755  -0.173 -0.806  -0.095 -0.832  -0.015 -0.853  0.065 -0.875  0.148 -0.872  0.231 -0.868  0.314 -0.864  0.396 -0.860  0.479 -0.860  0.562 -0.860  0.645 -0.860  0.728 -0.860  0.811 -0.860  0.894 -0.860  0.977 -0.860  1.060 -0.860  1.143 -0.860  1.225 -0.860
2#tos#f2#f2024065/L  -0.289 1.477  -0.346 1.512  -0.414 1.474  -0.455 1.392  -0.464 1.302  -0.476 1.211  -0.487 1.120  -0.499 1.029  -0.546 0.951  -0.570 0.866  -0.570 0.774  -0.570 0.683  -0.570 0.591  -0.570 0.499  -0.570 0.407  -0.570 0.315  -0.570 0.223  -0.570 0.131  -0.570 0.040  -0.570 -0.052  -0.556 -0.142  -0.535 -0.230  -0.530 -0.321  -0.500 -0.406  -0.500 -0.497  -0.500 -0.589  -0.438 -0.655  -0.364 -0.699  -0.280 -0.734  -0.188 -0.734  -0.096 -0.734  -0.005 -0.734  0.087 -0.734  0.179 -0.734  0.267 -0.712  0.357 -0.699  0.444 -0.672  0.529 -0.638  0.618 -0.616  0.708 -0.598  0.796 -0.571  0.880 -0.536  0.960 -0.490  1.039 -0.443  1.123 -0.418  1.212 -0.397  1.299 -0.368  1.361 -0.321  1.409 -0.278  1.466 -0.243
1b#apb#apb38#app3815/L  0.268 1.688  0.257 1.754  0.208 1.666  0.163 1.576  0.119 1.486  0.087 1.390  0.055 1.295  0.023 1.199  -0.007 1.103  -0.036 1.007  -0.064 0.910  -0.093 0.814  -0.121 0.717  -0.155 0.622  -0.189 0.528  -0.223 0.433  -0.256 0.338  -0.291 0.244  -0.330 0.151  -0.369 0.058  -0.408 -0.035  -0.448 -0.127  -0.485 -0.220  -0.522 -0.314  -0.558 -0.408  -0.597 -0.501  -0.639 -0.592  -0.680 -0.684  -0.692 -0.784  -0.695 -0.885  -0.602 -0.901  -0.504 -0.883  -0.405 -0.864  -0.306 -0.844  -0.208 -0.822  -0.110 -0.800  -0.012 -0.774  0.084 -0.747  0.181 -0.719  0.278 -0.693  0.378 -0.678  0.477 -0.663  0.577 -0.648  0.677 -0.641  0.778 -0.636  0.878 -0.630  0.979 -0.623  1.079 -0.616  1.179 -0.619  1.279 -0.629
3#apa#apa14#app1443/L  -0.531 1.231  -0.531 1.324  -0.555 1.393  -0.648 1.393  -0.693 1.344  -0.693 1.251  -0.660 1.165  -0.618 1.082  -0.577 0.998  -0.535 0.915  -0.531 0.823  -0.531 0.729  -0.531 0.636  -0.531 0.543  -0.531 0.450  -0.531 0.357  -0.531 0.263  -0.509 0.173  -0.487 0.082  -0.464 -0.008  -0.442 -0.099  -0.419 -0.189  -0.396 -0.279  -0.374 -0.370  -0.369 -0.463  -0.369 -0.556  -0.369 -0.649  -0.341 -0.714  -0.247 -0.714  -0.170 -0.677  -0.104 -0.611  -0.035 -0.552  0.058 -0.552  0.152 -0.552  0.245 -0.552  0.338 -0.552  0.431 -0.552  0.524 -0.552  0.618 -0.552  0.711 -0.552  0.804 -0.552  0.897 -0.552  0.991 -0.552  1.084 -0.552  1.177 -0.552  1.265 -0.565  1.331 -0.631  1.397 -0.697  1.414 -0.645  1.414 -0.552
3#apa#apa14#app1443/L  -0.366 1.777  -0.271 1.777  -0.213 1.740  -0.213 1.645  -0.213 1.550  -0.213 1.454  -0.213 1.359  -0.213 1.264  -0.213 1.169  -0.213 1.074  -0.213 0.978  -0.213 0.883  -0.213 0.788  -0.213 0.693  -0.213 0.598  -0.213 0.502  -0.213 0.407  -0.213 0.312  -0.213 0.217  -0.213 0.122  -0.213 0.027  -0.213 -0.069  -0.213 -0.164  -0.213 -0.259  -0.213 -0.354  -0.213 -0.449  -0.213 -0.545  -0.213 -0.640  -0.213 -0.735  -0.213 -0.830  -0.213 -0.925  -0.213 -0.946  -0.213 -0.851  -0.213 -0.756  -0.197 -0.677  -0.102 -0.677  -0.022 -0.714  0.045 -0.782  0.120 -0.830  0.215 -0.830  0.311 -0.830  0.406 -0.830  0.501 -0.830  0.596 -0.830  0.691 -0.830  0.787 -0.830  0.882 -0.830  0.977 -0.830  1.072 -0.830  1.167 -0.830
1b#app#app40#app4092/L  0.205 1.734  0.205 1.643  0.205 1.551  0.205 1.459  0.176 1.379  0.111 1.314  0.046 1.249  -0.019 1.184  -0.084 1.119  -0.120 1.043  -0.120 0.951  -0.120 0.859  -0.120 0.767  -0.179 0.699  -0.244 0.634  -0.309 0.569  -0.374 0.505  -0.439 0.440  -0.446 0.351  -0.446 0.259  -0.446 0.167  -0.446 0.075  -0.446 -0.017  -0.446 -0.109  -0.446 -0.200  -0.446 -0.292  -0.446 -0.384  -0.446 -0.476  -0.446 -0.568  -0.446 -0.660  -0.446 -0.752  -0.446 -0.843  -0.380 -0.869  -0.288 -0.869  -0.196 -0.869  -0.104 -0.869  -0.012 -0.869  0.079 -0.869  0.171 -0.869  0.263 -0.869  0.355 -0.869  0.447 -0.869  0.539 -0.869  0.631 -0.869  0.722 -0.869  0.814 -0.869  0.906 -0.869  0.998 -0.869  1.090 -0.869  1.182 -0.869
3#app#app13#app1329/L  -0.092 1.941  -0.092 1.832  -0.092 1.723  -0.092 1.614  -0.092 1.505  -0.092 1.396  -0.092 1.287  -0.093 1.179  -0.171 1.102  -0.201 1.005  -0.201 0.896  -0.201 0.787  -0.201 0.678  -0.201 0.569  -0.231 0.467  -0.280 0.370  -0.309 0.268  -0.309 0.159  -0.329 0.055  -0.377 -0.043  -0.418 -0.142  -0.418 -0.251  -0.418 -0.360  -0.418 -0.469  -0.432 -0.573  -0.509 -0.650  -0.527 -0.751  -0.527 -0.860  -0.527 -0.969  -0.442 -0.994  -0.418 -0.909  -0.333 -0.885  -0.224 -0.885  -0.201 -0.800  -0.115 -0.776  -0.006 -0.776  0.078 -0.715  0.167 -0.668  0.276 -0.668  0.385 -0.668  0.481 -0.638  0.559 -0.561  0.667 -0.559  0.776 -0.559  0.778 -0.452  0.885 -0.450  0.994 -0.450  1.103 -0.450  1.212 -0.450  1.321 -0.450
1b#kai#kai0#scoh1/L  0.175 1.837  0.175 1.752  0.173 1.667  0.156 1.583  0.139 1.500  0.123 1.416  0.097 1.335  0.070 1.254  0.067 1.169  0.067 1.084  0.040 1.003  0.013 0.922  -0.008 0.840  -0.028 0.757  -0.052 0.675  -0.079 0.594  -0.106 0.513  -0.133 0.432  -0.147 0.350  -0.147 0.264  -0.147 0.179  -0.154 0.095  -0.174 0.012  -0.195 -0.071  -0.201 -0.155  -0.201 -0.241  -0.240 -0.314  -0.287 -0.385  -0.309 -0.464  -0.309 -0.549  -0.326 -0.631  -0.353 -0.712  -0.376 -0.794  -0.397 -0.877  -0.411 -0.957  -0.340 -1.005  -0.269 -1.052  -0.187 -1.062  -0.102 -1.062  -0.016 -1.062  0.066 -1.044  0.147 -1.017  0.231 -1.008  0.316 -1.008  0.398 -0.987  0.479 -0.960  0.563 -0.954  0.648 -0.954  0.734 -0.954  0.819 -0.954
