1c#apb#apb24#app2433/a  0.261 -0.345  0.411 -0.239  0.494 -0.089  0.530 0.091  0.555 0.273  0.585 0.454  0.608 0.636  0.623 0.818  0.583 0.998  0.506 1.160  0.354 1.254  0.178 1.293  -0.005 1.293  -0.178 1.233  -0.351 1.169  -0.503 1.067  -0.653 0.961  -0.791 0.840  -0.895 0.695  -0.963 0.524  -1.011 0.347  -1.050 0.168  -1.083 -0.013  -1.105 -0.195  -1.105 -0.378  -1.065 -0.556  -1.005 -0.729  -0.933 -0.898  -0.786 -1.000  -0.613 -1.043  -0.430 -1.043  -0.270 -0.959  -0.113 -0.863  0.042 -0.765  0.195 -0.663  0.305 -0.524  0.382 -0.358  0.449 -0.188  0.474 -0.006  0.471 0.177  0.442 0.251  0.382 0.087  0.425 -0.086  0.513 -0.246  0.581 -0.417  0.663 -0.580  0.770 -0.730  0.886 -0.871  1.040 -0.959  1.202 -1.043
1c#apb#apb24#app2433/l  0.188 1.612  0.116 1.591  0.083 1.512  0.049 1.434  0.015 1.355  -0.020 1.277  -0.055 1.199  -0.090 1.121  -0.135 1.048  -0.182 0.977  -0.230 0.906  -0.277 0.835  -0.325 0.763  -0.365 0.688  -0.398 0.609  -0.431 0.530  -0.463 0.451  -0.496 0.372  -0.524 0.291  -0.549 0.209  -0.574 0.127  -0.599 0.046  -0.624 -0.036  -0.610 -0.117  -0.580 -0.198  -0.551 -0.278  -0.522 -0.358  -0.479 -0.430  -0.419 -0.491  -0.358 -0.551  -0.298 -0.612  -0.237 -0.672  -0.160 -0.703  -0.077 -0.722  0.007 -0.742  0.090 -0.762  0.173 -0.781  0.257 -0.801  0.341 -0.817  0.426 -0.827  0.511 -0.837  0.596 -0.848  0.681 -0.858  0.766 -0.868  0.851 -0.878  0.932 -0.903  1.014 -0.928  1.096 -0.953  1.178 -0.978  1.260 -1.003
1c#apb#apb24#app2433/m  -1.058 0.558  -1.033 0.513  -1.033 0.312  -1.033 0.110  -1.033 -0.091  -1.033 -0.293  -1.008 -0.492  -0.975 -0.691  -0.931 -0.888  -0.897 -1.085  -0.840 -0.960  -0.804 -0.765  -0.785 -0.565  -0.755 -0.366  -0.730 -0.166  -0.705 0.034  -0.670 0.233  -0.635 0.431  -0.599 0.629  -0.562 0.827  -0.488 1.013  -0.366 1.142  -0.178 1.080  -0.059 0.925  0.040 0.749  0.130 0.569  0.205 0.383  0.253 0.188  0.292 -0.009  0.306 -0.210  0.324 -0.411  0.339 -0.612  0.379 -0.803  0.524 -0.688  0.580 -0.495  0.619 -0.297  0.662 -0.100  0.698 0.098  0.713 0.298  0.754 0.495  0.813 0.687  0.926 0.621  0.984 0.428  1.053 0.239  1.125 0.051  1.179 -0.143  1.232 -0.338  1.284 -0.532  1.339 -0.725  1.456 -0.889
1c#apb#apb24#app2433/n  -0.475 0.632  -0.475 0.476  -0.482 0.321  -0.510 0.167  -0.535 0.013  -0.535 -0.142  -0.535 -0.298  -0.535 -0.454  -0.535 -0.610  -0.535 -0.766  -0.535 -0.922  -0.535 -1.078  -0.535 -1.234  -0.510 -1.329  -0.496 -1.190  -0.526 -1.037  -0.535 -0.882  -0.535 -0.726  -0.535 -0.570  -0.535 -0.414  -0.535 -0.258  -0.535 -0.103  -0.535 0.053  -0.535 0.209  -0.520 0.364  -0.500 0.519  -0.481 0.674  -0.420 0.814  -0.339 0.948  -0.241 1.065  -0.117 1.160  0.012 1.224  0.162 1.183  0.312 1.140  0.444 1.057  0.575 0.973  0.685 0.866  0.773 0.738  0.862 0.610  0.929 0.471  0.972 0.321  1.015 0.171  1.045 0.019  1.069 -0.135  1.086 -0.289  1.056 -0.442  1.030 -0.595  1.030 -0.751  1.041 -0.905  1.090 -1.053
1c#apb#apb24#app2433/o  -0.033 0.706  -0.036 0.845  -0.145 0.932  -0.255 0.895  -0.354 0.796  -0.453 0.697  -0.552 0.598  -0.646 0.495  -0.712 0.371  -0.778 0.247  -0.843 0.123  -0.899 -0.005  -0.940 -0.139  -0.982 -0.273  -0.963 -0.408  -0.923 -0.542  -0.854 -0.663  -0.774 -0.778  -0.681 -0.879  -0.560 -0.949  -0.439 -1.020  -0.306 -1.049  -0.166 -1.049  -0.026 -1.049  0.115 -1.049  0.252 -1.027  0.389 -0.995  0.525 -0.963  0.655 -0.915  0.764 -0.828  0.874 -0.740  0.944 -0.622  1.002 -0.494  1.019 -0.364  0.978 -0.230  0.937 -0.096  0.882 0.033  0.822 0.160  0.762 0.287  0.701 0.413  0.619 0.527  0.538 0.641  0.456 0.755  0.356 0.852  0.248 0.942  0.140 1.032  0.024 1.110  -0.096 1.182  -0.223 1.234  -0.362 1.254
1c#apb#apb24#app2433/p  -0.605 0.084  -0.643 -0.067  -0.682 -0.222  -0.706 -0.381  -0.706 -0.541  -0.685 -0.700  -0.653 -0.857  -0.622 -1.015  -0.551 -1.151  -0.437 -1.265  -0.370 -1.140  -0.327 -0.985  -0.311 -0.828  -0.368 -0.678  -0.426 -0.528  -0.493 -0.382  -0.560 -0.236  -0.600 -0.082  -0.628 0.077  -0.655 0.235  -0.637 0.394  -0.618 0.554  -0.580 0.707  -0.500 0.846  -0.421 0.986  -0.310 1.100  -0.191 1.208  -0.052 1.265  0.108 1.265  0.267 1.252  0.420 1.205  0.568 1.149  0.687 1.041  0.806 0.933  0.886 0.795  0.958 0.651  1.029 0.507  1.050 0.348  1.071 0.189  1.053 0.032  1.014 -0.124  0.971 -0.278  0.887 -0.415  0.803 -0.551  0.676 -0.640  0.530 -0.708  0.378 -0.750  0.218 -0.763  0.058 -0.770  -0.103 -0.770
1c#apb#apb24#app2433/q  -0.408 1.411  -0.614 1.492  -0.720 1.293  -0.815 1.080  -0.911 0.869  -0.954 0.641  -0.978 0.411  -0.978 0.178  -0.978 -0.054  -0.934 -0.280  -0.811 -0.462  -0.611 -0.572  -0.379 -0.594  -0.153 -0.542  0.062 -0.460  0.263 -0.343  0.400 -0.160  0.486 0.047  0.486 0.280  0.381 0.484  0.262 0.683  0.058 0.794  -0.151 0.896  -0.372 0.950  -0.295 0.858  -0.068 0.842  0.165 0.842  0.392 0.856  0.295 0.842  0.165 0.846  0.134 0.723  0.114 0.493  0.058 0.267  -0.004 0.043  -0.072 -0.179  -0.083 -0.410  -0.083 -0.643  -0.002 -0.860  0.105 -1.063  0.253 -1.242  0.402 -1.411  0.632 -1.422  0.836 -1.319  1.030 -1.190  1.218 -1.121  1.039 -0.981  0.828 -0.884  0.621 -0.779  0.420 -0.663  0.269 -0.486
1c#apb#apb24#app2433/r  -0.800 0.580  -0.889 0.686  -0.964 0.798  -0.874 0.719  -0.792 0.607  -0.711 0.495  -0.642 0.375  -0.575 0.253  -0.513 0.129  -0.459 0.002  -0.404 -0.125  -0.350 -0.253  -0.315 -0.387  -0.284 -0.522  -0.253 -0.657  -0.229 -0.793  -0.210 -0.930  -0.190 -1.067  -0.156 -1.200  -0.094 -1.324  -0.046 -1.454  0.023 -1.545  0.121 -1.447  0.192 -1.335  0.216 -1.199  0.241 -1.062  0.248 -0.924  0.248 -0.786  0.248 -0.647  0.240 -0.509  0.222 -0.372  0.204 -0.234  0.185 -0.097  0.160 0.039  0.133 0.175  0.105 0.311  0.078 0.447  0.051 0.583  0.024 0.718  0.019 0.856  0.087 0.962  0.199 1.042  0.334 1.073  0.469 1.104  0.604 1.135  0.742 1.143  0.881 1.149  1.019 1.156  1.158 1.163  1.296 1.169
1c#apb#apb24#app2433/s  0.936 1.035  0.807 1.024  0.677 1.012  0.548 1.000  0.418 0.992  0.288 0.983  0.158 0.974  0.028 0.967  -0.102 0.976  -0.232 0.985  -0.361 0.995  -0.489 0.986  -0.610 0.940  -0.732 0.893  -0.845 0.829  -0.958 0.764  -0.995 0.649  -0.969 0.521  -0.864 0.447  -0.756 0.375  -0.648 0.303  -0.538 0.233  -0.428 0.163  -0.318 0.093  -0.206 0.028  -0.091 -0.034  0.023 -0.097  0.140 -0.151  0.266 -0.186  0.391 -0.220  0.509 -0.268  0.601 -0.360  0.693 -0.452  0.789 -0.538  0.901 -0.605  0.936 -0.715  0.873 -0.826  0.757 -0.883  0.638 -0.936  0.516 -0.978  0.387 -0.995  0.258 -1.012  0.129 -1.030  0.001 -1.053  -0.123 -1.091  -0.247 -1.129  -0.372 -1.168  -0.500 -1.181  -0.630 -1.181  -0.656 -1.077
1c#apb#apb24#app2433/t  -0.200 1.148  -0.138 1.312  -0.060 1.467  0.040 1.509  0.084 1.343  0.118 1.171  0.155 1.000  0.192 0.829  0.221 0.657  0.241 0.483  0.262 0.309  0.291 0.137  0.336 -0.032  0.381 -0.201  0.413 -0.373  0.433 -0.546  0.453 -0.720  0.479 -0.893  0.510 -1.065  0.543 -1.237  0.577 -1.409  0.666 -1.551  0.618 -1.446  0.484 -1.333  0.351 -1.220  0.217 -1.107  0.083 -0.994  -0.050 -0.881  -0.184 -0.768  -0.318 -0.655  -0.451 -0.542  -0.585 -0.429  -0.719 -0.316  -0.853 -0.204  -0.986 -0.091  -1.120 0.022  -1.180 0.170  -1.126 0.334  -0.968 0.380  -0.795 0.407  -0.622 0.431  -0.448 0.453  -0.275 0.475  -0.101 0.496  0.072 0.518  0.246 0.543  0.419 0.568  0.592 0.593  0.765 0.617  0.939 0.642
1c#apb#apb24#app2433/u  -1.096 0.918  -1.150 1.054  -1.213 1.104  -1.175 0.963  -1.139 0.821  -1.107 0.678  -1.081 0.534  -1.056 0.390  -1.035 0.245  -1.021 0.099  -1.008 -0.046  -0.995 -0.192  -0.981 -0.338  -0.905 -0.458  -0.807 -0.566  -0.694 -0.660  -0.572 -0.739  -0.444 -0.808  -0.297 -0.808  -0.153 -0.790  -0.012 -0.752  0.129 -0.713  0.271 -0.675  0.412 -0.636  0.477 -0.511  0.517 -0.372  0.529 -0.226  0.540 -0.080  0.529 0.066  0.512 0.211  0.495 0.357  0.479 0.502  0.466 0.648  0.451 0.794  0.427 0.938  0.379 0.870  0.436 0.737  0.514 0.613  0.581 0.483  0.641 0.349  0.696 0.214  0.729 0.071  0.762 -0.071  0.802 -0.212  0.848 -0.351  0.914 -0.481  0.989 -0.607  1.064 -0.732  1.140 -0.858  1.215 -0.983
1c#apb#apb24#app2433/v  -0.758 0.442  -0.857 0.462  -0.876 0.422  -0.886 0.326  -0.854 0.230  -0.822 0.134  -0.803 0.035  -0.789 -0.065  -0.774 -0.165  -0.760 -0.265  -0.745 -0.365  -0.730 -0.465  -0.714 -0.565  -0.703 -0.665  -0.703 -0.767  -0.703 -0.868  -0.679 -0.963  -0.619 -1.037  -0.525 -1.075  -0.442 -1.031  -0.361 -0.970  -0.281 -0.908  -0.215 -0.832  -0.148 -0.756  -0.082 -0.680  -0.015 -0.604  0.052 -0.528  0.116 -0.450  0.174 -0.367  0.232 -0.284  0.290 -0.201  0.348 -0.119  0.406 -0.036  0.464 0.047  0.516 0.133  0.565 0.222  0.614 0.310  0.663 0.399  0.711 0.488  0.760 0.576  0.806 0.666  0.848 0.758  0.889 0.850  0.931 0.943  0.972 1.035  1.014 1.127  1.056 1.219  1.097 1.311  1.139 1.403  1.181 1.495
1c#apb#apb24#app2433/w  -1.057 0.652  -1.178 0.718  -1.232 0.597  -1.232 0.448  -1.222 0.299  -1.207 0.150  -1.207 0.001  -1.202 -0.148  -1.187 -0.297  -1.182 -0.446  -1.141 -0.583  -1.000 -0.577  -0.872 -0.508  -0.751 -0.420  -0.635 -0.327  -0.525 -0.225  -0.416 -0.124  -0.316 -0.014  -0.226 0.105  -0.136 0.225  -0.077 0.361  -0.018 0.499  0.016 0.641  -0.013 0.784  -0.084 0.775  -0.084 0.626  -0.057 0.481  -0.018 0.336  0.018 0.192  0.056 0.047  0.095 -0.097  0.157 -0.230  0.242 -0.353  0.332 -0.472  0.426 -0.588  0.524 -0.698  0.669 -0.734  0.807 -0.702  0.943 -0.639  1.078 -0.576  1.195 -0.484  1.311 -0.389  1.381 -0.267  1.415 -0.121  1.426 0.024  1.387 0.168  1.349 0.312  1.259 0.425  1.149 0.526  1.039 0.627
1c#apb#apb24#app2433/x  1.332 1.561  1.238 1.567  1.137 1.418  1.049 1.263  0.957 1.108  0.865 0.954  0.773 0.801  0.673 0.652  0.574 0.502  0.474 0.353  0.375 0.204  0.275 0.055  0.176 -0.094  0.076 -0.244  -0.015 -0.398  -0.106 -0.553  -0.196 -0.708  -0.274 -0.869  -0.349 -1.032  -0.424 -1.195  -0.448 -1.369  -0.391 -1.531  -0.244 -1.502  -0.084 -1.421  -0.090 -1.266  -0.137 -1.093  -0.184 -0.920  -0.231 -0.747  -0.277 -0.573  -0.324 -0.400  -0.371 -0.227  -0.417 -0.054  -0.464 0.119  -0.511 0.292  -0.558 0.466  -0.604 0.639  -0.651 0.812  -0.698 0.985  -0.684 1.024  -0.602 0.865  -0.531 0.700  -0.434 0.550  -0.334 0.400  -0.242 0.247  -0.156 0.089  -0.070 -0.068  0.063 -0.183  0.209 -0.288  0.355 -0.392  0.501 -0.496
1c#apb#apb24#app2433/y  -0.968 1.014  -1.022 0.933  -0.998 0.786  -0.969 0.637  -0.896 0.504  -0.823 0.371  -0.766 0.231  -0.710 0.090  -0.634 -0.041  -0.556 -0.171  -0.438 -0.257  -0.300 -0.318  -0.151 -0.334  0.000 -0.333  0.136 -0.266  0.258 -0.182  0.344 -0.058  0.431 0.067  0.518 0.191  0.605 0.316  0.691 0.440  0.778 0.564  0.865 0.689  0.952 0.813  1.038 0.937  1.098 1.061  1.007 1.138  0.920 1.014  0.843 0.883  0.767 0.752  0.679 0.629  0.582 0.513  0.485 0.396  0.402 0.270  0.331 0.136  0.261 0.002  0.190 -0.132  0.111 -0.261  0.019 -0.381  -0.074 -0.501  -0.163 -0.624  -0.238 -0.756  -0.313 -0.887  -0.389 -1.019  -0.467 -1.149  -0.545 -1.279  -0.614 -1.414  -0.682 -1.549  -0.776 -1.666  -0.821 -1.799
1c#apb#apb24#app2433/z  -0.351 1.013  -0.475 1.083  -0.511 1.100  -0.395 1.178  -0.253 1.178  -0.111 1.178  0.031 1.178  0.173 1.169  0.314 1.155  0.453 1.128  0.590 1.092  0.708 1.013  0.826 0.934  0.875 0.802  0.838 0.674  0.770 0.550  0.686 0.440  0.564 0.367  0.442 0.294  0.320 0.221  0.210 0.133  0.100 0.042  -0.010 -0.048  -0.119 -0.138  -0.234 -0.222  -0.351 -0.303  -0.468 -0.383  -0.585 -0.464  -0.702 -0.545  -0.818 -0.625  -0.935 -0.706  -1.057 -0.779  -1.134 -0.863  -1.070 -0.990  -0.935 -0.966  -0.797 -0.934  -0.658 -0.905  -0.518 -0.879  -0.378 -0.854  -0.239 -0.828  -0.099 -0.803  0.041 -0.778  0.181 -0.752  0.317 -0.714  0.454 -0.674  0.590 -0.634  0.726 -0.594  0.862 -0.554  0.999 -0.514  1.135 -0.474
