1c#apa#apa20#app2046/b  -0.233 1.360  -0.263 1.507  -0.349 1.631  -0.349 1.791  -0.349 1.929  -0.349 1.769  -0.349 1.609  -0.349 1.450  -0.349 1.290  -0.349 1.130  -0.349 0.971  -0.322 0.815  -0.271 0.664  -0.233 0.511  -0.233 0.351  -0.233 0.191  -0.233 0.032  -0.233 -0.128  -0.233 -0.288  -0.233 -0.447  -0.233 -0.607  -0.123 -0.721  -0.117 -0.878  -0.117 -1.038  -0.117 -1.184  -0.117 -1.024  -0.117 -0.865  -0.117 -0.705  -0.117 -0.545  -0.117 -0.386  -0.117 -0.226  -0.117 -0.066  -0.028 0.057  0.120 0.085  0.279 0.085  0.412 0.020  0.525 -0.093  0.638 -0.206  0.695 -0.342  0.811 -0.386  0.811 -0.546  0.811 -0.705  0.789 -0.843  0.649 -0.889  0.518 -0.959  0.358 -0.959  0.208 -0.982  0.087 -1.075  -0.073 -1.075  -0.233 -1.075
1c#apa#apa20#app2046/h  -0.518 1.155  -0.518 1.311  -0.539 1.458  -0.612 1.583  -0.693 1.705  -0.687 1.587  -0.618 1.448  -0.612 1.294  -0.609 1.139  -0.578 0.986  -0.548 0.834  -0.518 0.682  -0.518 0.526  -0.503 0.374  -0.434 0.235  -0.425 0.082  -0.421 -0.072  -0.351 -0.211  -0.282 -0.350  -0.237 -0.495  -0.227 -0.648  -0.157 -0.787  -0.143 -0.939  -0.078 -1.068  -0.035 -1.205  0.045 -1.327  0.045 -1.274  0.045 -1.119  0.062 -0.968  0.132 -0.829  0.138 -0.675  0.138 -0.519  0.138 -0.364  0.158 -0.213  0.228 -0.074  0.232 0.080  0.245 0.230  0.326 0.352  0.426 0.398  0.514 0.279  0.580 0.151  0.623 0.014  0.702 -0.109  0.777 -0.233  0.795 -0.381  0.797 -0.536  0.889 -0.653  0.889 -0.808  0.956 -0.948  0.983 -1.097
1c#apa#apa20#app2046/a  -0.717 0.977  -0.586 1.108  -0.558 1.281  -0.544 1.452  -0.360 1.452  -0.175 1.452  0.010 1.452  0.159 1.367  0.314 1.294  0.391 1.186  0.486 1.041  0.549 0.882  0.635 0.733  0.707 0.578  0.630 0.425  0.549 0.274  0.452 0.186  0.304 0.099  0.148 0.028  -0.036 0.028  -0.221 0.028  -0.406 0.028  -0.590 0.028  -0.775 0.028  -0.875 -0.057  -0.954 -0.209  -1.033 -0.361  -1.033 -0.546  -0.944 -0.694  -0.814 -0.824  -0.669 -0.921  -0.484 -0.921  -0.300 -0.921  -0.115 -0.921  0.070 -0.921  0.248 -0.906  0.379 -0.775  0.509 -0.644  0.549 -0.476  0.549 -0.291  0.525 -0.130  0.355 -0.166  0.233 -0.299  0.233 -0.484  0.278 -0.650  0.391 -0.788  0.427 -0.958  0.558 -1.088  0.688 -1.219  0.865 -1.238
1c#apa#apa20#app2046/r  -0.318 0.424  -0.372 0.315  -0.427 0.206  -0.478 0.096  -0.478 -0.026  -0.478 -0.148  -0.478 -0.270  -0.468 -0.388  -0.381 -0.474  -0.318 -0.570  -0.318 -0.692  -0.318 -0.814  -0.318 -0.937  -0.290 -1.047  -0.203 -1.133  -0.157 -1.236  -0.144 -1.353  -0.058 -1.439  0.003 -1.464  0.003 -1.342  0.003 -1.220  0.003 -1.098  0.003 -0.975  0.003 -0.853  0.003 -0.731  0.003 -0.609  0.003 -0.487  0.003 -0.365  0.003 -0.243  0.003 -0.121  0.003 0.001  0.003 0.124  0.003 0.246  0.003 0.368  0.003 0.490  0.003 0.612  0.003 0.734  0.003 0.856  0.003 0.978  0.027 1.090  0.114 1.177  0.200 1.263  0.286 1.349  0.393 1.387  0.515 1.387  0.637 1.387  0.759 1.387  0.881 1.387  1.003 1.387  1.126 1.387
1c#apa#apa20#app2046/m  -0.710 0.343  -0.710 0.100  -0.819 -0.098  -0.819 -0.341  -0.819 -0.584  -0.819 -0.827  -0.819 -1.070  -0.819 -1.314  -0.819 -1.255  -0.819 -1.012  -0.819 -0.768  -0.817 -0.526  -0.710 -0.308  -0.710 -0.065  -0.710 0.178  -0.675 0.413  -0.601 0.639  -0.601 0.882  -0.491 1.016  -0.353 1.079  -0.252 0.890  -0.115 0.744  -0.054 0.510  -0.020 0.275  0.055 0.050  0.055 -0.194  0.055 -0.437  0.055 -0.680  0.055 -0.923  0.055 -0.771  0.055 -0.528  0.099 -0.291  0.165 -0.059  0.165 0.184  0.202 0.419  0.332 0.621  0.492 0.797  0.522 1.029  0.622 1.218  0.820 1.109  0.930 0.975  1.039 0.777  1.039 0.534  1.076 0.306  1.148 0.093  1.148 -0.150  1.148 -0.394  1.148 -0.637  1.163 -0.874  1.258 -1.078
1c#apa#apa20#app2046/s  0.360 0.603  0.360 0.712  0.301 0.796  0.226 0.874  0.226 0.982  0.140 1.005  0.049 1.048  -0.028 1.125  -0.105 1.202  -0.184 1.273  -0.292 1.273  -0.401 1.273  -0.490 1.226  -0.567 1.150  -0.578 1.045  -0.529 0.957  -0.453 0.880  -0.444 0.775  -0.444 0.666  -0.412 0.571  -0.335 0.494  -0.258 0.417  -0.181 0.341  -0.120 0.251  -0.059 0.161  0.001 0.070  0.061 -0.020  0.129 -0.104  0.206 -0.181  0.283 -0.258  0.360 -0.334  0.360 -0.443  0.360 -0.552  0.401 -0.643  0.478 -0.720  0.494 -0.822  0.494 -0.931  0.494 -1.040  0.494 -1.148  0.494 -1.257  0.400 -1.272  0.291 -1.272  0.183 -1.272  0.074 -1.272  -0.035 -1.272  -0.143 -1.272  -0.252 -1.272  -0.361 -1.272  -0.469 -1.272  -0.578 -1.272
1c#apa#apa20#app2046/e  -1.225 0.066  -1.060 0.066  -0.896 0.066  -0.731 0.066  -0.566 0.066  -0.415 0.034  -0.298 -0.082  -0.137 -0.089  0.028 -0.089  0.192 -0.089  0.357 -0.089  0.522 -0.089  0.673 -0.058  0.790 0.058  0.951 0.066  0.953 0.228  0.953 0.393  0.953 0.558  0.953 0.722  0.915 0.863  0.768 0.937  0.625 1.017  0.509 1.133  0.354 1.155  0.189 1.155  0.024 1.155  -0.123 1.084  -0.271 1.010  -0.291 0.858  -0.442 0.844  -0.518 0.701  -0.592 0.554  -0.602 0.392  -0.602 0.227  -0.602 0.063  -0.602 -0.102  -0.602 -0.267  -0.589 -0.428  -0.515 -0.575  -0.447 -0.724  -0.432 -0.882  -0.316 -0.999  -0.199 -1.115  -0.083 -1.231  0.039 -1.334  0.196 -1.354  0.312 -1.471  0.469 -1.490  0.633 -1.490  0.798 -1.490
1c#apa#apa20#app2046/l  0.161 1.336  0.161 1.407  0.161 1.478  0.137 1.492  0.086 1.441  0.071 1.376  0.049 1.314  -0.002 1.263  -0.020 1.199  -0.020 1.128  -0.020 1.057  -0.020 0.985  -0.020 0.914  -0.020 0.842  -0.020 0.771  -0.020 0.700  -0.020 0.628  -0.020 0.557  -0.020 0.485  -0.020 0.414  -0.020 0.343  -0.020 0.271  -0.020 0.200  -0.020 0.128  -0.020 0.057  -0.020 -0.015  -0.020 -0.086  -0.020 -0.157  -0.020 -0.229  -0.020 -0.300  -0.020 -0.372  -0.020 -0.443  -0.020 -0.514  -0.020 -0.586  -0.020 -0.657  -0.020 -0.729  -0.020 -0.800  -0.020 -0.871  -0.020 -0.943  -0.020 -1.014  -0.020 -1.086  -0.020 -1.157  -0.020 -1.229  -0.020 -1.300  -0.020 -1.371  -0.020 -1.443  -0.020 -1.514  -0.020 -1.586  -0.020 -1.657  -0.020 -1.728
1c#apa#apa20#app2046/l  0.200 1.036  0.200 1.112  0.200 1.188  0.200 1.264  0.200 1.340  0.200 1.416  0.200 1.385  0.166 1.324  0.119 1.267  0.119 1.191  0.118 1.116  0.065 1.062  0.039 0.997  0.039 0.921  0.039 0.845  0.039 0.769  0.039 0.694  0.039 0.618  0.039 0.542  0.039 0.466  0.039 0.390  0.039 0.314  0.006 0.246  -0.028 0.179  -0.041 0.106  -0.041 0.030  -0.041 -0.046  -0.041 -0.122  -0.041 -0.197  -0.041 -0.273  -0.041 -0.349  -0.041 -0.425  -0.044 -0.500  -0.068 -0.572  -0.092 -0.644  -0.116 -0.716  -0.122 -0.791  -0.122 -0.867  -0.122 -0.943  -0.122 -1.018  -0.122 -1.094  -0.122 -1.170  -0.122 -1.246  -0.122 -1.322  -0.122 -1.398  -0.122 -1.473  -0.122 -1.549  -0.122 -1.625  -0.122 -1.701  -0.122 -1.777
1c#apa#apa20#app2046/e  -0.201 0.985  -0.030 0.985  -0.030 0.814  -0.030 0.643  -0.029 0.472  0.141 0.472  0.141 0.301  0.142 0.130  0.262 0.009  0.383 -0.112  0.513 -0.211  0.654 -0.242  0.684 -0.382  0.855 -0.382  0.995 -0.351  0.995 -0.180  0.995 -0.010  0.995 0.161  0.973 0.323  0.853 0.444  0.732 0.565  0.599 0.670  0.446 0.747  0.297 0.828  0.177 0.949  0.020 0.985  -0.151 0.985  -0.322 0.985  -0.493 0.985  -0.628 0.899  -0.736 0.769  -0.812 0.616  -0.884 0.462  -0.884 0.291  -0.884 0.120  -0.884 -0.051  -0.884 -0.222  -0.884 -0.393  -0.876 -0.561  -0.755 -0.682  -0.634 -0.803  -0.542 -0.935  -0.514 -1.094  -0.393 -1.215  -0.272 -1.336  -0.130 -1.407  0.041 -1.407  0.191 -1.457  0.312 -1.578  0.483 -1.578
1c#apa#apa20#app2046/r  -0.648 0.450  -0.591 0.335  -0.533 0.220  -0.513 0.096  -0.513 -0.032  -0.513 -0.161  -0.513 -0.289  -0.513 -0.418  -0.513 -0.546  -0.513 -0.675  -0.513 -0.803  -0.491 -0.923  -0.400 -1.014  -0.378 -1.133  -0.378 -1.261  -0.378 -1.390  -0.378 -1.365  -0.378 -1.236  -0.378 -1.108  -0.378 -0.979  -0.378 -0.851  -0.378 -0.722  -0.378 -0.594  -0.378 -0.465  -0.378 -0.337  -0.365 -0.213  -0.275 -0.122  -0.243 -0.007  -0.243 0.122  -0.243 0.250  -0.243 0.379  -0.217 0.501  -0.160 0.616  -0.099 0.729  -0.008 0.820  0.083 0.910  0.178 0.990  0.307 0.990  0.435 0.990  0.564 0.990  0.679 0.935  0.794 0.878  0.917 0.855  1.046 0.855  1.155 0.809  1.246 0.718  1.337 0.627  1.448 0.585  1.558 0.541  1.649 0.450
1c#apa#apa20#app2046/i  -0.000 0.181  -0.000 0.066  -0.026 -0.024  -0.142 -0.024  -0.205 -0.076  -0.205 -0.191  -0.260 -0.284  -0.342 -0.366  -0.410 -0.453  -0.410 -0.568  -0.410 -0.684  -0.410 -0.799  -0.410 -0.915  -0.410 -1.030  -0.410 -1.146  -0.404 -1.259  -0.323 -1.340  -0.241 -1.422  -0.190 -1.395  -0.162 -1.283  -0.134 -1.171  -0.106 -1.059  -0.078 -0.947  -0.050 -0.835  -0.022 -0.723  0.006 -0.611  0.034 -0.499  0.062 -0.387  0.090 -0.275  0.118 -0.163  0.146 -0.051  0.174 0.061  0.202 0.173  0.230 0.285  0.258 0.397  0.286 0.509  0.314 0.621  0.342 0.733  0.370 0.845  0.398 0.957  0.409 1.071  0.409 1.186  0.409 1.302  0.405 1.415  0.323 1.497  0.241 1.578  0.205 1.678  0.205 1.794  0.115 1.820  -0.000 1.820
1c#apa#apa20#app2046/n  -1.039 -0.219  -1.039 -0.359  -1.039 -0.498  -1.039 -0.638  -0.934 -0.672  -0.888 -0.766  -0.830 -0.882  -0.731 -0.980  -0.632 -1.079  -0.511 -1.125  -0.372 -1.125  -0.284 -1.073  -0.284 -0.933  -0.284 -0.794  -0.284 -0.654  -0.284 -0.514  -0.284 -0.375  -0.284 -0.235  -0.284 -0.095  -0.284 0.044  -0.284 0.184  -0.284 0.324  -0.284 0.463  -0.284 0.603  -0.284 0.743  -0.284 0.882  -0.261 1.013  -0.162 1.111  -0.133 1.239  -0.046 1.292  0.094 1.292  0.215 1.246  0.313 1.147  0.412 1.049  0.511 0.950  0.610 0.851  0.708 0.752  0.773 0.640  0.773 0.500  0.773 0.360  0.773 0.220  0.773 0.081  0.773 -0.059  0.866 -0.160  0.924 -0.276  0.924 -0.415  0.924 -0.555  0.924 -0.695  0.924 -0.834  0.924 -0.974
1c#apa#apa20#app2046/c  0.930 -0.152  0.930 -0.039  0.909 0.065  0.829 0.145  0.749 0.225  0.735 0.332  0.735 0.445  0.735 0.558  0.735 0.671  0.735 0.784  0.664 0.826  0.551 0.826  0.539 0.928  0.520 1.022  0.407 1.022  0.294 1.022  0.181 1.022  0.068 1.022  -0.045 1.022  -0.126 0.944  -0.206 0.864  -0.303 0.826  -0.416 0.826  -0.439 0.737  -0.439 0.624  -0.439 0.511  -0.456 0.401  -0.506 0.300  -0.557 0.199  -0.608 0.098  -0.635 -0.008  -0.635 -0.121  -0.635 -0.234  -0.635 -0.347  -0.635 -0.460  -0.635 -0.573  -0.635 -0.686  -0.592 -0.782  -0.512 -0.862  -0.439 -0.944  -0.439 -1.057  -0.399 -1.130  -0.286 -1.130  -0.193 -1.180  -0.114 -1.260  -0.034 -1.340  0.046 -1.420  0.126 -1.500  0.230 -1.521  0.343 -1.521
1c#apa#apa20#app2046/e  -0.204 0.312  -0.204 0.463  -0.204 0.614  -0.235 0.735  -0.345 0.693  -0.293 0.594  -0.204 0.531  -0.132 0.453  -0.005 0.394  0.113 0.312  0.264 0.312  0.415 0.312  0.501 0.378  0.501 0.529  0.501 0.681  0.501 0.832  0.393 0.876  0.276 0.959  0.149 1.017  -0.003 1.017  -0.154 1.017  -0.305 1.017  -0.345 0.905  -0.467 0.876  -0.580 0.782  -0.665 0.659  -0.733 0.524  -0.768 0.381  -0.768 0.230  -0.768 0.078  -0.768 -0.073  -0.768 -0.225  -0.681 -0.340  -0.593 -0.461  -0.526 -0.596  -0.442 -0.720  -0.332 -0.823  -0.196 -0.891  -0.061 -0.959  0.046 -1.066  0.153 -1.173  0.277 -1.239  0.428 -1.239  0.579 -1.239  0.731 -1.239  0.882 -1.239  1.033 -1.239  1.185 -1.239  1.336 -1.239  1.488 -1.239
1c#apa#apa20#app2046/w  -0.598 0.874  -0.638 1.026  -0.777 1.100  -0.830 0.980  -0.945 0.857  -1.021 0.706  -1.049 0.544  -1.049 0.375  -1.049 0.206  -1.049 0.036  -1.049 -0.133  -1.049 -0.302  -1.049 -0.471  -0.978 -0.623  -0.882 -0.760  -0.738 -0.819  -0.569 -0.819  -0.425 -0.758  -0.277 -0.706  -0.247 -0.556  -0.194 -0.396  -0.133 -0.240  -0.034 -0.112  -0.034 0.057  -0.034 0.226  -0.034 0.395  -0.034 0.507  -0.034 0.337  -0.034 0.168  -0.034 -0.001  -0.014 -0.161  0.079 -0.292  0.145 -0.434  0.265 -0.553  0.384 -0.673  0.540 -0.706  0.709 -0.706  0.878 -0.706  1.028 -0.659  1.128 -0.526  1.203 -0.375  1.207 -0.206  1.207 -0.037  1.207 0.132  1.207 0.301  1.207 0.470  1.207 0.639  1.094 0.761  1.094 0.930  1.094 1.100
1c#apa#apa20#app2046/i  -0.000 0.349  -0.000 0.230  -0.066 0.177  -0.172 0.165  -0.172 0.046  -0.172 -0.072  -0.172 -0.190  -0.172 -0.309  -0.172 -0.427  -0.172 -0.546  -0.172 -0.664  -0.172 -0.782  -0.172 -0.901  -0.172 -1.019  -0.172 -1.138  -0.128 -1.238  -0.044 -1.321  -0.000 -1.422  -0.000 -1.532  0.007 -1.414  0.014 -1.296  0.021 -1.178  0.028 -1.059  0.035 -0.941  0.042 -0.823  0.049 -0.705  0.055 -0.587  0.062 -0.468  0.069 -0.350  0.076 -0.232  0.083 -0.114  0.090 0.004  0.097 0.123  0.104 0.241  0.111 0.359  0.118 0.477  0.125 0.595  0.132 0.713  0.139 0.832  0.146 0.950  0.153 1.068  0.160 1.186  0.167 1.304  0.171 1.423  0.171 1.541  0.092 1.627  0.008 1.711  -0.000 1.825  -0.053 1.891  -0.172 1.891
1c#apa#apa20#app2046/n  -0.513 0.490  -0.624 0.379  -0.735 0.268  -0.784 0.131  -0.784 -0.026  -0.784 -0.184  -0.784 -0.341  -0.784 -0.498  -0.758 -0.649  -0.687 -0.789  -0.649 -0.937  -0.607 -1.085  -0.537 -1.225  -0.513 -1.377  -0.388 -1.409  -0.377 -1.263  -0.345 -1.138  -0.242 -1.084  -0.242 -0.927  -0.242 -0.770  -0.242 -0.613  -0.242 -0.456  -0.242 -0.299  -0.221 -0.146  -0.150 -0.006  -0.106 0.141  -0.106 0.298  -0.106 0.455  -0.106 0.612  -0.100 0.767  0.011 0.878  0.030 1.027  0.041 1.180  0.152 1.291  0.304 1.304  0.462 1.304  0.572 1.257  0.572 1.100  0.635 0.969  0.708 0.842  0.762 0.707  0.857 0.586  0.906 0.437  0.956 0.288  0.979 0.134  0.979 -0.023  0.979 -0.180  0.979 -0.337  1.003 -0.484  1.115 -0.595
