2#apb#apb05#app0542/3  -0.853 0.828  -1.010 0.807  -0.947 0.885  -0.796 0.930  -0.649 0.988  -0.512 1.068  -0.363 1.104  -0.204 1.104  -0.053 1.148  0.096 1.177  0.248 1.131  0.387 1.064  0.429 0.921  0.397 0.765  0.307 0.635  0.206 0.514  0.089 0.407  -0.035 0.309  -0.170 0.226  -0.306 0.143  -0.442 0.062  -0.589 0.004  -0.705 -0.033  -0.574 0.033  -0.431 0.102  -0.287 0.168  -0.130 0.190  0.027 0.209  0.185 0.202  0.342 0.178  0.495 0.137  0.623 0.048  0.746 -0.053  0.803 -0.199  0.848 -0.350  0.872 -0.507  0.874 -0.664  0.850 -0.821  0.764 -0.947  0.652 -1.059  0.539 -1.171  0.412 -1.261  0.268 -1.327  0.115 -1.362  -0.043 -1.373  -0.201 -1.369  -0.359 -1.357  -0.504 -1.297  -0.639 -1.213  -0.769 -1.122
2#apb#apb05#app0542/n  -0.399 0.981  -0.424 0.821  -0.449 0.661  -0.499 0.509  -0.565 0.362  -0.603 0.205  -0.637 0.047  -0.668 -0.111  -0.692 -0.271  -0.717 -0.431  -0.763 -0.585  -0.811 -0.740  -0.857 -0.895  -0.900 -1.050  -0.921 -1.175  -0.889 -1.018  -0.847 -0.862  -0.786 -0.713  -0.717 -0.567  -0.648 -0.421  -0.580 -0.275  -0.511 -0.128  -0.443 0.018  -0.366 0.159  -0.272 0.291  -0.179 0.423  -0.086 0.555  0.023 0.673  0.142 0.782  0.262 0.891  0.394 0.982  0.533 1.065  0.675 1.141  0.817 1.149  0.916 1.038  0.948 0.879  0.962 0.719  0.962 0.558  0.962 0.396  0.942 0.236  0.922 0.076  0.898 -0.084  0.850 -0.238  0.803 -0.393  0.765 -0.550  0.731 -0.708  0.696 -0.865  0.657 -1.022  0.667 -1.179  0.702 -1.337
2#apb#apb05#app0542/g  0.298 1.077  0.389 1.181  0.346 1.294  0.235 1.310  0.118 1.237  0.008 1.154  -0.099 1.066  -0.204 0.977  -0.276 0.860  -0.343 0.740  -0.402 0.615  -0.443 0.484  -0.462 0.348  -0.416 0.226  -0.298 0.162  -0.164 0.159  -0.032 0.200  0.074 0.285  0.174 0.380  0.260 0.488  0.323 0.610  0.377 0.737  0.430 0.864  0.466 0.941  0.445 0.805  0.395 0.676  0.366 0.542  0.350 0.405  0.336 0.268  0.322 0.130  0.309 -0.007  0.297 -0.145  0.285 -0.282  0.266 -0.419  0.246 -0.556  0.223 -0.692  0.200 -0.828  0.176 -0.964  0.134 -1.095  0.089 -1.226  0.036 -1.354  -0.046 -1.461  -0.167 -1.523  -0.300 -1.552  -0.435 -1.541  -0.551 -1.467  -0.672 -1.401  -0.796 -1.339  -0.888 -1.237  -0.977 -1.132
2#apb#apb05#app0542/A  -1.233 -1.486  -1.318 -1.465  -1.216 -1.299  -1.110 -1.136  -0.997 -0.978  -0.880 -0.823  -0.766 -0.665  -0.660 -0.502  -0.555 -0.338  -0.454 -0.172  -0.353 -0.005  -0.255 0.163  -0.164 0.334  -0.072 0.506  0.021 0.677  0.120 0.844  0.219 1.012  0.298 1.188  0.356 1.374  0.455 1.540  0.490 1.714  0.550 1.555  0.550 1.360  0.550 1.165  0.550 0.971  0.550 0.776  0.550 0.582  0.544 0.388  0.519 0.195  0.494 0.002  0.476 -0.192  0.459 -0.386  0.450 -0.580  0.450 -0.774  0.467 -0.968  0.417 -1.152  0.355 -1.003  0.247 -0.841  0.139 -0.680  0.031 -0.518  -0.076 -0.356  -0.184 -0.194  -0.292 -0.032  -0.400 0.130  -0.342 0.130  -0.178 0.027  0.007 -0.014  0.201 -0.024  0.396 -0.024  0.591 -0.024
2#apb#apb05#app0542/p  -0.060 0.916  -0.112 0.740  -0.183 0.572  -0.231 0.398  -0.243 0.215  -0.258 0.032  -0.273 -0.150  -0.298 -0.331  -0.336 -0.511  -0.373 -0.690  -0.397 -0.871  -0.405 -1.054  -0.412 -1.237  -0.431 -1.419  -0.449 -1.602  -0.447 -1.693  -0.437 -1.510  -0.426 -1.327  -0.416 -1.144  -0.406 -0.961  -0.396 -0.778  -0.386 -0.595  -0.375 -0.413  -0.365 -0.230  -0.355 -0.047  -0.345 0.136  -0.334 0.319  -0.324 0.502  -0.314 0.685  -0.304 0.868  -0.253 1.042  -0.161 1.194  -0.013 1.301  0.150 1.383  0.330 1.389  0.501 1.347  0.642 1.231  0.769 1.099  0.879 0.956  0.930 0.780  0.970 0.602  0.993 0.420  0.960 0.243  0.893 0.075  0.787 -0.074  0.662 -0.206  0.521 -0.323  0.354 -0.397  0.179 -0.439  -0.004 -0.439
2#apb#apb05#app0542/p  -0.226 0.771  -0.235 0.600  -0.212 0.428  -0.197 0.256  -0.192 0.083  -0.200 -0.090  -0.212 -0.263  -0.237 -0.434  -0.261 -0.606  -0.292 -0.776  -0.323 -0.947  -0.359 -1.116  -0.401 -1.284  -0.451 -1.449  -0.528 -1.604  -0.586 -1.590  -0.607 -1.418  -0.616 -1.246  -0.599 -1.074  -0.582 -0.901  -0.565 -0.729  -0.547 -0.557  -0.530 -0.384  -0.494 -0.215  -0.454 -0.046  -0.415 0.122  -0.356 0.284  -0.279 0.439  -0.202 0.594  -0.124 0.749  -0.024 0.890  0.080 1.028  0.187 1.164  0.314 1.282  0.444 1.395  0.611 1.441  0.748 1.355  0.847 1.216  0.905 1.055  0.941 0.885  0.942 0.712  0.933 0.540  0.896 0.370  0.834 0.210  0.761 0.053  0.650 -0.080  0.531 -0.205  0.399 -0.307  0.227 -0.315  0.056 -0.284
2#apb#apb05#app0542/l  0.620 1.587  0.551 1.559  0.494 1.513  0.441 1.461  0.389 1.408  0.354 1.344  0.325 1.275  0.297 1.207  0.269 1.138  0.242 1.069  0.217 0.999  0.193 0.929  0.168 0.858  0.144 0.788  0.119 0.718  0.094 0.648  0.068 0.579  0.043 0.509  0.018 0.439  -0.007 0.369  -0.032 0.299  -0.055 0.228  -0.077 0.157  -0.100 0.087  -0.123 0.016  -0.145 -0.055  -0.168 -0.126  -0.188 -0.197  -0.208 -0.269  -0.228 -0.340  -0.248 -0.412  -0.269 -0.483  -0.289 -0.555  -0.303 -0.628  -0.314 -0.701  -0.326 -0.774  -0.338 -0.848  -0.347 -0.921  -0.341 -0.995  -0.335 -1.069  -0.328 -1.143  -0.283 -1.202  -0.239 -1.262  -0.177 -1.298  -0.107 -1.324  -0.038 -1.349  0.034 -1.335  0.106 -1.317  0.178 -1.299  0.251 -1.281
2#apb#apb05#app0542/e  -0.612 0.616  -0.671 0.470  -0.682 0.315  -0.636 0.169  -0.536 0.047  -0.401 -0.032  -0.252 -0.025  -0.100 0.018  0.054 0.055  0.204 0.100  0.338 0.184  0.472 0.268  0.583 0.379  0.690 0.495  0.782 0.623  0.865 0.757  0.935 0.899  0.978 1.045  0.917 1.176  0.764 1.201  0.611 1.161  0.463 1.110  0.329 1.026  0.196 0.941  0.065 0.853  -0.063 0.759  -0.190 0.666  -0.312 0.565  -0.427 0.457  -0.543 0.349  -0.617 0.211  -0.688 0.070  -0.755 -0.073  -0.793 -0.227  -0.828 -0.380  -0.808 -0.537  -0.786 -0.693  -0.711 -0.832  -0.625 -0.961  -0.496 -1.053  -0.366 -1.142  -0.212 -1.178  -0.058 -1.214  0.096 -1.249  0.250 -1.283  0.405 -1.281  0.560 -1.251  0.715 -1.221  0.871 -1.190  1.025 -1.159
2#apb#apb05#app0542/B  -0.122 1.080  -0.283 0.885  -0.298 0.626  -0.343 0.369  -0.379 0.112  -0.410 -0.146  -0.431 -0.406  -0.473 -0.662  -0.528 -0.916  -0.563 -1.174  -0.560 -1.176  -0.590 -0.918  -0.619 -0.659  -0.648 -0.401  -0.678 -0.142  -0.707 0.116  -0.736 0.375  -0.766 0.633  -0.795 0.892  -0.792 1.097  -0.537 1.146  -0.283 1.203  -0.022 1.203  0.238 1.194  0.490 1.147  0.741 1.087  0.903 0.926  0.856 0.714  0.678 0.524  0.482 0.354  0.261 0.216  0.019 0.122  -0.229 0.044  -0.334 0.131  -0.080 0.184  0.180 0.197  0.439 0.187  0.690 0.125  0.912 -0.008  1.084 -0.200  1.180 -0.435  1.136 -0.689  1.027 -0.924  0.856 -1.115  0.620 -1.222  0.366 -1.267  0.107 -1.259  -0.141 -1.196  -0.372 -1.077  -0.546 -0.897
2#apb#apb05#app0542/a  0.586 0.981  0.609 1.163  0.489 1.255  0.315 1.197  0.151 1.115  -0.009 1.026  -0.164 0.928  -0.313 0.822  -0.443 0.692  -0.572 0.562  -0.695 0.426  -0.814 0.286  -0.934 0.148  -1.058 0.012  -1.182 -0.123  -1.264 -0.286  -1.312 -0.461  -1.314 -0.642  -1.256 -0.816  -1.092 -0.884  -0.915 -0.885  -0.735 -0.846  -0.564 -0.784  -0.397 -0.707  -0.231 -0.629  -0.064 -0.552  0.091 -0.459  0.221 -0.329  0.350 -0.199  0.451 -0.047  0.542 0.112  0.614 0.280  0.668 0.455  0.697 0.635  0.711 0.818  0.608 0.872  0.535 0.723  0.499 0.543  0.466 0.363  0.432 0.182  0.406 0.000  0.382 -0.181  0.382 -0.365  0.399 -0.546  0.460 -0.718  0.538 -0.880  0.680 -0.996  0.832 -1.086  1.015 -1.086  1.199 -1.086
2#apb#apb05#app0542/n  -0.420 1.112  -0.480 0.975  -0.537 0.837  -0.560 0.689  -0.583 0.540  -0.592 0.391  -0.592 0.242  -0.592 0.092  -0.619 -0.056  -0.648 -0.202  -0.677 -0.349  -0.678 -0.499  -0.678 -0.649  -0.703 -0.796  -0.733 -0.943  -0.743 -1.014  -0.764 -0.867  -0.764 -0.717  -0.764 -0.567  -0.739 -0.420  -0.711 -0.273  -0.684 -0.125  -0.635 0.016  -0.581 0.155  -0.526 0.295  -0.467 0.432  -0.361 0.538  -0.255 0.644  -0.150 0.749  -0.012 0.804  0.131 0.848  0.276 0.882  0.425 0.882  0.563 0.840  0.684 0.753  0.777 0.636  0.871 0.519  0.934 0.385  0.981 0.243  1.024 0.100  1.051 -0.048  1.075 -0.195  1.075 -0.345  1.075 -0.495  1.074 -0.645  1.048 -0.792  1.021 -0.939  1.018 -1.089  1.018 -1.239  1.132 -1.331
2#apb#apb05#app0542/k  -0.015 1.814  -0.147 1.676  -0.231 1.473  -0.284 1.260  -0.334 1.045  -0.378 0.830  -0.423 0.614  -0.469 0.399  -0.514 0.184  -0.565 -0.030  -0.616 -0.244  -0.653 -0.461  -0.686 -0.679  -0.732 -0.893  -0.785 -1.107  -0.767 -1.325  -0.640 -1.254  -0.508 -1.079  -0.375 -0.904  -0.242 -0.728  -0.109 -0.553  0.023 -0.377  0.156 -0.202  0.289 -0.027  0.422 0.149  0.555 0.324  0.687 0.500  0.820 0.675  0.953 0.851  1.086 1.026  1.110 1.065  0.970 0.897  0.801 0.756  0.626 0.624  0.446 0.497  0.267 0.369  0.078 0.258  -0.119 0.160  -0.311 0.053  -0.498 -0.063  -0.668 -0.202  -0.560 -0.381  -0.389 -0.519  -0.193 -0.619  0.000 -0.724  0.187 -0.840  0.380 -0.943  0.586 -1.022  0.785 -1.114  0.984 -1.208
2#apb#apb05#app0542/o  0.453 0.344  0.453 0.499  0.453 0.653  0.423 0.804  0.343 0.904  0.190 0.921  0.036 0.921  -0.104 0.878  -0.226 0.784  -0.348 0.690  -0.453 0.578  -0.554 0.460  -0.654 0.343  -0.739 0.215  -0.820 0.084  -0.897 -0.050  -0.966 -0.188  -1.035 -0.326  -1.071 -0.470  -1.060 -0.624  -1.042 -0.776  -0.973 -0.914  -0.904 -1.052  -0.766 -1.118  -0.621 -1.159  -0.467 -1.159  -0.312 -1.159  -0.164 -1.122  -0.018 -1.074  0.129 -1.025  0.260 -0.948  0.385 -0.857  0.509 -0.765  0.621 -0.660  0.725 -0.547  0.830 -0.433  0.911 -0.303  0.985 -0.167  0.985 -0.020  0.960 0.132  0.898 0.272  0.825 0.408  0.746 0.540  0.657 0.665  0.567 0.791  0.451 0.887  0.315 0.960  0.177 1.027  0.027 1.061  -0.123 1.096
2#apb#apb05#app0542/f  -0.959 -0.258  -0.890 -0.148  -0.751 -0.116  -0.609 -0.105  -0.466 -0.105  -0.322 -0.105  -0.179 -0.105  -0.036 -0.105  0.107 -0.105  0.250 -0.105  0.393 -0.110  0.532 -0.141  0.672 -0.172  0.708 -0.037  0.742 0.102  0.777 0.241  0.811 0.380  0.845 0.519  0.879 0.658  0.901 0.799  0.911 0.942  0.913 1.085  0.855 1.207  0.728 1.249  0.586 1.244  0.447 1.212  0.338 1.124  0.237 1.023  0.141 0.918  0.050 0.807  -0.041 0.697  -0.112 0.573  -0.179 0.446  -0.239 0.317  -0.281 0.180  -0.323 0.043  -0.365 -0.094  -0.398 -0.233  -0.431 -0.372  -0.465 -0.511  -0.495 -0.651  -0.526 -0.791  -0.551 -0.932  -0.557 -1.075  -0.563 -1.218  -0.572 -1.360  -0.596 -1.501  -0.620 -1.642  -0.648 -1.783  -0.652 -1.891
2#apb#apb05#app0542/t  -0.727 0.340  -0.839 0.237  -0.730 0.131  -0.587 0.096  -0.432 0.096  -0.277 0.103  -0.122 0.116  0.033 0.130  0.186 0.152  0.340 0.177  0.493 0.203  0.638 0.235  0.622 0.389  0.606 0.544  0.590 0.698  0.574 0.853  0.558 1.007  0.542 1.162  0.528 1.316  0.598 1.455  0.545 1.462  0.435 1.352  0.359 1.217  0.284 1.081  0.209 0.945  0.134 0.809  0.060 0.672  -0.012 0.535  -0.082 0.396  -0.151 0.257  -0.221 0.118  -0.294 -0.019  -0.368 -0.156  -0.441 -0.293  -0.507 -0.433  -0.562 -0.578  -0.616 -0.724  -0.655 -0.873  -0.664 -1.028  -0.654 -1.180  -0.597 -1.324  -0.461 -1.399  -0.317 -1.422  -0.166 -1.388  -0.015 -1.352  0.135 -1.309  0.284 -1.266  0.433 -1.224  0.583 -1.181  0.732 -1.138
2#apb#apb05#app0542/h  0.150 2.038  0.051 1.966  0.001 1.842  -0.026 1.712  -0.039 1.578  -0.052 1.445  -0.072 1.313  -0.093 1.181  -0.115 1.049  -0.148 0.919  -0.180 0.789  -0.213 0.659  -0.240 0.529  -0.265 0.397  -0.291 0.266  -0.316 0.134  -0.350 0.005  -0.384 -0.125  -0.418 -0.254  -0.462 -0.380  -0.510 -0.505  -0.559 -0.630  -0.610 -0.753  -0.661 -0.877  -0.714 -0.908  -0.664 -0.785  -0.577 -0.694  -0.479 -0.604  -0.380 -0.515  -0.274 -0.433  -0.152 -0.381  -0.042 -0.307  0.065 -0.228  0.123 -0.165  0.159 -0.049  0.290 -0.027  0.407 0.035  0.514 0.011  0.626 -0.062  0.684 -0.181  0.716 -0.311  0.717 -0.442  0.698 -0.575  0.677 -0.707  0.655 -0.839  0.624 -0.969  0.590 -1.098  0.547 -1.225  0.507 -1.353  0.486 -1.484
2#apb#apb05#app0542/e  -0.525 -0.230  -0.471 -0.152  -0.336 -0.175  -0.206 -0.217  -0.077 -0.254  0.051 -0.207  0.180 -0.160  0.298 -0.094  0.414 -0.021  0.528 0.054  0.633 0.140  0.739 0.227  0.839 0.319  0.923 0.426  1.006 0.534  1.051 0.663  1.087 0.793  1.044 0.922  0.952 1.019  0.849 1.108  0.714 1.102  0.578 1.093  0.443 1.077  0.315 1.030  0.187 0.982  0.059 0.934  -0.046 0.851  -0.143 0.754  -0.239 0.658  -0.335 0.561  -0.419 0.453  -0.502 0.345  -0.585 0.236  -0.637 0.112  -0.678 -0.018  -0.718 -0.149  -0.750 -0.281  -0.767 -0.416  -0.784 -0.552  -0.792 -0.686  -0.746 -0.815  -0.700 -0.943  -0.648 -1.069  -0.565 -1.177  -0.482 -1.285  -0.398 -1.393  -0.277 -1.450  -0.149 -1.500  -0.022 -1.549  0.105 -1.599
2#apb#apb05#app0542/W  -0.819 0.773  -0.723 0.934  -0.628 1.096  -0.532 1.258  -0.481 1.298  -0.509 1.112  -0.552 0.930  -0.614 0.752  -0.669 0.573  -0.722 0.392  -0.766 0.209  -0.808 0.026  -0.846 -0.158  -0.883 -0.342  -0.921 -0.526  -0.961 -0.710  -0.973 -0.895  -0.864 -0.977  -0.699 -0.888  -0.558 -0.764  -0.432 -0.627  -0.324 -0.473  -0.222 -0.315  -0.126 -0.154  -0.049 0.017  0.019 0.192  0.104 0.360  0.172 0.494  0.109 0.319  0.078 0.134  0.078 -0.054  0.078 -0.242  0.088 -0.429  0.115 -0.614  0.187 -0.788  0.295 -0.939  0.459 -0.982  0.642 -0.942  0.800 -0.858  0.909 -0.704  1.008 -0.545  1.099 -0.381  1.153 -0.201  1.204 -0.020  1.244 0.163  1.265 0.349  1.256 0.537  1.204 0.716  1.129 0.886  0.989 1.008
2#apb#apb05#app0542/e  -0.502 -0.339  -0.462 -0.426  -0.323 -0.426  -0.181 -0.439  -0.039 -0.439  0.100 -0.425  0.225 -0.358  0.350 -0.290  0.475 -0.223  0.600 -0.154  0.713 -0.071  0.808 0.034  0.901 0.141  0.940 0.277  0.979 0.414  1.000 0.553  1.000 0.695  1.000 0.837  0.943 0.967  0.868 1.082  0.746 1.155  0.620 1.209  0.480 1.187  0.340 1.166  0.222 1.088  0.107 1.004  -0.007 0.920  -0.119 0.833  -0.229 0.743  -0.340 0.654  -0.450 0.564  -0.531 0.447  -0.612 0.330  -0.692 0.213  -0.758 0.088  -0.812 -0.044  -0.866 -0.175  -0.897 -0.310  -0.880 -0.451  -0.864 -0.592  -0.832 -0.728  -0.764 -0.853  -0.697 -0.978  -0.595 -1.073  -0.480 -1.156  -0.364 -1.239  -0.234 -1.293  -0.098 -1.334  0.038 -1.374  0.174 -1.415
