1c#apa#apa01#app0189/f  -0.034 -1.828  0.098 -1.814  -0.019 -1.697  -0.034 -1.537  -0.053 -1.389  -0.180 -1.350  -0.180 -1.184  -0.236 -1.041  -0.327 -0.912  -0.327 -0.746  -0.327 -0.580  -0.327 -0.414  -0.410 -0.282  -0.473 -0.142  -0.473 0.024  -0.473 0.190  -0.473 0.357  -0.473 0.523  -0.473 0.689  -0.423 0.805  -0.327 0.875  -0.327 1.041  -0.216 1.097  -0.180 1.227  -0.074 1.350  0.075 1.390  0.112 1.261  0.261 1.244  0.421 1.228  0.538 1.110  0.697 1.095  0.719 0.951  0.819 0.917  0.721 0.783  0.623 0.648  0.526 0.514  0.428 0.380  0.330 0.245  0.232 0.111  0.135 -0.024  0.037 -0.158  -0.061 -0.293  -0.159 -0.427  -0.256 -0.561  -0.280 -0.658  -0.114 -0.658  0.052 -0.658  0.219 -0.658  0.258 -0.532  0.405 -0.512
1c#apa#apa01#app0189/d  -0.010 -0.271  -0.139 -0.401  -0.309 -0.435  -0.447 -0.544  -0.555 -0.620  -0.678 -0.681  -0.692 -0.850  -0.612 -0.954  -0.555 -1.081  -0.419 -1.128  -0.334 -1.227  -0.150 -1.227  0.021 -1.257  0.160 -1.363  0.263 -1.282  0.247 -1.100  0.223 -0.918  0.199 -0.736  0.176 -0.554  0.152 -0.372  0.128 -0.190  0.104 -0.008  0.081 0.174  0.057 0.356  0.033 0.538  0.009 0.720  -0.014 0.902  -0.038 1.084  -0.062 1.266  -0.086 1.448  -0.109 1.630  -0.133 1.812  -0.146 1.828  -0.146 1.645  -0.117 1.473  -0.010 1.334  -0.010 1.151  -0.010 0.967  0.068 0.802  0.127 0.632  0.196 0.478  0.263 0.322  0.263 0.138  0.296 -0.032  0.400 -0.172  0.400 -0.356  0.400 -0.539  0.442 -0.681  0.536 -0.770  0.536 -0.954
1c#apa#apa01#app0189/k  -0.976 1.951  -0.933 1.752  -0.820 1.581  -0.820 1.364  -0.820 1.147  -0.820 0.930  -0.754 0.728  -0.664 0.532  -0.610 0.338  -0.508 0.163  -0.508 -0.054  -0.508 -0.272  -0.437 -0.459  -0.352 -0.641  -0.352 -0.858  -0.289 -1.012  -0.196 -0.888  -0.119 -0.688  -0.029 -0.490  0.061 -0.292  0.150 -0.095  0.240 0.103  0.330 0.301  0.420 0.498  0.510 0.696  0.584 0.821  0.485 0.703  0.424 0.547  0.226 0.501  0.054 0.391  -0.040 0.268  -0.196 0.207  -0.286 0.079  -0.459 -0.027  -0.508 -0.224  -0.611 -0.233  -0.394 -0.233  -0.177 -0.233  0.040 -0.233  0.116 -0.374  0.319 -0.389  0.428 -0.496  0.593 -0.554  0.749 -0.700  0.896 -0.771  1.028 -0.856  1.188 -0.993  1.364 -1.046  1.459 -1.168  1.520 -1.324
1c#apa#apa01#app0189/n  -1.073 0.975  -1.073 0.820  -0.980 0.702  -0.893 0.583  -0.893 0.428  -0.893 0.272  -0.893 0.117  -0.813 -0.005  -0.713 -0.119  -0.713 -0.275  -0.713 -0.430  -0.713 -0.586  -0.713 -0.741  -0.713 -0.896  -0.666 -1.005  -0.533 -0.982  -0.533 -0.827  -0.533 -0.672  -0.442 -0.554  -0.353 -0.435  -0.353 -0.280  -0.353 -0.124  -0.353 0.031  -0.353 0.186  -0.353 0.342  -0.309 0.479  -0.199 0.589  -0.089 0.699  0.021 0.809  0.131 0.919  0.263 0.975  0.418 0.975  0.547 0.948  0.549 0.795  0.704 0.795  0.727 0.662  0.727 0.507  0.786 0.376  0.896 0.266  0.907 0.115  0.907 -0.041  0.907 -0.196  0.907 -0.351  0.907 -0.507  0.919 -0.657  1.029 -0.767  1.087 -0.899  1.136 -1.005  1.291 -1.005  1.447 -1.005
1c#apa#apa01#app0189/e  -0.506 -0.358  -0.346 -0.358  -0.213 -0.293  -0.100 -0.180  0.039 -0.129  0.181 -0.111  0.181 0.049  0.258 0.177  0.371 0.291  0.410 0.435  0.410 0.595  0.410 0.755  0.410 0.915  0.410 1.075  0.410 1.235  0.260 1.245  0.100 1.245  -0.060 1.245  -0.220 1.245  -0.277 1.142  -0.311 1.016  -0.471 1.016  -0.506 0.891  -0.562 0.787  -0.722 0.787  -0.735 0.640  -0.735 0.480  -0.735 0.320  -0.735 0.160  -0.735 -0.000  -0.735 -0.160  -0.735 -0.320  -0.613 -0.358  -0.506 -0.411  -0.506 -0.571  -0.362 -0.587  -0.277 -0.662  -0.273 -0.820  -0.160 -0.934  -0.046 -1.045  0.114 -1.045  0.274 -1.045  0.434 -1.045  0.594 -1.045  0.754 -1.045  0.914 -1.045  1.074 -1.045  1.234 -1.045  1.394 -1.045  1.555 -1.045
1c#apa#apa01#app0189/w  -1.441 0.589  -1.312 0.576  -1.285 0.460  -1.183 0.419  -1.183 0.276  -1.183 0.134  -1.125 0.015  -1.054 -0.098  -1.054 -0.241  -1.054 -0.384  -0.970 -0.442  -0.926 -0.540  -0.813 -0.571  -0.671 -0.571  -0.657 -0.442  -0.539 -0.417  -0.539 -0.275  -0.487 -0.184  -0.410 -0.118  -0.330 -0.055  -0.281 0.038  -0.174 0.074  -0.152 0.195  -0.152 0.068  -0.132 -0.055  -0.023 -0.089  -0.023 -0.232  0.038 -0.313  0.106 -0.388  0.195 -0.442  0.307 -0.514  0.427 -0.571  0.569 -0.571  0.712 -0.571  0.855 -0.571  0.879 -0.453  1.008 -0.439  1.008 -0.296  1.008 -0.154  1.008 -0.011  1.008 0.132  1.059 0.253  1.137 0.364  1.137 0.507  1.137 0.649  1.137 0.792  1.137 0.935  1.137 1.077  1.137 1.220  1.008 1.234
1c#apa#apa01#app0189/t  -0.436 1.730  -0.436 1.904  -0.283 1.924  -0.242 1.790  -0.242 1.616  -0.149 1.535  -0.048 1.463  -0.048 1.289  -0.048 1.115  -0.048 0.941  -0.048 0.767  -0.048 0.593  -0.048 0.419  -0.048 0.245  -0.001 0.082  0.077 -0.073  0.146 -0.231  0.146 -0.405  0.146 -0.579  0.254 -0.708  0.340 -0.846  0.340 -1.020  0.340 -1.194  0.340 -1.368  0.242 -1.246  0.137 -1.107  0.033 -0.967  -0.072 -0.828  -0.176 -0.689  -0.280 -0.550  -0.385 -0.411  -0.489 -0.272  -0.593 -0.132  -0.698 0.007  -0.802 0.146  -0.825 0.040  -0.709 -0.018  -0.563 -0.086  -0.440 -0.209  -0.267 -0.212  -0.093 -0.212  0.043 -0.303  0.174 -0.407  0.348 -0.407  0.522 -0.407  0.696 -0.407  0.829 -0.506  0.963 -0.601  1.137 -0.601  1.311 -0.601
1c#apa#apa01#app0189/h  -1.042 1.704  -0.946 1.607  -0.909 1.485  -0.909 1.349  -0.817 1.304  -0.776 1.209  -0.776 1.072  -0.673 1.038  -0.643 0.932  -0.643 0.795  -0.563 0.692  -0.510 0.577  -0.510 0.440  -0.441 0.373  -0.377 0.300  -0.377 0.163  -0.377 0.027  -0.318 -0.085  -0.244 -0.191  -0.244 -0.328  -0.244 -0.465  -0.244 -0.601  -0.244 -0.738  -0.244 -0.875  -0.244 -0.904  -0.187 -0.825  -0.111 -0.764  -0.111 -0.628  -0.111 -0.491  -0.061 -0.375  0.022 -0.273  0.039 -0.143  0.135 -0.046  0.232 0.050  0.345 0.107  0.482 0.107  0.618 0.107  0.687 0.039  0.738 -0.077  0.821 -0.179  0.821 -0.315  0.821 -0.452  0.851 -0.559  0.954 -0.592  0.954 -0.729  0.954 -0.866  0.998 -0.958  1.087 -1.006  1.123 -1.054  1.220 -0.958
1c#apa#apa01#app0189/a  0.618 0.486  0.618 0.658  0.490 0.702  0.318 0.702  0.187 0.742  0.187 0.914  0.019 0.917  -0.153 0.917  -0.301 0.859  -0.423 0.738  -0.579 0.702  -0.751 0.702  -0.913 0.678  -1.035 0.557  -1.177 0.486  -1.321 0.458  -1.321 0.286  -1.321 0.114  -1.241 -0.025  -1.119 -0.146  -1.105 -0.312  -1.029 -0.452  -0.907 -0.574  -0.743 -0.591  -0.674 -0.695  -0.615 -0.807  -0.443 -0.807  -0.271 -0.807  -0.243 -0.662  -0.143 -0.591  0.029 -0.591  0.187 -0.578  0.187 -0.406  0.287 -0.276  0.403 -0.152  0.403 0.020  0.540 0.055  0.618 0.148  0.668 0.271  0.834 0.265  0.834 0.093  0.834 -0.079  0.834 -0.250  0.880 -0.376  1.049 -0.379  1.049 -0.550  1.180 -0.591  1.352 -0.591  1.524 -0.591  1.696 -0.591
1c#apa#apa01#app0189/t  -0.707 1.724  -0.510 1.712  -0.486 1.527  -0.313 1.491  -0.264 1.330  -0.116 1.269  -0.064 1.081  0.081 0.933  0.081 0.723  0.081 0.514  0.081 0.305  0.133 0.148  0.278 0.084  0.278 -0.126  0.278 -0.335  0.278 -0.544  0.391 -0.641  0.475 -0.765  0.475 -0.975  0.475 -1.184  0.636 -1.232  0.673 -1.405  0.858 -1.429  0.869 -1.232  0.700 -1.109  0.531 -0.986  0.362 -0.863  0.193 -0.740  0.023 -0.617  -0.146 -0.494  -0.315 -0.371  -0.484 -0.247  -0.653 -0.124  -0.823 -0.001  -0.992 0.122  -1.161 0.245  -1.259 0.345  -1.050 0.345  -0.904 0.281  -0.828 0.148  -0.619 0.148  -0.410 0.148  -0.201 0.148  0.008 0.148  0.218 0.148  0.427 0.148  0.636 0.148  0.845 0.148  0.870 -0.037  1.067 -0.050
1c#apa#apa01#app0189/s  0.432 1.051  0.281 1.051  0.130 1.051  -0.018 1.044  -0.125 0.937  -0.262 0.904  -0.413 0.904  -0.564 0.904  -0.715 0.904  -0.832 0.821  -0.956 0.756  -1.044 0.693  -1.110 0.608  -1.191 0.539  -1.118 0.461  -1.044 0.384  -0.964 0.313  -0.813 0.313  -0.662 0.313  -0.511 0.313  -0.370 0.271  -0.235 0.204  -0.093 0.166  0.058 0.166  0.209 0.166  0.360 0.166  0.432 0.086  0.515 0.018  0.666 0.018  0.790 -0.045  0.897 -0.152  1.004 -0.259  1.111 -0.366  1.170 -0.492  1.170 -0.643  1.095 -0.720  1.022 -0.798  0.941 -0.867  0.815 -0.927  0.700 -1.015  0.549 -1.015  0.398 -1.015  0.247 -1.015  0.096 -1.015  -0.055 -1.015  -0.192 -0.981  -0.299 -0.875  -0.447 -0.867  -0.454 -0.723  -0.601 -0.720
1c#apa#apa01#app0189/o  -0.767 0.780  -0.767 0.649  -0.826 0.578  -0.957 0.578  -0.968 0.460  -1.002 0.344  -1.094 0.252  -1.169 0.153  -1.169 0.023  -1.169 -0.108  -1.161 -0.234  -1.069 -0.326  -0.977 -0.418  -0.885 -0.510  -0.793 -0.602  -0.701 -0.694  -0.609 -0.787  -0.496 -0.829  -0.366 -0.829  -0.236 -0.829  -0.106 -0.829  0.025 -0.829  0.155 -0.829  0.285 -0.829  0.415 -0.829  0.514 -0.754  0.606 -0.662  0.640 -0.546  0.651 -0.427  0.782 -0.427  0.841 -0.356  0.841 -0.226  0.971 -0.226  1.042 -0.167  1.042 -0.037  1.042 0.093  1.021 0.218  0.963 0.335  0.905 0.451  0.847 0.568  0.841 0.697  0.794 0.780  0.664 0.780  0.534 0.780  0.414 0.805  0.322 0.897  0.227 0.981  0.096 0.981  -0.034 0.981  -0.164 0.981
1c#apa#apa01#app0189/m  -1.184 0.491  -1.166 0.336  -1.028 0.301  -1.028 0.128  -1.028 -0.044  -1.028 -0.217  -1.028 -0.390  -1.028 -0.563  -0.930 -0.695  -0.873 -0.844  -0.873 -1.017  -0.873 -0.935  -0.873 -0.763  -0.873 -0.590  -0.856 -0.424  -0.734 -0.302  -0.718 -0.136  -0.718 0.037  -0.718 0.210  -0.671 0.336  -0.562 0.400  -0.481 0.491  -0.308 0.491  -0.169 0.409  -0.027 0.336  0.059 0.250  0.133 0.107  0.215 -0.032  0.215 -0.204  0.215 -0.377  0.324 -0.441  0.370 -0.315  0.370 -0.142  0.370 0.031  0.387 0.197  0.509 0.319  0.526 0.485  0.681 0.502  0.709 0.647  0.882 0.647  0.992 0.584  1.072 0.491  1.216 0.422  1.353 0.336  1.458 0.268  1.458 0.095  1.458 -0.078  1.578 -0.130  1.613 -0.268  1.613 -0.441
1c#apa#apa01#app0189/e  -0.283 0.074  -0.131 0.074  0.021 0.074  0.173 0.074  0.251 0.148  0.251 0.300  0.273 0.430  0.425 0.430  0.429 0.578  0.429 0.730  0.429 0.882  0.429 1.034  0.386 1.143  0.234 1.143  0.082 1.143  -0.070 1.143  -0.105 1.025  -0.196 0.965  -0.348 0.965  -0.461 0.926  -0.474 0.787  -0.626 0.787  -0.639 0.648  -0.752 0.608  -0.818 0.522  -0.818 0.370  -0.818 0.218  -0.818 0.065  -0.818 -0.087  -0.818 -0.239  -0.818 -0.391  -0.818 -0.543  -0.761 -0.638  -0.618 -0.660  -0.511 -0.767  -0.379 -0.816  -0.243 -0.856  -0.136 -0.964  0.004 -0.995  0.156 -0.995  0.308 -0.995  0.460 -0.995  0.612 -0.995  0.764 -0.995  0.916 -0.995  1.068 -0.995  1.142 -0.916  1.194 -0.816  1.346 -0.816  1.498 -0.816
