3#app#app32#app3276/@  0.198 0.232  0.129 0.402  0.045 0.536  -0.039 0.401  -0.108 0.231  -0.208 0.074  -0.310 -0.083  -0.304 -0.276  -0.135 -0.202  -0.005 -0.057  0.096 0.040  0.198 0.138  0.299 0.235  0.228 0.262  0.198 0.076  0.350 0.029  0.549 0.029  0.642 0.149  0.807 0.246  0.913 0.343  1.002 0.520  1.010 0.718  1.010 0.917  0.908 1.073  0.883 1.247  0.684 1.247  0.485 1.247  0.298 1.196  0.136 1.084  -0.004 0.943  -0.145 0.803  -0.286 0.662  -0.384 0.490  -0.508 0.338  -0.636 0.188  -0.722 0.009  -0.785 -0.180  -0.861 -0.363  -0.919 -0.548  -0.919 -0.747  -0.919 -0.946  -0.919 -1.145  -0.881 -1.329  -0.709 -1.392  -0.541 -1.466  -0.353 -1.494  -0.154 -1.494  0.045 -1.494  0.244 -1.494  0.401 -1.392
3#app#app32#app3276/u  -0.831 1.275  -0.831 1.160  -0.831 1.044  -0.831 0.929  -0.831 0.813  -0.831 0.698  -0.831 0.583  -0.831 0.467  -0.831 0.352  -0.831 0.236  -0.831 0.121  -0.804 0.010  -0.767 -0.099  -0.731 -0.209  -0.694 -0.318  -0.683 -0.432  -0.636 -0.500  -0.535 -0.515  -0.535 -0.630  -0.466 -0.717  -0.388 -0.800  -0.388 -0.915  -0.300 -0.943  -0.185 -0.943  -0.070 -0.943  0.046 -0.943  0.161 -0.943  0.277 -0.943  0.380 -0.915  0.462 -0.833  0.543 -0.752  0.625 -0.670  0.707 -0.589  0.788 -0.507  0.796 -0.395  0.796 -0.279  0.796 -0.164  0.796 -0.048  0.796 0.067  0.796 0.182  0.796 0.298  0.796 0.413  0.796 0.529  0.796 0.644  0.796 0.759  0.796 0.875  0.788 0.987  0.706 1.068  0.648 1.160  0.648 1.275
3#app#app32#app3276/g  0.346 1.190  0.346 1.312  0.285 1.373  0.162 1.373  0.043 1.359  -0.067 1.305  -0.163 1.231  -0.250 1.145  -0.336 1.058  -0.423 0.971  -0.499 0.877  -0.554 0.767  -0.572 0.649  -0.651 0.560  -0.664 0.442  -0.664 0.320  -0.664 0.197  -0.590 0.105  -0.474 0.088  -0.352 0.088  -0.249 0.136  -0.145 0.180  -0.049 0.244  -0.021 0.355  0.060 0.444  0.146 0.531  0.168 0.450  0.254 0.363  0.254 0.240  0.282 0.124  0.337 0.015  0.346 -0.106  0.346 -0.228  0.346 -0.351  0.351 -0.472  0.405 -0.582  0.438 -0.697  0.438 -0.819  0.438 -0.942  0.438 -1.064  0.438 -1.187  0.429 -1.307  0.374 -1.417  0.304 -1.515  0.202 -1.565  0.079 -1.565  -0.037 -1.549  -0.123 -1.463  -0.210 -1.376  -0.297 -1.289
3#app#app32#app3276/g  0.122 1.098  0.050 1.170  -0.044 1.188  -0.120 1.250  -0.211 1.279  -0.291 1.227  -0.377 1.188  -0.462 1.146  -0.534 1.074  -0.600 1.000  -0.600 0.898  -0.600 0.796  -0.558 0.737  -0.456 0.737  -0.420 0.671  -0.342 0.646  -0.240 0.646  -0.138 0.646  -0.036 0.646  0.066 0.646  0.154 0.614  0.226 0.542  0.298 0.470  0.303 0.370  0.315 0.273  0.387 0.201  0.393 0.102  0.393 -0.000  0.393 -0.102  0.393 -0.204  0.393 -0.306  0.393 -0.408  0.393 -0.510  0.393 -0.612  0.393 -0.714  0.388 -0.815  0.356 -0.912  0.323 -1.008  0.276 -1.096  0.213 -1.171  0.189 -1.250  0.122 -1.285  0.076 -1.341  0.032 -1.399  -0.038 -1.431  -0.140 -1.431  -0.239 -1.428  -0.249 -1.331  -0.321 -1.258  -0.420 -1.250
3#app#app32#app3276/l  0.091 1.698  0.091 1.627  0.091 1.557  0.091 1.487  0.091 1.417  0.091 1.347  0.091 1.277  0.091 1.206  0.091 1.136  0.091 1.066  0.091 0.996  0.091 0.926  0.091 0.856  0.091 0.785  0.091 0.715  0.091 0.645  0.091 0.575  0.091 0.505  0.079 0.437  0.048 0.375  0.017 0.312  -0.015 0.249  -0.046 0.186  -0.064 0.120  -0.064 0.050  -0.064 -0.020  -0.064 -0.090  -0.064 -0.160  -0.064 -0.231  -0.064 -0.301  -0.064 -0.371  -0.064 -0.441  -0.064 -0.511  -0.064 -0.581  -0.064 -0.652  -0.064 -0.722  -0.064 -0.792  -0.064 -0.862  -0.064 -0.932  -0.064 -1.002  -0.064 -1.073  -0.064 -1.143  -0.064 -1.213  -0.064 -1.283  -0.064 -1.353  -0.064 -1.423  -0.064 -1.493  -0.064 -1.564  -0.064 -1.634  -0.064 -1.704
3#app#app32#app3276/e  -0.883 0.703  -0.874 0.548  -0.709 0.548  -0.547 0.536  -0.400 0.462  -0.252 0.392  -0.087 0.392  0.077 0.392  0.232 0.368  0.348 0.251  0.507 0.236  0.671 0.236  0.680 0.080  0.845 0.080  1.009 0.080  1.142 0.112  1.142 0.277  1.093 0.392  0.986 0.450  0.986 0.615  0.932 0.757  0.810 0.859  0.645 0.859  0.481 0.859  0.316 0.859  0.152 0.859  0.052 0.794  -0.022 0.703  -0.162 0.645  -0.279 0.528  -0.395 0.412  -0.512 0.296  -0.628 0.179  -0.727 0.056  -0.751 -0.099  -0.867 -0.216  -0.883 -0.374  -0.883 -0.538  -0.883 -0.703  -0.873 -0.864  -0.757 -0.980  -0.640 -1.097  -0.524 -1.213  -0.404 -1.321  -0.239 -1.321  -0.075 -1.321  0.079 -1.348  0.195 -1.465  0.355 -1.477  0.519 -1.477
3#app#app32#app3276/r  -0.521 1.386  -0.521 1.258  -0.521 1.131  -0.521 1.003  -0.521 0.875  -0.521 0.748  -0.521 0.620  -0.521 0.493  -0.521 0.365  -0.521 0.238  -0.521 0.110  -0.521 -0.018  -0.521 -0.145  -0.521 -0.273  -0.521 -0.400  -0.521 -0.528  -0.521 -0.655  -0.521 -0.783  -0.521 -0.911  -0.521 -1.038  -0.521 -1.166  -0.521 -1.293  -0.521 -1.325  -0.521 -1.198  -0.446 -1.101  -0.356 -1.011  -0.266 -0.921  -0.175 -0.831  -0.127 -0.723  -0.127 -0.596  -0.044 -0.502  0.046 -0.412  0.112 -0.304  0.169 -0.190  0.226 -0.076  0.293 0.031  0.383 0.121  0.473 0.212  0.563 0.302  0.653 0.392  0.662 0.516  0.708 0.597  0.836 0.597  0.933 0.671  1.023 0.762  1.137 0.795  1.264 0.795  1.392 0.795  1.519 0.795  1.647 0.795
3#app#app32#app3276/s  0.009 1.349  -0.066 1.274  -0.142 1.198  -0.247 1.193  -0.354 1.193  -0.460 1.193  -0.556 1.145  -0.651 1.097  -0.747 1.049  -0.771 0.958  -0.741 0.881  -0.634 0.881  -0.615 0.793  -0.576 0.725  -0.469 0.725  -0.373 0.682  -0.277 0.634  -0.182 0.586  -0.099 0.521  -0.023 0.445  0.070 0.413  0.165 0.401  0.165 0.294  0.214 0.208  0.290 0.132  0.366 0.057  0.441 -0.019  0.517 -0.095  0.592 -0.170  0.634 -0.260  0.634 -0.367  0.634 -0.474  0.634 -0.580  0.634 -0.687  0.634 -0.794  0.634 -0.901  0.618 -0.992  0.511 -0.992  0.478 -1.066  0.453 -1.148  0.347 -1.148  0.240 -1.148  0.133 -1.148  0.026 -1.148  -0.081 -1.148  -0.188 -1.148  -0.295 -1.148  -0.401 -1.148  -0.508 -1.148  -0.615 -1.148
3#app#app32#app3276/_  -1.719 0.057  -1.648 0.057  -1.577 0.057  -1.505 0.057  -1.434 0.057  -1.363 0.057  -1.292 0.057  -1.221 0.057  -1.150 0.057  -1.079 0.057  -1.008 0.057  -0.936 0.057  -0.865 0.057  -0.794 0.057  -0.723 0.057  -0.652 0.057  -0.581 0.057  -0.510 0.057  -0.439 0.057  -0.368 0.057  -0.296 0.057  -0.225 0.057  -0.154 0.057  -0.083 0.057  -0.012 0.057  0.059 0.057  0.130 0.057  0.201 0.057  0.273 0.057  0.344 0.057  0.415 0.057  0.486 0.057  0.557 0.057  0.628 0.057  0.699 0.057  0.770 0.057  0.842 0.057  0.913 0.057  0.976 0.039  1.027 -0.011  1.077 -0.062  1.127 -0.112  1.177 -0.162  1.228 -0.212  1.278 -0.263  1.343 -0.278  1.414 -0.278  1.485 -0.278  1.556 -0.278  1.628 -0.278
3#app#app32#app3276/w  -0.341 0.494  -0.341 0.650  -0.341 0.806  -0.495 0.809  -0.499 0.961  -0.650 0.967  -0.657 0.818  -0.761 0.705  -0.815 0.571  -0.871 0.438  -0.973 0.323  -0.980 0.170  -1.091 0.060  -1.130 -0.080  -1.130 -0.237  -1.130 -0.393  -1.130 -0.549  -1.035 -0.611  -0.906 -0.677  -0.788 -0.769  -0.632 -0.769  -0.482 -0.752  -0.372 -0.641  -0.261 -0.531  -0.184 -0.407  -0.139 -0.295  -0.026 -0.252  0.016 -0.138  0.132 -0.178  0.132 -0.335  0.170 -0.453  0.290 -0.489  0.325 -0.611  0.481 -0.611  0.637 -0.611  0.794 -0.611  0.942 -0.590  1.052 -0.480  1.163 -0.369  1.237 -0.244  1.237 -0.087  1.237 0.069  1.189 0.178  1.079 0.224  1.079 0.380  1.079 0.537  1.060 0.689  0.990 0.829  0.921 0.969  0.921 1.125
3#app#app32#app3276/i  0.110 -0.159  0.110 -0.260  0.110 -0.361  0.110 -0.461  0.110 -0.562  0.110 -0.663  0.104 -0.761  0.033 -0.832  -0.009 -0.915  -0.009 -1.016  -0.009 -1.116  -0.009 -1.217  -0.009 -1.317  -0.009 -1.418  -0.009 -1.419  -0.009 -1.318  -0.009 -1.218  -0.009 -1.117  -0.009 -1.017  -0.009 -0.916  -0.009 -0.815  -0.009 -0.715  -0.009 -0.614  -0.009 -0.514  -0.009 -0.413  -0.009 -0.312  -0.009 -0.212  -0.009 -0.111  -0.009 -0.011  -0.009 0.090  -0.009 0.191  -0.009 0.291  -0.009 0.392  -0.009 0.492  -0.009 0.593  -0.009 0.694  -0.009 0.794  -0.009 0.895  -0.009 0.995  -0.009 1.096  -0.009 1.197  -0.009 1.297  -0.009 1.398  -0.009 1.498  -0.009 1.599  -0.009 1.700  -0.064 1.745  -0.128 1.708  -0.128 1.607  -0.128 1.507
3#app#app32#app3276/l  0.133 1.696  0.133 1.625  0.133 1.554  0.133 1.482  0.133 1.411  0.133 1.340  0.133 1.269  0.133 1.198  0.133 1.127  0.128 1.057  0.096 0.993  0.064 0.930  0.032 0.866  0.001 0.803  -0.031 0.739  -0.063 0.675  -0.076 0.607  -0.076 0.536  -0.076 0.465  -0.076 0.394  -0.076 0.323  -0.076 0.252  -0.076 0.181  -0.076 0.110  -0.076 0.038  -0.076 -0.033  -0.076 -0.104  -0.076 -0.175  -0.076 -0.246  -0.076 -0.317  -0.076 -0.388  -0.076 -0.459  -0.076 -0.530  -0.076 -0.602  -0.076 -0.673  -0.076 -0.744  -0.076 -0.815  -0.076 -0.886  -0.076 -0.957  -0.076 -1.028  -0.076 -1.099  -0.076 -1.170  -0.071 -1.239  -0.020 -1.290  0.030 -1.340  0.080 -1.390  0.130 -1.441  0.133 -1.510  0.133 -1.582  0.133 -1.653
3#app#app32#app3276/l  -0.016 1.648  0.036 1.597  0.088 1.545  0.139 1.493  0.181 1.437  0.181 1.363  0.181 1.290  0.181 1.217  0.181 1.143  0.181 1.070  0.181 0.997  0.181 0.923  0.181 0.850  0.181 0.776  0.181 0.703  0.181 0.630  0.181 0.556  0.181 0.483  0.181 0.410  0.181 0.336  0.176 0.265  0.125 0.213  0.073 0.161  0.021 0.109  -0.016 0.051  -0.016 -0.022  -0.016 -0.095  -0.016 -0.169  -0.016 -0.242  -0.016 -0.315  -0.016 -0.389  -0.016 -0.462  -0.028 -0.531  -0.080 -0.583  -0.132 -0.634  -0.184 -0.686  -0.213 -0.747  -0.213 -0.821  -0.213 -0.894  -0.213 -0.967  -0.213 -1.041  -0.213 -1.114  -0.213 -1.187  -0.213 -1.261  -0.213 -1.334  -0.213 -1.407  -0.213 -1.481  -0.213 -1.554  -0.213 -1.628  -0.213 -1.701
3#app#app32#app3276/_  -1.541 0.223  -1.469 0.223  -1.397 0.223  -1.325 0.223  -1.289 0.187  -1.289 0.115  -1.289 0.043  -1.289 -0.029  -1.217 -0.029  -1.145 -0.029  -1.073 -0.029  -1.001 -0.029  -0.929 -0.029  -0.857 -0.029  -0.785 -0.029  -0.713 -0.029  -0.641 -0.029  -0.569 -0.029  -0.497 -0.029  -0.425 -0.029  -0.353 -0.029  -0.281 -0.029  -0.209 -0.029  -0.137 -0.029  -0.065 -0.029  0.007 -0.029  0.079 -0.029  0.151 -0.029  0.223 -0.029  0.295 -0.029  0.367 -0.029  0.439 -0.029  0.511 -0.029  0.583 -0.029  0.655 -0.029  0.727 -0.029  0.799 -0.029  0.871 -0.029  0.943 -0.029  1.015 -0.029  1.087 -0.029  1.159 -0.029  1.231 -0.029  1.304 -0.029  1.376 -0.029  1.448 -0.029  1.520 -0.029  1.592 -0.029  1.664 -0.029  1.736 -0.029
3#app#app32#app3276/_  -1.263 -0.989  -1.263 -0.906  -1.263 -0.824  -1.263 -0.741  -1.263 -0.659  -1.213 -0.597  -1.155 -0.539  -1.096 -0.480  -1.038 -0.422  -0.980 -0.364  -0.921 -0.305  -0.839 -0.305  -0.757 -0.305  -0.674 -0.305  -0.592 -0.305  -0.580 -0.235  -0.580 -0.152  -0.580 -0.070  -0.580 0.013  -0.521 0.036  -0.438 0.036  -0.356 0.036  -0.273 0.036  -0.205 0.070  -0.147 0.128  -0.088 0.186  -0.030 0.245  0.028 0.303  0.087 0.361  0.162 0.378  0.245 0.378  0.327 0.378  0.410 0.378  0.492 0.378  0.575 0.378  0.657 0.378  0.739 0.378  0.822 0.378  0.904 0.378  0.987 0.378  1.069 0.378  1.152 0.378  1.234 0.378  1.317 0.378  1.399 0.378  1.470 0.366  1.470 0.284  1.470 0.201  1.470 0.119  1.470 0.036
3#app#app32#app3276/d  0.402 1.856  0.500 1.758  0.608 1.724  0.608 1.585  0.562 1.457  0.505 1.332  0.505 1.193  0.505 1.055  0.505 0.916  0.505 0.777  0.505 0.639  0.450 0.513  0.402 0.386  0.402 0.247  0.402 0.108  0.402 -0.030  0.369 -0.161  0.307 -0.285  0.300 -0.422  0.300 -0.561  0.300 -0.700  0.210 -0.801  0.209 -0.906  0.300 -0.805  0.300 -0.666  0.300 -0.527  0.383 -0.423  0.402 -0.292  0.402 -0.154  0.402 -0.015  0.320 0.089  0.190 0.110  0.051 0.110  -0.088 0.110  -0.193 0.028  -0.311 -0.042  -0.437 -0.096  -0.560 -0.134  -0.658 -0.232  -0.764 -0.319  -0.888 -0.381  -0.933 -0.492  -1.021 -0.594  -1.119 -0.692  -1.138 -0.823  -1.138 -0.962  -1.058 -1.020  -0.954 -1.102  -0.826 -1.128  -0.728 -1.226
3#app#app32#app3276/e  -0.462 0.295  -0.365 0.198  -0.256 0.129  -0.119 0.129  0.019 0.129  0.036 0.009  0.127 -0.037  0.265 -0.037  0.402 -0.037  0.539 -0.037  0.677 -0.037  0.814 -0.037  0.952 -0.037  1.032 0.020  1.060 0.129  1.198 0.129  1.198 0.266  1.198 0.403  1.198 0.541  1.161 0.663  1.064 0.760  0.940 0.793  0.803 0.793  0.666 0.793  0.528 0.793  0.391 0.793  0.266 0.742  0.143 0.680  0.018 0.627  -0.119 0.627  -0.219 0.537  -0.316 0.440  -0.414 0.343  -0.511 0.246  -0.608 0.149  -0.705 0.052  -0.802 -0.045  -0.899 -0.143  -0.960 -0.255  -0.960 -0.392  -0.960 -0.530  -0.960 -0.667  -0.960 -0.804  -0.960 -0.942  -0.960 -1.079  -0.960 -1.216  -0.960 -1.354  -0.871 -1.454  -0.765 -1.531  -0.628 -1.531
3#app#app32#app3276/s  -0.503 1.271  -0.607 1.271  -0.710 1.271  -0.814 1.271  -0.902 1.255  -0.902 1.151  -0.885 1.055  -0.812 0.981  -0.738 0.908  -0.703 0.819  -0.703 0.715  -0.642 0.673  -0.538 0.673  -0.434 0.673  -0.330 0.673  -0.235 0.638  -0.142 0.592  -0.049 0.545  0.043 0.499  0.128 0.441  0.201 0.368  0.274 0.294  0.295 0.199  0.295 0.095  0.378 0.074  0.481 0.074  0.494 -0.016  0.494 -0.120  0.593 -0.125  0.694 -0.128  0.694 -0.232  0.694 -0.336  0.694 -0.439  0.694 -0.543  0.694 -0.647  0.694 -0.750  0.694 -0.854  0.669 -0.948  0.596 -1.021  0.522 -1.094  0.430 -1.123  0.327 -1.123  0.223 -1.123  0.119 -1.123  0.015 -1.123  -0.088 -1.123  -0.192 -1.123  -0.296 -1.123  -0.399 -1.123  -0.503 -1.123
3#app#app32#app3276/c  0.616 1.681  0.551 1.616  0.486 1.551  0.428 1.483  0.428 1.391  0.424 1.301  0.359 1.236  0.294 1.171  0.229 1.105  0.164 1.040  0.099 0.975  0.051 0.904  0.051 0.812  0.038 0.725  -0.027 0.660  -0.092 0.595  -0.138 0.522  -0.138 0.430  -0.154 0.345  -0.219 0.280  -0.284 0.215  -0.326 0.140  -0.326 0.048  -0.354 -0.016  -0.446 -0.016  -0.515 -0.039  -0.515 -0.131  -0.515 -0.223  -0.515 -0.315  -0.515 -0.407  -0.515 -0.499  -0.508 -0.588  -0.443 -0.653  -0.378 -0.718  -0.326 -0.789  -0.326 -0.881  -0.313 -0.959  -0.221 -0.959  -0.129 -0.959  -0.037 -0.959  0.054 -0.962  0.119 -1.027  0.184 -1.092  0.253 -1.147  0.345 -1.147  0.437 -1.147  0.529 -1.147  0.621 -1.147  0.713 -1.147  0.805 -1.147
