1d#app#app11#app1188/!  0.024 1.712  0.024 1.639  0.024 1.566  -0.013 1.508  -0.060 1.454  -0.060 1.381  -0.060 1.308  -0.060 1.235  -0.060 1.162  -0.060 1.089  -0.060 1.016  -0.060 0.943  -0.060 0.869  -0.060 0.796  -0.060 0.723  -0.060 0.650  -0.060 0.577  -0.060 0.504  -0.060 0.431  -0.060 0.358  -0.060 0.284  -0.060 0.211  -0.060 0.138  -0.060 0.065  -0.060 -0.008  -0.060 -0.081  -0.040 -0.146  0.012 -0.198  0.024 -0.266  0.024 -0.339  0.024 -0.412  0.024 -0.485  0.024 -0.559  0.028 -0.628  0.101 -0.628  0.101 -0.694  0.095 -0.767  0.088 -0.840  0.081 -0.913  0.075 -0.985  0.068 -1.058  0.062 -1.131  0.055 -1.204  0.048 -1.277  0.042 -1.350  0.035 -1.422  0.029 -1.495  0.045 -1.547  0.107 -1.558  0.107 -1.631
1d#app#app11#app1188/~  -1.351 -0.452  -1.237 -0.452  -1.152 -0.423  -1.152 -0.309  -1.152 -0.195  -1.152 -0.082  -1.152 0.032  -1.150 0.144  -1.036 0.144  -0.953 0.175  -0.953 0.289  -0.893 0.343  -0.779 0.343  -0.754 0.432  -0.750 0.542  -0.636 0.542  -0.556 0.509  -0.556 0.395  -0.556 0.281  -0.556 0.167  -0.465 0.144  -0.357 0.138  -0.357 0.024  -0.322 -0.055  -0.208 -0.055  -0.158 -0.119  -0.158 -0.232  -0.092 -0.319  -0.012 -0.400  0.080 -0.452  0.194 -0.452  0.308 -0.452  0.422 -0.452  0.536 -0.452  0.637 -0.440  0.637 -0.326  0.679 -0.253  0.793 -0.253  0.886 -0.203  0.967 -0.123  1.047 -0.042  1.128 0.038  1.208 0.119  1.311 0.144  1.425 0.144  1.508 0.220  1.588 0.300  1.669 0.381  1.750 0.461  1.830 0.542
1d#app#app11#app1188/  -1.771 -0.071  -1.696 -0.071  -1.620 -0.071  -1.545 -0.071  -1.470 -0.071  -1.395 -0.071  -1.320 -0.071  -1.245 -0.071  -1.169 -0.071  -1.094 -0.071  -1.019 -0.071  -0.944 -0.071  -0.869 -0.071  -0.794 -0.071  -0.718 -0.071  -0.643 -0.071  -0.568 -0.071  -0.493 -0.071  -0.418 -0.071  -0.343 -0.071  -0.267 -0.071  -0.192 -0.071  -0.117 -0.071  -0.042 -0.071  0.033 -0.071  0.108 -0.071  0.184 -0.071  0.259 -0.071  0.334 -0.071  0.409 -0.071  0.484 -0.071  0.559 -0.071  0.635 -0.071  0.710 -0.071  0.785 -0.071  0.860 -0.071  0.935 -0.071  1.010 -0.071  1.086 -0.071  1.094 -0.004  1.094 0.071  1.094 0.146  1.094 0.222  1.094 0.297  1.127 0.338  1.203 0.338  1.278 0.338  1.353 0.338  1.428 0.338  1.503 0.338
1d#app#app11#app1188/_  -1.531 -0.411  -1.455 -0.411  -1.379 -0.411  -1.357 -0.357  -1.357 -0.281  -1.325 -0.238  -1.249 -0.238  -1.176 -0.230  -1.123 -0.177  -1.069 -0.123  -1.015 -0.069  -0.942 -0.064  -0.866 -0.064  -0.790 -0.064  -0.714 -0.064  -0.638 -0.064  -0.562 -0.064  -0.489 -0.061  -0.489 0.014  -0.489 0.090  -0.433 0.110  -0.357 0.110  -0.281 0.110  -0.205 0.110  -0.129 0.110  -0.053 0.110  0.022 0.110  0.098 0.110  0.174 0.110  0.250 0.110  0.326 0.110  0.402 0.110  0.478 0.110  0.553 0.110  0.629 0.110  0.705 0.110  0.781 0.110  0.857 0.110  0.933 0.110  1.009 0.110  1.084 0.110  1.160 0.110  1.236 0.110  1.312 0.110  1.388 0.110  1.464 0.110  1.539 0.110  1.615 0.110  1.691 0.110  1.767 0.110
1d#app#app11#app1188/+  -0.047 1.740  -0.047 1.558  -0.047 1.375  -0.047 1.192  -0.047 1.010  -0.047 0.827  -0.047 0.645  -0.047 0.462  -0.047 0.279  -0.047 0.097  -0.047 -0.086  0.037 -0.234  0.166 -0.363  0.190 -0.536  0.190 -0.718  0.190 -0.901  0.190 -1.083  0.311 -1.216  0.426 -1.351  0.426 -1.533  0.328 -1.455  0.208 -1.318  0.087 -1.180  -0.033 -1.043  -0.153 -0.906  -0.273 -0.768  -0.394 -0.631  -0.514 -0.493  -0.634 -0.356  -0.754 -0.218  -0.875 -0.081  -0.995 0.056  -1.115 0.194  -1.217 0.323  -1.034 0.323  -0.852 0.323  -0.669 0.323  -0.486 0.323  -0.304 0.323  -0.121 0.323  0.061 0.323  0.244 0.323  0.426 0.323  0.556 0.452  0.694 0.559  0.877 0.559  1.059 0.559  1.242 0.559  1.424 0.559  1.607 0.559
1d#app#app11#app1188/=  -1.679 0.449  -1.508 0.449  -1.336 0.449  -1.165 0.449  -0.993 0.449  -0.822 0.449  -0.650 0.449  -0.479 0.449  -0.451 0.592  -0.443 0.756  -0.271 0.756  -0.100 0.756  0.072 0.756  0.243 0.756  0.415 0.756  0.586 0.756  0.758 0.756  0.929 0.756  1.096 0.745  1.218 0.624  1.339 0.502  1.307 0.406  1.154 0.329  1.001 0.252  0.847 0.176  0.694 0.099  0.540 0.022  0.387 -0.054  0.233 -0.131  0.080 -0.208  -0.073 -0.285  -0.227 -0.361  -0.380 -0.438  -0.534 -0.515  -0.687 -0.591  -0.841 -0.668  -0.994 -0.745  -0.973 -0.780  -0.801 -0.780  -0.630 -0.780  -0.458 -0.780  -0.287 -0.780  -0.115 -0.780  0.056 -0.780  0.228 -0.780  0.399 -0.780  0.571 -0.780  0.743 -0.780  0.914 -0.780  1.086 -0.780
1d#app#app11#app1188/[  0.542 1.438  0.542 1.343  0.542 1.249  0.515 1.181  0.421 1.181  0.327 1.181  0.248 1.143  0.181 1.077  0.096 1.053  0.010 1.034  -0.057 0.967  -0.134 0.925  -0.228 0.925  -0.322 0.925  -0.399 0.881  -0.466 0.815  -0.435 0.748  -0.369 0.681  -0.356 0.592  -0.356 0.498  -0.356 0.403  -0.356 0.309  -0.287 0.283  -0.227 0.248  -0.227 0.154  -0.227 0.059  -0.227 -0.035  -0.227 -0.129  -0.227 -0.224  -0.227 -0.318  -0.227 -0.413  -0.227 -0.507  -0.227 -0.601  -0.170 -0.672  -0.103 -0.739  -0.099 -0.831  -0.099 -0.926  -0.099 -1.020  -0.099 -1.115  -0.099 -1.209  -0.051 -1.255  0.043 -1.255  0.138 -1.255  0.232 -1.255  0.327 -1.255  0.421 -1.255  0.515 -1.255  0.610 -1.255  0.704 -1.255  0.799 -1.255
1d#app#app11#app1188/]  -1.050 1.044  -0.952 1.044  -0.854 1.044  -0.756 1.044  -0.658 1.044  -0.560 1.044  -0.461 1.044  -0.363 1.044  -0.265 1.044  -0.167 1.044  -0.069 1.044  0.029 1.044  0.127 1.044  0.133 1.137  0.133 1.090  0.133 0.992  0.133 0.894  0.133 0.796  0.133 0.698  0.133 0.599  0.133 0.501  0.133 0.403  0.133 0.305  0.133 0.207  0.133 0.109  0.133 0.011  0.133 -0.088  0.133 -0.186  0.160 -0.257  0.251 -0.264  0.251 -0.362  0.251 -0.460  0.251 -0.558  0.251 -0.656  0.251 -0.754  0.254 -0.851  0.323 -0.921  0.369 -1.000  0.369 -1.098  0.369 -1.196  0.369 -1.294  0.369 -1.250  0.319 -1.203  0.220 -1.203  0.123 -1.208  0.036 -1.252  -0.052 -1.295  -0.144 -1.321  -0.242 -1.321  -0.340 -1.321
1d#app#app11#app1188/{  0.386 1.724  0.364 1.618  0.280 1.576  0.216 1.513  0.114 1.452  0.005 1.407  -0.037 1.323  -0.143 1.301  -0.233 1.211  -0.249 1.091  -0.354 1.069  -0.354 0.942  -0.354 0.815  -0.354 0.688  -0.354 0.561  -0.249 0.540  -0.206 0.455  -0.143 0.391  -0.058 0.350  -0.036 0.243  0.053 0.153  0.068 0.033  0.047 -0.073  -0.037 -0.116  -0.101 -0.179  -0.203 -0.239  -0.312 -0.285  -0.270 -0.285  -0.249 -0.179  -0.122 -0.179  -0.007 -0.209  0.089 -0.285  0.174 -0.326  0.237 -0.390  0.280 -0.475  0.280 -0.602  0.174 -0.623  0.174 -0.750  0.110 -0.813  0.068 -0.899  -0.037 -0.920  -0.037 -1.047  -0.037 -1.174  -0.037 -1.301  0.049 -1.342  0.071 -1.447  0.191 -1.464  0.281 -1.554  0.371 -1.644  0.491 -1.659
1d#app#app11#app1188/}  -0.651 1.547  -0.541 1.547  -0.430 1.547  -0.320 1.547  -0.230 1.526  -0.204 1.442  -0.125 1.410  -0.099 1.310  -0.020 1.232  -0.017 1.123  0.062 1.045  0.086 0.944  0.086 0.833  0.147 0.748  0.191 0.656  0.191 0.545  0.149 0.452  0.086 0.367  0.059 0.284  -0.020 0.251  -0.046 0.152  -0.125 0.074  -0.120 -0.032  -0.020 -0.042  -0.004 -0.137  0.086 -0.158  0.112 -0.243  0.222 -0.243  0.333 -0.243  0.359 -0.243  0.296 -0.290  0.243 -0.348  0.191 -0.406  0.127 -0.453  0.037 -0.502  -0.050 -0.559  -0.125 -0.594  -0.125 -0.705  -0.125 -0.816  -0.125 -0.926  -0.068 -0.980  -0.020 -1.042  -0.020 -1.153  0.054 -1.190  0.086 -1.269  0.086 -1.380  0.086 -1.490  0.086 -1.601  0.086 -1.711  0.086 -1.822
1d#app#app11#app1188/\\  -0.919 1.385  -0.919 1.314  -0.919 1.242  -0.879 1.188  -0.829 1.137  -0.778 1.087  -0.728 1.036  -0.677 0.986  -0.627 0.935  -0.604 0.873  -0.604 0.801  -0.587 0.737  -0.536 0.687  -0.486 0.636  -0.435 0.586  -0.385 0.535  -0.334 0.485  -0.289 0.432  -0.289 0.360  -0.289 0.289  -0.260 0.224  -0.228 0.160  -0.196 0.097  -0.164 0.033  -0.132 -0.031  -0.082 -0.082  -0.032 -0.133  0.019 -0.183  0.069 -0.234  0.120 -0.284  0.170 -0.335  0.221 -0.385  0.271 -0.436  0.322 -0.486  0.372 -0.537  0.423 -0.588  0.473 -0.638  0.524 -0.689  0.574 -0.739  0.625 -0.790  0.675 -0.840  0.726 -0.891  0.776 -0.941  0.827 -0.992  0.877 -1.042  0.928 -1.093  0.979 -1.143  1.029 -1.194  1.080 -1.244  1.130 -1.295
1d#app#app11#app1188/,  -0.297 1.523  -0.297 1.447  -0.297 1.370  -0.297 1.294  -0.297 1.218  -0.297 1.142  -0.237 1.126  -0.161 1.126  -0.084 1.126  -0.008 1.126  0.068 1.126  0.099 1.081  0.099 1.005  0.099 0.929  0.099 0.853  0.099 0.776  0.099 0.700  0.099 0.624  0.099 0.548  0.099 0.471  0.099 0.395  0.099 0.319  0.099 0.243  0.099 0.167  0.099 0.090  0.099 0.014  0.099 -0.062  0.099 -0.138  0.099 -0.215  0.099 -0.291  0.099 -0.367  0.099 -0.443  0.099 -0.520  0.099 -0.596  0.099 -0.672  0.099 -0.748  0.099 -0.824  0.099 -0.901  0.099 -0.977  0.099 -1.053  0.099 -1.129  0.099 -1.206  0.080 -1.274  0.026 -1.328  -0.028 -1.381  -0.082 -1.435  -0.136 -1.489  -0.190 -1.543  -0.244 -1.597  -0.297 -1.651
1d#app#app11#app1188/  0.845 1.466  0.793 1.414  0.741 1.362  0.690 1.311  0.638 1.259  0.635 1.187  0.635 1.113  0.630 1.042  0.579 0.990  0.527 0.939  0.475 0.887  0.426 0.834  0.426 0.761  0.426 0.687  0.416 0.618  0.364 0.566  0.312 0.515  0.261 0.463  0.212 0.409  0.179 0.343  0.146 0.278  0.113 0.212  0.081 0.147  0.048 0.081  0.015 0.016  -0.032 -0.039  -0.084 -0.091  -0.136 -0.143  -0.188 -0.195  -0.203 -0.262  -0.203 -0.335  -0.203 -0.408  -0.203 -0.482  -0.203 -0.555  -0.203 -0.628  -0.254 -0.680  -0.306 -0.732  -0.357 -0.784  -0.409 -0.836  -0.461 -0.887  -0.513 -0.939  -0.565 -0.991  -0.616 -1.043  -0.668 -1.095  -0.720 -1.146  -0.772 -1.198  -0.824 -1.250  -0.831 -1.320  -0.831 -1.393  -0.831 -1.467
1d#app#app11#app1188/?  -0.592 1.168  -0.483 1.168  -0.374 1.168  -0.264 1.168  -0.155 1.168  -0.046 1.168  0.063 1.168  0.172 1.168  0.189 1.074  0.261 1.037  0.370 1.037  0.449 1.007  0.456 0.901  0.533 0.823  0.579 0.733  0.579 0.624  0.577 0.517  0.467 0.517  0.449 0.426  0.379 0.387  0.270 0.387  0.189 0.359  0.182 0.257  0.072 0.257  -0.009 0.189  -0.092 0.127  -0.201 0.127  -0.202 0.018  -0.290 -0.003  -0.379 -0.051  -0.457 -0.128  -0.462 -0.235  -0.462 -0.344  -0.420 -0.436  -0.342 -0.513  -0.332 -0.618  -0.280 -0.706  -0.203 -0.783  -0.094 -0.784  -0.072 -0.871  -0.063 -0.980  -0.050 -1.088  -0.036 -1.196  -0.023 -1.305  -0.009 -1.413  0.004 -1.521  0.018 -1.630  0.031 -1.738  0.045 -1.847  0.058 -1.955
1d#app#app11#app1188/'  -0.504 1.344  -0.430 1.344  -0.355 1.344  -0.281 1.344  -0.207 1.344  -0.133 1.344  -0.059 1.344  -0.013 1.315  -0.013 1.241  -0.013 1.167  -0.013 1.093  -0.013 1.019  -0.013 0.944  -0.013 0.870  -0.013 0.796  -0.013 0.722  -0.013 0.647  -0.013 0.573  -0.013 0.499  -0.013 0.425  -0.013 0.350  -0.013 0.276  -0.013 0.202  -0.013 0.128  -0.013 0.054  -0.013 -0.021  -0.013 -0.095  -0.013 -0.169  -0.013 -0.243  -0.013 -0.318  -0.013 -0.392  -0.013 -0.466  -0.013 -0.540  -0.013 -0.615  -0.013 -0.689  -0.013 -0.763  -0.013 -0.837  -0.013 -0.911  -0.013 -0.986  -0.013 -1.060  0.005 -1.127  0.057 -1.179  0.110 -1.232  0.162 -1.284  0.215 -1.337  0.267 -1.389  0.320 -1.442  0.372 -1.494  0.425 -1.547  0.477 -1.599
1d#app#app11#app1188/\"  -1.063 1.074  -0.915 1.074  -0.766 1.074  -0.733 0.959  -0.733 0.810  -0.733 0.662  -0.733 0.513  -0.733 0.365  -0.733 0.216  -0.733 0.068  -0.733 -0.080  -0.733 -0.229  -0.733 -0.377  -0.733 -0.526  -0.733 -0.674  -0.733 -0.823  -0.733 -0.971  -0.733 -1.120  -0.699 -1.234  -0.551 -1.234  -0.403 -1.232  -0.329 -1.103  -0.256 -0.974  -0.182 -0.845  -0.108 -0.717  -0.035 -0.588  0.039 -0.459  0.113 -0.330  0.186 -0.201  0.260 -0.072  0.334 0.057  0.407 0.186  0.481 0.315  0.555 0.443  0.628 0.572  0.702 0.701  0.775 0.830  0.849 0.959  0.915 1.059  0.915 0.910  0.915 0.762  0.915 0.613  0.915 0.465  0.915 0.317  0.915 0.168  0.915 0.020  0.915 -0.129  0.915 -0.277  0.915 -0.426  0.915 -0.574
1d#app#app11#app1188/<  0.582 1.630  0.582 1.502  0.582 1.374  0.582 1.247  0.471 1.229  0.382 1.192  0.382 1.064  0.289 1.029  0.181 1.009  0.181 0.882  0.106 0.829  -0.021 0.827  -0.111 0.737  -0.201 0.647  -0.219 0.526  -0.249 0.429  -0.377 0.429  -0.419 0.344  -0.432 0.229  -0.559 0.229  -0.619 0.161  -0.619 0.033  -0.706 -0.058  -0.796 -0.148  -0.914 -0.172  -1.019 -0.194  -1.019 -0.322  -0.942 -0.372  -0.814 -0.372  -0.687 -0.372  -0.559 -0.372  -0.432 -0.372  -0.304 -0.372  -0.219 -0.414  -0.219 -0.542  -0.121 -0.572  -0.001 -0.590  0.089 -0.680  0.179 -0.770  0.306 -0.772  0.382 -0.824  0.382 -0.952  0.489 -0.972  0.617 -0.972  0.744 -0.972  0.872 -0.972  0.982 -0.990  0.982 -1.117  1.054 -1.172  1.182 -1.172
1d#app#app11#app1188/|  -0.191 1.684  -0.191 1.613  -0.191 1.542  -0.191 1.471  -0.191 1.400  -0.191 1.329  -0.191 1.258  -0.191 1.187  -0.191 1.116  -0.191 1.045  -0.181 0.978  -0.131 0.928  -0.081 0.878  -0.075 0.809  -0.075 0.739  -0.075 0.668  -0.075 0.597  -0.075 0.526  -0.075 0.455  -0.075 0.384  -0.075 0.313  -0.063 0.244  -0.046 0.175  -0.028 0.106  -0.011 0.037  0.006 -0.032  0.023 -0.101  0.040 -0.169  0.040 -0.240  0.040 -0.311  0.040 -0.382  0.040 -0.453  0.040 -0.524  0.040 -0.595  0.040 -0.666  0.040 -0.737  0.067 -0.802  0.099 -0.865  0.130 -0.928  0.156 -0.993  0.156 -1.064  0.156 -1.135  0.156 -1.206  0.185 -1.270  0.217 -1.334  0.249 -1.397  0.272 -1.462  0.272 -1.533  0.272 -1.604  0.272 -1.675
1d#app#app11#app1188/>  -0.759 1.574  -0.759 1.460  -0.759 1.347  -0.759 1.233  -0.709 1.168  -0.596 1.168  -0.556 1.094  -0.556 0.981  -0.457 0.966  -0.353 0.956  -0.353 0.842  -0.318 0.763  -0.205 0.763  -0.091 0.763  0.023 0.763  0.053 0.679  0.053 0.565  0.130 0.483  0.210 0.403  0.256 0.308  0.256 0.194  0.330 0.154  0.444 0.154  0.459 0.055  0.459 -0.059  0.459 -0.172  0.493 -0.252  0.607 -0.252  0.721 -0.252  0.834 -0.252  0.780 -0.252  0.667 -0.252  0.661 -0.360  0.642 -0.455  0.528 -0.455  0.427 -0.486  0.347 -0.566  0.266 -0.647  0.186 -0.727  0.105 -0.808  0.025 -0.888  -0.056 -0.969  -0.136 -1.049  -0.217 -1.130  -0.297 -1.210  -0.377 -1.291  -0.458 -1.371  -0.538 -1.452  -0.556 -1.558  -0.556 -1.672
