3#apa#apa20#app2022/A  -0.070 0.805  -0.241 0.708  -0.329 0.479  -0.432 0.249  -0.456 -0.008  -0.464 -0.273  -0.553 -0.519  -0.553 -0.786  -0.570 -1.046  -0.649 -1.280  -0.685 -1.512  -0.746 -1.306  -0.746 -1.039  -0.649 -0.812  -0.649 -0.544  -0.615 -0.285  -0.539 -0.036  -0.456 0.211  -0.346 0.433  -0.263 0.665  -0.241 0.923  -0.137 1.153  -0.056 1.398  0.026 1.631  0.123 1.801  0.266 1.724  0.318 1.478  0.412 1.250  0.423 0.987  0.509 0.756  0.564 0.502  0.606 0.245  0.702 0.018  0.765 -0.223  0.799 -0.477  0.803 -0.740  0.895 -0.914  0.847 -1.098  0.616 -0.963  0.386 -0.829  0.155 -0.694  -0.076 -0.559  -0.313 -0.450  -0.456 -0.270  -0.298 -0.161  -0.035 -0.143  0.213 -0.064  0.480 -0.064  0.725 -0.161  0.992 -0.161
3#apa#apa20#app2022/l  -0.214 1.424  -0.214 1.497  -0.214 1.571  -0.214 1.503  -0.214 1.429  -0.214 1.356  -0.214 1.282  -0.214 1.209  -0.214 1.136  -0.214 1.062  -0.214 0.989  -0.214 0.916  -0.214 0.842  -0.173 0.786  -0.122 0.734  -0.070 0.682  -0.065 0.611  -0.065 0.537  -0.065 0.464  -0.065 0.391  -0.065 0.317  -0.065 0.244  -0.023 0.188  0.028 0.136  0.080 0.084  0.085 0.012  0.085 -0.061  0.085 -0.134  0.085 -0.208  0.085 -0.281  0.085 -0.355  0.085 -0.428  0.085 -0.501  0.085 -0.575  0.085 -0.648  0.085 -0.721  0.085 -0.795  0.085 -0.868  0.085 -0.941  0.106 -1.010  0.139 -1.075  0.172 -1.141  0.205 -1.207  0.234 -1.273  0.234 -1.346  0.234 -1.420  0.234 -1.493  0.234 -1.567  0.234 -1.640  0.234 -1.713
3#apa#apa20#app2022/e  -1.276 0.087  -1.276 -0.085  -1.216 -0.198  -1.043 -0.198  -0.871 -0.198  -0.698 -0.198  -0.526 -0.198  -0.353 -0.198  -0.181 -0.198  -0.009 -0.198  0.164 -0.198  0.336 -0.198  0.509 -0.198  0.681 -0.198  0.853 -0.198  1.026 -0.198  1.198 -0.198  1.288 -0.115  1.288 0.057  1.288 0.229  1.288 0.402  1.288 0.574  1.198 0.657  1.026 0.657  0.898 0.763  0.776 0.885  0.627 0.942  0.454 0.942  0.282 0.942  0.121 0.914  -0.001 0.792  -0.123 0.670  -0.290 0.657  -0.462 0.657  -0.635 0.657  -0.706 0.556  -0.706 0.383  -0.706 0.211  -0.706 0.038  -0.706 -0.134  -0.706 -0.306  -0.706 -0.479  -0.706 -0.651  -0.666 -0.807  -0.544 -0.929  -0.422 -1.051  -0.300 -1.173  -0.178 -1.295  -0.024 -1.337  0.149 -1.337
3#apa#apa20#app2022/a  -0.579 1.277  -0.381 1.277  -0.363 1.457  -0.201 1.493  -0.003 1.493  0.159 1.404  0.286 1.259  0.286 1.060  0.484 1.060  0.502 0.880  0.617 0.729  0.719 0.573  0.682 0.411  0.484 0.411  0.286 0.411  0.088 0.411  -0.110 0.411  -0.309 0.411  -0.507 0.411  -0.668 0.322  -0.808 0.182  -0.948 0.042  -1.012 -0.130  -1.012 -0.328  -1.012 -0.526  -1.012 -0.724  -0.986 -0.912  -0.846 -1.052  -0.669 -1.103  -0.471 -1.103  -0.272 -1.103  -0.074 -1.103  0.124 -1.103  0.286 -1.067  0.299 -0.874  0.439 -0.733  0.502 -0.561  0.502 -0.363  0.502 -0.165  0.502 0.033  0.466 0.195  0.286 0.177  0.286 -0.021  0.286 -0.219  0.286 -0.418  0.401 -0.568  0.502 -0.724  0.539 -0.886  0.719 -0.905  0.719 -1.103
3#apa#apa20#app2022/r  -0.662 0.652  -0.662 0.532  -0.662 0.412  -0.662 0.292  -0.662 0.173  -0.662 0.053  -0.662 -0.067  -0.662 -0.187  -0.662 -0.307  -0.662 -0.427  -0.662 -0.547  -0.650 -0.662  -0.566 -0.746  -0.481 -0.831  -0.445 -0.936  -0.445 -1.056  -0.380 -1.149  -0.295 -1.234  -0.203 -1.301  -0.083 -1.301  -0.011 -1.253  -0.011 -1.133  0.039 -1.034  0.123 -0.949  0.206 -0.863  0.206 -0.743  0.206 -0.623  0.206 -0.504  0.206 -0.384  0.206 -0.264  0.256 -0.165  0.341 -0.080  0.423 0.006  0.423 0.126  0.423 0.246  0.423 0.366  0.423 0.485  0.423 0.605  0.423 0.725  0.423 0.845  0.423 0.965  0.423 1.085  0.423 1.205  0.423 1.324  0.423 1.444  0.467 1.520  0.587 1.520  0.687 1.472  0.772 1.388  0.857 1.303
3#apa#apa20#app2022/e  0.168 0.189  0.305 0.189  0.443 0.189  0.580 0.189  0.717 0.189  0.855 0.189  0.992 0.189  1.129 0.189  1.144 0.311  1.144 0.449  1.137 0.579  1.000 0.579  0.949 0.666  0.920 0.774  0.783 0.774  0.645 0.774  0.508 0.774  0.371 0.774  0.233 0.774  0.096 0.774  -0.041 0.774  -0.179 0.774  -0.316 0.774  -0.453 0.774  -0.591 0.774  -0.613 0.659  -0.653 0.538  -0.751 0.441  -0.808 0.328  -0.808 0.190  -0.904 0.093  -1.001 -0.005  -1.003 -0.141  -0.969 -0.270  -0.908 -0.393  -0.846 -0.516  -0.808 -0.644  -0.808 -0.782  -0.676 -0.787  -0.613 -0.861  -0.597 -0.983  -0.460 -0.983  -0.350 -1.050  -0.253 -1.147  -0.128 -1.178  0.009 -1.178  0.146 -1.178  0.284 -1.178  0.421 -1.178  0.558 -1.178
3#apa#apa20#app2022/d  0.034 2.052  0.165 2.014  0.165 1.844  0.165 1.674  0.165 1.504  0.165 1.335  0.165 1.165  0.165 0.995  0.165 0.825  0.165 0.655  0.165 0.485  0.165 0.315  0.165 0.145  0.165 -0.024  0.266 -0.152  0.297 -0.310  0.297 -0.480  0.297 -0.649  0.408 -0.708  0.428 -0.559  0.428 -0.389  0.428 -0.219  0.428 -0.049  0.400 0.109  0.297 0.236  0.234 0.343  0.064 0.343  -0.106 0.343  -0.275 0.343  -0.445 0.343  -0.615 0.343  -0.738 0.229  -0.858 0.109  -0.887 -0.049  -0.887 -0.219  -0.887 -0.389  -0.887 -0.558  -0.873 -0.722  -0.752 -0.843  -0.632 -0.963  -0.466 -0.971  -0.315 -1.017  -0.181 -1.103  -0.011 -1.103  0.159 -1.103  0.329 -1.103  0.499 -1.103  0.637 -1.026  0.784 -0.971  0.954 -0.971
3#apa#apa20#app2022/f  0.814 1.174  0.793 1.317  0.686 1.424  0.578 1.531  0.431 1.540  0.279 1.540  0.128 1.540  0.007 1.465  -0.100 1.358  -0.226 1.296  -0.283 1.202  -0.284 1.051  -0.352 0.916  -0.405 0.777  -0.405 0.625  -0.405 0.474  -0.405 0.322  -0.405 0.171  -0.379 0.026  -0.312 -0.110  -0.283 -0.255  -0.200 -0.372  -0.093 -0.479  -0.040 -0.608  0.008 -0.748  0.075 -0.884  0.179 -0.994  0.204 -1.135  0.307 -1.244  0.326 -1.387  0.326 -1.475  0.286 -1.339  0.188 -1.224  0.089 -1.109  -0.009 -0.994  -0.108 -0.879  -0.207 -0.764  -0.305 -0.649  -0.404 -0.534  -0.511 -0.426  -0.527 -0.282  -0.491 -0.166  -0.340 -0.166  -0.188 -0.166  -0.037 -0.166  0.115 -0.166  0.260 -0.194  0.395 -0.262  0.540 -0.288  0.692 -0.288
3#apa#apa20#app2022/r  -0.580 0.061  -0.580 -0.068  -0.545 -0.161  -0.416 -0.161  -0.358 -0.232  -0.358 -0.361  -0.358 -0.490  -0.358 -0.619  -0.358 -0.747  -0.358 -0.876  -0.358 -1.005  -0.358 -1.134  -0.358 -1.263  -0.358 -1.392  -0.358 -1.468  -0.358 -1.339  -0.358 -1.210  -0.358 -1.081  -0.358 -0.952  -0.358 -0.824  -0.358 -0.695  -0.358 -0.566  -0.358 -0.437  -0.358 -0.308  -0.358 -0.179  -0.358 -0.051  -0.358 0.078  -0.358 0.207  -0.358 0.336  -0.358 0.465  -0.358 0.594  -0.358 0.722  -0.271 0.815  -0.180 0.906  -0.069 0.950  0.060 0.950  0.189 0.950  0.318 0.950  0.447 0.950  0.575 0.950  0.704 0.950  0.833 0.950  0.962 0.950  0.975 0.834  0.997 0.728  1.126 0.728  1.255 0.728  1.384 0.728  1.419 0.634  1.419 0.506
3#apa#apa20#app2022/o  -0.186 1.066  -0.318 1.066  -0.450 1.066  -0.582 1.066  -0.696 1.022  -0.789 0.929  -0.882 0.836  -0.885 0.705  -0.885 0.574  -0.885 0.442  -0.885 0.310  -0.885 0.178  -0.885 0.046  -0.885 -0.085  -0.885 -0.217  -0.868 -0.332  -0.737 -0.332  -0.652 -0.380  -0.652 -0.511  -0.597 -0.620  -0.504 -0.714  -0.407 -0.798  -0.275 -0.798  -0.156 -0.828  -0.063 -0.922  0.030 -1.015  0.155 -1.031  0.287 -1.031  0.419 -1.031  0.540 -1.004  0.633 -0.911  0.726 -0.818  0.819 -0.724  0.912 -0.631  0.978 -0.527  0.978 -0.395  0.978 -0.263  0.978 -0.132  0.978 0.000  0.978 0.132  0.886 0.226  0.793 0.319  0.717 0.424  0.658 0.542  0.599 0.660  0.540 0.778  0.442 0.833  0.310 0.833  0.280 0.934  0.280 1.066
3#apa#apa20#app2022/m  -0.909 0.467  -0.949 0.306  -1.070 0.226  -1.070 0.026  -1.070 -0.175  -1.070 -0.376  -1.070 -0.577  -0.987 -0.743  -0.909 -0.912  -0.778 -0.981  -0.748 -0.810  -0.748 -0.609  -0.748 -0.409  -0.748 -0.208  -0.748 -0.007  -0.748 0.193  -0.748 0.394  -0.658 0.557  -0.587 0.729  -0.587 0.930  -0.427 0.929  -0.367 0.789  -0.195 0.718  -0.105 0.555  -0.025 0.387  0.056 0.220  0.056 0.019  0.056 -0.182  0.101 -0.338  0.217 -0.422  0.217 -0.623  0.217 -0.495  0.217 -0.294  0.217 -0.094  0.217 0.107  0.378 0.147  0.407 0.335  0.554 0.467  0.700 0.522  0.794 0.628  0.956 0.533  1.129 0.467  1.248 0.335  1.338 0.155  1.477 0.011  1.504 -0.178  1.504 -0.379  1.504 -0.580  1.504 -0.780  1.504 -0.981
