3#apb#apb02#app0246/P  -0.239 0.283  -0.225 0.495  -0.207 0.430  -0.174 0.218  -0.160 0.004  -0.148 -0.210  -0.130 -0.423  -0.101 -0.636  -0.080 -0.849  -0.063 -1.063  -0.034 -1.276  0.002 -1.487  0.053 -1.695  0.103 -1.747  0.080 -1.536  0.015 -1.332  -0.050 -1.127  -0.115 -0.923  -0.180 -0.718  -0.245 -0.514  -0.310 -0.309  -0.374 -0.105  -0.439 0.100  -0.504 0.304  -0.612 0.467  -0.814 0.538  -1.020 0.530  -1.067 0.601  -0.881 0.707  -0.692 0.809  -0.502 0.907  -0.304 0.991  -0.107 1.076  0.096 1.145  0.299 1.213  0.512 1.242  0.724 1.249  0.928 1.193  1.074 1.046  1.115 0.836  1.068 0.626  0.994 0.426  0.902 0.232  0.780 0.056  0.629 -0.095  0.461 -0.227  0.275 -0.330  0.065 -0.374  -0.146 -0.393  -0.256 -0.354
3#apb#apb02#app0246/r  -0.925 0.253  -0.871 0.377  -0.841 0.505  -0.811 0.631  -0.792 0.656  -0.762 0.525  -0.735 0.392  -0.700 0.262  -0.663 0.133  -0.626 0.003  -0.587 -0.126  -0.546 -0.255  -0.506 -0.384  -0.461 -0.510  -0.404 -0.633  -0.348 -0.755  -0.287 -0.875  -0.217 -0.991  -0.148 -1.107  -0.081 -1.224  -0.006 -1.335  0.100 -1.416  0.057 -1.302  0.014 -1.175  -0.010 -1.042  -0.034 -0.910  -0.061 -0.777  -0.087 -0.645  -0.114 -0.513  -0.116 -0.378  -0.116 -0.243  -0.111 -0.109  -0.084 0.023  -0.054 0.154  0.006 0.275  0.065 0.396  0.120 0.519  0.189 0.629  0.308 0.693  0.427 0.757  0.545 0.822  0.661 0.890  0.778 0.958  0.899 1.013  1.031 1.040  1.164 1.061  1.299 1.061  1.404 0.990  1.507 0.904  1.528 0.782
3#apb#apb02#app0246/l  -0.095 1.049  -0.124 1.123  -0.154 1.197  -0.184 1.270  -0.215 1.343  -0.266 1.403  -0.337 1.433  -0.332 1.371  -0.332 1.292  -0.332 1.212  -0.318 1.134  -0.299 1.057  -0.281 0.980  -0.263 0.902  -0.239 0.827  -0.212 0.752  -0.186 0.677  -0.160 0.602  -0.134 0.527  -0.114 0.450  -0.094 0.373  -0.075 0.296  -0.056 0.219  -0.037 0.142  -0.018 0.064  -0.001 -0.013  0.016 -0.091  0.033 -0.169  0.050 -0.246  0.067 -0.324  0.081 -0.402  0.094 -0.480  0.108 -0.559  0.122 -0.637  0.135 -0.715  0.152 -0.793  0.172 -0.870  0.192 -0.947  0.213 -1.024  0.233 -1.100  0.251 -1.178  0.269 -1.255  0.287 -1.333  0.320 -1.404  0.350 -1.478  0.362 -1.493  0.352 -1.414  0.341 -1.336  0.333 -1.257  0.325 -1.177
3#apb#apb02#app0246/e  -0.141 0.162  -0.247 0.262  -0.297 0.313  -0.258 0.258  -0.113 0.229  0.033 0.194  0.178 0.213  0.325 0.243  0.455 0.310  0.535 0.437  0.582 0.578  0.577 0.726  0.527 0.867  0.433 0.979  0.314 1.071  0.187 1.151  0.043 1.115  -0.102 1.075  -0.246 1.031  -0.386 0.978  -0.512 0.904  -0.603 0.785  -0.695 0.666  -0.792 0.551  -0.889 0.436  -0.951 0.305  -0.977 0.157  -1.003 0.009  -1.003 -0.141  -1.003 -0.291  -0.949 -0.422  -0.855 -0.540  -0.761 -0.657  -0.633 -0.731  -0.498 -0.796  -0.362 -0.860  -0.220 -0.906  -0.072 -0.930  0.076 -0.955  0.224 -0.980  0.373 -0.961  0.522 -0.941  0.671 -0.922  0.815 -0.882  0.957 -0.833  1.099 -0.783  1.241 -0.735  1.383 -0.687  1.497 -0.592  1.518 -0.463
3#apb#apb02#app0246/y  -0.594 0.904  -0.555 1.089  -0.555 1.281  -0.616 1.374  -0.679 1.194  -0.721 1.007  -0.733 0.816  -0.698 0.629  -0.598 0.469  -0.417 0.409  -0.226 0.408  -0.044 0.469  0.093 0.600  0.196 0.758  0.202 0.949  0.173 1.137  0.105 1.183  0.124 0.998  0.181 0.816  0.259 0.641  0.335 0.465  0.409 0.289  0.477 0.111  0.534 -0.072  0.585 -0.256  0.627 -0.443  0.662 -0.630  0.689 -0.820  0.690 -1.011  0.670 -1.201  0.590 -1.371  0.457 -1.507  0.283 -1.574  0.094 -1.555  -0.086 -1.494  -0.246 -1.390  -0.372 -1.247  -0.475 -1.089  -0.546 -0.911  -0.590 -0.727  -0.604 -0.537  -0.568 -0.352  -0.432 -0.220  -0.266 -0.124  -0.092 -0.047  0.086 0.024  0.269 0.078  0.455 0.119  0.641 0.167  0.829 0.192
3#apb#apb02#app0246/Y  -0.526 0.881  -0.604 1.065  -0.665 1.255  -0.726 1.445  -0.713 1.453  -0.583 1.300  -0.459 1.143  -0.328 0.991  -0.197 0.839  -0.080 0.677  0.039 0.515  0.164 0.359  0.303 0.216  0.426 0.068  0.426 0.268  0.427 0.469  0.451 0.668  0.487 0.865  0.537 1.059  0.527 1.025  0.420 0.860  0.297 0.702  0.158 0.558  0.046 0.392  -0.033 0.208  -0.097 0.018  -0.145 -0.176  -0.169 -0.375  -0.169 -0.575  -0.161 -0.775  -0.147 -0.808  -0.044 -0.663  0.146 -0.599  0.108 -0.410  0.061 -0.215  0.012 -0.021  -0.050 0.165  -0.020 0.028  0.002 -0.171  0.019 -0.371  0.027 -0.571  0.035 -0.771  0.043 -0.972  0.050 -1.172  0.052 -1.372  0.052 -1.573  0.074 -1.772  0.109 -1.969  0.178 -2.156  0.239 -2.007
3#apb#apb02#app0246/i  -0.576 -0.807  -0.487 -0.682  -0.462 -0.532  -0.450 -0.379  -0.425 -0.228  -0.393 -0.078  -0.330 0.061  -0.278 0.205  -0.257 0.356  -0.233 0.249  -0.219 0.098  -0.226 -0.055  -0.245 -0.207  -0.265 -0.359  -0.287 -0.511  -0.294 -0.664  -0.292 -0.817  -0.259 -0.967  -0.128 -1.040  0.020 -1.078  0.170 -1.108  0.324 -1.108  0.476 -1.101  0.620 -1.047  0.763 -0.992  0.888 -0.904  1.015 -0.818  1.042 -0.689  0.972 -0.557  0.835 -0.488  0.749 -0.361  0.663 -0.234  0.577 -0.107  0.492 0.021  0.406 0.148  0.321 0.275  0.235 0.403  0.150 0.530  0.064 0.657  -0.021 0.784  -0.107 0.912  -0.193 1.039  -0.278 1.166  -0.364 1.294  -0.449 1.421  -0.535 1.548  -0.620 1.676  -0.706 1.803  -0.715 1.712  -0.689 1.561
3#apb#apb02#app0246/Z  -0.853 0.835  -0.960 1.014  -0.782 1.141  -0.567 1.194  -0.348 1.228  -0.132 1.279  0.084 1.327  0.303 1.358  0.524 1.375  0.745 1.368  0.812 1.222  0.712 1.025  0.593 0.838  0.458 0.662  0.310 0.497  0.163 0.332  0.027 0.157  -0.100 -0.024  -0.219 -0.211  -0.336 -0.399  -0.450 -0.589  -0.554 -0.785  -0.630 -0.993  -0.656 -1.209  -0.458 -1.272  -0.238 -1.267  -0.019 -1.233  0.196 -1.181  0.411 -1.129  0.626 -1.075  0.847 -1.057  0.840 -1.079  0.662 -0.950  0.491 -0.809  0.319 -0.669  0.147 -0.529  -0.024 -0.389  -0.196 -0.249  -0.368 -0.109  -0.539 0.032  -0.742 0.111  -0.853 0.005  -0.673 -0.066  -0.453 -0.057  -0.232 -0.035  -0.012 -0.008  0.208 0.018  0.424 0.064  0.638 0.121  0.854 0.167
3#apb#apb02#app0246/a  0.201 0.125  0.232 0.304  0.220 0.485  0.206 0.664  0.137 0.832  0.002 0.943  -0.176 0.975  -0.350 0.949  -0.515 0.872  -0.661 0.763  -0.802 0.647  -0.930 0.519  -1.027 0.366  -1.112 0.205  -1.183 0.037  -1.224 -0.139  -1.246 -0.320  -1.201 -0.496  -1.119 -0.652  -0.986 -0.772  -0.804 -0.789  -0.629 -0.744  -0.472 -0.663  -0.343 -0.534  -0.217 -0.402  -0.094 -0.268  -0.034 -0.100  0.008 0.077  0.031 0.258  0.051 0.439  0.064 0.621  0.080 0.802  0.087 0.829  0.087 0.647  0.089 0.465  0.111 0.284  0.148 0.107  0.217 -0.061  0.300 -0.223  0.401 -0.375  0.522 -0.508  0.661 -0.626  0.816 -0.720  0.977 -0.806  1.158 -0.809  1.337 -0.788  1.511 -0.733  1.678 -0.662  1.838 -0.576  1.955 -0.447
3#apb#apb02#app0246/c  0.434 0.203  0.488 0.309  0.546 0.413  0.577 0.523  0.577 0.642  0.577 0.761  0.535 0.869  0.463 0.960  0.370 1.033  0.268 1.081  0.149 1.081  0.032 1.069  -0.085 1.045  -0.201 1.019  -0.302 0.957  -0.403 0.894  -0.498 0.824  -0.582 0.739  -0.666 0.655  -0.744 0.567  -0.802 0.463  -0.861 0.359  -0.916 0.255  -0.938 0.138  -0.960 0.021  -0.968 -0.096  -0.939 -0.211  -0.910 -0.326  -0.856 -0.428  -0.772 -0.512  -0.688 -0.596  -0.603 -0.678  -0.489 -0.714  -0.376 -0.750  -0.263 -0.786  -0.149 -0.821  -0.031 -0.837  0.086 -0.854  0.204 -0.871  0.322 -0.874  0.440 -0.858  0.558 -0.843  0.676 -0.828  0.793 -0.809  0.910 -0.787  1.027 -0.766  1.145 -0.748  1.249 -0.711  1.302 -0.642  1.272 -0.533
3#apb#apb02#app0246/h  -0.813 1.269  -0.839 1.402  -0.845 1.536  -0.845 1.513  -0.822 1.380  -0.798 1.247  -0.765 1.116  -0.731 0.985  -0.697 0.855  -0.669 0.722  -0.641 0.590  -0.612 0.458  -0.585 0.326  -0.557 0.193  -0.530 0.061  -0.502 -0.071  -0.468 -0.202  -0.433 -0.333  -0.398 -0.463  -0.359 -0.593  -0.320 -0.722  -0.268 -0.846  -0.210 -0.968  -0.124 -1.073  -0.082 -1.017  -0.071 -0.883  -0.047 -0.750  -0.018 -0.618  0.008 -0.485  0.030 -0.352  0.052 -0.219  0.093 -0.091  0.145 0.034  0.206 0.154  0.285 0.263  0.388 0.351  0.492 0.390  0.603 0.314  0.694 0.216  0.772 0.105  0.828 -0.018  0.884 -0.141  0.937 -0.265  0.975 -0.394  0.996 -0.527  1.045 -0.653  1.088 -0.780  1.116 -0.913  1.170 -1.031  1.241 -1.076
3#apb#apb02#app0246/a  -0.191 -0.047  -0.103 0.112  -0.034 0.279  0.004 0.457  0.012 0.637  -0.028 0.813  -0.146 0.939  -0.327 0.952  -0.506 0.929  -0.676 0.868  -0.830 0.775  -0.958 0.647  -1.080 0.512  -1.180 0.364  -1.247 0.195  -1.285 0.019  -1.291 -0.159  -1.219 -0.326  -1.110 -0.466  -0.974 -0.586  -0.801 -0.640  -0.625 -0.681  -0.443 -0.681  -0.282 -0.608  -0.126 -0.515  0.011 -0.395  0.119 -0.253  0.200 -0.090  0.223 0.088  0.227 0.269  0.215 0.451  0.187 0.630  0.108 0.785  0.058 0.680  0.022 0.502  0.060 0.325  0.127 0.159  0.221 0.003  0.333 -0.140  0.453 -0.276  0.580 -0.404  0.726 -0.513  0.874 -0.617  1.039 -0.694  1.206 -0.761  1.387 -0.781  1.567 -0.791  1.748 -0.772  1.875 -0.685  1.884 -0.508
3#apb#apb02#app0246/r  -0.845 0.276  -0.845 0.415  -0.845 0.553  -0.845 0.692  -0.804 0.762  -0.788 0.635  -0.748 0.502  -0.714 0.367  -0.680 0.232  -0.646 0.098  -0.600 -0.033  -0.553 -0.164  -0.507 -0.295  -0.453 -0.423  -0.397 -0.551  -0.342 -0.678  -0.272 -0.798  -0.198 -0.915  -0.142 -1.040  -0.115 -1.176  -0.078 -1.310  -0.034 -1.442  -0.033 -1.361  -0.061 -1.225  -0.082 -1.087  -0.092 -0.949  -0.102 -0.810  -0.111 -0.672  -0.120 -0.533  -0.127 -0.394  -0.117 -0.256  -0.108 -0.117  -0.093 0.021  -0.072 0.158  -0.046 0.294  0.011 0.421  0.088 0.532  0.198 0.617  0.311 0.697  0.430 0.769  0.554 0.827  0.691 0.851  0.828 0.875  0.965 0.890  1.102 0.872  1.240 0.853  1.375 0.824  1.508 0.784  1.641 0.746  1.677 0.671
3#apb#apb02#app0246/y  -0.907 0.720  -0.836 0.907  -0.797 1.099  -0.839 0.985  -0.861 0.789  -0.786 0.606  -0.648 0.463  -0.475 0.378  -0.281 0.412  -0.111 0.511  0.026 0.655  0.125 0.828  0.187 1.018  0.210 1.217  0.216 1.416  0.213 1.294  0.216 1.094  0.249 0.897  0.307 0.705  0.366 0.514  0.423 0.323  0.440 0.123  0.459 -0.076  0.474 -0.275  0.463 -0.475  0.472 -0.675  0.476 -0.875  0.476 -1.075  0.453 -1.273  0.383 -1.458  0.240 -1.593  0.061 -1.657  -0.112 -1.563  -0.258 -1.427  -0.394 -1.281  -0.478 -1.099  -0.556 -0.915  -0.622 -0.726  -0.686 -0.536  -0.643 -0.361  -0.484 -0.242  -0.304 -0.156  -0.122 -0.072  0.059 0.012  0.249 0.075  0.440 0.134  0.631 0.194  0.825 0.240  0.968 0.175  1.095 0.022
