2#apb#apb38#app3856/a  0.294 0.928  0.326 1.039  0.247 1.145  0.120 1.181  -0.002 1.202  -0.130 1.118  -0.283 1.089  -0.413 0.990  -0.537 0.886  -0.627 0.751  -0.718 0.615  -0.823 0.491  -0.931 0.369  -1.046 0.254  -1.139 0.128  -1.162 -0.033  -1.131 -0.193  -1.108 -0.354  -1.035 -0.495  -0.940 -0.628  -0.818 -0.711  -0.663 -0.659  -0.501 -0.657  -0.371 -0.584  -0.264 -0.462  -0.171 -0.329  -0.090 -0.188  0.024 -0.072  0.122 0.054  0.178 0.207  0.217 0.365  0.321 0.475  0.370 0.579  0.453 0.499  0.436 0.338  0.404 0.178  0.377 0.018  0.351 -0.143  0.306 -0.299  0.314 -0.459  0.376 -0.606  0.473 -0.735  0.605 -0.830  0.750 -0.898  0.908 -0.937  1.070 -0.943  1.232 -0.949  1.394 -0.969  1.544 -0.920  1.689 -0.847
2#apb#apb38#app3856/l  -0.382 -1.237  -0.397 -1.286  -0.337 -1.192  -0.237 -1.093  -0.159 -0.979  -0.096 -0.853  -0.035 -0.727  0.013 -0.595  0.061 -0.463  0.124 -0.338  0.202 -0.221  0.275 -0.102  0.294 0.037  0.314 0.176  0.334 0.315  0.360 0.453  0.386 0.591  0.412 0.729  0.438 0.867  0.466 1.005  0.491 1.143  0.491 1.284  0.485 1.423  0.422 1.549  0.324 1.553  0.208 1.475  0.101 1.384  0.005 1.283  -0.062 1.160  -0.130 1.037  -0.173 0.906  -0.191 0.766  -0.210 0.627  -0.228 0.488  -0.245 0.348  -0.261 0.209  -0.277 0.069  -0.288 -0.071  -0.288 -0.211  -0.288 -0.352  -0.288 -0.492  -0.285 -0.633  -0.261 -0.771  -0.236 -0.909  -0.212 -1.048  -0.186 -1.186  -0.157 -1.323  -0.128 -1.461  -0.099 -1.598  -0.070 -1.736
2#apb#apb38#app3856/m  -1.308 -1.064  -1.308 -1.019  -1.308 -0.847  -1.229 -0.701  -1.168 -0.544  -1.127 -0.377  -1.080 -0.212  -1.022 -0.051  -0.946 0.103  -0.852 0.247  -0.760 0.392  -0.675 0.541  -0.568 0.673  -0.427 0.733  -0.310 0.761  -0.242 0.891  -0.221 0.738  -0.129 0.608  -0.152 0.439  -0.162 0.268  -0.162 0.096  -0.162 -0.075  -0.193 -0.244  -0.231 -0.411  -0.276 -0.577  -0.310 -0.744  -0.310 -0.916  -0.196 -0.900  -0.168 -0.730  -0.083 -0.584  0.017 -0.445  0.095 -0.292  0.172 -0.138  0.275 -0.001  0.378 0.136  0.487 0.269  0.596 0.402  0.701 0.538  0.829 0.650  0.985 0.719  1.094 0.806  1.161 0.756  1.205 0.602  1.232 0.434  1.281 0.270  1.316 0.103  1.316 -0.069  1.316 -0.240  1.316 -0.412  1.316 -0.584
2#apb#apb38#app3856/n  -1.191 -1.530  -1.191 -1.337  -1.191 -1.143  -1.169 -0.952  -1.098 -0.778  -0.984 -0.624  -0.923 -0.441  -0.858 -0.259  -0.772 -0.086  -0.696 0.092  -0.624 0.271  -0.567 0.455  -0.525 0.644  -0.458 0.824  -0.372 0.997  -0.258 1.149  -0.177 1.323  -0.070 1.264  -0.053 1.073  -0.020 0.883  0.005 0.697  -0.029 0.507  -0.062 0.316  -0.062 0.123  -0.062 -0.070  -0.062 -0.264  -0.062 -0.457  -0.062 -0.474  -0.062 -0.307  -0.022 -0.164  0.018 -0.058  -0.044 -0.140  -0.032 -0.008  -0.015 0.167  0.059 0.315  0.239 0.335  0.301 0.483  0.384 0.486  0.544 0.392  0.689 0.427  0.849 0.325  0.917 0.193  1.048 0.052  1.155 -0.109  1.225 -0.287  1.269 -0.474  1.269 -0.668  1.269 -0.861  1.269 -1.054  1.269 -1.248
2#apb#apb38#app3856/o  -0.176 1.068  -0.220 1.090  -0.302 1.074  -0.417 1.108  -0.519 1.044  -0.624 0.988  -0.721 0.936  -0.781 0.822  -0.872 0.731  -0.970 0.692  -0.938 0.567  -0.979 0.449  -1.010 0.324  -1.014 0.196  -0.959 0.080  -0.948 -0.042  -0.974 -0.168  -0.874 -0.249  -0.774 -0.329  -0.739 -0.453  -0.703 -0.577  -0.612 -0.658  -0.501 -0.724  -0.373 -0.728  -0.246 -0.734  -0.139 -0.805  -0.032 -0.877  0.089 -0.857  0.213 -0.822  0.334 -0.777  0.452 -0.726  0.573 -0.688  0.702 -0.688  0.825 -0.666  0.941 -0.608  1.032 -0.518  1.123 -0.427  1.194 -0.320  1.260 -0.210  1.300 -0.088  1.208 0.003  1.141 0.111  1.064 0.204  0.943 0.250  0.822 0.295  0.697 0.319  0.569 0.334  0.441 0.348  0.312 0.350  0.183 0.350
2#apb#apb38#app3856/p  -0.523 0.462  -0.523 0.304  -0.520 0.146  -0.504 -0.012  -0.501 -0.170  -0.517 -0.327  -0.502 -0.483  -0.468 -0.637  -0.496 -0.793  -0.523 -0.949  -0.523 -1.107  -0.523 -1.265  -0.507 -1.417  -0.523 -1.469  -0.523 -1.311  -0.548 -1.155  -0.582 -1.000  -0.616 -0.846  -0.636 -0.690  -0.636 -0.531  -0.566 -0.389  -0.569 -0.236  -0.537 -0.090  -0.488 0.056  -0.473 0.214  -0.453 0.371  -0.391 0.509  -0.279 0.621  -0.195 0.754  -0.113 0.890  0.012 0.982  0.130 1.087  0.260 1.176  0.411 1.215  0.547 1.177  0.664 1.071  0.796 0.986  0.935 0.922  1.013 0.784  1.116 0.665  1.213 0.545  1.234 0.389  1.234 0.230  1.158 0.103  1.042 -0.003  0.904 -0.082  0.753 -0.122  0.597 -0.146  0.444 -0.184  0.299 -0.246
2#apb#apb38#app3856/q  0.207 1.003  0.196 1.060  0.170 1.029  0.170 1.056  0.177 1.057  0.148 1.059  0.060 1.088  0.022 1.072  -0.097 1.072  -0.263 1.068  -0.435 1.058  -0.580 0.946  -0.698 0.808  -0.756 0.634  -0.708 0.463  -0.577 0.333  -0.397 0.369  -0.228 0.439  -0.067 0.526  0.067 0.648  0.196 0.750  0.186 0.910  0.085 0.775  0.019 0.604  -0.076 0.446  -0.153 0.280  -0.192 0.102  -0.205 -0.081  -0.247 -0.260  -0.299 -0.436  -0.324 -0.616  -0.324 -0.800  -0.320 -0.984  -0.286 -1.165  -0.246 -1.343  -0.144 -1.496  -0.000 -1.604  0.177 -1.631  0.361 -1.631  0.512 -1.537  0.641 -1.408  0.713 -1.243  0.754 -1.063  0.714 -0.888  0.653 -0.715  0.579 -0.549  0.443 -0.425  0.296 -0.320  0.123 -0.260  -0.047 -0.198
2#apb#apb38#app3856/r  -0.251 1.296  -0.287 1.341  -0.350 1.252  -0.378 1.111  -0.407 0.970  -0.437 0.829  -0.483 0.693  -0.528 0.556  -0.570 0.419  -0.596 0.277  -0.622 0.135  -0.647 -0.006  -0.684 -0.145  -0.725 -0.283  -0.767 -0.421  -0.790 -0.562  -0.790 -0.706  -0.790 -0.850  -0.790 -0.994  -0.790 -1.138  -0.790 -1.245  -0.723 -1.157  -0.608 -1.070  -0.493 -0.984  -0.380 -0.895  -0.296 -0.778  -0.213 -0.661  -0.149 -0.535  -0.118 -0.394  -0.087 -0.254  -0.029 -0.125  0.055 -0.008  0.139 0.109  0.206 0.236  0.271 0.365  0.379 0.453  0.502 0.527  0.591 0.639  0.699 0.713  0.843 0.713  0.938 0.646  0.984 0.509  1.024 0.371  1.064 0.233  1.121 0.101  1.177 -0.032  1.273 -0.138  1.371 -0.242  1.435 -0.371  1.500 -0.500
2#apb#apb38#app3856/s  0.550 0.868  0.511 0.818  0.511 0.936  0.451 1.016  0.346 1.069  0.248 1.079  0.152 1.026  0.035 1.026  -0.083 1.026  -0.195 0.999  -0.305 0.957  -0.416 0.916  -0.531 0.897  -0.648 0.884  -0.765 0.871  -0.843 0.795  -0.896 0.710  -0.875 0.616  -0.829 0.509  -0.731 0.444  -0.633 0.379  -0.527 0.331  -0.416 0.294  -0.304 0.256  -0.196 0.211  -0.093 0.155  0.010 0.098  0.113 0.042  0.211 -0.021  0.288 -0.109  0.366 -0.198  0.443 -0.286  0.529 -0.366  0.619 -0.442  0.708 -0.517  0.708 -0.635  0.708 -0.752  0.674 -0.862  0.619 -0.966  0.550 -1.061  0.482 -1.157  0.401 -1.232  0.285 -1.250  0.169 -1.268  0.053 -1.286  -0.063 -1.304  -0.177 -1.332  -0.291 -1.363  -0.404 -1.394  -0.517 -1.425
2#apb#apb38#app3856/t  0.729 1.905  0.776 1.779  0.824 1.653  0.827 1.521  0.812 1.386  0.791 1.253  0.756 1.123  0.722 0.992  0.687 0.862  0.654 0.731  0.638 0.597  0.621 0.463  0.604 0.329  0.587 0.195  0.544 0.068  0.495 -0.058  0.446 -0.184  0.397 -0.310  0.349 -0.436  0.309 -0.564  0.274 -0.695  0.239 -0.825  0.204 -0.956  0.129 -0.987  0.013 -0.918  -0.103 -0.849  -0.219 -0.780  -0.335 -0.711  -0.451 -0.642  -0.567 -0.573  -0.683 -0.504  -0.799 -0.435  -0.915 -0.366  -1.031 -0.297  -1.147 -0.228  -1.263 -0.159  -1.275 -0.110  -1.142 -0.091  -1.010 -0.101  -0.880 -0.136  -0.749 -0.172  -0.620 -0.211  -0.492 -0.253  -0.364 -0.296  -0.235 -0.335  -0.100 -0.335  0.035 -0.335  0.170 -0.335  0.305 -0.335  0.440 -0.335
2#apb#apb38#app3856/u  -1.173 0.786  -1.205 0.665  -1.262 0.552  -1.314 0.438  -1.364 0.322  -1.370 0.197  -1.370 0.071  -1.350 -0.052  -1.325 -0.176  -1.268 -0.284  -1.186 -0.379  -1.089 -0.456  -0.977 -0.512  -0.859 -0.556  -0.737 -0.586  -0.615 -0.617  -0.491 -0.612  -0.367 -0.593  -0.242 -0.574  -0.129 -0.523  -0.019 -0.462  0.094 -0.405  0.209 -0.354  0.313 -0.289  0.383 -0.185  0.453 -0.080  0.516 0.029  0.579 0.138  0.618 0.258  0.658 0.377  0.698 0.497  0.738 0.616  0.712 0.734  0.677 0.854  0.640 0.956  0.629 0.866  0.659 0.744  0.690 0.622  0.720 0.499  0.751 0.377  0.781 0.255  0.812 0.133  0.843 0.011  0.873 -0.111  0.917 -0.224  0.917 -0.350  0.917 -0.476  0.917 -0.602  0.967 -0.714  1.030 -0.823
2#apb#apb38#app3856/v  -0.971 0.728  -0.942 0.803  -0.953 0.748  -0.934 0.647  -0.934 0.543  -0.934 0.440  -0.934 0.336  -0.915 0.234  -0.893 0.132  -0.870 0.031  -0.849 -0.071  -0.828 -0.172  -0.808 -0.274  -0.788 -0.376  -0.737 -0.466  -0.680 -0.552  -0.623 -0.639  -0.572 -0.729  -0.520 -0.820  -0.453 -0.883  -0.349 -0.883  -0.260 -0.919  -0.187 -0.993  -0.089 -0.963  0.002 -0.914  0.091 -0.860  0.168 -0.792  0.242 -0.719  0.312 -0.643  0.365 -0.554  0.419 -0.465  0.472 -0.376  0.526 -0.286  0.562 -0.189  0.597 -0.091  0.633 0.006  0.668 0.104  0.716 0.195  0.769 0.285  0.821 0.375  0.873 0.465  0.926 0.554  0.955 0.653  0.975 0.755  0.995 0.857  1.014 0.959  0.997 1.061  0.979 1.164  1.005 1.263  0.940 1.290
2#apb#apb38#app3856/w  -1.054 0.717  -1.001 0.728  -1.001 0.612  -1.011 0.496  -1.043 0.384  -1.069 0.270  -1.092 0.155  -1.108 0.040  -1.108 -0.077  -1.107 -0.194  -1.094 -0.310  -1.081 -0.426  -1.053 -0.539  -0.991 -0.638  -0.914 -0.666  -0.825 -0.590  -0.742 -0.508  -0.675 -0.412  -0.608 -0.317  -0.523 -0.241  -0.421 -0.185  -0.318 -0.129  -0.243 -0.044  -0.183 0.056  -0.123 0.156  -0.009 0.180  0.027 0.279  0.082 0.318  0.184 0.260  0.224 0.167  0.237 0.052  0.266 -0.061  0.332 -0.150  0.428 -0.215  0.529 -0.275  0.633 -0.327  0.745 -0.349  0.862 -0.349  0.967 -0.297  1.070 -0.242  1.171 -0.184  1.250 -0.102  1.315 -0.005  1.383 0.090  1.449 0.186  1.449 0.303  1.449 0.419  1.449 0.536  1.449 0.653  1.449 0.770
2#apb#apb38#app3856/x  1.461 1.006  1.461 0.825  1.426 0.669  1.256 0.606  1.087 0.542  0.949 0.431  0.828 0.297  0.707 0.162  0.586 0.028  0.477 -0.116  0.374 -0.265  0.271 -0.414  0.168 -0.563  0.065 -0.712  -0.080 -0.819  -0.227 -0.924  -0.375 -1.030  -0.522 -1.135  -0.669 -1.240  -0.696 -1.111  -0.696 -0.930  -0.696 -0.749  -0.696 -0.568  -0.696 -0.387  -0.696 -0.206  -0.696 -0.025  -0.696 0.156  -0.696 0.337  -0.696 0.518  -0.696 0.699  -0.696 0.880  -0.696 1.061  -0.696 1.242  -0.679 1.349  -0.598 1.187  -0.524 1.022  -0.450 0.857  -0.376 0.691  -0.267 0.547  -0.156 0.405  -0.045 0.262  0.044 0.106  0.115 -0.060  0.187 -0.227  0.258 -0.393  0.330 -0.559  0.464 -0.680  0.599 -0.801  0.734 -0.922  0.868 -1.044
2#apb#apb38#app3856/y  -1.372 0.573  -1.355 0.450  -1.347 0.327  -1.367 0.204  -1.295 0.121  -1.192 0.052  -1.087 -0.015  -0.973 -0.064  -0.858 -0.096  -0.741 -0.053  -0.626 -0.007  -0.524 0.065  -0.422 0.136  -0.320 0.206  -0.208 0.262  -0.097 0.318  0.012 0.377  0.116 0.446  0.219 0.515  0.323 0.584  0.402 0.678  0.471 0.782  0.538 0.886  0.578 1.004  0.640 1.108  0.674 1.107  0.660 0.985  0.660 0.861  0.653 0.737  0.614 0.619  0.574 0.501  0.536 0.383  0.514 0.260  0.492 0.138  0.471 0.015  0.449 -0.107  0.424 -0.229  0.399 -0.351  0.373 -0.473  0.348 -0.595  0.322 -0.716  0.303 -0.839  0.285 -0.962  0.266 -1.086  0.248 -1.209  0.229 -1.332  0.236 -1.456  0.244 -1.580  0.252 -1.704  0.260 -1.829
2#apb#apb38#app3856/z  -0.554 1.053  -0.492 1.186  -0.346 1.269  -0.184 1.315  -0.020 1.349  0.148 1.368  0.306 1.418  0.461 1.473  0.624 1.450  0.774 1.373  0.868 1.236  0.868 1.067  0.819 0.907  0.763 0.748  0.679 0.602  0.596 0.455  0.512 0.309  0.384 0.200  0.256 0.090  0.130 -0.021  0.003 -0.132  -0.125 -0.242  -0.234 -0.367  -0.315 -0.515  -0.379 -0.669  -0.420 -0.833  -0.473 -0.976  -0.379 -1.116  -0.256 -1.229  -0.117 -1.323  0.034 -1.345  0.191 -1.286  0.122 -1.181  -0.001 -1.066  -0.123 -0.950  -0.246 -0.835  -0.369 -0.719  -0.492 -0.604  -0.615 -0.489  -0.737 -0.373  -0.845 -0.251  -0.753 -0.175  -0.584 -0.175  -0.421 -0.213  -0.259 -0.260  -0.097 -0.305  0.072 -0.305  0.240 -0.305  0.409 -0.305  0.577 -0.305
