1c#ced#sncn4237/j  0.262 1.137  0.277 1.235  0.277 1.098  0.277 0.961  0.277 0.823  0.277 0.686  0.277 0.549  0.277 0.411  0.277 0.274  0.277 0.137  0.277 -0.001  0.277 -0.138  0.277 -0.275  0.271 -0.412  0.262 -0.549  0.249 -0.686  0.229 -0.822  0.208 -0.957  0.181 -1.091  0.121 -1.215  0.034 -1.319  -0.070 -1.409  -0.196 -1.453  -0.334 -1.453  -0.471 -1.451  -0.539 -1.364  -0.508 -1.230  -0.477 -1.096  -0.445 -0.962  -0.414 -0.829  -0.383 -0.695  -0.351 -0.561  -0.320 -0.428  -0.289 -0.294  -0.257 -0.160  -0.226 -0.026  -0.195 0.107  -0.163 0.241  -0.132 0.375  -0.101 0.509  -0.069 0.642  -0.038 0.776  -0.006 0.910  0.025 1.043  0.056 1.177  0.088 1.311  0.119 1.445  0.161 1.551  0.204 1.673  0.190 1.805
1c#ced#sncn4237/a  0.330 1.265  0.420 1.299  0.283 1.218  0.187 1.094  0.041 1.035  -0.101 0.940  -0.225 0.824  -0.345 0.704  -0.466 0.583  -0.575 0.452  -0.692 0.328  -0.793 0.192  -0.878 0.045  -0.969 -0.099  -1.053 -0.247  -1.110 -0.408  -1.122 -0.576  -1.122 -0.747  -1.013 -0.841  -0.869 -0.885  -0.713 -0.831  -0.587 -0.718  -0.444 -0.636  -0.350 -0.494  -0.269 -0.345  -0.172 -0.205  -0.061 -0.078  -0.007 0.083  0.047 0.245  0.101 0.407  0.176 0.559  0.216 0.721  0.273 0.867  0.273 0.923  0.273 0.752  0.324 0.594  0.340 0.426  0.382 0.261  0.449 0.105  0.490 -0.060  0.541 -0.223  0.611 -0.378  0.687 -0.530  0.763 -0.683  0.852 -0.828  0.951 -0.967  1.053 -1.103  1.170 -1.226  1.291 -1.347  1.411 -1.467
1c#ced#sncn4237/t  0.275 0.916  0.291 1.028  0.294 1.140  0.313 1.250  0.319 1.362  0.332 1.473  0.341 1.583  0.325 1.631  0.275 1.534  0.254 1.424  0.236 1.313  0.220 1.202  0.206 1.090  0.192 0.979  0.178 0.867  0.166 0.756  0.154 0.644  0.143 0.532  0.131 0.420  0.119 0.309  0.108 0.197  0.107 0.085  0.104 -0.028  0.093 -0.139  0.082 -0.251  0.070 -0.363  0.059 -0.475  0.050 -0.587  0.050 -0.699  0.040 -0.811  0.032 -0.923  0.031 -1.035  0.015 -1.146  -0.080 -1.172  -0.192 -1.180  -0.305 -1.189  -0.417 -1.197  -0.513 -1.173  -0.562 -1.074  -0.634 -0.987  -0.695 -0.894  -0.681 -0.790  -0.578 -0.753  -0.469 -0.728  -0.359 -0.703  -0.248 -0.696  -0.135 -0.696  -0.024 -0.688  0.088 -0.678  0.200 -0.678
1c#ced#sncn4237/i  0.185 0.497  0.185 0.632  0.231 0.756  0.270 0.756  0.231 0.630  0.190 0.505  0.185 0.372  0.146 0.243  0.140 0.110  0.140 -0.025  0.140 -0.160  0.140 -0.295  0.140 -0.429  0.140 -0.564  0.140 -0.699  0.140 -0.833  0.140 -0.968  0.140 -1.103  0.140 -1.237  0.140 -1.372  0.140 -1.507  0.140 -1.642  0.126 -1.567  0.108 -1.434  0.089 -1.300  0.071 -1.167  0.052 -1.033  0.034 -0.900  0.016 -0.767  -0.003 -0.633  -0.021 -0.500  -0.040 -0.366  -0.058 -0.233  -0.076 -0.099  -0.095 0.034  -0.113 0.167  -0.132 0.301  -0.150 0.434  -0.169 0.568  -0.187 0.701  -0.205 0.835  -0.226 0.968  -0.258 1.098  -0.291 1.229  -0.334 1.356  -0.357 1.485  -0.394 1.611  -0.364 1.738  -0.343 1.866  -0.266 1.942
1c#ced#sncn4237/o  -0.480 1.017  -0.354 1.063  -0.239 1.137  -0.113 1.169  -0.041 1.134  -0.104 1.011  -0.176 0.887  -0.291 0.801  -0.375 0.682  -0.478 0.580  -0.581 0.477  -0.629 0.343  -0.710 0.228  -0.779 0.100  -0.854 -0.023  -0.899 -0.159  -0.932 -0.300  -0.974 -0.440  -0.999 -0.582  -0.978 -0.724  -0.898 -0.841  -0.794 -0.941  -0.656 -0.987  -0.516 -1.019  -0.370 -1.019  -0.225 -1.019  -0.080 -1.019  0.064 -1.006  0.206 -0.977  0.341 -0.923  0.474 -0.862  0.605 -0.801  0.740 -0.747  0.834 -0.639  0.929 -0.529  1.024 -0.421  1.089 -0.293  1.127 -0.152  1.157 -0.012  1.116 0.121  1.024 0.232  0.921 0.335  0.802 0.416  0.682 0.494  0.574 0.590  0.444 0.655  0.303 0.692  0.162 0.727  0.024 0.769  -0.121 0.778
1c#ced#sncn4237/n  -0.433 1.161  -0.556 1.166  -0.625 1.148  -0.657 1.013  -0.690 0.873  -0.690 0.725  -0.690 0.577  -0.696 0.430  -0.722 0.285  -0.722 0.137  -0.722 -0.011  -0.722 -0.159  -0.743 -0.305  -0.754 -0.451  -0.754 -0.600  -0.757 -0.747  -0.777 -0.890  -0.786 -1.027  -0.754 -1.097  -0.711 -0.958  -0.644 -0.827  -0.598 -0.688  -0.535 -0.554  -0.469 -0.422  -0.382 -0.303  -0.322 -0.168  -0.241 -0.045  -0.150 0.071  -0.061 0.189  0.030 0.306  0.134 0.411  0.239 0.516  0.354 0.606  0.483 0.679  0.616 0.739  0.764 0.743  0.907 0.714  1.007 0.607  1.070 0.475  1.117 0.334  1.141 0.190  1.119 0.045  1.109 -0.102  1.109 -0.250  1.077 -0.393  1.077 -0.541  1.041 -0.684  1.003 -0.827  0.981 -0.972  0.981 -1.120
1c#ced#sncn4237/k  -0.169 1.224  -0.191 1.437  -0.183 1.566  -0.213 1.355  -0.235 1.141  -0.235 0.925  -0.266 0.710  -0.280 0.495  -0.301 0.280  -0.328 0.065  -0.360 -0.149  -0.402 -0.362  -0.430 -0.576  -0.457 -0.791  -0.465 -1.007  -0.498 -1.221  -0.524 -1.435  -0.506 -1.469  -0.414 -1.273  -0.322 -1.077  -0.230 -0.881  -0.138 -0.685  -0.045 -0.489  0.047 -0.293  0.139 -0.097  0.231 0.099  0.323 0.294  0.416 0.490  0.508 0.686  0.600 0.882  0.692 1.078  0.803 1.259  0.932 1.363  0.855 1.171  0.731 0.996  0.626 0.807  0.508 0.625  0.373 0.456  0.232 0.292  0.103 0.120  -0.029 -0.052  -0.167 -0.219  -0.316 -0.375  -0.435 -0.554  -0.358 -0.742  -0.218 -0.904  -0.072 -1.058  0.080 -1.208  0.225 -1.368  0.365 -1.532
1c#ced#sncn4237/o  -0.028 0.965  -0.070 1.081  -0.028 1.198  -0.049 1.280  -0.144 1.186  -0.214 1.073  -0.294 0.966  -0.360 0.849  -0.420 0.729  -0.471 0.605  -0.508 0.477  -0.546 0.349  -0.606 0.229  -0.644 0.101  -0.677 -0.029  -0.702 -0.160  -0.702 -0.295  -0.702 -0.429  -0.702 -0.563  -0.702 -0.697  -0.702 -0.831  -0.678 -0.961  -0.635 -1.088  -0.583 -1.211  -0.464 -1.263  -0.330 -1.268  -0.199 -1.255  -0.071 -1.212  0.054 -1.164  0.173 -1.104  0.251 -0.997  0.342 -0.898  0.437 -0.804  0.526 -0.705  0.576 -0.581  0.630 -0.458  0.689 -0.338  0.715 -0.206  0.742 -0.075  0.768 0.057  0.773 0.190  0.773 0.324  0.773 0.459  0.773 0.593  0.741 0.722  0.675 0.837  0.601 0.949  0.505 1.036  0.404 1.123  0.309 1.218
1c#ced#sncn4237/w  -0.795 0.478  -0.722 0.610  -0.722 0.771  -0.722 0.933  -0.772 1.085  -0.795 1.241  -0.904 1.313  -0.904 1.151  -0.904 0.990  -0.901 0.828  -0.868 0.671  -0.860 0.510  -0.828 0.352  -0.796 0.193  -0.795 0.032  -0.769 -0.127  -0.732 -0.285  -0.722 -0.445  -0.676 -0.596  -0.625 -0.748  -0.562 -0.896  -0.443 -0.976  -0.293 -0.947  -0.179 -0.832  -0.116 -0.685  -0.035 -0.546  0.028 -0.397  0.095 -0.250  0.151 -0.099  0.209 0.051  0.275 0.199  0.352 0.337  0.441 0.367  0.478 0.221  0.513 0.065  0.546 -0.091  0.586 -0.246  0.624 -0.399  0.666 -0.555  0.712 -0.702  0.821 -0.794  0.941 -0.766  1.034 -0.637  1.129 -0.508  1.171 -0.353  1.249 -0.213  1.286 -0.056  1.324 0.100  1.390 0.247  1.422 0.405
1c#ced#sncn4237/t  0.244 0.698  0.235 0.827  0.244 0.958  0.244 1.091  0.244 1.224  0.244 1.356  0.244 1.489  0.223 1.618  0.259 1.705  0.265 1.575  0.255 1.443  0.244 1.312  0.235 1.180  0.223 1.048  0.222 0.915  0.207 0.783  0.202 0.651  0.197 0.518  0.184 0.386  0.181 0.254  0.181 0.121  0.181 -0.012  0.173 -0.144  0.161 -0.276  0.161 -0.409  0.161 -0.541  0.161 -0.674  0.161 -0.807  0.161 -0.939  0.161 -1.072  0.161 -1.205  0.180 -1.336  0.072 -1.295  -0.047 -1.237  -0.167 -1.180  -0.286 -1.122  -0.406 -1.064  -0.492 -0.966  -0.580 -0.868  -0.671 -0.772  -0.776 -0.692  -0.862 -0.608  -0.755 -0.554  -0.625 -0.538  -0.496 -0.513  -0.364 -0.501  -0.234 -0.478  -0.101 -0.471  0.030 -0.451  0.161 -0.429
1c#ced#sncn4237/o  -0.308 1.106  -0.308 1.234  -0.308 1.318  -0.315 1.193  -0.377 1.086  -0.424 0.968  -0.471 0.850  -0.512 0.729  -0.552 0.608  -0.593 0.488  -0.643 0.371  -0.694 0.253  -0.728 0.133  -0.728 0.006  -0.728 -0.122  -0.740 -0.248  -0.771 -0.371  -0.774 -0.498  -0.750 -0.623  -0.728 -0.747  -0.718 -0.872  -0.661 -0.986  -0.573 -1.070  -0.449 -1.086  -0.330 -1.121  -0.205 -1.132  -0.081 -1.110  0.039 -1.072  0.145 -1.001  0.257 -0.940  0.347 -0.850  0.445 -0.770  0.548 -0.696  0.638 -0.605  0.708 -0.500  0.764 -0.386  0.835 -0.280  0.879 -0.162  0.905 -0.038  0.905 0.089  0.933 0.212  0.934 0.335  0.903 0.458  0.863 0.579  0.806 0.692  0.716 0.783  0.645 0.889  0.535 0.920  0.419 0.973  0.298 1.013
1c#ced#sncn4237/w  -0.722 0.748  -0.822 0.870  -0.945 0.971  -1.067 1.064  -1.158 0.999  -1.158 0.838  -1.158 0.677  -1.130 0.520  -1.127 0.359  -1.088 0.203  -1.053 0.046  -1.021 -0.112  -0.990 -0.269  -0.925 -0.416  -0.858 -0.562  -0.783 -0.703  -0.654 -0.793  -0.496 -0.782  -0.364 -0.692  -0.264 -0.568  -0.167 -0.440  -0.098 -0.295  -0.035 -0.146  0.022 0.003  0.084 0.151  0.128 0.305  0.152 0.462  0.230 0.552  0.266 0.398  0.296 0.242  0.323 0.085  0.361 -0.072  0.394 -0.229  0.433 -0.385  0.499 -0.532  0.541 -0.687  0.618 -0.827  0.739 -0.910  0.876 -0.852  0.959 -0.716  1.003 -0.562  1.042 -0.406  1.079 -0.249  1.082 -0.089  1.114 0.069  1.139 0.228  1.147 0.388  1.168 0.547  1.192 0.704  1.197 0.864
1c#ced#sncn4237/p  -0.245 1.081  -0.226 1.265  -0.204 1.420  -0.173 1.234  -0.168 1.043  -0.187 0.853  -0.187 0.662  -0.187 0.470  -0.171 0.280  -0.168 0.088  -0.168 -0.103  -0.168 -0.294  -0.168 -0.486  -0.168 -0.677  -0.164 -0.868  -0.146 -1.059  -0.135 -1.250  -0.130 -1.441  -0.111 -1.631  -0.092 -1.820  -0.095 -1.891  -0.105 -1.700  -0.115 -1.509  -0.124 -1.318  -0.134 -1.127  -0.144 -0.936  -0.154 -0.744  -0.164 -0.553  -0.174 -0.362  -0.183 -0.171  -0.193 0.020  -0.203 0.211  -0.237 0.397  -0.265 0.566  -0.230 0.742  -0.153 0.905  -0.017 1.041  0.138 1.151  0.314 1.223  0.498 1.205  0.656 1.098  0.741 0.928  0.769 0.740  0.769 0.548  0.724 0.363  0.628 0.200  0.483 0.082  0.298 0.031  0.113 0.029  -0.073 0.067
1c#ced#sncn4237/u  -0.509 0.744  -0.605 0.880  -0.690 1.024  -0.795 1.153  -0.837 1.304  -0.796 1.204  -0.759 1.041  -0.755 0.873  -0.730 0.709  -0.714 0.543  -0.694 0.377  -0.673 0.211  -0.656 0.044  -0.632 -0.122  -0.630 -0.290  -0.597 -0.456  -0.569 -0.622  -0.550 -0.789  -0.525 -0.954  -0.509 -1.121  -0.474 -1.285  -0.387 -1.426  -0.249 -1.421  -0.115 -1.322  -0.001 -1.199  0.087 -1.055  0.166 -0.907  0.242 -0.759  0.290 -0.598  0.353 -0.441  0.416 -0.285  0.433 -0.119  0.480 0.040  0.530 0.200  0.564 0.365  0.597 0.530  0.616 0.696  0.673 0.854  0.679 1.021  0.679 0.954  0.679 0.786  0.680 0.618  0.720 0.456  0.720 0.287  0.733 0.120  0.761 -0.045  0.772 -0.212  0.806 -0.378  0.850 -0.540  0.925 -0.691
1c#ced#sncn4237/s  0.677 1.140  0.609 1.172  0.520 1.200  0.421 1.204  0.321 1.204  0.224 1.221  0.131 1.215  0.033 1.191  -0.065 1.171  -0.160 1.139  -0.252 1.098  -0.340 1.055  -0.419 0.994  -0.508 0.949  -0.556 0.862  -0.578 0.766  -0.578 0.666  -0.569 0.567  -0.531 0.474  -0.473 0.392  -0.405 0.318  -0.349 0.235  -0.278 0.164  -0.198 0.104  -0.121 0.040  -0.049 -0.029  0.032 -0.090  0.101 -0.161  0.161 -0.242  0.232 -0.313  0.311 -0.375  0.381 -0.443  0.437 -0.527  0.493 -0.611  0.549 -0.694  0.560 -0.793  0.565 -0.886  0.520 -0.976  0.438 -1.030  0.361 -1.094  0.271 -1.138  0.181 -1.181  0.085 -1.209  -0.016 -1.209  -0.114 -1.230  -0.213 -1.241  -0.312 -1.249  -0.409 -1.273  -0.509 -1.273  -0.610 -1.273
1c#ced#sncn4237/h  -0.515 1.168  -0.493 1.292  -0.471 1.416  -0.437 1.539  -0.378 1.650  -0.315 1.757  -0.247 1.664  -0.221 1.540  -0.217 1.413  -0.192 1.288  -0.173 1.162  -0.170 1.035  -0.152 0.909  -0.134 0.782  -0.116 0.656  -0.104 0.529  -0.103 0.402  -0.087 0.275  -0.081 0.148  -0.081 0.020  -0.081 -0.108  -0.081 -0.235  -0.081 -0.363  -0.081 -0.491  -0.081 -0.618  -0.081 -0.746  -0.081 -0.873  -0.081 -1.001  -0.081 -1.129  -0.104 -1.254  -0.117 -1.369  -0.119 -1.299  -0.096 -1.174  -0.065 -1.051  -0.034 -0.927  -0.005 -0.802  0.034 -0.682  0.075 -0.562  0.130 -0.447  0.170 -0.332  0.238 -0.227  0.346 -0.161  0.451 -0.210  0.530 -0.300  0.592 -0.406  0.629 -0.528  0.669 -0.649  0.679 -0.776  0.696 -0.901  0.719 -1.026
1c#ced#sncn4237/y  -0.417 1.063  -0.400 1.179  -0.434 1.240  -0.434 1.120  -0.434 1.000  -0.434 0.880  -0.434 0.760  -0.434 0.640  -0.428 0.521  -0.409 0.404  -0.366 0.292  -0.266 0.239  -0.157 0.276  -0.069 0.357  0.017 0.438  0.064 0.549  0.124 0.652  0.184 0.755  0.229 0.866  0.265 0.980  0.287 1.097  0.219 1.083  0.201 0.966  0.201 0.846  0.201 0.726  0.207 0.607  0.218 0.488  0.224 0.368  0.235 0.249  0.238 0.129  0.253 0.010  0.266 -0.109  0.270 -0.228  0.278 -0.348  0.287 -0.467  0.287 -0.587  0.287 -0.707  0.287 -0.827  0.287 -0.947  0.275 -1.066  0.243 -1.181  0.220 -1.298  0.160 -1.402  0.094 -1.501  0.022 -1.597  -0.074 -1.667  -0.183 -1.716  -0.301 -1.727  -0.420 -1.718  -0.537 -1.693
1c#ced#sncn4237/q  0.610 0.898  0.563 0.975  0.540 1.126  0.495 1.268  0.362 1.347  0.214 1.339  0.076 1.269  -0.035 1.159  -0.143 1.047  -0.243 0.927  -0.338 0.804  -0.403 0.663  -0.480 0.528  -0.493 0.374  -0.537 0.224  -0.550 0.069  -0.550 -0.087  -0.548 -0.243  -0.488 -0.386  -0.362 -0.422  -0.233 -0.347  -0.149 -0.216  -0.060 -0.088  -0.008 0.058  0.060 0.198  0.112 0.345  0.144 0.498  0.186 0.648  0.215 0.801  0.238 0.845  0.215 0.692  0.215 0.536  0.199 0.381  0.192 0.226  0.174 0.071  0.169 -0.085  0.157 -0.240  0.139 -0.395  0.120 -0.550  0.082 -0.701  0.062 -0.856  0.053 -1.011  0.050 -1.167  0.033 -1.323  0.014 -1.478  -0.004 -1.633  -0.017 -1.788  -0.017 -1.944  -0.017 -2.100  -0.017 -2.256
1c#ced#sncn4237/u  -0.537 0.567  -0.632 0.718  -0.695 0.883  -0.738 1.046  -0.778 1.210  -0.698 1.051  -0.698 0.871  -0.698 0.691  -0.731 0.515  -0.738 0.335  -0.738 0.155  -0.774 -0.021  -0.778 -0.200  -0.778 -0.381  -0.778 -0.561  -0.778 -0.741  -0.778 -0.921  -0.722 -1.089  -0.652 -1.255  -0.524 -1.364  -0.360 -1.296  -0.211 -1.196  -0.104 -1.052  0.007 -0.911  0.101 -0.757  0.188 -0.599  0.261 -0.435  0.328 -0.267  0.395 -0.100  0.462 0.067  0.529 0.234  0.580 0.407  0.617 0.583  0.666 0.756  0.710 0.931  0.742 1.106  0.751 1.218  0.710 1.054  0.680 0.879  0.670 0.700  0.630 0.525  0.630 0.345  0.630 0.165  0.630 -0.016  0.630 -0.196  0.630 -0.376  0.630 -0.556  0.665 -0.733  0.700 -0.910  0.751 -1.082
