3#app#app32#app3206/S  0.799 0.994  0.915 0.999  0.824 1.091  0.799 1.210  0.696 1.238  0.567 1.238  0.437 1.238  0.344 1.149  0.228 1.116  0.107 1.075  -0.009 1.017  -0.110 0.939  -0.202 0.848  -0.294 0.756  -0.300 0.629  -0.427 0.623  -0.519 0.531  -0.610 0.439  -0.702 0.347  -0.788 0.253  -0.773 0.139  -0.650 0.123  -0.558 0.031  -0.434 0.017  -0.304 0.017  -0.175 0.017  -0.045 0.017  0.085 0.017  0.215 0.017  0.310 -0.017  0.352 -0.105  0.455 -0.150  0.513 -0.266  0.555 -0.386  0.555 -0.515  0.518 -0.630  0.432 -0.724  0.421 -0.849  0.329 -0.941  0.237 -1.033  0.145 -1.125  0.048 -1.204  -0.079 -1.215  -0.195 -1.273  -0.312 -1.326  -0.442 -1.326  -0.572 -1.326  -0.691 -1.301  -0.783 -1.209  -0.911 -1.204
3#app#app32#app3206/t  0.323 1.496  0.323 1.663  0.323 1.829  0.323 1.711  0.323 1.545  0.323 1.378  0.323 1.211  0.281 1.055  0.206 0.905  0.144 0.754  0.144 0.587  0.144 0.420  0.144 0.253  0.144 0.087  0.041 -0.038  -0.035 -0.173  -0.050 -0.337  -0.102 -0.495  -0.155 -0.653  -0.208 -0.811  -0.214 -0.977  -0.214 -1.144  -0.214 -1.310  -0.214 -1.477  -0.115 -1.545  0.052 -1.545  0.105 -1.482  0.016 -1.341  -0.072 -1.199  -0.161 -1.058  -0.249 -0.917  -0.337 -0.775  -0.426 -0.634  -0.514 -0.493  -0.602 -0.351  -0.691 -0.210  -0.697 -0.114  -0.572 -0.072  -0.551 0.086  -0.433 0.204  -0.283 0.244  -0.214 0.341  -0.128 0.423  0.038 0.423  0.205 0.423  0.372 0.423  0.538 0.423  0.705 0.423  0.872 0.423  1.038 0.423
3#app#app32#app3206/h  0.240 1.687  0.240 1.800  0.141 1.813  0.054 1.752  -0.011 1.666  -0.011 1.553  -0.011 1.441  -0.011 1.328  -0.011 1.216  -0.068 1.127  -0.137 1.043  -0.137 0.930  -0.137 0.818  -0.169 0.710  -0.205 0.603  -0.240 0.497  -0.262 0.388  -0.262 0.275  -0.262 0.163  -0.262 0.050  -0.262 -0.063  -0.308 -0.164  -0.359 -0.265  -0.388 -0.371  -0.388 -0.483  -0.388 -0.596  -0.388 -0.708  -0.388 -0.821  -0.388 -0.933  -0.294 -0.952  -0.182 -0.952  -0.137 -0.885  -0.098 -0.788  -0.019 -0.709  -0.011 -0.599  0.052 -0.513  0.115 -0.426  0.122 -0.331  0.202 -0.411  0.240 -0.507  0.240 -0.620  0.240 -0.732  0.253 -0.840  0.333 -0.919  0.432 -0.952  0.492 -1.005  0.531 -1.078  0.644 -1.078  0.756 -1.078  0.869 -1.078
3#app#app32#app3206/e  -0.733 -0.267  -0.896 -0.267  -0.913 -0.121  -0.913 0.042  -0.802 0.093  -0.644 0.123  -0.490 0.175  -0.336 0.226  -0.184 0.282  -0.069 0.397  0.070 0.453  0.214 0.500  0.329 0.615  0.444 0.730  0.526 0.859  0.498 0.993  0.335 0.993  0.173 0.993  0.010 0.993  -0.153 0.993  -0.280 0.907  -0.395 0.792  -0.510 0.677  -0.655 0.633  -0.733 0.549  -0.781 0.406  -0.896 0.291  -0.913 0.136  -0.913 -0.027  -0.840 -0.160  -0.733 -0.278  -0.733 -0.441  -0.576 -0.447  -0.455 -0.545  -0.326 -0.626  -0.163 -0.626  -0.004 -0.636  0.111 -0.751  0.251 -0.806  0.414 -0.806  0.576 -0.806  0.739 -0.806  0.902 -0.806  1.064 -0.806  1.180 -0.693  1.315 -0.626  1.478 -0.626  1.641 -0.626  1.804 -0.626  1.966 -0.626
3#app#app32#app3206/h  0.076 1.384  0.076 1.528  0.076 1.673  0.055 1.767  -0.047 1.664  -0.058 1.524  -0.058 1.380  -0.068 1.239  -0.170 1.137  -0.193 1.002  -0.193 0.857  -0.252 0.727  -0.317 0.597  -0.328 0.455  -0.328 0.311  -0.427 0.207  -0.462 0.077  -0.462 -0.067  -0.462 -0.212  -0.462 -0.356  -0.557 -0.462  -0.597 -0.590  -0.597 -0.734  -0.674 -0.847  -0.732 -0.968  -0.680 -0.988  -0.597 -0.878  -0.560 -0.770  -0.429 -0.737  -0.328 -0.635  -0.320 -0.493  -0.218 -0.391  -0.116 -0.289  0.005 -0.232  0.076 -0.158  0.135 -0.038  0.249 0.037  0.393 0.037  0.480 -0.020  0.528 -0.145  0.615 -0.254  0.637 -0.389  0.740 -0.491  0.749 -0.632  0.749 -0.776  0.761 -0.916  0.863 -1.018  0.999 -1.040  1.143 -1.040  1.288 -1.040
3#app#app32#app3206/o  0.455 1.059  0.319 1.059  0.184 1.059  0.049 1.059  -0.087 1.059  -0.222 1.059  -0.357 1.059  -0.493 1.059  -0.556 0.987  -0.556 0.852  -0.646 0.806  -0.781 0.806  -0.809 0.698  -0.809 0.563  -0.809 0.428  -0.809 0.292  -0.809 0.157  -0.809 0.022  -0.809 -0.114  -0.809 -0.249  -0.809 -0.384  -0.809 -0.520  -0.809 -0.655  -0.728 -0.710  -0.593 -0.710  -0.487 -0.780  -0.391 -0.875  -0.292 -0.963  -0.156 -0.963  -0.021 -0.963  0.114 -0.963  0.250 -0.963  0.385 -0.963  0.520 -0.963  0.656 -0.963  0.766 -0.904  0.862 -0.808  0.958 -0.712  0.960 -0.578  0.960 -0.443  0.960 -0.307  0.960 -0.172  0.960 -0.037  0.924 0.084  0.828 0.180  0.733 0.275  0.707 0.400  0.707 0.535  0.590 0.553  0.455 0.553
3#app#app32#app3206/m  -0.384 -0.200  -0.352 -0.016  -0.263 -0.016  -0.384 0.078  -0.509 0.168  -0.724 0.168  -0.756 -0.016  -0.935 -0.052  -1.002 -0.200  -1.118 -0.299  -1.118 -0.514  -1.280 -0.567  -1.292 -0.383  -1.118 -0.342  -1.118 -0.127  -1.045 0.057  -0.893 0.209  -0.751 0.366  -0.710 0.555  -0.518 0.652  -0.384 0.784  -0.315 0.970  -0.148 1.086  -0.016 1.002  -0.016 0.787  -0.016 0.572  -0.016 0.357  -0.016 0.142  -0.056 -0.056  -0.200 -0.212  -0.200 -0.427  -0.125 -0.567  0.090 -0.567  0.167 -0.429  0.287 -0.264  0.439 -0.112  0.591 0.040  0.743 0.192  0.895 0.344  1.047 0.496  1.246 0.535  1.269 0.343  1.269 0.128  1.269 -0.087  1.269 -0.302  1.269 -0.517  1.386 -0.684  1.453 -0.871  1.453 -1.087  1.636 -1.118
3#app#app32#app3206/u  -1.011 0.636  -1.159 0.636  -1.216 0.545  -1.216 0.398  -1.216 0.250  -1.216 0.103  -1.216 -0.045  -1.216 -0.192  -1.216 -0.340  -1.216 -0.487  -1.173 -0.592  -1.026 -0.592  -1.011 -0.725  -0.936 -0.797  -0.788 -0.797  -0.641 -0.797  -0.493 -0.797  -0.346 -0.797  -0.198 -0.797  -0.092 -0.697  0.012 -0.592  0.117 -0.488  0.221 -0.384  0.325 -0.279  0.433 -0.183  0.580 -0.183  0.626 -0.082  0.658 0.053  0.762 0.157  0.866 0.262  0.971 0.366  1.036 0.486  1.036 0.634  1.036 0.781  1.036 0.929  1.004 1.045  0.857 1.045  0.745 0.959  0.641 0.855  0.626 0.713  0.626 0.566  0.617 0.422  0.513 0.318  0.422 0.208  0.422 0.060  0.422 -0.087  0.422 -0.235  0.422 -0.382  0.522 -0.488  0.626 -0.592
3#app#app32#app3206/n  -0.189 0.701  -0.316 0.574  -0.409 0.433  -0.414 0.255  -0.541 0.128  -0.668 0.001  -0.795 -0.126  -0.851 -0.282  -0.911 -0.402  -1.071 -0.421  -1.071 -0.601  -1.071 -0.780  -0.955 -0.843  -0.797 -0.790  -0.670 -0.663  -0.630 -0.500  -0.630 -0.320  -0.601 -0.152  -0.474 -0.025  -0.409 0.128  -0.376 0.293  -0.249 0.420  -0.189 0.575  -0.151 0.739  -0.024 0.866  0.032 1.023  0.092 1.142  0.252 1.161  0.252 1.341  0.410 1.363  0.473 1.246  0.473 1.067  0.473 0.887  0.473 0.707  0.473 0.528  0.473 0.348  0.473 0.168  0.473 -0.011  0.473 -0.191  0.473 -0.370  0.473 -0.550  0.473 -0.730  0.539 -0.843  0.694 -0.868  0.694 -1.048  0.857 -1.064  1.037 -1.064  1.217 -1.064  1.355 -1.105  1.355 -1.284
3#app#app32#app3206/c  0.966 1.194  0.857 1.194  0.747 1.194  0.638 1.194  0.529 1.194  0.420 1.194  0.311 1.194  0.275 1.120  0.275 1.011  0.213 0.964  0.104 0.964  0.009 0.928  -0.068 0.851  -0.145 0.774  -0.238 0.734  -0.347 0.734  -0.416 0.693  -0.416 0.584  -0.416 0.475  -0.416 0.366  -0.432 0.273  -0.542 0.273  -0.646 0.268  -0.646 0.159  -0.646 0.050  -0.646 -0.059  -0.646 -0.169  -0.646 -0.278  -0.646 -0.387  -0.567 -0.418  -0.458 -0.418  -0.416 -0.484  -0.416 -0.594  -0.361 -0.648  -0.251 -0.648  -0.185 -0.691  -0.185 -0.800  -0.154 -0.878  -0.045 -0.878  0.059 -0.892  0.136 -0.969  0.213 -1.046  0.297 -1.108  0.406 -1.108  0.515 -1.108  0.624 -1.108  0.734 -1.108  0.811 -1.184  0.889 -1.261  0.966 -1.338
3#app#app32#app3206/u  -0.494 0.989  -0.648 0.989  -0.767 0.905  -0.876 0.796  -0.985 0.687  -1.094 0.579  -1.203 0.470  -1.254 0.337  -1.254 0.183  -1.254 0.029  -1.254 -0.125  -1.254 -0.279  -1.254 -0.433  -1.197 -0.531  -1.049 -0.545  -0.940 -0.654  -0.814 -0.720  -0.660 -0.720  -0.506 -0.720  -0.394 -0.620  -0.285 -0.511  -0.176 -0.402  -0.047 -0.341  0.107 -0.341  0.261 -0.341  0.266 -0.192  0.345 -0.071  0.454 0.038  0.608 0.039  0.645 0.156  0.726 0.229  0.835 0.274  0.835 0.428  0.835 0.582  0.835 0.736  0.835 0.708  0.781 0.609  0.645 0.590  0.645 0.436  0.645 0.282  0.645 0.128  0.645 -0.026  0.674 -0.151  0.828 -0.151  0.835 -0.298  0.914 -0.419  1.023 -0.528  1.132 -0.637  1.251 -0.720  1.405 -0.720
3#app#app32#app3206/l  0.439 1.321  0.439 1.395  0.425 1.455  0.350 1.455  0.284 1.435  0.232 1.382  0.179 1.330  0.171 1.259  0.171 1.185  0.171 1.110  0.171 1.036  0.171 0.962  0.157 0.891  0.124 0.824  0.090 0.758  0.057 0.691  0.036 0.622  0.036 0.548  0.036 0.473  0.036 0.399  0.036 0.325  0.036 0.250  0.005 0.183  -0.029 0.117  -0.062 0.050  -0.095 -0.016  -0.098 -0.090  -0.098 -0.164  -0.098 -0.238  -0.098 -0.313  -0.098 -0.387  -0.098 -0.461  -0.098 -0.536  -0.134 -0.595  -0.187 -0.647  -0.232 -0.703  -0.232 -0.777  -0.232 -0.852  -0.232 -0.926  -0.232 -1.000  -0.232 -1.075  -0.232 -1.149  -0.232 -1.223  -0.232 -1.298  -0.226 -1.370  -0.174 -1.422  -0.121 -1.475  -0.069 -1.527  -0.016 -1.580  0.036 -1.632
3#app#app32#app3206/u  -0.440 1.104  -0.249 1.104  -0.163 1.208  -0.179 1.381  -0.370 1.381  -0.525 1.296  -0.659 1.162  -0.717 0.995  -0.733 0.811  -0.867 0.677  -0.994 0.539  -0.994 0.349  -0.994 0.158  -0.994 -0.032  -0.994 -0.222  -0.994 -0.413  -0.994 -0.603  -0.994 -0.793  -0.846 -0.835  -0.655 -0.835  -0.465 -0.835  -0.275 -0.835  -0.163 -0.757  -0.163 -0.567  0.019 -0.558  0.114 -0.463  0.123 -0.281  0.313 -0.281  0.503 -0.281  0.669 -0.256  0.669 -0.066  0.797 -0.004  0.946 0.038  0.946 0.228  0.946 0.419  0.887 0.550  0.696 0.550  0.506 0.550  0.391 0.474  0.391 0.284  0.391 0.094  0.391 -0.096  0.391 -0.287  0.391 -0.477  0.469 -0.635  0.603 -0.770  0.738 -0.905  0.872 -1.039  1.032 -1.112  1.223 -1.112
3#app#app32#app3206/s  0.900 1.253  0.804 1.253  0.708 1.253  0.613 1.253  0.517 1.253  0.421 1.253  0.325 1.253  0.307 1.176  0.307 1.080  0.307 0.984  0.239 0.957  0.143 0.957  0.047 0.957  0.010 0.898  0.010 0.802  0.010 0.706  0.046 0.625  0.114 0.557  0.181 0.490  0.249 0.422  0.307 0.350  0.307 0.254  0.307 0.159  0.307 0.063  0.307 -0.033  0.307 -0.129  0.307 -0.225  0.243 -0.294  0.175 -0.361  0.107 -0.429  0.039 -0.497  0.010 -0.581  0.010 -0.677  0.010 -0.772  -0.035 -0.822  -0.131 -0.822  -0.227 -0.822  -0.323 -0.822  -0.419 -0.822  -0.514 -0.822  -0.583 -0.850  -0.583 -0.946  -0.583 -1.041  -0.601 -1.119  -0.697 -1.119  -0.793 -1.119  -0.879 -1.128  -0.879 -1.224  -0.879 -1.320  -0.879 -1.415
3#app#app32#app3206/.  -0.566 -1.502  -0.439 -1.502  -0.313 -1.502  -0.187 -1.502  -0.061 -1.502  0.066 -1.502  0.192 -1.502  0.318 -1.502  0.318 -1.376  0.318 -1.250  0.318 -1.124  0.318 -0.997  0.318 -0.871  0.318 -0.745  0.318 -0.619  0.318 -0.492  0.318 -0.366  0.318 -0.240  0.318 -0.114  0.318 0.013  0.318 0.139  0.318 0.265  0.318 0.391  0.318 0.518  0.318 0.644  0.318 0.770  0.318 0.896  0.318 1.023  0.318 1.149  0.192 1.149  0.066 1.149  -0.061 1.149  -0.187 1.149  -0.313 1.149  -0.439 1.149  -0.566 1.149  -0.566 1.023  -0.566 0.896  -0.566 0.770  -0.566 0.644  -0.566 0.518  -0.566 0.391  -0.566 0.265  -0.439 0.265  -0.313 0.265  -0.187 0.265  -0.061 0.265  0.066 0.265  0.192 0.265  0.318 0.265
3#app#app32#app3206/\"  -0.113 1.323  -0.259 1.323  -0.386 1.303  -0.386 1.156  -0.386 1.010  -0.386 0.863  -0.413 0.723  -0.478 0.592  -0.544 0.461  -0.609 0.330  -0.659 0.195  -0.659 0.048  -0.698 -0.082  -0.802 -0.186  -0.905 -0.290  -0.932 -0.425  -0.932 -0.571  -0.932 -0.718  -0.932 -0.865  -0.932 -1.011  -0.911 -1.136  -0.765 -1.136  -0.632 -1.105  -0.537 -0.994  -0.442 -0.883  -0.346 -0.771  -0.251 -0.660  -0.155 -0.549  -0.060 -0.437  0.035 -0.326  0.131 -0.215  0.226 -0.104  0.322 0.008  0.417 0.119  0.512 0.230  0.608 0.342  0.703 0.453  0.798 0.564  0.894 0.675  0.980 0.763  0.980 0.616  0.980 0.469  0.980 0.323  0.980 0.176  0.980 0.030  1.032 -0.095  1.136 -0.199  1.240 -0.303  1.254 -0.443  1.254 -0.590
