3#app#app09#app0905/w  -0.894 0.739  -0.982 0.630  -1.036 0.508  -1.071 0.378  -1.071 0.233  -1.071 0.088  -1.099 -0.052  -1.144 -0.189  -1.159 -0.332  -1.159 -0.476  -1.159 -0.621  -1.096 -0.740  -0.961 -0.764  -0.825 -0.730  -0.706 -0.654  -0.641 -0.525  -0.546 -0.417  -0.444 -0.315  -0.350 -0.207  -0.285 -0.077  -0.188 0.029  -0.086 0.132  -0.010 0.245  -0.010 0.203  -0.010 0.059  -0.010 -0.086  -0.010 -0.231  -0.010 -0.375  0.005 -0.514  0.079 -0.628  0.176 -0.676  0.320 -0.676  0.430 -0.590  0.532 -0.488  0.634 -0.386  0.737 -0.283  0.839 -0.181  0.941 -0.079  1.044 0.024  1.111 0.151  1.176 0.281  1.228 0.413  1.228 0.558  1.228 0.703  1.228 0.847  1.174 0.970  1.132 1.092  0.987 1.092  0.931 1.004  0.874 0.915
3#app#app09#app0905/o  -0.698 0.611  -0.545 0.611  -0.496 0.715  -0.496 0.759  -0.501 0.611  -0.654 0.611  -0.698 0.502  -0.698 0.349  -0.698 0.196  -0.698 0.043  -0.698 -0.110  -0.698 -0.263  -0.698 -0.416  -0.698 -0.570  -0.698 -0.723  -0.698 -0.876  -0.698 -1.029  -0.698 -1.182  -0.574 -1.211  -0.421 -1.211  -0.268 -1.211  -0.115 -1.211  0.038 -1.211  0.168 -1.155  0.276 -1.047  0.384 -0.938  0.493 -0.830  0.601 -0.722  0.709 -0.614  0.763 -0.472  0.811 -0.326  0.860 -0.181  0.908 -0.036  0.921 0.115  0.921 0.268  0.921 0.421  0.921 0.574  0.921 0.728  0.854 0.813  0.719 0.831  0.719 0.984  0.597 1.016  0.444 1.016  0.294 1.006  0.157 0.937  0.020 0.869  -0.120 0.813  -0.273 0.813  -0.387 0.719  -0.496 0.611
3#app#app09#app0905/u  -1.014 1.247  -1.099 1.162  -1.151 1.063  -1.151 0.943  -1.151 0.822  -1.151 0.702  -1.066 0.617  -1.014 0.518  -1.014 0.397  -1.014 0.277  -1.014 0.157  -1.014 0.037  -0.968 -0.073  -0.914 -0.181  -0.840 -0.254  -0.741 -0.276  -0.735 -0.391  -0.615 -0.391  -0.495 -0.391  -0.375 -0.391  -0.254 -0.391  -0.195 -0.329  -0.150 -0.254  -0.038 -0.234  0.047 -0.149  0.132 -0.064  0.218 0.019  0.339 0.019  0.427 0.095  0.503 0.187  0.557 0.295  0.611 0.402  0.688 0.493  0.760 0.546  0.760 0.426  0.760 0.305  0.760 0.185  0.760 0.065  0.760 -0.056  0.760 -0.176  0.760 -0.296  0.778 -0.409  0.863 -0.494  0.897 -0.601  0.937 -0.704  1.022 -0.789  1.107 -0.874  1.202 -0.937  1.322 -0.937  1.443 -0.937
3#app#app09#app0905/s  0.482 1.267  0.373 1.267  0.264 1.267  0.155 1.267  0.046 1.267  -0.063 1.267  -0.172 1.267  -0.254 1.201  -0.344 1.155  -0.441 1.125  -0.518 1.048  -0.625 1.043  -0.634 0.944  -0.634 0.835  -0.634 0.726  -0.634 0.617  -0.634 0.507  -0.548 0.485  -0.485 0.410  -0.436 0.312  -0.367 0.233  -0.277 0.172  -0.186 0.112  -0.095 0.051  -0.015 -0.023  0.069 -0.090  0.167 -0.139  0.263 -0.189  0.340 -0.266  0.430 -0.326  0.527 -0.375  0.618 -0.433  0.695 -0.510  0.705 -0.615  0.705 -0.724  0.705 -0.833  0.705 -0.942  0.646 -1.026  0.562 -1.094  0.464 -1.143  0.366 -1.190  0.257 -1.190  0.148 -1.190  0.039 -1.190  -0.070 -1.190  -0.149 -1.117  -0.242 -1.078  -0.336 -1.042  -0.414 -0.966  -0.523 -0.966
3#app#app09#app0905/h  -0.395 2.094  -0.395 1.937  -0.395 1.780  -0.395 1.623  -0.395 1.466  -0.395 1.310  -0.395 1.153  -0.395 0.996  -0.395 0.839  -0.395 0.682  -0.395 0.526  -0.395 0.369  -0.395 0.212  -0.395 0.055  -0.395 -0.102  -0.395 -0.258  -0.395 -0.415  -0.395 -0.572  -0.395 -0.729  -0.395 -0.885  -0.395 -1.042  -0.395 -1.199  -0.300 -1.261  -0.275 -1.130  -0.275 -0.973  -0.237 -0.825  -0.167 -0.685  -0.155 -0.531  -0.140 -0.377  -0.090 -0.228  -0.041 -0.079  -0.035 0.077  0.005 0.217  0.116 0.328  0.204 0.448  0.273 0.536  0.430 0.536  0.508 0.408  0.564 0.265  0.564 0.108  0.564 -0.049  0.580 -0.199  0.683 -0.313  0.683 -0.469  0.743 -0.602  0.803 -0.733  0.803 -0.890  0.906 -1.005  0.932 -1.150  1.043 -1.261
3#app#app09#app0905/o  -0.126 1.192  -0.267 1.122  -0.408 1.051  -0.528 0.952  -0.609 0.827  -0.609 0.670  -0.625 0.516  -0.696 0.375  -0.766 0.234  -0.769 0.077  -0.769 -0.080  -0.769 -0.238  -0.769 -0.396  -0.769 -0.553  -0.675 -0.672  -0.609 -0.802  -0.565 -0.942  -0.454 -1.053  -0.342 -1.164  -0.208 -1.220  -0.050 -1.220  0.107 -1.220  0.265 -1.220  0.423 -1.220  0.562 -1.175  0.673 -1.064  0.678 -0.908  0.782 -0.794  0.839 -0.660  0.839 -0.502  0.839 -0.345  0.839 -0.187  0.839 -0.029  0.839 0.128  0.839 0.286  0.839 0.444  0.839 0.601  0.790 0.710  0.678 0.756  0.636 0.871  0.478 0.871  0.324 0.855  0.183 0.784  0.042 0.714  -0.115 0.710  -0.272 0.710  -0.430 0.710  -0.546 0.611  -0.658 0.500  -0.769 0.388
3#app#app09#app0905/u  -0.851 1.196  -0.873 1.047  -0.978 0.933  -0.978 0.775  -0.978 0.617  -0.978 0.459  -0.978 0.301  -0.978 0.143  -0.978 -0.015  -0.978 -0.173  -0.978 -0.331  -0.951 -0.478  -0.851 -0.595  -0.851 -0.753  -0.772 -0.832  -0.725 -0.942  -0.624 -1.059  -0.477 -1.085  -0.327 -1.067  -0.218 -0.955  -0.193 -0.807  -0.081 -0.695  0.031 -0.583  0.047 -0.430  0.117 -0.289  0.188 -0.148  0.258 -0.006  0.352 0.118  0.416 0.250  0.416 0.408  0.474 0.552  0.543 0.694  0.568 0.841  0.670 0.958  0.670 1.115  0.670 1.119  0.670 0.961  0.670 0.803  0.670 0.645  0.670 0.487  0.670 0.329  0.675 0.172  0.745 0.031  0.796 -0.115  0.796 -0.273  0.796 -0.431  0.894 -0.549  0.923 -0.695  1.028 -0.810  1.176 -0.832
3#app#app09#app0905/l  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#app#app09#app0905/d  0.105 0.123  0.105 0.327  -0.018 0.476  -0.221 0.476  -0.406 0.397  -0.483 0.241  -0.617 0.090  -0.708 -0.092  -0.747 -0.286  -0.837 -0.468  -0.837 -0.672  -0.837 -0.876  -0.837 -1.079  -0.837 -1.283  -0.689 -1.407  -0.485 -1.407  -0.282 -1.407  -0.128 -1.287  0.016 -1.143  0.160 -1.000  0.223 -0.822  0.260 -0.627  0.341 -0.443  0.341 -0.239  0.341 -0.036  0.341 0.168  0.341 0.371  0.341 0.575  0.341 0.779  0.341 0.982  0.341 1.186  0.341 1.389  0.223 1.544  0.223 1.748  0.105 1.709  0.105 1.506  0.105 1.302  0.105 1.098  0.105 0.895  0.105 0.691  0.105 0.488  0.158 0.306  0.223 0.129  0.259 -0.066  0.341 -0.250  0.341 -0.453  0.426 -0.637  0.500 -0.826  0.565 -1.019  0.694 -1.172
3#app#app09#app0905/n  -0.480 1.288  -0.425 1.424  -0.344 1.315  -0.344 1.124  -0.344 0.934  -0.344 0.743  -0.344 0.553  -0.344 0.362  -0.344 0.172  -0.344 -0.019  -0.344 -0.209  -0.344 -0.400  -0.344 -0.590  -0.344 -0.781  -0.344 -0.971  -0.344 -1.162  -0.344 -1.352  -0.455 -1.432  -0.480 -1.538  -0.480 -1.348  -0.480 -1.157  -0.439 -0.983  -0.344 -0.832  -0.344 -0.642  -0.344 -0.451  -0.344 -0.261  -0.344 -0.070  -0.344 0.120  -0.344 0.311  -0.227 0.453  -0.208 0.635  -0.208 0.826  -0.111 0.977  -0.072 1.151  0.117 1.152  0.276 1.076  0.336 0.910  0.472 0.856  0.528 0.688  0.608 0.531  0.701 0.379  0.744 0.206  0.880 0.152  0.913 -0.033  0.973 -0.214  1.016 -0.398  1.016 -0.588  1.016 -0.779  1.016 -0.969  1.016 -1.160
3#app#app09#app0905/'  -0.407 1.473  -0.334 1.473  -0.261 1.473  -0.188 1.473  -0.140 1.448  -0.140 1.375  -0.140 1.302  -0.140 1.228  -0.140 1.155  -0.140 1.082  -0.140 1.009  -0.140 0.936  -0.140 0.863  -0.140 0.790  -0.140 0.717  -0.140 0.644  -0.140 0.571  -0.140 0.497  -0.140 0.424  -0.102 0.367  -0.051 0.315  0.001 0.264  0.053 0.212  0.104 0.160  0.127 0.096  0.127 0.023  0.127 -0.050  0.127 -0.123  0.127 -0.196  0.127 -0.269  0.127 -0.342  0.127 -0.415  0.127 -0.488  0.127 -0.562  0.127 -0.635  0.127 -0.708  0.127 -0.781  0.127 -0.854  0.127 -0.927  0.127 -1.000  0.127 -1.073  0.127 -1.146  0.127 -1.219  0.127 -1.293  0.127 -1.366  0.127 -1.439  0.127 -1.512  0.127 -1.585  0.127 -1.658  0.127 -1.731
3#app#app09#app0905/t  -0.161 1.843  0.008 1.843  0.029 1.696  0.029 1.528  0.029 1.359  0.029 1.190  0.029 1.022  0.029 0.853  0.029 0.685  0.029 0.516  0.029 0.347  0.029 0.179  0.029 0.010  -0.042 -0.129  -0.161 -0.248  -0.161 -0.417  -0.161 -0.586  -0.161 -0.754  -0.161 -0.923  -0.102 -1.067  0.018 -1.186  0.029 -1.350  -0.055 -1.289  -0.165 -1.161  -0.275 -1.033  -0.384 -0.905  -0.494 -0.777  -0.604 -0.649  -0.714 -0.521  -0.823 -0.393  -0.933 -0.265  -1.043 -0.137  -1.047 -0.058  -0.879 -0.058  -0.710 -0.058  -0.541 -0.058  -0.373 -0.058  -0.204 -0.058  -0.036 -0.058  0.133 -0.058  0.278 0.000  0.397 0.120  0.560 0.133  0.729 0.133  0.897 0.133  1.066 0.133  1.235 0.133  1.403 0.133  1.572 0.133  1.740 0.133
3#app#app09#app0905/o  0.066 1.183  0.059 1.324  -0.085 1.313  -0.189 1.209  -0.294 1.104  -0.399 1.000  -0.496 0.892  -0.509 0.749  -0.613 0.645  -0.673 0.512  -0.719 0.372  -0.766 0.231  -0.776 0.085  -0.776 -0.063  -0.776 -0.211  -0.776 -0.359  -0.776 -0.507  -0.768 -0.651  -0.663 -0.756  -0.559 -0.860  -0.454 -0.965  -0.347 -1.064  -0.204 -1.075  -0.099 -1.180  0.039 -1.204  0.187 -1.204  0.335 -1.204  0.483 -1.204  0.589 -1.104  0.693 -0.999  0.798 -0.894  0.903 -0.790  0.909 -0.644  0.909 -0.496  0.903 -0.350  0.837 -0.218  0.771 -0.085  0.769 0.062  0.769 0.210  0.756 0.353  0.652 0.458  0.547 0.562  0.442 0.667  0.334 0.762  0.186 0.762  0.038 0.762  -0.110 0.762  -0.258 0.762  -0.391 0.726  -0.496 0.622
3#app#app09#app0905/f  0.286 1.264  0.286 1.394  0.242 1.505  0.220 1.626  0.150 1.723  0.041 1.675  -0.051 1.584  -0.142 1.492  -0.212 1.385  -0.240 1.262  -0.298 1.146  -0.305 1.018  -0.305 0.889  -0.305 0.759  -0.305 0.630  -0.305 0.500  -0.257 0.382  -0.239 0.257  -0.211 0.132  -0.169 0.010  -0.111 -0.106  -0.053 -0.222  -0.009 -0.343  0.023 -0.467  0.034 -0.594  0.089 -0.711  0.089 -0.840  0.120 -0.962  0.154 -1.084  0.177 -1.208  0.220 -1.327  0.243 -1.447  0.285 -1.553  0.242 -1.430  0.199 -1.308  0.156 -1.186  0.114 -1.064  0.071 -0.942  0.028 -0.820  -0.015 -0.697  -0.058 -0.575  -0.100 -0.453  -0.143 -0.331  -0.211 -0.244  -0.214 -0.153  -0.101 -0.113  0.028 -0.113  0.158 -0.113  0.287 -0.113  0.417 -0.113
