2#apb#apb08#app0897/A  -0.850 -0.286  -0.623 -0.244  -0.394 -0.218  -0.162 -0.218  0.069 -0.218  0.300 -0.218  0.529 -0.192  0.758 -0.159  0.985 -0.118  0.975 -0.057  0.758 0.021  0.540 0.099  0.323 0.177  0.105 0.255  -0.112 0.333  -0.330 0.411  -0.547 0.489  -0.765 0.568  -0.901 0.530  -0.901 0.299  -0.918 0.068  -0.935 -0.162  -0.935 -0.393  -0.935 -0.624  -0.938 -0.855  -0.965 -1.084  -1.017 -1.274  -0.958 -1.052  -0.883 -0.833  -0.824 -0.610  -0.764 -0.387  -0.696 -0.166  -0.628 0.055  -0.515 0.256  -0.399 0.456  -0.257 0.638  -0.095 0.798  0.102 0.918  0.302 1.034  0.522 1.063  0.723 0.958  0.925 0.845  1.051 0.654  1.145 0.443  1.220 0.225  1.280 0.002  1.347 -0.219  1.405 -0.442  1.449 -0.669  1.432 -0.899
2#apb#apb08#app0897/f  -0.897 -0.457  -0.746 -0.441  -0.594 -0.441  -0.442 -0.441  -0.290 -0.441  -0.138 -0.441  0.014 -0.441  0.166 -0.441  0.318 -0.441  0.468 -0.420  0.597 -0.372  0.602 -0.220  0.607 -0.068  0.612 0.084  0.617 0.236  0.622 0.388  0.627 0.539  0.632 0.691  0.637 0.843  0.642 0.995  0.606 1.140  0.512 1.258  0.407 1.368  0.277 1.437  0.134 1.434  -0.002 1.366  -0.128 1.282  -0.241 1.182  -0.340 1.067  -0.423 0.941  -0.485 0.802  -0.538 0.661  -0.551 0.510  -0.564 0.358  -0.546 0.208  -0.520 0.058  -0.479 -0.087  -0.416 -0.225  -0.353 -0.364  -0.284 -0.499  -0.213 -0.634  -0.145 -0.769  -0.080 -0.907  -0.016 -1.045  0.045 -1.184  0.093 -1.328  0.122 -1.476  0.092 -1.625  0.048 -1.770  -0.064 -1.872
2#apb#apb08#app0897/o  -0.369 1.077  -0.475 1.015  -0.581 0.953  -0.666 0.871  -0.723 0.762  -0.780 0.654  -0.837 0.545  -0.882 0.432  -0.913 0.313  -0.945 0.194  -0.976 0.075  -0.965 -0.046  -0.947 -0.167  -0.929 -0.288  -0.903 -0.406  -0.820 -0.496  -0.736 -0.586  -0.653 -0.676  -0.555 -0.749  -0.448 -0.809  -0.341 -0.869  -0.231 -0.921  -0.111 -0.943  0.010 -0.964  0.131 -0.985  0.253 -0.971  0.375 -0.956  0.497 -0.942  0.595 -0.872  0.689 -0.793  0.782 -0.713  0.842 -0.610  0.887 -0.496  0.933 -0.382  0.945 -0.261  0.945 -0.138  0.945 -0.016  0.945 0.107  0.895 0.217  0.836 0.325  0.778 0.433  0.719 0.540  0.654 0.644  0.570 0.733  0.486 0.823  0.402 0.912  0.318 1.001  0.218 1.073  0.117 1.143  0.016 1.213
2#apb#apb08#app0897/r  -0.940 0.654  -0.913 0.547  -0.886 0.439  -0.859 0.332  -0.832 0.225  -0.805 0.117  -0.762 0.016  -0.716 -0.085  -0.670 -0.185  -0.623 -0.285  -0.582 -0.388  -0.549 -0.493  -0.517 -0.599  -0.484 -0.705  -0.450 -0.810  -0.395 -0.906  -0.340 -1.002  -0.316 -1.106  -0.316 -1.217  -0.334 -1.180  -0.350 -1.071  -0.350 -0.961  -0.350 -0.850  -0.350 -0.739  -0.330 -0.632  -0.297 -0.526  -0.265 -0.420  -0.232 -0.315  -0.185 -0.217  -0.113 -0.133  -0.040 -0.050  0.032 0.034  0.104 0.117  0.177 0.201  0.252 0.282  0.340 0.349  0.429 0.415  0.517 0.481  0.606 0.548  0.694 0.614  0.783 0.680  0.871 0.747  0.962 0.810  1.056 0.867  1.151 0.924  1.246 0.981  1.341 1.038  1.436 1.095  1.531 1.152  1.625 1.209
2#apb#apb08#app0897/n  -0.754 0.897  -0.712 0.783  -0.712 0.657  -0.712 0.531  -0.720 0.404  -0.733 0.279  -0.745 0.153  -0.763 0.028  -0.792 -0.095  -0.821 -0.219  -0.840 -0.343  -0.840 -0.469  -0.840 -0.596  -0.840 -0.722  -0.886 -0.719  -0.898 -0.593  -0.884 -0.470  -0.846 -0.349  -0.808 -0.229  -0.767 -0.109  -0.725 0.010  -0.683 0.130  -0.605 0.225  -0.509 0.307  -0.413 0.389  -0.313 0.466  -0.209 0.538  -0.105 0.610  0.018 0.628  0.144 0.637  0.271 0.640  0.397 0.640  0.519 0.621  0.628 0.558  0.737 0.494  0.832 0.410  0.926 0.326  1.001 0.225  1.067 0.117  1.130 0.008  1.154 -0.116  1.179 -0.240  1.196 -0.365  1.206 -0.491  1.209 -0.617  1.198 -0.743  1.191 -0.869  1.188 -0.996  1.158 -1.118  1.127 -1.241
2#apb#apb08#app0897/i  -0.458 0.962  -0.471 1.038  -0.475 1.113  -0.454 1.188  -0.425 1.256  -0.356 1.291  -0.285 1.318  -0.208 1.318  -0.145 1.302  -0.139 1.225  -0.133 1.148  -0.126 1.071  -0.120 0.994  -0.114 0.917  -0.108 0.840  -0.101 0.763  -0.095 0.686  -0.089 0.609  -0.082 0.532  -0.076 0.455  -0.070 0.378  -0.064 0.301  -0.061 0.227  -0.094 0.192  -0.077 0.117  -0.061 0.041  -0.039 -0.033  -0.016 -0.107  0.007 -0.180  0.030 -0.254  0.053 -0.328  0.070 -0.403  0.087 -0.479  0.104 -0.554  0.120 -0.630  0.137 -0.705  0.157 -0.780  0.177 -0.854  0.198 -0.929  0.219 -1.003  0.239 -1.078  0.262 -1.151  0.290 -1.223  0.318 -1.295  0.345 -1.368  0.373 -1.440  0.400 -1.512  0.427 -1.584  0.452 -1.658  0.476 -1.731
2#apb#apb08#app0897/a  0.068 0.472  0.120 0.602  0.176 0.731  0.188 0.857  0.125 0.982  0.041 1.091  -0.099 1.105  -0.238 1.101  -0.377 1.082  -0.506 1.041  -0.618 0.955  -0.729 0.870  -0.829 0.772  -0.928 0.672  -1.012 0.565  -1.044 0.428  -1.076 0.292  -1.078 0.154  -1.064 0.014  -1.050 -0.125  -0.996 -0.252  -0.925 -0.373  -0.833 -0.476  -0.729 -0.571  -0.615 -0.650  -0.490 -0.713  -0.357 -0.739  -0.217 -0.729  -0.086 -0.691  0.033 -0.618  0.146 -0.537  0.230 -0.424  0.301 -0.304  0.368 -0.181  0.422 -0.052  0.466 0.081  0.499 0.217  0.514 0.135  0.542 -0.002  0.591 -0.133  0.640 -0.265  0.714 -0.380  0.813 -0.479  0.912 -0.578  1.025 -0.661  1.142 -0.739  1.258 -0.816  1.386 -0.871  1.520 -0.910  1.655 -0.950
2#apb#apb08#app0897/N  -0.752 0.865  -0.760 0.819  -0.740 0.651  -0.744 0.483  -0.751 0.314  -0.752 0.146  -0.752 -0.023  -0.746 -0.191  -0.738 -0.359  -0.749 -0.528  -0.769 -0.695  -0.841 -0.838  -0.828 -0.670  -0.814 -0.502  -0.800 -0.334  -0.787 -0.166  -0.773 0.002  -0.760 0.170  -0.746 0.338  -0.732 0.506  -0.719 0.674  -0.734 0.820  -0.600 0.727  -0.494 0.596  -0.390 0.464  -0.291 0.327  -0.193 0.190  -0.098 0.051  0.001 -0.086  0.109 -0.215  0.217 -0.344  0.320 -0.478  0.423 -0.611  0.529 -0.742  0.640 -0.869  0.765 -0.980  0.920 -0.984  1.027 -0.860  1.118 -0.719  1.172 -0.559  1.202 -0.395  1.202 -0.227  1.201 -0.058  1.190 0.110  1.179 0.278  1.162 0.446  1.137 0.613  1.113 0.779  1.113 0.948  1.113 1.117
2#apb#apb08#app0897/e  -0.243 -0.036  -0.132 0.015  -0.039 0.109  0.072 0.180  0.186 0.247  0.300 0.313  0.414 0.380  0.522 0.457  0.624 0.540  0.707 0.639  0.764 0.758  0.793 0.887  0.747 0.999  0.638 1.068  0.518 1.123  0.389 1.151  0.260 1.163  0.138 1.114  0.015 1.065  -0.099 0.999  -0.209 0.926  -0.319 0.853  -0.417 0.766  -0.496 0.660  -0.575 0.554  -0.655 0.449  -0.716 0.333  -0.766 0.210  -0.816 0.088  -0.866 -0.034  -0.860 -0.166  -0.852 -0.298  -0.832 -0.427  -0.773 -0.545  -0.714 -0.663  -0.629 -0.760  -0.521 -0.836  -0.413 -0.912  -0.300 -0.978  -0.177 -1.026  -0.053 -1.074  0.073 -1.110  0.204 -1.128  0.335 -1.147  0.466 -1.162  0.598 -1.162  0.730 -1.162  0.862 -1.157  0.993 -1.139  1.124 -1.122
2#apb#apb08#app0897/w  -1.348 0.523  -1.321 0.448  -1.321 0.340  -1.321 0.232  -1.309 0.125  -1.296 0.017  -1.257 -0.083  -1.216 -0.183  -1.157 -0.272  -1.086 -0.353  -0.989 -0.401  -0.884 -0.420  -0.778 -0.413  -0.680 -0.375  -0.617 -0.287  -0.557 -0.197  -0.503 -0.104  -0.473 -0.001  -0.451 0.105  -0.427 0.210  -0.383 0.140  -0.359 0.035  -0.299 -0.055  -0.232 -0.140  -0.162 -0.222  -0.078 -0.288  0.015 -0.343  0.110 -0.392  0.214 -0.422  0.318 -0.452  0.424 -0.465  0.532 -0.465  0.639 -0.457  0.739 -0.416  0.835 -0.369  0.916 -0.297  0.997 -0.226  1.061 -0.141  1.116 -0.048  1.171 0.045  1.207 0.146  1.225 0.252  1.244 0.358  1.228 0.463  1.197 0.566  1.165 0.669  1.123 0.769  1.082 0.869  1.009 0.948  0.933 1.024
2#apb#apb08#app0897/Y  -1.393 1.030  -1.327 0.890  -1.276 0.745  -1.225 0.599  -1.148 0.465  -1.071 0.332  -0.985 0.205  -0.876 0.096  -0.767 -0.013  -0.655 -0.119  -0.542 -0.224  -0.416 -0.311  -0.278 -0.380  -0.131 -0.410  0.023 -0.410  0.163 -0.354  0.297 -0.278  0.400 -0.166  0.492 -0.043  0.577 0.086  0.643 0.225  0.709 0.364  0.755 0.511  0.792 0.661  0.827 0.811  0.851 0.964  0.873 1.116  0.899 1.187  0.847 1.049  0.760 0.922  0.673 0.794  0.586 0.667  0.498 0.540  0.411 0.412  0.324 0.285  0.237 0.158  0.150 0.031  0.062 -0.097  -0.025 -0.224  -0.113 -0.346  -0.143 -0.497  -0.143 -0.651  -0.143 -0.806  -0.143 -0.960  -0.133 -1.113  -0.096 -1.263  -0.052 -1.410  0.012 -1.551  0.080 -1.689  0.141 -1.831
2#apb#apb08#app0897/o  -0.413 0.923  -0.517 0.872  -0.620 0.820  -0.713 0.754  -0.792 0.669  -0.870 0.585  -0.949 0.500  -0.990 0.394  -1.019 0.282  -1.049 0.170  -1.077 0.059  -1.051 -0.054  -1.024 -0.167  -0.998 -0.279  -0.936 -0.373  -0.857 -0.457  -0.778 -0.542  -0.699 -0.626  -0.606 -0.689  -0.497 -0.727  -0.387 -0.764  -0.278 -0.802  -0.169 -0.840  -0.055 -0.853  0.061 -0.859  0.176 -0.865  0.291 -0.863  0.399 -0.823  0.507 -0.782  0.616 -0.742  0.704 -0.668  0.789 -0.590  0.872 -0.511  0.900 -0.398  0.928 -0.286  0.956 -0.174  0.959 -0.059  0.959 0.057  0.959 0.172  0.937 0.285  0.902 0.395  0.868 0.505  0.833 0.616  0.767 0.709  0.695 0.800  0.623 0.890  0.548 0.978  0.456 1.048  0.365 1.119  0.273 1.189
2#apb#apb08#app0897/r  -1.053 0.383  -1.006 0.284  -0.960 0.184  -0.913 0.084  -0.867 -0.015  -0.810 -0.109  -0.745 -0.197  -0.679 -0.285  -0.613 -0.372  -0.557 -0.466  -0.513 -0.567  -0.470 -0.668  -0.427 -0.769  -0.377 -0.866  -0.311 -0.954  -0.245 -1.042  -0.185 -1.133  -0.129 -1.228  -0.129 -1.235  -0.129 -1.125  -0.129 -1.015  -0.137 -0.906  -0.153 -0.797  -0.170 -0.689  -0.187 -0.580  -0.176 -0.471  -0.164 -0.362  -0.151 -0.253  -0.138 -0.144  -0.118 -0.036  -0.080 0.066  -0.041 0.169  -0.002 0.272  0.036 0.375  0.108 0.452  0.198 0.514  0.289 0.577  0.379 0.639  0.470 0.701  0.560 0.764  0.650 0.826  0.741 0.889  0.831 0.951  0.922 1.013  1.018 1.066  1.115 1.118  1.211 1.171  1.310 1.218  1.411 1.263  1.511 1.307
2#apb#apb08#app0897/k  -0.881 1.685  -0.853 1.493  -0.817 1.303  -0.775 1.115  -0.733 0.926  -0.696 0.736  -0.660 0.546  -0.618 0.357  -0.571 0.170  -0.525 -0.018  -0.495 -0.209  -0.466 -0.400  -0.410 -0.585  -0.365 -0.773  -0.280 -0.792  -0.187 -0.623  -0.093 -0.453  -0.000 -0.284  0.093 -0.114  0.186 0.055  0.279 0.225  0.372 0.394  0.465 0.564  0.559 0.734  0.652 0.903  0.581 0.842  0.427 0.726  0.260 0.628  0.088 0.542  -0.093 0.474  -0.272 0.400  -0.449 0.322  -0.613 0.221  -0.774 0.113  -0.800 -0.043  -0.650 -0.165  -0.496 -0.280  -0.315 -0.348  -0.134 -0.416  0.046 -0.487  0.224 -0.563  0.402 -0.638  0.578 -0.718  0.752 -0.802  0.926 -0.886  1.099 -0.973  1.271 -1.063  1.441 -1.154  1.587 -1.281  1.733 -1.408
