3#apb#apb15#app1545/F  -0.698 0.910  -0.606 0.793  -0.568 0.588  -0.550 0.378  -0.536 0.167  -0.522 -0.044  -0.515 -0.255  -0.515 -0.466  -0.515 -0.677  -0.509 -0.889  -0.502 -1.100  -0.493 -1.311  -0.481 -1.522  -0.419 -1.724  -0.425 -1.539  -0.436 -1.328  -0.446 -1.117  -0.457 -0.906  -0.468 -0.695  -0.478 -0.484  -0.489 -0.273  -0.500 -0.062  -0.510 0.149  -0.521 0.360  -0.532 0.571  -0.542 0.782  -0.522 0.864  -0.320 0.809  -0.111 0.776  0.098 0.749  0.309 0.744  0.521 0.744  0.732 0.744  0.943 0.744  1.154 0.744  1.366 0.744  1.573 0.713  1.532 0.632  1.345 0.533  1.158 0.435  0.971 0.336  0.785 0.238  0.598 0.139  0.411 0.040  0.224 -0.058  0.037 -0.157  -0.150 -0.255  -0.015 -0.223  0.191 -0.184  0.401 -0.155
3#apb#apb15#app1545/e  -1.286 -0.244  -1.189 -0.244  -1.029 -0.244  -0.869 -0.244  -0.709 -0.243  -0.549 -0.225  -0.390 -0.207  -0.231 -0.190  -0.074 -0.162  0.082 -0.123  0.237 -0.084  0.393 -0.045  0.545 0.002  0.694 0.062  0.843 0.121  0.992 0.179  1.144 0.229  1.247 0.320  1.267 0.479  1.245 0.636  1.210 0.792  1.073 0.871  0.932 0.947  0.790 1.019  0.630 1.019  0.470 1.019  0.310 1.019  0.159 0.974  0.012 0.910  -0.135 0.846  -0.272 0.768  -0.380 0.650  -0.489 0.533  -0.598 0.415  -0.667 0.273  -0.724 0.124  -0.781 -0.026  -0.781 -0.186  -0.781 -0.347  -0.761 -0.502  -0.685 -0.643  -0.609 -0.784  -0.515 -0.910  -0.388 -1.007  -0.261 -1.105  -0.131 -1.197  0.022 -1.243  0.175 -1.289  0.329 -1.335  0.482 -1.381
3#apb#apb15#app1545/a  0.858 0.806  0.701 0.875  0.544 0.945  0.380 0.983  0.208 0.983  0.038 0.974  -0.123 0.912  -0.283 0.850  -0.444 0.788  -0.583 0.693  -0.704 0.571  -0.826 0.450  -0.943 0.325  -1.051 0.190  -1.158 0.056  -1.266 -0.078  -1.267 -0.250  -1.267 -0.422  -1.267 -0.594  -1.267 -0.766  -1.122 -0.825  -0.958 -0.876  -0.794 -0.915  -0.625 -0.881  -0.457 -0.848  -0.304 -0.778  -0.163 -0.679  -0.022 -0.581  0.109 -0.470  0.224 -0.342  0.339 -0.215  0.454 -0.087  0.520 0.071  0.584 0.231  0.652 0.389  0.737 0.538  0.814 0.690  0.793 0.754  0.729 0.594  0.665 0.434  0.618 0.270  0.585 0.101  0.551 -0.068  0.602 -0.230  0.660 -0.392  0.718 -0.554  0.781 -0.713  0.895 -0.841  1.010 -0.970  1.124 -1.098
3#apb#apb15#app1545/v  -0.866 0.813  -0.866 0.703  -0.866 0.593  -0.866 0.483  -0.863 0.373  -0.830 0.268  -0.798 0.163  -0.766 0.058  -0.733 -0.047  -0.694 -0.150  -0.654 -0.252  -0.615 -0.355  -0.575 -0.458  -0.542 -0.562  -0.509 -0.667  -0.477 -0.773  -0.445 -0.878  -0.394 -0.974  -0.336 -1.068  -0.277 -1.161  -0.240 -1.264  -0.166 -1.216  -0.104 -1.125  -0.041 -1.035  0.022 -0.945  0.085 -0.855  0.126 -0.753  0.162 -0.650  0.199 -0.546  0.235 -0.442  0.272 -0.339  0.306 -0.234  0.337 -0.129  0.368 -0.023  0.399 0.083  0.429 0.188  0.460 0.294  0.491 0.399  0.522 0.505  0.571 0.603  0.622 0.700  0.673 0.798  0.725 0.895  0.776 0.992  0.827 1.090  0.879 1.187  0.931 1.283  0.983 1.380  1.035 1.477  1.087 1.574
3#apb#apb15#app1545/e  -0.927 -0.920  -0.816 -0.809  -0.691 -0.716  -0.560 -0.629  -0.428 -0.544  -0.294 -0.463  -0.159 -0.382  -0.017 -0.316  0.128 -0.256  0.273 -0.195  0.400 -0.104  0.522 -0.006  0.645 0.092  0.769 0.188  0.893 0.285  0.984 0.403  1.027 0.554  1.025 0.709  1.009 0.865  0.939 0.994  0.821 1.097  0.697 1.188  0.542 1.212  0.387 1.236  0.234 1.242  0.089 1.181  -0.056 1.121  -0.189 1.043  -0.296 0.928  -0.403 0.813  -0.509 0.698  -0.614 0.582  -0.667 0.434  -0.720 0.286  -0.772 0.138  -0.787 -0.016  -0.787 -0.173  -0.787 -0.330  -0.730 -0.474  -0.660 -0.614  -0.589 -0.755  -0.462 -0.838  -0.321 -0.908  -0.181 -0.978  -0.040 -1.048  0.110 -1.091  0.263 -1.127  0.416 -1.163  0.569 -1.200  0.721 -1.236
3#apb#apb15#app1545/s  0.738 1.306  0.639 1.275  0.540 1.244  0.441 1.213  0.342 1.183  0.243 1.154  0.141 1.134  0.040 1.113  -0.062 1.093  -0.164 1.073  -0.261 1.036  -0.357 0.998  -0.453 0.959  -0.520 0.883  -0.580 0.799  -0.626 0.708  -0.649 0.607  -0.671 0.506  -0.632 0.417  -0.572 0.332  -0.513 0.247  -0.444 0.173  -0.351 0.127  -0.259 0.080  -0.166 0.034  -0.073 -0.013  0.019 -0.059  0.112 -0.105  0.205 -0.152  0.298 -0.198  0.383 -0.255  0.456 -0.328  0.530 -0.401  0.554 -0.502  0.576 -0.603  0.579 -0.703  0.543 -0.800  0.508 -0.898  0.471 -0.994  0.381 -1.045  0.290 -1.096  0.200 -1.147  0.110 -1.197  0.019 -1.248  -0.080 -1.275  -0.182 -1.295  -0.283 -1.315  -0.385 -1.336  -0.487 -1.356  -0.588 -1.376
3#apb#apb15#app1545/a  -0.028 0.621  -0.000 0.769  -0.017 0.921  -0.105 1.025  -0.246 1.057  -0.393 1.017  -0.536 0.966  -0.663 0.881  -0.791 0.796  -0.918 0.712  -1.019 0.597  -1.118 0.481  -1.216 0.364  -1.255 0.220  -1.279 0.069  -1.273 -0.079  -1.218 -0.222  -1.163 -0.365  -1.051 -0.463  -0.925 -0.550  -0.785 -0.601  -0.634 -0.624  -0.483 -0.646  -0.332 -0.669  -0.186 -0.631  -0.040 -0.583  0.105 -0.534  0.247 -0.479  0.383 -0.410  0.520 -0.342  0.629 -0.243  0.707 -0.112  0.771 0.025  0.805 0.174  0.840 0.323  0.843 0.476  0.769 0.591  0.720 0.505  0.675 0.360  0.675 0.207  0.675 0.054  0.684 -0.099  0.703 -0.250  0.722 -0.402  0.777 -0.539  0.867 -0.663  0.958 -0.786  1.079 -0.880  1.200 -0.973  1.321 -1.066
3#apb#apb15#app1545/t  0.607 1.676  0.476 1.607  0.398 1.470  0.336 1.322  0.275 1.174  0.245 1.016  0.216 0.859  0.187 0.701  0.167 0.543  0.157 0.383  0.147 0.223  0.137 0.063  0.130 -0.097  0.130 -0.258  0.130 -0.418  0.130 -0.578  0.138 -0.738  0.164 -0.896  0.189 -1.054  0.215 -1.212  0.260 -1.366  0.305 -1.520  0.376 -1.663  0.344 -1.607  0.263 -1.468  0.183 -1.329  0.103 -1.191  0.023 -1.052  -0.057 -0.913  -0.138 -0.774  -0.218 -0.636  -0.298 -0.497  -0.378 -0.358  -0.458 -0.219  -0.539 -0.081  -0.619 0.058  -0.699 0.197  -0.779 0.336  -0.859 0.474  -0.886 0.619  -0.771 0.684  -0.610 0.691  -0.450 0.697  -0.290 0.704  -0.130 0.714  0.030 0.724  0.190 0.734  0.350 0.744  0.510 0.754  0.669 0.764
3#apb#apb15#app1545/7  -1.310 0.695  -1.405 0.713  -1.249 0.722  -1.094 0.744  -0.939 0.766  -0.784 0.785  -0.628 0.804  -0.473 0.823  -0.318 0.844  -0.165 0.877  -0.012 0.909  0.141 0.942  0.295 0.970  0.450 0.989  0.606 1.008  0.760 1.032  0.915 1.052  0.860 0.942  0.771 0.813  0.682 0.684  0.594 0.555  0.517 0.419  0.443 0.281  0.368 0.143  0.310 -0.001  0.257 -0.149  0.204 -0.296  0.153 -0.444  0.104 -0.592  0.054 -0.741  0.007 -0.890  -0.038 -1.040  -0.083 -1.190  -0.129 -1.339  -0.175 -1.489  -0.221 -1.638  -0.206 -1.487  -0.189 -1.331  -0.172 -1.176  -0.156 -1.020  -0.139 -0.864  -0.123 -0.709  -0.106 -0.553  -0.089 -0.398  -0.093 -0.285  0.054 -0.235  0.207 -0.201  0.360 -0.171  0.515 -0.148  0.670 -0.125
3#apb#apb15#app1545/:  0.041 1.210  -0.012 1.262  -0.065 1.313  -0.131 1.346  -0.158 1.403  -0.148 1.444  -0.107 1.382  -0.066 1.321  -0.056 1.250  -0.052 1.176  -0.048 1.102  -0.044 1.029  -0.041 0.955  -0.037 0.882  -0.033 0.808  -0.029 0.734  -0.026 0.661  -0.022 0.587  -0.018 0.513  -0.015 0.440  -0.011 0.366  -0.007 0.293  -0.003 0.219  0.000 0.145  0.004 0.072  0.008 -0.002  0.012 -0.076  0.015 -0.149  0.019 -0.223  0.023 -0.296  0.027 -0.370  0.030 -0.444  0.034 -0.517  0.038 -0.591  0.042 -0.665  0.045 -0.738  0.049 -0.812  0.053 -0.886  0.057 -0.959  0.060 -1.033  0.064 -1.106  0.068 -1.180  0.072 -1.254  0.075 -1.327  0.079 -1.401  0.083 -1.475  0.087 -1.548  0.089 -1.620  0.015 -1.620  -0.059 -1.620
3#apb#apb15#app1545/2  -1.268 1.276  -1.168 1.319  -1.046 1.305  -0.923 1.288  -0.802 1.262  -0.684 1.223  -0.567 1.184  -0.449 1.144  -0.334 1.100  -0.222 1.046  -0.110 0.993  0.002 0.940  0.110 0.879  0.201 0.795  0.291 0.710  0.382 0.626  0.452 0.526  0.505 0.414  0.557 0.301  0.570 0.183  0.552 0.060  0.533 -0.062  0.449 -0.153  0.364 -0.244  0.280 -0.335  0.179 -0.403  0.067 -0.456  -0.045 -0.509  -0.158 -0.562  -0.276 -0.598  -0.396 -0.630  -0.516 -0.662  -0.632 -0.706  -0.724 -0.779  -0.628 -0.794  -0.503 -0.794  -0.379 -0.794  -0.255 -0.794  -0.131 -0.794  -0.007 -0.794  0.117 -0.794  0.241 -0.794  0.365 -0.794  0.489 -0.794  0.613 -0.794  0.737 -0.790  0.859 -0.769  0.981 -0.748  1.103 -0.726  1.225 -0.705
3#apb#apb15#app1545/0  -0.242 0.882  -0.422 0.778  -0.572 0.632  -0.700 0.465  -0.794 0.277  -0.885 0.086  -0.948 -0.114  -1.003 -0.317  -1.036 -0.522  -1.010 -0.731  -0.936 -0.927  -0.806 -1.080  -0.624 -1.184  -0.415 -1.182  -0.204 -1.173  -0.009 -1.104  0.179 -1.009  0.367 -0.914  0.511 -0.761  0.656 -0.607  0.755 -0.423  0.845 -0.233  0.912 -0.035  0.951 0.172  0.988 0.379  0.928 0.581  0.859 0.777  0.705 0.921  0.536 1.040  0.335 1.095  0.124 1.078  -0.029 0.938  0.045 0.890  0.256 0.903  0.466 0.916  0.676 0.928  0.862 0.932  0.709 0.789  0.568 0.632  0.427 0.475  0.295 0.311  0.163 0.147  0.032 -0.018  -0.104 -0.179  -0.240 -0.340  -0.376 -0.501  -0.510 -0.663  -0.636 -0.832  -0.761 -1.002  -0.887 -1.171
3#apb#apb15#app1545/a  0.720 0.288  0.703 0.458  0.683 0.628  0.639 0.787  0.513 0.900  0.370 0.995  0.214 1.034  0.043 1.020  -0.123 0.985  -0.286 0.934  -0.449 0.883  -0.590 0.789  -0.725 0.685  -0.857 0.576  -0.961 0.441  -1.065 0.305  -1.146 0.158  -1.200 -0.005  -1.254 -0.167  -1.261 -0.337  -1.261 -0.508  -1.196 -0.664  -1.125 -0.820  -0.984 -0.914  -0.829 -0.972  -0.658 -0.982  -0.488 -0.992  -0.321 -0.968  -0.155 -0.924  0.009 -0.878  0.164 -0.806  0.319 -0.734  0.431 -0.611  0.528 -0.470  0.620 -0.327  0.687 -0.170  0.755 -0.013  0.818 0.146  0.879 0.306  0.915 0.470  0.915 0.641  0.831 0.513  0.741 0.368  0.673 0.213  0.632 0.047  0.608 -0.121  0.608 -0.292  0.612 -0.463  0.638 -0.632  0.664 -0.800
3#apb#apb15#app1545/m  -0.909 0.846  -0.936 0.661  -0.936 0.475  -0.936 0.288  -0.936 0.102  -0.965 -0.081  -1.010 -0.262  -1.040 -0.445  -1.040 -0.632  -1.092 -0.810  -1.019 -0.680  -0.952 -0.506  -0.849 -0.353  -0.734 -0.206  -0.628 -0.053  -0.552 0.117  -0.475 0.287  -0.394 0.454  -0.288 0.608  -0.183 0.762  -0.078 0.916  0.019 1.076  0.085 1.128  0.056 0.945  0.018 0.762  -0.021 0.580  -0.080 0.403  -0.139 0.226  -0.198 0.049  -0.203 -0.137  -0.203 -0.324  -0.178 -0.508  -0.130 -0.687  -0.017 -0.816  0.156 -0.772  0.326 -0.695  0.486 -0.599  0.646 -0.503  0.784 -0.381  0.906 -0.240  1.028 -0.099  1.158 0.035  1.290 0.167  1.422 0.299  1.471 0.233  1.450 0.047  1.446 -0.139  1.446 -0.326  1.457 -0.512  1.472 -0.698
3#apb#apb15#app1545/f  1.228 0.507  1.290 0.640  1.278 0.789  1.242 0.934  1.180 1.068  1.087 1.186  0.986 1.293  0.836 1.307  0.694 1.265  0.553 1.215  0.439 1.118  0.325 1.021  0.219 0.916  0.143 0.788  0.067 0.659  -0.010 0.530  -0.059 0.388  -0.106 0.246  -0.153 0.104  -0.184 -0.042  -0.204 -0.190  -0.225 -0.339  -0.230 -0.488  -0.224 -0.637  -0.218 -0.787  -0.198 -0.935  -0.179 -1.084  -0.153 -1.232  -0.140 -1.380  -0.251 -1.323  -0.335 -1.199  -0.419 -1.075  -0.503 -0.951  -0.588 -0.827  -0.672 -0.703  -0.756 -0.579  -0.840 -0.456  -0.925 -0.332  -1.009 -0.208  -1.019 -0.106  -0.870 -0.096  -0.720 -0.090  -0.570 -0.090  -0.420 -0.090  -0.271 -0.095  -0.121 -0.100  0.029 -0.105  0.177 -0.123  0.325 -0.146  0.473 -0.169
3#apb#apb15#app1545/r  -0.267 0.416  -0.303 0.290  -0.324 0.161  -0.324 0.029  -0.324 -0.102  -0.311 -0.233  -0.291 -0.363  -0.271 -0.493  -0.252 -0.624  -0.234 -0.754  -0.215 -0.884  -0.179 -1.011  -0.138 -1.136  -0.096 -1.261  -0.060 -1.387  -0.060 -1.461  -0.146 -1.361  -0.228 -1.258  -0.297 -1.146  -0.366 -1.034  -0.435 -0.922  -0.450 -0.792  -0.463 -0.661  -0.476 -0.530  -0.489 -0.399  -0.487 -0.267  -0.476 -0.136  -0.464 -0.005  -0.453 0.126  -0.441 0.257  -0.409 0.384  -0.365 0.508  -0.321 0.632  -0.277 0.756  -0.200 0.861  -0.113 0.959  -0.019 1.050  0.102 1.102  0.227 1.113  0.357 1.090  0.486 1.065  0.613 1.030  0.740 0.996  0.860 0.943  0.976 0.880  1.092 0.818  1.211 0.762  1.333 0.713  1.455 0.664  1.577 0.615
3#apb#apb15#app1545/o  0.390 0.953  0.241 0.953  0.095 0.943  -0.031 0.864  -0.157 0.785  -0.276 0.699  -0.368 0.581  -0.459 0.464  -0.550 0.346  -0.592 0.209  -0.607 0.061  -0.622 -0.087  -0.620 -0.235  -0.604 -0.383  -0.587 -0.530  -0.528 -0.664  -0.452 -0.792  -0.375 -0.919  -0.295 -1.043  -0.166 -1.116  -0.037 -1.190  0.102 -1.239  0.248 -1.268  0.394 -1.297  0.532 -1.285  0.660 -1.208  0.756 -1.101  0.830 -0.972  0.900 -0.842  0.915 -0.694  0.929 -0.546  0.944 -0.398  0.857 -0.280  0.765 -0.163  0.672 -0.047  0.579 0.069  0.474 0.175  0.369 0.280  0.264 0.385  0.159 0.490  0.052 0.593  -0.069 0.681  -0.189 0.768  -0.309 0.856  -0.430 0.943  -0.536 1.046  -0.642 1.151  -0.751 1.251  -0.875 1.334  -0.999 1.416
3#apb#apb15#app1545/m  -0.999 0.495  -0.956 0.302  -0.941 0.107  -0.941 -0.090  -0.973 -0.285  -1.002 -0.480  -1.019 -0.676  -1.028 -0.873  -1.028 -1.070  -0.979 -1.018  -0.917 -0.831  -0.839 -0.650  -0.760 -0.469  -0.686 -0.287  -0.621 -0.101  -0.556 0.085  -0.488 0.271  -0.414 0.453  -0.339 0.636  -0.264 0.818  -0.159 0.983  -0.036 1.137  -0.084 1.026  -0.147 0.838  -0.205 0.650  -0.257 0.460  -0.283 0.265  -0.299 0.069  -0.282 -0.128  -0.224 -0.311  -0.112 -0.466  0.078 -0.437  0.254 -0.348  0.403 -0.218  0.541 -0.079  0.668 0.073  0.792 0.225  0.907 0.386  1.022 0.546  1.143 0.701  1.213 0.698  1.177 0.504  1.141 0.311  1.126 0.115  1.126 -0.082  1.126 -0.280  1.172 -0.468  1.244 -0.652  1.316 -0.835  1.388 -1.019
3#apb#apb15#app1545/O  0.338 0.822  0.338 0.963  0.266 1.063  0.131 1.074  -0.006 1.042  -0.125 0.967  -0.244 0.891  -0.361 0.812  -0.450 0.703  -0.539 0.594  -0.628 0.484  -0.713 0.372  -0.783 0.249  -0.852 0.127  -0.922 0.004  -0.973 -0.125  -0.992 -0.265  -1.011 -0.405  -1.021 -0.543  -0.955 -0.668  -0.889 -0.793  -0.787 -0.886  -0.672 -0.966  -0.556 -1.047  -0.415 -1.047  -0.274 -1.047  -0.133 -1.047  0.006 -1.030  0.144 -1.000  0.282 -0.970  0.420 -0.940  0.545 -0.876  0.669 -0.809  0.793 -0.741  0.871 -0.626  0.942 -0.504  0.977 -0.374  0.965 -0.234  0.952 -0.093  0.897 0.035  0.833 0.161  0.770 0.288  0.699 0.409  0.614 0.521  0.528 0.633  0.443 0.746  0.353 0.854  0.263 0.963  0.173 1.072  0.087 1.183
