3#apb#apb16#app1618/a  0.426 0.538  0.397 0.572  0.473 0.724  0.518 0.887  0.531 1.056  0.520 1.213  0.383 1.301  0.220 1.260  0.053 1.229  -0.112 1.188  -0.243 1.082  -0.370 0.969  -0.476 0.836  -0.572 0.696  -0.669 0.556  -0.767 0.417  -0.864 0.277  -0.943 0.127  -1.012 -0.028  -1.047 -0.194  -1.078 -0.362  -1.166 -0.491  -1.082 -0.639  -0.943 -0.690  -0.776 -0.660  -0.609 -0.626  -0.455 -0.555  -0.300 -0.484  -0.159 -0.392  -0.033 -0.278  0.093 -0.164  0.214 -0.043  0.334 0.077  0.450 0.202  0.560 0.331  0.610 0.464  0.610 0.293  0.571 0.131  0.507 -0.027  0.454 -0.189  0.405 -0.352  0.395 -0.520  0.395 -0.690  0.429 -0.853  0.505 -1.005  0.563 -1.163  0.596 -1.330  0.690 -1.458  0.829 -1.557  0.949 -1.678
3#apb#apb16#app1618/l  0.118 1.381  0.161 1.409  0.174 1.467  0.186 1.493  0.201 1.440  0.232 1.376  0.243 1.305  0.255 1.235  0.252 1.165  0.242 1.094  0.232 1.024  0.222 0.953  0.212 0.883  0.202 0.812  0.188 0.742  0.175 0.672  0.162 0.602  0.149 0.532  0.136 0.462  0.123 0.392  0.106 0.323  0.087 0.254  0.068 0.186  0.049 0.117  0.030 0.048  0.010 -0.020  -0.009 -0.089  -0.026 -0.158  -0.037 -0.228  -0.048 -0.299  -0.059 -0.369  -0.070 -0.440  -0.081 -0.510  -0.092 -0.580  -0.103 -0.651  -0.120 -0.720  -0.139 -0.789  -0.158 -0.857  -0.177 -0.926  -0.196 -0.995  -0.215 -1.063  -0.234 -1.132  -0.253 -1.200  -0.272 -1.269  -0.291 -1.338  -0.309 -1.407  -0.328 -1.475  -0.332 -1.546  -0.332 -1.617  -0.332 -1.689
3#apb#apb16#app1618/m  -0.913 0.791  -0.913 0.704  -0.913 0.565  -0.935 0.429  -0.965 0.293  -1.002 0.159  -1.038 0.025  -1.078 -0.108  -1.118 -0.241  -1.178 -0.366  -1.240 -0.490  -1.190 -0.475  -1.098 -0.371  -1.006 -0.267  -0.908 -0.169  -0.810 -0.070  -0.700 0.015  -0.590 0.100  -0.517 0.216  -0.449 0.338  -0.367 0.450  -0.283 0.559  -0.170 0.640  -0.053 0.711  0.025 0.605  0.002 0.468  0.020 0.331  0.025 0.193  0.054 0.060  0.179 0.019  0.307 0.074  0.443 0.087  0.579 0.093  0.683 0.185  0.787 0.278  0.915 0.326  1.051 0.348  1.181 0.312  1.217 0.182  1.215 0.044  1.203 -0.095  1.174 -0.230  1.136 -0.363  1.098 -0.497  1.075 -0.634  1.054 -0.771  1.029 -0.908  0.999 -1.043  0.990 -1.181  0.990 -1.320
3#apb#apb16#app1618/n  -0.682 0.969  -0.578 0.963  -0.547 0.835  -0.547 0.700  -0.570 0.568  -0.617 0.441  -0.663 0.314  -0.709 0.187  -0.755 0.060  -0.801 -0.067  -0.863 -0.187  -0.931 -0.304  -0.999 -0.421  -1.061 -0.541  -1.104 -0.669  -1.162 -0.790  -1.137 -0.728  -1.070 -0.611  -0.974 -0.519  -0.867 -0.435  -0.760 -0.352  -0.658 -0.263  -0.557 -0.173  -0.456 -0.083  -0.346 -0.005  -0.235 0.072  -0.123 0.149  -0.012 0.226  0.106 0.291  0.225 0.356  0.344 0.421  0.473 0.461  0.603 0.496  0.734 0.532  0.855 0.593  0.980 0.623  1.109 0.590  1.193 0.485  1.237 0.365  1.237 0.229  1.237 0.094  1.237 -0.041  1.224 -0.174  1.174 -0.300  1.123 -0.425  1.067 -0.548  1.007 -0.669  0.946 -0.790  0.874 -0.904  0.799 -1.017
3#apb#apb16#app1618/o  -0.450 0.076  -0.359 0.187  -0.260 0.282  -0.160 0.365  -0.176 0.492  -0.176 0.635  -0.282 0.695  -0.402 0.752  -0.534 0.696  -0.655 0.624  -0.757 0.523  -0.858 0.422  -0.960 0.320  -1.047 0.208  -1.127 0.088  -1.135 -0.053  -1.135 -0.196  -1.095 -0.332  -1.042 -0.465  -0.981 -0.594  -0.886 -0.702  -0.792 -0.809  -0.667 -0.864  -0.526 -0.890  -0.385 -0.916  -0.243 -0.929  -0.100 -0.942  0.042 -0.938  0.180 -0.900  0.318 -0.862  0.443 -0.796  0.559 -0.711  0.675 -0.627  0.785 -0.536  0.887 -0.435  0.988 -0.334  1.071 -0.221  1.116 -0.085  1.147 0.055  1.176 0.196  1.174 0.334  1.125 0.469  1.076 0.604  0.995 0.719  0.894 0.820  0.784 0.906  0.645 0.941  0.506 0.954  0.370 0.909  0.234 0.864
3#apb#apb16#app1618/p  -0.279 0.623  -0.256 0.646  -0.233 0.533  -0.238 0.372  -0.254 0.212  -0.282 0.054  -0.312 -0.105  -0.338 -0.264  -0.362 -0.423  -0.386 -0.582  -0.427 -0.737  -0.474 -0.892  -0.520 -1.046  -0.580 -1.195  -0.644 -1.343  -0.765 -1.447  -0.851 -1.457  -0.822 -1.306  -0.770 -1.154  -0.717 -1.002  -0.665 -0.849  -0.612 -0.697  -0.559 -0.545  -0.507 -0.393  -0.454 -0.241  -0.401 -0.088  -0.349 0.064  -0.296 0.216  -0.243 0.368  -0.191 0.520  -0.138 0.673  -0.086 0.825  -0.033 0.977  0.078 1.029  0.236 1.048  0.392 1.058  0.547 1.015  0.704 0.978  0.860 0.942  1.003 0.868  1.145 0.792  1.254 0.675  1.302 0.525  1.306 0.369  1.221 0.239  1.095 0.139  0.956 0.061  0.809 -0.006  0.649 -0.019  0.488 -0.031
3#apb#apb16#app1618/q  0.233 0.571  0.233 0.722  0.274 0.866  0.281 0.920  0.281 1.071  0.173 1.165  0.027 1.139  -0.120 1.106  -0.253 1.036  -0.375 0.948  -0.482 0.841  -0.589 0.734  -0.696 0.627  -0.801 0.518  -0.900 0.403  -0.955 0.264  -0.986 0.120  -0.929 -0.018  -0.808 -0.096  -0.666 -0.042  -0.522 0.003  -0.377 0.047  -0.233 0.092  -0.088 0.136  0.046 0.207  0.179 0.279  0.319 0.336  0.449 0.407  0.545 0.524  0.613 0.659  0.518 0.587  0.417 0.475  0.394 0.339  0.357 0.197  0.379 0.049  0.392 -0.102  0.395 -0.253  0.378 -0.403  0.361 -0.553  0.345 -0.704  0.328 -0.854  0.310 -1.005  0.293 -1.155  0.268 -1.304  0.229 -1.451  0.191 -1.597  0.157 -1.744  0.142 -1.895  0.137 -2.046  0.137 -2.168
3#apb#apb16#app1618/r  -0.751 0.177  -0.756 0.102  -0.780 0.208  -0.682 0.242  -0.628 0.219  -0.628 0.108  -0.628 -0.004  -0.621 -0.114  -0.606 -0.225  -0.606 -0.334  -0.628 -0.444  -0.650 -0.553  -0.665 -0.663  -0.676 -0.774  -0.687 -0.885  -0.739 -0.981  -0.751 -1.089  -0.732 -1.078  -0.735 -0.974  -0.673 -0.881  -0.615 -0.786  -0.569 -0.685  -0.523 -0.583  -0.477 -0.482  -0.428 -0.382  -0.378 -0.283  -0.328 -0.183  -0.259 -0.097  -0.185 -0.013  -0.111 0.070  -0.035 0.151  0.044 0.230  0.123 0.309  0.202 0.387  0.296 0.437  0.405 0.460  0.514 0.483  0.623 0.507  0.723 0.551  0.816 0.613  0.908 0.675  1.001 0.736  1.104 0.759  1.214 0.749  1.325 0.739  1.436 0.740  1.547 0.754  1.654 0.751  1.750 0.696  1.847 0.641
3#apb#apb16#app1618/s  0.454 1.071  0.459 1.175  0.479 1.175  0.371 1.175  0.263 1.178  0.156 1.196  0.049 1.205  -0.058 1.188  -0.163 1.162  -0.262 1.120  -0.362 1.077  -0.450 1.015  -0.543 0.968  -0.651 0.968  -0.685 0.894  -0.676 0.786  -0.652 0.681  -0.629 0.575  -0.588 0.476  -0.528 0.386  -0.466 0.298  -0.394 0.216  -0.323 0.134  -0.252 0.053  -0.170 -0.018  -0.087 -0.087  -0.003 -0.156  0.081 -0.224  0.165 -0.292  0.251 -0.359  0.337 -0.425  0.422 -0.492  0.516 -0.544  0.616 -0.586  0.706 -0.640  0.754 -0.737  0.745 -0.840  0.689 -0.924  0.597 -0.981  0.500 -1.029  0.403 -1.078  0.303 -1.117  0.198 -1.146  0.094 -1.174  -0.011 -1.203  -0.117 -1.222  -0.224 -1.240  -0.332 -1.232  -0.439 -1.220  -0.547 -1.208
3#apb#apb16#app1618/t  -0.069 1.548  -0.048 1.697  0.023 1.806  0.046 1.736  0.085 1.593  0.103 1.446  0.103 1.296  0.120 1.146  0.141 0.997  0.162 0.849  0.181 0.699  0.199 0.550  0.218 0.401  0.201 0.251  0.185 0.101  0.168 -0.048  0.161 -0.198  0.161 -0.349  0.161 -0.499  0.161 -0.650  0.161 -0.800  0.161 -0.950  0.161 -1.101  0.186 -1.248  0.222 -1.394  0.234 -1.540  0.244 -1.684  0.176 -1.587  0.120 -1.447  0.064 -1.307  0.008 -1.168  -0.048 -1.028  -0.104 -0.888  -0.160 -0.748  -0.215 -0.609  -0.271 -0.469  -0.327 -0.329  -0.383 -0.190  -0.439 -0.050  -0.495 0.090  -0.551 0.230  -0.607 0.369  -0.593 0.483  -0.444 0.487  -0.296 0.471  -0.151 0.431  -0.004 0.401  0.146 0.401  0.297 0.401  0.447 0.401
3#apb#apb16#app1618/u  -0.624 0.647  -0.586 0.740  -0.515 0.805  -0.453 0.813  -0.471 0.718  -0.543 0.653  -0.635 0.612  -0.725 0.568  -0.780 0.485  -0.836 0.401  -0.886 0.313  -0.928 0.222  -0.969 0.130  -0.998 0.034  -1.015 -0.065  -1.031 -0.164  -1.027 -0.263  -1.007 -0.362  -0.981 -0.457  -0.897 -0.512  -0.809 -0.560  -0.713 -0.592  -0.618 -0.623  -0.522 -0.639  -0.424 -0.616  -0.325 -0.593  -0.227 -0.570  -0.130 -0.546  -0.035 -0.510  0.059 -0.474  0.153 -0.438  0.247 -0.403  0.341 -0.367  0.430 -0.320  0.515 -0.266  0.600 -0.212  0.685 -0.158  0.770 -0.104  0.857 -0.053  0.948 -0.009  1.039 0.034  1.130 0.077  1.221 0.120  1.311 0.164  1.395 0.220  1.479 0.276  1.563 0.332  1.618 0.411  1.656 0.504  1.693 0.598
3#apb#apb16#app1618/v  -1.027 0.045  -1.027 0.164  -1.027 0.283  -1.027 0.402  -1.011 0.520  -0.995 0.637  -0.954 0.744  -0.946 0.771  -0.898 0.776  -0.894 0.663  -0.852 0.559  -0.777 0.466  -0.712 0.367  -0.649 0.266  -0.592 0.163  -0.573 0.045  -0.555 -0.072  -0.537 -0.190  -0.501 -0.301  -0.444 -0.405  -0.386 -0.509  -0.326 -0.612  -0.265 -0.714  -0.204 -0.816  -0.130 -0.906  -0.028 -0.967  0.041 -1.059  0.122 -1.121  0.220 -1.060  0.307 -0.979  0.383 -0.888  0.453 -0.792  0.506 -0.686  0.559 -0.580  0.601 -0.468  0.638 -0.355  0.676 -0.243  0.714 -0.130  0.754 -0.018  0.794 0.094  0.834 0.206  0.875 0.318  0.924 0.426  0.973 0.535  1.022 0.643  1.081 0.746  1.144 0.847  1.206 0.949  1.239 1.063  1.271 1.177
3#apb#apb16#app1618/w  -1.086 0.650  -1.110 0.635  -1.099 0.631  -1.105 0.506  -1.110 0.377  -1.131 0.251  -1.158 0.124  -1.174 -0.004  -1.169 -0.132  -1.133 -0.253  -1.030 -0.321  -0.903 -0.336  -0.797 -0.271  -0.698 -0.188  -0.599 -0.106  -0.534 0.005  -0.472 0.119  -0.421 0.238  -0.352 0.346  -0.275 0.449  -0.243 0.573  -0.241 0.484  -0.241 0.355  -0.239 0.226  -0.228 0.097  -0.218 -0.031  -0.202 -0.160  -0.186 -0.288  -0.165 -0.414  -0.087 -0.517  0.002 -0.605  0.124 -0.646  0.251 -0.664  0.380 -0.664  0.507 -0.651  0.630 -0.613  0.754 -0.575  0.852 -0.493  0.947 -0.405  1.042 -0.318  1.137 -0.231  1.233 -0.144  1.329 -0.057  1.384 0.060  1.438 0.177  1.472 0.299  1.472 0.428  1.472 0.557  1.483 0.686  1.496 0.814
3#apb#apb16#app1618/x  -0.699 0.927  -0.735 0.927  -0.803 0.861  -0.814 0.700  -0.694 0.574  -0.625 0.413  -0.525 0.274  -0.401 0.151  -0.302 0.007  -0.212 -0.142  -0.127 -0.294  -0.023 -0.432  0.101 -0.555  0.203 -0.695  0.290 -0.846  0.421 -0.950  0.500 -0.822  0.552 -0.655  0.603 -0.488  0.654 -0.321  0.705 -0.154  0.756 0.013  0.807 0.180  0.858 0.347  0.910 0.513  0.961 0.680  1.012 0.847  1.063 1.014  1.098 1.154  0.949 1.079  0.809 0.991  0.695 0.859  0.585 0.724  0.476 0.587  0.364 0.454  0.240 0.331  0.117 0.207  -0.007 0.084  -0.134 -0.036  -0.261 -0.155  -0.389 -0.274  -0.517 -0.393  -0.640 -0.516  -0.764 -0.639  -0.887 -0.763  -1.011 -0.886  -1.127 -1.016  -1.236 -1.152  -1.345 -1.288  -1.450 -1.428
3#apb#apb16#app1618/y  -0.910 0.886  -0.910 0.897  -0.864 0.748  -0.827 0.597  -0.789 0.446  -0.726 0.303  -0.674 0.156  -0.640 0.004  -0.564 -0.130  -0.471 -0.256  -0.371 -0.376  -0.263 -0.488  -0.161 -0.415  -0.061 -0.295  0.039 -0.175  0.139 -0.055  0.238 0.065  0.338 0.185  0.438 0.306  0.538 0.426  0.637 0.546  0.737 0.666  0.837 0.786  0.937 0.906  1.037 1.027  1.119 1.146  1.135 1.073  1.067 0.936  0.957 0.826  0.875 0.694  0.801 0.557  0.721 0.424  0.605 0.319  0.490 0.214  0.383 0.101  0.284 -0.020  0.186 -0.142  0.087 -0.263  -0.021 -0.375  -0.131 -0.486  -0.242 -0.596  -0.352 -0.707  -0.432 -0.841  -0.513 -0.975  -0.593 -1.109  -0.674 -1.243  -0.767 -1.368  -0.863 -1.491  -0.895 -1.640  -0.910 -1.795
3#apb#apb16#app1618/z  -1.061 1.034  -0.991 1.157  -0.787 1.184  -0.580 1.165  -0.380 1.112  -0.183 1.047  0.019 0.996  0.223 0.953  0.427 0.916  0.632 0.875  0.835 0.848  0.967 0.687  0.823 0.570  0.666 0.434  0.496 0.314  0.338 0.179  0.190 0.033  0.038 -0.108  -0.129 -0.233  -0.254 -0.398  -0.366 -0.573  -0.466 -0.755  -0.511 -0.953  -0.375 -1.014  -0.174 -1.069  0.028 -1.075  0.231 -1.028  0.436 -0.994  0.643 -0.969  0.850 -0.946  1.058 -0.933  1.265 -0.920  1.166 -0.842  0.981 -0.745  0.797 -0.648  0.613 -0.552  0.428 -0.455  0.244 -0.358  0.059 -0.262  -0.125 -0.165  -0.310 -0.069  -0.494 0.028  -0.678 0.125  -0.863 0.221  -1.047 0.318  -1.228 0.420  -1.172 0.368  -0.966 0.346  -0.758 0.360  -0.550 0.373
