2#app#app35#app3555/A  0.088 1.520  -0.040 1.392  -0.091 1.180  -0.161 0.968  -0.270 0.768  -0.270 0.535  -0.294 0.307  -0.360 0.089  -0.383 -0.138  -0.449 -0.356  -0.471 -0.584  -0.539 -0.801  -0.628 -0.997  -0.692 -1.167  -0.628 -1.049  -0.628 -0.816  -0.539 -0.604  -0.539 -0.371  -0.539 -0.138  -0.536 0.095  -0.462 0.316  -0.449 0.547  -0.449 0.781  -0.449 1.014  -0.449 1.247  -0.340 1.451  -0.135 1.520  -0.002 1.368  0.124 1.180  0.228 0.971  0.364 0.786  0.450 0.569  0.536 0.353  0.561 0.125  0.654 -0.088  0.715 -0.311  0.797 -0.525  0.831 -0.746  0.894 -0.953  0.984 -1.149  0.954 -1.326  0.760 -1.197  0.566 -1.067  0.372 -0.938  0.178 -0.809  -0.017 -0.679  -0.091 -0.665  0.101 -0.616  0.303 -0.540  0.446 -0.450
2#app#app35#app3555/n  -0.994 0.664  -0.986 0.530  -0.861 0.514  -0.861 0.373  -0.861 0.232  -0.861 0.091  -0.840 -0.045  -0.776 -0.172  -0.728 -0.301  -0.728 -0.443  -0.728 -0.584  -0.688 -0.708  -0.595 -0.811  -0.595 -0.952  -0.595 -1.042  -0.595 -0.901  -0.595 -0.759  -0.595 -0.618  -0.595 -0.477  -0.595 -0.336  -0.595 -0.195  -0.569 -0.058  -0.524 0.076  -0.480 0.210  -0.402 0.324  -0.329 0.435  -0.296 0.562  -0.197 0.662  -0.097 0.762  0.003 0.862  0.116 0.930  0.257 0.930  0.399 0.930  0.519 0.881  0.619 0.781  0.719 0.681  0.819 0.581  0.919 0.481  1.003 0.375  1.003 0.234  1.030 0.104  1.130 0.004  1.136 -0.134  1.136 -0.276  1.136 -0.417  1.153 -0.551  1.252 -0.651  1.269 -0.785  1.269 -0.926  1.269 -1.068
2#app#app35#app3555/a  0.615 0.755  0.615 0.920  0.547 1.017  0.483 1.120  0.387 1.245  0.236 1.280  0.071 1.280  -0.095 1.280  -0.235 1.219  -0.352 1.102  -0.469 0.985  -0.586 0.868  -0.702 0.750  -0.776 0.602  -0.831 0.450  -0.831 0.284  -0.909 0.151  -0.963 0.008  -0.963 -0.158  -0.963 -0.323  -0.963 -0.489  -0.963 -0.655  -0.872 -0.782  -0.723 -0.823  -0.558 -0.823  -0.392 -0.823  -0.250 -0.767  -0.133 -0.650  -0.016 -0.533  0.101 -0.416  0.218 -0.299  0.220 -0.135  0.220 0.031  0.291 0.167  0.352 0.308  0.352 0.473  0.352 0.345  0.352 0.179  0.411 0.038  0.483 -0.097  0.483 -0.263  0.483 -0.429  0.483 -0.594  0.531 -0.740  0.648 -0.857  0.746 -0.982  0.790 -1.129  0.907 -1.246  1.024 -1.363  1.141 -1.480
2#app#app35#app3555/n  -0.869 0.680  -0.739 0.672  -0.739 0.534  -0.739 0.395  -0.760 0.266  -0.858 0.168  -0.869 0.034  -0.869 -0.104  -0.869 -0.243  -0.869 -0.381  -0.869 -0.520  -0.840 -0.629  -0.739 -0.666  -0.739 -0.804  -0.739 -0.943  -0.739 -0.962  -0.739 -0.823  -0.705 -0.693  -0.643 -0.569  -0.608 -0.439  -0.608 -0.300  -0.574 -0.170  -0.512 -0.046  -0.435 0.067  -0.341 0.167  -0.279 0.291  -0.217 0.415  -0.120 0.513  -0.022 0.611  0.047 0.721  0.096 0.811  0.234 0.811  0.373 0.811  0.511 0.811  0.650 0.811  0.763 0.749  0.860 0.651  0.958 0.553  1.056 0.455  1.094 0.332  1.094 0.194  1.139 0.066  1.201 -0.058  1.224 -0.191  1.224 -0.329  1.224 -0.468  1.224 -0.606  1.224 -0.744  1.224 -0.883  1.224 -1.021
2#app#app35#app3555/d  0.334 -0.296  0.427 -0.172  0.291 -0.067  0.190 0.078  -0.027 0.078  -0.244 0.078  -0.422 -0.015  -0.625 -0.074  -0.788 -0.208  -0.881 -0.332  -0.953 -0.532  -0.975 -0.743  -0.902 -0.929  -0.815 -1.110  -0.628 -1.217  -0.415 -1.230  -0.198 -1.230  0.019 -1.230  0.235 -1.230  0.417 -1.146  0.391 -0.937  0.352 -0.724  0.313 -0.511  0.274 -0.298  0.236 -0.084  0.197 0.129  0.158 0.342  0.119 0.555  0.081 0.768  0.042 0.982  0.003 1.195  -0.036 1.408  -0.074 1.621  -0.113 1.834  -0.134 1.846  -0.041 1.668  -0.002 1.458  0.053 1.250  0.086 1.041  0.147 0.838  0.196 0.633  0.240 0.427  0.287 0.218  0.334 0.009  0.334 -0.208  0.425 -0.387  0.439 -0.600  0.520 -0.797  0.520 -1.014  0.614 -1.137
2#app#app35#app3555/h  -0.751 1.819  -0.644 1.788  -0.644 1.650  -0.644 1.512  -0.644 1.374  -0.610 1.250  -0.537 1.142  -0.537 1.003  -0.507 0.870  -0.463 0.739  -0.430 0.606  -0.430 0.468  -0.430 0.330  -0.425 0.193  -0.392 0.059  -0.358 -0.075  -0.325 -0.209  -0.323 -0.347  -0.323 -0.485  -0.323 -0.624  -0.323 -0.762  -0.323 -0.900  -0.323 -1.038  -0.323 -0.965  -0.323 -0.826  -0.323 -0.688  -0.323 -0.550  -0.323 -0.412  -0.276 -0.321  -0.216 -0.243  -0.139 -0.137  -0.109 -0.011  -0.019 0.090  0.078 0.188  0.206 0.214  0.344 0.214  0.482 0.214  0.595 0.152  0.692 0.054  0.747 -0.061  0.812 -0.172  0.854 -0.293  0.932 -0.399  0.961 -0.525  0.970 -0.661  1.032 -0.785  1.068 -0.914  1.068 -1.052  1.077 -1.187  1.175 -1.284
2#app#app35#app3555/i  -0.227 0.385  -0.140 0.298  -0.053 0.210  -0.052 0.088  -0.052 -0.036  -0.052 -0.159  -0.052 -0.282  -0.052 -0.406  -0.052 -0.529  -0.052 -0.652  -0.052 -0.775  -0.052 -0.899  -0.052 -1.022  -0.052 -1.145  -0.052 -1.268  -0.029 -1.369  0.094 -1.369  0.124 -1.463  0.121 -1.503  0.115 -1.380  0.108 -1.257  0.101 -1.134  0.094 -1.010  0.087 -0.887  0.080 -0.764  0.074 -0.641  0.067 -0.518  0.060 -0.395  0.053 -0.272  0.046 -0.149  0.039 -0.026  0.032 0.097  0.026 0.220  0.019 0.343  0.012 0.467  0.005 0.590  -0.002 0.713  -0.009 0.836  -0.015 0.959  -0.022 1.082  -0.029 1.205  -0.036 1.328  -0.043 1.451  -0.050 1.574  -0.052 1.697  -0.052 1.755  -0.052 1.631  -0.052 1.508  0.000 1.437  0.124 1.437
2#app#app35#app3555/d  0.175 -0.209  0.108 -0.041  -0.073 -0.007  -0.268 -0.007  -0.463 -0.007  -0.622 -0.096  -0.760 -0.234  -0.836 -0.398  -0.937 -0.552  -0.937 -0.747  -0.937 -0.943  -0.852 -1.103  -0.684 -1.170  -0.509 -1.220  -0.314 -1.220  -0.119 -1.220  0.077 -1.220  0.175 -1.123  0.175 -0.927  0.175 -0.732  0.175 -0.537  0.175 -0.341  0.175 -0.146  0.175 0.049  0.175 0.245  0.175 0.440  0.175 0.635  0.175 0.831  0.175 1.026  0.175 1.222  0.175 1.417  0.175 1.612  0.175 1.808  0.175 1.824  0.175 1.629  0.175 1.433  0.175 1.238  0.175 1.042  0.225 0.855  0.276 0.668  0.276 0.473  0.276 0.277  0.282 0.083  0.369 -0.091  0.377 -0.285  0.377 -0.480  0.377 -0.676  0.478 -0.829  0.478 -1.025  0.478 -1.220
2#app#app35#app3555/e  -0.457 -0.614  -0.457 -0.447  -0.443 -0.287  -0.326 -0.169  -0.170 -0.144  -0.004 -0.144  0.118 -0.038  0.254 0.055  0.402 0.129  0.559 0.169  0.725 0.169  0.863 0.237  0.993 0.325  1.108 0.376  1.169 0.482  1.265 0.552  1.185 0.638  1.108 0.728  1.108 0.894  0.999 0.951  0.833 0.951  0.667 0.951  0.501 0.951  0.378 0.847  0.233 0.795  0.067 0.795  -0.099 0.795  -0.230 0.709  -0.367 0.638  -0.511 0.585  -0.628 0.467  -0.746 0.350  -0.863 0.232  -0.927 0.092  -0.988 -0.049  -1.083 -0.175  -1.083 -0.341  -1.083 -0.508  -1.023 -0.614  -0.927 -0.683  -0.847 -0.770  -0.707 -0.833  -0.589 -0.951  -0.472 -1.068  -0.312 -1.083  -0.146 -1.083  0.003 -1.157  0.152 -1.231  0.316 -1.240  0.482 -1.240
2#app#app35#app3555/o  0.134 0.764  0.134 0.904  -0.003 0.908  -0.143 0.908  -0.283 0.908  -0.423 0.908  -0.527 0.821  -0.626 0.722  -0.725 0.623  -0.727 0.484  -0.860 0.477  -0.871 0.348  -0.960 0.245  -1.014 0.128  -1.014 -0.012  -1.014 -0.152  -1.014 -0.292  -1.014 -0.432  -0.982 -0.559  -0.883 -0.658  -0.784 -0.757  -0.668 -0.814  -0.545 -0.853  -0.446 -0.952  -0.308 -0.958  -0.168 -0.958  -0.028 -0.958  0.112 -0.958  0.217 -0.874  0.333 -0.814  0.473 -0.814  0.612 -0.814  0.728 -0.774  0.790 -0.649  0.855 -0.527  0.995 -0.527  0.995 -0.387  0.995 -0.247  0.995 -0.107  0.903 -0.005  0.851 0.113  0.851 0.253  0.851 0.393  0.812 0.517  0.713 0.616  0.708 0.754  0.616 0.856  0.517 0.955  0.421 1.055  0.421 1.195
2#app#app35#app3555/u  -0.657 1.075  -0.657 1.182  -0.716 1.230  -0.812 1.218  -0.812 1.111  -0.812 1.003  -0.812 0.896  -0.812 0.789  -0.812 0.682  -0.812 0.574  -0.812 0.467  -0.812 0.360  -0.812 0.253  -0.812 0.145  -0.812 0.038  -0.771 -0.052  -0.695 -0.128  -0.657 -0.220  -0.657 -0.327  -0.657 -0.434  -0.611 -0.522  -0.535 -0.598  -0.441 -0.631  -0.334 -0.631  -0.227 -0.631  -0.120 -0.631  -0.036 -0.656  -0.036 -0.763  0.047 -0.787  0.154 -0.787  0.262 -0.787  0.369 -0.787  0.471 -0.765  0.567 -0.717  0.663 -0.669  0.755 -0.616  0.831 -0.540  0.907 -0.464  0.982 -0.388  1.049 -0.308  1.049 -0.201  1.049 -0.094  1.049 0.013  1.049 0.121  1.049 0.228  1.049 0.335  1.049 0.443  1.049 0.550  1.049 0.657  1.049 0.764
2#app#app35#app3555/s  -0.040 1.362  -0.167 1.362  -0.295 1.362  -0.394 1.293  -0.484 1.203  -0.574 1.112  -0.679 1.043  -0.793 0.986  -0.904 0.924  -0.995 0.834  -1.035 0.723  -1.035 0.596  -1.035 0.468  -1.009 0.367  -0.885 0.359  -0.794 0.268  -0.685 0.225  -0.557 0.225  -0.440 0.199  -0.350 0.108  -0.233 0.082  -0.106 0.082  0.022 0.082  0.136 0.049  0.226 -0.041  0.346 -0.060  0.473 -0.060  0.580 -0.111  0.670 -0.201  0.797 -0.202  0.925 -0.202  1.024 -0.270  1.098 -0.367  1.098 -0.495  1.098 -0.623  1.098 -0.750  0.992 -0.771  0.864 -0.771  0.736 -0.771  0.672 -0.834  0.623 -0.913  0.496 -0.913  0.368 -0.913  0.240 -0.913  0.113 -0.913  -0.015 -0.913  -0.142 -0.913  -0.244 -0.851  -0.339 -0.771  -0.466 -0.771
2#app#app35#app3555/l  -0.092 1.707  -0.092 1.636  -0.092 1.565  -0.092 1.494  -0.092 1.424  -0.092 1.353  -0.092 1.282  -0.092 1.212  -0.092 1.141  -0.092 1.070  -0.092 0.999  -0.092 0.929  -0.092 0.858  -0.092 0.787  -0.092 0.716  -0.092 0.646  -0.092 0.575  -0.077 0.508  -0.045 0.445  -0.013 0.381  0.014 0.317  0.014 0.246  0.014 0.176  0.014 0.105  0.014 0.034  0.014 -0.037  0.014 -0.107  0.014 -0.178  0.014 -0.249  0.014 -0.320  0.014 -0.390  0.014 -0.461  0.014 -0.532  0.014 -0.602  0.014 -0.673  0.014 -0.744  0.014 -0.815  0.045 -0.872  0.095 -0.922  0.120 -0.983  0.120 -1.054  0.120 -1.124  0.120 -1.195  0.120 -1.266  0.120 -1.337  0.120 -1.407  0.120 -1.478  0.120 -1.549  0.120 -1.620  0.120 -1.690
2#app#app35#app3555/y  -0.980 0.969  -1.073 1.056  -1.073 0.919  -1.073 0.782  -1.073 0.645  -1.073 0.507  -0.980 0.409  -0.947 0.285  -0.850 0.188  -0.736 0.133  -0.629 0.060  -0.500 0.040  -0.363 0.040  -0.256 0.113  -0.132 0.145  -0.028 0.226  0.090 0.273  0.187 0.370  0.228 0.490  0.315 0.591  0.379 0.712  0.414 0.841  0.423 0.969  0.507 1.022  0.512 0.969  0.600 0.920  0.600 0.783  0.631 0.659  0.693 0.547  0.693 0.410  0.693 0.273  0.693 0.135  0.693 -0.002  0.693 -0.139  0.693 -0.276  0.656 -0.405  0.600 -0.529  0.561 -0.650  0.507 -0.765  0.433 -0.871  0.398 -0.991  0.275 -1.052  0.168 -1.135  0.135 -1.259  0.013 -1.291  -0.098 -1.354  -0.208 -1.419  -0.334 -1.447  -0.471 -1.447  -0.608 -1.447
