2#app#app41#app4145/A  -0.058 0.284  -0.058 0.014  -0.118 -0.196  -0.298 -0.286  -0.298 -0.556  -0.298 -0.826  -0.298 -1.096  -0.298 -0.945  -0.298 -0.675  -0.298 -0.405  -0.298 -0.135  -0.298 0.135  -0.384 0.370  -0.538 0.576  -0.538 0.846  -0.538 1.116  -0.602 1.371  -0.723 1.613  -0.778 1.870  -0.654 1.840  -0.463 1.649  -0.298 1.447  -0.298 1.177  -0.201 1.004  -0.058 0.877  0.053 0.653  0.182 0.436  0.182 0.166  0.248 -0.089  0.369 -0.330  0.529 -0.543  0.662 -0.758  0.662 -1.028  0.805 -1.156  0.902 -1.329  1.105 -1.396  1.142 -1.162  0.927 -1.003  0.708 -0.846  0.488 -0.689  0.268 -0.532  0.048 -0.375  -0.172 -0.218  -0.391 -0.061  -0.449 0.044  -0.298 -0.075  -0.149 -0.196  0.121 -0.196  0.392 -0.196  0.662 -0.196
2#app#app41#app4145/n  -0.349 1.187  -0.349 1.005  -0.349 0.824  -0.349 0.643  -0.349 0.462  -0.385 0.317  -0.566 0.317  -0.747 0.317  -0.784 0.172  -0.784 -0.009  -0.784 -0.190  -0.784 -0.372  -0.784 -0.553  -0.784 -0.734  -0.784 -0.915  -0.784 -1.096  -0.784 -1.277  -0.784 -1.387  -0.784 -1.206  -0.784 -1.025  -0.639 -0.988  -0.458 -0.988  -0.349 -0.916  -0.349 -0.735  -0.349 -0.554  -0.168 -0.553  0.013 -0.553  0.086 -0.445  0.086 -0.264  0.111 -0.093  0.240 0.035  0.368 0.163  0.496 0.291  0.521 0.462  0.521 0.643  0.521 0.824  0.521 1.006  0.521 1.187  0.703 1.187  0.884 1.187  0.956 1.078  0.956 0.896  0.956 0.715  0.956 0.534  0.956 0.353  0.956 0.172  0.956 -0.009  0.956 -0.191  0.956 -0.372  0.956 -0.553
2#app#app41#app4145/a  0.950 0.397  0.950 0.602  0.853 0.710  0.648 0.710  0.500 0.847  0.355 0.992  0.163 1.024  -0.042 1.024  -0.247 1.024  -0.408 0.918  -0.553 0.773  -0.732 0.710  -0.929 0.702  -0.929 0.497  -0.929 0.292  -0.929 0.087  -1.072 -0.059  -1.217 -0.204  -1.243 -0.398  -1.200 -0.585  -1.055 -0.730  -0.902 -0.856  -0.697 -0.856  -0.616 -0.731  -0.600 -0.543  -0.395 -0.543  -0.303 -0.430  -0.298 -0.229  -0.093 -0.229  0.010 -0.128  0.010 0.077  0.010 0.282  0.010 0.487  0.010 0.692  0.010 0.524  0.010 0.319  0.010 0.114  0.010 -0.091  0.078 -0.229  0.283 -0.229  0.324 -0.393  0.379 -0.543  0.585 -0.543  0.790 -0.543  0.982 -0.574  1.127 -0.719  1.275 -0.856  1.480 -0.856  1.685 -0.856  1.890 -0.856
2#app#app41#app4145/n  -0.900 -0.417  -0.900 -0.584  -0.900 -0.752  -0.900 -0.919  -0.900 -1.086  -0.900 -1.253  -0.900 -1.342  -0.900 -1.175  -0.900 -1.007  -0.841 -0.899  -0.673 -0.899  -0.506 -0.899  -0.418 -0.820  -0.418 -0.653  -0.418 -0.486  -0.418 -0.319  -0.418 -0.151  -0.418 0.016  -0.300 0.065  -0.132 0.065  0.035 0.065  0.064 0.203  0.064 0.370  0.064 0.537  0.064 0.704  0.064 0.872  0.064 1.039  0.064 1.206  0.064 1.373  0.064 1.481  0.064 1.314  0.064 1.147  0.064 0.980  0.064 0.813  0.064 0.645  0.133 0.547  0.300 0.547  0.468 0.547  0.546 0.458  0.546 0.291  0.546 0.124  0.655 0.065  0.822 0.065  0.989 0.065  1.028 -0.063  1.028 -0.230  1.028 -0.397  1.176 -0.417  1.343 -0.417  1.510 -0.417
2#app#app41#app4145/d  0.055 -0.073  0.055 -0.273  -0.119 -0.299  -0.170 -0.448  -0.294 -0.524  -0.395 -0.622  -0.468 -0.749  -0.620 -0.797  -0.620 -0.997  -0.620 -1.197  -0.620 -1.397  -0.449 -1.425  -0.249 -1.425  -0.084 -1.339  0.055 -1.197  0.055 -0.997  0.232 -0.974  0.281 -0.823  0.281 -0.623  0.281 -0.423  0.281 -0.223  0.281 -0.023  0.281 0.177  0.281 0.377  0.281 0.577  0.281 0.776  0.281 0.976  0.194 1.140  0.055 1.283  0.055 1.483  -0.124 1.504  -0.170 1.657  -0.298 1.729  -0.395 1.626  -0.395 1.426  -0.395 1.226  -0.376 1.034  -0.235 0.893  -0.170 0.720  -0.170 0.520  -0.112 0.377  0.078 0.354  0.220 0.213  0.281 0.038  0.343 -0.136  0.484 -0.277  0.506 -0.468  0.608 -0.626  0.731 -0.775  0.731 -0.974
2#app#app41#app4145/h  -0.318 1.871  -0.318 1.733  -0.318 1.596  -0.318 1.458  -0.318 1.320  -0.318 1.182  -0.318 1.045  -0.329 0.918  -0.467 0.918  -0.605 0.918  -0.636 0.811  -0.636 0.674  -0.636 0.536  -0.636 0.398  -0.636 0.260  -0.636 0.123  -0.636 -0.015  -0.636 -0.153  -0.636 -0.291  -0.636 -0.429  -0.636 -0.566  -0.636 -0.704  -0.636 -0.842  -0.636 -0.980  -0.507 -0.989  -0.370 -0.989  -0.232 -0.989  -0.094 -0.989  0.031 -0.958  0.128 -0.860  0.226 -0.763  0.317 -0.663  0.317 -0.525  0.317 -0.388  0.391 -0.280  0.488 -0.183  0.585 -0.085  0.635 0.032  0.635 0.170  0.635 0.257  0.635 0.119  0.635 -0.018  0.720 -0.121  0.818 -0.218  0.915 -0.316  0.953 -0.438  0.953 -0.575  0.995 -0.671  1.133 -0.671  1.271 -0.671
2#app#app41#app4145/i  0.029 0.147  0.106 0.070  0.183 -0.007  0.260 -0.084  0.298 -0.177  0.298 -0.285  0.298 -0.394  0.298 -0.503  0.298 -0.612  0.298 -0.721  0.298 -0.830  0.298 -0.938  0.298 -1.047  0.298 -1.156  0.298 -1.265  0.298 -1.374  0.295 -1.458  0.269 -1.353  0.243 -1.247  0.216 -1.141  0.190 -1.036  0.164 -0.930  0.137 -0.825  0.111 -0.719  0.084 -0.614  0.058 -0.508  0.032 -0.403  0.005 -0.297  -0.021 -0.191  -0.048 -0.086  -0.074 0.020  -0.100 0.125  -0.127 0.231  -0.153 0.336  -0.180 0.442  -0.206 0.548  -0.232 0.653  -0.259 0.759  -0.285 0.864  -0.311 0.970  -0.338 1.075  -0.364 1.181  -0.391 1.286  -0.417 1.392  -0.443 1.498  -0.470 1.603  -0.496 1.709  -0.458 1.764  -0.349 1.764  -0.241 1.764
2#app#app41#app4145/d  0.277 -0.806  0.277 -0.568  0.277 -0.330  0.192 -0.127  0.024 0.042  -0.196 0.086  -0.318 -0.030  -0.375 -0.211  -0.613 -0.211  -0.615 -0.447  -0.615 -0.686  -0.615 -0.924  -0.615 -1.162  -0.615 -1.400  -0.378 -1.401  -0.318 -1.223  -0.199 -1.104  -0.020 -1.044  -0.020 -0.806  0.148 -0.638  0.277 -0.453  0.277 -0.214  0.277 0.024  0.277 0.262  0.277 0.500  0.277 0.738  0.277 0.977  0.277 1.215  0.100 1.276  -0.020 1.394  -0.020 1.632  -0.020 1.870  -0.258 1.871  -0.318 1.692  -0.318 1.454  -0.318 1.216  -0.317 0.978  -0.149 0.809  -0.020 0.624  -0.020 0.386  0.215 0.383  0.277 0.207  0.277 -0.031  0.277 -0.269  0.277 -0.508  0.277 -0.746  0.455 -0.806  0.575 -0.925  0.575 -1.163  0.575 -1.401
2#app#app41#app4145/e  -0.667 0.252  -0.667 0.088  -0.667 -0.077  -0.611 -0.185  -0.447 -0.185  -0.282 -0.185  -0.118 -0.185  0.046 -0.185  0.211 -0.185  0.375 -0.185  0.540 -0.185  0.704 -0.185  0.868 -0.185  1.033 -0.185  1.083 -0.071  1.083 0.093  1.083 0.258  1.083 0.422  1.083 0.586  1.021 0.689  0.857 0.689  0.693 0.689  0.645 0.806  0.645 0.971  0.637 1.127  0.473 1.127  0.308 1.127  0.163 1.081  0.046 0.965  -0.070 0.849  -0.186 0.733  -0.229 0.586  -0.229 0.422  -0.229 0.258  -0.388 0.252  -0.553 0.252  -0.667 0.202  -0.667 0.037  -0.667 -0.127  -0.667 -0.291  -0.667 -0.456  -0.667 -0.620  -0.667 -0.784  -0.667 -0.949  -0.667 -1.113  -0.667 -1.278  -0.667 -1.442  -0.667 -1.606  -0.667 -1.771  -0.667 -1.935
2#app#app41#app4145/o  0.003 1.286  0.003 1.145  0.003 1.005  0.003 0.864  -0.095 0.821  -0.235 0.821  -0.376 0.821  -0.461 0.766  -0.461 0.626  -0.461 0.485  -0.470 0.348  -0.569 0.249  -0.669 0.150  -0.768 0.050  -0.867 -0.049  -0.926 -0.166  -0.926 -0.306  -0.926 -0.447  -0.926 -0.587  -0.926 -0.728  -0.926 -0.868  -0.926 -1.009  -0.813 -1.036  -0.672 -1.036  -0.532 -1.036  -0.391 -1.036  -0.250 -1.036  -0.110 -1.036  0.023 -1.017  0.122 -0.918  0.221 -0.818  0.321 -0.719  0.420 -0.619  0.468 -0.499  0.468 -0.358  0.468 -0.217  0.498 -0.107  0.639 -0.107  0.779 -0.107  0.920 -0.107  0.932 0.021  0.932 0.161  0.932 0.302  0.932 0.443  0.932 0.583  0.932 0.724  0.932 0.864  0.932 1.005  0.932 1.145  0.932 1.286
2#app#app41#app4145/u  -0.943 1.145  -0.943 0.998  -0.943 0.850  -0.943 0.702  -0.943 0.555  -0.943 0.407  -0.943 0.260  -0.943 0.112  -0.943 -0.036  -0.943 -0.183  -0.943 -0.331  -0.943 -0.479  -0.943 -0.626  -0.878 -0.747  -0.774 -0.852  -0.669 -0.956  -0.565 -1.061  -0.486 -1.105  -0.486 -0.957  -0.486 -0.809  -0.464 -0.683  -0.317 -0.683  -0.169 -0.683  -0.021 -0.683  0.126 -0.683  0.274 -0.683  0.422 -0.683  0.429 -0.542  0.429 -0.395  0.429 -0.247  0.429 -0.099  0.429 0.048  0.429 0.196  0.508 0.311  0.612 0.415  0.717 0.520  0.821 0.624  0.886 0.745  0.886 0.893  0.886 1.040  0.886 1.103  0.886 0.955  0.886 0.808  0.886 0.660  0.886 0.512  0.886 0.365  0.886 0.217  0.886 0.069  0.886 -0.078  0.886 -0.226
2#app#app41#app4145/s  0.241 1.325  0.136 1.325  0.030 1.325  -0.075 1.325  -0.180 1.325  -0.211 1.251  -0.211 1.145  -0.211 1.040  -0.211 0.935  -0.255 0.873  -0.360 0.873  -0.465 0.873  -0.571 0.873  -0.663 0.860  -0.663 0.755  -0.663 0.650  -0.663 0.544  -0.663 0.439  -0.663 0.334  -0.663 0.228  -0.663 0.123  -0.663 0.018  -0.607 -0.031  -0.501 -0.031  -0.396 -0.031  -0.291 -0.031  -0.193 -0.049  -0.119 -0.124  -0.044 -0.198  0.030 -0.272  0.105 -0.347  0.179 -0.421  0.259 -0.483  0.364 -0.483  0.470 -0.483  0.575 -0.483  0.680 -0.483  0.693 -0.576  0.693 -0.681  0.693 -0.786  0.693 -0.891  0.693 -0.997  0.693 -1.102  0.693 -1.207  0.693 -1.313  0.662 -1.387  0.557 -1.387  0.451 -1.387  0.346 -1.387  0.241 -1.387
2#app#app41#app4145/l  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
2#app#app41#app4145/y  -0.721 1.357  -0.623 1.259  -0.576 1.140  -0.623 1.020  -0.721 0.922  -0.721 0.783  -0.588 0.777  -0.576 0.650  -0.455 0.631  -0.430 0.745  -0.323 0.777  -0.285 0.878  -0.285 1.017  -0.196 1.067  -0.140 1.150  -0.063 1.212  0.005 1.142  0.005 1.003  0.046 0.881  0.145 0.782  0.150 0.646  0.150 0.507  0.234 0.402  0.296 0.289  0.296 0.150  0.324 0.023  0.422 -0.076  0.441 -0.207  0.441 -0.346  0.441 -0.485  0.441 -0.624  0.441 -0.763  0.441 -0.902  0.441 -1.041  0.392 -1.160  0.296 -1.259  0.296 -1.398  0.161 -1.402  0.150 -1.530  0.028 -1.547  0.005 -1.431  0.005 -1.292  0.005 -1.153  0.005 -1.014  0.005 -0.875  0.065 -0.761  0.150 -0.657  0.150 -0.518  0.157 -0.385  0.296 -0.385
