1c#app#app06#app0666/p  -0.275 0.812  -0.244 0.621  -0.190 0.434  -0.112 0.255  -0.067 0.067  -0.049 -0.124  0.028 -0.303  0.096 -0.485  0.171 -0.665  0.242 -0.846  0.280 -1.033  0.333 -1.219  0.418 -1.383  0.418 -1.578  0.482 -1.747  0.418 -1.773  0.295 -1.629  0.202 -1.459  0.099 -1.295  0.002 -1.128  -0.085 -0.953  -0.136 -0.770  -0.218 -0.605  -0.286 -0.424  -0.344 -0.253  -0.344 -0.057  -0.344 0.138  -0.344 0.333  -0.344 0.528  -0.344 0.724  -0.310 0.913  -0.275 1.103  -0.231 1.291  -0.128 1.452  -0.026 1.615  0.088 1.713  0.193 1.592  0.255 1.415  0.280 1.226  0.280 1.030  0.280 0.835  0.280 0.640  0.241 0.449  0.180 0.265  0.072 0.108  0.024 -0.068  -0.134 -0.158  -0.275 -0.064  -0.275 0.132  -0.275 0.327
1c#app#app06#app0666/g  -0.573 0.161  -0.474 0.364  -0.375 0.567  -0.203 0.739  -0.104 0.942  0.050 1.061  0.259 1.096  0.362 0.955  0.310 0.733  0.211 0.530  0.081 0.327  -0.066 0.136  -0.185 -0.074  -0.388 -0.173  -0.598 -0.255  -0.677 -0.090  -0.677 0.154  -0.677 0.398  -0.677 0.642  -0.586 0.864  -0.494 1.072  -0.375 1.247  -0.145 1.304  0.099 1.304  0.258 1.158  0.362 0.957  0.362 0.713  0.363 0.470  0.466 0.250  0.466 0.006  0.466 -0.238  0.466 -0.481  0.466 -0.725  0.466 -0.969  0.466 -1.213  0.466 -1.457  0.377 -1.680  0.360 -1.919  0.158 -2.021  0.058 -1.821  0.050 -1.581  0.050 -1.337  0.007 -1.103  -0.054 -0.874  -0.054 -0.630  -0.054 -0.386  -0.054 -0.142  -0.054 0.102  -0.009 0.340  0.050 0.577
1c#app#app06#app0666/h  -0.627 1.851  -0.627 1.696  -0.627 1.541  -0.627 1.386  -0.627 1.231  -0.627 1.076  -0.627 0.921  -0.627 0.766  -0.627 0.611  -0.627 0.456  -0.627 0.301  -0.590 0.155  -0.520 0.017  -0.519 -0.138  -0.519 -0.293  -0.519 -0.448  -0.465 -0.581  -0.411 -0.713  -0.411 -0.868  -0.411 -1.023  -0.332 -0.988  -0.303 -0.845  -0.303 -0.690  -0.303 -0.535  -0.303 -0.380  -0.303 -0.225  -0.229 -0.092  -0.143 0.037  -0.087 0.174  -0.016 0.300  0.022 0.440  0.126 0.551  0.172 0.662  0.327 0.662  0.366 0.534  0.454 0.416  0.454 0.261  0.542 0.142  0.562 -0.004  0.591 -0.152  0.660 -0.291  0.730 -0.430  0.799 -0.568  0.868 -0.707  0.893 -0.851  1.018 -0.899  1.088 -1.038  1.211 -1.081  1.272 -1.175  1.427 -1.175
1c#app#app06#app0666/t  0.152 1.445  0.152 1.623  0.081 1.729  0.058 1.574  0.058 1.396  0.151 1.257  0.152 1.080  0.152 0.903  0.152 0.725  0.152 0.547  0.194 0.376  0.247 0.207  0.247 0.030  0.247 -0.148  0.269 -0.322  0.325 -0.491  0.341 -0.666  0.392 -0.831  0.493 -0.975  0.531 -1.137  0.531 -1.315  0.535 -1.491  0.625 -1.631  0.547 -1.567  0.443 -1.422  0.339 -1.278  0.236 -1.134  0.132 -0.990  0.028 -0.846  -0.076 -0.701  -0.180 -0.557  -0.283 -0.413  -0.387 -0.269  -0.491 -0.125  -0.595 0.019  -0.699 0.164  -0.803 0.308  -0.906 0.452  -1.010 0.596  -1.032 0.644  -0.906 0.518  -0.739 0.482  -0.571 0.425  -0.408 0.354  -0.241 0.311  -0.070 0.280  0.092 0.216  0.270 0.216  0.447 0.216  0.625 0.216
1c#app#app06#app0666/h  -0.941 1.770  -0.784 1.731  -0.706 1.590  -0.622 1.451  -0.588 1.292  -0.573 1.121  -0.531 0.953  -0.489 0.784  -0.470 0.613  -0.470 0.440  -0.470 0.267  -0.404 0.109  -0.353 -0.052  -0.353 -0.225  -0.353 -0.399  -0.353 -0.572  -0.353 -0.745  -0.353 -0.919  -0.282 -1.075  -0.235 -1.238  -0.148 -1.375  -0.118 -1.510  -0.118 -1.336  -0.118 -1.163  -0.118 -0.990  -0.118 -0.817  -0.118 -0.643  -0.118 -0.470  0.000 -0.345  0.000 -0.172  0.050 -0.011  0.118 0.147  0.118 0.320  0.118 0.493  0.169 0.646  0.291 0.768  0.414 0.891  0.512 0.864  0.588 0.708  0.630 0.552  0.706 0.410  0.706 0.237  0.706 0.064  0.706 -0.110  0.706 -0.283  0.706 -0.456  0.823 -0.581  0.823 -0.754  0.823 -0.928  0.941 -1.052
1c#app#app06#app0666/e  -0.430 -0.092  -0.323 -0.052  -0.243 0.015  -0.203 0.121  -0.056 0.121  -0.003 0.215  0.122 0.247  0.226 0.350  0.330 0.454  0.438 0.547  0.530 0.602  0.596 0.721  0.700 0.825  0.743 0.954  0.743 1.100  0.743 1.247  0.643 1.293  0.506 1.270  0.397 1.174  0.266 1.108  0.126 1.080  0.015 0.993  -0.088 0.889  -0.192 0.785  -0.296 0.682  -0.399 0.578  -0.476 0.455  -0.545 0.326  -0.648 0.222  -0.749 0.118  -0.749 -0.029  -0.749 -0.176  -0.749 -0.322  -0.749 -0.469  -0.749 -0.615  -0.688 -0.748  -0.611 -0.870  -0.536 -0.986  -0.479 -1.109  -0.361 -1.192  -0.230 -1.258  -0.085 -1.264  0.062 -1.264  0.209 -1.264  0.355 -1.264  0.502 -1.264  0.614 -1.180  0.717 -1.077  0.852 -1.048  0.956 -0.945
1c#app#app06#app0666/m  -0.829 0.817  -0.829 0.606  -0.834 0.396  -0.933 0.225  -0.933 0.014  -0.933 -0.198  -0.933 -0.410  -0.933 -0.622  -0.933 -0.833  -0.933 -1.045  -0.933 -1.057  -0.933 -0.845  -0.829 -0.676  -0.829 -0.465  -0.829 -0.253  -0.748 -0.060  -0.725 0.146  -0.621 0.315  -0.606 0.520  -0.457 0.670  -0.367 0.817  -0.205 0.706  -0.198 0.498  -0.101 0.326  -0.101 0.114  -0.101 -0.097  -0.016 -0.289  0.002 -0.496  0.002 -0.708  0.106 -0.667  0.106 -0.455  0.210 -0.286  0.224 -0.077  0.291 0.124  0.412 0.292  0.509 0.479  0.577 0.665  0.727 0.815  0.834 0.921  1.046 0.921  1.145 0.810  1.227 0.632  1.249 0.429  1.249 0.217  1.249 0.006  1.249 -0.206  1.249 -0.418  1.249 -0.629  1.349 -0.741  1.353 -0.949
1c#app#app06#app0666/o  -1.036 0.353  -0.894 0.353  -0.752 0.353  -0.609 0.353  -0.495 0.381  -0.470 0.513  -0.370 0.613  -0.232 0.624  -0.129 0.719  -0.028 0.820  0.083 0.894  0.213 0.925  0.313 1.026  0.454 1.030  0.596 1.030  0.738 1.030  0.874 1.015  0.975 0.914  0.994 0.780  0.994 0.637  0.994 0.495  0.994 0.353  0.994 0.211  0.994 0.068  0.980 -0.068  0.879 -0.168  0.778 -0.269  0.678 -0.370  0.581 -0.473  0.518 -0.600  0.454 -0.728  0.314 -0.732  0.186 -0.795  0.059 -0.859  -0.044 -0.956  -0.145 -1.057  -0.254 -1.136  -0.396 -1.136  -0.539 -1.136  -0.666 -1.100  -0.766 -0.999  -0.830 -0.872  -0.893 -0.745  -0.901 -0.604  -0.901 -0.462  -0.901 -0.319  -0.901 -0.177  -0.893 -0.037  -0.829 0.090  -0.765 0.218
1c#app#app06#app0666/m  -0.685 0.929  -0.685 0.683  -0.685 0.437  -0.685 0.191  -0.685 -0.055  -0.685 -0.301  -0.685 -0.547  -0.685 -0.793  -0.713 -1.032  -0.812 -1.255  -0.812 -1.501  -0.812 -1.472  -0.812 -1.226  -0.812 -0.980  -0.812 -0.734  -0.812 -0.488  -0.711 -0.266  -0.658 -0.032  -0.558 0.190  -0.495 0.421  -0.358 0.622  -0.184 0.796  -0.010 0.970  0.200 1.056  0.204 0.814  0.204 0.568  0.204 0.322  0.204 0.076  0.110 -0.148  0.077 -0.386  0.077 -0.556  0.091 -0.313  0.201 -0.093  0.204 0.153  0.277 0.368  0.350 0.587  0.458 0.808  0.582 0.929  0.694 1.147  0.917 1.183  0.966 0.986  0.966 0.740  0.966 0.494  0.966 0.248  0.966 0.002  0.966 -0.244  0.966 -0.490  0.966 -0.736  0.973 -0.975  1.092 -1.102
1c#app#app06#app0666/e  -0.733 -0.671  -0.617 -0.555  -0.584 -0.404  -0.490 -0.279  -0.348 -0.224  -0.214 -0.152  -0.098 -0.036  0.021 0.073  0.160 0.098  0.160 0.262  0.199 0.410  0.309 0.528  0.326 0.685  0.442 0.802  0.558 0.918  0.607 1.061  0.607 1.226  0.607 1.390  0.466 1.413  0.309 1.406  0.289 1.254  0.142 1.181  -0.001 1.102  -0.117 0.986  -0.233 0.870  -0.349 0.754  -0.465 0.638  -0.581 0.522  -0.635 0.367  -0.687 0.212  -0.733 0.055  -0.733 -0.109  -0.733 -0.273  -0.733 -0.437  -0.733 -0.601  -0.666 -0.738  -0.550 -0.854  -0.434 -0.970  -0.318 -1.086  -0.167 -1.117  -0.003 -1.117  0.161 -1.117  0.321 -1.106  0.437 -0.990  0.592 -0.969  0.756 -0.969  0.916 -0.957  1.032 -0.841  1.187 -0.820  1.351 -0.820
1c#app#app06#app0666/t  0.228 1.615  0.346 1.658  0.346 1.648  0.346 1.487  0.346 1.326  0.346 1.164  0.338 1.005  0.266 0.861  0.228 0.708  0.228 0.547  0.196 0.388  0.164 0.230  0.133 0.072  0.109 -0.087  0.109 -0.249  0.109 -0.410  0.109 -0.571  0.109 -0.733  0.109 -0.894  0.109 -1.055  0.109 -1.217  0.109 -1.378  0.109 -1.540  0.188 -1.668  0.178 -1.615  0.103 -1.472  0.027 -1.329  -0.048 -1.187  -0.124 -1.044  -0.199 -0.902  -0.275 -0.759  -0.350 -0.616  -0.426 -0.474  -0.501 -0.331  -0.577 -0.188  -0.652 -0.046  -0.728 0.097  -0.803 0.240  -0.840 0.392  -0.716 0.428  -0.569 0.463  -0.442 0.547  -0.281 0.547  -0.119 0.547  0.042 0.547  0.194 0.589  0.338 0.662  0.498 0.666  0.660 0.666  0.821 0.666
1c#app#app06#app0666/h  -0.401 2.032  -0.401 1.894  -0.401 1.756  -0.401 1.618  -0.401 1.480  -0.401 1.342  -0.401 1.204  -0.407 1.067  -0.469 0.944  -0.530 0.820  -0.537 0.684  -0.537 0.546  -0.537 0.408  -0.537 0.270  -0.537 0.132  -0.537 -0.006  -0.537 -0.144  -0.439 -0.242  -0.401 -0.364  -0.401 -0.502  -0.401 -0.640  -0.401 -0.778  -0.401 -0.916  -0.307 -0.960  -0.265 -0.865  -0.196 -0.755  -0.129 -0.645  -0.097 -0.520  0.001 -0.423  0.099 -0.325  0.143 -0.206  0.143 -0.068  0.199 0.047  0.297 0.145  0.394 0.242  0.523 0.264  0.661 0.264  0.687 0.152  0.687 0.014  0.687 -0.124  0.687 -0.262  0.687 -0.400  0.687 -0.538  0.687 -0.676  0.687 -0.814  0.687 -0.952  0.687 -1.090  0.687 -1.228  0.687 -1.366  0.687 -1.504
1c#app#app06#app0666/i  -0.137 0.433  -0.137 0.318  -0.137 0.203  -0.137 0.088  -0.137 -0.027  -0.137 -0.142  -0.145 -0.255  -0.196 -0.357  -0.248 -0.460  -0.271 -0.569  -0.271 -0.684  -0.271 -0.799  -0.271 -0.914  -0.271 -1.029  -0.271 -1.144  -0.215 -1.235  -0.137 -1.318  -0.137 -1.432  -0.037 -1.447  0.002 -1.366  0.008 -1.252  0.015 -1.137  0.021 -1.022  0.027 -0.908  0.034 -0.793  0.040 -0.678  0.046 -0.564  0.053 -0.449  0.059 -0.334  0.066 -0.220  0.072 -0.105  0.078 0.010  0.085 0.124  0.091 0.239  0.097 0.354  0.104 0.468  0.110 0.583  0.116 0.698  0.123 0.812  0.129 0.927  0.132 1.042  0.132 1.157  0.147 1.268  0.198 1.371  0.249 1.474  0.266 1.584  0.266 1.699  0.266 1.814  0.266 1.929  0.266 2.044
1c#app#app06#app0666/n  -0.591 0.701  -0.591 0.532  -0.664 0.381  -0.739 0.230  -0.766 0.068  -0.766 -0.101  -0.766 -0.270  -0.766 -0.438  -0.766 -0.607  -0.766 -0.775  -0.766 -0.944  -0.766 -1.113  -0.705 -1.220  -0.591 -1.166  -0.591 -0.997  -0.561 -0.841  -0.442 -0.722  -0.417 -0.564  -0.417 -0.395  -0.417 -0.227  -0.336 -0.092  -0.242 0.038  -0.232 0.205  -0.179 0.365  -0.126 0.525  -0.073 0.685  -0.067 0.853  0.036 0.978  0.155 1.098  0.274 1.217  0.393 1.336  0.536 1.399  0.631 1.326  0.679 1.177  0.798 1.058  0.806 0.893  0.806 0.724  0.806 0.555  0.806 0.387  0.806 0.218  0.806 0.050  0.720 -0.083  0.631 -0.215  0.631 -0.384  0.631 -0.552  0.631 -0.721  0.631 -0.889  0.631 -1.058  0.631 -1.227  0.631 -1.395
1c#app#app06#app0666/g  -0.491 0.898  -0.281 0.989  -0.135 1.107  0.084 1.135  0.220 1.025  0.339 0.896  0.339 0.648  0.275 0.416  0.133 0.218  0.041 0.008  -0.135 -0.096  -0.311 -0.168  -0.440 -0.287  -0.664 -0.232  -0.728 -0.011  -0.728 0.237  -0.701 0.478  -0.609 0.704  -0.572 0.935  -0.397 1.110  -0.306 1.320  -0.080 1.372  -0.017 1.189  0.102 0.990  0.102 0.743  0.102 0.496  0.181 0.267  0.220 0.029  0.220 -0.218  0.220 -0.466  0.220 -0.713  0.220 -0.960  0.220 -1.208  0.102 -1.406  0.102 -1.653  0.102 -1.901  0.043 -2.005  -0.090 -1.799  -0.135 -1.563  -0.135 -1.315  -0.135 -1.068  -0.109 -0.827  -0.017 -0.601  0.059 -0.372  0.170 -0.151  0.316 0.045  0.490 0.220  0.665 0.395  0.875 0.486  1.050 0.661
1c#app#app06#app0666/l  -0.147 0.791  -0.147 0.871  -0.147 0.952  -0.147 1.032  -0.147 1.112  -0.147 1.193  -0.147 1.273  -0.147 1.353  -0.130 1.393  -0.073 1.336  -0.069 1.257  -0.069 1.177  -0.067 1.097  -0.032 1.025  0.004 0.953  0.008 0.874  0.008 0.793  0.008 0.713  0.008 0.633  0.008 0.552  0.008 0.472  0.008 0.392  0.008 0.311  0.008 0.231  0.008 0.150  0.008 0.070  0.008 -0.010  0.008 -0.091  0.008 -0.171  0.008 -0.252  0.008 -0.332  0.008 -0.412  0.008 -0.493  0.008 -0.573  0.031 -0.648  0.067 -0.720  0.086 -0.796  0.086 -0.876  0.086 -0.957  0.086 -1.037  0.086 -1.117  0.086 -1.198  0.086 -1.278  0.086 -1.359  0.086 -1.439  0.086 -1.519  0.086 -1.600  0.086 -1.680  0.160 -1.686  0.163 -1.763
1c#app#app06#app0666/i  0.172 -0.369  0.172 -0.470  0.172 -0.570  0.172 -0.671  0.172 -0.772  0.172 -0.873  0.172 -0.974  0.171 -1.074  0.100 -1.145  0.072 -1.234  0.072 -1.335  0.115 -1.418  0.170 -1.456  0.156 -1.356  0.142 -1.256  0.128 -1.156  0.115 -1.056  0.101 -0.956  0.087 -0.857  0.073 -0.757  0.059 -0.657  0.046 -0.557  0.032 -0.457  0.018 -0.357  0.004 -0.257  -0.009 -0.157  -0.023 -0.058  -0.037 0.042  -0.051 0.142  -0.064 0.242  -0.078 0.342  -0.092 0.442  -0.106 0.542  -0.120 0.641  -0.133 0.741  -0.147 0.841  -0.161 0.941  -0.175 1.041  -0.188 1.141  -0.202 1.241  -0.216 1.341  -0.230 1.440  -0.131 1.442  -0.030 1.442  -0.029 1.343  -0.029 1.441  -0.129 1.442  -0.129 1.342  -0.230 1.341  -0.129 1.341
1c#app#app06#app0666/k  -0.453 1.572  -0.540 1.444  -0.627 1.317  -0.627 1.103  -0.573 0.911  -0.540 0.710  -0.540 0.496  -0.540 0.282  -0.540 0.068  -0.540 -0.146  -0.540 -0.360  -0.540 -0.574  -0.540 -0.788  -0.453 -0.967  -0.408 -1.162  -0.280 -1.323  -0.120 -1.377  -0.196 -1.197  -0.292 -1.005  -0.388 -0.814  -0.484 -0.622  -0.579 -0.431  -0.540 -0.315  -0.453 -0.187  -0.442 0.022  -0.265 0.112  -0.175 0.289  -0.024 0.440  0.153 0.531  0.304 0.682  0.481 0.772  0.668 0.875  0.794 0.965  0.973 1.051  0.958 1.089  0.789 0.958  0.620 0.826  0.451 0.695  0.282 0.564  0.240 0.370  0.240 0.156  0.240 -0.058  0.318 -0.240  0.339 -0.448  0.448 -0.630  0.538 -0.807  0.674 -0.965  0.779 -1.135  0.931 -1.287  1.021 -1.463
1c#app#app06#app0666/e  -0.682 -0.357  -0.542 -0.315  -0.487 -0.180  -0.352 -0.143  -0.211 -0.073  -0.165 0.062  -0.036 0.131  0.115 0.147  0.227 0.258  0.338 0.370  0.449 0.481  0.589 0.524  0.701 0.635  0.783 0.759  0.783 0.916  0.783 1.074  0.660 1.108  0.502 1.108  0.345 1.108  0.199 1.060  0.053 1.011  -0.104 1.007  -0.245 0.936  -0.386 0.866  -0.519 0.783  -0.630 0.672  -0.742 0.561  -0.853 0.449  -0.933 0.315  -0.975 0.167  -0.975 0.010  -0.975 -0.148  -0.911 -0.291  -0.878 -0.440  -0.750 -0.519  -0.624 -0.611  -0.513 -0.722  -0.370 -0.777  -0.217 -0.816  -0.066 -0.861  0.075 -0.931  0.216 -1.002  0.364 -1.041  0.521 -1.041  0.679 -1.041  0.837 -1.041  0.994 -1.041  1.152 -1.041  1.310 -1.041  1.467 -1.041
