3#apa#apa13#app1327/B  -0.710 1.141  -0.532 1.039  -0.443 0.795  -0.443 0.515  -0.443 0.235  -0.443 -0.046  -0.384 -0.312  -0.354 -0.585  -0.265 -0.829  -0.265 -1.109  -0.322 -0.963  -0.394 -0.692  -0.467 -0.421  -0.540 -0.151  -0.613 0.120  -0.686 0.391  -0.759 0.661  -0.832 0.932  -0.824 1.141  -0.544 1.141  -0.263 1.141  0.017 1.141  0.297 1.141  0.539 1.048  0.763 0.913  0.802 0.649  0.634 0.438  0.400 0.317  0.140 0.231  -0.124 0.162  -0.368 0.073  -0.640 0.054  -0.706 -0.016  -0.463 0.073  -0.183 0.073  0.098 0.073  0.378 0.073  0.658 0.073  0.902 -0.016  1.123 -0.158  1.271 -0.329  1.336 -0.594  1.295 -0.857  1.097 -1.056  0.877 -1.224  0.611 -1.295  0.340 -1.350  0.060 -1.350  -0.184 -1.261  -0.443 -1.172
3#apa#apa13#app1327/O  -0.345 0.978  -0.435 0.892  -0.548 0.860  -0.638 0.771  -0.689 0.666  -0.755 0.568  -0.819 0.460  -0.871 0.346  -0.911 0.226  -0.947 0.106  -0.947 -0.020  -0.947 -0.146  -0.947 -0.272  -0.947 -0.398  -0.947 -0.524  -0.866 -0.569  -0.806 -0.677  -0.736 -0.780  -0.647 -0.869  -0.539 -0.913  -0.413 -0.913  -0.287 -0.913  -0.161 -0.913  -0.035 -0.913  0.091 -0.913  0.217 -0.913  0.334 -0.874  0.443 -0.812  0.537 -0.730  0.649 -0.673  0.746 -0.595  0.812 -0.489  0.874 -0.381  0.956 -0.287  1.013 -0.174  1.030 -0.052  1.030 0.074  1.030 0.200  1.004 0.316  0.915 0.405  0.826 0.494  0.750 0.592  0.694 0.705  0.609 0.797  0.520 0.886  0.431 0.975  0.316 1.004  0.227 1.093  0.125 1.149  -0.001 1.149
3#apa#apa13#app1327/U  -0.825 1.240  -0.825 1.308  -0.895 1.171  -0.942 1.026  -0.956 0.864  -1.030 0.716  -1.058 0.557  -1.058 0.392  -1.058 0.227  -1.058 0.062  -1.058 -0.103  -1.007 -0.256  -0.942 -0.406  -0.893 -0.551  -0.825 -0.688  -0.742 -0.819  -0.590 -0.851  -0.425 -0.851  -0.259 -0.851  -0.096 -0.841  0.061 -0.788  0.217 -0.736  0.335 -0.621  0.452 -0.504  0.569 -0.387  0.716 -0.313  0.802 -0.201  0.803 -0.036  0.918 0.082  0.918 0.247  0.918 0.412  0.918 0.577  0.881 0.734  0.807 0.881  0.693 1.000  0.569 0.970  0.508 0.830  0.453 0.688  0.453 0.523  0.422 0.365  0.348 0.217  0.337 0.055  0.337 -0.111  0.337 -0.276  0.354 -0.438  0.406 -0.595  0.453 -0.753  0.453 -0.918  0.535 -1.049  0.569 -1.200
3#apa#apa13#app1327/S  0.542 1.150  0.406 1.150  0.269 1.150  0.136 1.125  0.006 1.081  -0.124 1.039  -0.251 1.018  -0.352 0.929  -0.488 0.929  -0.625 0.929  -0.735 0.865  -0.853 0.819  -0.961 0.749  -0.922 0.709  -0.891 0.603  -0.759 0.598  -0.622 0.598  -0.507 0.545  -0.394 0.488  -0.282 0.430  -0.173 0.349  -0.051 0.288  0.081 0.267  0.206 0.215  0.327 0.152  0.423 0.055  0.520 -0.041  0.617 -0.138  0.714 -0.235  0.763 -0.351  0.829 -0.461  0.873 -0.579  0.974 -0.615  0.984 -0.742  0.984 -0.879  0.914 -0.946  0.777 -0.946  0.640 -0.946  0.503 -0.946  0.366 -0.946  0.230 -0.946  0.093 -0.946  -0.044 -0.946  -0.181 -0.946  -0.318 -0.946  -0.455 -0.946  -0.591 -0.946  -0.728 -0.946  -0.865 -0.946  -1.002 -0.946
3#apa#apa13#app1327/S  0.438 1.106  0.306 1.106  0.173 1.106  0.040 1.106  -0.092 1.106  -0.144 1.025  -0.241 0.989  -0.374 0.989  -0.468 0.898  -0.591 0.873  -0.690 0.793  -0.808 0.756  -0.912 0.688  -0.959 0.575  -0.959 0.442  -0.862 0.407  -0.729 0.407  -0.597 0.407  -0.464 0.407  -0.332 0.407  -0.199 0.407  -0.066 0.407  0.066 0.407  0.187 0.358  0.306 0.298  0.437 0.291  0.531 0.198  0.625 0.104  0.718 0.010  0.812 -0.083  0.904 -0.178  0.904 -0.311  0.904 -0.443  0.904 -0.576  0.904 -0.709  0.845 -0.817  0.751 -0.911  0.652 -0.991  0.530 -1.016  0.435 -1.107  0.302 -1.107  0.170 -1.107  0.037 -1.107  -0.095 -1.107  -0.228 -1.107  -0.361 -1.107  -0.493 -1.107  -0.626 -1.107  -0.749 -1.084  -0.843 -0.991
3#apa#apa13#app1327/T  0.277 0.512  0.277 0.541  0.277 0.375  0.180 0.307  0.180 0.142  0.144 -0.009  0.083 -0.149  0.083 -0.315  0.083 -0.480  0.020 -0.619  -0.015 -0.771  -0.015 -0.936  -0.015 -1.102  0.076 -1.230  0.083 -1.392  0.162 -1.406  0.066 -1.272  -0.030 -1.137  -0.126 -1.003  -0.222 -0.868  -0.319 -0.733  -0.415 -0.599  -0.511 -0.464  -0.607 -0.329  -0.703 -0.195  -0.799 -0.060  -0.896 0.075  -0.992 0.209  -1.088 0.344  -1.184 0.479  -1.272 0.609  -1.107 0.609  -0.942 0.609  -0.776 0.609  -0.611 0.609  -0.445 0.609  -0.280 0.609  -0.114 0.609  0.051 0.609  0.217 0.609  0.382 0.609  0.548 0.609  0.713 0.609  0.878 0.609  1.044 0.609  1.209 0.609  1.375 0.609  1.540 0.609  1.706 0.609  1.831 0.512
3#apa#apa13#app1327/I  0.198 0.826  0.175 0.596  0.105 0.377  0.105 0.141  0.105 -0.095  0.105 -0.330  0.105 -0.566  0.105 -0.802  0.173 -1.009  -0.001 -1.009  -0.235 -0.980  -0.469 -0.951  -0.703 -0.921  -0.937 -0.892  -1.170 -0.863  -1.176 -0.848  -1.033 -0.755  -0.808 -0.687  -0.615 -0.569  -0.387 -0.536  -0.166 -0.476  0.070 -0.476  0.305 -0.476  0.541 -0.476  0.777 -0.476  1.012 -0.476  1.210 -0.569  1.237 -0.609  1.044 -0.475  0.850 -0.341  0.656 -0.207  0.462 -0.072  0.268 0.062  0.075 0.196  -0.119 0.330  -0.313 0.464  -0.507 0.598  -0.700 0.732  -0.894 0.867  -1.088 1.001  -0.889 1.012  -0.653 1.012  -0.419 1.021  -0.190 1.078  0.042 1.105  0.278 1.105  0.514 1.105  0.749 1.105  0.985 1.105  1.221 1.105
3#apa#apa13#app1327/C  0.703 0.881  0.611 0.774  0.611 0.628  0.611 0.483  0.611 0.338  0.611 0.193  0.611 0.048  0.611 -0.097  0.703 -0.106  0.778 -0.037  0.794 0.092  0.794 0.237  0.794 0.382  0.785 0.523  0.676 0.619  0.547 0.683  0.499 0.799  0.369 0.864  0.259 0.957  0.121 0.972  -0.024 0.972  -0.169 0.972  -0.298 0.917  -0.419 0.837  -0.543 0.763  -0.673 0.698  -0.738 0.568  -0.803 0.438  -0.874 0.313  -0.967 0.203  -1.032 0.073  -1.041 -0.070  -1.041 -0.215  -1.041 -0.360  -1.041 -0.505  -0.996 -0.632  -0.894 -0.734  -0.779 -0.823  -0.658 -0.903  -0.529 -0.954  -0.389 -0.988  -0.251 -1.034  -0.108 -1.046  0.037 -1.046  0.182 -1.046  0.318 -1.083  0.451 -1.138  0.596 -1.138  0.741 -1.138  0.886 -1.138
3#apa#apa13#app1327/K  -0.634 1.370  -0.634 1.152  -0.508 0.987  -0.506 0.771  -0.427 0.572  -0.302 0.397  -0.250 0.201  -0.250 -0.016  -0.163 -0.213  -0.122 -0.421  -0.122 -0.638  -0.087 -0.841  0.006 -1.020  0.013 -1.142  0.047 -0.927  0.081 -0.713  0.115 -0.498  0.149 -0.283  0.183 -0.068  0.217 0.147  0.251 0.362  0.285 0.576  0.318 0.791  0.352 1.006  0.386 1.221  0.214 1.154  0.006 1.114  -0.158 0.986  -0.363 0.930  -0.546 0.818  -0.728 0.730  -0.891 0.601  -1.018 0.436  -1.018 0.218  -1.018 0.001  -0.892 -0.164  -0.728 -0.294  -0.547 -0.381  -0.363 -0.494  -0.159 -0.550  0.053 -0.574  0.248 -0.671  0.463 -0.678  0.664 -0.751  0.868 -0.806  1.086 -0.806  1.301 -0.814  1.496 -0.911  1.708 -0.934  1.926 -0.934
3#apa#apa13#app1327/Y  0.974 0.469  0.859 0.354  0.744 0.239  0.629 0.124  0.554 -0.020  0.458 -0.142  0.313 -0.214  0.219 -0.338  0.142 -0.481  0.027 -0.596  -0.086 -0.712  -0.177 -0.847  -0.267 -0.982  -0.368 -1.108  -0.483 -1.223  -0.552 -1.357  -0.662 -1.409  -0.666 -1.488  -0.652 -1.326  -0.639 -1.165  -0.625 -1.003  -0.612 -0.841  -0.598 -0.679  -0.585 -0.517  -0.571 -0.355  -0.558 -0.193  -0.544 -0.031  -0.531 0.131  -0.517 0.293  -0.504 0.455  -0.490 0.617  -0.477 0.779  -0.463 0.940  -0.450 1.102  -0.436 1.264  -0.297 1.290  -0.135 1.290  0.016 1.241  0.153 1.163  0.191 1.016  0.321 0.938  0.456 0.870  0.570 0.755  0.622 0.614  0.717 0.491  0.832 0.376  0.864 0.226  0.979 0.112  1.094 -0.003  1.209 -0.118
3#apa#apa13#app1327/J  0.144 0.471  0.229 0.528  0.314 0.528  0.374 0.411  0.400 0.279  0.400 0.137  0.400 -0.005  0.400 -0.147  0.400 -0.289  0.400 -0.432  0.400 -0.574  0.400 -0.716  0.314 -0.823  0.264 -0.944  0.164 -1.044  0.115 -1.150  -0.002 -1.210  -0.134 -1.235  -0.276 -1.235  -0.418 -1.235  -0.529 -1.160  -0.632 -1.064  -0.755 -1.019  -0.855 -0.918  -0.895 -0.793  -0.946 -0.684  -0.885 -0.556  -0.824 -0.427  -0.763 -0.299  -0.702 -0.171  -0.641 -0.043  -0.580 0.086  -0.519 0.214  -0.458 0.342  -0.397 0.471  -0.336 0.599  -0.274 0.727  -0.213 0.856  -0.152 0.984  -0.063 1.068  0.079 1.068  0.221 1.068  0.363 1.068  0.505 1.068  0.647 1.068  0.789 1.068  0.932 1.068  1.066 1.033  1.196 0.983  1.338 0.983
3#apa#apa13#app1327/U  -1.445 0.978  -1.383 0.853  -1.347 0.722  -1.347 0.582  -1.347 0.442  -1.347 0.303  -1.347 0.163  -1.347 0.023  -1.265 -0.083  -1.197 -0.203  -1.124 -0.321  -1.026 -0.420  -0.927 -0.519  -0.816 -0.588  -0.676 -0.588  -0.536 -0.588  -0.396 -0.588  -0.256 -0.588  -0.123 -0.562  0.002 -0.500  0.140 -0.490  0.262 -0.447  0.360 -0.348  0.471 -0.266  0.596 -0.203  0.698 -0.108  0.764 0.014  0.839 0.130  0.904 0.243  0.904 0.383  0.904 0.523  0.904 0.663  0.890 0.797  0.786 0.874  0.653 0.830  0.521 0.786  0.512 0.652  0.512 0.512  0.430 0.407  0.414 0.273  0.414 0.133  0.414 -0.006  0.448 -0.132  0.512 -0.245  0.577 -0.358  0.676 -0.457  0.774 -0.556  0.873 -0.655  1.000 -0.685  1.100 -0.783
3#apa#apa13#app1327/I  0.180 0.945  0.088 0.744  0.088 0.506  0.088 0.267  0.088 0.029  0.088 -0.210  0.180 -0.410  0.202 -0.640  0.225 -0.797  -0.012 -0.772  -0.249 -0.747  -0.486 -0.722  -0.724 -0.697  -0.961 -0.672  -1.198 -0.647  -1.435 -0.622  -1.314 -0.710  -1.075 -0.710  -0.837 -0.710  -0.598 -0.710  -0.360 -0.710  -0.121 -0.710  0.117 -0.710  0.356 -0.710  0.595 -0.710  0.833 -0.710  1.072 -0.710  0.934 -0.580  0.746 -0.433  0.558 -0.286  0.370 -0.139  0.182 0.008  -0.005 0.155  -0.193 0.302  -0.381 0.449  -0.569 0.596  -0.757 0.743  -0.945 0.890  -0.866 0.945  -0.627 0.945  -0.389 0.945  -0.157 0.904  0.073 0.853  0.312 0.853  0.551 0.853  0.789 0.853  1.028 0.853  1.266 0.853  1.505 0.853  1.743 0.853
3#apa#apa13#app1327/C  0.464 1.083  0.556 0.990  0.559 0.860  0.559 0.729  0.559 0.598  0.559 0.468  0.559 0.337  0.576 0.222  0.707 0.222  0.750 0.310  0.750 0.441  0.750 0.572  0.749 0.702  0.656 0.795  0.563 0.887  0.434 0.891  0.303 0.891  0.172 0.891  0.042 0.891  -0.081 0.858  -0.199 0.799  -0.316 0.741  -0.425 0.672  -0.518 0.579  -0.610 0.486  -0.696 0.389  -0.754 0.272  -0.832 0.169  -0.906 0.063  -0.965 -0.054  -0.970 -0.184  -0.970 -0.315  -0.940 -0.441  -0.898 -0.565  -0.874 -0.692  -0.794 -0.773  -0.678 -0.834  -0.585 -0.926  -0.468 -0.984  -0.345 -1.020  -0.214 -1.020  -0.096 -1.074  0.025 -1.115  0.156 -1.115  0.287 -1.115  0.418 -1.115  0.549 -1.115  0.680 -1.115  0.810 -1.115  0.941 -1.115
3#apa#apa13#app1327/E  -1.064 0.715  -0.970 0.554  -0.970 0.299  -1.044 0.075  -1.064 -0.171  -1.064 -0.426  -1.064 -0.680  -0.964 -0.893  -0.756 -1.007  -0.530 -1.075  -0.275 -1.075  -0.020 -1.075  0.235 -1.075  0.489 -1.075  0.742 -1.084  0.976 -1.170  1.078 -1.239  0.898 -1.059  0.718 -0.879  0.538 -0.699  0.358 -0.519  0.178 -0.339  -0.002 -0.159  -0.182 0.021  -0.363 0.201  -0.543 0.381  -0.429 0.350  -0.217 0.244  0.038 0.244  0.279 0.184  0.525 0.149  0.780 0.149  1.022 0.095  1.132 0.082  0.896 0.178  0.660 0.275  0.424 0.371  0.189 0.468  -0.047 0.564  -0.283 0.660  -0.519 0.757  -0.754 0.853  -0.752 0.903  -0.508 0.946  -0.265 0.997  -0.010 0.997  0.244 0.997  0.499 0.997  0.754 0.997  1.008 0.997
